Sta,Cou,A,NuCa,PosCo,CrRat,OwORF,In,FirNa,NumChi,AddrLi2,AgID,NumCreCar,C,NeWor,Ph,LN,MiIni,Gen,AddLi1,MariSta,Em
AL,United States of America,18.0,,wjppllkmalwh,553.0,O,393751.0,ktxgmdd,2.0,Ytpkesydndlqtjkyivkgpsvaxdbvwxzgiviipgzoqfsroqtrjwchgds,BGS11269,5.0,Bridgeport,3714425.0,1-006-846-9499,BGSNMRRGM,,f,Rfftzjeksodqhvdncotslrqbsojjehmqrxeyvzffxpcefydvals,M,Icahn Enterprises
NE,United States of America,58.0,0.0,GPRYPCPOQ,393.0,U,68447.0,stpdg,4.0,Nutopquovmidapqksbjkuuihveryxf,Ryd11270,0.0,Oshawa,2917504.0,1-859-577-2157,Rydkbehmwdf,K,,Cddarlnyazckaumvegjhmqipgugbiwuqjytbaigcwiqisekzjshkluf,M,Avis Budget Group
GA,Canada,1.0,0.0,,785.0,U,366700.0,Czgeyodpnzhpdvq,3.0,ITVILKKQGORPYVVHFIEYZPRVKEPXIPBGNHPRXUJZGERKMCARO,utc11271,1.0,Raleigh,108038.0,1-574-956-0772,utcjgciwjkelfvvoyjcy,,F,Kkpjvhjrvmncppixaivuiygerkvfh,M,Snap-On
Quebec,United States of America,97.0,4.0,Fzznbtje,363.0,R,465254.0,Cdplcfubiuenijevuvixyjekn,,YVCQBLWGQXILDPJNJXSSFVQABLXXPONWIKBUJNCJOJZEIQHLBNOWYQCPYP,Iga11272,4.0,Huntsville,334986.0,1-581-107-2887,Igaydlasagxneragqzvahegx,,,Bkcawtnorptwkxhtxdkthcphqaqmedaib,D,Thrivent Financial
OK,United States of America,2.0,0.0,KECSWVTD,595.0,O,4876.0,Vitnsos,2.0,hremhqwdwciwtdkfbflunvxzjeomiorgrpxxyeloqnrxjqhxvaudovggqmvdbtqtbecsb,Bpx11273,8.0,Honolulu,3739066.0,1-017-804-6999,Bpxlgntcaj,x,,HABMY,D,Baker Hughes
WI,,81.0,4.0,srtrhhhxujcx,691.0,O,70499.0,HZJKJVOHOULLK,1.0,,csu11274,0.0,Hollywood,3486164.0,1-694-707-5767,csuqmmhtvvztoquaslnmcec,,,VOCCKWLQAMEYSRFZZDVUXUHPM,S,Joy Global
Nova Scotia,Canada,75.0,2.0,Cgsnkonlsq,548.0,R,486855.0,ZMINCSUMRQBDVMLYQOIPS,4.0,Xknibzxruwvcorxztatj,mxb11275,1.0,Oceanside,1607926.0,,mxbqemjjlbnvsavsxb,,,Bzgfjhvontmtuqrdugukhiwq,W,Continental Airlines
Manitoba,United States of America,42.0,1.0,OQKCLKEV,541.0,,303318.0,smonmnqpdvsr,5.0,wbkjqugrjxtbrtjrkpoayovysodshdndewsemmcmptfewfjaomlvrgjnlkepm,PTI11276,4.0,Fort Wayne,2260891.0,1-621-828-0029,PTILKZPHXLMGXVLSWPURMPVP,,,Lvoac,U,Enterprise GP Holdings
Saskatchewan,United States of America,8.0,2.0,bgjtldrr,529.0,,137996.0,Udmeodwhjsxyheewsofl,4.0,Qqnehnqbhljawbiguianeknlsnloplbg,Ngx11277,7.0,Syracuse,321510.0,1-113-468-0134,Ngxjarku,,,Tqgkmdnvywseeffixpiphtjfweadcgu,M,Holly
IL,United States of America,47.0,4.0,,485.0,O,441131.0,Nkncuynlwdwskorbjksyyamaziymb,1.0,Yaxvbwh,hsh11278,0.0,Montpelier,3820785.0,1-433-123-7791,hshruuidabrvonffrnidxhgdxmpjgr,,m,Zgqnqpuqsjikxbhjjhifwqeiahvybtpxjympftytyodmhyhmbvftuvstwfkkmuckdfrokxymugkuegu,U,MSC Industrial Direct
British Columbia,United States of America,19.0,4.0,Owxrzyo,515.0,U,112721.0,sdhvndustxzfcjtajsgfkd,3.0,yasvahrrtgfbrikoofuvqpvhsgahgjqba,Kzw11279,5.0,Ann Arbor,3326137.0,1-778-642-4031,Kzwhkpfhqadjmhoev,H,,Viuzfjxjtuofteezoowkxdwilojhjhlzpxhsjexovxvwudwy,D,
TN,United States of America,13.0,2.0,tsfpueqdso,725.0,O,252730.0,Morexliypcavgdihnrxjdysuedqfk,3.0,wqqdqqzhkfgioy,UQF11280,8.0,Pittsburgh,951858.0,1-507-168-7198,UQFQINUIJDVPBGXTIB,,,Krkxzjiopjwdkaiqhupevkbvplrixccxglcgxwikgznlohwghlzpoiiiydxshodkdaefcvicaej,D,Freddie Mac
LA,United States of America,23.0,5.0,fptlnrg,821.0,R,203847.0,Xgagvzywbrxhzwrummfxlpg,5.0,Burskjzpgsccjwnoujswzooojjprnzvjqsoqc,Ymz11281,,Durham,2312599.0,1-066-588-1295,Ymzxgb,,F,Ptrugsvowjybufrjcwywwvbeiomvhfacmwqcsvyboibqwanqdmpdicfvvdgfplrnkae,U,McDonald's
WA,United States of America,53.0,2.0,elqunswufw,569.0,O,130338.0,Sjvyrtfpvbf,2.0,NUMNXFOAYXIHWVB,fgq11282,5.0,Tempe,2505956.0,1-859-909-2939,fgqoumtjmknmysctvchoysv,C,,Qtcrzqlozqqnbcganladctvlibemvsenlrx,M,Marriott International
WV,United States of America,56.0,1.0,xtvzzitj,652.0,U,317722.0,Lrtchykuj,4.0,Dcgidkymvrcnuntaqtosrpbpgqljaxlllopkojoopzlzliwxe,ncd11283,8.0,Manchester,338320.0,1-743-856-7730,ncdxgdy,,M,Tlkthdcx,S,Pacific Life
FL,United States of America,93.0,0.0,QRIAGEPHG,337.0,O,240520.0,sliavurkiyskkpifrvyznntd,0.0,BEEVBJMXUV,trn11284,4.0,Regina,407143.0,1-558-501-0279,trnznjnxbfwsdrxqqadfiu,,,Ffhidnefivcxiqdvhnygwmsdyoyoeewezywcijbcimzqdjtbrbrjdglcoxw,M,Lubrizol
ID,United States of America,67.0,1.0,Skseezah,335.0,O,372102.0,Dhjwpqk,5.0,Eldsmvgbhmninkjwuvkzopabepnloolzgxrdkksnszilyomwxoekoopwnuncmayvehyzqcwhui,Pqb11285,8.0,Oklahoma City,1347874.0,1-106-223-2732,Pqbugfqyutupdnmzolbrbjny,,,srcjpkeweefweckbakihygkbntgstdyfaal,M,Toro
Alberta,Canada,86.0,1.0,Bibtpv,774.0,O,103398.0,Lkoasjrkshetlu,0.0,Ybeyjpqnlrootmphutzuwmixvggugjlg,vyr11286,2.0,El Monte,,1-988-605-9486,vyrxrohmkbvb,J,,Gcmjignceacqskosnkrrcxblxwxxoubznoashu,M,Nacco Industries
AZ,United States of America,52.0,0.0,XMRHHRWJU,394.0,O,432222.0,tksaiuic,3.0,AOZBSHAQFIOCXDTIHAXAJSUSKDIMUJGWUBIHCHXD,pht11287,5.0,Tacoma,2260125.0,1-735-763-1763,phtpndcfruspdeqbkjeq,,F,Xaqyqnahzazwhvcesryajszqogjhnebyzvqqdbntjofw,U,Gilead Sciences
AR,United States of America,43.0,3.0,Ccqvpjuzhyq,621.0,O,338703.0,CXAVSQPCBSCDNHPBDHKHLOZX,0.0,Mdpzhxpighcf,qdn11288,3.0,Livonia,2053731.0,,qdnkmehvfd,y,f,Ektddxyzfxqwpshoasuslimotzuhrfincmcysft,D,Total System Services
MD,Canada,38.0,2.0,MNKNXG,499.0,R,463729.0,Ypbdhvsujngoa,0.0,Ddoeqpmg,Wtd11289,,Huntsville,1498613.0,1-576-363-9628,Wtdzckkixvbvwfqtgedauzpmh,b,,nilcmbfumadzzkbnnnvoswybvnqvnkwxqradwdbstnuqkpphmfdfhojbdisviyhmigmmjzktvlbhntgl,U,
MN,Canada,58.0,4.0,Ajjpqfqri,527.0,O,111581.0,Hilsmcxstflg,4.0,Ohfvbcoqydwomjnatwwtfkrkwamvjrysortvojbvnjdhilawltqcvwmxttjkfqobofu,odm11290,0.0,Washington,430253.0,1-454-531-7915,odmrlwraeidwpdezlahxleuq,D,,VEVBCJLBWBIQJKUWMWPVIKAGZMCPRUBBLMPDE,S,IAC/InterActiveCorp
HI,United States of America,55.0,2.0,Hmyssqqocluk,499.0,O,332959.0,DZFYIIEDXUMHVITLK,2.0,JUDOBVPSNOAKEWLSQGQAMTAIQLHMYALMNXSLCA,Dgx11291,0.0,Mesquite,1773830.0,1-528-105-2490,Dgxkhh,C,F,RMPHLNXZFEZAQABZRCNLSCMFTARA,D,Solutia
NH,Canada,57.0,0.0,cpsculq,432.0,O,309080.0,IAAZTFTOBTHJZUGDEUYUKP,4.0,MGTNTQXVGJPJBEJOLTWPFLUBTVB,Gub11292,6.0,Garden Grove,1360749.0,1-911-102-5042,Gubpdhzcbmwjwdblqb,c,,BUYSHQLMVTKDEGPOZUTQZRBKKRJIXWPIRFWZCSXVPAFBGSEKFNBQLHDOANMBDYRSTBWGZ,M,Perini
WI,Canada,82.0,5.0,FYPLAXHEZDX,483.0,O,339551.0,Wclwwnguqpaooyirowslyt,4.0,pnkxpeogurzcxroiqqmojnhigazheyasxepsevidcxssimcrtobwffrqccf,Qnt11293,9.0,Fairbanks,1553539.0,1-136-898-1770,Qnteisifyjpcavmzbsadliijamcdjo,s,F,KRDFEIEKMSUVMAW,M,Tellabs
DC,United States of America,55.0,4.0,BABEA,549.0,R,31897.0,HHJXJPSVFEHNFE,2.0,hgklidtapuacpuwbduouqtzpnauwxxukrvniiw,ugr11294,5.0,Chicago,3057035.0,1-242-993-0089,ugrjfmajdtjlhjdwplcizm,m,M,Jfodxqwfeajnrmayjitxjzwwftgzjhuasdjpipeqndeyasulhwimzhdscfrdtwuwgangxy,M,HSN
VT,United States of America,56.0,0.0,pkyvevfodyp,471.0,R,424187.0,Kiontwvwwegnss,,ptelfvoxegdkoeotqqxbvjcmpewmbdsxxomdsmzqknratgevqygvqkvnnjfwzrxmsokjemimdylqa,UWF11295,10.0,Tallahassee,1111687.0,1-272-722-4129,UWFRXFZOQTEVGAGKUOHLNCGMB,G,F,TJWNXFOZIIBKPXMYERRIZIRWTONJEHCVVSUPJJZQPISDKRPSPCQSVIEPFUITIZWEGLROUC,S,
TX,United States of America,21.0,0.0,Lbkqwbfxnbys,412.0,O,91406.0,pktmnncodrgqhqmbcccjhjema,1.0,ujmccivdtqwayojuojiuhulzxogrpevmdtlloufkvztxfqxogkrjkjoxkanzslyaxtojjb,amx11296,7.0,Durham,2426909.0,1-427-147-8030,amxabxbnftqdujluxzjrgldufpc,x,,FPOQLLLWQYSLBRQFHROSFWFVSRYFVKYGULSBAGPKGDFQYVERCCWOX,D,Continental Airlines
UT,United States of America,76.0,5.0,,796.0,U,439130.0,ldeamtkkqbegmowtzpbwojf,5.0,WNEUXPLYKLHWPA,XOD11297,2.0,Fayetteville,1645384.0,1-140-819-3904,XODKXJQFFN,w,m,Hvnfmxfvjonyfdlrqhbnqhlxyysgumfmrmdxrrcbyhrxrunoiyxmmbgzomqhcfaxlmqqa,U,Franklin Resources
VT,United States of America,,4.0,Wnhoheeur,,O,203900.0,Sskamsdgtiruhlwlcegbeaop,1.0,bqnlchuhqkhgaxpfcunxjpjajgsqshbdu,NFW11298,10.0,Huntington Beach,1125411.0,1-683-782-7104,NFWZDRPEHBQMFXROMLPCGDM,,M,Lfyivzheqttsmtcrculbhqgxruywblycmsfswqmisubsrjtyrgbfzwuqrd,W,Nicor
Nova Scotia,Canada,90.0,4.0,Vfvnhfspb,727.0,O,218554.0,Kvzbjigkuesnwbxefxzyioagbg,5.0,jeaugvbor,Xmt11299,1.0,Evansville,714834.0,1-286-009-0268,Xmtyg,V,M,Gaklfgujbycnlrdibzwuknqxpavudckvubhtqcqcbecfkjffevjxsnuobhljleplqseozamcpkjjnpbg,M,Vishay Intertechnology
DC,United States of America,49.0,0.0,Cqdlifu,362.0,O,442557.0,Odkknfvan,,,imk11300,5.0,Lafayette,3453729.0,1-542-653-1409,imkoshxkiiojmnkmdppc,,,rslvouwjegwltcljkusuccaztgokxmluhkhmmmnknkrfnqbryvcxpaoxxtecvhimgewgyhmu,D,Dell
FL,United States of America,49.0,4.0,LFDRQQVK,599.0,R,379993.0,Hulkvwksfd,1.0,YOTYSNCMCGFELYSXXNBLMNXIEOPZDA,Wok11301,2.0,Oklahoma City,10553.0,1-552-649-8530,Wokqlitppqdjzb,,f,YIEFVUDGVRBORFAJPJOWRIIOISTKRZ,W,Crane
DC,United States of America,81.0,2.0,Iualfhtd,692.0,O,342777.0,Ypsymcqvnjdyncphipwxchkmq,1.0,RADXAKZKEGMWGTHZXXRT,Jjn11302,1.0,Elizabeth,802449.0,1-865-233-1724,Jjnemmtoql,,,tfyyouvemoblqoojkcabeavdke,U,Pioneer Natural Resources
KY,United States of America,30.0,5.0,Nefuodqru,664.0,O,220954.0,Hvupcstc,,jidruzdpwqla,dng11303,3.0,Allentown,646641.0,1-403-441-7156,dngsolxxsptmicxoxvxkv,U,f,Hddxpzhpcbgemorxgjgquxeglgiaqcvubcfxkqascloprw,U,KeyCorp
SD,United States of America,32.0,3.0,qyvhbv,,O,30937.0,ALDTRLDHJCUOBMQAMWRRC,2.0,Cebpcqsodclhxcyhzjbkethibgtxxxcoivzyhvjazeipecsogopqiohdhrjkyazqchhjcitvwpgzu,cki11304,5.0,Honolulu,939590.0,1-950-137-1075,ckimogtgtrwyhnkikmxjsekhav,L,m,BFFHMNGHGBEGGOTVNHBPTWLKJKZWRNHRMXOXPAWEKVOASPBNPRRU,D,H&R Block
AL,United States of America,20.0,2.0,PXYJWAXGL,839.0,U,268707.0,YTFKODGTKIFQDXA,3.0,srdfj,Fvq11305,9.0,San Buenaventura,99396.0,1-834-306-6774,Fvqbdcfzywivkkwvhrow,,F,sbwarqesbmvzoelwkjsaubpcpftiqaghglbxjiflsxjggnzeawftvkhdkxm,M,Erie Insurance Group
MA,United States of America,53.0,1.0,Txnerydoc,620.0,O,58493.0,Wrpirulg,4.0,yqsuecnawvzsocebiyxf,HDS11306,10.0,Huntington Beach,348186.0,1-908-495-5891,HDSTZMSNGKME,,F,Vtqflceyamocrlswzchvyamvsrnvhrkxfuycwchdeilahucsrrpxiclyieuagxrmfu,M,WellPoint
Prince Edward Island,United States of America,,,Hmuqodrmoxpe,565.0,U,357450.0,Jdadnqpxkgnonwrptodhbkacs,0.0,YCZDQNFOATRSZROADMPOHVYTFOUMREUKLWTGCRAAOVRBLK,hzt11307,8.0,Waterbury,525745.0,1-234-377-6818,hztdxdiwcihnbg,c,,uremrvplorroikuvtacftzvwbqvmacqcqcrcdawluavrbqvft,M,Intel
Newfoundland,Canada,69.0,4.0,Xaaraaldoa,380.0,O,402241.0,Xzbqpuefcmm,1.0,Wqgdzmntkxykehwjeoajkjfnooviomzlthgrspomgbvbjxbwvuofjfopckvflfrszyydozsmktc,skv11308,1.0,Phoenix,1210390.0,1-058-467-6102,skvxgukgdnbewwpjeik,x,f,QSNAQMMTUNIASVLOVGNXTNINTFERYTDCOXCUXAVQILR,S,
MO,United States of America,80.0,1.0,Liaaodwnpx,772.0,O,122042.0,Hvrnnrltpbhmkxtjbk,4.0,KMFFNSTELVUQXWYVRLSTNQCKMNLRCJZESMOJFYZORRDVBBAPPTOAYBXFVRVMFVUHA,Kii11309,8.0,Baton Rouge,3032307.0,1-169-885-9319,Kiiruzqedkmvzjecaivxfkfhwuxkjm,,M,Spigxoreec,D,Dean Foods
OH,United States of America,63.0,3.0,mxeslhzceq,593.0,U,405951.0,ZMRLSWPPLHILQBWMKJFTQKQOR,1.0,VKRIQMFXTSXFTDCFP,YGE11310,4.0,Halifax,115832.0,,YGEIBKRBHUJJ,R,,ARBWRWIZCFKSPWTRNDNAKUYVWTEHXILITTUPSTLAONZNDHJZXPJJTCFMDAPHJBNDHIMC,W,Fidelity National Financial
Ontario,United States of America,12.0,4.0,Eslsox,676.0,R,183120.0,Kuntxeehcpoxvyaeuzdwkoe,4.0,Usptcelnkzlglxclgcibnmhcbhzbnvqgshbpgnjfh,axu11311,7.0,Detroit,3971250.0,1-605-826-2886,axugjjhsxfmf,,,JIQIVYSPYBPEMVBQRNIXDXZGIXZZNEWBWRDQDPJLGUHMERICBLQLWCEQEXFXNKDMMAJLBBGENS,W,Cypress Semiconductor
AK,United States of America,85.0,2.0,Xrziv,760.0,R,240316.0,Itdddgm,5.0,vxhsmljsgwqrcxcbmwmqemjembtwbbgcpvfnnxxjcamlehikksabcnpbobgqqxlwzdzcmwdkaqfuak,Wey11312,7.0,Riverside,3091623.0,1-204-549-3635,Weyyqknslpfohtivrelcluekoy,,f,Gkwfiwhguwlgunvjhciqqrryubkykntfgofcnldtgslhwkltfjzjhwgtlpixlqy,U,Roper Industries
FL,United States of America,,1.0,guzcp,471.0,R,426953.0,VVDFPIPNNNBUHRZEUY,0.0,Gjpia,Gaz11313,9.0,Atlanta,,1-505-006-5713,Gazehyqanxinfumgy,,,,S,Cintas
MS,United States of America,59.0,3.0,Ffxruvkmy,451.0,R,466235.0,hkuueterethmmqokjajtmgvy,5.0,bedrbartftalgcemxadyxwvbec,Skd11314,5.0,Wichita,2082774.0,1-696-497-1606,Skdsshqjvlvvkkxexwxbhxfgfi,,M,gffhlieaeyzvophhkfnapeehjmtuviyqzosljfvvqwqjutfymukkgflkmcwg,M,Philip Morris International
Quebec,United States of America,65.0,4.0,Ekiodn,738.0,O,242391.0,qftulqm,4.0,Jfgesxvypjstqrzwfxoojdypsulffrstusqvdsjgkanggtvdpfybwzthmvxvqhvbixitc,Oni11315,,Fontana,107328.0,1-546-217-3273,Onigtclrzeousrn,I,,kvhxttnffntphqqaraxdnpsdvtsdgqrsgupllhxwxh,M,Marshall & Ilsley Corp.
GA,,32.0,5.0,Bfaamq,521.0,O,112003.0,Gslmorpoilcbphxorvvcbwar,4.0,,Kct11316,3.0,Huntsville,2499732.0,1-281-562-2121,Kctowgbdefwpimmoky,,F,vmfox,D,Annaly Capital Management
IA,United States of America,81.0,0.0,NJGUFKQVRGPD,434.0,O,1551.0,Rznfyzxdgohnurjejrdvihqacsj,0.0,Jbiouwnuweuheumnx,QFR11317,0.0,Corpus Christi,2276604.0,1-512-566-5119,QFRKWQYQJRYXRCKHBGE,,f,Gogzdqnjzenekrtdreqftfmbkoklwyhjwlmhphgkdhtleunnuaglignf,S,Ferrellgas Partners
KY,United States of America,60.0,1.0,uesydap,383.0,U,135827.0,Vuuwghmkmpbaiqixzdbe,3.0,Voupdfzxylpzrwjdazshmwkcajzbwi,oai11318,7.0,Omaha,2862245.0,1-439-119-1797,oaituhgjnhe,D,,RLNVXEUZFVPFKSEXRBUYHDPLKMZTQKBOWWPMKUOZBLQARZVMVM,S,Acuity Brands
NY,United States of America,99.0,0.0,Tqyldqmv,354.0,O,285.0,Iaidklimv,0.0,GKKQROMFVXBUPFCFELKNTBLRTLZJDIAREHRTQRENLQOQTMCDOKPW,Vns11319,10.0,Pueblo,516195.0,1-943-305-9972,Vnsdksw,,,,D,Catalyst Health Solutions
AR,United States of America,77.0,4.0,Ciuhbsvgu,424.0,O,201057.0,Rtbvxjqmbdtbojlbuzlahgbpn,2.0,gbvpwrqrapaaywfyhlvhaabbcjmeztmhtiandoinupix,Heo11320,10.0,Miami,3978898.0,1-075-145-9510,Heoydmlwaqrmrnqdhriphauimscg,T,,Eyyshdkhasqgrqqxetdkziodnhndckctwgjcamngb,M,SunTrust Banks
AR,United States of America,62.0,4.0,ZJJJKFB,,U,,tqszglnugvqesdafnohhrklzhrnwq,0.0,Xuumslrdzpphbctbxyrbkfmidqkmwkvdygvogjhkdhnjjrfpisyfxqsjtcdba,Tdq11321,2.0,Wichita,958632.0,1-740-351-5671,Tdqoekpdkqarvpcibkgshr,,,Hkywahkgeeplwkkvfjbljvaniphxoqqpfidsbxwhdueoc,U,Continental Airlines
PA,United States of America,79.0,0.0,Ysfqg,657.0,U,170325.0,Srqofjzwfpbfw,3.0,Ycaiuydyvfaiewbkauyiwbcbnoutlebtahcfvalxillkeox,xpm11322,,Biloxi,333743.0,1-519-250-4548,xpmnhcqnnzi,n,f,Sqnelalrkcwwt,D,Winn-Dixie Stores
Manitoba,United States of America,11.0,1.0,XYUMRXG,308.0,,172884.0,RTYAAFBAMXVCUXIYMILOOLUDU,1.0,iebapbuobbrdxafxkpjfxebivqdjsqmzeoshfhyxbuojlortgixrt,Euk11323,2.0,Chattanooga,1388016.0,1-092-105-1713,Eukwkolfbabafghmutvwnifkswu,,m,KQASMGEYCIBVDGGOUOXMZNSPJYWXNKCIEBJNRQSJ,M,E*Trade Financial
CT,United States of America,70.0,3.0,MUKPTLCHQGS,741.0,O,398685.0,hrlclv,0.0,uperahgtnrqjsoo,Pxk11324,7.0,Kitchener,2445180.0,1-456-330-7198,Pxkmedxunkqszaensalycgxwu,,M,Llxyflaclwywwcbtgudccgmoadyrelerpsy,U,Regis
Nova Scotia,United States of America,8.0,5.0,CHBTX,667.0,R,332418.0,Xxkaoywhutontdgarcwezxnb,0.0,ztjnvbmauyiwawpiswoonqwxlmpwwyqifwdxsihhp,tpk11325,4.0,Charlottetown,514703.0,1-326-894-4273,tpkgcpsbggdxkrsitsnhsetfqi,R,M,qvajsozllulhpizmybrosjztnoagbpfdkezlvkbuesdgwotvhxxetojjegdzhnbjtae,U,Century Aluminum
Manitoba,United States of America,,4.0,Jbsqxkrljji,554.0,U,81903.0,Xhyrbszap,1.0,Qpxukelfgbrtsmssytvrcedlrhjowbufvjwfszjy,ssp11326,0.0,Brownsville,877908.0,1-810-725-5663,ssptkllpywowqqzla,e,F,Vrnbtwmyuzhklypljtjg,S,National Life Group
LA,United States of America,17.0,2.0,Jlewvc,363.0,O,290471.0,Mtkgsfnskxjqlst,0.0,Pllkfxdokpbhmkrwtkzbaywkupohaqjqkahlh,Whj11327,8.0,Carrollton,2929968.0,1-293-436-8099,Whjtjmixisefdbntbbjuant,R,m,wmmkyiunwiljjvcpust,S,Applied Industrial Tech
NM,United States of America,2.0,,Evwbau,716.0,U,275201.0,qwujujpmsmogelgibzfuocmjzn,4.0,Hrmttebznjvqmmtguqnlclrtarihwshmlvtzewtodwnaszcxwpptiqzjjo,qpm11328,5.0,Las Vegas,318288.0,1-599-272-3292,qpmuhafryiwihkznillufamkrx,L,,BTKWSHUXRSNGGTTSANSXQIWEPHIIRFJ,M,FM Global
TN,United States of America,89.0,1.0,Qxthljvqdc,734.0,,460979.0,vkzecfijwkvjqcynvmfdg,5.0,PNDAQEPZLOHHVIXWIVESYMCFSCZFQZHCBTTBKTRFVHHCI,Fhx11329,1.0,Stamford,2898082.0,1-785-951-6872,Fhxczypmuypvvabkzlhh,,,yubztkkrqdqluveqeioqnhwvvxtrnoeyhxjvq,S,Yahoo
VT,United States of America,16.0,0.0,Gjzrfn,728.0,U,254093.0,Kjniivslcsruyqpiy,3.0,Ezlspuectkufgfdnwhcsmlqfexjuorweizhvqkh,AGF11330,10.0,Wilmington,157768.0,1-940-078-3143,AGFVTI,P,m,Nlhrdhcxhnytvxjohidseyijkokohprdaatmklklbbuzopatj,S,
OH,United States of America,26.0,3.0,Zcqgmloqmrc,315.0,U,61452.0,Vtxjlxocdhceqobyktm,3.0,Ntaokfasyxgfirixcaeuaissigpeprcvnscfgaeeqwnyhztqnqrrzoqesviyapyxzrruhs,srg11331,4.0,Sioux Falls,3828862.0,1-968-826-5703,srggbudtniw,,f,PXTOYXPYWWIJPXBFPUQ,U,Constellation Brands
WA,Canada,68.0,5.0,Iawfkunuz,766.0,U,237493.0,Dwduqkfrwtiojmpbediolyakwpnj,3.0,iifjuoyscsaplwcnkihqqiogblxxrkujodiyezemjc,sgo11332,0.0,Dawson City,996857.0,,sgotppn,,M,Zdojdzupfwogdfgwrnioofaobtzfurknleobpuvoyalyyozhjkszrwoqx,S,Fortune Brands
OR,,60.0,1.0,kixtisovfy,497.0,O,204131.0,pmbdgp,2.0,Inkweepidorborqllwshrgvesuxaeoycvhmddmlvrbgvebxd,Wcr11333,5.0,Overland Park,2041319.0,1-051-429-9580,Wcrvpiyinvomwqceujhp,U,m,tokgxixdzzccxvunbevdlkmiyqwvjbshxajjfblfaccjhwpdgalutsaglepuyhpobrfp,M,MGIC Investment
WI,United States of America,27.0,1.0,EWFDGKLFT,476.0,O,91930.0,Nvxqcxwyzaspnd,2.0,Vcfuvnevlsvnltjcorddkphkbsalrawcwirvcbmkcbcxwqgwxmsprakroimwktwgzaxvduztbgac,uuo11334,7.0,El Paso,3315704.0,1-954-259-4384,uuowuryqshtetvq,k,f,dlprheqoiqkfoygtnkrxwalu,M,Wells Fargo
NJ,Canada,28.0,3.0,Ivgqipg,389.0,O,366485.0,gckpglcjkrjuhxgen,1.0,ebrveeccosielngpthjaallxfpwxosmlmzwzoryaludtynibmlwftk,Ovj11335,1.0,Casper,1098594.0,1-164-233-6272,Ovjvtbzqoibaxenhdsuiupe,V,f,,U,Eastman Kodak
Ontario,United States of America,81.0,3.0,Ewadkpfb,710.0,R,310453.0,Nyfxssrpcexru,5.0,wopzqogmoposx,Vqr11336,8.0,Baltimore,3972846.0,1-200-170-0447,Vqriqvclddgjkwflirfujdffgqhl,,,Lrzocdfceoucleezhgzjnxtmctmrpavjtlcrvbujocekfrtiesdsnkfdsqljlbkhbt,U,Corning
SC,United States of America,19.0,1.0,Dxmmjmzplix,797.0,U,134003.0,juolfseaos,3.0,Dbqctrfihsgwzmiiwiqiikwjucnfxxkmdlwyrojfkeyjrakqgjhjhncpaqekiktntwmhncqehy,Vpe11337,3.0,Fort Wayne,2058471.0,1-938-750-8141,Vpeiouytyodkeochmcuqaalim,D,f,zekuhicombeezxhrvljairtpepxlgllmhdgouoprvyanwvfdbfrlzkj,M,Quiksilver
KY,United States of America,56.0,2.0,Tkuibcbg,320.0,R,57532.0,Bjuecgepc,0.0,gavpikjnvivmhpxsajyngyunutyarnpvxawszcocfqcketdbqlxmmpxueddkxraaacvfjzevjdfksya,myb11338,1.0,Regina,2519877.0,1-620-650-4218,mybskgajthmotnw,,,YDUNDOREDIONANEPERPLPQOORNDNELOTIWAGDSXZGDFJIGMIMVMPGMNFTGQODVMKVBQUMCAAC,D,Fidelity National Financial
WV,United States of America,75.0,2.0,Mvrfb,412.0,O,,INVDGAFPFKHLVLLQGGXXHSNWTI,0.0,Skcdiylxptdhchhvgboaflwrgasbkdlpodrgsoqxhxrxcumwmmqeuabxbjbyd,yfn11339,7.0,Sacramento,1088521.0,1-338-554-3849,yfngcyudncijpi,V,F,,M,Textron
HI,United States of America,29.0,2.0,Nxcvwfqxfzqi,534.0,R,293450.0,Knemedtgwmi,1.0,EVGRPOWOVVLJYONELLWOBITWSNREBLSBJ,BUX11340,7.0,Lancaster,911894.0,1-363-433-6679,BUXBJEGKC,c,m,XSYWIAQBFPIKZKJZKIV,M,Autodesk
CT,Canada,1.0,2.0,VMUHYD,378.0,O,128451.0,Xbmeomnrzczstu,1.0,xldnwijerzdtlosfnacdtqkeyoogokfvfbadkjkawmcmdbph,zru11341,9.0,Iqaluit,194236.0,1-796-745-2581,zrudjdztuhqrlmahlbf,I,,Qgssxwxbpiguizygksgwuexkpqliqinwhfowvrkkgojuecjraellyiewtmbguvvbgrmni,M,
Ontario,United States of America,93.0,1.0,LTOBGSRQR,741.0,R,,seoujpdlzolwburhswff,,xscxmpeotwowpcguzubumuoomijkerstnvtppnayqjoaudwrjpjhvlvwyb,Gvq11342,8.0,Rancho Cucamonga,2968079.0,1-074-800-6938,Gvqgbewvbanb,,M,,S,Agilent Technologies
KY,United States of America,22.0,4.0,Dnkkfm,647.0,O,63716.0,Fyypahimuxrk,3.0,Exuizvwvwvtkati,XUT11343,5.0,Yonkers,720392.0,1-663-301-6637,XUTGWCNUASVLCNIGWNMD,,,Pnkdgcorbkfvtjvsinthejmjyihvfcpisnzuwryvcysnxqwxapicw,U,Equifax
