MarSt,AdLi2,NuC,LN,AddrL1,PoC,Ph,Gen,CrRat,Ag,Em,Sta,In,NumCreCa,NeWor,Ci,AgID,NuCh,Cou,MiIn,FiN,OOReF
U,HIUIRTMKTKZJKUJXMRPNTYDPGRX,2.0,RGGUOMYWAKJGTBXK,Xibvofrouiopmuyolwislfcdpxhswoejdcqzte,kssdh,1-794-395-0071,f,819.0,70.0,Lubrizol,IN,329602.0,1.0,1714551.0,Mesquite,RGG11211,5.0,Canada,,Pisoiumggbntltkoydibkzgjgtmms,O
M,CGATFWHGKQEC,3.0,Hkxdufsqcpshsqnpwmesziqi,Mosxrgyywsowxdwjltdnegwttkacwzpmlqqwmvaiaqxcuacxbkrwhiyyzjuu,ooojktqepv,1-555-727-3281,M,554.0,29.0,DRS Technologies,HI,116542.0,1.0,1054877.0,Virginia Beach,Hkx11212,4.0,United States of America,,rvadgrp,
S,,1.0,Fwnziejcufwdwaanwynpptdth,Lzdluypasktxvkymouavcxeuvbfcqpzdoetiegysbvwaenjarrwvhxtk,Dyutvkeu,,,478.0,39.0,AmeriCredit,MN,356509.0,6.0,1534581.0,San Diego,Fwn11213,2.0,United States of America,,EMODDDDDBEXPA,U
M,Vroepnpalttnsuixfaxygfdzgdmsqiwdmzubf,5.0,Gtumhdxoflbvfcwz,Srnmevvwtampxpectaoilojrjqmircqsoyplmrdmvayqzdjdxvfmjkr,zrxdhsmstosq,1-164-470-2706,,716.0,,Raytheon,UT,421287.0,2.0,3125011.0,Jackson,Gtu11214,5.0,United States of America,Z,Kdfefkkwnxcpuxgha,R
S,Lalaecbdllimi,3.0,Aqwkihmidlufubmlatuyjovi,rcmmpwghcbcncuoofulhcpsucsooikgpxmfvgjcsohxcqectwdtctzusxcrbtvmzacjcgxczbwzbmjge,Hmwug,1-600-665-8513,,404.0,93.0,,PA,296076.0,10.0,659100.0,Idaho Falls,Aqw11215,4.0,United States of America,,Wacdherhyjrs,O
M,qlommwfncedbpjobdvphgkxeaasqrvthqwdf,,Dlbzb,Pmjaugxedbqlyihdmluntrjreecxozjxgpexntjwgfwdtguoxorbbkgicjijvfnmnukckjhncrcmjn,kcvqwncic,1-107-686-0540,,544.0,88.0,,UT,130659.0,6.0,1448603.0,Fort Collins,Dlb11216,3.0,United States of America,,Ubqimsfcrulvgfddtbf,O
M,itaxhuupcybvnfspbxknlrvtxfclqpsrqwkknvqvusetftofrofqxqejpiydsilxiajhewlth,4.0,npcrpocrl,XIXJPQQDDKIWWWKRYAPRKFLEHZJMVKPVCHJIRZMPLTUMKIWWAWYGVMKXBSCRDRHAGHUE,enuflmwru,1-663-382-8230,,736.0,28.0,Kla-Tencor,Manitoba,,5.0,3730627.0,Lexington,npc11217,4.0,United States of America,V,Athhhcabcivaffdxnx,R
M,Nztjn,5.0,Oscfgslprelizgjdxfeft,hhlqooxcqatysrwsdgiyfhvoqloijouxlquzclnoseolmdsblwbixvvumjnchmeqcvwacwdju,Ojkscee,1-255-564-4632,M,542.0,62.0,Plains Exploration,TN,297262.0,5.0,814723.0,Fayetteville,Osc11218,1.0,United States of America,,BLCQHNHFYJKRUQBFKCNZSQTCORL,O
S,EYXHYLIBPZEVJMICSOKKISNCVOGCZQUOZ,2.0,Olhyymo,ACKJMJLLCMRCQOGIIMVWMGGFRBHVZXMIJVDDCGLYRYRLEMLSEWUTZGYTGBQYAKHKTJFNUSIDUYB,Wcozf,1-123-569-6644,,636.0,72.0,Granite Construction,MO,154673.0,3.0,1879314.0,Baltimore,Olh11219,1.0,Canada,,Qrrvxiujvjyhiuav,R
,pzsyrhdckrgmjmmkwgjkyuusqsrjkbyphvujlaluvdim,3.0,Vbsgtaeignehwvoliozaveyowtd,azcraxcvjbhojtanwkstvsqwekiakxauyytnbmqj,uucbmpv,1-494-686-0991,,361.0,85.0,Cabela's,TX,,7.0,937191.0,Phoenix,Vbs11220,1.0,United States of America,,KIIIAL,O
M,sofftfedzdyreeyatnvyihep,0.0,knganjdmwibrbqptz,CADMIMSNWQDMOZBJIXTLUIRFJKMFOGSSULSGPF,Dlqpghqgl,1-679-486-9039,,308.0,52.0,Hub Group,OK,36086.0,8.0,3465698.0,West Valley,kng11221,4.0,United States of America,,Nrnbkkrg,O
M,ibvcvyruhdmkjttwyqr,2.0,Lestjyfetcbemfqmttcuvgddgnfwol,UCVNIBEMGFSUNSBOFEFVGPQKTOHPQYCPUKBPAQMRMKGIROTW,Iyynrqwwg,1-570-775-4529,m,555.0,21.0,Sunoco,TN,293557.0,9.0,2808627.0,Rancho Cucamonga,Les11222,4.0,United States of America,,Hknqgdz,O
W,Gofsmctjqgarxrjqpqkctxokjqhsfmjiocrmzhqxiwpgfz,2.0,Nimimzprluoqptvk,uqisrdiktrqigztnpibhhobdmrdbwfgequqgtgbxchqofszluzvdqtqvtxjxhorfjmguyuhuqqgvv,KKHAK,1-980-275-8196,m,686.0,65.0,McDonald's,SD,192150.0,5.0,2408141.0,St. Petersburg,Nim11223,0.0,United States of America,B,Oqfvrqqnrsf,R
D,ngesdtqwutiqfanx,0.0,Ystmmqeculwklhuxcm,,Gwulgg,1-672-259-4507,,596.0,69.0,Dow Chemical,OH,189404.0,9.0,1109266.0,Pasadena,Yst11224,4.0,Canada,,XEATUJQBSEBKOEJJDFMCXQQZ,O
S,Onzbvxqzaxlzunfwqfuzstnebrhozvktdbhpbnjaiorodi,0.0,Taypscs,QFSUFBONHVDEIPBEZHCAAIXPETMRMQZTICEHGLGBKZWKGSIHZJOLTJPWEATEEZPXHAJZWJDMC,AMTGEPF,1-923-160-8373,M,590.0,20.0,Travelers Cos.,OR,134981.0,7.0,1410948.0,Pittsburgh,Tay11225,3.0,United States of America,d,Pnqpfoynqnvbxbpdvpohjfcagnuhu,R
S,Swxsyooifkdbfiurgtelqokhwsv,0.0,Dxpqv,Nekhfxivqlkglmtgijlccnxrrmfdpc,Ruioktf,1-840-042-7421,m,761.0,73.0,Pacific Life,Newfoundland,130837.0,,1977154.0,Baltimore,Dxp11226,5.0,United States of America,,njujnvd,U
S,Kzuhwqmsmctdkjodqmrlxqoqeiabtfkmgluaweotwruozbjgrcmptjjotrbsipfxnzuypporznsmxmbw,0.0,mpblchjnrq,Gquatsccfwghswmqxlxfkpvjxtoolyjmyebeygvwvuwonnhoh,Ztdwwquejela,1-408-258-6122,f,469.0,79.0,Lockheed Martin,TN,281841.0,2.0,1167969.0,Oakland,mpb11227,4.0,United States of America,L,Kvafidwmhebltjhrg,O
D,Pylilnoghrkdvwkbksvxwqmhljcatayxowjlgsftveoxjtxnk,2.0,wsacxywxdnxndcibobreliuivgw,Tikjnggtbsejjjdjkkdluw,XIKMWSLTZG,1-609-892-9521,,578.0,61.0,Mattel,WY,,3.0,2230844.0,Chandler,wsa11228,2.0,United States of America,,Bcqmbiixvymb,O
U,Qgbrrbdfqphkjedzflhxljucgvcmgmxljjjcvdoin,1.0,Qlhelavmdlyb,Trvurpuoeyrwlaushnlsalvvrpnfqupqdohpjhlfhdflgqjqcfmxjtblytlcbuttgbxlmajqnju,Xcrfvptk,1-930-066-1105,,424.0,,Hewitt Associates,NY,164027.0,5.0,3031669.0,Oshawa,Qlh11229,5.0,United States of America,j,Fmzrfuhtkwoxgaflzvhijsjbw,R
U,ETWJCKPBCKIZ,4.0,Nmojbatvhyr,Xsyywrhszitmyquhqlqbeknchuhzvlzxfn,AYTZV,1-785-807-7455,M,550.0,88.0,Interpublic Group,NH,462309.0,0.0,1235970.0,Bellevue,Nmo11230,3.0,Canada,C,ljlorbzxngmrawwecwfvgscdidvoc,O
W,,0.0,hanbnxjmwgzoktaebuywqvrukj,Bcvdhkqvcnofwbatgpoporkpolpxeyoxuet,Yqtrwx,1-158-482-0351,M,595.0,46.0,McCormick,MO,436892.0,7.0,1409955.0,Lewiston,han11231,,United States of America,,Rxwlscwjsc,O
M,jtklhswbqjkvnvcgskgxziqxfbfbhfaldvdixuuxdqrfrwucjxypdxejxnzwewsgi,4.0,Mjlfsadmduosazsjvimn,GOBEKMWRG,Pggaxy,1-705-248-0509,,690.0,60.0,Ross Stores,MO,162079.0,2.0,2613791.0,West Valley,Mjl11232,5.0,United States of America,,LFOIR,O
W,Wtomfjqxwwlunpaepociusekgcbwdntnuhcwyskngswolayxvgnexvdzuk,0.0,Zuykksxzmqbhcsfmmlxgzjtaijpn,Cqqqjzgvrjrjekvaezjnwwabpifsjcrbrggmrcgyaujftvv,Prolozpcdzv,1-971-273-9316,,456.0,58.0,Icahn Enterprises,LA,243380.0,5.0,,Bridgeport,Zuy11233,1.0,United States of America,J,PSWGOQPZNMPNV,O
W,Vlaxhlhnziprqmmnvvcoic,2.0,gcnhgbnytmugwbfwiyjiheizds,Yerst,edincfo,1-131-833-8875,F,406.0,78.0,Williams,UT,316002.0,9.0,2747343.0,Peoria,gcn11234,0.0,United States of America,,Bvqjiquhpbkqclczqxaihpvh,O
W,ceaxeheazggtguupcrbrmwdpxkqsksnyshiamkszbxtfwdkygsawlrhlhar,1.0,fmniqufxeurtgkvdjuldodyfblw,YXERJNENHGKABSFFJALCEMNVTOUDVSBWCRYOFBHSRNUNQRJLVGOBAMZXZUKSMKCXGWIVNQDNQLPZPHU,HUVLISPVS,1-843-123-4063,F,672.0,92.0,Huntington Bancshares,TN,440853.0,3.0,2062648.0,Milwaukee,fmn11235,2.0,United States of America,V,Zyxqzsouoyopjnonimgwwbdzada,U
M,TDJDZTXE,3.0,SRWKWJVQ,Efzazzpbjdowuzussctbiwwnxfuxywcycubxe,jtsppmajh,1-116-177-4365,M,594.0,35.0,Hershey,SC,19138.0,0.0,2837974.0,Reno,SRW11236,2.0,United States of America,Z,Fuqjsgqfvydxvlpcurgbedkcaugtuj,O
M,Xvqjxmxggcwcazqzxubajoxymxhrzivytenuchyldjpesbgufxzmntpzg,4.0,Ituhaovisuh,rhncdtekvneuxqgqagwpi,Gtvlzjwx,1-313-261-4811,,433.0,42.0,Avon Products,ND,287071.0,4.0,3995777.0,Escondido,Itu11237,4.0,Canada,,DATVFAQRWLXIVNYVOUB,O
,Jmnya,1.0,dwesopfqfa,HTEUBDXAJMDDOXHFVRCXSCKIXWOTFUG,Rbidbxqj,1-349-618-0467,f,667.0,29.0,Varian Medical Systems,KY,365741.0,9.0,1904958.0,Montgomery,dwe11238,1.0,United States of America,z,Dgesnlpaabsbbaumwdlchl,O
D,Lusokruulkxpdfomjtweydgziovpacvvprglaqiieghjfsy,2.0,GMBAHWBXLZBNOZTMAHBNWKWYMMIRLN,Yfmkahvpnvgrimpiudjglkdbforyattgupllyzbqkaqiowxuglxjqtgxaqytulgfozaiwjstteio,NHTAWBIZD,1-359-871-4035,,,59.0,Baldor Electric,AL,81412.0,8.0,2422577.0,Fargo,GMB11239,5.0,United States of America,,gzyeqjddagfjxcvygbkfhnctu,O
M,Spufsrghcorjdbwrwxbehxogtakaoskewerwxsgjoqkppbgxcdkxskvsjncxt,1.0,Dweaoltxhvgsrl,Pwtqmwgftjlxiswweknjsghmjsaiaynndculpmxolzfpypxbnpcyamcfx,VFKGMMSEMQUU,1-312-059-2732,,781.0,74.0,Helix Energy Solutions Group,TX,351289.0,7.0,3637239.0,Phoenix,Dwe11240,0.0,United States of America,,Zispqbgsmf,R
M,Kbvdxduoofhiwcwicpmndrywjq,5.0,HVFGR,Tgvkzvweuvtxisppeooreotfhzhuunqwsqmfmlpmeeuycqkekxyliaccnin,Monqwxepkd,1-572-371-3797,F,733.0,61.0,Leggett & Platt,CT,117226.0,5.0,1283618.0,Denver,HVF11241,5.0,United States of America,B,Xumummkmzhaczqezogd,O
M,Nogksimvfdtjyghiakafuoxrstfusypruznufmrvbythkvkothsdsithstw,3.0,Zcbqxjjiiai,Umbmivwhhaxgskouqfdlvumxcwvajxzqhuglbncufbdlfcon,Czforlbnai,,m,832.0,85.0,Lockheed Martin,VA,377807.0,8.0,3892707.0,Salem,Zcb11242,3.0,,,JZRGBLKACSE,O
S,FKRTPGHSZVRFCXCJMODEQKHFAJJOCXFUZTNZLVYEMOGQITLUPEAAUNWRAUEHDGOTFOOIGSURMF,4.0,Ynplhwqugecatfftmdkh,qanlkewxpsbeeoepsimwkbolxbbukwmcnjhrqrnfpbwmrbfsoth,YYHMUU,1-677-245-7333,,810.0,45.0,,KY,76088.0,6.0,2679837.0,Fayetteville,Ynp11243,4.0,United States of America,b,Tbqozvnuilaiety,R
W,fvetilspbepaxzpnfttxb,2.0,Osirsxbrhlkwktqfvrbqsiqsh,bfamerevghmfrioazaowfzsvqyzff,,1-671-855-1457,M,665.0,,MasterCard,MO,362310.0,7.0,2147856.0,Tempe,Osi11244,2.0,United States of America,,Tdjmntmxrrpkzxjqyle,O
M,PXTEPCJXIVFMWUFSLQXQTESBIRTVPNFW,5.0,Luqwavkqptpruatmfeeljzuvlrtbu,Rncpfsdqdrunlyttwvrgtmwuayujksztcwtmzndkdolxl,toafz,1-611-389-3242,F,613.0,71.0,AFLAC,LA,291871.0,,1448391.0,Beaumont,Luq11245,4.0,Canada,,Gqlwrqnacbdrdsdalzypvu,O
M,VYABDFBGIITDFIGFJU,2.0,Rgqdvabnq,gxtazworrpwgiipijdwzdmcsjsmkopxtkrnfjjjgxhdyqdmrxgzinvrhwpaegtvxjenntuazvdxtt,Gjxyudkgjpr,1-920-635-4208,m,815.0,79.0,IMS Health,NH,21046.0,5.0,1334212.0,Houston,Rgq11246,0.0,United States of America,,Vzoqhemczksmnfnqrlfgvloitgq,O
S,TPREAKPVWOINJFQVCHUAUIKJMCLPAJTQMFWVNWRHVSTFFIUBXNOCQZQPRVOZFOM,5.0,cvtqfsmronkw,QJXMJCNSCJMVBXWBLSZXEYLMWORDLBNYTWOQYYZIUMCGEIFWBWRGC,Vrballvlaa,1-302-370-7181,F,726.0,,Chemtura,WY,417683.0,5.0,,Dallas,cvt11247,5.0,United States of America,G,zkcvgsgbpzopbsyvxonlawbsacsf,R
M,Fslqwnegodegjncjuqfgubecfhhvpwhtlxungyczpbiqlpuchkfajnauosika,0.0,ajbmfvbiopntzkowpupdhbemitkepw,wjgfwyrbgwqdjbvcpclwrzpujmjlyuuddnariavvuqxvkur,Wqlhas,1-434-634-5403,F,815.0,62.0,Dell,Nova Scotia,177143.0,2.0,762399.0,Grand Rapids,ajb11248,0.0,United States of America,,Koddgovylcrxbblkcjxcfhaeex,R
U,IVOWDOSUAGZGXHICRDTUECYBJX,5.0,xpgnxfl,NUWLWWUYDRNTLBWTU,Jxpxsytgz,1-829-618-3623,f,388.0,,MGM Mirage,ME,447237.0,9.0,18399.0,Pueblo,xpg11249,4.0,United States of America,,yvfxgd,R
W,UNFWQMIKXFEVRLRCOCVAGGXJIIWCOBAMTDNQRXNAHUYKNFSUFGWICFRJCKIBOMEQUBMWTVREZY,4.0,Sxxbinyuahjlydhgnydgfjkzp,RWGSMQAJWRIPPQYZBKLIAGILGRXYMYJPXKDGNDJIWDJVIWKIXNXRBWFUPTODIJAJKYWOPL,bdwxsxors,1-891-864-5526,F,613.0,41.0,Trinity Industries,NV,19891.0,0.0,993962.0,Fayetteville,Sxx11250,2.0,,,kjkbtwlwnivheozumusvmctwb,R
M,SBKASOTSQXAHHBADNRFUFIKNGJIINIJMVUHYKXKVFFGSQNTXXODGRSCMS,1.0,vzpguwryowakresscfrdvxrdade,Vzfexslzswiluxmzrxacztscrocgabrywjmoubgivulbnvubylpwkwjw,huqiugckz,1-666-982-6284,,365.0,19.0,Moog,SD,232545.0,6.0,2573906.0,Anchorage,vzp11251,3.0,United States of America,l,Ouiltykmfch,R
S,eurcekncpmsdhmhiugptupfznmjewcjv,5.0,bgfkkdi,CQGFNAVTDDKHMOLBIFICGCLMOPRT,NWWSTU,1-136-946-0924,,806.0,30.0,Aventine Renewable Energy,Ontario,274111.0,5.0,265459.0,Costa Mesa,bgf11252,4.0,United States of America,N,hvnpzosuoyzhxtrqrhbbqt,O
M,Qyuhzbwjwywfkuedwupfnbhrxfyu,3.0,Ydwqs,KORCJYRRMQGSZDYRQSRSVZCEBWUHGUDDEUFGWMYWKKDUORMILRPVOYFKWOWQVLQM,rnsqcsycs,1-245-079-3393,m,772.0,54.0,CSX,IN,239120.0,6.0,3518058.0,Mesquite,Ydw11253,1.0,Canada,,Mckjkdmiap,O
M,Malslctarirhmmdgotutwkyrja,4.0,bseibuulmiesudwxkykxgwew,nyvawitqlyvheiucyslzruddyqfrxiio,Djwoye,1-205-946-2883,,363.0,89.0,PPG Industries,AL,67807.0,7.0,3347273.0,St. Paul,bse11254,4.0,United States of America,,Fkhsehfsjbmkqpkixgp,O
M,Sjqzorlj,,Jqfsuwuitxdmmbxa,AXZTPMRNCVVJOXLTBVTMA,AUSSDJHVFBK,1-657-257-3342,a,595.0,6.0,Greif,HI,276211.0,3.0,308579.0,Fresno,Jqf11255,5.0,United States of America,,MBYNEEHBTNIRHRK,O
,GEHNTZXDSTSKFQNEJCTBCBNPMIGJMRCSVSVIGDEYWLKTOGSETJXASP,0.0,ddrpxugzckjywsquerkhejcscugsj,ppeziznljyaffpvl,ZSAKFIEO,,M,738.0,75.0,TJX,KS,15160.0,8.0,1120721.0,Macon,ddr11256,1.0,United States of America,,nsdxyswhdikai,R
U,QBRDOBADLOJPGEU,5.0,Waimxdyyns,winvsnvhvbejptgompylqrvvuxvlgdzlsorwdv,inaeyb,1-526-947-2279,D,765.0,51.0,Manitowoc,IA,221640.0,9.0,3624132.0,Mount Pearl,Wai11257,5.0,Canada,,Opyyw,O
M,ZXYKATOTKWISMMIXAJBISATWHYGHKADADLNVGEHKSSUII,3.0,Fstjdfcilmptvnuzmn,Aabeakqdzmcpshoxrrsooynojmsg,Ycuumhqgk,1-672-375-8978,M,661.0,22.0,Boeing,MO,80581.0,0.0,2614807.0,Berkeley,Fst11258,4.0,,,LZVQJPNGIXPOX,O
S,brbjxcoftmmacztnabemrdqytiypcxejkhmmxuwhoifupsbzhlmlkmnbzcezcttcumc,0.0,PVHPRLNLBOLYDHGBOZMYUS,Yfqpnejclthrjjyzequmpcydryjzphwefvddgsarxywbfl,lnqnei,1-274-972-4757,m,697.0,42.0,Owens Corning,ID,115336.0,9.0,3691390.0,Amarillo,PVH11259,,United States of America,,DXUUUNVKSNHGOJDUKGJUUWN,O
U,Mxumzmvbqxxjtfs,5.0,nrbyxioemjmhbehxlpkwzqux,,qxmdkucbwueh,1-213-369-3144,,437.0,71.0,Harman International Ind.,NE,342513.0,4.0,1552518.0,Lowell,nrb11260,4.0,,,Awerzhtiieu,O
U,Hxckgaksjfaglfqqvlvpgqigxqcaeqrdaptt,0.0,vjoxdgyxddnmvpdp,Kaqqbrouiotgfllfuahkeehoziuoxtbliocrcqcwpaxlpqiawecghpghjokmrffaqdoffbrtsjv,Bpctodot,1-366-700-4149,,466.0,6.0,Edison International,VT,343045.0,,3101696.0,Modesto,vjo11261,2.0,Canada,o,Vperqe,O
S,fgvcbsodidnupuzigffmtcifeeepcralgqcrkncbpixfoqwyztusrsbmtjmmwpmdeduabksphbbhg,5.0,Fkvkh,TCOKVXHWFXQDBGORIBRNVQSDVTSAWHQJSV,VDKXUKSBBAK,1-357-172-3202,,630.0,39.0,Select Medical Holdings,DC,418944.0,6.0,1921967.0,Ottawa,Fkv11262,1.0,United States of America,,HHIWQRGXXBFDXUNHUHQRJCHGGO,O
M,mglszousmogptosvwcpecfdnvssmvabni,3.0,Bjiybdqa,Knmwovdlfekgmdqb,,1-145-612-9353,M,706.0,79.0,Amphenol,AL,406480.0,10.0,2667763.0,Missoula,Bji11263,3.0,United States of America,Y,NDNJSLBHSSAFGUKZGRU,O
S,Kuxjuaajzfkpodjmzgxxcg,4.0,qksmuj,Esjtdwsjvnpllnhmgork,Llsuusakyzty,1-723-801-6100,,376.0,2.0,Raymond James Financial,NE,172999.0,9.0,766396.0,Stockton,qks11264,3.0,United States of America,,Lzbpdijwrj,R
S,OETQFBTVEHBWTV,4.0,oddxhscdyihmsdxrybbpoginblroeb,mekrobvvftttqynlnsaqsurkfvriaazc,Ulzdwzgjqan,1-461-380-8156,f,362.0,27.0,Snap-On,CO,452043.0,6.0,1289517.0,Yellow Knife,odd11265,5.0,United States of America,,Dovrztplvbeivplcy,R
S,ALCJHRHCKFRPZBQUNYVJXHYXHIPKNATYELO,2.0,Ijwrxmnjtaeiwjelysewgabtf,UZHCRQGQFFMQMTSLVNW,RMEOHD,,m,785.0,16.0,WGL Holdings,OR,473147.0,2.0,1564668.0,Abilene,Ijw11266,0.0,United States of America,,Vvbhnbgaoausbpbqtfbd,U
,JLXUGHMFGVVGKXFODYBQFCOSSYFXDBFOEKFLDGNWXMSBVERNIKUB,0.0,hbbfcoyj,cuggqdjnbhkxernvlnzapybhsfvllqqmwwagetkb,Qhpfkloggot,1-276-937-1050,F,653.0,41.0,,WI,61061.0,9.0,2567908.0,Irvine,hbb11267,5.0,United States of America,b,Yjcfprfqlaavybudafsaja,O
U,jbjvxxefletuvnyuxrwibhebgymyomjmxljecolqncdhbuqzlzykdnl,3.0,xirfxhtz,LUBJJTUBCUKHYSQMTVGTLBOEKQEYWRCHTPJXPZCGJMHKXWAONOKREHNAHRWYUHHRVGNMVON,pglcq,1-211-319-9478,F,345.0,99.0,,NJ,82373.0,5.0,491640.0,Irvine,xir11268,2.0,United States of America,u,IPDCVJDAITXFOGFSVEGUD,
M,Ytpkesydndlqtjkyivkgpsvaxdbvwxzgiviipgzoqfsroqtrjwchgds,,BGSNMRRGM,Rfftzjeksodqhvdncotslrqbsojjehmqrxeyvzffxpcefydvals,wjppllkmalwh,1-006-846-9499,f,553.0,18.0,Icahn Enterprises,AL,393751.0,5.0,3714425.0,Bridgeport,BGS11269,2.0,United States of America,,ktxgmdd,O
M,Nutopquovmidapqksbjkuuihveryxf,0.0,Rydkbehmwdf,Cddarlnyazckaumvegjhmqipgugbiwuqjytbaigcwiqisekzjshkluf,GPRYPCPOQ,1-859-577-2157,,393.0,58.0,Avis Budget Group,NE,68447.0,0.0,2917504.0,Oshawa,Ryd11270,4.0,United States of America,K,stpdg,U
M,ITVILKKQGORPYVVHFIEYZPRVKEPXIPBGNHPRXUJZGERKMCARO,0.0,utcjgciwjkelfvvoyjcy,Kkpjvhjrvmncppixaivuiygerkvfh,,1-574-956-0772,F,785.0,1.0,Snap-On,GA,366700.0,1.0,108038.0,Raleigh,utc11271,3.0,Canada,,Czgeyodpnzhpdvq,U
D,YVCQBLWGQXILDPJNJXSSFVQABLXXPONWIKBUJNCJOJZEIQHLBNOWYQCPYP,4.0,Igaydlasagxneragqzvahegx,Bkcawtnorptwkxhtxdkthcphqaqmedaib,Fzznbtje,1-581-107-2887,,363.0,97.0,Thrivent Financial,Quebec,465254.0,4.0,334986.0,Huntsville,Iga11272,,United States of America,,Cdplcfubiuenijevuvixyjekn,R
D,hremhqwdwciwtdkfbflunvxzjeomiorgrpxxyeloqnrxjqhxvaudovggqmvdbtqtbecsb,0.0,Bpxlgntcaj,HABMY,KECSWVTD,1-017-804-6999,,595.0,2.0,Baker Hughes,OK,4876.0,8.0,3739066.0,Honolulu,Bpx11273,2.0,United States of America,x,Vitnsos,O
S,,4.0,csuqmmhtvvztoquaslnmcec,VOCCKWLQAMEYSRFZZDVUXUHPM,srtrhhhxujcx,1-694-707-5767,,691.0,81.0,Joy Global,WI,70499.0,0.0,3486164.0,Hollywood,csu11274,1.0,,,HZJKJVOHOULLK,O
W,Xknibzxruwvcorxztatj,2.0,mxbqemjjlbnvsavsxb,Bzgfjhvontmtuqrdugukhiwq,Cgsnkonlsq,,,548.0,75.0,Continental Airlines,Nova Scotia,486855.0,1.0,1607926.0,Oceanside,mxb11275,4.0,Canada,,ZMINCSUMRQBDVMLYQOIPS,R
U,wbkjqugrjxtbrtjrkpoayovysodshdndewsemmcmptfewfjaomlvrgjnlkepm,1.0,PTILKZPHXLMGXVLSWPURMPVP,Lvoac,OQKCLKEV,1-621-828-0029,,541.0,42.0,Enterprise GP Holdings,Manitoba,303318.0,4.0,2260891.0,Fort Wayne,PTI11276,5.0,United States of America,,smonmnqpdvsr,
M,Qqnehnqbhljawbiguianeknlsnloplbg,2.0,Ngxjarku,Tqgkmdnvywseeffixpiphtjfweadcgu,bgjtldrr,1-113-468-0134,,529.0,8.0,Holly,Saskatchewan,137996.0,7.0,321510.0,Syracuse,Ngx11277,4.0,United States of America,,Udmeodwhjsxyheewsofl,
U,Yaxvbwh,4.0,hshruuidabrvonffrnidxhgdxmpjgr,Zgqnqpuqsjikxbhjjhifwqeiahvybtpxjympftytyodmhyhmbvftuvstwfkkmuckdfrokxymugkuegu,,1-433-123-7791,m,485.0,47.0,MSC Industrial Direct,IL,441131.0,0.0,3820785.0,Montpelier,hsh11278,1.0,United States of America,,Nkncuynlwdwskorbjksyyamaziymb,O
D,yasvahrrtgfbrikoofuvqpvhsgahgjqba,4.0,Kzwhkpfhqadjmhoev,Viuzfjxjtuofteezoowkxdwilojhjhlzpxhsjexovxvwudwy,Owxrzyo,1-778-642-4031,,515.0,19.0,,British Columbia,112721.0,5.0,3326137.0,Ann Arbor,Kzw11279,3.0,United States of America,H,sdhvndustxzfcjtajsgfkd,U
D,wqqdqqzhkfgioy,2.0,UQFQINUIJDVPBGXTIB,Krkxzjiopjwdkaiqhupevkbvplrixccxglcgxwikgznlohwghlzpoiiiydxshodkdaefcvicaej,tsfpueqdso,1-507-168-7198,,725.0,13.0,Freddie Mac,TN,252730.0,8.0,951858.0,Pittsburgh,UQF11280,3.0,United States of America,,Morexliypcavgdihnrxjdysuedqfk,O
U,Burskjzpgsccjwnoujswzooojjprnzvjqsoqc,5.0,Ymzxgb,Ptrugsvowjybufrjcwywwvbeiomvhfacmwqcsvyboibqwanqdmpdicfvvdgfplrnkae,fptlnrg,1-066-588-1295,F,821.0,23.0,McDonald's,LA,203847.0,,2312599.0,Durham,Ymz11281,5.0,United States of America,,Xgagvzywbrxhzwrummfxlpg,R
M,NUMNXFOAYXIHWVB,2.0,fgqoumtjmknmysctvchoysv,Qtcrzqlozqqnbcganladctvlibemvsenlrx,elqunswufw,1-859-909-2939,,569.0,53.0,Marriott International,WA,130338.0,5.0,2505956.0,Tempe,fgq11282,2.0,United States of America,C,Sjvyrtfpvbf,O
S,Dcgidkymvrcnuntaqtosrpbpgqljaxlllopkojoopzlzliwxe,1.0,ncdxgdy,Tlkthdcx,xtvzzitj,1-743-856-7730,M,652.0,56.0,Pacific Life,WV,317722.0,8.0,338320.0,Manchester,ncd11283,4.0,United States of America,,Lrtchykuj,U
M,BEEVBJMXUV,0.0,trnznjnxbfwsdrxqqadfiu,Ffhidnefivcxiqdvhnygwmsdyoyoeewezywcijbcimzqdjtbrbrjdglcoxw,QRIAGEPHG,1-558-501-0279,,337.0,93.0,Lubrizol,FL,240520.0,4.0,407143.0,Regina,trn11284,0.0,United States of America,,sliavurkiyskkpifrvyznntd,O
M,Eldsmvgbhmninkjwuvkzopabepnloolzgxrdkksnszilyomwxoekoopwnuncmayvehyzqcwhui,1.0,Pqbugfqyutupdnmzolbrbjny,srcjpkeweefweckbakihygkbntgstdyfaal,Skseezah,1-106-223-2732,,335.0,67.0,Toro,ID,372102.0,8.0,1347874.0,Oklahoma City,Pqb11285,5.0,United States of America,,Dhjwpqk,O
M,Ybeyjpqnlrootmphutzuwmixvggugjlg,1.0,vyrxrohmkbvb,Gcmjignceacqskosnkrrcxblxwxxoubznoashu,Bibtpv,1-988-605-9486,,774.0,86.0,Nacco Industries,Alberta,103398.0,2.0,,El Monte,vyr11286,0.0,Canada,J,Lkoasjrkshetlu,O
