gncd,ddrssln1,nmbrcrs,wnrrntflg,gndr,lstnm,ncm,nmbrchldrn,mrtlstts,g,crdtrtng,mplr,nmbrcrdtcrds,ntwrth
Bch8155,gbuzgqbpxmosqacpmarlpwiissrd,2.0,O,,Bchndedyber,287485.0,0.0,S,85.0,342.0,Constellation Energy,0.0,946348.0
Sdi8156,HFFCTMMZLVABDTRFVGFWKIASABHVNOQGEMVJEZKKBEICUIBWDPSSUXLNKBMDRJELDCXTRIVJSVPL,2.0,O,,Sdijdhqtmqrjkymuqllja,12283.0,1.0,S,93.0,385.0,Ingles Markets,9.0,1279270.0
Ety8157,HQHXDHEXTML,5.0,R,F,Etyspzjiznukeuqocyfwrbwjvxgusi,223604.0,2.0,W,99.0,729.0,Virgin Media,0.0,692721.0
Erm8158,Uiqobjjowvrpbcwpttdmambva,4.0,O,,Ermsaaylmswzphwewydminxqlwk,118256.0,3.0,W,79.0,729.0,TRW Automotive Holdings,10.0,3163811.0
KFN8159,wkbfpirmvpsetwbznionbhdfdwnilxdwufvnusvlkb,3.0,O,,KFNAWOHIAZLTKW,101641.0,3.0,D,11.0,348.0,CMS Energy,3.0,1824263.0
Aup8160,Nffdelnhlxedkhifoggkejkdkgqpcgniqsvishfut,5.0,O,,Aupnphhayvbejntnpqtenujvcgawjp,360755.0,0.0,U,91.0,380.0,Spectrum Brands,6.0,55523.0
rih8161,Hpmwermwsfepkeqwvznsmpxeucrkbjsnzzjoorlrirrfpm,0.0,O,,rihkjkmplfkg,66932.0,5.0,M,14.0,795.0,Darden Restaurants,5.0,1732468.0
uge8162,Emlxayivqnntzn,0.0,R,f,ugebd,1046.0,4.0,M,20.0,439.0,Avery Dennison,8.0,1119698.0
Yef8163,Fbbiasggcsdtnvtzchwykjmvieecnibveoslqskhkkttllovvsftygdfkzoxpmtcujuide,3.0,R,F,Yefoxk,182243.0,4.0,W,7.0,587.0,FPL Group,7.0,1513665.0
Kfi8164,EKKTUXLPXVORNRGIQEADWZQKC,2.0,O,,Kfistvyxdauthhxyjdm,262091.0,4.0,M,41.0,,Simon Property Group,4.0,3750549.0
Rrn8165,FHSTTVOQ,,O,,Rrnsxuoiotroqwrrplocmazcbxpe,329551.0,5.0,U,55.0,473.0,Wyeth,,431599.0
pjq8166,rinuczzqtfj,4.0,,,pjquv,401622.0,3.0,U,35.0,579.0,McKesson,4.0,10739.0
XSH8167,GCUTBNQTVPAWONOQQXBRVCO,4.0,R,,XSHCTZPLJTUASLMRXEYDQQJHAM,,2.0,M,14.0,628.0,,7.0,2431923.0
KHG8168,eggcyb,1.0,U,,KHGXMPJE,19952.0,3.0,D,63.0,795.0,Helmerich & Payne,0.0,3022855.0
pml8169,AAXBQWXXAJZXQ,2.0,,,pmlbwjwdcdjznlwddzskslwoewzegh,,0.0,M,39.0,776.0,Dick's Sporting Goods,5.0,3143732.0
nfg8170,FVWZTKXELPZWNDFWJWRSQVWXMTCEFBUUVOXTAMPLEPDXVJGLBHNBVPXMPKCLFWCLKQZXSJWWMSETCNP,2.0,O,,nfgqjem,129442.0,3.0,M,44.0,452.0,,5.0,3379381.0
Sss8171,Fvxytuuvxwsrnctlmekntdbyebosdhzcionmgqrcltyljehggrjbqbzojbjzg,2.0,O,,Sssumzpgcfnatcjsrcszetjai,363140.0,5.0,M,5.0,453.0,Reynolds American,6.0,3356639.0
QUR8172,ioemfmzyzwxvwsctgiblkvkff,1.0,R,M,QURXHBLNOUAGZNZIKP,469249.0,0.0,D,52.0,437.0,BJ Services,6.0,2864358.0
ewm8173,Mjhgxodhbhyvaun,5.0,U,M,ewmwuvwdgjaxihtpdrwvcnwavyr,439011.0,2.0,M,93.0,537.0,Consolidated Edison,4.0,2307534.0
qfx8174,Expkuduugsjluydmxqkiadltaitnjlvgcmgbpuifmwcvki,1.0,,f,qfxoosd,312166.0,5.0,W,81.0,717.0,Volt Information Sciences,8.0,2189380.0
Eev8175,pizntfgydmyozpxvvcvzhlkcawfmzmcaheebzifdufkp,2.0,O,,Eevqmnheiqrkdijfhj,431603.0,3.0,S,17.0,846.0,Toll Brothers,5.0,3399421.0
Ofj8176,Srwbqraoxkqebprzcaylrsxgxjmvmddeawevn,4.0,R,,Ofjzodlwpzbwjibx,278790.0,4.0,S,34.0,529.0,Cameron International,9.0,298212.0
osw8177,,0.0,O,m,oswlexgxghnzsvhzgud,318563.0,4.0,M,29.0,330.0,,10.0,113758.0
uxt8178,Ethqfhltfmatvlkfcuqdfkfbpuexxmiiznoxiobuopanhnhtulgtgbyabehxvepdbxa,0.0,O,f,uxtabsuoxwhzzwoimm,62248.0,2.0,S,82.0,795.0,Teleflex,8.0,324094.0
Kdl8179,Valxesegesdbvrjcaucex,0.0,,,Kdljh,,4.0,S,21.0,489.0,Andersons,3.0,3881656.0
QYG8180,zqhapouqtsxikzmkana,4.0,R,,QYGMKXD,247025.0,5.0,S,,353.0,PPG Industries,5.0,1527059.0
PRE8181,rhkpjbkpehroracrddddmpcyexiqgaiafejfkbsswxgmdhdanisblwgbytyppqgkzgsjxpdawpga,0.0,O,,PREWICKMPWCBMOSBPXNAWPQSSQA,338041.0,1.0,U,50.0,784.0,Borders Group,2.0,3499626.0
MCG8182,Etkfgkhklmarodmnfsynmbrcvioauwimf,1.0,O,,MCGJECTRXQXXQFL,,,M,84.0,449.0,Nacco Industries,8.0,1582947.0
PBD8183,IHPGVC,1.0,O,,PBDKROITCIFSYHDLAHQKB,9428.0,2.0,W,27.0,326.0,Mirant,7.0,3415635.0
hzq8184,vgqwjkkrgszgfweurnfvmnaeeatrnepe,1.0,R,,hzqggxssojudsiuopknp,225464.0,1.0,D,44.0,729.0,Oshkosh,0.0,1994536.0
Yrk8185,Oqomezstsqrilxdhvkzjzbyxatvreaqtddqhrlmtcstgakluzitiaggqvpkobkgyiok,1.0,O,,Yrkgfbmnvsbswc,416767.0,0.0,U,86.0,507.0,Southern,0.0,426125.0
Ysl8186,MOLPCXVIBDANO,,O,,Yslhbqzspeppgmwv,456718.0,5.0,,64.0,593.0,Virgin Media,3.0,1703585.0
khg8187,Japnlrbqwojpgxhadqogvqcvorztmcef,1.0,,m,khgmmqjpqqllfcjkvgtq,113342.0,0.0,D,10.0,695.0,FMC,5.0,3333185.0
Sdt8188,Bsukfvleqijroppnzqdyxpiloxijgwgsxmrzupgzefbnqcrfpsokzjpsdkykonhnpxtewnbmq,5.0,R,,Sdtteis,157687.0,3.0,M,33.0,530.0,Deere,9.0,893537.0
Dwc8189,Snalqltgazuyjzwizmrjndawicmvixvmhcowyxiqgfch,1.0,O,,Dwcjpkzihqjrg,241471.0,0.0,S,8.0,573.0,Corning,4.0,690568.0
frb8190,Alhvnfxcbnniuaorityapwqfghvjvnkvkubktxakswggnnyenvcghnjxdxuq,4.0,U,,frbentracjqvkmujpddbxhbudpg,438046.0,4.0,M,2.0,672.0,Wyndham Worldwide,2.0,3623733.0
ulp8191,Znwtrblpfpgvpouzqgcqyhbupcembsdubwsbahhzpqigjwciwrsbxyvb,4.0,O,,ulputtixvghazhrs,456022.0,4.0,U,10.0,693.0,PPL,2.0,2204304.0
zhi8192,YPOWPFVXVFLAQTQPEQCZVLWFXWUKCAHJQWSERDGKBQLNPFUBMQMPEZLULBMVNKQOSQKAPBJOPHWKJT,,O,,zhitbrtpkmpbeaaotdj,167597.0,1.0,S,58.0,709.0,Celgene,9.0,
Yoh8193,YLZZPTRCMMJJXF,5.0,O,F,Yohuqqeggkkpotquwtjnk,475123.0,0.0,M,96.0,664.0,Invacare,6.0,1093488.0
etf8194,CCNGGZRSDWNGOJSRBKJSSWIAPDSGIORAYWIQEKWZQRKTPILGRAAWQHCFKGWVVBYM,5.0,O,f,etfndjzspnvaqwcs,203941.0,3.0,U,36.0,827.0,Church & Dwight,5.0,1945110.0
XRA8195,Kbufhmdp,5.0,O,F,XRAFQRYWCHRBIB,190429.0,2.0,M,51.0,401.0,American Electric Power,0.0,2938159.0
nic8196,Hnlpziqikrugpknfzvocfririgcahohzbhxhexsqmuzktdtx,3.0,U,,nicxgtouoygvkphhorpdifea,441173.0,2.0,D,8.0,745.0,Polo Ralph Lauren,,3012500.0
Ikz8197,Nsxcunautvnldsgfbrtwqrkhssbxnumpfzuiknukrahwxanjtsfn,5.0,O,,Ikzwgtsahegmum,343745.0,1.0,M,29.0,685.0,Cooper Tire & Rubber,3.0,2406948.0
Qtl8198,,1.0,O,,Qtlbpourjomgjummcvcvdpzxqvkd,275020.0,1.0,W,88.0,570.0,Sears Holdings,9.0,1038641.0
hiv8199,BHXAYKODYDPZEAJXFOYIIDORYUNPVVUQREHMIXGBYTJMCBPPBAKKSGXCSAGJQ,2.0,U,F,hivlrpkgnpdwmpagrgjhglt,489955.0,2.0,U,20.0,624.0,Scholastic,3.0,2815598.0
imi8200,Bmvdjsuslkrwjevbaqsvctqucigpanrjuazmqxdilvfzybzqecqkkmqjycr,3.0,R,,imiphygkuweehyoix,146666.0,2.0,D,27.0,533.0,MetLife,8.0,3600396.0
Lmf8201,Xqcnypuosloykfxjlneotgrlspkhw,3.0,U,m,Lmftqgcwhht,384125.0,2.0,W,56.0,802.0,Teledyne Technologies,2.0,2441258.0
WWC8202,PTPNMORFZIEP,0.0,O,M,WWCCV,338664.0,1.0,W,39.0,509.0,Auto-Owners Insurance,4.0,2117405.0
Nad8203,Divfttevdyapvsnpxhleh,1.0,O,,Nadsywhryevzxofldwanwszpvkooy,254827.0,,D,55.0,828.0,Dillard's,9.0,773721.0
Tqz8204,,5.0,O,,Tqzpc,447298.0,1.0,,86.0,768.0,Energizer Holdings,10.0,1023774.0
Pcx8205,MQUFKIQUGLNNWLDJLAHJNSXAOXAEYDKINEWPDDYCQRPBTWHUIZJHQSLZEIJTUPAIJJFJKHMW,4.0,O,m,Pcxzcfjkolhwkqogtllwbaaauar,464063.0,4.0,M,67.0,583.0,AGL Resources,7.0,3692883.0
Dth8206,Lorfuokapjyovztxytgtdgtreitmcbwiznunfdcvhifyqlwocekdpoksrluqmccxf,1.0,O,,Dthggg,405372.0,,,36.0,621.0,,4.0,2853195.0
EQO8207,Urjuzpteplcfvdjvcpddvqpzbpkxaavaqpynuislthojwexu,0.0,O,F,EQOAJPFINCJJFODKVNCID,62455.0,1.0,U,89.0,448.0,Core-Mark Holding,5.0,1697107.0
Idi8208,Yefknlntrwefsbkciaphtgsmdfxerccbffmwmmsmpotxgfktwsvnzjp,1.0,U,F,Idiufwrrpwhprckckbhm,399849.0,4.0,M,87.0,420.0,StanCorp Financial,8.0,391124.0
Xyt8209,Jovwwjbjfqvhyhuydlravowqshoowvnbeysqy,2.0,U,,Xytlkj,162461.0,0.0,S,18.0,791.0,Las Vegas Sands,3.0,2910503.0
xyi8210,PIZONFPTOGOHTLEXTGBKWOAQ,1.0,O,,xyifmljhovcgsohwapvhg,163926.0,3.0,W,53.0,371.0,Acuity Brands,3.0,2591538.0
Exu8211,Twndurtodjolskadcvmfxsdzwaihewe,3.0,O,,Exuagn,208474.0,4.0,S,46.0,,Genworth Financial,8.0,2809880.0
kzj8212,GIULDRUDBZ,0.0,O,M,kzjpwidx,39456.0,3.0,U,3.0,402.0,NTK Holdings,1.0,3306870.0
YSU8213,Jqyxjycytgijutjizkufkmsyavseckl,3.0,R,,YSUJXSZJLWSTDXIMPSDPGATNREMO,494350.0,4.0,M,7.0,,Spartan Stores,0.0,3723482.0
Cos8214,Tsjhuwcqwtbzmcunpwnsjywcqzrvfudidkuebebhkrmi,,O,f,Cosyxqfrwdf,341454.0,1.0,S,44.0,473.0,HNI,9.0,789890.0
FRJ8215,Ugakrzohprguzxqyyldtnxotkaiuqwqkspemfalmdztqrijfoeojwlfak,3.0,O,F,FRJYWWFBOTOXPM,122477.0,1.0,S,12.0,743.0,Williams,7.0,2886430.0
Vbk8216,SOKXLAJSZIGDVCEOCJKNRNAQLMCPTQRMIIMJFFVPHHIDINXTMATTVRHODOGQPWKPSOS,1.0,R,F,Vbkiqizjxmcgdfemxjtdqolgtd,162234.0,3.0,M,92.0,404.0,eBay,0.0,3066721.0
Zsg8217,vzknfgltnqfwkvbpstnljtnqlforxswxgilexpgmmmwuwydaokjnmnchzecwijlrvvybvtfrvil,0.0,O,F,Zsgqcrdlttb,193222.0,1.0,M,51.0,681.0,YRC Worldwide,7.0,872916.0
bcw8218,WSHNRMYKEYHACABHNIFWLWIQVXYOEFQSZEFWKFRZKIQQWYFBSNOAXEHJBFAIWAUAPROYSKHWJJGZH,0.0,O,,bcwmgcq,299743.0,3.0,M,79.0,554.0,Ford Motor,0.0,354979.0
Sad8219,Tdyiniwcgcgwzgwdp,5.0,O,f,Sadmehgqditjcdlowcn,87508.0,5.0,M,81.0,691.0,Xcel Energy,4.0,451259.0
gdy8220,Qeywshuncdiitvgsbtrdhfdh,,O,M,gdyvjrqdaxbzjixbnz,,1.0,M,39.0,456.0,Watson Pharmaceuticals,2.0,1210004.0
Skw8221,Hnrjwxmnzkofwakbzllpscttsisqsjwktwxyokbeokiarmnqnagmcnljiyhc,0.0,O,,Skwqmwneikpvxrrklribfdu,472544.0,1.0,W,9.0,592.0,Plains All American Pipeline,6.0,827501.0
Iin8222,Cfdaicehpmfnvytumdvvqlcsxjeoj,3.0,,M,Iinztqwawakcj,172339.0,0.0,M,85.0,811.0,D.R. Horton,4.0,1214585.0
Hvx8223,IEOKOAZEMVKLR,3.0,O,e,Hvxvrt,222389.0,4.0,S,95.0,,MetroPCS Communications,,1626041.0
WMQ8224,Ngzyyxzvzpmtiyrijjtjaqveirkzvefqcokakdcejmyrseknbvmpdsnlsvbnlukcuoyttqcq,1.0,R,,WMQJYMBR,96828.0,3.0,W,19.0,,Comcast,9.0,1664278.0
Kpx8225,DZQFIGQMMFFJWGKUEQVYMOPSNFDPLRTVIBVBZHIQZMFIUYNIPWQEI,5.0,O,,Kpxlgmpxzalxmsujieydcr,331955.0,2.0,W,17.0,476.0,ConAgra Foods,0.0,3621441.0
VPV8226,UCBMAKLAMEIIIIQNJEUIGONKEMQEAJFPYIUTPSBVWLZHFAYH,0.0,U,M,VPVOMENUIKOEOQJZDLJNSTXGSZJOGG,317773.0,5.0,M,59.0,512.0,RadioShack,6.0,1736086.0
VYM8227,Hzqfmfqgziqbhpviudjvhjpbxfgaxulszeiynftjuzzt,1.0,O,M,VYMZFCRIRUE,194250.0,3.0,M,97.0,693.0,CF Industries Holdings,8.0,1253712.0
Mgi8228,Peidcp,0.0,O,f,Mgiarpfrvqbrtp,91558.0,4.0,S,45.0,623.0,,5.0,58913.0
Gbw8229,Nqtlvgdddcynuhmwxuapofqeymfzqvjeafplewkkvgariuukififojkemkqii,4.0,O,,Gbweeigts,422839.0,2.0,U,54.0,622.0,Teleflex,3.0,1999815.0
qma8230,,4.0,O,,qmaoxucwmafgpgxbv,239411.0,5.0,,17.0,750.0,Sigma-Aldrich,2.0,896850.0
Zwk8231,Impnsqvntocfwobhnrabjgivkawepwfqj,0.0,R,,Zwkgytc,444526.0,5.0,M,72.0,686.0,Steelcase,6.0,3240804.0
NMP8232,MTFHVPATTDXCOMTJEDZYVDIOQYKHMVALOZSRSPUOPDNKTHOTIFWREBNN,2.0,O,f,NMPAZTBOQLEQMNHMBTGSWXSCHTBWVD,202486.0,3.0,M,5.0,648.0,FirstEnergy,9.0,2554609.0
GTD8233,Ynagcrismpmdzuiqhbviaeszgaswicwkwhbeflfyqmyzbcckhgbsomapheahuwhzlth,2.0,O,,GTDBAXQJFWSEVNYATGBEOW,68361.0,0.0,D,56.0,499.0,Affiliated Computer Services,9.0,988258.0
Bic8234,udxfegumntghjpjmbvdacqwwvcsvudetqvegkrpl,4.0,O,,Bicyrvktfccwcjh,158060.0,2.0,M,2.0,682.0,Cytec Industries,0.0,1873895.0
IDA8235,,4.0,O,f,IDANLHDUTRTCXOSLH,175529.0,3.0,M,,561.0,News Corp.,2.0,2357669.0
lwk8236,DXRKBQCJKBRSTIZU,1.0,O,,lwklmrwvnmg,200101.0,0.0,S,,679.0,Discovery Communications,5.0,1038657.0
Zht8237,rjwfufufmcghvsewqsxbqdjxtrjqckx,0.0,O,f,Zhtutvmvpcdvoziznvoqa,384042.0,2.0,S,88.0,495.0,"Toys ""R"" Us",1.0,1104168.0
kcg8238,Jjbiifckdzsbjpeuorvoxlipxsghewlsapwcmvereoqeovdxmvwmvqjadzmlasiuopdggwpqnhwo,4.0,R,m,kcgbophjwhglqgbovhjbbceak,398456.0,2.0,W,35.0,801.0,Hexion Specialty Chemicals,8.0,3238082.0
Qtq8239,wxemwwasopexvzhfoslaxefenrxwsntzejbdhnpndekhubtinpmvxirvdpslurivmoz,5.0,,,Qtqygefcbitzk,161310.0,3.0,U,54.0,611.0,Trinity Industries,8.0,2417935.0
SNX8240,CTBMNRKZKYIOGEOJRVRQGUE,0.0,R,,SNXKNTIRANDVNKXS,322139.0,1.0,M,72.0,525.0,Applied Biosystems,6.0,2714291.0
umw8241,IVITWNZ,5.0,U,,umwpvofddlxhmtvar,379425.0,3.0,S,68.0,805.0,PerkinElmer,10.0,1200283.0
Kdu8242,mdaiilpcpaposswtmjvyhutynonncjflomkkekwbmtcupnkgacpgigsknwinxzkkuysjrpmexs,5.0,R,M,Kdujtpq,449935.0,4.0,S,2.0,508.0,FMC Technologies,6.0,3904614.0
Voq8243,mdwmgllbqxvcbdizfrjjetnytvsntdflwzdjeonmphtgaqdigmiqhkumwjtlwbvrhhbthpcijzhsvrou,0.0,O,f,Voqzuedberysnlkjtavrbkwnwp,388691.0,3.0,M,79.0,490.0,StanCorp Financial,7.0,2821487.0
gga8244,,1.0,R,M,ggaxhjcopqdnoakdklpbjhl,342163.0,0.0,M,,510.0,Gilead Sciences,6.0,1237889.0
OHZ8245,Hvinftrtmhiqhtioplrkitqu,3.0,O,,OHZXBCCGHGDOTLBFOFDXYBUJPOR,368434.0,1.0,U,89.0,761.0,Carlisle,3.0,1753222.0
XKK8246,Gvhvhhd,3.0,U,,XKKGJNUBOELKBXHLZJAKIKL,468239.0,1.0,M,86.0,639.0,US Airways Group,9.0,929818.0
Btx8247,pjbesxitsmdditkhzvqrurucduhaoiglzwjrgjblakwxtdmxmjdlescqfqf,4.0,O,F,Btxtq,376227.0,5.0,U,45.0,375.0,Steelcase,,3936166.0
Ihd8248,Esssiazilfxsczhuobobfslsdbxsycyerymlawdmoqgdijc,5.0,O,f,Ihdfhvujxlsuyjhmbztnv,84005.0,2.0,U,17.0,410.0,Las Vegas Sands,8.0,3874282.0
Axh8249,YTMBDNFVPKITIUWUXBFCJVMWLNCYPJIARWJWBLDIHPVUKFP,0.0,O,,Axhcysfdsrdbpego,324715.0,1.0,M,51.0,567.0,Discover Financial Services,4.0,667415.0
jyx8250,sxdqqllyptpbksuvfvaldxqpjyvpnqeibrmsmesvthfdavliasjljudcuvdsscbl,1.0,O,,jyxuaofoqmcwcqobb,251835.0,5.0,M,34.0,338.0,Cummins,6.0,3919924.0
Jir8251,Sugjnnmp,5.0,O,m,Jiresqzgxvqthohlhhbvaal,337799.0,3.0,S,15.0,328.0,Unified Grocers,1.0,3029241.0
nbh8252,FEIXPHQQKQWYPRNKILXNGSWCRMBBZRVKOEAVGXHSMAYQOJIFMSJTTZDTJZQQPFATXVWLUAB,3.0,O,F,nbhzhbtidw,226214.0,1.0,M,77.0,461.0,Liberty Mutual Insurance Group,8.0,2706929.0
Gbd8253,AGNMOTVSPCDMSXDPMPBBWREZYRKPKQQLJRAMHAFYLZWONHQTAHPOKKKOJJRFCOYIRUJRHERKY,2.0,O,,Gbdlkerocaqwjdzjeikpnabopqx,248844.0,4.0,W,50.0,720.0,United Services Automobile,4.0,3588909.0
Gji8254,xisktpstmyefdtwqdjxsvuuuirbwobezfgonrkcqmsksqvwortijbhqtx,0.0,O,,Gjipmgvft,467894.0,2.0,M,98.0,697.0,,2.0,3208555.0
MRJ8255,Vagaczbmlaahkipyxsnsobzweizqfooaxqizibhchavywgtbymhspcsxpmwjfgbxlfv,4.0,O,,MRJYKEH,,2.0,W,81.0,426.0,Mattel,10.0,3859308.0
Qev8256,ZUCMSNQZOOLGFBBYVTZYJKTBZGTLGHWKUPCJFLWEBZESQAORIXZQVFRRPFRIRCREXBXZSUM,3.0,U,,Qevocooirnrcsqrrtapbiyrtwcmuoy,309563.0,,M,29.0,412.0,Church & Dwight,3.0,2372347.0
REX8257,Flcxzhoiwdrwxwvdngllihdlywqvupwsprqlrwuioswooo,4.0,O,,REXWTZAEUMPFEFTB,23737.0,4.0,M,61.0,589.0,Mohawk Industries,10.0,2547185.0
Shz8258,Aihixnpbkmigawwuvrrohhof,0.0,U,m,Shzyzlgofcyxgokctdfptuskal,84510.0,2.0,M,23.0,832.0,Vishay Intertechnology,0.0,2397440.0
Ibx8259,oaahpkhopatcjubnvuhdvmwzuz,1.0,,M,Ibxttzkpxtz,62462.0,4.0,M,34.0,,Hanesbrands,8.0,1278208.0
Srz8260,wamapqtqjwntsaignftghcmqqoqnanlbgwobwbkifremhvxjrhlafc,5.0,R,f,Srzzksnhzumy,259950.0,3.0,M,91.0,766.0,ConocoPhillips,0.0,1657447.0
FLL8261,OAEMFJZOEQACUMFJIHZNTSQPZSDBARA,5.0,O,,FLLHKIIZAZHRICLTIT,177982.0,5.0,M,90.0,508.0,Clorox,3.0,3306301.0
foq8262,Ozlaiqbxxwbwbjuvpiqfjhxyahzexbytgejyuczrfzgjribshcoxqt,1.0,O,M,foqinya,399867.0,5.0,S,99.0,744.0,Mutual of America Life,5.0,3114013.0
wsz8263,QYJAUZVDZJLHTOJBKIGZDCPHBP,0.0,,f,wszqkkjrtgrxpdvc,197976.0,0.0,S,94.0,569.0,Medtronic,5.0,1628599.0
Mlh8264,Nlozdmobbxwbvyxiokhlkufrselvyxisiuqklmnskqblsozwdsydacxlwcuyartarjauikiyqiqx,0.0,O,,Mlhvjh,479805.0,3.0,M,70.0,632.0,Xcel Energy,8.0,406225.0
GIQ8265,gzrcvlnxkcgmmsaasugzvjmynvasvsatwvbirulbhaxkwpehomxppjxvjguznfwtoitax,2.0,U,u,GIQMAHZBIVGDGAUR,355323.0,4.0,S,43.0,709.0,Portland General Electric,0.0,1201091.0
qsw8266,Pgwjcdzmcygjlkmvpakpzjejddjjxovvosibxoseyvlvnwfojeqxv,4.0,R,,qswxcmgcffgfprvslvkq,138933.0,5.0,D,21.0,448.0,Molson Coors Brewing,2.0,3141283.0
bfv8267,Zqlvlqqwupjwvduawfmvcngnclponxhbofnbw,1.0,O,,bfvlotpwyiqbjyqeiy,373085.0,,M,56.0,452.0,PG&E Corp.,,1926007.0
jqv8268,Iuwwrampcmqsqtohet,3.0,U,F,jqvfnemhqipdnmbwbmkwohtd,223635.0,2.0,U,10.0,841.0,Williams-Sonoma,6.0,2838996.0
Buz8269,Hxshojgldxpwdvczfqvfofmpcpnsblntzwfvhznmynodglewdacmazdxmtvrfrnjefgcrfpxfgbdj,2.0,O,m,Buzzkmgbvosvzzipim,293818.0,2.0,M,51.0,570.0,Honeywell International,5.0,1737347.0
End8270,WOVSRUBZSLYASYSFWUZRDBDIRQJBETCCRWTCVOMIJJCGIMLZEONPXMNRBXTDUEPQHFRDCUUKYWKUSQBO,1.0,O,M,Endjftcwylmlgjzqvuurzvokjb,310287.0,0.0,M,88.0,328.0,Raymond James Financial,6.0,2727896.0
fnw8271,UTVYNMHKRUVICOLDMWTIWXXQYOWYINYNYLCREO,2.0,R,F,fnwccaavwyaywtyfmygb,347444.0,4.0,S,29.0,691.0,Calumet Specialty Products,10.0,1463334.0
rra8272,embljhtpibdtlgybnjkopkpj,2.0,O,,rradsttvsznubvf,438442.0,0.0,M,42.0,549.0,Cinemark Holdings,3.0,3778043.0
Zso8273,AUPRBOVBHRIYQDQULVTTTNLBNPYHATSGQLVDXOENJKDFWJEMUIKBNTSKFECAM,4.0,O,m,Zsotdworplimkuaqq,259339.0,5.0,M,49.0,399.0,Hasbro,7.0,
Jun8274,BZPPBHMKIOZBLNWBUTEDVXBVQACFMBIVQSAVHDLEHVRED,1.0,O,,Juneadslw,249443.0,0.0,,,419.0,Ecolab,5.0,1111335.0
YPV8275,XBQOKOACJIOSQPXMORMNAURSNGRXYROM,3.0,O,m,YPVMIZYJFKFAUSLQMEDEBBNWFTLDFR,421335.0,0.0,U,33.0,739.0,Activision Blizzard,0.0,3962912.0
Dey8276,Izdpcvsgpbposzszximguwxtsh,,R,,Deyuvpe,329021.0,2.0,D,35.0,807.0,Asbury Automotive Group,0.0,643738.0
Ihr8277,cburkbyudnvxkoivdxhbxcxyzxbgywongkemyfwzgtjdoptntvqwxujtnxoicrcipjzqnuymothc,5.0,O,f,Ihrywdgfvshjpsdmajjzguto,382911.0,5.0,S,3.0,571.0,Wyndham Worldwide,,3566462.0
Dqo8278,RIWACHKOSYEPEAXABTJNXTIQGMAEQWTRBGKAHYFSUDWNVQWMQMNHIWIMRQGIEJNFVNXDB,3.0,R,,Dqoaewiu,483478.0,1.0,W,83.0,,Zimmer Holdings,0.0,2076840.0
Adm8279,bneuiiekibdzuuhgcayetqonpbfbpw,,O,F,Admkkqwtzxfjqyyiwruck,242798.0,2.0,U,37.0,468.0,Flowers Foods,4.0,2685720.0
Dyl8280,Hkxlgu,2.0,O,m,Dylquimbnkhrntevvqmvv,387352.0,2.0,U,94.0,720.0,H&R Block,4.0,974327.0
LAL8281,bkfzstdcjcizxyugmcwvufumhgtzdyb,0.0,,,LALIEJF,201029.0,3.0,U,,529.0,Spherion,8.0,371533.0
RHK8282,Jnxpocdcofadlsttnhxmmzstuvmgrfvjercgxhefqdprmpjwbizzarrtqrxysmynhmzgosdca,1.0,O,,RHKJJMMNMXWX,368666.0,5.0,W,74.0,305.0,Dominion Resources,4.0,1033295.0
jgp8283,Fmucjqjdmmeahmbnorbmbvkycyjefqdrhwjljnpfakvtpqkvnylogtkvcunjtsinn,,R,M,jgpuuxjssgigtpgp,233211.0,2.0,U,30.0,331.0,Fifth Third Bancorp,2.0,3099872.0
frg8284,ANJKSFVMTBXURQVENGHDDDQYZBWGUIKQCSAOHDFGEDEEATPDEWDMMOVG,5.0,U,F,frgchmfo,475153.0,2.0,M,52.0,377.0,Ferrellgas Partners,4.0,1291565.0
xwe8285,Rjnspzzsupqmgwctndiotdxd,5.0,O,M,xweingsyel,259621.0,5.0,U,93.0,739.0,Aramark,10.0,788535.0
PRF8286,baxfqtrrfzctszmzvqhfkpeseqlxawvvturpqvkihmmfkpehnwbtiabm,3.0,R,M,PRFQVQNBUABZSSFWO,248249.0,3.0,,67.0,421.0,Wesco International,2.0,1886889.0
Mqj8287,jhcstfshgodlkiwqyeysy,0.0,,,Mqjwbjsnazpyxivzcowcxk,18849.0,1.0,,25.0,656.0,Hospira,1.0,
JQO8288,Cldawcrpxmejgzjgqpcsxm,2.0,U,M,JQOPBIX,144063.0,4.0,,94.0,378.0,Hartford Financial Services,3.0,2868030.0
Mkb8289,zbizaxupugylkmnjmfrbszlvytkzfthwfcckotvxrmwhaldnunrwjcrfql,4.0,O,F,Mkbggaiavgbhqgjhrrfui,242827.0,0.0,M,37.0,652.0,American Electric Power,4.0,3517153.0
phr8290,tqwrsdfjyapcjudrhnqwbdzbnunkf,1.0,O,m,phring,85649.0,5.0,D,0.0,,Loews,5.0,1888168.0
OGP8291,rawlbxdaioygj,5.0,O,f,OGPHZQGWZUQZCGYFCMUMXBXG,144969.0,1.0,S,41.0,699.0,BorgWarner,6.0,2688811.0
Kzv8292,kcrrwzokapznhbaxivavyxtsnfmlilrdirpizbpjvpgvtpwojl,5.0,R,,Kzveyrhpuse,412027.0,0.0,D,79.0,511.0,Hexion Specialty Chemicals,3.0,2318514.0
