Ag,LaNa,Sta,Pho,MidInit,AdLi2,Inc,NumCa,C,AdL1,Coun,PoC,NumCrCar,FirNa,MariSt,Em,Gen,NeWor,OOReF,NuChi,CreRa,AgeID
,Vchcqkeweozrkquddtgjg,NJ,1-990-107-5564,r,upglecdcuuwlirw,257165.0,,Corona,WEZBXYOGFQTGTTGKFJINGNFZZEIEDWW,United States of America,lczgiqdhaf,3.0,Lqauooyw,M,Invacare,m,1771800.0,O,1.0,326.0,Vch10865
48.0,Pjxwmmulsmdqialjttzpusktt,GA,,,NTYSJXAFUEOXLZFLJWBVRXUKCEAUIAZCDHSKVKVYSCLIDHHXZEK,337894.0,,Sacramento,FXLIBKRYMQPXVGOVFFZRDHWYAXPHTQUCAOUHQNXKG,United States of America,BECMHMKSL,4.0,Mcmnssylambbbnqykyfjg,M,BB&T Corp.,M,3022542.0,R,5.0,668.0,Pjx10866
52.0,Vpfkhzmddeygmadhtv,KS,1-716-166-9366,,zksekmnvkigpunpuolainpvakplvvatkvxa,356799.0,4.0,San Antonio,PUIFBOFFIWGCHLHGIEBOSTVEFVWNXBGACOTRCRCFZOIYHJGSQFWLYOMULNVLAAAMGCVZEVFELRW,United States of America,Snxtdgp,5.0,LPWPPARUBHLXIZOUGOHDAMMHGRVF,M,,F,1383399.0,U,0.0,825.0,Vpf10867
99.0,Gvjknsuprukdqtgvmrkc,WA,1-688-045-4901,g,ZHMMBKNCOGNYU,270117.0,1.0,Brownsville,Pvwopybwrknqsllpcxyms,United States of America,GIEZNTUI,2.0,Rqbbvryykhv,M,Genworth Financial,,3990771.0,O,0.0,786.0,Gvj10868
5.0,Xucjztzoluqzirxiltrpwtmw,MO,1-273-772-0860,,rlfczysmudmcplwontlmzaccksg,494908.0,1.0,Charleston,Jwjwsjcnrybugmdiwtdguaqgxajck,United States of America,RGSKKJEKNRF,4.0,WOAAKWSRVVXELTLXDAVGNLNCW,M,Health Management Associates,,2450042.0,O,1.0,481.0,Xuc10869
23.0,IVNBKKRTKKCHCDXOIPNNB,WI,1-131-027-9958,T,BHXUESVN,,2.0,St. Petersburg,Jgvkbaqhsjluthmvgybamcprljfkqrcvkmuhzj,,ZMGJQBO,10.0,Brvyvblnoemya,M,International Assets Holding,f,3331943.0,R,2.0,313.0,IVN10870
74.0,Rglursqhjesrwowip,ID,1-687-841-5725,q,Arkrhxcebkrgxnamxdyhiqihakagyxvcoczvkptnhrjdpuluwrdpdhrfdwdxdnwrndmps,72631.0,4.0,Durham,Jykljxiwemgbbbdhfnneechmw,Canada,Fjeoqccpv,5.0,motuzfbazslzeopv,U,CACI International,M,2700892.0,,4.0,797.0,Rgl10871
80.0,Zinqwhhlclsffrmyeihjjjivnoel,WI,1-049-141-1702,,Rqmttdgdgktdkbsajklsktwphlwvzmkqrvyzchuaernotfmeaas,,0.0,Hilo,Jrkwtdarqqipdxyyulonxxpecfe,United States of America,Jyauewguk,4.0,Mnbmlpugpjkp,M,First Data,,1988778.0,O,4.0,655.0,Zin10872
28.0,Adudjquv,CO,1-905-415-3583,,XVWBCXLXOAHLSGF,91926.0,0.0,Anaheim,gcnwhpornjxchcxlckiltwwpbucakcgdqrflkoxbxbnxkgac,Canada,Rifetwv,8.0,Qqsqimjxnjdpaipmvdmy,,SunGard Data Systems,,726681.0,U,4.0,735.0,Adu10873
5.0,Cscluuawlffbnbmkhnp,Prince Edward Island,1-540-914-4756,g,,234038.0,1.0,Livonia,qntnvkczaxvoeljiprixoafrhpmmjxjdgqqoafadsgepkjsbvxjbunwyszoprbjyrkfnqajeyrbcr,United States of America,Hmsgoe,4.0,Whkkfp,D,Group 1 Automotive,,2337460.0,O,3.0,459.0,Csc10874
49.0,Eknsmytegohebvtvm,MT,1-191-268-1646,,PYRCXDN,13154.0,1.0,El Monte,xgxkrfobkkennyedpefvywwnwsmhwptpzlpm,United States of America,XYMLJBJ,2.0,HUZQCZHOCUAFZNNBXVLRVVLPTGOKKO,U,Capital One Financial,,736224.0,O,4.0,664.0,Ekn10875
24.0,Sqlkovsnzgtdshluvfvuds,HI,1-419-978-5211,I,Xqrowckngeqxwdlzgqgixl,489679.0,5.0,Overland Park,vmvgapslswmqlzjjrrmsgyosqicomgplfzwbpwyriqm,United States of America,kiuikoxcc,3.0,Agceuysxggsksus,M,Adams Resources & Energy,,608007.0,O,3.0,817.0,Sql10876
9.0,GPGBBHCVSYQIKLSIMIS,IL,1-559-928-3346,,FIECIYODQJYKHPGKEJOTGDXXFVTXYXYIZRRJCNWNDDMRBOFTKVLBPCLFFVVKYXGZIJRURLUU,134587.0,0.0,Kitchener,gknohzlvkkggmfzcvojoqrwtwebgaddicyjuelosnbleiyvomkfibxypetswzbilk,United States of America,Uzhepxd,8.0,CIHDVPYONELIITEXLQQQVIQYGOZFF,U,MeadWestvaco,M,3246504.0,U,4.0,,GPG10877
62.0,YFJDCDMGRPZNFHAWVEKABNATLY,RI,1-052-414-7792,n,VVVIBJJOHJMLVQFGWOONZCQGSKLXEMHLOMDTNJAFFMDDGQDQKXCBEEVDIXV,127730.0,2.0,Tacoma,,United States of America,nbhnma,6.0,cnoxmttjqnqgylig,M,Dell,m,2086761.0,O,2.0,753.0,YFJ10878
71.0,Jqwicclqozilgaswlmtzyljnoltog,DC,1-165-465-6251,,,34247.0,0.0,Charleston,tasguijicdgeenb,United States of America,,1.0,Xdxsrgvkfjhtjuqwscksn,M,,f,3868264.0,O,3.0,582.0,Jqw10879
53.0,Depdlksempihuoqecwzor,MT,1-394-137-7064,D,,315589.0,2.0,Wichita,oiejwoaxuqnffkwrphftyveftbdjaawiiiyawxlrrg,United States of America,Ivdchhk,5.0,cfuty,,Jabil Circuit,,25224.0,R,4.0,625.0,Dep10880
11.0,Zzqjbxluzwjveal,British Columbia,1-095-184-2788,W,DCGVLSYVYAFAXRRFYLIXOBHWGJXTDBHFHVDWA,377153.0,2.0,Iqaluit,Hynackuhkubxtyfgfccsdekxdsymgvvhimjquymhxqsqj,United States of America,Rftjrrhxre,6.0,Ettexaiuoj,W,Abercrombie & Fitch,,2099888.0,O,2.0,619.0,Zzq10881
78.0,Pnjgwwijwfqfdcqcruggtngxtg,NC,1-885-088-7182,,GWIPHZEEHHDTZUIWIELTRZQSLSHDFWY,31105.0,2.0,Scottsdale,Uwfnhxlcqbxnjbnwhkjducxfdvykhhnec,United States of America,Uhcwanjwpv,4.0,Ipzbcjw,M,Unum Group,,413092.0,U,3.0,641.0,Pnj10882
70.0,Wawtfldmfqyptxwngjvmpjyimcdy,Quebec,1-830-148-9088,Y,xmehkqpmhvazxkfggtcbntscrrgmnnkurjaxv,224693.0,,Salinas,,United States of America,Hhtjbklngh,5.0,Auiapvedoqhgxig,U,Fleetwood Enterprises,,,O,3.0,531.0,Waw10883
39.0,Yjvqo,AL,1-110-165-1188,,ZYMPDOGBDTG,350254.0,1.0,Concord,MMSJLUUVIAIBFWZCDNVFWRBBSGMDPRETVMDCUMCPHJSLXDPXJSFWFMKAYNALQX,United States of America,aruztf,9.0,LSOYXNQK,M,W.R. Grace,,575786.0,O,4.0,811.0,Yjv10884
59.0,Ahgbastpjemrculwergrqe,NH,1-784-195-1927,v,Kncarxtgtbe,258746.0,1.0,Salem,Zjbxyihielqdblwdeimjwmrsqvfdxzbehkeatoeec,United States of America,iekrrltjwuux,0.0,fxwdkgdouefillqmbu,S,Foot Locker,,2552837.0,O,5.0,846.0,Ahg10885
53.0,Rsddetgplv,WA,,,Cjfxinkdufvxikpypqkpozpullpcm,24839.0,4.0,Lubbock,Fwlucsltdrvitvunmulusixpylbqjblbhxnjixswhnvzfgivgsjhpicyoubbeqiemcxcpsmjnvzackm,United States of America,OLIPIQHQH,10.0,Pkuczwpoojgugdfjbua,U,Textron,m,1478348.0,U,3.0,543.0,Rsd10886
38.0,Cootaqsitpzukczihphleiqa,British Columbia,1-390-959-7935,,ZZTFTVZMALIW,283482.0,0.0,Huntsville,Hcsqynbgjzwgeisafhvptcbrualmirsxeamjmiuotajdwhagxirj,United States of America,Cnqls,9.0,OQHUSHJA,W,Kroger,m,2812221.0,O,2.0,708.0,Coo10887
76.0,TATBDAYCCMARAOFSNLLICJQNPAZT,VA,1-465-363-1576,,Itvfemvaqiuascoitnglfkionxwrotjgdy,412788.0,0.0,Atlanta,Jtndeaakfzlroefesbopiqdcrkhtqazk,Canada,KDRVDSTPN,4.0,ZEFVETU,D,,,552625.0,O,0.0,736.0,TAT10888
8.0,Lizkctuacasdsg,HI,1-123-808-1516,,Gynvgppwtuqhypaiskobvfznlqnsbcfbzrbuokoj,18209.0,4.0,Cedar Rapids,Ertrrupfingjlrgvznqieflkadpmqpgytrrbufikejsbbtskitmitrusyotokpfkdiwjjx,United States of America,Uamfgxil,3.0,WFZCLDXBBSRMPMM,W,DaVita,,1217588.0,O,5.0,314.0,Liz10889
35.0,Sonocsosrpegtixldf,Prince Edward Island,1-369-111-0397,O,doardkpmixmax,156695.0,4.0,Independence,Oulmbramipkpdcjtzelzxmhznpqhwoesygbwkoonelmebyoskxoeslafvpgdpvnswx,United States of America,Rdavnhssbga,7.0,FVTVIGXUDTAIPFHGERUYJMDNEALK,U,Broadcom,m,3426989.0,R,5.0,422.0,Son10890
,Coiicjcnccgd,OK,1-652-781-7583,W,Ewawvudoblvqyvqvcwcuylfkfqxtgthpdtev,497996.0,1.0,Mobile,SLEUSKFIRMXLNNCPAYTWOYFNXUQSBWLXDCNXSHEIRPGOJBEUUUSCJI,United States of America,TSMQLBQSDTX,5.0,vlqmbkr,S,BB&T Corp.,,553994.0,O,2.0,638.0,Coi10891
28.0,hfwejrlgeouvcqbwtlxntsw,ME,1-156-514-8299,X,wiurxibjvfklgqsfupndupngdsgnekzeqvgfcndpbuuvvgziucgdswtjnncrxcimpaxycf,348858.0,3.0,Torrance,Frgtkzzmmxfylifqavasdbzpvy,United States of America,Hwtotofp,10.0,hkvwnfdwmlpmxpbbbnponkjn,M,BlackRock,,1861088.0,R,4.0,740.0,hfw10892
11.0,Bgjigkuivyycxiixjzv,NH,1-554-737-2614,,Mujoufgyoxpwotpkfosgzraaxoawrggeastcxarywfipecfayagffcuexoxgnkaszbztewyejcsflqz,362732.0,2.0,Corpus Christi,Fcfjprszmvkyuyidicjrpfozxxojumeralisyohpjcc,United States of America,Edxtbdfnnb,7.0,zxwkkyacatseubvo,S,Nasdaq OMX Group,,1632708.0,R,4.0,769.0,Bgj10893
80.0,Jefueehbaxnrkbzqvotkotc,TN,,,,291759.0,2.0,St. Paul,Xufektgzc,United States of America,Nkrtgql,4.0,expechzozfscqapwionjksvygnpod,M,LifePoint Hospitals,,242007.0,O,3.0,489.0,Jef10894
46.0,Pcklhxsqgbk,AL,1-292-180-2332,,HEDATDHTQRESYQNPLZXIRSCVLN,494615.0,1.0,Los Angeles,Wigxqdqlofbxwjkwzhaffahkrqwjwuoghmelxbylguqxfurdztnxqe,United States of America,Hsiue,5.0,Rgjkggn,U,Andersons,,2591328.0,R,1.0,664.0,Pck10895
52.0,HQJFPYEMGHUFFMLZWC,FL,1-109-504-8456,,Rbzpwerrrwjlenjiydkhesefijloujpzlfzqfpmihagizrwvtcouhheziwjgfuvdjofm,157794.0,1.0,Ontario,uobjolhpzbnqybupcqpudsreylnimqvtcumibleujjrsnptkthkxwnhzkqkrcpnvuc,United States of America,TUWYHKTQEIU,9.0,Goqwsysqvscolaxoym,D,,F,2879085.0,O,2.0,534.0,HQJ10896
32.0,Lcrytvd,Manitoba,1-848-515-3209,,UHCXRSCOLTQQEORPIUWKHSVDRPNYABRUMVDCKBBFDVUGPPHHNBNULDHXNEMXIGLXMXXG,17017.0,2.0,New York,Bohrqnkcspyjashwjwooieghfjozjmim,Canada,sqcyeoz,8.0,Vbfxdqxdenthgjeihlku,S,Tractor Supply,,2070875.0,R,5.0,800.0,Lcr10897
55.0,euffvx,IL,1-746-280-7436,,Isjwdjzvkciyroqiavhtlejf,73499.0,1.0,Evansville,Brbzhblyosz,United States of America,Jpnsxidu,3.0,Tgsegegyeadcqajhdfdohsz,M,Trinity Industries,,2961512.0,R,,622.0,euf10898
27.0,Lwqnplqchsoxpqpoanrxn,Alberta,1-372-185-7674,K,umtuggklkeervvddkigkeubifmxtllbsevpdsvyvkskmtnxrszmuix,269621.0,1.0,Long Beach,tdwcndwzr,United States of America,,7.0,Jlbcu,U,URS,m,553731.0,R,2.0,779.0,Lwq10899
29.0,vzpulekdaduswguolhhzt,WY,1-447-973-6883,z,,66173.0,4.0,Anchorage,,United States of America,Kmwnul,9.0,Jlvisocfrhlxpqfktibprftkonmsrj,M,Merrill Lynch,,3805111.0,O,4.0,577.0,vzp10900
50.0,Unwxqlyffusldlw,NJ,1-711-512-6950,N,gckalmrtohxjqtyyiyezaqaohuikfxcxudfc,466342.0,0.0,San Jose,UUVUZUZAZKKQZZQAMRMNUAZKNQMMDYYOHXYBKFMPDPWXEQWNAYTGTAJRNUBURFGLVRQ,United States of America,vgywdxll,10.0,ooplpbotgfasmqiekwlw,M,Mercury General,,1194478.0,U,3.0,618.0,Unw10901
14.0,Wzsayecybjififte,ME,1-393-112-0293,C,Zcwslsh,195879.0,1.0,Sandy,Nwparlalxikgaqbrqpolabruuxcvbro,United States of America,Sevwdhbdv,10.0,XASDOFQQNMXNC,M,Genworth Financial,,702805.0,U,1.0,699.0,Wzs10902
65.0,oyjlkhghxvyznxyfmmrbbmximyh,TX,1-995-397-2081,u,Bfncujjisskclwemjgcvqmgsixxvixwalcrhzbnxiwyczauqrrpoavvcyus,369560.0,5.0,Abilene,Mgenfrolvtmseromvvlbw,United States of America,Fliheax,9.0,DOIYECQLKIAMBQX,M,CMS Energy,,89580.0,R,0.0,642.0,oyj10903
89.0,kuqxxalwemcywmljskxmnm,Ontario,1-249-182-4524,w,ibzunkyptlhphrqogjibocpqnxqgfvocgwjsrovejgzbhifkeflezlsjjzzk,12936.0,4.0,Columbus,cfmuwxurlsgjnmpmcwqgwosedeycvrauwrikzanhxuxqxyjnoqdqoblvlyosrwzkneaufnnjdwu,United States of America,Etaqr,4.0,Jltrpiwcgulbfvcgsro,W,Ecolab,,3364856.0,O,4.0,808.0,kuq10904
52.0,Qiztxnn,MO,1-732-367-8014,d,MNQZFCVUMPUFFEVZRQDGU,462950.0,4.0,Denver,dokmkuixymnjsrujtjzucuxthc,United States of America,HZYKV,5.0,TGWNYSJLQFWNOGCRD,U,Warnaco Group,f,1175581.0,O,2.0,379.0,Qiz10905
58.0,FZNEKGDVGNH,VA,1-212-364-0014,p,YVNPHCUCFIQUZBKWMOXQNPAJGMEJHESBKQNXMCTBREUSRMRVMIUEHNXYRRTXHPOVQ,405694.0,4.0,Montpelier,pcogmmtprs,Canada,rlorncyvy,0.0,pnbyjuapqsfjkjibbgdnfmpe,M,Berkshire Hathaway,m,2461352.0,U,0.0,533.0,FZN10906
8.0,EWREHLYUNMAIYZEF,FL,1-895-727-6050,k,Spwtrsqwekbmmiwdcrwgv,54271.0,5.0,Bakersfield,Upngmlcneueswvnihbxyvotf,United States of America,dtduijdwha,,Lqznyzkbnmsusvrledyri,M,Allstate,,3437713.0,O,3.0,558.0,EWR10907
46.0,Fgwfu,CA,1-245-123-3822,D,jijdxcsofwuxjzxlplzhzjfojoplakdicrhjpsxmhlcmlfak,346404.0,0.0,Amarillo,Ztgqzcddmpuronnlazacpfeqjeogrjunpcgwveenqpguhm,United States of America,Oqdovw,5.0,kaudad,U,Allstate,,2036027.0,O,1.0,555.0,Fgw10908
21.0,kzdqj,TN,1-601-692-2835,B,xfbmcwnufjspcskntbzzxvovyqepeiqtrakkcgxze,478931.0,5.0,Hollywood,NKQKXQIZXBDOVULOHNHGSNAUUONFHCZPHLJCEJPCAIGPZWJFHKLKWLJXKCNAOTAAW,United States of America,BPJRZ,5.0,Fgcvzyxvidniwobu,M,Vulcan Materials,m,2033653.0,O,0.0,470.0,kzd10909
9.0,Nveykupb,MI,,N,XBEDHSFMOQDIJCKPMDHFKPHNDQG,210193.0,,Mobile,Gjftdcperoworqifmnywhaoofarotfhvwmcxsecrrubfuovuahtwgcfeoricagzb,United States of America,GFLXRZLB,5.0,Jceevatpersgtmpatxqavxhy,D,Interpublic Group,,1255327.0,O,4.0,,Nve10910
,GHAULEJQZ,OR,1-514-526-5294,G,Yaftenhndslaudlfxdrgussbhtmibowgclxxcflrtzftojpvlckxlcus,481083.0,,Madison,,United States of America,BTFKWCSC,8.0,Rqdoe,M,DirecTV Group,m,2449252.0,O,0.0,632.0,GHA10911
60.0,Tevukmn,ND,1-439-112-1157,,Ablizfqscjawfdxarcmfsemqwzujvyij,339731.0,1.0,Evansville,RJYTKOQIMFLREWFRMQDLTALYNVNGUBQDLWYDASNBDMDVTITWEEBLWEGMTZGUJWGDNWKXNCLBV,United States of America,Habbswgpkuf,8.0,nwcstievcualblkotjv,S,NetApp,,1340516.0,O,3.0,496.0,Tev10912
29.0,UZESJLZNGELQVGFINRGJZPCRZWMPU,ND,1-582-813-5255,,OCHCEEOTTHSGTAXT,436764.0,4.0,Hialeah,Irviblmlepgmnhq,United States of America,jqvlhii,8.0,ANYTAYSTXPPDNSJLCGLCPAVKUN,S,Crane,,3461994.0,U,1.0,392.0,UZE10913
23.0,NCGHJMKNXSSURHUOABPXRMNK,Ontario,1-548-978-1948,,OQMAAXOBCCPKVDWCBVMDPJATYSUMURMW,352360.0,1.0,Dayton,BGESYFSVPSGUBGLPGSADVUT,United States of America,SRLFWE,8.0,Amvffuiyqbcfhcea,U,Eagle Rock Energy Partners,m,2024540.0,O,2.0,517.0,NCG10914
94.0,bhqaq,KS,1-746-021-2699,E,spnkisurpsavbhbjpndyqprufmeefmsbqdctqkzqkozezhrd,158128.0,0.0,Toledo,ASDKYVSLSSURLPBA,United States of America,,1.0,Fxiosvixvqdxqroxnlbwxucpo,S,Toro,,1138992.0,O,2.0,781.0,bhq10915
,PHJMFTTVVI,AL,1-415-186-6687,,WCSSHLJWGGRJLNAITYWXNTJMKKVPHEAOZ,420705.0,3.0,Stockton,,United States of America,Xsrmgzr,4.0,ULSJDWSXVCI,M,Aventine Renewable Energy,F,714476.0,O,5.0,473.0,PHJ10916
1.0,Nbyrkskvbuga,Ontario,1-924-167-9389,,Ueqltrewqwwddbmnbnuuhoiixts,,1.0,Detroit,hivydedderwdlvsthztrlolshjrkjhounjpxuustuukbtcrmviclbcmzimlulbncwrlfptbs,United States of America,Kexqsvsgkvhn,0.0,Dderlnwelvxuwogvfwixmk,M,Calpine,m,2911061.0,O,1.0,833.0,Nby10917
24.0,OGBCSHJKCN,GA,1-609-890-0204,V,Acaoxlvmurfnj,129742.0,2.0,Arlington,QBQLSQCYNHGJDDOGIFYCULIINVGPVPBHJQZFEZBNJSRESSYNVBAQGFSHIHYOIQKFWSXLFLJB,United States of America,Bdbbfftghjo,1.0,SVLJACBKRBYAWFMIEJB,M,ArvinMeritor,,3969773.0,O,4.0,691.0,OGB10918
24.0,lxsjuszsaarapzidbzkdehydcajq,MI,1-036-865-9969,,Erpkazmcrudfpuxcufvpajdqrtkkfurgcggvlaztdhwumeqm,328525.0,5.0,St. Petersburg,vvnilmxdskheajvznnkyn,United States of America,,2.0,XZPSEPGUHDJYUGQ,M,American Greetings,,703094.0,O,1.0,605.0,lxs10919
62.0,acmrsqduajovlrl,WI,1-051-526-1667,Y,Zgcjbwfz,209184.0,5.0,Iqaluit,Xiiuxyzagbkhq,United States of America,rvyqtg,2.0,zjinmzcrh,S,Expedia,F,1949122.0,O,3.0,606.0,acm10920
0.0,Wrmjrvjksncvmzkbqmtmsfv,FL,1-768-813-5360,,,345510.0,1.0,Rancho Cucamonga,,United States of America,ZDPVIF,10.0,HPDTETWBQYTDBFLTTCOISELZWLDL,U,Cardinal Health,,2703266.0,U,5.0,764.0,Wrm10921
39.0,Jpiypymtpjvtymartq,PA,1-649-666-1883,E,Pawdshdmhrkcnknsrecfhwxzvgbhqmclwsos,186382.0,4.0,Casper,kslvlzglgopuixswthbbvdgufyudpiylawrvlxvwgcdahnshmsavkotdfddanvhuwk,United States of America,Xrgxwhprokfk,9.0,WQRBVQMHHXPQINZOGHIXPWB,S,Nalco Holding,m,380664.0,O,5.0,706.0,Jpi10922
41.0,Troomkcbiecthgt,IN,1-613-128-8542,,Zvafwkcxsrpowaqwfalbfylvpgeazk,360008.0,5.0,Rapid City,XYDVKBVKBOJNNKCOKWFEZTPSNLACMYSGYLKUHBQR,United States of America,ffigmgxfg,1.0,Uotoamsz,M,MSC Industrial Direct,,2013608.0,O,0.0,539.0,Tro10923
96.0,xnnuxfvbowzlmuagrgsnqxxx,WA,1-274-072-3038,x,gijkbkchybponndurlawqgckiwgkahadonhoezbrxuudspdx,437145.0,0.0,Alexandria,Aidpwxwimprqkiakditjvwhlgysgiisglsrlclfmqmsoyn,United States of America,Luqghgagz,1.0,Pdapqxnroxbajuoiervvbr,U,Toro,,684957.0,O,1.0,705.0,xnn10924
53.0,Slksmqccxapcsikby,Newfoundland,,s,naieuiexkkkkdbpkjl,156350.0,2.0,Hull,CNWZKFSBWJZMSHHLISMDFDVFRPDKKSW,United States of America,mdcqbwpcieb,1.0,JTJAKJFLMBQZAJYJWDVGEWDOEDSMBS,M,Energizer Holdings,,1880630.0,O,5.0,506.0,Slk10925
33.0,Mnatkf,NJ,1-790-225-4437,,Xfmmvgbocvtvgopnlqfcetlhatrihkmsrwcgjpvavifkkivfbvwolcfukj,290929.0,4.0,Sacramento,WTFHKDJVUWXTVJWOPPFDOMLQ,United States of America,UZYANPDAFT,10.0,Lqhdszeqcpzgymtxose,M,Nasdaq OMX Group,f,2644379.0,O,2.0,722.0,Mna10926
22.0,Ceujzlu,CO,1-263-408-2993,f,UUHIYLUEFXVRNSASGHTSKQRWMAUBHCBJIPCW,81542.0,4.0,Berkeley,Iwqrtepoxnq,Canada,gasrnfat,6.0,Dtkipccyqroqpkheosf,M,Psychiatric Solutions,,2974979.0,R,3.0,652.0,Ceu10927
46.0,Libfaicnipheoywnu,WI,1-890-985-6572,,Lphfjzagbrqjuopvtqvydma,370202.0,3.0,Raleigh,Wzctjjcdvfcxsdquibugbaazjwnqqwtcspbuqwliusgjwndoivdvcidudno,United States of America,Tymbweqs,4.0,AVSGUYATPZXALQMVFBYCUU,S,Torchmark,,1290150.0,U,4.0,511.0,Lib10928
31.0,bbovrseaxmtwhumkehslmbsnbxkpvj,AR,1-265-909-5632,Q,pmatykypevllparqtuxgpgujsejiqrwmitm,268225.0,4.0,Bellevue,QSYFZKHHMWWCNNRHLHDESEEOLCQHTUNTCYLHYXVSDZVDTLDLPOAZVRHYWNCYQKA,Canada,cmujvdjhcuz,6.0,Rudbav,U,,,376021.0,O,,399.0,bbo10929
70.0,Ncpbryqnduzthh,PA,1-375-393-7011,L,axpzldoutxutxkmecoyskzvpplrjjzuvenijvmf,215225.0,3.0,Ontario,Uhqzkvfihncqgtgildgfhazosjmuyptmvfkcpezylur,United States of America,ujxrinevja,10.0,Oyeanuksqkwq,S,LandAmerica Financial Group,m,492595.0,R,1.0,568.0,Ncp10930
24.0,Uwxkhebb,DC,1-568-261-8929,,Ooyqaiqjrhjrhmjjrlzzjccwkmqkaqhrktsadrxfnimcqsjrjjvhyycjbdyyg,90783.0,3.0,Evansville,Uaoosbvjczlvjrirfpyyohxfcbcmvdtqwpaheejwufditdmmtf,United States of America,Rnldx,4.0,Lhflclsqdqwjglj,,Pactiv,,3146306.0,O,2.0,561.0,Uwx10931
3.0,OLBEBQSQ,MO,1-986-959-3653,,Pixahrpgtqetgxarwqkeh,305315.0,1.0,Baltimore,,Canada,Kisajsd,8.0,Kywtjoxmldahbtqebcdojz,S,Mylan,,1641342.0,,,438.0,OLB10932
40.0,xvjpxmrufccenftfmrjpsteydmikm,WA,1-181-080-3564,,tjxafanowsoemmshdndxgqirookdoesopgorttevrhygdnlwfqztxrjrdnezdahhcucosejqnuflett,136236.0,,West Valley,UPTVRUTYFZJBKCIULRMGHGQLYEVUOLUGWZOXHBUVHVSGBQOBCTHNFC,United States of America,mbvevh,1.0,Fluhaizdvpfrurynxiq,M,R.R. Donnelley & Sons,f,3078194.0,R,3.0,316.0,xvj10933
89.0,STDXFHTRXBZCBDXXKPUM,AR,1-473-108-7514,,ODNOELDSPHJXWZUHAKLAEEHFOSHPRQAGHNUERCNMAVBZMGEPAFVBFBSCAAJY,120953.0,4.0,Chicago,iecjjzefpxglkogxuoejzfarrxhbsxpdadkgb,United States of America,Otdkoqycdbkg,,Ajbjkhwy,S,,f,1146111.0,O,5.0,309.0,STD10934
10.0,okgvvukkbnl,SC,1-423-981-4854,s,kopslhszcwfsrepuzpnmukkasrbwubnxftnflkptlevk,233464.0,2.0,Reno,Xtytfbhgbfdolrkigjagjdfvowfpcffnlinpdi,United States of America,VIBCPQCCQC,6.0,cbwtvakoeavdr,S,Arch Coal,,872488.0,U,0.0,822.0,okg10935
77.0,kxqdnaxtwhnfaivtnllijjhv,GA,1-926-129-3933,V,Kthmsvmnaagxawxcthectkpnhtnqokbhhzcjpqdjmkbuelpohfff,,1.0,Sterling Heights,YDNMPJPGAXSAEXGRIQLQEPJRTCXOLYNKPJTXHKUIVKKOXDMRYTMLEPQETLJVSVRLLBTCDGEAVDAHJZ,United States of America,SGGUNDJO,2.0,RVWVE,U,Advanced Micro Devices,,3099758.0,U,1.0,799.0,kxq10936
38.0,mguohropbqhv,NH,1-161-889-5810,D,,,3.0,Erie,ecmifmteidqpmzwrpzsovehomjpnv,United States of America,Oqgtrnxg,3.0,Bakypgyvlir,S,Aon,,1753441.0,U,4.0,558.0,mgu10937
,RURAMZMFIBI,VA,1-227-978-3308,e,Ovlxacbqjjznbucopjevplwmydnolfgmrepnxfb,343496.0,5.0,Hilo,,United States of America,Tgmbglvekbx,,LWMIEDHLQRMAGPA,M,WellCare Health Plans,,,O,4.0,805.0,RUR10938
78.0,Ffslunwxpsacfrtcgoprirfhoivsrx,KY,1-102-418-3672,G,QCAXCVXHUJFJMRWXJCFPITLJREFUMYXGYMXBEAMOTTWRCLSDUQYZM,481035.0,4.0,Wichita,ILGXZTBKVKMEDNVQCOMBVCFMZVRDWNDVGVKKZRQKTQMFLSCEOJJJMKUJILWTHSGKSWVPLWCIRIWIZJD,United States of America,QEEIX,2.0,kngrcj,M,Collective Brands,,,O,1.0,745.0,Ffs10939
21.0,Ukfggeprgjgxffuewqunwkd,Saskatchewan,1-137-385-3341,,Igjfpbyxhlrcqbocynxqjlhrhwcfqcmrttjjxmmjholnzicxejfbajbsydkruknznwlujcv,312758.0,4.0,Gary,xwfuxevgrheytyeblhagv,Canada,PBVQEL,7.0,Hnplfeulwvqtnvq,M,Perrigo,,3875663.0,,5.0,381.0,Ukf10940
55.0,sekdssbjpapeuonkpcwfoelvlfk,ND,1-540-667-6724,,Gnobnxcajuzmrxphpbtxmlixbslrrmjuomzdaqquuyhizddtbnzjgqhmidvblfbriigty,227393.0,1.0,Salinas,Fiilpxpgrsvuciorqkhrcbuxjjmuwjoktotgqhunjjtanjloeqsifeuyfbjkd,United States of America,Nxauma,2.0,Eejecrqetqaoknrwyieytqkzejg,D,Arkansas Best,m,3358247.0,O,4.0,626.0,sek10941
85.0,Tnask,ID,1-628-927-8038,,,437835.0,1.0,Washington,fizkawyqvaphmljiviipdiwimszlcpmhud,United States of America,BJXOZTGHW,7.0,sklifwvdtueivviaeost,S,Lam Research,,3661308.0,O,4.0,744.0,Tna10942
94.0,UZJKRAJQTSCXHRXNIXOEUZWZGYATZ,AZ,1-139-345-7937,,jsugrdnipikjegmtcqnwctdclzguhux,322724.0,1.0,Montgomery,,United States of America,Thczqlcx,4.0,wkonkulnhqunekncxpsshxm,M,Sherwin-Williams,,3371434.0,O,2.0,792.0,UZJ10943
