lstnm,nmbrchldrn,wnrrntflg,gncd,g,ddrssln2,crdtrtng,ntwrth,mplr,ncm,nmbrcrdtcrds,ddrssln1,stt,phn,nmbrcrs,mddlntl,gndr,frstnm,ct,mrtlstts,cntr,pstlcd
ribjlwfxhlogvxzogyyg,1.0,U,rib12196,96.0,ileehumall,460.0,31180.0,Kla-Tencor,172102.0,10.0,Zcteekpmqvzfpfnmrkowxpysjmkqdypmtzbibuctquznwkglwnuumrusinurxlhzqratgzxlom,MT,1-604-951-7616,5.0,j,F,xefpdiq,El Monte,M,United States of America,bvuisxfqm
wqsakaxk,0.0,O,wqs12197,40.0,SGDSPSUJIYPMQZKCPDGWKOGDWOMEOUPVCPENDBMJAFZUO,676.0,2226899.0,Thomas & Betts,53762.0,5.0,Mwvdmvlrmcxdsyxbwzjdfujllewrwlwikugxeaifnqht,CT,1-541-931-8731,2.0,d,F,LOUMPFMSKRER,Moncton,U,United States of America,
Qxfqo,4.0,U,Qxf12198,0.0,xdysltuhmxgbevweatfxjebhyuvfxykmhftdxdbwjksrebijzsztzrguafxgvqx,588.0,2919511.0,Broadridge Financial Solutions,103196.0,2.0,Iubqdtvwodekpvspshutadeitdxwhvweejxjukravpnjlehkqmqibzpizf,SD,1-521-807-6924,3.0,T,,Txhdtsjrnaogrzsk,Henderson,U,United States of America,BTAIRSQIDAWQ
Igmjzznldwvxgodwelb,2.0,O,Igm12199,5.0,Atbwdksneqfylyinqxuhwejvmuxyyhyludoovidwltrclunwtivyntuukemwfyvlavqyirlv,318.0,,Polaris Industries,337137.0,3.0,Ytuoihwvddracdaggdncubctbjowssgxeoiyekslxzktlcynkdgvzkotirnency,WY,1-166-243-0923,1.0,,f,AFDYOOYCXVMI,Washington,W,United States of America,RCCUIDQH
HOWOSNFRE,5.0,O,HOW12200,,WFVXFSLMSEPLBRFJOWGJFGVVKKCEHUN,,2334594.0,Archer Daniels Midland,38753.0,0.0,fwmywfybedsfzwolvapfhxkvxeropcra,IA,1-906-368-4130,2.0,,M,dfyilojzgebnsvaerfbhjgqcg,Anchorage,W,United States of America,pabggxle
JRAELVRAIZJL,2.0,O,JRA12201,76.0,psmvinhehivdchfkmo,577.0,,Advanced Micro Devices,368769.0,10.0,Hdltooerawuiw,TN,1-691-985-0241,4.0,B,m,rvckglilespertjhca,Flint,U,United States of America,NPJCCE
NESKAWJCMOSQFJBWVPAR,1.0,R,NES12202,24.0,Cjtmglchigtfprca,583.0,3793160.0,Greif,379183.0,4.0,Xtptcpjdbvxhxrpwyciimzuskmppgocrry,AR,1-741-680-0780,3.0,F,f,Heakkeulr,Reno,U,United States of America,OPDQICYBHVKJ
iwvhopfbbkevbljswvhmqf,3.0,R,iwv12203,4.0,Lgmraaiyhcmbcrbhcdxmuydphlulbhfoaxabanuendtpjifjnozsixobohlufzxpqbzuxcoqpzotqrs,745.0,1116481.0,Carpenter Technology,13484.0,6.0,Xnkaoepejbvjyzunnbtdijlj,GA,1-881-425-5854,2.0,,,Pjrocmvqlsbbpo,Grand Prairie,M,United States of America,Tsmwxabafkcg
Kgboosbbzmbdljghzdwobg,0.0,O,Kgb12204,80.0,Vfxtktktkubgweqnjqzaiorygbbdluxvfffzhhafkqnlsbendgi,,2405635.0,Cinemark Holdings,250104.0,8.0,Yleqzttgipkmjaeojpjqianqyqiajztetmnjvgaokjgnpugdsmajbhppcwxwhnj,WA,1-148-334-7958,3.0,q,m,Uljtoe,Simi Valley,U,United States of America,Kukqu
vqngrjjsqlfefbjlt,2.0,O,vqn12205,72.0,Jsajptmurtaiuscfyuveajsvs,792.0,1345430.0,Popular,317017.0,9.0,Wqlecgjjnwgbrfxpaoxfyoz,CO,,2.0,,F,adpufe,Waterbury,D,Canada,UXCWP
WIPMTMX,0.0,O,WIP12206,77.0,Qjubgrhm,423.0,1414682.0,Humana,408026.0,9.0,,WY,1-743-909-0960,5.0,V,,TJALDBWUFDFHXFO,Saskatoon,M,United States of America,Dqqltigow
veqdhdpkmotw,2.0,R,veq12207,66.0,,699.0,761024.0,Moog,72785.0,7.0,zohmhlqxfptgzzdcaqmzhikndiupxdmqgsukojkwxacupxfclosgmhvmnxlnzbbckqpsitndxc,British Columbia,1-790-995-2210,2.0,,,NBTCTUSJXF,Lansing,W,United States of America,
Eubdytwdwnvvlnnkiglruwnvmxtyse,3.0,R,Eub12208,57.0,,793.0,3529716.0,Coca-Cola Enterprises,344200.0,5.0,Entbluekmbqunrwecwgcahhwwmascogprykprqbcoueatjonlselfbsupkvb,LA,1-424-029-3950,0.0,,F,ellwgaceavr,Lincoln,U,United States of America,VXSJIZDX
xaugg,3.0,O,xau12209,39.0,Lxjlidmpgzxqoscdpkvfxpledwgivnpcjbdnqlrttxpzrkh,708.0,402551.0,Fannie Mae,163287.0,5.0,,WI,1-663-737-8437,1.0,,M,Mjbjxtjsqkhzxalegpvwjlhegirrl,Hilo,S,United States of America,qjfxg
Ezkvaobakwvl,2.0,O,Ezk12210,66.0,Gixyblybgzgvxeygujszikycvvxntuhbjjfsldaadnssnspkyoyvmctzzlzhrpsmmhfd,524.0,2383975.0,Noble Energy,476546.0,3.0,GSXUESRXRQADIEOKIYRAXBKCZURDVPZEULGGDYROBHJJGAHFUZRY,AK,1-284-847-8516,2.0,,,Xptypqejrmtucyosirsqfkcnivlkf,Fairbanks,S,United States of America,bujmjyvyxs
Rwzqyaiekfeqlgzfz,3.0,R,Rwz12211,6.0,Dgsvbayeojpurvcmwpdsqsjgxdjvnhdhwhxzxghxmg,475.0,156372.0,,351197.0,5.0,Qvddbiywvilmffawahrrqzzmjcadycrlslkgdnth,OR,1-932-002-4006,1.0,Y,,Xbmlfslnunehiwlkcwhf,Grand Rapids,S,United States of America,Ugicmuoap
Jqiexkrqyoyopkolqozlarvosh,4.0,,Jqi12212,47.0,Rhgsxhfzejmkszrnlppompayqusyhhmjuwmeeuntkjqpxjzfvciqcjbam,621.0,1925871.0,Watson Wyatt Worldwide,410685.0,3.0,Wpdpigakjxnlenwouhvmmjjsqcvuhwfworkwzwdlryhzrd,WY,1-458-552-3785,5.0,,,kncgvlyixgdt,Bakersfield,U,United States of America,UZTFYGVSK
Fqkjjygvoknkkdgnjqnzwoujui,5.0,O,Fqk12213,27.0,apinjbpyjaadtihhcrtvriqwjazpjkaultxrjvsmohwtveypozklzsbmsijgfdtiseqvaccmpiw,364.0,1200732.0,Goldman Sachs Group,163033.0,0.0,LLVQCWVJNTNZSUFYRUDAPTKAKUOVVYOVNCKRMPMGQWMGOTRPFLWOFMNQCIGSLLTNILXCIMDPV,NV,1-573-635-0257,0.0,,F,Afryeczsdk,Erie,S,United States of America,KXIETWXJASCX
OYAWT,3.0,O,OYA12214,65.0,mwayzhwiekzkjmnkljzjetgbhrfjkoljujowsihzlislwjirxzmeyxouysdrkywvuchryulopb,406.0,580859.0,Alcoa,383409.0,1.0,Rfhancjygpwraccchitrtxjtniibdhdrafnbsiawqnfvmayltbgwhso,KY,1-845-177-6270,2.0,,F,DLBDUEZBFAYQULJDODDZRNGRKKW,Gary,M,United States of America,sulqmbipsyg
Muajirmsbtvvnzszxzt,5.0,U,Mua12215,5.0,Jrthfuqhgppoimspfqrakwvbceg,829.0,3584219.0,Boston Scientific,443283.0,6.0,Ucrckqdffnvrsxpbuu,UT,1-526-761-6481,2.0,,f,Bivgrgyovfudytonqaihxorxtau,Scottsdale,U,United States of America,Awbauazogvli
HPTYNKPDWRFUI,2.0,O,HPT12216,23.0,Iqqfeogweplvropsddjuztvuekyxwogawaxvxibecbf,643.0,1945249.0,CBS,,8.0,Bkuqbzdyrvquefusoredmfj,WV,1-425-424-9711,1.0,,,Vfukciddzwverhamtz,Iqaluit,D,United States of America,Whoyja
QIATRSTDJEKXT,5.0,O,QIA12217,68.0,ykujaanratjntjkrycsolfkbeetxrbsrtojbqadpakibvnpcddbhtet,416.0,,Ingram Micro,,0.0,Whqwbyjnztxmnlnzkmdwtdsvpahulcqkciwg,MT,1-974-606-8078,5.0,,,ipdyrij,Nashville,M,United States of America,Eihnsymvzup
Wtiqpwzxp,3.0,U,Wti12218,31.0,Sqaygbagrgmkypolwqiwdmjphwkdkxqgolzvbirbkfifkldkvxaejtd,473.0,2796483.0,Expedia,66752.0,5.0,Kbvah,WY,1-308-988-8179,3.0,i,,swafsqogrwdzqoaoaatqmhqxlfykwy,Charlotte,M,United States of America,XCLLQBGWG
NMVOSEIQAFUQPMCVPAMIODFGBL,5.0,O,NMV12219,33.0,Mqgjbzgzrseprrqwqdnvsexoowrvpcdoyroogwvhkurjmggjfzdq,591.0,,OfficeMax,332456.0,10.0,BBWGYORLAWXXIFADMLWFXHYLLBGMAOUCDASKMVWFUQPITRBCFUSZ,NV,1-864-604-8548,5.0,,,SZIGDVVGAATQOVFIGKSAVW,Escondido,M,United States of America,Wrokdatdch
Yxdeh,4.0,O,Yxd12220,97.0,Owrmjxjbdemllauzenjkvyogfsabjwbqaqebhxisbkyvzqvapsszvtrxjrpjvhonlzkosqmnij,804.0,775100.0,Loews,473033.0,8.0,AEXHCAMUAAZUMTGWCPNTH,IL,1-421-065-9548,3.0,,F,drfzwjgcncpwprymyqndooc,Irvine,D,Canada,WCONQVO
Fverfw,0.0,U,Fve12221,38.0,Owlfmvcrengfqyhefpqpzpwivuevbcnhihgmbbzmoa,,2367113.0,Conseco,324615.0,0.0,wrfwtelpoxjljrdtfbamwolgwcyfxfcilcsxduziyk,Alberta,1-012-750-3367,5.0,,f,Oyywxjqcnfxsrkrdt,Fullerton,W,Canada,fspqxfedlcpt
bqoovaipsgsdhtuopesdcgvqlrlawv,5.0,O,bqo12222,78.0,,685.0,1302714.0,Schering-Plough,118303.0,4.0,Styyiudyqitldbsvihgeqtoepfzgcbcnbwkavabqwj,VT,1-416-154-8007,1.0,,m,ELGZIRW,Huntington Beach,M,United States of America,pdbdgkvii
isgejynhv,1.0,R,isg12223,88.0,Zzeacanjlylkqcgyihxwtlqcefcxfbycrdfvltggknkpblgonfumjiftwtbn,499.0,2084749.0,Alliance Data Systems,164382.0,7.0,Htwpfhubc,MA,1-571-624-5476,3.0,Y,,Zadbfnijltnxscltrrsllrd,Warren,D,Canada,Rdvfopdhhv
Siitbcjnm,5.0,R,Sii12224,91.0,jptxqaspeftjmvhjnjznoajnxscnaazsudsnpoahcofkuaguohhfiytfrkgevvvfnyuwmgxsworcgc,417.0,923312.0,Polo Ralph Lauren,248149.0,8.0,Uabwejacqzsvsiwnxblgdqtpuosuifjfzfamcimupzrwcyaaruycbpiamdmnvobnkrcjcnfojfhp,IL,1-686-563-1927,4.0,,,qkjimnwokakcgeoszhcx,North Las Vegas,D,United States of America,MNEXMWSSPSO
Jcaulatortabrovmsvlrmhuixd,5.0,O,Jca12225,50.0,Shtttjfyzshsqtkzgfctzwkdxckzuqhvigdhaqbvyvvefxvcmegmlpswppnbccuhuufb,714.0,2432430.0,Best Buy,45831.0,6.0,Jdlvbnsokoacpwrqekciiddvupaxnknsjumqg,MI,1-725-337-9751,1.0,F,,Vgdixkoawacfg,Sandy,,Canada,Tcwzfqvon
joawhooyicwafxdtxrk,2.0,R,joa12226,4.0,uvcqxmuuttkblgrkotbqfgaftdnzcaplq,336.0,507864.0,BlackRock,317525.0,4.0,Rltiksskkaehaitlkzzjhnvliyntj,AR,1-944-556-7766,4.0,g,F,IUOEVNLOZCBPIDKCOECFBNPVWOZTD,Laredo,S,United States of America,Btljvsrgvpg
Mvhxxharnkntwxxkacutr,5.0,,Mvh12227,39.0,UWVWRYOHJRSAQBMUCXLTYQZRZWTLNEJPQUPIVOVJSXCJUIEFDSOFF,,3519269.0,Jones Financial,422793.0,10.0,Djhox,NM,1-637-305-5361,1.0,S,,IBBOAPI,Augusta,D,United States of America,Opsouzs
Hcgrvn,0.0,O,Hcg12228,40.0,gglxxaisxweywvemqedadltadwywbifndxndxokwp,784.0,1883644.0,Regis,244919.0,3.0,JCOHVUIMYJIYTDXQFEJSKLXNPGNYPHASBQXNQHJGVRHQEQGWGQ,MN,1-790-693-7865,4.0,A,F,KYSQVPSPAVFWUEMCJEQDBNL,Santa Ana,S,,Amrxjhpfozic
Chxnylopw,5.0,O,Chx12229,50.0,Lezcabu,475.0,3071518.0,DST Systems,175758.0,9.0,WUCCYYJIJGTTCLWLAAXPFDWPPUJ,MD,1-085-597-7614,0.0,,,Dycnthikqdjxqtbwg,Berkeley,M,United States of America,wmzeuo
XCNNFJNBSYCEVPCUDGWHGHGS,3.0,R,XCN12230,42.0,,847.0,1416770.0,Radian Group,158835.0,0.0,Qdsvmzqscxaxhlqjwxrscigounhzjpoghavcwxclctyzqdblsgyhiemeymfcrwoabstwunmqgwkqewnt,HI,1-735-425-1545,2.0,,F,Vpumeba,Seattle,M,Canada,WVOTPWVTAC
Mlyasqdtlxsqnxowtxekvezmzi,0.0,O,Mly12231,86.0,Kkwdwlhjzzsgqywiiqopbxmizazzihjgwvkxxnmqubrwymglinqdriedjrjibiughjchimlxqnvb,634.0,2552930.0,Simon Property Group,111717.0,6.0,Anljuglptbvmfowuickluhsxgkf,DC,,,V,,Umqoetmup,Rancho Cucamonga,U,United States of America,rjegpgkppvek
ZICAULELSXWFUZVTSPRXMJ,0.0,R,ZIC12232,27.0,LBRBOFPIXORTBOCPFMVUWRIRGQXPBIMN,759.0,2734980.0,Constellation Brands,,7.0,Viuinaunavhvstswnlwbgstjoesooubwqgxkqeepomjyhgwglplj,AR,1-321-399-0166,3.0,,,Nonfcxrwebytwxqdhwfek,Reno,S,United States of America,Rqlwowunqxww
Tsruzliwtpoqwnjouscrjiegn,0.0,O,Tsr12233,57.0,Mvjeoxixdtljqexaatgccnzsczrombpzibsgwvcgvqiyqvsycewgcvlgjb,573.0,3392989.0,Express Scripts,156323.0,1.0,zvunpcyfkhcnroxjiibawfyczmwiwfovueuytflrqzdhydecmxjsaeazl,NC,1-332-456-2627,5.0,H,F,Zjsmnkh,Omaha,D,United States of America,ghjsmmjmmmnp
IXDLEGGSX,,O,IXD12234,14.0,hsnnnmr,669.0,618606.0,Auto-Owners Insurance,470202.0,7.0,Rioycenoairrrvi,NC,1-376-495-5558,4.0,J,F,RCNDQVKLRTX,Colorado Springs,M,United States of America,Pwbdpxngcboo
GUYJSROEQIYSZXPLJBLPT,2.0,,GUY12235,83.0,Iqltkvajrnvwbgmbcoceezjhxwcypnojxpldplvbxoozmhel,515.0,2543097.0,Brown Shoe,69973.0,3.0,Pvbomhfktwoaddavflbfufagommppwbjjlwwbyitmtnoxhglxdqewvihfqdjnpzfczhqrxgw,CA,1-840-836-8511,2.0,,f,Urwvnwtwmzsapohlhysvxw,Amarillo,U,United States of America,Xrjbdbtkcjg
KVSSGR,,O,KVS12236,3.0,YTDWIJMWLKUYAX,332.0,3687736.0,Hayes Lemmerz,48247.0,6.0,BGTCDJDEIONTGQUQGUDTIKOPNWLVKKEYAYQWBWOQBBBGUYSE,IN,1-840-301-1739,1.0,,,Yvpztajfquftnosyouqhibjf,Las Cruces,W,United States of America,Ujiescuki
LWQHL,2.0,R,LWQ12237,61.0,DHUOZTEOBYHKYLQLQIRUAGDZPTPUTGQUKMYQ,762.0,,Walgreen,117817.0,7.0,Neibaijistjpmeexwtcrmpqtlrhyjgdjalouqsxvjal,British Columbia,1-699-267-0354,0.0,u,M,UYVKGLGDTYAKXEEBPQKB,Regina,S,United States of America,GQAJUS
Lqfov,1.0,O,Lqf12238,6.0,Pikgobccoerotmzptfdrnekqskiidiqblhshtdnnquqjmiehupwiynocyiepiymadulseljomtrtfr,,1434088.0,MSC Industrial Direct,297746.0,1.0,ycjldkiqdegmmyioqhuqvlgbusodlolyuebuvmscphnmpwr,British Columbia,1-614-704-6730,1.0,,F,Chalpkggqxvairvj,Gary,U,United States of America,HIQRCAMXOTW
Rptwgjjzjwmqjcypkihsedbf,2.0,U,Rpt12239,12.0,Fixkfqfmoex,398.0,3615499.0,Avnet,489458.0,2.0,Knvfdpmgtgfvtvqscmtlpuvxztwsnbexvmi,KS,1-762-816-9121,4.0,,M,Dxwoqvyp,Abilene,M,United States of America,Spkuucn
cojkjfrufibfwcnkh,3.0,O,coj12240,52.0,Zvxsbmasgn,539.0,3583755.0,PNM Resources,463947.0,7.0,Ylwdmifqjrcjbgdeshbsvxiihavndukvqzsnsjnqfkosfwpeoggjdxxjnpiychlcmyhdgmanpxuilqsv,UT,1-460-072-2169,4.0,,,Ngwusqdv,Stamford,M,United States of America,ZVBYJWL
Czhuwuwjv,5.0,O,Czh12241,18.0,KKKPQREENDUSSAIDZTFVUFGBPAVRBFSUMVCERLRGBEBDSVWXLXQGIPUZDWPMATOZMCLOPZ,708.0,2805623.0,Corn Products International,305738.0,10.0,Asdpkzzjdevskyvkmjgbkitgmvlfndcdpkircgnlxmqymdwwajaxwlreyleh,AR,1-172-236-5042,5.0,,,ENWSGVXBOUHXERZNFDSLIBK,Little Rock,M,United States of America,Umbmhhlmohtw
Jbsmwpypiwwdxhconcupxogynnk,4.0,O,Jbs12242,23.0,CTHAAFEUAWVMFUNHURQGZDMSTPQVYF,564.0,2125833.0,Guardian Life Ins. Co.,394713.0,0.0,Uscsjcquyiyeqstmemunwuydvtugbi,PA,1-976-748-9268,5.0,,M,Pmfmnhszhgo,Providence,U,United States of America,Bpalltakzs
Igffthiofacpkdowzpvxplx,0.0,O,Igf12243,24.0,Fmxwnunictspflalomuqqmezihupkjkftlviyrzqugkligwzxxagrncoquzy,837.0,717520.0,Radian Group,,8.0,Cfkzajouyfarjfuaqyyivqjsp,New Brunswick,,5.0,A,m,uoentejuzzjmjpb,Santa Fe,M,United States of America,AOQPUJRZBW
fqjplsmokuqssk,2.0,O,fqj12244,1.0,zthrvlouveqolkauuyvxopch,,2051903.0,Annaly Capital Management,257468.0,6.0,Pmukcddlmurkzepemcloncmk,MN,1-918-403-1338,1.0,i,,EKJSPPTZNHTNNEYZYGXFMZBZMCJDVO,Indianapolis,D,United States of America,Wnhvwxhbjwm
Qhrknmeoa,0.0,O,Qhr12245,68.0,MHJVFNJK,544.0,1970370.0,,295961.0,1.0,Vuqqruunkjxevykvoeoikamhycfgqqnndkyhymyrzctqecyfbnlcwhsiubwwlkunnwxn,NH,1-118-224-3667,3.0,,m,Elvzaunxyjmhfidbzpiqocimitdzd,North Las Vegas,M,United States of America,vwhxwfatcswl
FAAMEOFBOVYRLMVSHEETEP,4.0,O,FAA12246,65.0,ESZDJVVOEDRFMUOOYIMVERDFVUSJIELWTPMBPWYWGSWATJZTMZMURQNGDMFNRJWV,601.0,1668674.0,Staples,102029.0,9.0,KFJGQZQYXCAPSYDXAONUZFPQHQNHJFFNWFMUFPBHTTVYQTWZOYXKCXRMQADFRSCGROB,DC,1-784-800-4442,2.0,N,,Lgquptcvskormkmeaaievkzvdea,Sherbrooke,U,United States of America,Ibinopmik
Nefvcaobfa,4.0,O,Nef12247,55.0,Biuhukjqgnbamhgkegesvmytr,622.0,2393174.0,Unisys,247652.0,3.0,Dyjcaieneredkgksniitquexesjhkncvpjchmccbtqlrqqafqoo,TN,1-344-096-2698,5.0,A,f,aeuosyvrlwlqtwguumsfa,Naperville,M,United States of America,CDCSUULE
mebafwrfe,2.0,,meb12248,19.0,SULYAMRCLYIERZLT,795.0,3148089.0,Wyeth,186555.0,10.0,Wllqtrgyysmqfbuhmigvatrluskvmsxrvkqiesyzmlxyzbrkfmmwbubvbpvczibbhaqhv,MT,1-904-085-4794,2.0,,m,menksknkxjawmoofealguhhqz,Moncton,S,United States of America,stssuzl
rkmlw,0.0,O,rkm12249,70.0,Sgzyqwaidgwifvbzfxqbjzwvgvgcohxgyovbigtnmystivfhx,484.0,880419.0,Mutual Life Insurance,151602.0,0.0,wpfwzfthzykbmoqunrjlbxuqiafcvipksdfubufccvcxmbmkzplvbcxnqtew,IL,1-911-754-0827,0.0,,,Gpcjjkpsinpixjv,San Bernardino,M,Canada,Ovrtpelmsrwl
ypdxa,3.0,O,ypd12250,96.0,,,2027217.0,Assurant,260323.0,6.0,Odsdtserggoegndvemdxweegxmctsjpxjkximulmbtfgjfy,WY,1-130-181-5617,2.0,,,TCBFCOYZYRITNTNRSBGKP,Elizabeth,M,United States of America,WCBAWVULBQET
Gcrkayxcwznojhnig,1.0,O,Gcr12251,,uzzwifdfikhfyhxalpmoecxrbkcgfesoextwncsqrjm,791.0,2989768.0,Ingram Micro,46789.0,1.0,mfqrezpstyaqifimfqzfsowezikkmbiombeeszeuuikgyvkdtjartskupjnx,AL,1-367-300-4355,1.0,,,Ytayazsocgxipvgzrnbrhxh,Colorado Springs,U,United States of America,Nraddpsfkov
Hamjuk,0.0,O,Ham12252,56.0,UCWCXRBKFPWVGWHLOSMNHNMAUHBJWFZJYXKZHAOHRAQHANAVOFEBZPYRDVXE,303.0,1643977.0,Lexmark International,360248.0,6.0,Omlfigduxktzpzcuavrdltjfpyvepvlujl,OH,1-160-772-9584,1.0,c,,Znxprouemhtv,Irvine,W,United States of America,Kadbewtmg
Fpvwvlhsenseweimgmvsiaudbq,0.0,O,Fpv12253,79.0,gopzcc,395.0,2081414.0,Dentsply International,361464.0,7.0,,AK,1-830-350-0801,1.0,,F,Lwubgzeqwbiehgaht,Hollywood,S,United States of America,NENIOFQK
qgdxlokeudkmqetauhonx,0.0,O,qgd12254,45.0,Kcavlwvtrseaqrmiqdxrnyvcsyjzlcrp,686.0,2582386.0,Country Financial Services,131165.0,10.0,WQETAABBJGFBTHNDLSHMGML,OK,1-172-219-9219,3.0,,F,EYZKNXEZPCTNJZKEQIUXWVTCWJSKB,Mobile,S,United States of America,DZNPER
Mmfelestsrwkbpoaorpwc,0.0,O,Mmf12255,34.0,Nrjkffkaysphzemhwstdebvpa,611.0,745540.0,Humana,468222.0,8.0,Rsdzuuhfzutworeskdcqzmgmgcdkmlkxzrzvtlpqwjvbtbbukqukvnbfkktysbraxslbqlojofrl,Ontario,1-863-514-4059,0.0,u,m,Ipucdnpjzxpinkskkuujhqa,West Covina,S,United States of America,Tdmzrwqrw
cchfcocrcelhes,4.0,R,cch12256,63.0,yujiykbkzeecjlgdcctxjwubdiqlnyovmpgxvjzxhujkhwzleqnurszflruy,605.0,1556754.0,General Motors,69986.0,3.0,Qixezehwymwmpoxjwbvxfodjdhopchxsmheifxotzljmhkscaxcndsmxlgopsiapa,GA,1-294-746-4175,0.0,P,,srsvttriphhusfwi,Savannah,D,United States of America,gsrnogwtayr
Mklpeqcffvzospfvabepqoicfvou,2.0,R,Mkl12257,11.0,QPTATPOWDUXSREDIKWWKVMSIFFNJSNTUMJORIRUBLVCSMVKL,446.0,3619771.0,Express Scripts,133905.0,1.0,Jnibuzpzincqexkplgbjivdqvanaaxocxipzarwboshuauoenxtbrxwzldxrfxox,MA,1-660-731-4243,2.0,,,Theupsokjmtfbalixemfxe,Thousand Oaks,U,United States of America,OXCNZSVORJMG
Cuuqofdxlkxcxbetiaovvkdgot,5.0,O,Cuu12258,28.0,fszztqvrpxubxiewhwpbwqchwzmacokjxpfglcfxfbttppitdysxmbrtoaqjfv,521.0,2476699.0,ON Semiconductor,125591.0,10.0,Loxjhephcidtqqmkowfsrnruevuizrhutxr,NH,1-737-028-3170,4.0,,O,Jpibxvfbwyhtx,Buffalo,S,,Wlxanqiqfl
SGISB,2.0,O,SGI12259,80.0,DEHOGFLEVENBOCVPVOCOFAIPCTRKJPSAQEUZQVYLXKWJRJIDGCQHLNDTTU,561.0,384979.0,Interactive Brokers Group,329007.0,7.0,Wxslnqsepbjds,ND,1-032-901-2864,0.0,D,,Wulkxrerjncgwjhnb,Mount Pearl,M,Canada,Dzcaosu
Djirjxhojhhatxgt,1.0,,Dji12260,64.0,Ntidizvjibpjhuomtzxeidfuxrgar,348.0,3355184.0,Phoenix,72809.0,2.0,ylfgykmbzgwdficdhvivfhdknugejfbxfhkbscbjqbaumsz,VA,1-711-729-3213,0.0,,f,Hjhelx,Simi Valley,,United States of America,huuqds
Zfmvukwvhoh,,O,Zfm12261,8.0,Cczgfjrdxkmxhggskcavhrawdoedllvbxapifjzismfzlhkmklseosaobxvsphptowrsnnelne,743.0,921503.0,Cephalon,157097.0,5.0,Ryvdjtzumvrbvirisjqypsmdjuwrdfp,NH,1-942-080-0051,0.0,,,Fhiptxsukxb,Louisville,S,United States of America,
HHHCPUTRAFKVRYQKBBTGGO,2.0,O,HHH12262,,Ucsyvxcevquvsbkbxuuebljbtqtgyjmgwaaqlhgmvmrpqhgcwkkctmhftogmuebecddmkjm,524.0,517122.0,Laclede Group,306932.0,8.0,Dricktksnneexehkgfxqntimhfwhxszvwnoynwhwlrxtlmfzdhzqhmdifzsmljpvwi,OK,1-447-426-0512,0.0,T,M,jbsjzf,Santa Clara,M,United States of America,Xivabp
Vnsfncs,4.0,,Vns12263,45.0,Woyfyifinlgishjqstoonucetiebyovckbiqjrqzrrehww,761.0,3961463.0,General Growth Properties,146058.0,8.0,aduxfpmmnfefkilavgwstjrwe,MD,1-458-424-3020,4.0,,f,Dnaoisntnzimrkjhnhcffmiutsws,New Haven,M,United States of America,Hcpqxxazwlk
Dnosusenygfhvntfczmwnedo,0.0,O,Dno12264,,Xqbnewlsqchkohqlupahbwmekf,382.0,2804105.0,Monsanto,129028.0,0.0,Amllretponzoijorbqdblwplehydz,PA,,3.0,,,plpglinchhjmgcprn,Santa Fe,U,United States of America,Sqixebddwws
SJRMMXRXJUQLPE,0.0,U,SJR12265,46.0,Rrwiliwjbcobvosgmhaseuubamc,435.0,3277048.0,Solo Cup,48169.0,6.0,fbvtuvxkdjrqmyehy,IA,1-790-473-6022,0.0,,,SWPLPVWXYAZZJMWURWIBCOVDFQLX,Fort Lauderdale,U,United States of America,Ybkwyrqqylc
VTJEGMQISJTL,3.0,O,VTJ12266,68.0,jazxsfeoo,402.0,2971203.0,MEMC Electronic Materials,491094.0,4.0,RKREBLQKJFHPACVZWDQWBXYIVVOGAXVSFKAHADGBMRTQUOIUGC,WI,1-505-924-5709,2.0,,,MMKOFNVYPCZYB,Mobile,M,United States of America,Ukqlswgvpi
Gsrugdz,1.0,O,Gsr12267,30.0,Oldcakeijsdtunrslrrabglbookbatrnoidjlwbvorioorzkuzlkfngeqqianfskbfswiskbclrqrs,669.0,923080.0,Gannett,156190.0,7.0,QGTLJRMZVRRCQXRIAVYPCQQQTKQBAGDE,AK,1-551-149-8734,3.0,g,F,Jehrprtswwctufkbyit,Boston,U,United States of America,Wtpaszitc
Uykrwwxekne,4.0,,Uyk12268,92.0,Dteeelfmasxlietzkianqtxiwqutlnsgfzjv,438.0,1005552.0,,210500.0,4.0,oxtjqjikrgqobcsgnhadlmjjprftepefqreqodcxxkak,RI,1-829-531-2121,,,f,ELFPFILXHNKACPYXBG,El Monte,D,,Zoyhxqdwj
SXMCBHDQNLGRMUVTYUCHFFEBND,2.0,O,SXM12269,16.0,Qtnntsnmoxfobzugqmwrkzfitlemyhadcw,826.0,1851067.0,Ball,253563.0,5.0,mgxjewmpsjgkpiobgkcscupi,AL,1-621-209-7389,5.0,m,f,Tclaovmtpraof,Fargo,U,United States of America,mjuol
ZQDNLQCUSKIZDO,3.0,O,ZQD12270,22.0,WIXCWKMPNTHGFXIWSSOXGMHDSNWKGFUZJRVQFTEKYOF,556.0,3168123.0,Charles Schwab,38683.0,10.0,DCEJFSRPSHDLJRFCGOR,WV,1-150-322-9590,1.0,D,,Xdwkkzxmv,Iqaluit,W,United States of America,yssexxqks
ELBTIKLFNWUROCWAMCQCWOFZWMD,4.0,O,ELB12271,24.0,jftomtiinxztofkoaytwqtoamggpdvcafmaxkfvfantnsxrnwrbgxe,440.0,475083.0,Int. Business Machines,398600.0,3.0,uyeuoumlb,CO,1-629-868-1988,3.0,B,,Kczopdfsrvey,Pembroke Pines,S,,Ujppw
