indirizzo2,distretto,telefono,codice_postale,indirizzo_id,indirizzo,città,stato,stato_id,città_id
,Sichuan,128499386727.0,77397.0,575,1052 Pathankot Avenue,Leshan,China,23,299
,Coahuila de Zaragoza,203804046132.0,37815.0,576,1351 Sousse Lane,Monclova,Mexico,60,341
,Mazowieckie,770864062795.0,943.0,577,1501 Pangkal Pinang Avenue,Plock,Poland,76,409
,Slaskie,867287719310.0,86587.0,578,1405 Hagonoy Avenue,Czestochowa,Poland,76,133
,Qaraghandy,844018348565.0,95093.0,579,521 San Juan Bautista Tuxtepec Place,Zhezqazghan,Kazakstan,51,598
,Tokyo-to,315528269898.0,33384.0,580,923 Tangail Boulevard,Akishima,Japan,50,10
,Morelos,14465669789.0,89422.0,581,186 Skikda Lane,Cuernavaca,Mexico,60,131
,Kaohsiung,278669994384.0,34750.0,582,1568 Celaya Parkway,Fengshan,Taiwan,92,168
,Taipei,29341849811.0,98883.0,583,1489 Kakamigahara Lane,Tanshui,Taiwan,92,526
,Campeche,377633994405.0,53829.0,584,1819 Alessandria Loop,Carmen,Mexico,60,103
,Ninawa,954786054144.0,73605.0,585,1208 Tama Loop,Mosul,Iraq,47,344
,Central Mindanao,165164761435.0,96115.0,586,951 Springs Lane,Iligan,Philippines,75,219
,Guerrero,294449058179.0,64682.0,587,760 Miyakonojo Drive,José Azueta,Mexico,60,246
,Hidalgo,995527378381.0,62703.0,588,966 Asunción Way,Huejutla de Reyes,Mexico,60,212
,England,285710089439.0,22954.0,589,1584 Ljubertsy Lane,Southampton,United Kingdom,102,494
,Banjul,170115379190.0,53446.0,590,247 Jining Parkway,Banjul,Gambia,37,54
,Buenos Aires,914466027044.0,12664.0,591,773 Dallas Manor,Quilmes,Argentina,6,424
,Nantou,182178609211.0,95179.0,592,1923 Stara Zagora Lane,Tsaotun,Taiwan,92,546
,Guanajuato,387448063440.0,71102.0,593,1402 Zanzibar Boulevard,Celaya,Mexico,60,106
,Shandong,338758048786.0,17381.0,594,1464 Kursk Parkway,Weifang,China,23,574
,Loja,154124128457.0,22474.0,595,1074 Sanaa Parkway,Loja,Ecuador,28,311
,al-Manama,864392582257.0,39414.0,596,1759 Niznekamsk Avenue,al-Manama,Bahrain,11,14
,Minas Gerais,410877354933.0,1944.0,597,32 Liaocheng Way,Juiz de Fora,Brazil,15,248
,Fejr,437829801725.0,14684.0,598,42 Fontana Avenue,Székesfehérvár,Hungary,43,512
,California,137809746111.0,36693.0,599,1895 Zhezqazghan Drive,Garden Grove,United States,103,177
,Inner Mongolia,640843562301.0,82580.0,600,1837 Kaduna Parkway,Jining,China,23,241
,Liaoning,935952366111.0,36603.0,601,844 Bucuresti Place,Jinzhou,China,23,242
,West Greece,199514580428.0,97661.0,602,1101 Bucuresti Boulevard,Patras,Greece,39,401
,Piura,644021380889.0,52137.0,603,1103 Quilmes Boulevard,Sullana,Peru,74,503
,Vaud,145308717464.0,61960.0,604,1331 Usak Boulevard,Lausanne,Switzerland,91,296
,Heilongjiang,288241215394.0,27107.0,605,1325 Fukuyama Street,Tieli,China,23,537
