prospect_OwnOrRentFlag,prospect_MaritalStatus,prospect_FirstName,prospect_NumberCars,prospect_Employer,prospect_AddressLine1,prospect_Income,prospect_AgencyID,prospect_NumberChildren,prospect_AddressLine2,prospect_Phone,prospect_NumberCreditCards,prospect_NetWorth,prospect_City,prospect_Gender,prospect_LastName,prospect_Age,prospect_Country,prospect_PostalCode,prospect_MiddleInitial,prospect_CreditRating,prospect_State
U,S,Muywysldzbkgbfxw,1.0,Genuine Parts,Xcejcmtoezknanlitnwudchesvtfqffc,40974.0,bjb11991,3.0,Tbvfrwflevkcdxwqxoieqbpduccfjsvqxhngyldkrgpvmimlfegh,1-237-609-1325,1.0,1531831.0,London,,bjbphxe,61.0,United States of America,CCTCUB,,735.0,MN
O,S,hrvagbfigvdscocyatevy,1.0,URS,Yfithukgxhsioltdiwhvxpbolglstdso,13858.0,ars11992,5.0,Fnlnvxxxtizeeoknefantgzudqunjtharudjojemyjffprtntfcbfyaumtnembyescwikwknfzsiqb,1-534-664-6141,10.0,2813016.0,Boston,,arsvbdwfjtngfsbndwajkni,16.0,United States of America,Gbjks,,,VT
R,M,Rxbaunxatzirx,1.0,International Paper,RGMIGKEPLRYUNJUJUIIYRSMZIBNH,398258.0,FHD11993,1.0,RKVKMUOV,1-340-271-3222,8.0,2649404.0,Independence,f,FHDBIMCOHMKMBQSKF,6.0,,Xuffpquvuv,,739.0,AL
R,U,gvmarcwwcalwrgbczfjxzd,4.0,Xcel Energy,POXXDIVQDPDZBFVPCOJWKCQKUZMYKVVBRFKXYJRFDHUXIOYHQFRHCXPKGVYUHPGLQDRRVMKKH,5652.0,Efp11994,,bsaxyzgnvntzkkxzcxhnxiuesutbgfhpdvnnqhlgtujebnclyfnlnmkeehuhhrmocbreankqzcp,1-526-173-9761,,3971947.0,Knoxville,,Efpiqjtrazrsdrkqjnrnvn,,United States of America,Dnnfc,b,581.0,Ontario
R,M,Xabrbhjnyvnsblgfpfjlrlaauu,4.0,Belden,SULUSPGNOSFGMWVNXMRKCTKEWIXGLMFXSFLNQHFICQOJLLJXDXUYHT,473771.0,Oud11995,0.0,Fstrexqxntdwcizxdeqemcrfptoxiotttddnuxglqigpac,1-969-346-8775,5.0,984107.0,Mount Pearl,,Oudpifhxphtehtgoyevsiyptfc,3.0,Canada,hhhxwniogwbv,,763.0,OR
R,W,Cwtyiepodqe,0.0,Brown-Forman,fvarwakhzfiyaxgoeqprmijnfokrbwhgpijhbyrxqbcxsadspibqguqvuwkkptjihe,147571.0,Ljr11996,5.0,Acbcxpjtsiqspriqfmrhjulgumwnsh,,10.0,2964774.0,Calgary,,Ljrbahevxlruwxquohzbldznxxj,0.0,,Zlmquluhgv,,687.0,WY
O,D,Hrwemwhgpckvnajuow,,Nalco Holding,Tsbhswdpliuxvtufqsslhdiytybqnimsjudknzogulrcyimdtwxvvjawwextibmwfvocshplgfkuzyj,19019.0,Xvh11997,4.0,hgnjsxsahbuotgznhzjvzburgzxfamakfincxhfjptdxejf,1-175-415-5863,0.0,3338606.0,Fontana,,Xvhbofyxurybvqqjnojeobpmwko,0.0,United States of America,Frozponukwd,,522.0,RI
O,M,UCJUBLDOF,5.0,Entergy,Fbcpbrspoccgdlupnbsucbuyzophyrjgbgkmhmcnuwdisy,345446.0,Llj11998,3.0,ASWFVYDU,1-611-871-4823,9.0,545532.0,Bismarck,,Lljdsmmyuxzvkbdwaeselrtppiigdu,18.0,United States of America,Fuwtecucfvap,,447.0,CT
R,,anchyqkdxlupvvmtfdwtmguhmprt,2.0,NTK Holdings,Bonbyyaffoyngvfdtcowpwskgaeyxuacgckkntsmjaukumekn,270242.0,Kkj11999,5.0,bwzutqmiwlmtaxhlgfeonehnnhdfklpymxpkohoqetzgcpmgjpukzlujeahsh,1-794-003-6156,3.0,783258.0,St. Petersburg,,Kkjikhhtxjbetjj,82.0,Canada,Qulrmoybjd,,,OR
U,S,Fivswtqprcunxrcveitqssjfnstrqx,2.0,McDonald's,adicewobarfchgfppiwfktakkvvdprahpifbnakbuyot,203250.0,UWU12000,5.0,,1-524-161-5875,10.0,2495921.0,Des Moines,,UWUNPW,,United States of America,Jxiwl,,391.0,Ontario
O,S,vlpcgfwzxcca,3.0,Tellabs,GSJIRG,378262.0,Dzs12001,1.0,Mjrcfvodvzxgashcwcosdhzuvavtcxqmqvqbdoytppdkutaaiipphiadmcvovn,1-395-009-6792,6.0,3453701.0,Santa Clara,M,Dzshcarpdtuhmoyuiitbvtjlnzo,36.0,United States of America,Bsmmpohges,,588.0,Alberta
O,W,strklgvrjchumsq,1.0,KBR,Hdchtprgio,65669.0,TAL12002,4.0,BEZCMXDZURARTFZQZDCTILERRFWUMXADZZVFJZNDKLLLUOSVXYSVUDBMILNDOFASDFRVW,1-978-825-6585,,3452555.0,St. Catharines,f,TALLSHRNJUXCZFJACNSYY,81.0,Canada,FXKLNX,n,664.0,UT
O,M,Itujwua,1.0,Universal Forest Products,frhdbcurgaxjadrzmewuxitqszibvoukkxzmeduwysafj,269457.0,HCO12003,2.0,syvekxjlbrjyoreijfkiwwcmmnlyfmtfg,1-714-838-1268,10.0,3369536.0,Hay River,,HCOUMLRG,71.0,Canada,Yoqvjv,,311.0,KY
O,U,Mkftzxpzychm,2.0,Nationwide,Jifdhvoqikyvsayoruvlaixhoulwmukrmaqko,423487.0,SHN12004,2.0,Fnfvjdhgoqqarwykgwkdqdlgvmwmouvgrcmjgmndsevaunwsgnefbnskgldpokkzpcopqbdxovzxqwr,1-781-476-7042,4.0,3817681.0,Montreal,,SHNDGWLGJLFEWSFPQXKN,46.0,United States of America,dvvkbtjw,N,593.0,ND
R,M,GKIBOKWMATAOCZOBBE,2.0,Pilgrim's Pride,Lkipgrtbhbvlbvlwewxusnamrsrpctymluflmsgkbapsjqwsornqqecchtfbtbwhditlodhjqkzduca,279315.0,Ggw12005,4.0,Hfmmvcyvufqukecblrbqs,,2.0,2615462.0,Frederick,,Ggwizxjelptanlfdimifoe,60.0,United States of America,Wtemzs,u,582.0,TX
O,U,VCHABCMQMBR,4.0,R.R. Donnelley & Sons,Diuywtgqxmvpfmpsrbcv,222598.0,Oqu12006,5.0,Tzxrodwsjsncgdycnzqoovxiqinptmbmpumfcjbcsxaedhyslocjfqdzcjeuapyuzhnxwpxxijevtppj,1-503-999-4146,4.0,2756513.0,Fullerton,F,Oquuudrlx,78.0,Canada,RMUHMNLDL,J,436.0,Alberta
O,W,Fmrcmmryixizdjaooxfjxysvai,1.0,Cincinnati Financial,,100939.0,BZZ12007,4.0,BDALOCBDEJLGCHSCIJEOVEGPYWDMCFZJRCSRQFTBXSKRMXMXBEMQEYOIDHQZPKMRYHBNLIRZAQJTYE,1-236-363-3466,9.0,3020123.0,Ann Arbor,f,BZZXVJZPMDFUGQIALSMBVRV,49.0,United States of America,Tadsquctpmf,y,590.0,Nova Scotia
R,M,CDEQWTSDBNYV,5.0,Herman Miller,Nzgfbnexfthrnpdbivdmnptvqsabgszxpuhirwbeqnzempeoxsvvsrhqssl,201488.0,FRN12008,2.0,Djohrnqvohfilavugejmogngqbjapkcsfpkwkjqguqitpptphjm,1-506-661-3262,10.0,2657703.0,Sioux Falls,,FRNTOODTEHSLXDDUDQIXALCP,59.0,United States of America,rkilmhqzlu,P,460.0,NH
U,M,abwtgwwqhcqnpcxpmc,3.0,Cinemark Holdings,YZAFMPDHDSEVRDDGQRFVUWMWLC,107353.0,Jai12009,4.0,kvmmahbuwxdiykmdnasnmlvonqyxnmfdkpplcairmraqqqsjohxpmbsgpbbry,1-614-719-2021,7.0,2379415.0,Moreno Valley,,Jailmbmqesiinldbjsaqcfgfcvula,79.0,United States of America,myxxaiyvum,,848.0,TN
O,U,flrwlkbykeoor,3.0,Domtar,MOZHZZGKTWXSAZNNBOZKHLLYZOTRJRNEAIVWWKLSPDIJOWXBOFIOPNLODJORFFUSUEOQYWO,353544.0,Vrt12010,2.0,JUQSRNIZFUNRCXWJMGWCRWGN,1-022-356-0935,3.0,3966241.0,Omaha,M,Vrtgfxyfsjjeptwfxpgzfwkkbries,2.0,Canada,Maoiowlqh,,588.0,KY
O,U,dunmjofblgjytvhrcodhzvgijues,1.0,Duke Energy,uggzk,34585.0,Suk12011,5.0,twiqnkpzjztlqtfqlfxcymblkacatpspdljp,1-331-399-1690,1.0,2654648.0,Ottawa,M,Sukqbxjazayga,25.0,United States of America,Yefcksurslz,R,689.0,MT
O,S,YUJXOBTTPRCASZVT,3.0,Halliburton,Jjwiqpphejyieciv,,Xyi12012,3.0,FPASPXAMYDFBWATEXQDNMCOWJK,1-895-980-7489,2.0,419632.0,Mesa,m,Xyioisgdc,59.0,Canada,ebnhr,,395.0,NJ
O,S,kvdljqxcckomterhbnw,2.0,Abercrombie & Fitch,Fjjatcllreckobghsycyhnqxodwlxpgbqqheavnxbnqplchdkoswazgqd,350393.0,xhd12013,1.0,GCSJCTPRGCIQNGQRLVGJXYCZDCWUYZTCFALRSVZOVGEEBTHNDAWYSJZSIOQ,1-144-999-6694,8.0,1301842.0,Denver,M,xhdzwamtnrjrfimucf,49.0,United States of America,LGORTBUZXCQ,,797.0,DC
U,M,Osmyxmxxfsoyfvdduibgcmzfq,5.0,Ryder System,Sckuqanxqchckhpvemfbldmannvczwutcgcustlfjeyjdiwzwmtuseaglotpglfrzsw,417094.0,Rgc12014,1.0,uxzqpyuonetsivjcietisjyfmejwzdquxivfmwcjvhhzandpgjrghjgxpwtioqqqrjywes,1-219-277-0026,,481470.0,Bellevue,f,Rgcdfjgqe,18.0,United States of America,Phhbjcu,,529.0,IN
R,U,ommmrvfsffeaxdvwzyi,1.0,Alaska Air Group,Zmwjucetaulgygzshfxgsngmofxarwnbgutsnwubpaxwessit,294546.0,Xxq12015,3.0,Evmgvijfohpah,1-836-145-9690,10.0,3684091.0,Tulsa,,Xxqridlfydmdttt,62.0,United States of America,Vbvvryzi,,580.0,TN
O,U,Rmlxoxbhvqsyhlvlvwgwnyfbotdc,0.0,3M,Emxqffcvhqryzitqzxngpvf,253222.0,Sli12016,0.0,UGPTOLCBXSFFVMWRVXIMCMASSPQLDLMXINEUMGAPDEIBFUKTVZXYYXOGLQSCGFRCAJRVVCNFJE,1-749-124-4105,6.0,,Tallahassee,f,Slijwykkpgiljtcgav,70.0,Canada,Dtcxwhla,E,845.0,Newfoundland
O,M,Ejbladspikdbxhskwr,2.0,SPX,Hqgviuhxaktaitasiiiwodltx,399797.0,btg12017,2.0,Oztgrafnhwzloxicdywseutwzznepdyaacrrbesxniuxjxhhorjtscopdqakquuzkxfwraeilark,1-414-052-5758,3.0,3277202.0,Alexandria,,btgezyenqjdwsanvizvvzssigqbq,44.0,United States of America,Dicsyxs,,564.0,GA
,S,vlomsbrrnqekejwmrusbvivr,1.0,Great Plains Energy,NSDVZCSCHCOGUNYWQKUSKARFNIJ,387122.0,Rek12018,2.0,GTTUNKGMRVXSLKPSHKS,1-496-625-1819,5.0,2396764.0,Inglewood,,Rekcrbdfrreudhmo,62.0,United States of America,Dixvpoix,,832.0,PA
O,S,rytapyzbyupoindowtmborxgqnpxuz,0.0,Benchmark Electronics,qehlhygbapzuksdphelnvnkzsivcxteexbxpvnufhhthpdsuxysshnmowqfhgmjjdh,48184.0,Tcm12019,2.0,,1-814-392-7072,9.0,3139821.0,Grand Rapids,M,Tcmpmcnsol,76.0,Canada,Oiiwa,R,665.0,GA
O,U,Yposdmdskfqypbqapmmxxuduajepp,0.0,New York Times,rpnkaopkrvbjkscytiolupnjkvepypylllylsifvdhpdlcsebmfcrgbzokvhioxqfmtpxfvmjmwsdwh,309541.0,Lnx12020,1.0,UZYRGDQYBDIYLN,1-496-144-7999,4.0,3764224.0,Grand Prairie,f,Lnxpcjdjsddjnkfajjdomzelvzn,20.0,Canada,MAKUSPM,,541.0,IL
O,,Ylqmiiqkljivvgmzenc,5.0,Manitowoc,Xqzllqvfibhchwagtwwhvggnkdpjwq,402932.0,ujv12021,3.0,OBLFLLCKZKOSHGMLWACVXPTLGYVFHWLMGFSRQXKCDFEXVYBMWH,1-242-354-2074,9.0,3420563.0,Iqaluit,,ujvxhwp,98.0,United States of America,Yecuegzghlu,,774.0,WI
R,M,VJWQJB,2.0,Hub Group,ZOAOOPNZAHADEEOVXL,,Mdy12022,,Pejnldjqrdonlpdaxjpjewuzrzuxzphnkkzsaqyxnemakb,1-869-361-7522,10.0,725379.0,Corpus Christi,F,Mdykpttix,18.0,United States of America,ulkbxlhujj,,777.0,NH
U,,LRJNPNJES,0.0,United Technologies,ILOSWVJ,346945.0,Bkw12023,2.0,fgcjjmtmgjiharpopwwkepdcylvauvdytygjsxemfvjikmumwoj,1-124-884-9170,,3069838.0,Orlando,,Bkwwsiphmgdexkua,59.0,United States of America,hlsprm,,492.0,WY
U,S,Fqfpcrwsji,2.0,Advance Auto Parts,kdgxrswjysuwwhjgmtgafvrhkwhxzgmtvdgmhsbiwmhizeesvrougxenmouapwln,490357.0,Khb12024,2.0,Ujppldfwrz,,7.0,547362.0,Amarillo,,Khbpndlkgjjaopaunnctdtyjazmlk,86.0,United States of America,fcbuadxyh,T,698.0,HI
O,,Pxvvutnrgrrf,,Harman International Ind.,jmiphkiagtozgsqvhcfecmuxyokw,432260.0,GNF12025,5.0,,1-560-452-5928,4.0,907349.0,Fargo,,GNFRSSNAPVSPTARTXCO,98.0,Canada,Aczkz,m,645.0,RI
O,M,QBNCJJEESFECBSZJA,1.0,KAR Holdings,gbqqqou,205619.0,RVM12026,2.0,obiyhdkrwgbylzzdhjhoxtzyrosuibzsvfqbsyxjwxzebamqfmru,1-724-652-0603,7.0,112328.0,Wichita,F,RVMOLIDLBZ,16.0,United States of America,inbupqvoqr,,462.0,KY
O,W,Puiruojq,2.0,CH2M Hill,BKIUWXJTSQMOSDUFDSECHUDVEJLOWKSNVHLLOXNAEQXYWMTTWJQDDFPFW,81645.0,BPI12027,0.0,jdpzumogisxqckhsslfzzujoxrrnozyqrlrnrspdcxurusshvvtiwme,1-340-586-8329,5.0,499530.0,Santa Ana,,BPICT,77.0,United States of America,Gtkhjy,P,670.0,LA
R,M,nrbljpbleewoz,3.0,Norfolk Southern,Izgfgmjuktaoaedmxmaulqgxkrisodewkkqpdqfd,175604.0,Rha12028,2.0,Wezkfxgjbfclhwiwpjkmegxkfxjgvwdqmcotjjxyekzbrmzolzemaprzfkourhtfgdvoosq,1-968-671-4065,1.0,,Kitchener,F,Rhakipokdhdmtrlz,94.0,United States of America,,N,487.0,DC
R,S,Mlxywpxiypkcdczdtllmhzl,4.0,AMR,ONSCVUFQSXMQCESM,498354.0,Vpp12029,2.0,Faoeeobw,1-361-100-5701,1.0,1400686.0,Topeka,,Vppjctgxgnxjfuq,0.0,United States of America,QSJTJGQJT,,430.0,OH
O,M,Pitvvuwecdwxgzf,2.0,New York Times,Iiurzcidnvltaxqpvjgcbkqsuwjtgtiggdobgirdxekvihlmhaubdgpcfcnhyszbmsxt,302897.0,evf12030,3.0,Gbzlizuhoueiwzvh,1-994-982-7430,4.0,2360105.0,Overland Park,F,evfmhkeenxqlcegvmlfga,38.0,United States of America,Kbobihvraf,,784.0,HI
O,M,TVWPHWJRIEHANZ,5.0,Mosaic,gyhcshjpcscykvcejn,140555.0,KWD12031,0.0,Mglvraczyikwmnjtkxbefmglzsozwvwbp,1-501-078-1236,5.0,3268603.0,Nashville,,KWDIAZLKYJAJMBTISEFELOFEAM,40.0,United States of America,iidnxr,P,327.0,KY
O,D,Bmwvnbekxkxcshs,2.0,Dynegy,Ngadfzbutbpetmkdotruincktapiloxiawskfrnlvlzcotexvjrqhmdbauqyynls,294774.0,Ksy12032,5.0,lqrgtgwsbhkhvxpctcvveblmwtqcvjerhe,1-058-180-2847,7.0,2706821.0,Escondido,,Ksyetknileplwakyiws,8.0,United States of America,eiuqmr,,788.0,DE
O,M,Maqlmtytxurp,4.0,Discover Financial Services,Ygguvremjqhiminwpeoeabcfgbzesczscnikqwspzbuewoqxfjxbrjvlsmnyhocthltwooawtckvo,177549.0,HTJ12033,4.0,Clgspsvchhengxvsruakdxshkpjlnaraawjzazzqagcb,1-580-544-4132,8.0,2070917.0,St. Petersburg,f,HTJDNKEZJETGGID,82.0,United States of America,JYANUMVWIP,S,523.0,ME
O,U,Qgqtxjlrpoiowetlpjydh,0.0,DST Systems,Yuikveuhftlxxaixowidikzmbqpebcvguilisldargyrvtqangsseftfavjwegsnpsxttfryks,,Vgv12034,2.0,lxrpovrgwiioydrtvngtzxulskbcmeiodtxncfltcqheu,1-392-653-9699,,,Chesapeake,F,Vgvypid,49.0,United States of America,Hgqmwfu,,822.0,LA
O,M,Xdajlrgpntfjktcikpinfwatwax,5.0,Corn Products International,OKNNSMDYJNHUMTMAHNYYZQHPAPLVHCFWTZMFWOXEAOCFWGMUDOBCVGLHETDZKNSMQOTYOA,211916.0,lrr12035,5.0,ftuuvsoiipqiuoibozswbcmvabuvhvsddpadkakacn,1-105-415-4610,3.0,2776020.0,Oklahoma City,f,lrrdawqneobnyidjdgrhgoq,53.0,United States of America,Gvkwz,,753.0,ID
O,W,Rtjmflhbsvzdjdgycmfifhdw,0.0,Progressive,edovbccxcqfjyfuzyqxr,463118.0,UGK12036,2.0,Ofrjpfluqcsamebbenjhqptvfldcekfapbqejhorgnwenjheufilgaqsrlihapxowhsa,1-821-045-4334,6.0,,Miami,,UGKMDHUK,92.0,United States of America,cmcawtp,,518.0,HI
O,U,Oubmrpk,1.0,Dentsply International,Kazuwezvpuhqoidixsxovstkfjvqsqzxzcjeqcziomtvducjplxmjqbja,68922.0,Khe12037,0.0,,1-288-840-7948,6.0,1179120.0,Garden Grove,M,Kheydrm,60.0,Canada,plpltfxucmqr,U,640.0,FL
O,D,USRIAQVLF,2.0,WGL Holdings,aeybklrjtgvopqsmomfkcmlljwpmzntzmutwmdebuzlqbesotnmbnmdhkoiwrgeqbcpehexsg,329372.0,qyc12038,5.0,RCQGKBEURJAHZDSMHDSTQKWASZJIERYAFEKGGFQTVEJQXGYSVFSEFTJLWGWMWUSEZLMPSCAPVRHQ,1-172-445-2106,7.0,816756.0,Durham,,qycbkdik,38.0,Canada,tosfsaiznlo,,395.0,CA
U,U,bgnilycstofwbmtq,4.0,CHS,Mnfusircfloglduopttkxpqpxfzuuwlqmbmpotdtlrhukhjpdahhgvinjeamnjkqpwqwrufwkmttu,,Wer12039,,LHAVLMZUQBXFVMBXPOXFDGAHSOCZRJLMTHOWGNJDTRSLTOPRTWVVGCPCVJLUBHWMIGTXF,1-799-491-3807,3.0,3828649.0,Biloxi,,Werdde,89.0,United States of America,Jwchgxm,M,631.0,CO
O,U,YWDODUKJPE,5.0,Cameron International,Xknqqylvgwsngovbloplcrsipovncrjhawlffws,116273.0,HSH12040,3.0,Nbsauzndvnhsnwbibdsvnzmdezwilkxyltnblxmmxiyxsr,1-964-612-4871,0.0,,Chesapeake,F,HSHJNVBVSENFKBBQO,,United States of America,YMXMJUE,,560.0,UT
R,S,Frmqhggomwckcazjdkbmw,0.0,Pentair,qhjuqwrfkorvhjxekzsjwadoaghhdhospdpfxyyaolhhqkjaunl,143180.0,Cfk12041,1.0,Fspnnapjackialwxpwqhnrzxmvoxfxtqgcuylxddgngdjowlrmxizwmeulgh,1-599-011-2388,,2867821.0,St. Paul,,Cfklyyjkznrjhnfcngqnoivj,,United States of America,Pimfjtphpxki,,518.0,Quebec
O,S,reaqzcvypr,4.0,Oil States International,hnhdlesakifakwqrnvpytwoidbvsjxhbyprkhoipaqxrkytbxf,37801.0,Ffv12042,1.0,Rymeblgfvqekmpnmguvwgowrpwt,1-925-593-3862,8.0,2538298.0,Toronto,,Ffvlebslovtqlwahxghchghtokbqob,36.0,United States of America,OAVZYYSPJ,,716.0,DC
R,W,Fhsqeoukgnjmmkuuxkzlzsgtyymaem,,DISH Network,Uosrbevfdtcoigamofkjgqyrwasrnoow,78377.0,VWI12043,3.0,Rhejutrexbmsoimzgxonsszpiw,1-734-332-5233,10.0,2717831.0,Tempe,m,VWIUFIKAWZEWRUUUQQFTIDSKSEJWLX,12.0,United States of America,zhdpawrv,G,395.0,Manitoba
O,M,Iqhavu,4.0,Dollar Tree,Jfguhombejsorwennhuchnhuutkbqbfxtfvueexxsksnhbslnbggbgd,368445.0,Kjn12044,1.0,XJNMWPXBSYLJJZPQQMVCYLWB,1-761-061-0287,9.0,371835.0,Milwaukee,F,Kjnuwvdlnednrcllwtgnljulywqq,21.0,Canada,derfvwcuyqsq,,311.0,MS
O,W,iltnvrgpnlvuxitikkpxgrmgiw,4.0,Celanese,Jlixufgnyjrrwxkiryugnumgamnvdfmrrusoxehdqruepdihmwfetykkhnufhggsrbqodixjqctp,319955.0,Jat12045,3.0,VXPHHZCPHPQZGURQ,1-489-188-0744,6.0,3137486.0,Austin,,Jatvvrrx,0.0,United States of America,ZNJXPM,,403.0,IL
O,U,Szmqvamxgjrfdgnfttsbiuwotzhusu,1.0,Air Products & Chemicals,awwdclueelnqdavzhrxmzswuhdgyfttngkwtjphdxecwnjywysqmahagjijbeamiswzepqdovxsxxue,210046.0,CWU12046,1.0,Npdvdjcczlumjnckojspsysakgindehmhviflolkpnzspdpcixamjipddxiiry,1-820-145-2032,6.0,3639841.0,Lexington,,CWUXUMALQQMUJTKCYHPXBRKPSH,99.0,United States of America,Lryousevldi,,416.0,AR
O,S,Sjwibne,3.0,Delta Air Lines,RLCVUDBLOTZSXJ,471643.0,Aie12047,4.0,,1-310-451-7840,3.0,239484.0,Allentown,,Aieocldg,85.0,Canada,Bzsxqplc,,366.0,FL
O,S,Xedhydibkljjzkxhmldmcyfah,3.0,Bob Evans Farms,KRBSOIZDETINIKWOGLQD,44329.0,BWS12048,2.0,Jhssqyreahlbeccbbrrviuawwicxftfdhqipudajcohokxylddnshvbiuhcdzyvzltxarzmxiqahy,1-949-154-7756,5.0,1558005.0,Las Vegas,,BWSKGWPQTNIMMMTPOBMUSRWGMFXS,96.0,United States of America,Rfmck,,824.0,NV
U,S,DGFKYXDAEWKLYRRIJQ,0.0,Ryland Group,Ycnjxtyipwazeabfudiyuyggytybqqphlewruogfvrwxjcjmsvhjbbviwbjuihfyzqblxx,363015.0,Iar12049,4.0,Lseyzhdaqoxwxxfvmgpzvscqxwqa,1-820-487-8871,8.0,2104971.0,Hilo,,Iargipoonbpqjjs,75.0,United States of America,Hegaeqrbxkls,,451.0,UT
,M,Vrkolwddodixptfzfh,2.0,Discover Financial Services,,356900.0,ESU12050,0.0,Kqsfwijoolukembkpgloicmqvohdexleiqemysevqsiuhofyrmxuoicnuaacyuckyj,1-611-619-6071,6.0,1624018.0,Detroit,F,ESUDXMKXLUIYGOBQVAICTBK,57.0,Canada,qfdmc,,849.0,CT
U,W,Tefjrotzakfdezewubejhzudulxi,1.0,Live Nation,Kanycjlnlaikjhcyhaooigqoknxcmlvik,333666.0,Cyj12051,1.0,Erdbo,1-706-840-8123,1.0,1160591.0,San Francisco,,Cyjrxrgnfruftyaydmpuar,9.0,United States of America,buoacdsjjmv,s,302.0,ID
U,U,OBMUFLTUQEWPBSWPSQPIKDTQKDLXY,0.0,Asbury Automotive Group,KAMLBOLSRUMPHFKREZARVBDGCDZMHDRUMWPHOQFJUPMUDVTHXPPIUWZXMDQQWWBVXRHFKDSEQWONNK,81635.0,phf12052,5.0,Jhjnjymxdoidjacwvfuzv,1-184-656-2277,1.0,988729.0,Scottsdale,,phfuwsaxcauqeayvlt,29.0,,Dwbbbajum,G,,Alberta
O,M,Lctteuowrrwdh,5.0,Service Corp. International,eqteenbnjmegfoizprdtxadjxcqdtcjs,135773.0,AXR12053,4.0,KKUJBQHWRWCKFRCRMACSILTRFZFBAKIAESBOWHTADURSOTFGTCJBRZLYOBSWEBWAAIDGVKTIFCAJZWAH,1-658-789-9886,0.0,261755.0,West Valley,,AXRXVUZRKDZRGLHWVBAUELZGQZHR,61.0,Canada,UCJSOJCTJEGB,m,682.0,WA
O,W,Bxogmagthyfsh,,,Rcthirrzjhmvrxgcjmyksirqzhfocfu,285579.0,Tnk12054,4.0,zrycbwujesrjaddmloueqiwwpmpaaq,1-467-565-4941,7.0,,Winnipeg,,Tnkzpnpcqiiuhqconpgtvmcmq,48.0,United States of America,ERJMVPQE,z,593.0,Manitoba
O,U,Wiqcoweldrdidknfkzholpvucm,2.0,ProLogis,lszjubidjovaazacdniavillmundulwtjzeyowybudqptf,401853.0,Aee12055,0.0,Oieggiqeccpikhgitmytnzfiupnzbbyuazkq,1-504-948-8194,10.0,3262417.0,Costa Mesa,F,Aeevcfcshrsuabfyuzzcr,70.0,United States of America,Bqbvcwcu,,548.0,AZ
O,M,hbpvaqidnhdvbxfpwnaunrauo,0.0,Ralcorp Holdings,Bisolpyq,381580.0,doo12056,4.0,Hugnjwnqaruvhncxrmejvlbxgfebbjmbbnvkspsrhbpcagmvjkwxcnkwaccek,1-136-518-9570,9.0,1380653.0,Peoria,F,dooymtspzfegcrggsaictysqxiwe,56.0,United States of America,Fldeqislue,,790.0,SD
O,W,Crlyqolmbxvybxyduphx,2.0,MGM Mirage,Wxcuhyafsuastfuuvsosmalyuzpbsrifsvwjhswrqkazthntxnrcvkekaurserlrtunzn,28479.0,Xiy12057,5.0,Qhjzvmopmqrzcxpuojxdssdbzfewndrnhvsascroxhcyapobofqssswckdtwzqfivosr,1-927-581-3485,10.0,2817481.0,Independence,,Xiyhhojwiuvyokxkq,52.0,Canada,nwktfgfalay,S,465.0,VT
O,U,fgppzmbcfxcsbimwodsgessvln,1.0,Big Lots,Cugpxuoogbbqlxzkkiiubnftjguwjevfca,410941.0,Vds12058,3.0,HMBSLYKQLIRKUHMRTHRVISVUQOEAWFXJCQJDLDAFGFHDJY,1-675-504-1420,1.0,1253639.0,San Diego,M,Vdsupgtgmutjgqgvvsxydbkil,,United States of America,bttoubqkfn,,675.0,NM
O,,xzeezjpwslq,4.0,Levi Strauss,jugsy,57126.0,rpz12059,4.0,Gpkcosqudabbvzfixvagwutlxyeg,1-307-424-8849,4.0,631951.0,Grand Prairie,F,rpzouldmdb,64.0,United States of America,ZAZBR,x,667.0,PA
O,S,Pxvncuucqccexkxduplxivqhkpts,3.0,Nike,Wohablpcsogwlbyyimguhrjivvtcdgkipwnjcgfuktnznhhfjprtc,445132.0,Bpa12060,3.0,Degenbwp,1-047-161-8547,5.0,495569.0,Sandy,,Bpaaacvjvvqcduiaeubcevzbw,3.0,United States of America,bmidq,X,792.0,ID
O,U,AEGFFCI,0.0,,Hozrhpvxapsimktbxsclmkiqmteh,187594.0,Jky12061,4.0,jjbnewotytziwyhnxvgxfozygpvkmiqfnxcljepdsoicklwkpccpze,1-725-622-4835,3.0,2619727.0,Jacksonville,m,Jkyrbjojxgrna,76.0,Canada,Jdmgcul,t,554.0,RI
O,M,Syskggxiucikfpcbjvgwyywk,1.0,Curtiss-Wright,PDBFNZEFUTKNPFDNXPUVRDQWUVSHGZCV,169520.0,KPD12062,3.0,wurukfgmlybtqzcoetnxdhxkoievublmqursipxgnkgdzqpowbkqonopkl,1-028-332-0434,0.0,2501519.0,Nashua,,KPDANSDHYQAEHGSMNXM,,Canada,flzjejwsgjd,,708.0,Ontario
O,U,Flkqyipikoulssyxxgerwy,0.0,Oceaneering International,Zfgvavgwqibqodqbgafjjkxouwbfwjzejsiydhqepgoaqx,200022.0,qvk12063,2.0,Kadsfgtdfavcevbfqdxfifdldivcdyewkemgnkunlknhys,1-021-232-3640,7.0,,San Jose,m,qvkeknjoqtpvcsyvskjubldncghkb,89.0,Canada,DVYSMVAO,,420.0,MO
