prospect_mrtlstts,prospect_mplr,prospect_g,prospect_frstnm,prospect_ct,prospect_cntr,prospect_ncm,prospect_ddrssln2,prospect_nmbrcrdtcrds,prospect_wnrrntflg,prospect_ddrssln1,prospect_ntwrth,prospect_crdtrtng,prospect_pstlcd,prospect_gncd,prospect_phn,prospect_lstnm,prospect_mddlntl,prospect_nmbrcrs,prospect_nmbrchldrn,prospect_stt,prospect_gndr
W,Symantec,48.0,Dodijyefealfuuvocgagtewxsgjque,Yellow Knife,United States of America,417884.0,Rnezjjeholdogqpwhah,6.0,O,Vsmhxhqnrbqbgnipynoxkkdhmknvsjbnjbdberpmvhfvlcdfpdrmjipjlkpepnroybmgoifmik,1634472.0,651.0,duukljs,see10804,1-194-535-9986,seezpavvdeukq,,2.0,3.0,MS,
M,Hewlett-Packard,96.0,PUYKTESWVVA,San Antonio,United States of America,123343.0,Oirfzlhjhasvhivporeskhsfdfldoaprrsidddfpdyzgplqmmkfzzotypeqcxtakozqhew,5.0,O,WZJZXHJTDXVUMSSOLIGWZICC,629264.0,698.0,Kvepq,akn10805,1-630-602-4901,aknqpbwm,,0.0,4.0,AZ,
M,Toll Brothers,59.0,Abyjaygiuvbpircurqmdaslwunt,Durham,United States of America,56475.0,mpmaxtridbkphrheiigbhslgiqrmpukcbtpfolowdholuvbrcniiqsyllrppfyjt,6.0,O,MFSEHAFIHVKBXXWISWOQNFJI,2853478.0,804.0,MANUWXW,wpa10806,1-031-973-6966,wpafz,,4.0,2.0,ME,m
W,Kraft Foods,88.0,Dwglcgqwgoxvcpwaxmcqfjwtxb,Lancaster,,395447.0,ubqvjjevyrvobyorcllxipcpvuvreaew,10.0,U,Hkdaqhvbmyvnkogvxyfpuerqxyktbkfonymgmoiiigdhvkodjshguhcsssbawiozh,1340666.0,,fsrbt,Awj10807,1-583-912-3027,Awjylfftbvovvxqq,L,1.0,3.0,New Brunswick,F
S,American Axle & Manufacturing,81.0,Ktxbwvepalcalct,Thousand Oaks,Canada,424197.0,Thwrczaosqqpteuxmbafagixvbgykjwrssgobnvmgqiufxupeywrklljjr,3.0,,dackmzkvkhisaihyszsfwaffnldpaqkvrluuukqukrtjtjsunqdhqhh,3597465.0,352.0,dzhtpv,rgg10808,1-256-320-9686,rgghpxowsfpplmirdxzjsgkesm,,3.0,0.0,OH,
M,Superior Energy Services,78.0,SSEZYVLGVVXTOQ,Mobile,United States of America,151018.0,Dlvzukdnvodeswfakrwsihtjaafgcpqlfgowcoxknnaghnutsdfytroxrbucftortmpevbhmbejtikjc,6.0,O,Wyifwecvxwedmvixwrgivvjgxjgwjknspcvzpimtcxtkxbzlprbztcuu,2367827.0,816.0,utsaerikk,Zdq10809,1-286-252-0305,Zdqnnnmvdgicbhgwy,E,4.0,1.0,DE,
M,Lear,20.0,Jiseyotqnndheh,West Covina,United States of America,218453.0,evlbomlwhsrskdidrzfdxiebdlyjqyo,2.0,O,vcgxdgozyhycxcmpxkxavhbsukyhlsqojcwf,,510.0,Higweliz,Uzl10810,1-486-740-1322,Uzlchjqvbyhwckrxbaa,,0.0,3.0,ID,f
M,Graybar Electric,61.0,QYZYKFV,Kitchener,Canada,432197.0,Ehtspwandbexymwcrmssklundscr,6.0,O,Iygrvzxipyzrongcciorcjqogyvctxxwxxyawperfoucyuusfjaueztwcry,1233055.0,417.0,Kykersxoc,YQB10811,1-818-769-6521,YQBFWEYCEMXY,,5.0,5.0,HI,F
S,Cincinnati Financial,37.0,Psdmzxjdwwmjsiouzifh,Orange,Canada,116570.0,Rzgcnhbzwtfgnwpvshhchjfpumlzurawzknpgffektdrkavsbquozkefaxtpnabrbuwsqyfmliwz,4.0,O,Cwonxauxutlmbmhiffxnhlr,102427.0,850.0,VQKMII,xwt10812,1-699-921-4663,xwtrwsyskjjjuddxjiqslmiwgslmr,w,4.0,3.0,UT,
S,Mirant,,Ooilbfiuamcdzxawjzevuiweaal,Salt Lake City,United States of America,115948.0,KKJEC,0.0,O,Shesiyqzipf,2786005.0,835.0,qdniosrtean,Dew10813,,Dewrj,F,5.0,4.0,Quebec,
D,SPX,94.0,unwqeeadbjxifgsftowdwvd,Minneapolis,Canada,434788.0,ajhcfgetjvqmvgbsjbekkddcfdkukqgvinigeaovcikrncocxvdvckwbrtmpunyeonsi,,U,Hbtrihvdypekgytwsmjvocnosauaqtbufzmmmqprcsdeckcgutleddmnjlmvp,,474.0,Sgaiwfippyhc,cjg10814,1-137-836-6758,cjgpizkuoo,I,1.0,1.0,IN,
U,Cummins,9.0,CVJSURRGJOEJJFRZTKFNOPENLIA,Santa Rosa,United States of America,287531.0,rdtijtkeempvnxokvjuotrcfiwodtuiwdnauqbqtgqreevd,9.0,O,Jrgfyvnyegalajvjkpaigdyw,1503007.0,609.0,ZSYBP,HXK10815,1-493-659-3964,HXKDXQAWDOFQGUSGKKQLBCPEOD,C,1.0,0.0,MI,M
M,Graphic Packaging Holding,82.0,Izvvvltpefsnycyojkccylcvzldmx,Toronto,United States of America,221614.0,agfrcvdmhfwxjzwomxlmkdyawkx,3.0,U,Lasxbipcsnyauaqlgwhmjenrybblsmuehvgixjwhsctt,2123212.0,375.0,xfoiag,Glj10816,1-548-072-1931,Gljcpav,H,2.0,0.0,DC,
S,Discover Financial Services,,Lclypfhzebkqcqvkdnh,Fairbanks,United States of America,324232.0,aawiydruukxaoiyrzbkchqavkrpblmfxzuvukmmhijwkxmvxdsqlxxxefebuoex,9.0,O,vfpkhppjaorvhabbxu,1744147.0,309.0,Nkekafewbtu,aob10817,1-027-420-1686,aobtsr,N,3.0,3.0,NY,
D,Group 1 Automotive,99.0,Saplqvoixs,Indianapolis,United States of America,239547.0,Eszcttowvwdhucobwdxfcznejxclzifsksphepgpnskjawcoyeywir,9.0,O,Ayavtquxdqclsksiqibenruoqpgxkepdvzrjwqdnwpxvkwvdaoipkusidslifxmbpgqicqpswwo,3427871.0,516.0,lmqgpxpwhl,AHT10818,1-794-212-6452,AHTDNQPBZUVQLIUDJKHKMTAQW,L,2.0,5.0,AL,f
M,MasterCard,38.0,RKOJBKAMIMNVDPNXLG,McAllen,United States of America,243053.0,Hjlhi,0.0,R,Buzmvjomgnqtvkvhcjgudtigxxkqcqucqgilmhb,2713771.0,319.0,wnegcp,Lxz10819,1-076-584-7269,Lxzwsd,,4.0,1.0,MD,f
M,Crane,74.0,Sxacqxdrbiunytzehoiojniok,Scottsdale,United States of America,101473.0,Vhptzhmqgjrklpyzafarapepcvwravcidwozuuggkmjm,8.0,R,YBZLXSZENQSVYIEVPCCMYZOD,3526256.0,673.0,VDZJDDHDP,Ufu10820,1-465-838-4956,Ufupenbvjilkczqhhnwgzckh,D,2.0,0.0,ND,f
S,Scholastic,,Jysjk,Moreno Valley,United States of America,392902.0,,,O,Ylorsbymzfhyqnnqvrztttmrhqrjhc,2956251.0,472.0,Pwbwqqkyyqc,aby10821,1-193-589-4253,abywbsg,z,5.0,3.0,NM,
M,Steelcase,16.0,Axvjgavxlkz,Frederick,United States of America,52496.0,Jusuoeinwqgvcjaseapxzvyagvgakerdpitybjxselufkkeivbcxbccg,1.0,O,NRPCPDILEYTWBDQEBREOEOWDROZMMMTJDVGPLYIOADDRTCUHXDFUXWJ,3263403.0,707.0,APFEKZVM,YVQ10822,1-482-726-1707,YVQVTFLBEMRJY,,3.0,4.0,SD,
M,D.R. Horton,25.0,vusixvpqhqnbs,Richmond,Canada,395022.0,Pqupqtpfbljqsjqaxulzxalspqx,4.0,O,KOUAANXGQJGGOIKKBJGLYWAOQXGUNGDFQCUDKGCNVMZHJQFEMOLJOQAFFZOOBODOQ,1695466.0,709.0,jiqajkwdq,qmw10823,1-855-121-2990,qmwtaarjrjciemukgmpnv,,3.0,1.0,ME,M
S,Weyerhaeuser,99.0,Podbblpeekkcnhuuqi,Sherbrooke,,98274.0,Egfjghhwahsdowwqzayecyagxnacmfpgorztutnhxmderamnrluyhhutpdifeljgzygh,6.0,O,Goteiod,1095754.0,775.0,tyffitgkz,XKC10824,1-950-765-0467,XKCGNQQEVQNNKXFFUAPS,S,3.0,2.0,HI,
D,HealthSouth,6.0,QQQGYYXS,Philadelphia,United States of America,382055.0,DDTMORCAMGTELEUB,10.0,O,Pkslwhobasrjfzitskwdtrefmdvojjlxpuaylxrpaiprcqvwtbdujgiedraiclwjol,1938297.0,830.0,MVNGPS,Ryp10825,1-224-009-1614,Rypqdcfksupmtckaboq,,0.0,1.0,SD,
M,Energy Future Holdings,25.0,Gjfagv,Sandy,United States of America,123754.0,Rhqwbfatpuiesttdafnvekksssygqtyvxrmoxjofzjfrpodbmxvpntxlarcudpfnfszzkczthmii,0.0,O,Ctihhyoqflljslcrqawpdgemrkjjkqqsighwgcsjtynynrwqrqbjcmnxxtlprwgrkqzs,1248307.0,529.0,jtpizp,SMO10826,1-552-379-3968,SMOKLS,,0.0,3.0,ID,g
S,Noble Energy,100.0,Bamrgpkoasmlmciz,Norfolk,United States of America,1969.0,Ofintdspdgnprwydzsedihglsqkdluclrbjpwltibfkcsgahbailenuxguadqimgdcqnndwiscrew,,O,crfwnnpjipcjrvguzcmirrruywrcpoqbuforukfppeyxulcucvhadjwuphufo,2326670.0,690.0,bwxyyrukarkc,LGK10827,1-357-429-3968,LGKDQGJOOKVKCARVIXIG,,3.0,2.0,HI,
D,Dr Pepper Snapple Group,56.0,mdilwgskicewwhbqhowly,Pittsburgh,Canada,456860.0,Dddeqrodwmomjjirpcbieomexo,,U,Rusttlpm,,441.0,hdgqq,kwc10828,,kwcezkvxpkiwrenle,Z,1.0,5.0,TN,
U,CH2M Hill,12.0,Gwfsgndwhwkosg,Grand Rapids,United States of America,317619.0,AHMADWDHKKDWMRRGQKGBKOLXJBDUYBJVRRGUWHQRALEAGTQNSPNOERPKPGMYQLEPSDYOYPJFYJDEE,2.0,O,hdweeqdprjuauwfsudglhpqsujfhrjaqeynfvekxfaadymadqoesvzfvepenmxsbossftbblfcecshto,577606.0,554.0,Emkqheim,Fzp10829,1-840-869-8952,Fzpetvkyjrnxjgcv,s,5.0,4.0,NJ,f
S,Sysco,94.0,xalqvi,Sherbrooke,United States of America,27254.0,Wmflmjgxfosm,10.0,O,Cqirxrjzndxgnweuu,2986027.0,526.0,Miobkfrzxpm,dms10830,1-446-378-7818,dmslqndytifps,,5.0,1.0,NE,F
M,AK Steel Holding,83.0,Nvzviismjrhb,New Haven,United States of America,468777.0,Towteqtnfqwwudm,5.0,O,EAYUIOS,2498795.0,457.0,Qdrhcdp,Avz10831,,Avznkmtdj,k,5.0,2.0,GA,m
M,PNM Resources,67.0,qphzahx,Brownsville,United States of America,362991.0,Okdmzpywjclvlcbjfqxnecei,8.0,O,Siajetehapqzljzfufwftjwvrrlnufdglozd,2765571.0,424.0,MFMJQACH,Nyf10832,,Nyffigvltnowfogvjbjappvauov,V,4.0,0.0,WV,
,Brinker International,61.0,Xalmrijvphtsbxkikzvqsvss,Miami,United States of America,119200.0,ncxccvozujtijhrzrfwsdgfzcazlwnnqzhygdjtwsvepwjrqjimpbzcaixjtcmxbapfftmmgkh,4.0,R,Rbrie,3933394.0,559.0,Waqlgrhivrqf,JTF10833,1-187-894-9565,JTFPZAGPQIPJULIYDMTIFYIUPF,,0.0,4.0,MT,m
D,Snap-On,37.0,Xbxkpntvrvabkraywfbxx,Torrance,United States of America,58102.0,Jvkpabpigqvlciefaqsqvzaojygrpubpy,9.0,O,AMZFEXDVGHNFZMJUXZIXCQBSIWDAGW,3830057.0,544.0,Kdejrgtw,Ukd10834,1-259-561-7057,Ukdgxisjjt,S,3.0,5.0,NC,
M,Allegheny Technologies,39.0,Pgyaipazqcfgndwllolxhoxtmo,Hampton,United States of America,428624.0,JLFLOSRBWJUUNSYWFEPIBUTTYDDAWXTQR,8.0,O,Csfuribafjohohuztnyxffpznrokmqwhtswvvxxzdgvffeygcpav,1373200.0,525.0,Tefusgljdgas,OGB10835,1-450-253-0327,OGBQVR,B,3.0,3.0,Nova Scotia,
M,,81.0,TUPPUBRUBXLTATSDXXFJLDTUDT,Colorado Springs,United States of America,465832.0,Ezbuzuyhlxfqsvbxnldhjytnsrfscgwampajyldxhsnl,3.0,O,zwmajofteuhuqyhveulxku,158582.0,830.0,avkxeci,ceo10836,1-773-783-5611,ceodavfufblagaurvaxijrpcyubuq,,1.0,2.0,NC,
U,Ralcorp Holdings,71.0,BMQBFVAEKMYLXXLXZLLIV,Concord,Canada,119885.0,Slkooftwzehlkfkyknubeklohldthwqhudvwiqcavfivlpinavyuupuqadlmstmezqc,9.0,R,Vfqmeybxomwgbwavrfddopitxkcqripmpfqbsaiccdbsyuspwgvtsiqsidhytg,189255.0,752.0,Zgnsrkyxu,Hrz10837,1-965-493-0349,Hrzdmqeyvdwzgwjnwjpluweny,n,1.0,2.0,MA,
M,Nicor,95.0,Fognkom,Salt Lake City,United States of America,174669.0,Rmfctnoljrb,,O,Jzciffclpncfjnerspxkjnggcopwrliyhmqqrgxwliuplatbmmkkwcpisgbmfazmvpmmuje,1109218.0,846.0,,jeb10838,1-155-049-8081,jebtmweywvdrqtfqhvwfitqdyn,,1.0,1.0,OH,f
S,Bed Bath & Beyond,47.0,Qrqms,Augusta,United States of America,156656.0,JILHWPEMQSZTQILOOWNDANYER,3.0,O,Oasuzotwibzahlaofygtuopstzuntnphytnvesodopmmgaqawodghezwpthe,3656088.0,558.0,ZUVNKO,fkd10839,1-452-868-7167,fkdfrptmhhs,,2.0,0.0,MD,M
M,HNI,,vjkaqcy,Toledo,United States of America,357920.0,Ehtuxyfkwdjhpvrcbsnqqkbmnigilibvfuoxsytqqmbxdmzlx,9.0,O,rzxqt,473417.0,850.0,bjizlitmqq,Res10840,1-574-507-3746,Resoanfvodgzl,,2.0,5.0,IN,M
M,Lowe's,76.0,pfwxrzxibirffzqsfqbbpntpv,Fort Collins,Canada,359633.0,IEDLDQPXTVKRJVONJTAVTXXMIKLQUXJGWQCCANPSSCNJONNHROEBG,3.0,O,Uwmakjjvigvigbzvoxdinerrtpzwjnbsmrawnilzrjuadztfpnbqvfhvhcmlgforblum,3434751.0,323.0,Cisbrxwvbff,REC10841,1-354-477-6595,RECJBMFBNFGPIHKSMHHQEMERREGTKR,,1.0,0.0,HI,
U,Donaldson,26.0,REYMLXWHPRPA,Kansas City,United States of America,202099.0,Fwgwvtcpjseyauqxehzduzotzxddoesbdjnhtwjcjjixuxmtohfjmqnphroxrrd,3.0,O,roaabwarrozvqwuuimvmofpkymrby,3180166.0,842.0,Zpvgpq,Yst10842,1-924-365-0863,Ystxinmbosmjya,b,1.0,4.0,GA,
M,Ingram Micro,99.0,errdwiqvrzqmofuussocph,Hartford,United States of America,,Ndbzqthzogguqecn,8.0,O,FLCKJNHJOSPHCVTNLWLUV,356321.0,718.0,Vywik,Nvs10843,1-343-557-5744,Nvsugujddappzaqxzilvxfgl,V,4.0,3.0,British Columbia,M
M,Northrop Grumman,58.0,ETQSMUPXWOTVMAMFLSSLUOWK,Hollywood,United States of America,265342.0,fkbwvaldyygcqqggueauxestjqottuqundnnuklgvgtvxskcnomazupxjavgy,9.0,O,,3992021.0,529.0,Xrwldqqriv,Krm10844,,Krmzape,L,4.0,2.0,KS,
U,Lender Processing Services,94.0,kzdhotmopfxgdoxirbjqnthgx,Concord,United States of America,337164.0,Kexuaoejtkbjimxzweukzbkqfxn,3.0,R,Hzhrnaajlepoaqxddwlgmbbwywxjwrhsdvqecvkjqysjbmfkueivccliuyypsswyrveblaprcdeatqr,1750937.0,609.0,Btwwioiocm,qps10845,1-066-884-8895,qpsaeqqfzxfeqd,N,3.0,0.0,AL,f
D,Bank of America Corp.,45.0,DRQQOLZKIXVHKYQRLRVRPYLLHOT,Saint John,Canada,350915.0,KNUTGWQJXRDJNRT,0.0,O,,3548008.0,772.0,,Fyr10846,1-091-698-4789,Fyrkhzenbfqbraoi,,3.0,4.0,Ontario,
M,,57.0,Jmfmuynmblfotbwhx,Norfolk,United States of America,358327.0,Xkaufgligad,0.0,O,qtdgpshhufcgjbxvvtmlkjcqrdsfqinukouogujntfvfkggvtkuqlqobsejrzuwdo,414056.0,633.0,ahstukmzpjed,hkj10847,,hkjhrnevmbfd,j,1.0,4.0,NE,
M,Leap Wireless International,62.0,Wnqkqfqj,Santa Clara,United States of America,28279.0,SALNXXGQQHARVJIBPVHRWKHBAFDPKQHUNXMO,10.0,O,Ajvngvvpfobkf,613222.0,494.0,Xvala,smw10848,1-109-569-5507,smwubpizbyjxafpdz,,4.0,5.0,KY,
M,Nicor,34.0,OWKFKMEQGHFLZAGULSFBBABKYMK,Sherbrooke,United States of America,491167.0,Ekwgwmtcewkfoewhkxurpuvejbvo,,O,QCGYHBFBPVUWPWGPUPQUHIEZBJBWMCQBGSIUXPJMJTGGASHLVTJXMTEBUMBCCZOU,2416300.0,592.0,MFMYSGDXL,Urq10849,1-343-259-7805,Urqptvcobrtyptmutchgv,M,,2.0,MN,f
M,Source Interlink Cos.,31.0,MPAOILRIKXM,Bridgeport,United States of America,367346.0,Gxqovsqetprgzmpqotcm,1.0,R,GFTHGSZCFDBUPRGFNEFMHKH,2676453.0,455.0,WIPHKYRNPDN,Cbl10850,1-453-392-7885,Cblpcibrxireyodca,,3.0,,WA,m
U,Xilinx,66.0,Oddqcnxanuay,Oklahoma City,United States of America,420057.0,,0.0,O,tcjzrnkdnynjkiewdkptjzedjrinvbevexlghvmbegvwmjpxjatthockdtvzpaguyjkimjmnqwfgu,2306581.0,446.0,Acwdwhvhvu,IJX10851,1-213-684-9283,IJXUCUTVOHZ,,5.0,4.0,DC,F
M,Cameron International,58.0,zbotsgkpa,Miami,United States of America,410305.0,LHXLSYSUCYBQXLOQRHMSGVZPZA,10.0,O,fvisbwgzkgklvrzmnqpfkcvllnclacmtgqthjwywgpya,2251896.0,,GKHHOBFTCB,qpm10852,1-237-664-0583,qpmqerpr,,3.0,4.0,Saskatchewan,m
M,Buildings Materials Corp.,40.0,bjyaomxgwd,Tampa,United States of America,326726.0,Gmnwrujfvsenmksmzcausqrfmjqevfmfrviffelklplpthcv,1.0,O,TSDFZSQXZEKVCNLUNZHQDOQQCKIMWBPLJQQQFMUZJILDIAGBWPBVO,3052538.0,371.0,Tznmgvliz,Hfr10853,1-689-879-3736,Hfrdkprikfrymhtfmopxb,H,3.0,4.0,NY,m
M,Levi Strauss,63.0,FWTYXVTYK,Chicago,Canada,418631.0,Onkaftcksdfjvgmgpwvctaigtjcajuez,8.0,,Vnchpkxbpfxtykanqupfvgoxjzggxbvfwoxqobnqielzjbxdhrgkalwaohyajeodcxurre,3739890.0,308.0,RIXDDDVHT,gob10854,1-953-647-7827,gobkryxwljkhffqdxtg,F,4.0,,DC,
M,Superior Energy Services,39.0,GBOUAHXGREH,Concord,United States of America,323616.0,Drxhxdorewjfiplyevhvbgnnoadmhmndhxnhvhxckbkgpp,7.0,U,Whedmnkdjlpigchluhdkfl,1436877.0,520.0,PRRXV,Kta10855,1-002-821-0001,Ktahh,,0.0,,AR,
M,Murphy Oil,49.0,QDIFL,New Orleans,United States of America,376508.0,kkfdcwtxsavmolwejlhuknvvivjvzefjszxrcrqbxlgbgjjj,6.0,O,Necdnjtpfhsqgnvnxyjiyhkoqntggznydwudkntgremgbybkqkoupvjmi,1560760.0,612.0,Roofxolqbvkq,Icr10856,1-932-555-0987,Icrtnwtuufg,,3.0,3.0,OH,
M,Jabil Circuit,100.0,Zarlfoieh,Evansville,United States of America,476120.0,Czocvrbyhllrvwjrbcqypjfvayqtbaueubxfefjpkarkfjhkqywr,6.0,O,oivwpdtdneemectxctlhdzxdhxioqcxhoftoahdsfsbtbruystdu,,808.0,Cyxgmhc,tpm10857,1-646-016-4503,tpmtemjgc,,0.0,5.0,Quebec,f
U,Mosaic,50.0,XUFZEUCPIEBIWSLKWCEDCXPEJDI,Worcester,United States of America,40122.0,Otemvdoprjndgnw,6.0,U,Ercwgmjkfajuvninsggcuhpau,2845352.0,614.0,Ihhzsjqfa,LRI10858,1-821-883-5682,LRIATXPHUWZWEMBHEN,J,3.0,3.0,AK,
M,,40.0,Yserkqx,Baltimore,United States of America,161189.0,Ucqnpwkux,4.0,O,EMHMWWKPRIZKNCPIF,2857909.0,577.0,CINKBYR,ebc10859,1-496-563-6016,ebcsatz,,2.0,5.0,MN,f
D,Securian Financial Group,76.0,Crogwzvifgssseiwhddkxkmvt,Vallejo,United States of America,400468.0,mpyltemhsezuzdcaddmyxypnppfuykgpofnqktdrpnfnpswogxanemfonenynrxi,3.0,O,wifzvndqpakojptiptrifwznrcxosqmomiozcoltowrvfpritapquwhih,1069521.0,318.0,Mvsxgyhp,Fbi10860,1-055-051-9146,Fbidtzyduxszwkjjfhggbrpegbukd,,4.0,0.0,MD,R
M,Caterpillar,55.0,Jbmgtkmaxzxfkxft,Durham,United States of America,194902.0,TOMVPMJBJTEBTZMCQLTORXNZLQAIUHJ,1.0,O,nuzqtgwjsbneiyhafnqlgxtxilkfekdowzbjn,,604.0,,ICR10861,1-388-554-0277,ICRACNKCVFRSOBI,M,3.0,5.0,KY,M
M,Southwest Airlines,88.0,wbqkqbjrgcijwywqvohjiktctdf,Tulsa,United States of America,13152.0,IAXGWOBVNDRHIXHSYTRGDMRDTPOGWOUPRBMNVANBMVPTMSVFFBMT,3.0,O,Doftzhwlgaquqnbjtmxjnlelqjflqsdcjjkuhgbjycdtaxcbmpm,3917628.0,847.0,amskt,tee10862,1-727-292-8078,teezckyunhqtkzypdc,,0.0,4.0,WV,
U,Flowserve,35.0,MVSVSSAFEEVRUUTNTRENWLSU,Winnipeg,United States of America,436025.0,OBHUMEABXDBJANDVHACDCHBAPPZODMFZAKWTKJSIYPOZDBIVKUTFDGTEHXWJAMTHXIMMZJGGKTEDLI,1.0,O,kcgvlsjgzukaxiygqumazegwdpdnzumghjcpshsttlxuyyjlebtfhpstr,761443.0,363.0,XORAF,Tin10863,1-334-525-9861,Tinxturhedipszsmvqhsj,N,0.0,5.0,CA,f
M,Invacare,,Lqauooyw,Corona,United States of America,257165.0,upglecdcuuwlirw,3.0,O,WEZBXYOGFQTGTTGKFJINGNFZZEIEDWW,1771800.0,326.0,lczgiqdhaf,Vch10865,1-990-107-5564,Vchcqkeweozrkquddtgjg,r,,1.0,NJ,m
M,BB&T Corp.,48.0,Mcmnssylambbbnqykyfjg,Sacramento,United States of America,337894.0,NTYSJXAFUEOXLZFLJWBVRXUKCEAUIAZCDHSKVKVYSCLIDHHXZEK,4.0,R,FXLIBKRYMQPXVGOVFFZRDHWYAXPHTQUCAOUHQNXKG,3022542.0,668.0,BECMHMKSL,Pjx10866,,Pjxwmmulsmdqialjttzpusktt,,,5.0,GA,M
M,,52.0,LPWPPARUBHLXIZOUGOHDAMMHGRVF,San Antonio,United States of America,356799.0,zksekmnvkigpunpuolainpvakplvvatkvxa,5.0,U,PUIFBOFFIWGCHLHGIEBOSTVEFVWNXBGACOTRCRCFZOIYHJGSQFWLYOMULNVLAAAMGCVZEVFELRW,1383399.0,825.0,Snxtdgp,Vpf10867,1-716-166-9366,Vpfkhzmddeygmadhtv,,4.0,0.0,KS,F
M,Genworth Financial,99.0,Rqbbvryykhv,Brownsville,United States of America,270117.0,ZHMMBKNCOGNYU,2.0,O,Pvwopybwrknqsllpcxyms,3990771.0,786.0,GIEZNTUI,Gvj10868,1-688-045-4901,Gvjknsuprukdqtgvmrkc,g,1.0,0.0,WA,
M,Health Management Associates,5.0,WOAAKWSRVVXELTLXDAVGNLNCW,Charleston,United States of America,494908.0,rlfczysmudmcplwontlmzaccksg,4.0,O,Jwjwsjcnrybugmdiwtdguaqgxajck,2450042.0,481.0,RGSKKJEKNRF,Xuc10869,1-273-772-0860,Xucjztzoluqzirxiltrpwtmw,,1.0,1.0,MO,
M,International Assets Holding,23.0,Brvyvblnoemya,St. Petersburg,,,BHXUESVN,10.0,R,Jgvkbaqhsjluthmvgybamcprljfkqrcvkmuhzj,3331943.0,313.0,ZMGJQBO,IVN10870,1-131-027-9958,IVNBKKRTKKCHCDXOIPNNB,T,2.0,2.0,WI,f
U,CACI International,74.0,motuzfbazslzeopv,Durham,Canada,72631.0,Arkrhxcebkrgxnamxdyhiqihakagyxvcoczvkptnhrjdpuluwrdpdhrfdwdxdnwrndmps,5.0,,Jykljxiwemgbbbdhfnneechmw,2700892.0,797.0,Fjeoqccpv,Rgl10871,1-687-841-5725,Rglursqhjesrwowip,q,4.0,4.0,ID,M
M,First Data,80.0,Mnbmlpugpjkp,Hilo,United States of America,,Rqmttdgdgktdkbsajklsktwphlwvzmkqrvyzchuaernotfmeaas,4.0,O,Jrkwtdarqqipdxyyulonxxpecfe,1988778.0,655.0,Jyauewguk,Zin10872,1-049-141-1702,Zinqwhhlclsffrmyeihjjjivnoel,,0.0,4.0,WI,
,SunGard Data Systems,28.0,Qqsqimjxnjdpaipmvdmy,Anaheim,Canada,91926.0,XVWBCXLXOAHLSGF,8.0,U,gcnwhpornjxchcxlckiltwwpbucakcgdqrflkoxbxbnxkgac,726681.0,735.0,Rifetwv,Adu10873,1-905-415-3583,Adudjquv,,0.0,4.0,CO,
D,Group 1 Automotive,5.0,Whkkfp,Livonia,United States of America,234038.0,,4.0,O,qntnvkczaxvoeljiprixoafrhpmmjxjdgqqoafadsgepkjsbvxjbunwyszoprbjyrkfnqajeyrbcr,2337460.0,459.0,Hmsgoe,Csc10874,1-540-914-4756,Cscluuawlffbnbmkhnp,g,1.0,3.0,Prince Edward Island,
U,Capital One Financial,49.0,HUZQCZHOCUAFZNNBXVLRVVLPTGOKKO,El Monte,United States of America,13154.0,PYRCXDN,2.0,O,xgxkrfobkkennyedpefvywwnwsmhwptpzlpm,736224.0,664.0,XYMLJBJ,Ekn10875,1-191-268-1646,Eknsmytegohebvtvm,,1.0,4.0,MT,
M,Adams Resources & Energy,24.0,Agceuysxggsksus,Overland Park,United States of America,489679.0,Xqrowckngeqxwdlzgqgixl,3.0,O,vmvgapslswmqlzjjrrmsgyosqicomgplfzwbpwyriqm,608007.0,817.0,kiuikoxcc,Sql10876,1-419-978-5211,Sqlkovsnzgtdshluvfvuds,I,5.0,3.0,HI,
U,MeadWestvaco,9.0,CIHDVPYONELIITEXLQQQVIQYGOZFF,Kitchener,United States of America,134587.0,FIECIYODQJYKHPGKEJOTGDXXFVTXYXYIZRRJCNWNDDMRBOFTKVLBPCLFFVVKYXGZIJRURLUU,8.0,U,gknohzlvkkggmfzcvojoqrwtwebgaddicyjuelosnbleiyvomkfibxypetswzbilk,3246504.0,,Uzhepxd,GPG10877,1-559-928-3346,GPGBBHCVSYQIKLSIMIS,,0.0,4.0,IL,M
M,Dell,62.0,cnoxmttjqnqgylig,Tacoma,United States of America,127730.0,VVVIBJJOHJMLVQFGWOONZCQGSKLXEMHLOMDTNJAFFMDDGQDQKXCBEEVDIXV,6.0,O,,2086761.0,753.0,nbhnma,YFJ10878,1-052-414-7792,YFJDCDMGRPZNFHAWVEKABNATLY,n,2.0,2.0,RI,m
M,,71.0,Xdxsrgvkfjhtjuqwscksn,Charleston,United States of America,34247.0,,1.0,O,tasguijicdgeenb,3868264.0,582.0,,Jqw10879,1-165-465-6251,Jqwicclqozilgaswlmtzyljnoltog,,0.0,3.0,DC,f
,Jabil Circuit,53.0,cfuty,Wichita,United States of America,315589.0,,5.0,R,oiejwoaxuqnffkwrphftyveftbdjaawiiiyawxlrrg,25224.0,625.0,Ivdchhk,Dep10880,1-394-137-7064,Depdlksempihuoqecwzor,D,2.0,4.0,MT,
