prospect_gncd,prospect_frstnm,prospect_phn,prospect_nmbrcrs,prospect_stt,prospect_ct,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
UKO11672,Shmjusxwqwwjciesvjp,1-412-804-3130,5.0,ND,Windsor,2.0,,63.0,,O,Vanguard Health Systems,1.0,598721.0
SNC11673,GSKNABIDBBJSBHOMX,1-825-309-6191,3.0,IN,Toledo,3.0,,,358.0,R,Equifax,3.0,917643.0
xro11674,Vskvyo,1-793-326-1785,5.0,HI,Casper,0.0,M,17.0,747.0,O,Metals USA Holdings,5.0,1443469.0
css11675,SILPKHPIIOCO,1-264-132-6153,1.0,WV,Hayward,2.0,U,88.0,392.0,O,Jacobs Engineering Group,3.0,2164502.0
urj11676,quxemkprnjndinuvurxgldfwnijm,1-321-350-2259,0.0,British Columbia,Lancaster,0.0,M,98.0,456.0,U,Questar,4.0,1197133.0
ett11677,Rdigykcpasqplpirvxhiwiritlhmd,1-926-221-5255,2.0,AL,Huntsville,4.0,U,23.0,806.0,O,DirecTV Group,10.0,1010441.0
Cdi11678,HZYKAXUCOSRON,1-953-155-8687,4.0,SC,Columbia,3.0,U,5.0,509.0,R,Owens Corning,8.0,199216.0
Ztw11679,Fifgeqwpgifjtsyyltndojo,1-176-162-5262,5.0,ME,Fort Wayne,,M,74.0,563.0,U,Jo Ann Stores,4.0,3963144.0
cil11680,Ulwcoq,1-410-981-0577,4.0,IA,Albuquerque,1.0,U,19.0,745.0,O,Telephone & Data Systems,0.0,2601194.0
Xdr11681,GGENSYUBGEWQYWDUJOGQFUUCB,1-594-359-0657,2.0,AR,Little Rock,1.0,S,65.0,723.0,O,Gap,0.0,1673953.0
Ctr11682,QGVDVZ,1-401-555-3070,2.0,Newfoundland,Warren,1.0,S,40.0,815.0,O,Paychex,2.0,270302.0
SBH11683,OKRFIRAOFWKXJKLCLQLOXZHNL,,5.0,FL,Milwaukee,,M,31.0,,O,Windstream,5.0,275543.0
xla11684,LVOKODFHCPYOEJJHZDUBNLIM,,2.0,FL,Cleveland,4.0,U,49.0,494.0,O,,7.0,1537051.0
TKM11685,lclgepexuygoebrxqvxnigzkh,1-753-130-8370,5.0,PA,Long Beach,0.0,M,64.0,502.0,R,Pentair,4.0,
gme11686,Ilkkyfhbvylnoh,1-152-194-8209,1.0,MS,Jersey City,2.0,M,6.0,604.0,O,Securian Financial Group,1.0,1738558.0
Ohi11687,Xlcvzcaqzzcmdrwdemzvryggysa,1-191-951-7804,3.0,SD,Overland Park,0.0,M,45.0,627.0,O,Watson Wyatt Worldwide,9.0,2116401.0
Xpb11688,Aeaypvzvaseyxxjzjpsuprdgmpuxx,,5.0,IN,Bakersfield,3.0,M,59.0,626.0,O,Mercury General,4.0,1678971.0
Vlg11689,Ywilvgponxgzovewagorroojtsu,1-471-247-1746,,AZ,Allentown,,U,51.0,771.0,O,AnnTaylor Stores,5.0,2669106.0
Fzm11690,eobyslnvvawj,1-114-745-7251,1.0,ND,Eugene,2.0,U,35.0,309.0,U,Realogy,6.0,1901664.0
WDT11691,Irqofwmhoccse,1-477-243-2249,3.0,FL,Tucson,3.0,S,71.0,504.0,O,Fifth Third Bancorp,0.0,3038656.0
HJM11692,Gryywzxqo,1-452-030-9422,0.0,TX,Yonkers,4.0,S,87.0,329.0,U,EOG Resources,6.0,2453031.0
PEI11693,ftpszhtwyddfpref,1-442-354-3443,0.0,OR,Escondido,4.0,D,49.0,423.0,R,L-3 Communications,9.0,207536.0
RBT11694,LTQEKHKLFGQUEEKLUGBHZUOQAGHSH,1-098-984-1794,1.0,Alberta,Vallejo,2.0,U,58.0,607.0,O,Lowe's,6.0,206639.0
Yka11695,UJMIUVSAVRVHMHEWTNFWGHVTPVSJ,1-794-059-4223,3.0,Prince Edward Island,Santa Rosa,1.0,D,28.0,606.0,O,Visa,7.0,2985447.0
WNT11696,Ubflbmhakslupfqo,,4.0,SC,Corpus Christi,3.0,M,55.0,594.0,O,Occidental Petroleum,6.0,2053374.0
ywr11697,Wlldjbisephyunjeyhsvlnzlmm,1-654-654-7304,,LA,Dayton,5.0,D,65.0,357.0,R,O'Reilly Automotive,0.0,1408481.0
Jbb11698,AGGOVTVWHRU,1-744-200-7047,3.0,AZ,St. Petersburg,2.0,M,23.0,827.0,O,Thomas & Betts,3.0,2945555.0
AXF11700,Ahfnusfjofqpkx,1-866-638-9616,4.0,WI,Yellow Knife,,S,37.0,457.0,R,KeyCorp,2.0,2550827.0
Lys11701,Bhxejnedghahotadeggrznokwd,1-196-498-0536,5.0,LA,Mobile,2.0,D,21.0,607.0,R,Mercury General,6.0,780037.0
swu11702,dqgaootgsavfrrtotzfsyjh,1-955-740-7729,4.0,VA,Omaha,4.0,M,,373.0,O,Exxon Mobil,8.0,3909871.0
Zpg11703,Wqtqovajbcipjqqxtknudavuisans,1-834-052-1125,4.0,Manitoba,London,3.0,U,15.0,675.0,U,Tesoro,9.0,2346962.0
OAW11704,BGSVWLEGLVEFUOADSHMZCBZEM,1-535-102-7352,,NJ,Huntsville,1.0,D,63.0,363.0,O,Northern Trust Corp.,1.0,1250930.0
Lfx11705,Maviygwocwd,1-963-878-6116,3.0,HI,Mesquite,1.0,U,54.0,614.0,O,Snap-On,9.0,62707.0
Yft11706,neireukqktr,1-954-749-6275,5.0,NY,Fairbanks,0.0,W,45.0,695.0,,Metals USA Holdings,10.0,3294642.0
Who11707,Uggrtznkwvzvessnwglspzbushsnd,1-528-121-1449,2.0,TX,Warwick,4.0,M,52.0,321.0,O,Williams,8.0,3171625.0
XWA11708,OVTWKXDMMMBKCZ,1-827-138-6252,0.0,ME,Scottsdale,5.0,M,32.0,699.0,R,Berkshire Hathaway,2.0,1424214.0
RYC11709,Hgyicjwurbmhrgxqzpqtiegnrtbc,1-183-744-5645,5.0,VT,Albuquerque,2.0,M,6.0,818.0,O,DuPont,4.0,191608.0
zrz11710,BBORTYXAPTEWNVQHFX,1-285-006-1659,3.0,WY,Kansas City,5.0,M,16.0,427.0,,Teradata,3.0,3886497.0
Qvq11711,blkolicmozus,1-056-201-3409,1.0,MI,Jacksonville,,W,81.0,750.0,,Rockwell Automation,2.0,2024945.0
Iqy11712,YTQQFKSMKC,1-367-894-8849,,UT,Missoula,4.0,D,93.0,,O,Symantec,5.0,931226.0
meq11713,Oyxgxjjaxhmnoswfusibt,1-904-731-7573,1.0,Prince Edward Island,Waterbury,,S,63.0,780.0,O,Peabody Energy,9.0,1158767.0
Wda11714,Cptdqrqctsbxug,1-351-524-3383,4.0,MO,Orlando,3.0,D,86.0,639.0,O,Sonoco Products,5.0,
Khj11715,QDHVIUASNOURKRVQBTCNZQSQ,1-627-826-7984,2.0,KS,Toledo,4.0,M,95.0,724.0,U,Aramark,10.0,
Hwu11716,KBETAIPSRXKTPWTDSLZKQL,1-043-614-7259,1.0,RI,Sterling Heights,0.0,M,57.0,448.0,O,Watson Wyatt Worldwide,2.0,665510.0
qpk11717,MDJCRN,1-537-995-0563,5.0,GA,Baton Rouge,2.0,U,27.0,731.0,R,,2.0,
Lxu11718,Esmskvmlofiqg,1-535-499-8026,3.0,FL,Grand Rapids,5.0,M,96.0,846.0,R,Wyeth,5.0,626986.0
BEJ11719,khubcmxvd,1-413-765-7306,2.0,ME,Los Angeles,2.0,,,370.0,O,Micron Technology,3.0,1376382.0
Ilz11720,Bkjdwomgnipfadgl,1-363-033-1146,0.0,MN,Fullerton,4.0,M,19.0,733.0,R,ABM Industries,4.0,3375753.0
TUM11721,Vrjnrisdaauumyqcrypkffz,1-262-324-9802,1.0,SC,Rockford,0.0,M,37.0,545.0,O,Jack in the Box,7.0,
RJF11722,Ocnxvbhjoxkomjbqbqbtpjt,1-293-545-4910,2.0,KY,Lansing,4.0,U,47.0,793.0,O,Virgin Media,2.0,909889.0
HNH11723,Wzrrvlcuzwt,1-864-537-8923,0.0,SC,Vallejo,3.0,U,36.0,468.0,U,American National Insurance,1.0,1692275.0
pll11724,CQFPJIC,1-288-902-9385,2.0,Nova Scotia,Laredo,,M,43.0,843.0,O,Alliance Data Systems,6.0,
WWD11725,kjkmevaboparyalvvxlnfnevakcul,1-226-636-2822,4.0,IA,Dawson City,,S,94.0,377.0,O,URS,10.0,2483407.0
BCL11726,zxpybiaukmxtx,,2.0,NV,Durham,5.0,W,24.0,846.0,U,CVS Caremark,5.0,3910309.0
itk11727,sxttpqveboqpcosqjqqskcjxlyb,1-713-441-8568,4.0,FL,Cheyenne,0.0,M,,508.0,O,BJ's Wholesale Club,,1090674.0
TRY11728,IDVGFKIZATSPYCXINUCC,1-786-594-9786,3.0,British Columbia,San Diego,1.0,M,2.0,586.0,O,Baldor Electric,1.0,1690874.0
asv11729,BLTRMJUAYVRJZNNMFCWKCYFD,1-387-276-9449,4.0,Saskatchewan,Colorado Springs,4.0,M,1.0,321.0,O,USG,0.0,3412707.0
Ffa11730,Aqyiqvi,1-532-085-8244,3.0,AZ,Greensboro,0.0,W,65.0,681.0,O,Community Health Systems,6.0,2152190.0
ZKQ11731,Rgihiwsvllax,1-535-711-3039,3.0,IA,Great Falls,4.0,M,65.0,387.0,O,US Airways Group,10.0,3081724.0
mmu11732,EUEPIWJCDCPOJKN,1-531-198-2593,,NY,Lewiston,4.0,S,74.0,845.0,O,Donaldson,4.0,361735.0
Iho11733,Wccekpfsbhaldkpoemjscesib,1-394-748-7770,1.0,AZ,Victoria,4.0,M,,691.0,O,Ross Stores,7.0,2920725.0
pxg11734,GXEJOEANQO,1-446-601-1467,0.0,ID,San Francisco,,M,71.0,420.0,R,Sara Lee,3.0,2484825.0
Gwr11735,mkjeb,1-278-160-7348,2.0,VA,Huntington,3.0,U,90.0,625.0,O,Airgas,1.0,
XVU11736,Cwgthyibnkqraeamnbnrwjurffsrw,,5.0,TX,Frederick,1.0,M,2.0,599.0,O,Brinker International,1.0,509751.0
Kbh11737,IYSQHUZCXFKWUQEDM,1-289-584-2314,,DC,Burlington,0.0,W,34.0,526.0,U,Cliffs Natural Resources,10.0,390663.0
Yvf11738,Wmswulnjsrmzcf,1-384-911-4288,4.0,AL,Irvine,5.0,M,98.0,691.0,,Cigna,3.0,2349107.0
FAI11739,Zcbwmsqred,1-088-590-4824,4.0,OR,London,0.0,U,12.0,,O,,2.0,51177.0
PYX11740,PAXACVYVZHWHZLNLMWN,1-953-354-0665,2.0,HI,Fresno,2.0,D,48.0,544.0,O,Dean Foods,,3554095.0
BLL11741,Wwvmntguryrgoablbycxewfcvpi,1-744-528-3722,0.0,Newfoundland,Montreal,4.0,U,91.0,664.0,O,Spansion,8.0,3109210.0
MBN11742,YNPJZNARNRLMNV,1-841-666-0355,4.0,New Brunswick,Providence,0.0,M,85.0,,O,Charles Schwab,6.0,3615936.0
Ika11743,Wgqaamrtagkzwocchffoflkalpb,1-801-738-1880,4.0,ID,Ontario,5.0,M,59.0,,U,Penn National Gaming,1.0,211374.0
Sze11744,Lvbsaghvzxiryygvwfyl,1-870-114-6677,4.0,WI,Riverside,4.0,S,38.0,518.0,O,Loews,5.0,2617531.0
KTX11745,gdltk,1-109-854-0542,4.0,IN,Simi Valley,0.0,M,96.0,,O,,2.0,2786921.0
blo11746,Hujensnbrrsorvigkwugamev,1-861-294-4700,5.0,MN,Fullerton,2.0,D,14.0,364.0,R,TJX,1.0,2969927.0
dfh11747,Koxhedgbppdxmhtfp,1-792-056-7609,2.0,British Columbia,Rapid City,,S,67.0,714.0,R,Unisys,5.0,2436646.0
Xnw11748,hxkrcetjsqmybdmuckavoqzsepxevk,1-130-623-1637,4.0,NJ,Irvine,5.0,S,84.0,824.0,,Belden,5.0,266142.0
Gch11749,bejjubxcmnmsnnzalhbrmvcd,1-182-393-4522,0.0,NM,Elizabeth,1.0,S,33.0,403.0,O,Collective Brands,10.0,770942.0
kpg11750,Sjeba,1-321-617-5813,2.0,OK,Charlotte,4.0,M,73.0,793.0,O,Int. Business Machines,7.0,3319942.0
msb11751,Spiprqtpddvyapofqovjtoo,1-210-535-0713,4.0,CO,Cincinnati,,,37.0,546.0,O,Ralcorp Holdings,3.0,2720438.0
Hnp11752,ZLJHCXEJ,1-429-954-0071,1.0,TX,West Covina,5.0,M,68.0,308.0,O,Universal,0.0,1160144.0
QGK11753,Vtclnuulfvdphrdisbcu,1-409-149-9340,0.0,TX,Lowell,1.0,M,22.0,570.0,O,Danaher,8.0,2159549.0
Uej11754,Vuuasytqdbflsj,1-345-474-3567,5.0,IA,Mount Pearl,0.0,M,17.0,796.0,O,Sempra Energy,6.0,3781151.0
bav11755,Rjfhnbqrmuarojz,1-932-932-3688,3.0,CT,Tallahassee,5.0,,12.0,376.0,O,Levi Strauss,7.0,3250324.0
Yuo11756,Lrwajzbkmzw,1-273-821-8358,0.0,OH,Grand Prairie,4.0,W,25.0,430.0,R,Helmerich & Payne,10.0,3662387.0
YPX11757,buyjwllsyknpcnmydk,1-015-125-0129,2.0,RI,Amarillo,4.0,U,61.0,419.0,O,Lear,10.0,
Xae11758,agmkrpzmjavgsscwccbosojissj,1-030-747-5853,2.0,IL,Durham,0.0,S,90.0,401.0,O,Williams-Sonoma,2.0,1177998.0
Vbs11759,KIDEIXYVNAQQFQKUWOPH,1-758-056-7992,2.0,CO,Philadelphia,2.0,S,9.0,546.0,O,Best Buy,6.0,
CUE11760,CZOVBFNPKADZRTEVLAG,1-394-544-2432,3.0,MA,Warren,1.0,M,20.0,415.0,U,Atlas America,7.0,890205.0
qmp11761,gkndjqugsmfgd,1-188-393-3222,,HI,Chesapeake,4.0,M,12.0,551.0,O,FM Global,6.0,2389197.0
OES11762,bwfmnhdcegwoavbbpzgxbdgtbwrio,1-947-077-4401,2.0,ID,New Haven,1.0,U,44.0,523.0,O,Dynegy,5.0,3096813.0
Mzo11763,Pbfivj,1-295-181-0489,4.0,VA,Vallejo,5.0,M,100.0,,R,Texas Instruments,9.0,3890361.0
Wxt11764,Vobhdnjppndvxqkshxrqapn,1-328-056-5318,4.0,NY,Nashua,5.0,S,,638.0,O,Applied Industrial Tech,5.0,1259261.0
Bts11765,Vkedzbc,1-390-888-5972,2.0,Manitoba,Sherbrooke,0.0,S,,366.0,O,BE Aerospace,8.0,785594.0
Fhk11766,epekgijcifdxlzyp,1-436-728-9947,3.0,HI,Rancho Cucamonga,4.0,U,16.0,311.0,O,Patterson,8.0,2423771.0
Sua11767,tebaeqrredhpfbqfstxvhiyvh,1-010-494-8403,3.0,LA,Thousand Oaks,3.0,W,44.0,762.0,O,Robert Half International,4.0,949490.0
dyx11768,acwfvxvrelx,1-834-168-3435,2.0,Newfoundland,Henderson,3.0,W,83.0,509.0,U,West,2.0,3099446.0
HUA11769,mxotgeesvxomnkecazphzt,1-916-536-8440,4.0,Ontario,Ottawa,0.0,M,23.0,712.0,R,St. Jude Medical,10.0,3102860.0
Wfe11770,Wufotdnkb,1-957-540-5017,0.0,OH,Tallahassee,1.0,S,47.0,431.0,O,Brinker International,,3709911.0
KRN11771,tqrsxaxsxjhyzwzgmstxrp,1-685-113-4933,3.0,FL,Pembroke Pines,2.0,M,43.0,316.0,O,AutoNation,5.0,1091433.0
ofi11772,PFFXOZBDJIUCSSPHDTUFJF,1-993-732-1196,4.0,TX,Irving,4.0,M,70.0,,R,Scana,1.0,1545094.0
Xnr11773,XYZXRGZONS,1-148-171-6665,0.0,IA,Hayward,2.0,M,,412.0,R,Stanley Works,0.0,3242783.0
Opf11774,Yyuyaiamddddtvqqqcgswwowfxc,1-013-501-5635,2.0,KY,Spokane,0.0,U,1.0,,R,URS,4.0,920705.0
Yyq11775,VNNQBRGA,1-572-675-5701,5.0,CO,Windsor,,M,58.0,,R,Dick's Sporting Goods,6.0,551423.0
PRT11776,Vwohkdooahihxczidomsfbsed,1-932-992-3370,2.0,TN,London,4.0,U,60.0,814.0,O,Perini,6.0,
Fks11777,Udpfcivirrtrwnl,1-019-282-9321,2.0,MN,Modesto,1.0,M,2.0,465.0,O,AECOM Technology,7.0,1451863.0
pvw11778,qeyzo,1-535-562-6100,5.0,ND,Hialeah,0.0,,100.0,682.0,O,Harman International Ind.,1.0,1441336.0
nep11779,GKYYQQX,1-577-754-3360,5.0,GA,Greensboro,5.0,M,61.0,687.0,O,Furniture Brands International,3.0,721680.0
Krw11780,jsmzbkfawplbycw,,,UT,Richmond,1.0,M,94.0,305.0,O,Sysco,2.0,3190327.0
Veg11781,Dnbcnkgmqdlksakflpoua,1-084-404-6188,4.0,MO,Garland,4.0,M,74.0,737.0,O,ConAgra Foods,1.0,657037.0
Fub11782,BNSOIELNSU,1-403-230-0932,2.0,Prince Edward Island,Independence,4.0,U,34.0,789.0,O,Omnicom Group,8.0,1686671.0
jvv11783,Rliuelgaexnbsccmmssqltd,1-316-892-8756,3.0,RI,Biloxi,3.0,M,95.0,805.0,O,Thrivent Financial,3.0,3093331.0
RGN11784,coqwy,1-670-731-5577,0.0,OR,Sterling Heights,5.0,S,66.0,518.0,O,NCI Building Systems,1.0,19154.0
WVH11785,IIEHLIOOTNQKQKXGWJCQNMWI,1-044-687-1330,1.0,KY,Scottsdale,1.0,U,86.0,777.0,O,Pall,6.0,2524557.0
iju11786,Zkfend,1-124-036-6921,5.0,IN,Orange,5.0,S,61.0,364.0,O,Ingles Markets,5.0,3038913.0
ifo11787,FXGRDAVNRFOVCOCPMNUUUTGQXLX,1-741-663-6034,5.0,VA,Erie,2.0,M,62.0,334.0,O,Sally Beauty Holdings,4.0,1073838.0
pbl11788,HLFMSABBPKQQKRUDPTXRJU,1-889-946-5122,0.0,AR,Reno,5.0,,89.0,321.0,U,Dr Pepper Snapple Group,0.0,3887690.0
Ztr11789,Ftqlbcvxlgvk,1-365-701-7693,0.0,Prince Edward Island,Victoria,0.0,M,99.0,612.0,O,Mutual Life Insurance,3.0,785284.0
Exc11790,Vejeicpmwkpekafvetvwlf,1-548-834-2155,4.0,Alberta,Frederick,1.0,W,94.0,608.0,O,HealthSpring,10.0,61083.0
Ypl11791,ekabykhcrxdfzvbxrbwtpnayjygyuw,1-257-166-7587,0.0,Saskatchewan,Lewiston,2.0,M,95.0,362.0,O,Belden,7.0,2584577.0
RGK11792,Wioinritvnganibh,1-664-266-9568,0.0,WI,Sacramento,4.0,W,22.0,720.0,O,Warner Music Group,1.0,3139348.0
Pli11793,Rsgrjlsfxrmfv,1-721-063-8202,5.0,GA,Kitchener,1.0,M,85.0,400.0,U,,7.0,873050.0
Eji11794,Xxherikpogvmjaq,1-960-087-9136,0.0,British Columbia,McAllen,2.0,S,81.0,446.0,R,USG,6.0,3651114.0
Ywy11795,jmqyqub,1-906-762-5889,0.0,VA,Mesa,,D,42.0,402.0,O,Las Vegas Sands,6.0,117958.0
GPV11796,Dmyqtrp,1-797-147-9665,3.0,OH,St. Johns,4.0,S,25.0,609.0,O,,9.0,3485695.0
PNX11797,Ynqykgvkaoje,1-158-275-2146,1.0,WA,Houston,0.0,M,78.0,486.0,O,PepsiAmericas,3.0,226844.0
Fop11798,Fpohuxjuvcusfpclgbhqfzsdoukg,1-115-123-1503,1.0,UT,Salinas,1.0,M,59.0,308.0,O,Administaff,8.0,
XDC11799,HCKJVKLQQFHIUKRZVTL,1-414-687-3266,5.0,AR,St. Catharines,1.0,S,39.0,748.0,O,Freescale Semiconductor,0.0,3414198.0
fly11800,YPDKXGEDP,1-910-899-8854,2.0,WI,Lubbock,3.0,U,92.0,712.0,O,Key Energy Services,2.0,115387.0
Cju11801,urqkmrwnvai,1-825-781-6812,5.0,MN,Chula Vista,0.0,S,71.0,523.0,U,,10.0,706876.0
Xli11802,Ufwaueuhjamyqjlmf,1-772-701-7668,3.0,OH,Sunnyvale,3.0,U,74.0,593.0,O,Ingram Micro,2.0,3414611.0
Jla11803,VMRANUZ,1-731-139-5161,2.0,MN,Sherbrooke,0.0,S,34.0,,O,BJ Services,4.0,2871822.0
Odv11804,Cnttjlkiuqxqvyesdkw,1-856-493-1171,,SC,Honolulu,5.0,M,24.0,732.0,O,Goodyear Tire & Rubber,1.0,75846.0
Grw11805,Ydxerbfqxhotthuxgtvmnxfxbt,1-979-745-5168,1.0,CT,St. Louis,0.0,S,84.0,712.0,O,Ryder System,,3135479.0
Prx11806,dgtnpzkxo,,1.0,UT,Cheyenne,4.0,M,62.0,794.0,O,Crown Holdings,2.0,1929126.0
Pbw11807,Efodqanzjoqtxjrzwpxhqs,1-388-711-9458,1.0,DC,Boston,1.0,S,34.0,543.0,O,Tractor Supply,1.0,1598636.0
Tyd11808,FDVMCHBHWIH,1-589-308-5039,5.0,NE,Paterson,0.0,M,76.0,,O,Protective Life,8.0,3873135.0
Yoc11809,Vsnhygxiwnav,1-912-023-0094,0.0,FL,New York,3.0,,30.0,370.0,,Genuine Parts,0.0,621863.0
eiu11810,etywdcewbrsktkpbgetruusctc,1-680-728-7555,5.0,ID,Alexandria,5.0,M,48.0,437.0,O,Molson Coors Brewing,6.0,3183748.0
Lzb11811,Thcdos,1-541-591-8203,2.0,HI,Lincoln,4.0,S,98.0,568.0,O,New York Times,,480910.0
Ehf11812,suftkitsqaqadg,1-097-573-7903,5.0,ND,Milwaukee,2.0,M,54.0,315.0,O,Eastman Chemical,0.0,869869.0
TZJ11813,YBSBCAHXGHHBN,1-388-763-1684,1.0,WI,Rochester,4.0,S,,619.0,O,Alaska Air Group,3.0,2431274.0
LOE11814,Igmstqcsdj,1-897-003-3614,3.0,CO,Anaheim,4.0,M,37.0,576.0,O,,5.0,1839975.0
Hgi11815,Eqopxdpurpnxtiweskzvpziq,1-284-573-0057,2.0,FL,Edmonton,1.0,M,51.0,510.0,O,Unitrin,4.0,11343.0
Ffm11816,uhanjbjidjjytrihcmvprxwp,1-962-680-8156,1.0,MN,Lewiston,0.0,S,98.0,430.0,O,Winn-Dixie Stores,9.0,72476.0
Ecf11817,oxdorros,1-517-304-1469,4.0,FL,Baltimore,0.0,S,62.0,464.0,O,Williams,2.0,2611907.0
MXJ11818,KEUFQVELDPWSH,1-768-701-5720,3.0,MI,Montpelier,5.0,U,42.0,572.0,R,Anixter International,1.0,3007924.0
tbb11819,Tlmstoohheeemeyydnirtlew,1-063-653-5428,5.0,AK,Santa Clarita,5.0,U,62.0,695.0,R,American Axle & Manufacturing,10.0,773988.0
umi11820,KYUAFMDIHSBQQPP,1-512-924-0236,5.0,NH,Pomona,0.0,D,88.0,454.0,O,,8.0,2217017.0
Omk11821,zqfeibeochqdsaontzlmrhexgvqzhz,1-774-491-6498,3.0,MI,Costa Mesa,0.0,M,35.0,466.0,R,Con-way,9.0,2060103.0
uau11822,QMGZVEUR,1-758-965-1175,0.0,WI,Dawson City,2.0,U,71.0,387.0,R,Rent A Center,,478005.0
Gwo11823,Jbnkt,1-441-519-9327,4.0,WY,Casper,5.0,M,98.0,429.0,O,Terex,8.0,3438878.0
Jdh11824,YIRCYRJEBDIUZVRLJCVJHCHYIPHM,1-653-352-0225,0.0,Alberta,Sandy,0.0,W,6.0,827.0,O,Colgate-Palmolive,3.0,2427763.0
Irk11825,jwffhxyzwfbznpgurupqjz,1-398-802-7033,2.0,VA,Vallejo,5.0,D,40.0,493.0,O,Sears Holdings,1.0,738869.0
Nek11826,SPIFMASXX,1-303-206-2700,3.0,TN,Pasadena,3.0,M,11.0,787.0,O,Owens-Illinois,0.0,2089393.0
Yua11827,MLVKZVHOBJSVJULIBDLEZNSIOEFRAY,1-973-530-3867,3.0,MN,Plano,0.0,D,34.0,774.0,,Allegheny Technologies,4.0,1137985.0
JNI11828,Mdogkbcjgdrfiukvrrjhwp,1-835-358-0974,1.0,NH,Mobile,1.0,W,27.0,475.0,O,,7.0,289833.0
Zxe11829,CNTAECFGPOVUCI,1-289-362-9989,2.0,Quebec,West Valley,4.0,M,4.0,487.0,R,Conseco,9.0,
Qqn11830,TGYNNONCIVTDHBCHTZVRGW,,2.0,AR,Detroit,2.0,M,78.0,395.0,O,Medical Mutual of Ohio,,2183063.0
quy11831,Zttgonwhdxenpykzcemjgyy,1-080-445-9293,1.0,VA,Montpelier,0.0,M,89.0,352.0,O,Spectrum Brands,6.0,291021.0
Dlu11832,Abqcimi,1-941-812-6576,0.0,DE,Vancouver,2.0,D,34.0,673.0,O,Southwest Gas,5.0,457252.0
Akh11833,viarhxbchykxlhywqsxmjgxxrpitmx,1-298-651-0176,0.0,Alberta,Dawson City,0.0,D,20.0,624.0,,Viacom,10.0,1766502.0
YUG11834,USTWFYGTRTUIGCNAWNSCTJIBI,1-786-826-4100,2.0,Ontario,Dayton,2.0,D,86.0,653.0,R,United States Steel,3.0,
Sly11835,UMZUYTZXSZJOJS,1-061-707-2859,4.0,MN,Lewiston,4.0,W,61.0,488.0,O,Dana Holding,0.0,2924361.0
Prd11836,Ohxfhikbtatmiircelh,,0.0,RI,Sandy,2.0,M,66.0,644.0,O,MGIC Investment,1.0,995321.0
yej11837,IOSXPXOWNWWJUJVQJQIBSSOGUIWLT,1-663-301-1231,3.0,VA,Yellow Knife,1.0,S,40.0,,,DRS Technologies,10.0,1963209.0
acu11838,Iuqzoacvldoafqussolr,1-387-116-5876,5.0,AL,Irvine,0.0,M,74.0,613.0,O,Exterran Holdings,0.0,462186.0
Wyj11839,CGLZAPEQBFXLTQREEXNQCYNETGZ,1-343-225-5970,3.0,RI,Mesa,4.0,U,13.0,812.0,O,News Corp.,10.0,529762.0
Vqt11840,Kjlijqlttwckpbnaklrzaehlebaggn,1-075-533-3168,2.0,Saskatchewan,Lowell,1.0,,97.0,423.0,O,Fidelity National Information,7.0,3195122.0
Wwj11841,Tezjfsnskybwygqmwara,1-305-463-1057,5.0,NH,West Covina,3.0,W,90.0,767.0,U,AES,6.0,515043.0
Zlv11842,Qvvrpogqdjhrfssmsulsexhv,1-273-369-2526,1.0,NV,Huntington,5.0,M,94.0,670.0,U,Questar,3.0,439783.0
Zup11843,Ufmvvwdbcrcd,1-245-844-2890,2.0,ME,Cedar Rapids,,S,17.0,736.0,R,Western Union,4.0,1554578.0
MBC11844,Rnfeuhguisyrfedkxvzoayzfgvan,,5.0,AR,Sydney,1.0,M,45.0,372.0,R,Jones Lang LaSalle,1.0,
Uiu11845,Sgsusnsvtbzxnslpeb,1-211-668-4302,0.0,WV,Santa Fe,1.0,W,99.0,347.0,U,SAIC,2.0,118006.0
UDK11846,Fxfvfeidusbtkalnqfjbruffhfkv,1-481-706-4031,4.0,WY,Idaho Falls,4.0,D,60.0,378.0,O,NRG Energy,2.0,3240275.0
Bxx11847,QUOXADLDKKWJSZ,1-775-206-2837,1.0,Saskatchewan,Fort Worth,4.0,W,84.0,653.0,O,MGIC Investment,,3416368.0
TFR11848,Dpapnaszcettvbgzrwrxigbuuotio,1-708-928-5992,5.0,WY,Montreal,5.0,M,79.0,449.0,R,Reliant Energy,1.0,507034.0
Cqh11849,Igzhwlmkdbh,1-492-718-2268,4.0,PA,Memphis,4.0,D,54.0,342.0,O,Con-way,6.0,975368.0
Flm11850,molathxnbwgjeqlbaotmmjnmz,1-073-533-2543,4.0,Nova Scotia,Bakersfield,5.0,U,74.0,718.0,O,Sunoco,10.0,664490.0
Axh11851,bijrvsgu,1-791-324-6110,0.0,MS,Santa Clara,1.0,W,78.0,848.0,R,Vought Aircraft Industries,0.0,453612.0
Pgm11852,xwcrdxmppzrbcrbavkskhpa,1-908-505-5499,4.0,NV,Huntington,,U,96.0,463.0,O,Calpine,7.0,1706539.0
cyk11853,Kikzpcqcgbdtrnmvzbpbinszre,1-111-936-6095,4.0,VA,Richmond,2.0,U,66.0,587.0,O,Rohm & Haas,9.0,1097920.0
Gpa11854,srhkbujzx,1-930-383-9349,0.0,Nova Scotia,Evansville,5.0,M,36.0,711.0,O,Fidelity National Financial,3.0,1822078.0
