distretto,indirizzo2,codice_postale,indirizzo,città,telefono,stato_id,città_id,stato,indirizzo_id
Sichuan,,77397.0,1052 Pathankot Avenue,Leshan,128499386727.0,23,299,China,575
Coahuila de Zaragoza,,37815.0,1351 Sousse Lane,Monclova,203804046132.0,60,341,Mexico,576
Mazowieckie,,943.0,1501 Pangkal Pinang Avenue,Plock,770864062795.0,76,409,Poland,577
Slaskie,,86587.0,1405 Hagonoy Avenue,Czestochowa,867287719310.0,76,133,Poland,578
Qaraghandy,,95093.0,521 San Juan Bautista Tuxtepec Place,Zhezqazghan,844018348565.0,51,598,Kazakstan,579
Tokyo-to,,33384.0,923 Tangail Boulevard,Akishima,315528269898.0,50,10,Japan,580
Morelos,,89422.0,186 Skikda Lane,Cuernavaca,14465669789.0,60,131,Mexico,581
Kaohsiung,,34750.0,1568 Celaya Parkway,Fengshan,278669994384.0,92,168,Taiwan,582
Taipei,,98883.0,1489 Kakamigahara Lane,Tanshui,29341849811.0,92,526,Taiwan,583
Campeche,,53829.0,1819 Alessandria Loop,Carmen,377633994405.0,60,103,Mexico,584
Ninawa,,73605.0,1208 Tama Loop,Mosul,954786054144.0,47,344,Iraq,585
Central Mindanao,,96115.0,951 Springs Lane,Iligan,165164761435.0,75,219,Philippines,586
Guerrero,,64682.0,760 Miyakonojo Drive,José Azueta,294449058179.0,60,246,Mexico,587
Hidalgo,,62703.0,966 Asunción Way,Huejutla de Reyes,995527378381.0,60,212,Mexico,588
England,,22954.0,1584 Ljubertsy Lane,Southampton,285710089439.0,102,494,United Kingdom,589
Banjul,,53446.0,247 Jining Parkway,Banjul,170115379190.0,37,54,Gambia,590
Buenos Aires,,12664.0,773 Dallas Manor,Quilmes,914466027044.0,6,424,Argentina,591
Nantou,,95179.0,1923 Stara Zagora Lane,Tsaotun,182178609211.0,92,546,Taiwan,592
Guanajuato,,71102.0,1402 Zanzibar Boulevard,Celaya,387448063440.0,60,106,Mexico,593
Shandong,,17381.0,1464 Kursk Parkway,Weifang,338758048786.0,23,574,China,594
Loja,,22474.0,1074 Sanaa Parkway,Loja,154124128457.0,28,311,Ecuador,595
al-Manama,,39414.0,1759 Niznekamsk Avenue,al-Manama,864392582257.0,11,14,Bahrain,596
Minas Gerais,,1944.0,32 Liaocheng Way,Juiz de Fora,410877354933.0,15,248,Brazil,597
Fejr,,14684.0,42 Fontana Avenue,Székesfehérvár,437829801725.0,43,512,Hungary,598
California,,36693.0,1895 Zhezqazghan Drive,Garden Grove,137809746111.0,103,177,United States,599
Inner Mongolia,,82580.0,1837 Kaduna Parkway,Jining,640843562301.0,23,241,China,600
Liaoning,,36603.0,844 Bucuresti Place,Jinzhou,935952366111.0,23,242,China,601
West Greece,,97661.0,1101 Bucuresti Boulevard,Patras,199514580428.0,39,401,Greece,602
Piura,,52137.0,1103 Quilmes Boulevard,Sullana,644021380889.0,74,503,Peru,603
Vaud,,61960.0,1331 Usak Boulevard,Lausanne,145308717464.0,91,296,Switzerland,604
Heilongjiang,,27107.0,1325 Fukuyama Street,Tieli,288241215394.0,23,537,China,605
