prospect_gncd,prospect_nmbrcrs,prospect_wnrrntflg,prospect_g,prospect_mrtlstts,prospect_cntr,prospect_frstnm,prospect_ddrssln2,prospect_ct,prospect_phn,prospect_stt,prospect_mddlntl,prospect_nmbrcrdtcrds,prospect_crdtrtng,prospect_pstlcd,prospect_ncm,prospect_nmbrchldrn,prospect_mplr,prospect_ntwrth
Aat11076,5.0,O,66.0,W,United States of America,Imxtqeernvfabzvdjqfcmtgxas,RAHKFTN,Madison,1-535-793-1910,HI,,5.0,677.0,Qnpxm,171670.0,4.0,Hershey,3051103.0
YVU11077,3.0,O,34.0,S,Canada,Lxvgsezq,Oxkisleb,Fort Wayne,1-454-338-9785,NJ,l,6.0,503.0,Psitbcd,347875.0,5.0,W.W. Grainger,1829584.0
WTG11078,0.0,R,40.0,S,Canada,Nthyiootolbioolpphcghjgabqcv,xlcktdlpqtmezrkvnrikvtfqfkqtzzttpiqjseffwriyiesmrfnzohu,Lexington,1-700-212-6458,RI,,6.0,594.0,hhvyvkqoc,375968.0,5.0,Robert Half International,18097.0
Jxt11079,0.0,O,98.0,S,United States of America,lftiubmxgmvo,lqenbdiosmaxgdxkmwkhntmxwyqwbibzjtvvhztshqxdp,Fairbanks,1-582-981-0119,Alberta,R,7.0,321.0,evageqkyoiev,429326.0,4.0,Agilent Technologies,2822716.0
Ecb11080,5.0,O,53.0,M,,Bxxpjxcbocsxsxplsdncx,Mksghqvfrdjvtasbgdxnoucuzqt,Omaha,1-487-223-8432,VA,,8.0,706.0,Lslukfrd,225958.0,3.0,Health Net,3668879.0
Rmh11081,0.0,O,68.0,S,United States of America,Ocnclqcosrasbpcrmwur,jjbyfhzbioaxosipsjoggbfaeamppdznrxortpeoksajqvtwaazdocfhahl,Elizabeth,1-858-021-1895,AK,v,7.0,408.0,,112101.0,2.0,Best Buy,517433.0
yrk11082,1.0,O,34.0,M,United States of America,XFCKFJORKGNHLNFR,yobuewzpivtpboxrijsmzazmnrzdrmzhktofwusqvwrxmqizewibfhjxskwxtdxsoheocbnrxsdi,Charleston,1-157-653-7284,OR,,9.0,499.0,Jxxcggbstor,34685.0,4.0,RadioShack,3645398.0
prm11083,4.0,O,55.0,M,United States of America,AQZPLXG,ibrehvufdrigacfmdmttm,Casper,1-887-627-5203,AL,,8.0,688.0,lulqy,278951.0,2.0,Baker Hughes,392064.0
Eew11084,2.0,U,61.0,U,United States of America,ghgkfd,DVZYRAF,Huntsville,1-507-296-1529,ID,,1.0,619.0,jvhym,441073.0,5.0,Allergan,713401.0
fka11085,1.0,O,92.0,M,United States of America,fhnmvjwtsrrh,Meftqhvqlmqbbmpew,Torrance,1-076-968-5698,ME,z,3.0,709.0,Jcxyuqt,50524.0,0.0,MGIC Investment,3259486.0
MPR11086,0.0,O,59.0,M,Canada,paryancbgdonhlghfgdirbrjlcycni,Qsqqfgqihyjtvsaitjrvog,Wilmington,1-878-781-3161,VT,R,10.0,722.0,,249921.0,1.0,MasterCard,3937473.0
Kui11087,3.0,O,42.0,S,United States of America,edksfrvrxesroonoowvauzr,Wkvukozkedfwfulewbnjwassnswitabaspdyvixkotlvo,McAllen,1-500-629-5924,VT,,4.0,729.0,pvmfgds,119125.0,3.0,Jones Apparel Group,2743146.0
BQJ11088,3.0,U,47.0,U,United States of America,Ijpvxgtikpfg,Uvhkxcshrqmzng,Rockford,1-881-757-8162,AK,d,8.0,626.0,OUJAJV,177045.0,2.0,Atlas America,1950959.0
sgr11089,3.0,O,29.0,S,United States of America,Ittbwaeevubi,Jplyngclozsouvkq,Honolulu,1-702-112-7175,OH,t,1.0,630.0,wpemnwp,126033.0,3.0,Key Energy Services,2491256.0
FUK11090,2.0,O,,W,United States of America,Zgnudvdjwgpengxhimvdx,Oljswqqkzifkdvlzuwjlrnpvcrmddxtkzsyhdwyshgs,Baltimore,1-326-495-2884,Newfoundland,z,,763.0,Fmnzxomkdl,,3.0,New York Times,1561027.0
Csu11091,2.0,U,88.0,M,United States of America,Usqlxoni,,Lancaster,1-992-297-2714,New Brunswick,d,6.0,817.0,,257089.0,0.0,Coca-Cola,2110041.0
wdi11092,1.0,O,56.0,M,United States of America,ihctzxpvvxoszykvcmtlhztocwuld,hmmdylzfeppapupxmeteawdonkjvadpgb,Topeka,1-473-021-3049,OK,W,10.0,466.0,Zmecgndtehg,260579.0,4.0,Mutual Life Insurance,2468521.0
wxi11093,5.0,O,31.0,M,United States of America,Vxlzokzmkwgvx,fikxtyaquammsbgjoymnrbtshevqicjrdtcfpmjtmbpgbxcneizwrwpcxjexyymmuvce,Concord,1-842-348-8655,AR,,7.0,761.0,Euvraoa,394216.0,1.0,Int. Flavors & Fragrances,
ldd11094,5.0,R,37.0,U,United States of America,Wdxhdlarmveiodvbooriwy,Oqqswbvspqwcmqohmrwsqnixpngsdjpzkwcklgwkhadgobaptcrbvqexvlnri,Burlington,1-756-008-5545,WA,i,0.0,387.0,tturhdszvy,74207.0,1.0,Jones Financial,2748773.0
uvf11095,0.0,U,,M,United States of America,tjtzkecnkgevbszsfchcodlvff,LLCEIZVCQRPUDQYSOEOJRD,Milwaukee,1-417-985-9141,TN,A,,447.0,Lapauantp,40241.0,3.0,DTE Energy,2699979.0
tmj11096,0.0,R,52.0,U,United States of America,Xsuyoerodiqdkgcogx,bnjssgtucbcvaltntyitjwjbgrjlp,Brownsville,1-011-040-5607,IA,F,1.0,366.0,SPHHBD,313015.0,0.0,Silgan Holdings,3964610.0
AXG11097,1.0,O,21.0,M,United States of America,TRTKBIYRICFMVXO,Yfiinuzvvsdwbpvbyswbhplalqtugchoasqmjqairtgymfzehufjeajmiazlcufmiyfkconhbwn,Garden Grove,1-856-569-9363,VA,,5.0,391.0,Dbgjxrmkoaox,,4.0,Halliburton,918583.0
jav11098,2.0,O,53.0,W,United States of America,xvxoasnzerxhxvjxftbh,Xicodkmqrcvaqvuolemhcljvukxbxxojmqirgqsifufxqqdbduyslv,Biloxi,1-826-034-0495,RI,,1.0,345.0,,223362.0,5.0,PPL,594191.0
QBA11099,,R,59.0,M,United States of America,xkqyvjdwvjsjxjjlfyp,GEFPACGORJYCOLXGYMEDGMBJOSAJVLC,Providence,1-981-604-9450,New Brunswick,X,,345.0,Yfrwbr,,,Pulte Homes,
Swl11100,,O,68.0,M,United States of America,Mifgxyzzjibywknlabcjcmmg,Hmwugmqoibjxvhemhgvewl,Paterson,1-282-607-0041,GA,,10.0,747.0,LVDEPWRMRFJM,80364.0,2.0,Wesco International,2928846.0
mcy11101,3.0,,43.0,S,,qkarligpsqn,PEKCKXAZEPLNTQBGWDXTQZOTVLEXYPMMRKMOKMMMULLDBMTVIPXRZJVMFZLFZ,Chula Vista,1-561-520-7660,NJ,e,10.0,,Ihzfpkfsojcu,353992.0,1.0,Gap,1024745.0
Lna11102,5.0,R,100.0,W,United States of America,GFDARLOMHWMTMJLWJLOARAEQ,fqoxqxmtnlbypeqnetfehoedkau,Calgary,1-066-368-1833,AL,,5.0,456.0,MNGVO,8475.0,5.0,Unitrin,2149154.0
CTD11103,3.0,R,20.0,S,United States of America,Mzqbn,Ucaifkagakyx,Brownsville,1-738-190-9411,RI,,8.0,763.0,jfgnkqucaul,224275.0,3.0,Ruddick,1307780.0
Fhm11104,2.0,O,61.0,M,United States of America,Pctcvnggoqdeubekeqlxyqofxwb,TQHPJFHOEVASLWCWXBVCLPSYIQTRHYXETVNDIPVOCDZSSZNVSTXMPTFLADMKYRNYXLSQKAYU,El Monte,1-689-137-5077,IN,R,0.0,500.0,Lsfbltx,234064.0,5.0,Omnicom Group,340371.0
Fhv11105,5.0,O,6.0,M,United States of America,CSLTEKICTXBL,,Iqaluit,1-920-243-6705,British Columbia,A,2.0,432.0,Scvqikybmgod,121158.0,3.0,Wyndham Worldwide,3684185.0
Pdp11106,5.0,O,63.0,M,United States of America,Mvuokdqevmvkbhnznjmvstcvc,Scfhqsnabeiecioahgybunanonfixvuyvnuhgsvcnkxjkswlwvbvbmnuglgmfesrxnuk,El Paso,1-023-068-8853,New Brunswick,X,,663.0,Glcahi,28310.0,0.0,Anixter International,3165241.0
Ygr11107,2.0,R,0.0,U,Canada,gnmgpmo,Avyijbcwuerwrtqqxnfb,Newark,1-988-274-6796,MO,o,8.0,337.0,Nrgicqelq,298272.0,0.0,,1865871.0
Yzy11108,3.0,R,14.0,M,United States of America,bvtmeqhdswjhismgkqmgtt,wqpqbfmiprltzyqguafwofkytxrd,Oklahoma City,1-617-877-7837,DC,W,4.0,543.0,Qvawwypvax,317296.0,2.0,Albemarle,3213054.0
Luw11109,1.0,O,29.0,D,Canada,Vsfzrywugemamuyxbikick,Pbhikwtcdimnzhqwkeatenymfkpugnylxcqjmbqhutsuedqlwuqrqpasenuggpvv,Irvine,1-496-801-3031,British Columbia,,9.0,442.0,WWMWLBM,281222.0,4.0,Graham Packaging,1020481.0
Xzt11110,1.0,O,40.0,M,United States of America,itgccbff,Iwasuummihncecty,Missoula,1-444-702-0376,OK,s,7.0,378.0,Sboybdyetjbx,197666.0,3.0,AmerisourceBergen,1691509.0
LDH11111,4.0,O,73.0,S,United States of America,Lhfjbotvqklllapauqqbyythlomhu,Yiyxygmaxijxxgjwgwxjkbwfiewegmnyfduutqjmrdcctktqgsupvj,Virginia Beach,1-539-782-5522,AL,,7.0,759.0,Tmplsep,341656.0,3.0,,
Vrl11112,4.0,O,69.0,S,United States of America,Qlcjcxdlprkxvuhfdeovejccnpdxf,Yphwxpibgnwazwuznyrkumadrvssyoqlqonobpdeetrdqpvzpxprckdhxhyedhofzd,Santa Clara,1-766-118-2941,WI,e,9.0,434.0,Tseih,99711.0,0.0,Scotts Miracle-Gro,454531.0
KGS11113,1.0,O,55.0,U,United States of America,xlrwxiwdcxxnjgjprczzipgnd,HCJSURPNTGTZMYCVPPFXUFIRUCGNGICOEVJGXZHTKWFTEGLXFKWSVOMLHJXFNFJSCGRVAPAGCBOTSC,San Bernardino,1-029-755-0775,OH,,0.0,752.0,Rmwhfs,401966.0,5.0,Amazon.com,3240581.0
IZN11114,4.0,,28.0,M,United States of America,CRQTBMUTQOYODOSDTHCCTNJMCFQJYD,DOMNUOSOUQ,Huntington,,MI,,4.0,743.0,UUDOOBDFFP,110307.0,5.0,CC Media Holdings,2853467.0
Rbe11115,1.0,O,50.0,W,United States of America,Nldolydoaq,EUDCQNRJWRUJGKRKNHDOTUWWRFFDZCKKNGTBKJFFRDKRRPMLSNP,Regina,1-203-432-5236,AK,P,1.0,790.0,RTCIOWJH,412114.0,1.0,AFLAC,314768.0
Mdy11116,0.0,R,84.0,M,Canada,PHHRTSVIAQTILGUKTQWWCD,kmslvlxdklfprbwwlavmxvdfv,Des Moines,1-624-435-2301,OH,z,6.0,536.0,Imfxtb,,4.0,Omnicom Group,2437574.0
OTC11117,2.0,O,,U,United States of America,Alzmzkthvwpehgkaca,qkafkavgdodqfvrsefankkmmdvquromexcpmdzllqtdaxmsbuqmh,Lansing,1-247-055-8115,NY,,9.0,428.0,hcaakval,471546.0,,Vought Aircraft Industries,1717413.0
Nda11118,1.0,O,23.0,W,Canada,Avyoeu,mjhtdpqmcdxno,Dover,1-432-772-4099,AK,h,4.0,713.0,Xnhrhfxeclt,486274.0,2.0,Emerson Electric,1874989.0
Xqm11119,,R,22.0,U,United States of America,jexvxxv,Bnfeugnaksalekkrgksgovptnjtjjhjvnqitxdvkfikffregakxmoxzumfsemsvdprwwmvmjxtfl,Abilene,1-471-763-2607,MD,H,6.0,665.0,Tzpftchyten,79994.0,1.0,Colgate-Palmolive,309312.0
RIL11120,5.0,O,29.0,M,Canada,Ewdtxbk,Fjcdpkhrxddcengxnoijmcwvqqjgusnmoqshthjhtgfjkoknqsec,Huntington,1-695-698-2782,CO,,2.0,546.0,Twwqcoiwo,244104.0,2.0,Norfolk Southern,
Sio11121,4.0,O,36.0,W,United States of America,ahzmrzqijh,pqnlgyanuifg,Berkeley,1-182-018-8364,OH,,1.0,437.0,QFWPL,399499.0,0.0,MDU Resources Group,2661265.0
gum11122,4.0,R,70.0,W,,Beyfugvsawjrekdergkdvcduofy,Crqhnatcqwavehvwoyuwwuatkrqhiptbjeomcwzgpinoe,Chandler,1-222-269-4854,MT,,7.0,410.0,FOMKY,344741.0,1.0,Regal Entertainment Group,1182674.0
Kod11123,5.0,O,12.0,M,United States of America,Ggyxywbbimexhqicjndiyu,bzpehfyggyzhgjbkxvbzb,Simi Valley,1-650-613-7174,KS,V,9.0,456.0,NYCBOCF,449148.0,1.0,Toro,61292.0
uar11124,4.0,O,79.0,M,United States of America,Muymquwgjc,Rlzoypckxjqfxmhbabxwqjurevhjbuqdbafaeltnzdxipchay,Dallas,1-610-860-8907,FL,N,9.0,724.0,OIPBIRCT,249694.0,5.0,Molina Healthcare,898736.0
bce11125,3.0,R,13.0,,United States of America,VSERFS,HIJANWTQYPXHUUCDLKXKHCJSLGPZPCIGXIKCOMWSALUQ,Hull,1-080-177-0308,VT,L,0.0,518.0,dehtyqwngwnm,93623.0,3.0,TravelCenters of America,374849.0
HDS11126,4.0,O,40.0,D,Canada,Thwuiojryraghrdotnobrbqm,odlgcoskkumabrjwpdepofduicqmacpomcbslirwqtibtjtafpksspqdzbsigzhnknbhaivftlrnvv,Austin,1-020-838-8629,DC,n,7.0,382.0,XCDFRIBEN,223509.0,0.0,Smurfit-Stone Container,2144139.0
Bvd11127,2.0,O,56.0,D,United States of America,TRUIQUPR,Mmujiyuzhthttjdzhcpzscceynojugvlsqjwrafqhwxhgnbplvimjlwbrfylml,Alexandria,1-654-610-9840,UT,g,9.0,705.0,knpydlub,166933.0,4.0,VeraSun Energy,441843.0
Awc11128,,O,66.0,M,United States of America,Zghuiwbk,ixaibaciqjoccdiyymboxkqvgamoeviffrtcgmwbtlfaaiwampqvpzgpbynxvtrnrlehwcudjjjfck,Hollywood,1-783-573-2799,AK,y,2.0,784.0,Hcplwecd,265644.0,5.0,Universal Forest Products,154199.0
Avv11129,4.0,O,95.0,S,United States of America,XXTEBXBC,wmtgcvegfutasqkszeoaulbjlkrjkrjkomkvidhwhbzeastgvlhvnsuahqtphcwzaq,Glendale,1-908-304-1407,MA,,1.0,519.0,rmicydov,131437.0,4.0,Neiman Marcus,3132143.0
DGX11130,1.0,O,49.0,U,United States of America,yivmwltxsup,Hfvecvkpeadopukqhnekskevccunucoafapogbmiidwrtvlhhudfxfpkbzvsmpxwbjpyzjfbomnuq,Fort Wayne,1-755-225-6753,KS,L,,338.0,Jouzskxoumkb,29592.0,5.0,E*Trade Financial,2291849.0
fdq11131,2.0,O,31.0,M,United States of America,eymodxkfopbklwmo,PDKSRFCFCETITFJXWYUPVUSYWHHWJCRJZSYMM,Montreal,1-697-091-3210,MO,,8.0,401.0,glldqotezp,402152.0,2.0,,2497077.0
Jzb11132,0.0,O,30.0,U,United States of America,memcvwzunhzkjtgryyyhrodaaosufj,,Missoula,1-991-841-5198,Quebec,P,2.0,840.0,Twzjxdmvkiqo,271037.0,0.0,United Services Automobile,583079.0
Xuw11133,5.0,R,16.0,M,United States of America,Yyupntumrwzvtqxkbjvmopjicgchw,exkbfaharrdttetedetheeobpxajmcaznjojdyryffbfnwsxmgcpeyj,Gary,1-070-487-9396,VT,,6.0,566.0,fvnkqmyle,285131.0,1.0,M&T Bank Corp.,1720237.0
nnj11134,3.0,R,14.0,U,United States of America,Apaqkg,bxeduweuwphtwcwhlgwndpfboxibjjfwdjorbyryzccoepjzh,Oshawa,1-238-035-2522,ID,,1.0,508.0,Lvuixb,102943.0,1.0,Universal,793265.0
ssn11135,2.0,O,79.0,U,United States of America,BSQKERZLETI,vkpuyvwxewgbgcwdplfushzjjbacipdcitajzqnda,North Las Vegas,1-824-267-4839,IL,I,0.0,825.0,Bnwopmzfs,233412.0,2.0,USG,
Xgj11136,3.0,U,20.0,M,United States of America,Ttrlljobmrkytizqcxrorjhojrlj,Sayyzsiwhxyjwzescaxunxnrlmqanuwwwbgyccrfbsmyslwuhwdgnwpmjzhxvjn,Fayetteville,1-060-152-9205,UT,T,2.0,404.0,Mtfcf,454152.0,0.0,Zions Bancorp.,1633385.0
KBP11137,4.0,O,85.0,U,Canada,qnewwwgrnemmb,WPVGKTQZVWSMBWHOZFTGYELNIFQGHYMTZNOPGVHFGQIKZCJOGXXCOTIPYZLKVMSTDERGQH,London,1-018-762-8415,ID,v,,554.0,agdkewyusoe,414089.0,1.0,PHH,3995280.0
YMB11138,0.0,O,17.0,D,United States of America,ilwowazvzovams,SNBYDYPDGUECULXBAL,Milwaukee,1-871-929-7228,ND,,2.0,807.0,OZHKONEGE,471238.0,3.0,Berkshire Hathaway,625139.0
Hph11139,5.0,R,16.0,M,United States of America,Powikigpmzi,eahbnhvefxnethyxjjstnsbcfrkuzjeayiukhzlthhjlqylambqas,Oxnard,1-276-126-1453,WV,H,8.0,357.0,kzxygsxvgvb,94103.0,0.0,Mattel,2833410.0
Uah11140,2.0,O,94.0,M,Canada,FBDXRBUFDSPTJWZXFDUXV,zntmmgbqjndpfwcausseebjzcukwtpcdmvddmgulzn,Victoria,1-714-737-4687,Prince Edward Island,y,7.0,577.0,Lxustjho,424349.0,0.0,Flowserve,1656365.0
QVG11141,,O,85.0,M,United States of America,Xdkwjrcdyfoc,Qvqkrfvmkxpnkljqmfdcjxskvoovvvpduwpzlxoonkj,Warren,1-917-113-8529,GA,Q,10.0,,RPASTKKAI,433663.0,,ArvinMeritor,2377665.0
MTX11142,5.0,,48.0,U,Canada,HDPDDCLDYR,tlugnthmeqfqolgbxgkhcdxdwayqdawwhpeghfnrgemevoittfnssp,Cheyenne,1-501-406-1681,AZ,,0.0,639.0,Rlgdvrxa,233605.0,0.0,BlackRock,1238464.0
Twp11143,5.0,R,26.0,U,United States of America,Gcnxgxcalifccznzdy,yvyohumnpraajrw,Sunnyvale,1-605-487-8920,AL,,9.0,620.0,vdrwcjbvvyhz,227596.0,2.0,Emerson Electric,1627161.0
Rfj11144,4.0,R,68.0,S,,Iljbxhbziqlyxjufhtctkrugfqhhh,Civygzajrdlrh,Eugene,1-469-765-2896,CT,,4.0,690.0,VLAEBKBA,8426.0,3.0,Aramark,52805.0
Sdl11145,0.0,O,66.0,M,United States of America,FQATEFAFUNBWXKOZRXKP,YZQCSHASVPTTLLANODFZUDBFHHPWGJNCUV,Salem,1-032-636-1468,Alberta,,0.0,375.0,Visftl,493298.0,,Ashland,2942915.0
Teo11146,0.0,O,5.0,U,United States of America,Avkhumpcbfbkhjeddcixqmhq,Drfjctlnwxswlatzpeawkfgeikaatmmlhvkfjqxgelmrgfscbavbrkiygv,Denver,1-953-691-9317,Ontario,,9.0,365.0,Hbtnvbzyuep,224667.0,4.0,3M,99902.0
Nit11147,5.0,O,,D,United States of America,GCEUPTLOHVITYAWDLSZKJDYQTGN,xjvjbkppikwualixdlsyjidaubvadsipegcm,St. Petersburg,1-776-725-3446,OR,,10.0,321.0,crhepouslmt,389774.0,3.0,,347527.0
Ffm11148,0.0,O,78.0,D,Canada,RYAPPBRM,HWGZYEHJDCGSIYRZMXYWXGFLVKXALQRROLRSVJFCWCUYNDAYEECADNBY,Cheyenne,1-292-318-0400,AZ,,5.0,737.0,Myvxtjg,90681.0,,Shaw Group,2938993.0
XGA11149,2.0,O,88.0,,Canada,ubzaskifxaathvuv,YVTSUSZOFGVSAAUV,Miami,1-723-289-3585,WA,,1.0,424.0,mjezhevlc,391271.0,2.0,Northrop Grumman,3508797.0
Rlp11150,3.0,O,21.0,W,United States of America,Olmscajwrpnfugz,HQORTUGTOWWONTGATLBROVLEULOHJWATNYCZXNHSKLTUYNNVDDTOGZAMIQZCHDVCBTZQ,San Antonio,1-656-754-8115,ND,,2.0,558.0,Rjfdmtdegu,326600.0,0.0,Principal Financial,1753916.0
Srh11151,0.0,O,94.0,M,United States of America,GPVWNUKAHTOIKUBFNJN,Hysmlvhymupjnmxjbujqpwbvirdaoksnwhndeodjhjchmgkjtcjgegtjfsbqkielwdyxsmpbtftoau,Waco,1-258-946-1316,Ontario,D,7.0,784.0,Kmuxwxcn,300707.0,3.0,Atmos Energy,1126659.0
Gwi11152,2.0,O,27.0,M,United States of America,Zdnjzosidvnaorrvjvezsww,UXTACOQCHIVPLCDQCFPCLXZTDJUCCSXKNQXHZXPBZUMVMROGWMOV,Arlington,1-517-276-5758,NV,,1.0,685.0,idaegspqxph,4644.0,4.0,SkyWest,2743465.0
vij11153,4.0,U,50.0,M,United States of America,ndkgss,Mqxjqvdqdeemeusxbooquqzbymsfzikit,Cheyenne,1-549-697-9256,OR,,6.0,761.0,Rlvxnkojz,172476.0,3.0,Cracker Barrel Old Country,3074514.0
Zmd11154,0.0,O,53.0,W,United States of America,Uwtffcptbiockkrdpxnqnx,Qozkpggevqihsrt,Portland,1-052-043-7511,SC,J,0.0,506.0,owbzfwa,452117.0,4.0,Brightpoint,3134876.0
Rqo11155,0.0,O,23.0,M,,Skympmabeqlxpltlxrhvqfbggw,Xyponfnim,Saint John,1-131-650-8974,NE,,9.0,471.0,fwwxvcgbup,326880.0,2.0,Health Net,2214185.0
VEW11156,3.0,R,27.0,U,United States of America,Aowipvuskdtxkndv,Dfxzdbfscsjzqczzigjikg,Burlington,1-921-938-3921,OH,,2.0,816.0,indubf,419937.0,5.0,W.R. Berkley,3278947.0
Sif11157,4.0,U,5.0,M,United States of America,JRTXFZ,NMRVUWIJHLQAGTNDQIUTGKYBIVCBAMUNHYZZMOOGAINHWSUOCKCQZMJMRUOFLGODJUUVDP,Pittsburgh,1-632-075-2060,SD,,4.0,341.0,,230134.0,3.0,Occidental Petroleum,1462393.0
Znw11158,0.0,O,97.0,U,Canada,TNJVSMBCDRJKJFP,UCNCFJZQEAZA,Worcester,1-388-656-6832,Saskatchewan,,9.0,422.0,Rupdl,493355.0,5.0,Wyndham Worldwide,2370101.0
msw11159,2.0,R,6.0,M,Canada,Rzokiaekslypogjylwrajnnuoo,Pnankekkqsrczshebvxsowjvkntgi,Durham,1-344-834-6553,IL,T,5.0,762.0,Tkcwnhxaul,425574.0,4.0,Aon,591620.0
bft11160,0.0,U,97.0,M,United States of America,PALLWINHLAUJIES,QTYEPETFBNEGEPJNBKRAEKWJYVAVIYJKCE,Santa Rosa,1-720-836-7519,UT,,5.0,316.0,Thpgfqwkjd,60453.0,5.0,JetBlue Airways,3537831.0
Lsj11161,0.0,O,23.0,S,United States of America,Atoncsjv,Gettnhirdeklzcxwegvibyncrvxjghovveeitozgagkeseitquualjeghdh,Winnipeg,1-752-288-0394,Ontario,G,2.0,,Wsuhhjogx,9498.0,2.0,Belden,2153327.0
Wxn11162,0.0,R,59.0,U,United States of America,Fesuvnua,bfzsvhaabstiqxngvhpugkbzolfojiezeldvaurovxhewywrxexhjhq,Jacksonville,1-188-114-6634,IL,h,4.0,451.0,Babkxvui,316948.0,5.0,Warnaco Group,3293783.0
szz11163,4.0,O,13.0,W,United States of America,Iqprorvphujwdmt,Qtnszjsbbsuascnxkfzjdyitobgy,Warwick,1-701-450-5175,IA,G,1.0,745.0,edzfxxuvf,104473.0,0.0,Cabela's,1360085.0
mun11164,4.0,O,25.0,S,United States of America,GTWJXOEMJ,Zsiquqbwslxbrkvurkhaqelryfjmnmnrxlxdczibgqztdixhbdwvrtfvatsnjtjmkouibmytwflt,Pueblo,1-065-360-5910,UT,,6.0,731.0,akjarfnjchv,16214.0,2.0,United Parcel Service,2941247.0
ZMT11165,5.0,O,16.0,M,United States of America,Hikffxmayixnswoouoypdfeot,SKKSJYWZTSGBSMSWAXQZANQRZFLZKVGETXMMZDXU,Lansing,1-185-997-5812,ID,U,8.0,,Vrwcfsdlojbs,337480.0,3.0,Graybar Electric,
Epj11166,3.0,O,56.0,M,United States of America,EKUJASFTYIEUCLDRZ,Dbutbxgyuuqxbmyhxxrmwqdavpmt,Nashville,1-497-406-2487,LA,,9.0,,nwcpiz,346642.0,0.0,Worthington Industries,2994734.0
len11167,3.0,O,53.0,D,United States of America,Gotuzxubljawdhsrhvpjeg,Qntqcdlsfppqqstebawxukrxrdrmb,Sacramento,1-164-698-3450,WI,,6.0,687.0,HWGPGWJ,3145.0,3.0,C.H. Robinson Worldwide,2149112.0
BBS11168,1.0,O,71.0,W,United States of America,Pleeqemchwlfmhksjrtbpmcl,hgizfiaoedkohbcotwrllqtistvoisvgbrlmpqnlm,Berkeley,1-894-933-3013,RI,G,9.0,559.0,Kkhdogoj,237898.0,5.0,Fidelity National Financial,1092354.0
QGX11169,0.0,R,30.0,U,United States of America,yswewgtdlmwooilougzc,tmxfjdqlokgaglnttvgiyoclwqmtcbpmmvmlonlksirrczppmjozelmde,Lubbock,1-943-216-4595,ND,B,1.0,427.0,swjjs,174682.0,1.0,Bucyrus International,2972793.0
ysy11170,1.0,O,89.0,,United States of America,wytatppfqnhqoyyiymvkrdw,OYLKESRDIYSRUFAAFSIJUJPCBXDBLLYNAJHERRUWBWLTXPBSYMSGNCHEMKWIOIFOS,Pittsburgh,1-329-309-2920,TN,V,9.0,718.0,Obtuki,256354.0,1.0,Mueller Water Products,254517.0
PAH11171,3.0,O,89.0,M,United States of America,EWUOBHWLUSTUG,KJMHELSYALNSQJSQPBQFSMPWKUZGKHTDOBKRMKLKPXZGGEJLTDWRMBNVSEIOEWY,Aurora,1-567-224-1134,HI,,2.0,415.0,Xshwlugsnej,352546.0,5.0,,3232905.0
uom11172,3.0,O,32.0,M,United States of America,Tpqhanmpiau,Svkmvdwmdepicegeacrylbjhkwnnemqnorzultbqrrmakzawujbuddwjlxupaoqtkvvvdnmrpmudr,Fargo,1-393-232-1288,AL,V,1.0,,Lpllwni,115604.0,4.0,Magellan Health Services,1600993.0
sjc11173,3.0,O,,,United States of America,Dirotroocybjeyxqktoftlc,Fnowwrnxkmqqvclyvvxghvmmnxocpxcobgvc,Tacoma,1-234-880-6992,Manitoba,S,0.0,513.0,Jbueoha,122517.0,1.0,Delphi,2990822.0
rln11174,1.0,O,61.0,M,,TMKDIRCMWNVZLWAMXUVFWGUXQODX,rxvsrywlwscplhaqbwnutwwjgpjfwytxbssxabqlsuuorpchtkgyl,Sioux Falls,1-274-443-1820,NV,,2.0,355.0,HLDCAYXBPUW,,4.0,Nordstrom,182737.0
jfa11175,0.0,U,94.0,M,Canada,Nfeynxtmwilsbfjxuhohpgghnwglc,FAXICLTVTRABXVRGJGJDQXWDOJZVFGTDPOOIFTEEONRTDEVBRJPLXVAZUCDMDBDIWUIOWFAOOPWUSN,Livonia,1-062-362-7185,NC,,1.0,641.0,AUFYE,81016.0,3.0,Juniper Networks,1336995.0
DBU11176,1.0,R,16.0,W,United States of America,Ygxuhrpuwurpjvzqnm,lzibncalsxjpufinlvlbxdnjtcegmxzzcbelbrj,Hollywood,1-112-704-6386,CO,n,1.0,407.0,,161122.0,2.0,Genzyme,2273609.0
rut11177,4.0,O,42.0,S,United States of America,Pvaxpmyvlffcgawomcjgqllkxf,grlltuylxfdibzwvspjusnmnlaqrt,Eugene,1-651-034-7223,New Brunswick,,5.0,506.0,Rhafxpalo,435693.0,1.0,NiSource,362348.0
Lmp11178,0.0,O,92.0,W,United States of America,MEGLLVCASBCQA,Eqrwdceanzmryanlegomqobtgcaauwzyduqrtmimzaojwfp,Aurora,1-704-918-9418,SD,f,8.0,729.0,Shmxek,398338.0,2.0,DTE Energy,1681106.0
bsk11179,4.0,,7.0,M,Canada,Hpptgfuccgdkwkgumlqcccs,Vvlkobjahhruvcqxvtbnjnvusdjeistllcrojdwximakzviuwg,Fort Smith,1-337-824-2522,LA,,6.0,600.0,Hnvifgfx,488768.0,0.0,Hayes Lemmerz,3920130.0
