gncd,pstlcd,mddlntl,gndr,wnrrntflg,ncm,cntr,ddrssln2,ddrssln1,stt,mrtlstts,ct,phn,nmbrcrdtcrds,lstnm,g,crdtrtng,mplr,ntwrth
BGT8603,KOQSBJUS,s,m,O,490808.0,,Fatljegfadjdwsbufjhhlxaezurvtnccvwubpiutmel,urpbnqdssqvafmi,British Columbia,S,Cincinnati,1-293-846-5212,2.0,BGTJKKBHWYOTPREYMR,58.0,471.0,New Jersey Resources,2887362.0
bmy8604,Mqokpefrcii,,,O,462770.0,United States of America,Jtobeiguqzjnanvtqhouwtvemjaulppktw,wgaasrbezotgwhubbenoyo,CT,U,Calgary,1-842-210-6496,6.0,bmyunlqjwudbxdskdksujqjtgruvd,93.0,830.0,Family Insurance Group,2712723.0
Fgi8605,DRJJKVDFTVT,U,,O,16016.0,United States of America,NMVYQBTIKGONRW,Hydwalpivtcjhcamdqs,NY,M,Lansing,1-846-075-8286,6.0,Fgijn,90.0,316.0,Sprint Nextel,481938.0
Gdm8606,Zvpsibht,,m,O,295940.0,United States of America,Xbrszkwtzecxuirdarqjiqihrtw,Mizkwmlkvigngsghyvqsyqojghrfigzaeglyfovejxzaazbjmbtc,PA,M,Yellow Knife,1-602-995-8831,9.0,Gdmowrhyvkbskvkn,25.0,721.0,,51727.0
Lcc8607,lpnovywojj,O,m,U,483119.0,Canada,QQSSNIHATDUERFZGROCXIPPYPPTMKBDOMROPAVMCHDYHKVN,ITYPAC,OH,W,Providence,1-812-512-5994,5.0,Lccufnqjxmw,75.0,805.0,Pantry,905678.0
Tzv8608,Zvigi,,,,34284.0,Canada,TIRXBRETQGLUGQRPWHHNCVYNYPIGOAIQK,BEJOJNWCFUTZYAKLIFFOZJVQXZFGDUCRZWDLEYBCLZFDMRUUPEUGUCRLKTLIBUMK,ND,U,San Diego,1-321-001-2660,0.0,Tzvkkruzfgjblombcpebvv,29.0,468.0,Apollo Group,3099198.0
Qrw8609,nlyshkkmvqan,r,,,168208.0,Canada,TTGIGQDTZIMRQBVCVGQCBPYEWIOSTZSZOLRVEKPWCFAZJNRKEZOZZLKWLCGMLOLCEGLWBUBDIBTXT,Icjxksfaxllfkkjywgnicgnivtrjlxelpmtzativiullyfcb,NV,U,Lubbock,1-826-770-1095,5.0,Qrwsphwewuwropvndpmugedur,34.0,696.0,,1286722.0
LIP8610,Zqwqu,,m,O,267730.0,Canada,OXXXBCFBEJSUYGTRRX,UNVXRRIOWLADQCIQNXFLOLORVVXBJOP,NJ,S,Chandler,1-873-041-5255,0.0,LIPUJAUTABMVVEPLTJK,6.0,631.0,Target,1751169.0
Ppr8611,csykxrqa,,m,O,24383.0,Canada,RMGGCIAXSWQCHRDBHWMSOYXKBZAPQJAIFXSLKMYHSJJRSUKRLGHQZOFP,Rshxlsbclfmuusiinzfulweywzatowssuvmuvclktuginvpqtetkwssfmgodr,NJ,S,Lakewood,1-068-155-5393,5.0,Pprmnidvapkkxemakghiaqhiis,7.0,463.0,Thor Industries,372631.0
uni8612,YJOLLWVXGI,,F,O,286678.0,United States of America,Pkzajzniqkanhvhkvxakoccjabvdaslbxaltbylimlnmffvmxpneqbdiidsz,Wxscwqtdvuxrq,HI,W,Providence,1-882-260-7195,3.0,uniiuotqnvhdotdtsju,9.0,740.0,Terex,1710525.0
Cpp8613,Vdfdvc,,m,O,380955.0,United States of America,Btshfaulkyaexkstnvvmrzjjvjhvfhpzzxsxdfhfmonezknmyex,Rlzjumbbiaqaqhywjfbgezttenembwlxrtswbu,WI,M,Hilo,1-098-530-1114,5.0,Cppsw,67.0,627.0,Synnex,380664.0
EKG8614,pggxjzgf,N,f,O,,Canada,Dcjpgubxlsxjknxpuottgnkwedsoplom,Wsbogeykooahtpznky,VT,S,Wilmington,1-607-564-3039,6.0,EKGTHAMSHMBKSCCUTXNXOFYKJJ,1.0,667.0,Arch Coal,3917347.0
Lyk8615,kwttu,,m,R,428257.0,,Hpsvqiqqbweqydzevqzuuqnjttdoducwlmnkudwuw,,Alberta,M,Thousand Oaks,1-723-344-1106,,Lykxhuckcaodzdtyvoiuwgomq,0.0,467.0,AnnTaylor Stores,13701.0
Ecf8616,rcjjmxviwjnu,,m,O,15535.0,United States of America,eqohsfyltlwnbknnqdhjcfhtvqnlqnbio,Wpzbj,NY,M,Overland Park,1-802-452-3334,1.0,Ecfsletrgasqlszejvkyuzusunm,28.0,510.0,ENSCO International,
Ieg8617,Uymvw,,,O,239390.0,Canada,Lhuiylhjpovtnsfpchqoizsnteligcxkgfyeznvoncfegtbxubtdohlujtraml,Gahgnwfibmubqpj,MN,M,Mobile,1-202-386-1911,5.0,Iegvfutevnksoqfbkzbovht,41.0,807.0,Children's Place Retail Stores,1116236.0
Ohh8618,Mimyduak,,A,O,315629.0,United States of America,Iujmmqynhlckfgwsyth,awlohfhezcznrogwgrpxlarxrz,Quebec,S,Bismarck,1-542-478-4325,5.0,Ohhlykmlzcjwtwdkhpiqgqh,30.0,482.0,McClatchy,466597.0
Jah8619,,o,,O,120199.0,Canada,RDYGGOHBEKPLBJCBUYJIEGPKUFIOYPLOREJAEBRCHZJTSGYEJXMNLNEFGUGNFIKTWMUVT,Acafshpir,IL,S,Honolulu,,1.0,Jahlnex,21.0,548.0,Tractor Supply,3972709.0
MGK8620,Odfddkbkyorm,B,f,O,352122.0,United States of America,Cltdoxtnhjzqyrzzxhbvxxeuolvcicduioawjcklbmegxxdftcqcevhbqbuwyjwzjlfb,Avrahqflzygq,MA,M,El Monte,1-699-573-8968,4.0,MGKFOME,59.0,742.0,Flowserve,2526150.0
odd8621,ZJVNHQTJ,,m,O,327738.0,United States of America,Eggqhecoij,Jssapovuedhtpnsdtgwxuhlyletwxsbvbljiam,WY,S,Fresno,1-938-954-7452,10.0,oddoxlebhzrxfoibcbxzixje,77.0,364.0,Automatic Data Processing,
Rrd8622,nhvvsxav,B,M,O,437384.0,United States of America,Qlsimfwnevhhvzepvkcgzqyskebrpiawjdupwzvfexkdlcddrirgz,rxyvhzldmoqsavhdhtnejohewrilveucgly,OR,W,Waco,1-536-647-4535,,Rrdaqshvworazbvgewze,7.0,766.0,Spartan Stores,685534.0
ruk8623,BGGDUURLY,,M,R,438148.0,United States of America,Jqsjfbythtbmsqxukrkcejvynenwmtqtqvcevdscz,Mmefekuxwgz,British Columbia,W,Springfield,1-178-860-8809,6.0,rukmywd,33.0,633.0,Fastenal,2177616.0
lvt8624,Bixbcsdh,,f,O,238095.0,United States of America,Jkozsibcokziaxkplebdcgdthvpehuprncxqsadkkdaxymigjobv,Wyhibjrpcltifptpkkzqgjd,MA,S,Mesquite,1-663-114-8399,,lvtwurbkqakpuvhytvtwnu,5.0,414.0,Cardinal Health,1581228.0
Uda8625,RLCCJRJFGGP,J,,U,358004.0,United States of America,Nqgoqwjocdyslglaxjxnjapxivftelgtlyjwokxym,PJFCAIEJIEZNBJMVWGFOCEQDKPHTXONM,AL,W,Concord,1-851-113-9435,2.0,Udaqjfk,59.0,793.0,Chevron,1598833.0
Crm8626,wemgobxlih,,,R,182608.0,Canada,HDZZELHNJCQUEAARCJTNWUIHEDFTTMLXQEFJRVUZXEDRBCZIGNYMTGHDKQRULKFBOSESCD,TJGRKKJSCOYBNHHTRWZYIAXHJFFNFAMJBPRAUPILQCVUTCOUGQQQYKS,NH,U,Moncton,1-312-728-8737,,Crmqrtrl,44.0,805.0,,3676593.0
Grm8627,TYWAZMLUVU,V,f,,466060.0,United States of America,,Kjtazyopovzymocebnvusvvwxbocahyrubufjwshbrvrjgqyqrunbqkdghqbeioatwpp,Manitoba,M,Chattanooga,1-626-454-0801,4.0,Grmoxixflhkjmnywtdireci,79.0,422.0,,3009737.0
Ovo8628,Bsoff,V,M,O,3903.0,United States of America,Uxgerevuirzhmkcehearrdufpbohtllwdtashhmqztcojoepikxnlbtgnwwlg,Hrfegexhqdhvdbxgaxnchtijrzstlqsinezsvpllaidgqawfnkzzuwjceo,NY,S,Dallas,1-905-482-0584,6.0,Ovovvswsdhutbkmoipdrs,68.0,752.0,Sherwin-Williams,2080213.0
Jdc8629,zwilc,B,,O,100908.0,United States of America,ncjnvbcrzullobhcgvqtjvvlyzxtvqyjbycgzaxyigyqquuzthbttmrsodpevxvnwgpgumf,mddjuhauphnzayfgftiabojxgmxqerntydqnrczjmclkbkqkwsvktd,TX,M,Sterling Heights,,1.0,Jdcnhnywdqtysnhgaw,12.0,687.0,Vulcan Materials,933963.0
tis8630,Dwjttpomuq,g,m,O,311283.0,Canada,MSGNUJGWGGGUYNBUHFXPVWDZKXLODMBOQLLXUJVYSPBEDEIYIFPDBUIRZTREJ,spjunnofqawzevzdlhxuoitnsajsbhifjyeusrjbmgztldjg,IA,M,Houston,1-838-911-6678,1.0,tiswihktbwst,,792.0,Children's Place Retail Stores,1880755.0
Luj8631,lvinlf,,M,R,230973.0,United States of America,QJQXOJPYINDHJVBDOIUNKSXSXPIYIKDWCVXH,Ivcvqheclnqqwbbqwcukcbicfxqhisutfmqsznr,NE,M,Oshawa,1-588-517-2606,0.0,Lujyoujmuqmilcxltw,62.0,380.0,Bed Bath & Beyond,2051176.0
Yli8632,Fzxzmnjyd,,,O,244848.0,Canada,kaeakngwdwnikajrnnjwte,Jxtfsufzdawfgmtigtwidomhdxrqdoyrjqjvhufsvzwfzmchaeieo,WA,M,West Valley,1-810-255-5287,2.0,Ylizjatmvkdzazarjcikxmr,61.0,323.0,United Refining,1860178.0
Tmh8633,hxhjcwvm,,,O,161668.0,United States of America,Ebdrfoubadbwjlcrcvzwqxnstyzvuyevalcukkwdrftddtjsaonakwvilxddaktoukgdv,BJOWYOKACYOFHVWELYXCZIIFOGGFCKYMRMBQYKHCCSBWHSAMCT,OR,M,Newport News,,10.0,Tmhwzizqroepjvrnevhao,50.0,750.0,C.R. Bard,319676.0
Wio8634,Gxlwnss,T,F,O,292038.0,United States of America,Bmyxekacuvavkkggofaagmukojrdkfdufagzlfhl,,NY,U,Coral Springs,1-150-645-7298,7.0,Wioryact,,302.0,MPS Group,1539682.0
Xdt8635,xvuhsfduuqt,,,,303312.0,Canada,BUUVANFOQOWKAUWLXIQZHAWFBAWANXQTKKKISJJSEZLGZOWB,foezceqfowrcwtycdcnqnendgsghlbsaxtbeyz,DC,M,Yonkers,1-005-312-2157,9.0,Xdtakmjgypwsehimevgq,,716.0,Staples,3874159.0
Jra8636,uftidcxp,,,O,446840.0,United States of America,Ptowqwdhszecjilfqymnsdsoyvtxbumo,Yfwdnyseyhaeqtebuwkruqlabldiimoisvlqmjbukjxmljhyyygqmuon,OR,S,Raleigh,1-043-276-7064,1.0,Jrawwlguyybswsujezbmcdyatvhcxr,67.0,809.0,Constellation Brands,1299762.0
nap8637,Vkxdrwan,O,,O,331467.0,,Yunkggtlhvbhsgyxowbaycidqrcibxmtjcyfeovgqjqgovcuznhxxtoomfgnxyxabdrnrrco,poveokgzvngneedqqpyaartvzhcposts,New Brunswick,S,Brownsville,1-994-474-0701,1.0,napdwhzcmtkbguhlhecltrmzecnv,56.0,353.0,Century Aluminum,3656160.0
WLS8638,OFCXQOKFBW,,,O,323172.0,United States of America,Wfxbbsetdlhwxbctou,HKGWEBNCTZSVILXCJLUXVJWRQBLQMPKSKAERMPIENEHYFKGCJDXEEDYFSWLZYFJURU,GA,M,Riverside,1-191-153-6993,9.0,WLSZPYJMKLTYE,29.0,715.0,United Natural Foods,2713421.0
AZA8639,UARJLVRYN,r,M,,279223.0,United States of America,msyscasfsxao,Nebqnnpocxbztqlfs,NH,S,Hilo,1-654-579-3493,2.0,AZAKACIBIFFOWW,80.0,749.0,Leap Wireless International,652312.0
RSS8640,Hbhrgywqe,Y,,O,345826.0,United States of America,ywlsrxihfdmexurptkfhwm,hgktovnalubwbpxwstwkdvdehkgghcugprhmdzijdzvhc,SC,S,Salt Lake City,,,RSSPVQHIUSFXXJBYMQJZ,31.0,717.0,Applied Biosystems,3968552.0
Gwz8641,Nhbqx,q,,O,361491.0,Canada,ajnfiwnvw,Osiigzzosuosvalsdcusgxfzgdxvkjlqzqetkmkoqdxuqawvmbdckr,UT,U,North Las Vegas,1-205-807-4212,1.0,Gwzngultgrabhe,22.0,365.0,Lender Processing Services,
cha8642,jhhfmtwuu,,M,O,,United States of America,Xduhvzckgmrnwxmwbxtesqorumb,ERJJHOLNLASRVMAJBNCBORTPRWMELFRRMUJDVEZQJCNSW,AK,D,Dayton,1-747-125-6020,2.0,chaofag,1.0,790.0,Walt Disney,1084486.0
ski8643,EJJKHOA,,,O,147834.0,Canada,weywavrlxrgenfqxgugfyttznzjqsdulhuywomfcgxfgjwungvrjjeutpkvtw,GKXWUJREQIFMUDVOBBAXEODOUBFLAQHFAXIQNJDUVWTMNSJICYVUGUFJXWLIHHDTIWQZBRDULG,UT,S,Provo,1-630-670-6165,,skiql,72.0,408.0,Williams-Sonoma,1079320.0
Pts8644,Bvuxznyi,,,O,133569.0,,wrmrqmketarmkzxzwccxmniozt,Ehfsgd,OR,U,Stamford,1-696-606-9301,5.0,Ptsdmghmoclpmcicwngxolmume,74.0,499.0,Pall,714914.0
Kyd8645,Rbomamijx,f,,R,399901.0,United States of America,Ivzrjyelsyyopdfvfikiyfyfbiwhcdxwcsetarihdupcbwhokrhtcwxhhcvvrxi,Ndxumfktskvojxzcfylznhrhempznrbgtmlhkbtnfzpsilqjneurutgtmuzfmkastmkgsixa,OK,M,Mobile,1-228-334-8435,7.0,Kydgylhjl,63.0,708.0,Safeway,681347.0
XVE8646,Idmnm,,,O,204417.0,United States of America,Layvbomgracufexzd,Ejmnqpqjkwoyswxipyasdvfygkbxcfbls,ID,D,Vallejo,,10.0,XVEMHJAZ,19.0,690.0,Goodyear Tire & Rubber,2316964.0
Gln8647,Nlcfny,,,O,433420.0,United States of America,Uxxexlvrcubkengebtbanndixpktslfzraruajjxqddxp,ZXASBILJTFMAWYGSVPXXTQCANOWKMDNSQEILJBHQOJLMCKLUNBLWHXVMIZJVRNIEQUJFNRETQ,NE,U,Idaho Falls,1-311-782-0987,4.0,Glnuivdmuxjdnzskmtr,88.0,690.0,Celgene,690842.0
xzq8648,TQDOQX,,,R,276253.0,United States of America,KGDHBBRUTHVAAIBXENTVGRGVRLXUPYEVMXKXAHJALLXIOHYLQRK,HWEIPIXTBCTVWKDPGNA,AZ,U,Oxnard,1-204-228-2576,2.0,xzqcwnkllwbqbhi,7.0,365.0,Targa Resources,2169282.0
Bme8649,VACEDPKBNYO,b,m,R,381418.0,United States of America,Xvljtrgmoghdzzrildcxceplcixgiaqybdgxqvfhyaueefdqsi,,IA,M,Warwick,,3.0,Bmeyfxndudqvyjlhrawelmyxmazch,89.0,603.0,Principal Financial,3731300.0
Tfu8650,zonpa,,m,R,2348.0,United States of America,ygbsv,Gsqvequpfvwwvvwufaspjvmeahkrxfhlyjrmbocwpbz,OK,U,Greensboro,1-554-216-5900,7.0,Tfujefakmcalikaiweggabui,32.0,844.0,NYSE Euronext,1654506.0
Acu8651,Gurdo,,,R,169615.0,United States of America,Fzxqrvbxqdsaqcrabzhnocbveulwyvgkjdjpazianzadqdpntwjukkwsonaz,Pxdgljfvikit,NY,S,Chattanooga,1-534-526-7325,6.0,Acupyx,14.0,400.0,Charles Schwab,3625783.0
MET8652,Bjkzvezqktj,P,F,R,106946.0,Canada,orsnyiihotfvhmfdzmtrkgcvwxeharbreofldpmbuihlykfvpaedlzglyeglgvjfgjfek,Khinvtearjdrbkepqywgdqtlnelhbkymehrjnnsevoeswccpfyqcdwkxaacgxxebaebripbdxvfs,IL,D,Madison,1-379-175-2676,10.0,METLBA,66.0,599.0,Robert Half International,1981626.0
DXL8653,KVWBKIOJITAM,,M,O,236679.0,,Ksnithqzjqxlokpsjwwzngsuedckakdsyaqzifupgantyhdppplhwsenaelbsot,Qxbdryvbhdftcbsktebepizppvmsbuwjwsbwhxdebjucgjvonysbfuqewpxntdifttjo,HI,M,Kitchener,1-292-920-0664,,DXLHKEDXJJFUILWTYTUAHCN,51.0,721.0,Virgin Media,2075234.0
CML8654,YNISNM,,,O,81599.0,Canada,Zujfazleitjekpocjjpmqhqoqyofvdhvttayjeylkjirnsephs,driakjaviqtpgbcqgbsmyeqhpdcvzweakdpckvxpgeoxxualypcwoubkbaetil,Ontario,D,Dayton,,0.0,CMLHHGBSNDBVSBN,34.0,703.0,Foot Locker,265619.0
hvs8655,RQIOUPCUNO,,F,O,270045.0,Canada,lakdsoxjbzsjqjvehwgsjcqugfwdaxlxfokueqixlvoqblhnjkbikyfqcdiphpbsxvbi,Jaauhpjakbwcljzwxbvxazfslkyzfcgtjvrabsvoetqbyhkyhnqipudbrgtgcctwmlfp,SC,M,Dover,1-729-142-7718,7.0,hvslgbccqkkenfjtdlqugjpskbwtg,49.0,828.0,FPL Group,1085675.0
ZVM8656,Wexxqgkzea,,,U,,United States of America,Hzywbiqygwlrnohiatrllskv,Ixoaxjdixfbyuglppclskklflryykyvyqqgbzqjotqwblkeqbxrv,VA,M,Windsor,1-561-470-2093,0.0,ZVMCL,23.0,704.0,Textron,3561728.0
stc8657,bwuffqwm,w,,O,206028.0,United States of America,DPYJCCDPHO,Aecyryeuhjthstjaaaausriedbkarjuagf,NE,W,Pittsburgh,1-802-635-5439,3.0,stcbewpwaszuyqptvgrr,7.0,304.0,Coach,1700081.0
udc8658,tvprsqbifmer,l,F,O,193676.0,Canada,,zleboittfqygmyctsztzczkzelucbegrsrvpqnvnrirvxwxlekvlvdyxpdmikouogfpnijhksbsgk,DC,W,Rapid City,1-085-501-4523,3.0,udcdwkxltwkvubajfwd,23.0,802.0,Burlington Northern Santa Fe,1531899.0
Ywz8659,PEMOX,l,M,R,,United States of America,zxcrsopzchqsadcjjwq,tsumdhpmipwnkmcvjtpiqiaicihpawxtlbevtkrgxqnwkycokvlahccrqt,NC,S,St. Louis,1-118-667-3641,3.0,Ywzlkagjg,21.0,,Key Energy Services,2241976.0
BRN8660,Fkiioaz,,F,O,,United States of America,dggpzmzpoum,Fcnfvjtgtsucgjrzgptncbvvewemykllnq,WY,M,Montreal,1-277-090-7072,10.0,BRNOCCYKRKDWKNXBODNSB,58.0,549.0,Constellation Brands,2613956.0
uic8661,Suepypgbisvb,I,,O,,United States of America,INKHSPYRKWHTIKCZDPOABWSNNMVQWQRJGXFSWFFLPYXKBLNRBCHMNFBYQX,Ktkbmqwxvghxecdmmgxsapgz,Prince Edward Island,M,Garden Grove,1-604-976-8273,9.0,uicamhij,46.0,328.0,Vanguard Health Systems,3938637.0
owp8662,htibh,E,,O,70188.0,Canada,Ikqnjubsnvxuckkbbv,wfexjicphgflmjfnpnqpfobvmoacrwqscbjcmkyodnaznongjfqepfqsljqnn,ME,U,Laredo,1-126-740-5799,5.0,owphozgqxpleacyailqijiuhcob,71.0,580.0,Dominion Resources,3419279.0
UTA8663,Aprseyj,d,m,,104516.0,United States of America,bgpryahdncugupykvnwiltegpdwjllfaujdmktfaycgvrfsirhbnyulybxkwipgdbxwjaslxmhkmv,Agkwwzprpjuebaadqbsohghkxxpntfnqhdgrcpynhiznleesqrbdvl,VT,D,Yellow Knife,1-198-361-8831,10.0,UTALVF,79.0,630.0,Werner Enterprises,425069.0
cak8664,Ataamzyieqv,A,M,R,299276.0,United States of America,OKCZMHYBJVQLTXTVALXOGIEKJTXNTSQSESOZQYOQDOTT,Mkxxjbhidrcloemfflwlkyqhcxnhvgibgmlqroprsjqeefkitjagiu,Quebec,S,Buffalo,1-124-558-6862,4.0,cakjjmwlqdtjnbwg,89.0,607.0,Walgreen,2747347.0
QSW8665,welaozue,,,O,346240.0,United States of America,Aaorjtyiaxuzkobeqggordqhbrmjhzysefmni,Enwtntxfbqiyltjibpvdqgdcaroyqwjk,IA,S,Inglewood,1-230-409-0929,5.0,QSWVLLWYVRHJTPIYAARRSNY,42.0,787.0,Aon,3853851.0
Bst8666,Tlprn,,,U,394524.0,Canada,wcqlitbrteylgxyyoxfzwynyuonmrsqvpzsxmpfznkkkvpspsmvqevtuddheiwti,Zkklpxylmgmvfxs,Nova Scotia,U,Jackson,1-085-296-6065,7.0,Bstvtmx,96.0,356.0,Chemtura,505520.0
exb8667,Acukzlcjq,g,,O,247595.0,United States of America,Myxpbmrbtcaihnivcfovnykdsrkeleoqjgvmafqoziepqpqxhaiiheeliabcolddlmebrsvigjemow,ANHUJHIPQBDYCIGGHRRBIGXNVNLVCIQDPLTKAXZY,British Columbia,U,Buffalo,,4.0,exbcynbkpvxbalwuqhklum,16.0,593.0,Delta Air Lines,1347208.0
IXN8668,Okefipvgxpqe,S,,O,441473.0,United States of America,Ailwxbmkptukn,Pcygaffedhqrlnftgogrjwvuubmvrgyfmr,MI,U,Colorado Springs,1-316-728-0218,3.0,IXNHARNPMMCMVQJALL,58.0,449.0,Children's Place Retail Stores,2324716.0
Gik8669,ZAAVRGUSIAJ,X,,O,279929.0,Canada,Tdaqclbycrmripbtepwjcvybdjjbhwgdwycklougeccbjopr,bzuqeaffmddsbmeifygiogpgexwaandkyurljoyazpplxuxyfhprqefikt,Saskatchewan,,Santa Clara,1-604-092-1658,0.0,Gikbiesnjhfhjlfuh,,782.0,Century Aluminum,3076472.0
zis8670,Itmdjqturcqg,,F,O,421060.0,United States of America,suyslzxeddstbdnzen,,WY,,Warren,1-860-872-9403,5.0,zisic,43.0,705.0,Nicor,2733940.0
dcw8671,,Y,f,O,407803.0,United States of America,OTLPMICKSESZBYBSEKCNFMQVTHBFYYKEYLUHUUPJKAFJXYGRFL,Wnlkasqhnxolltramymdvjnfpjxotjhcpcnjsnupidasgxwefolmqgsrnsfqzmsbzm,ID,D,West Covina,1-131-871-5621,9.0,dcwjgnxmxlultbenmwpleadqwvlr,35.0,,Ryder System,2485282.0
ame8672,VPOGTXRI,,M,O,384831.0,United States of America,Edvkghlobpfyweerencfbfbymrocarkmiyiwdszjlftvfzbhhsxvnuwmvjcrklquheprefktcv,Jclaxwaycoglzaecspwbmrmussdekdvvbcefzygafceginl,FL,M,Baton Rouge,1-478-866-2041,,amecb,63.0,474.0,DTE Energy,343843.0
Nvt8673,Rnbkmwflpq,,f,O,467196.0,United States of America,Qobaozkxfklgsvkxpdpyrvliboiebdgtrucwimntaitadrrogfg,Kkxprhifvtdecavbbdjuhieekcsepvawwmsmlnnwwjcbitpjtjntxagfg,NH,M,Anaheim,1-267-577-8436,7.0,Nvtdnnvvvjwvynjlchlnbjcslhclq,78.0,406.0,,
Wpg8674,WWUBCNGLNYD,D,,O,282344.0,,Hofhaoxfcjlbljazynmkcwwafumwuidswhhaqlzsolpwgeapamokspzdortbbuoqrabuheb,rwplqtjukaccaisudigkmtoymdagqbohfbjmtfpwdyatyazkficsvvcfmnbmlwu,WY,U,Anchorage,1-889-409-1975,0.0,Wpgluxgozrbmsywcax,79.0,400.0,Dr Pepper Snapple Group,866773.0
Gcv8675,Hemqg,t,m,O,242400.0,United States of America,Emlzo,Zktddigfvljaixcgagsawzykqeauygkoveadvbxnvcgxhqcilmhdrjcwizrhyffnmia,NJ,M,Sandy,1-277-613-0038,5.0,Gcvkmuopqfwslrsirwni,34.0,593.0,Vornado Realty Trust,2727185.0
xxu8676,Pienpm,p,,O,403347.0,United States of America,Bqygdgvozxooxhxzqpkreiatjcszflqcqbpdvczgzdgiwnthhlzgxuwxxtcdlwzmmyewxzuchuqffj,Fzirkgfuxqzfujjxeychyuvsvlosrnjsqejkweippfmmubfggkhmhncdxyy,Saskatchewan,M,Savannah,1-161-099-3879,8.0,xxuehkozdnaagxp,3.0,496.0,Sysco,1597163.0
xqv8677,UCOHXYY,W,m,O,297557.0,United States of America,Xzzbstekfpgu,Zvapc,Prince Edward Island,M,Cleveland,1-532-661-8795,7.0,xqvkrpokbxqdrzjprxzmtel,90.0,396.0,Auto-Owners Insurance,3310285.0
Rte8678,bajhplc,,,O,361968.0,United States of America,MDQNHPJFLBVWCAMUDTASXPSAX,Kylfjldhaipgkhqftieecnujyswptgkabjgxvhnbicuibruidelnhnpcigoxit,TX,M,Washington,1-790-105-6683,7.0,Rteeqxrlh,91.0,666.0,,3752212.0
yeg8679,oknumn,,m,O,371594.0,United States of America,ZBFXXVPESFFCSJ,Txxrezyazibbcjwyerzkcwwgrkfxtlaomrparukpwebticaygoxwytx,WY,S,Glendale,,8.0,yegozbztvqnndsu,4.0,339.0,HCC Insurance Holdings,1637216.0
Tiz8680,fllodmavl,,,O,180774.0,United States of America,XITIRHWVYIKGFBTFUPNYCYPKDCLRJDZ,Kbssxunvfyqnxtrhlsndsqwtqo,NJ,M,Corona,1-517-247-1982,7.0,Tizafupkkkgewdxrhsin,47.0,580.0,Dick's Sporting Goods,1554195.0
RXK8681,CUNWRCPDT,s,f,O,115346.0,United States of America,Ubsfilzwtrxhqssjgnkllemupndwcmvrkbbwfczdlivvjyatcpdyiyjtoqvcfklt,OACQVTAUTDXNSALHFWHRJOGBTRHLBTAHWUTXRJWRDH,OH,M,Austin,1-124-907-2076,10.0,RXKJMVPYAGLDQLNMFFNAAAHOOCOQDT,91.0,488.0,Iron Mountain,
XMW8682,Qljmhipol,,m,U,414519.0,United States of America,Ahhdlmnefcjovebtjdfxgaiwantpguc,Tujgprmwwgheampglymmueirocgjpyrhvryjychlozysjjzqzeocnpc,HI,M,Stamford,1-426-308-8028,4.0,XMWAL,93.0,472.0,Hess,3243516.0
Etl8683,lfpxxsvqqfai,,,R,328886.0,United States of America,Ivjrhwxvxyoevhptfbcnsbawxmrobbfkiueljroym,Nrtieajioyeoaejlrbzmrfxkyikjxpne,CO,M,Vancouver,1-308-924-6128,,Etlwcswaihfcfxhndlfraksboscacp,44.0,625.0,Danaher,1575746.0
URB8684,Venboxurii,,f,O,,United States of America,HGRQRVRFPFRKTKRAYEHTXHZCJXAIVWCCMDSUIMUXXJDQMSFOQQWOEDNXPXG,Pwpqvhipnhvqrwfdkikofyjfuevpiqkwtarpnxtcyoroilyzzdslkqbvqiiohtdn,KY,U,Escondido,1-566-614-5439,5.0,URBDZICHOOHMJYY,35.0,731.0,Barnes & Noble,1420362.0
Aad8685,Froezukt,O,M,O,155341.0,United States of America,rigrldrewdqepabbzoctxkudocmjmytlhvqhknbscwupoaviyywcdxdothlytfoua,ituogckvrpsgrmtronllzvuhapgcwmmoxdrcmbkovnwlbmsrujsuejzsuxbgjxfhpppi,WA,M,Augusta,1-900-742-0811,10.0,Aadtd,89.0,597.0,3M,2265704.0
Efu8686,Mtwmtxh,M,m,U,403188.0,United States of America,Seqveoqznjgoxkifsupcsuaubetxceojmyima,Cltjxoyxtkrxklrawuojkoqnfjgcqqtepyibfluhunuhpayvxdczpaplapkkisuzsjtbtl,KS,M,Nashua,1-362-535-4147,0.0,Efufthozhwsq,90.0,789.0,Smurfit-Stone Container,806681.0
eeu8687,yggygjfcqq,j,,O,44208.0,United States of America,ucswwutiaqhqefzrvomlssokpjsuqgvruaawpvmtssucxilydjnvflvkjt,KLQKUIXKFVEATXWVAV,NH,S,Buffalo,1-088-611-4747,1.0,eeuipdwqrnuckd,81.0,745.0,AptarGroup,3913762.0
Vnm8688,wceabvwagbbj,,,O,409011.0,United States of America,uxapqyegkd,Lfdpkrvsvytufrwjkzjfsxuzuqkyugpvldzogojezeshxpirbworgdqqeeom,IA,S,Madison,1-057-920-6008,2.0,Vnmbblxbtljmzpbrkokjeig,2.0,750.0,Graphic Packaging Holding,193717.0
RVP8689,zcmfujrx,F,F,O,,,lgtmjntipgqbpkjspwtuupujzmjjndnlqwqibzkrdmpufmxjqd,DYMVDKSSBWOGLBFDJLKXILEXUBNYQYHZGQEMVOQD,MD,M,Lowell,,3.0,RVPDMGDPQFRIBLDU,54.0,533.0,Maxim Integrated Products,1013981.0
