gncd,pstlcd,ddrssln2,nmbrcrs,frstnm,wnrrntflg,ncm,mrtlstts,lstnm,mddlntl,ddrssln1,stt,phn,mplr,nmbrcrdtcrds,nmbrchldrn,g,crdtrtng,ntwrth
DBU11176,,lzibncalsxjpufinlvlbxdnjtcegmxzzcbelbrj,1.0,Ygxuhrpuwurpjvzqnm,R,161122.0,W,DBUHIBJB,n,Boeyyeqdjvednnlasrzujquhcrtqggjcgfmexgdzlcotpfjpkvulehhwv,CO,1-112-704-6386,Genzyme,1.0,2.0,16.0,407.0,2273609.0
rut11177,Rhafxpalo,grlltuylxfdibzwvspjusnmnlaqrt,4.0,Pvaxpmyvlffcgawomcjgqllkxf,O,435693.0,S,ruttgegnqsfxdrlng,,IPXKXUIIJPP,New Brunswick,1-651-034-7223,NiSource,5.0,1.0,42.0,506.0,362348.0
Lmp11178,Shmxek,Eqrwdceanzmryanlegomqobtgcaauwzyduqrtmimzaojwfp,0.0,MEGLLVCASBCQA,O,398338.0,W,Lmpqryoh,f,Sdtesnnuloiyxeplsodmcrnlawbvsdkvnktlbujrgtwharhd,SD,1-704-918-9418,DTE Energy,8.0,2.0,92.0,729.0,1681106.0
bsk11179,Hnvifgfx,Vvlkobjahhruvcqxvtbnjnvusdjeistllcrojdwximakzviuwg,4.0,Hpptgfuccgdkwkgumlqcccs,,488768.0,M,bskvpezhpqu,,Wlrkcnasvvrhpndvxoachtmxtaorrklmyjnxdqlgkocaqdyplzteagppatmulhnedegxxok,LA,1-337-824-2522,Hayes Lemmerz,6.0,0.0,7.0,600.0,3920130.0
cbg11180,cxfpgv,,3.0,Ewienyfbdjvivdezwfshuxprizjltg,O,,U,cbgeqgwtewidbfygawizibdfdauc,G,jedgrkhqwmuagxvwiafwhetbxrkwmwvbvpek,Newfoundland,1-752-818-7537,Warnaco Group,3.0,4.0,70.0,632.0,529892.0
obo11181,Zjhaquijmp,Cfoolieixcudwumnandpxamkjkfknowvn,,Sqowirshrqetcsntv,R,9811.0,M,obohyevrzqvnxdmywgludoiaaubnp,s,EQKVQXBONXVSKNLRXUOSTYVCLUFQRCJNMXAFCBGML,NE,1-889-003-1757,Qwest Communications,5.0,5.0,88.0,569.0,1316910.0
Iuo11182,ETJXFPYEZBC,Gmociatonrfcqzkek,0.0,rwzbcdqbgudtnjvgzp,R,150917.0,U,Iuowqfv,Z,ojmpxdifwusnurndgrnqaidhhvysufdfciishoxezlph,MD,1-706-238-1831,YRC Worldwide,10.0,5.0,31.0,714.0,3993266.0
ALF11183,iprcibuvcln,brkxdnrwnacknnuspestrwffaxualffyxoeugnpmycmwfedqkmyjntdjnljfgvlcpygtbregiseryc,5.0,Gcjhkcacfccrpve,R,215046.0,D,ALFNDK,p,Hkjapycxiwprgbdskajsbfbroyqsucnvbfktpmqvm,NH,1-046-423-6348,Kellogg,,2.0,90.0,755.0,3366626.0
rit11184,jctintjx,SMPLQILURVDNECONNNBDCSNZBAURPJPGIKHUOWCUDPXLJJSXVUZQ,3.0,ngfbynzktdjqvyatcomrwznvrrj,O,261654.0,S,ritqiqiu,W,Bfpzptasjrigkfd,OR,1-491-242-3165,Henry Schein,2.0,5.0,17.0,393.0,1171645.0
Pyo11185,VKXHG,xxssvtjhrmdfqqkemjskqokxyetomjkrnbpjopfhrlafknyqlxkwilmequbv,3.0,kgdcdxnjhxpnifozuxxnojdufi,R,77193.0,D,Pyouewixxsqmfgmcoafjpnpihrwyt,o,Tjoacsmxfjywdjskdhfdfghtoimdgvtbcbjuzbvkj,CA,1-541-477-9380,Jo Ann Stores,3.0,2.0,9.0,509.0,2323435.0
Lpw11186,Xblegmm,Jdhxmjwuacslxejveeatixdggimnbsfmjoiknkisexkgictqftcelxpyzjtwhgtsdvkcklmkskvpfi,0.0,vednpxxqigyggalikckbsblttbaf,O,43073.0,S,Lpwfeagehs,,ZLGTQWQKOQPKTTUAMFXYNHKDYWONERZNXI,NC,1-172-369-1071,McKesson,4.0,3.0,44.0,394.0,1865281.0
kaf11187,ndthbk,uieobjgnblwwhpfrojyewlck,5.0,Zjfffntpwzpajjpf,R,299466.0,M,kafckxugxnbmxjv,,Nolmpyyezjmwvqfbotdpbcrxzyfsmzkewfovqxkjwgebmnsdwkdgkgphmivrwixotrxvw,Manitoba,1-345-079-2973,Duke Energy,5.0,,,469.0,2256107.0
hfa11188,krnlvhoomtr,rmvsomcctjewneiiezgxpajpdynpxzhfhtikwqxfwjxiipiohuvrcwevdnphcrcsdxaoqoh,5.0,JWSJTXXE,O,326132.0,S,hfaqcqrnkkugoeomiksrisimli,r,,WA,1-313-392-8834,Iasis Healthcare,2.0,0.0,1.0,543.0,239712.0
VKJ11189,Kewhsjqtard,EVQRXDGZEFCDSRKRYUZBNLQJPGOMMHQUELZ,3.0,CNWWINJDEEWPPCWRQRDUOPQJIJM,R,8576.0,M,VKJYEWAXVIQJPQATRJ,Z,Sgticznzifwkvbhdykexaarrxowuoyxvjioqhcoehs,CT,1-247-836-1176,Jack in the Box,5.0,0.0,43.0,411.0,3703928.0
Ypr11190,lbtbkvfmqm,Okakletrviobgugtwqudffvslvduqnzkreookc,4.0,qtfwvxzcxtpezual,U,474322.0,,Yprghaimogfrgmjdmigzpunfmkeex,N,,NY,1-063-237-6978,St. Jude Medical,,4.0,85.0,442.0,1949025.0
Znt11191,Ymakqtei,YZGEJZY,4.0,Wssnxvhuzovbjcvowtumbujzbeta,O,470593.0,M,Zntjyxesuepvrrfxxjkpj,i,Wmvalsvlyzcobnbxkouwcktwxqcwxefrotlcvlovuwiukartaowbuc,ME,1-973-100-8690,Questar,1.0,2.0,27.0,431.0,2159875.0
Vsd11192,MOJIJHMPRT,Djjmlqsnajrhuhrqrmrmlzrjaqeplfgqyimewtdcclvsrmm,0.0,SEDCYSZNGPQESJ,U,427824.0,S,Vsdlowryegrjtwrldlukzexwtv,,Rbhjptqziqvhqxleyuibiunpidswomdihjqtkrclbkrzsf,DE,1-954-797-1843,Staples,8.0,2.0,75.0,388.0,1283011.0
Jcm11193,DGASKWTEG,udlawxvhbbfbwflyobfeabttpcrrmoyajvbshbynrqidcduuqzsfkncmo,,WISXIUF,U,254388.0,M,Jcmpxcdqizsdgwyjluqrbn,W,pgftkeymm,ID,1-775-847-1133,Owens Corning,1.0,1.0,89.0,314.0,3212581.0
Dtx11194,tjxqcmxspl,Wohzanxecajziehgfljyfgtgttwkaajmeemooxjtgtacuecletr,1.0,Vtzxrwglqvovvftehfwewgpbecurgr,O,66442.0,U,Dtxolpbstspaatucdawkrm,,Skyajkrofkyfhyqowddyojqlsozlalxbexbjletozzmmfqppjgotgazwnaobiprksozne,HI,,MSC Industrial Direct,,,69.0,783.0,2425038.0
fbq11195,Swqxmuzv,Qbggnkwqojqlrirbbqes,4.0,WRCESRMKMODC,O,43721.0,,fbqvttjrdpqmloobygkavgxoupjz,e,GQPWCFFRJYYRZDINHZGIWMG,OR,1-924-595-1909,Flowers Foods,2.0,0.0,,,430774.0
eas11196,Cnmpkarc,Luihcgdwkabghek,4.0,knfzdnsdflpanokmdtxdsb,,150100.0,M,easiqz,,Nzfjnczeaxjbbpvj,WV,1-079-537-8338,Best Buy,2.0,2.0,23.0,678.0,3500049.0
BFD11197,GPRZXTWJIA,RMHOEKMDSSMZBCSVVJLIGMQQODKLJLOFMDEZHBGGWWFREUPPRFKHLZKIENMVAXWS,,Vvnvbhumprdnhunxnlzzvzxs,R,39659.0,W,BFDQLJNCKLJRSXMVQJHIKO,u,Niknvrphtqqbyssiqoepydqwpnnqyhbwukbthouopxgrwdsnaxualhkujgssindxnabzvbzrpl,NM,1-142-172-5921,Circuit City Stores,1.0,0.0,67.0,583.0,1507535.0
Qea11198,lhqseqytnmtq,Nnqctitcnvaucsiswwflzlchgruprtrthdlncwzixyqonkpcodyajctaqhjxwnatdxiahqdniavjrjb,5.0,nhvfdsiiplpgyatvcvuhzwutmx,R,,U,Qeadqqqvkqyywfdrhdrwi,I,Nexwbveupvtmtwfqjawschquajgldriuhnrdgesxtpbpzpradqdslsrhxgrupgrsretco,NY,1-775-537-0924,Praxair,8.0,3.0,2.0,330.0,3839806.0
Stn11199,Uktpjak,Oeuqxeybfmjowttgraikguyeuqcfszpuurvsserntrwaobkdvfatv,3.0,Cwvsrhwcgep,,433397.0,M,Stnptady,Q,Xpwygpsvonhosszvtofovgnnmpmxyndyvjdluptcagibnnlszmaqp,DE,,Assurant,3.0,1.0,31.0,465.0,1613720.0
LID11200,MWYSRM,nwmmsrpnduljaontqpaogiyxvwisqhlxlwokgztytxnracejvaxbkmpldrgvdpnktdzuyhtf,0.0,Xkugdlndsnfscrbcqelvnfe,R,45905.0,D,LIDMVGNGIBTCKMHG,,,IA,1-683-376-6579,Circuit City Stores,5.0,2.0,54.0,506.0,2208199.0
Iii11201,WFEGXLOMB,SMZWWWQHOAKOB,,ONLKGPKGDANIUSVIEAIVV,U,381845.0,M,Iiidaxlvhayepro,,rgbemitvsxcpswrstuxj,MO,1-032-437-0439,,9.0,5.0,1.0,617.0,47984.0
Okw11202,nzimzlhwe,GUBBAWODLDJCGTOCTXKTSKLHNCDBQUILSCNTGXYFYVAKPBFGVJNFRM,5.0,HXFWBWQKEMKKRFZ,O,425314.0,S,Okwewclbh,v,CZAJBCLVTJFWDDIHAJKBKURUEFWPGIBOFVCMDXD,CO,1-178-957-4071,Core-Mark Holding,2.0,0.0,68.0,436.0,1625682.0
fsd11203,,Nsxtcotcavfizbcssspeleaaxrxqes,4.0,Isuxfameyhxdzjcddc,O,274796.0,U,fsdmpdtwdhjtouwc,t,Giwqnrhfgvulacklnfptrjtjyeiqgrftpzzbgmfrsujhj,VT,1-441-162-0385,Pactiv,8.0,0.0,86.0,713.0,3395337.0
pdc11204,ukbtnjkf,Nkkmeyjokrkivtwhffntglegzxiiclnaumgsxqiowwlrjjdjykqfobmexnqxlhgng,1.0,Rskjkzfsqroptrsxxzomtbhu,U,1202.0,M,pdcphkfzqcjiytcyvrmwr,P,MOAMSWNZSXMMFUDBXWNRVRSACZNXRMOYQMBR,CT,1-241-316-8405,,4.0,1.0,71.0,788.0,2529321.0
mfq11205,NUAAPCSKOYK,Ezkwmzbdpcqiycnlmdgcwiqq,5.0,Tjnddvjklmfk,O,154314.0,U,mfqqucm,,Entwwrcmxguuqivkiuc,MN,1-162-004-4005,Spectra Energy,,,43.0,415.0,3453996.0
NMR11206,rcjmspo,peicxsrhcrdxlneledjnefqkzuyjqkmnrkuapdbpfhphoopjkvwrndgjenwcstamwa,0.0,GCFOQWO,O,483330.0,S,NMRUTEPNDQQCJBLE,,HYRSJEGUULLIVOXLRIHUWVACAZNVMPSE,MN,1-499-031-0004,Monsanto,7.0,1.0,60.0,637.0,2225319.0
Rpm11207,Zghtl,Zxduinrlmawnepevlzdfmizsmmifnmikvmwotxevcnscokqefejbwiivsiabglnyhnwiej,5.0,Hrvelhedfxcjkssyzr,O,65875.0,U,Rpmcfdsnpfvbmvcfflspjvkalp,W,Zeyhtfqoxbugdijfsfvaciazcfubvqtodrrgmlsgttzyphaqrttoaqxregfvbyephjcxfhpcpwgolfig,OK,1-082-082-3348,Integrys Energy Group,,5.0,69.0,353.0,544083.0
Phg11208,wvgemxjme,fctbemofeueha,4.0,Qehglvupongcegqvbtpx,O,305998.0,U,Phgsibthajlnhzc,,Dqeshmbjpudorasvipsbfuuiwwartrfcfumbvngcjtyvuaqzfuphjhtp,Alberta,1-842-255-9689,Laclede Group,2.0,5.0,25.0,569.0,1682799.0
Bwn11209,RQVFCQEX,hbfahnupyuqjkwvznsxsjhlntxpfhxmfvpxjnydb,0.0,klqkthv,R,84172.0,U,Bwnqephfapjtjngslvfwzx,J,kubwycssjofdcmfvs,UT,1-327-131-8875,Health Management Associates,2.0,4.0,21.0,365.0,1380864.0
HGV11210,Awsimvr,oambcnhdibjd,2.0,SBMFOBHRUMIPMURIVCVPF,R,228745.0,U,HGVPSBC,,Zeahnxoqosyuhuwuvalrywwdqoaxwgvdrtnzobfpsqxhsdkkbqxpclrusagytcjafieziiyjqtrdeyng,MN,1-586-518-6942,Juniper Networks,2.0,4.0,38.0,348.0,1068218.0
RGG11211,kssdh,HIUIRTMKTKZJKUJXMRPNTYDPGRX,2.0,Pisoiumggbntltkoydibkzgjgtmms,O,329602.0,U,RGGUOMYWAKJGTBXK,,Xibvofrouiopmuyolwislfcdpxhswoejdcqzte,IN,1-794-395-0071,Lubrizol,1.0,5.0,70.0,819.0,1714551.0
Hkx11212,ooojktqepv,CGATFWHGKQEC,3.0,rvadgrp,,116542.0,M,Hkxdufsqcpshsqnpwmesziqi,,Mosxrgyywsowxdwjltdnegwttkacwzpmlqqwmvaiaqxcuacxbkrwhiyyzjuu,HI,1-555-727-3281,DRS Technologies,1.0,4.0,29.0,554.0,1054877.0
Fwn11213,Dyutvkeu,,1.0,EMODDDDDBEXPA,U,356509.0,S,Fwnziejcufwdwaanwynpptdth,,Lzdluypasktxvkymouavcxeuvbfcqpzdoetiegysbvwaenjarrwvhxtk,MN,,AmeriCredit,6.0,2.0,39.0,478.0,1534581.0
Gtu11214,zrxdhsmstosq,Vroepnpalttnsuixfaxygfdzgdmsqiwdmzubf,5.0,Kdfefkkwnxcpuxgha,R,421287.0,M,Gtumhdxoflbvfcwz,Z,Srnmevvwtampxpectaoilojrjqmircqsoyplmrdmvayqzdjdxvfmjkr,UT,1-164-470-2706,Raytheon,2.0,5.0,,716.0,3125011.0
Aqw11215,Hmwug,Lalaecbdllimi,3.0,Wacdherhyjrs,O,296076.0,S,Aqwkihmidlufubmlatuyjovi,,rcmmpwghcbcncuoofulhcpsucsooikgpxmfvgjcsohxcqectwdtctzusxcrbtvmzacjcgxczbwzbmjge,PA,1-600-665-8513,,10.0,4.0,93.0,404.0,659100.0
Dlb11216,kcvqwncic,qlommwfncedbpjobdvphgkxeaasqrvthqwdf,,Ubqimsfcrulvgfddtbf,O,130659.0,M,Dlbzb,,Pmjaugxedbqlyihdmluntrjreecxozjxgpexntjwgfwdtguoxorbbkgicjijvfnmnukckjhncrcmjn,UT,1-107-686-0540,,6.0,3.0,88.0,544.0,1448603.0
npc11217,enuflmwru,itaxhuupcybvnfspbxknlrvtxfclqpsrqwkknvqvusetftofrofqxqejpiydsilxiajhewlth,4.0,Athhhcabcivaffdxnx,R,,M,npcrpocrl,V,XIXJPQQDDKIWWWKRYAPRKFLEHZJMVKPVCHJIRZMPLTUMKIWWAWYGVMKXBSCRDRHAGHUE,Manitoba,1-663-382-8230,Kla-Tencor,5.0,4.0,28.0,736.0,3730627.0
Osc11218,Ojkscee,Nztjn,5.0,BLCQHNHFYJKRUQBFKCNZSQTCORL,O,297262.0,M,Oscfgslprelizgjdxfeft,,hhlqooxcqatysrwsdgiyfhvoqloijouxlquzclnoseolmdsblwbixvvumjnchmeqcvwacwdju,TN,1-255-564-4632,Plains Exploration,5.0,1.0,62.0,542.0,814723.0
Olh11219,Wcozf,EYXHYLIBPZEVJMICSOKKISNCVOGCZQUOZ,2.0,Qrrvxiujvjyhiuav,R,154673.0,S,Olhyymo,,ACKJMJLLCMRCQOGIIMVWMGGFRBHVZXMIJVDDCGLYRYRLEMLSEWUTZGYTGBQYAKHKTJFNUSIDUYB,MO,1-123-569-6644,Granite Construction,3.0,1.0,72.0,636.0,1879314.0
Vbs11220,uucbmpv,pzsyrhdckrgmjmmkwgjkyuusqsrjkbyphvujlaluvdim,3.0,KIIIAL,O,,,Vbsgtaeignehwvoliozaveyowtd,,azcraxcvjbhojtanwkstvsqwekiakxauyytnbmqj,TX,1-494-686-0991,Cabela's,7.0,1.0,85.0,361.0,937191.0
kng11221,Dlqpghqgl,sofftfedzdyreeyatnvyihep,0.0,Nrnbkkrg,O,36086.0,M,knganjdmwibrbqptz,,CADMIMSNWQDMOZBJIXTLUIRFJKMFOGSSULSGPF,OK,1-679-486-9039,Hub Group,8.0,4.0,52.0,308.0,3465698.0
Les11222,Iyynrqwwg,ibvcvyruhdmkjttwyqr,2.0,Hknqgdz,O,293557.0,M,Lestjyfetcbemfqmttcuvgddgnfwol,,UCVNIBEMGFSUNSBOFEFVGPQKTOHPQYCPUKBPAQMRMKGIROTW,TN,1-570-775-4529,Sunoco,9.0,4.0,21.0,555.0,2808627.0
Nim11223,KKHAK,Gofsmctjqgarxrjqpqkctxokjqhsfmjiocrmzhqxiwpgfz,2.0,Oqfvrqqnrsf,R,192150.0,W,Nimimzprluoqptvk,B,uqisrdiktrqigztnpibhhobdmrdbwfgequqgtgbxchqofszluzvdqtqvtxjxhorfjmguyuhuqqgvv,SD,1-980-275-8196,McDonald's,5.0,0.0,65.0,686.0,2408141.0
Yst11224,Gwulgg,ngesdtqwutiqfanx,0.0,XEATUJQBSEBKOEJJDFMCXQQZ,O,189404.0,D,Ystmmqeculwklhuxcm,,,OH,1-672-259-4507,Dow Chemical,9.0,4.0,69.0,596.0,1109266.0
Tay11225,AMTGEPF,Onzbvxqzaxlzunfwqfuzstnebrhozvktdbhpbnjaiorodi,0.0,Pnqpfoynqnvbxbpdvpohjfcagnuhu,R,134981.0,S,Taypscs,d,QFSUFBONHVDEIPBEZHCAAIXPETMRMQZTICEHGLGBKZWKGSIHZJOLTJPWEATEEZPXHAJZWJDMC,OR,1-923-160-8373,Travelers Cos.,7.0,3.0,20.0,590.0,1410948.0
Dxp11226,Ruioktf,Swxsyooifkdbfiurgtelqokhwsv,0.0,njujnvd,U,130837.0,S,Dxpqv,,Nekhfxivqlkglmtgijlccnxrrmfdpc,Newfoundland,1-840-042-7421,Pacific Life,,5.0,73.0,761.0,1977154.0
mpb11227,Ztdwwquejela,Kzuhwqmsmctdkjodqmrlxqoqeiabtfkmgluaweotwruozbjgrcmptjjotrbsipfxnzuypporznsmxmbw,0.0,Kvafidwmhebltjhrg,O,281841.0,S,mpblchjnrq,L,Gquatsccfwghswmqxlxfkpvjxtoolyjmyebeygvwvuwonnhoh,TN,1-408-258-6122,Lockheed Martin,2.0,4.0,79.0,469.0,1167969.0
wsa11228,XIKMWSLTZG,Pylilnoghrkdvwkbksvxwqmhljcatayxowjlgsftveoxjtxnk,2.0,Bcqmbiixvymb,O,,D,wsacxywxdnxndcibobreliuivgw,,Tikjnggtbsejjjdjkkdluw,WY,1-609-892-9521,Mattel,3.0,2.0,61.0,578.0,2230844.0
Qlh11229,Xcrfvptk,Qgbrrbdfqphkjedzflhxljucgvcmgmxljjjcvdoin,1.0,Fmzrfuhtkwoxgaflzvhijsjbw,R,164027.0,U,Qlhelavmdlyb,j,Trvurpuoeyrwlaushnlsalvvrpnfqupqdohpjhlfhdflgqjqcfmxjtblytlcbuttgbxlmajqnju,NY,1-930-066-1105,Hewitt Associates,5.0,5.0,,424.0,3031669.0
Nmo11230,AYTZV,ETWJCKPBCKIZ,4.0,ljlorbzxngmrawwecwfvgscdidvoc,O,462309.0,U,Nmojbatvhyr,C,Xsyywrhszitmyquhqlqbeknchuhzvlzxfn,NH,1-785-807-7455,Interpublic Group,0.0,3.0,88.0,550.0,1235970.0
han11231,Yqtrwx,,0.0,Rxwlscwjsc,O,436892.0,W,hanbnxjmwgzoktaebuywqvrukj,,Bcvdhkqvcnofwbatgpoporkpolpxeyoxuet,MO,1-158-482-0351,McCormick,7.0,,46.0,595.0,1409955.0
Mjl11232,Pggaxy,jtklhswbqjkvnvcgskgxziqxfbfbhfaldvdixuuxdqrfrwucjxypdxejxnzwewsgi,4.0,LFOIR,O,162079.0,M,Mjlfsadmduosazsjvimn,,GOBEKMWRG,MO,1-705-248-0509,Ross Stores,2.0,5.0,60.0,690.0,2613791.0
Zuy11233,Prolozpcdzv,Wtomfjqxwwlunpaepociusekgcbwdntnuhcwyskngswolayxvgnexvdzuk,0.0,PSWGOQPZNMPNV,O,243380.0,W,Zuykksxzmqbhcsfmmlxgzjtaijpn,J,Cqqqjzgvrjrjekvaezjnwwabpifsjcrbrggmrcgyaujftvv,LA,1-971-273-9316,Icahn Enterprises,5.0,1.0,58.0,456.0,
gcn11234,edincfo,Vlaxhlhnziprqmmnvvcoic,2.0,Bvqjiquhpbkqclczqxaihpvh,O,316002.0,W,gcnhgbnytmugwbfwiyjiheizds,,Yerst,UT,1-131-833-8875,Williams,9.0,0.0,78.0,406.0,2747343.0
fmn11235,HUVLISPVS,ceaxeheazggtguupcrbrmwdpxkqsksnyshiamkszbxtfwdkygsawlrhlhar,1.0,Zyxqzsouoyopjnonimgwwbdzada,U,440853.0,W,fmniqufxeurtgkvdjuldodyfblw,V,YXERJNENHGKABSFFJALCEMNVTOUDVSBWCRYOFBHSRNUNQRJLVGOBAMZXZUKSMKCXGWIVNQDNQLPZPHU,TN,1-843-123-4063,Huntington Bancshares,3.0,2.0,92.0,672.0,2062648.0
SRW11236,jtsppmajh,TDJDZTXE,3.0,Fuqjsgqfvydxvlpcurgbedkcaugtuj,O,19138.0,M,SRWKWJVQ,Z,Efzazzpbjdowuzussctbiwwnxfuxywcycubxe,SC,1-116-177-4365,Hershey,0.0,2.0,35.0,594.0,2837974.0
Itu11237,Gtvlzjwx,Xvqjxmxggcwcazqzxubajoxymxhrzivytenuchyldjpesbgufxzmntpzg,4.0,DATVFAQRWLXIVNYVOUB,O,287071.0,M,Ituhaovisuh,,rhncdtekvneuxqgqagwpi,ND,1-313-261-4811,Avon Products,4.0,4.0,42.0,433.0,3995777.0
dwe11238,Rbidbxqj,Jmnya,1.0,Dgesnlpaabsbbaumwdlchl,O,365741.0,,dwesopfqfa,z,HTEUBDXAJMDDOXHFVRCXSCKIXWOTFUG,KY,1-349-618-0467,Varian Medical Systems,9.0,1.0,29.0,667.0,1904958.0
GMB11239,NHTAWBIZD,Lusokruulkxpdfomjtweydgziovpacvvprglaqiieghjfsy,2.0,gzyeqjddagfjxcvygbkfhnctu,O,81412.0,D,GMBAHWBXLZBNOZTMAHBNWKWYMMIRLN,,Yfmkahvpnvgrimpiudjglkdbforyattgupllyzbqkaqiowxuglxjqtgxaqytulgfozaiwjstteio,AL,1-359-871-4035,Baldor Electric,8.0,5.0,59.0,,2422577.0
Dwe11240,VFKGMMSEMQUU,Spufsrghcorjdbwrwxbehxogtakaoskewerwxsgjoqkppbgxcdkxskvsjncxt,1.0,Zispqbgsmf,R,351289.0,M,Dweaoltxhvgsrl,,Pwtqmwgftjlxiswweknjsghmjsaiaynndculpmxolzfpypxbnpcyamcfx,TX,1-312-059-2732,Helix Energy Solutions Group,7.0,0.0,74.0,781.0,3637239.0
HVF11241,Monqwxepkd,Kbvdxduoofhiwcwicpmndrywjq,5.0,Xumummkmzhaczqezogd,O,117226.0,M,HVFGR,B,Tgvkzvweuvtxisppeooreotfhzhuunqwsqmfmlpmeeuycqkekxyliaccnin,CT,1-572-371-3797,Leggett & Platt,5.0,5.0,61.0,733.0,1283618.0
Zcb11242,Czforlbnai,Nogksimvfdtjyghiakafuoxrstfusypruznufmrvbythkvkothsdsithstw,3.0,JZRGBLKACSE,O,377807.0,M,Zcbqxjjiiai,,Umbmivwhhaxgskouqfdlvumxcwvajxzqhuglbncufbdlfcon,VA,,Lockheed Martin,8.0,3.0,85.0,832.0,3892707.0
Ynp11243,YYHMUU,FKRTPGHSZVRFCXCJMODEQKHFAJJOCXFUZTNZLVYEMOGQITLUPEAAUNWRAUEHDGOTFOOIGSURMF,4.0,Tbqozvnuilaiety,R,76088.0,S,Ynplhwqugecatfftmdkh,b,qanlkewxpsbeeoepsimwkbolxbbukwmcnjhrqrnfpbwmrbfsoth,KY,1-677-245-7333,,6.0,4.0,45.0,810.0,2679837.0
Osi11244,,fvetilspbepaxzpnfttxb,2.0,Tdjmntmxrrpkzxjqyle,O,362310.0,W,Osirsxbrhlkwktqfvrbqsiqsh,,bfamerevghmfrioazaowfzsvqyzff,MO,1-671-855-1457,MasterCard,7.0,2.0,,665.0,2147856.0
Luq11245,toafz,PXTEPCJXIVFMWUFSLQXQTESBIRTVPNFW,5.0,Gqlwrqnacbdrdsdalzypvu,O,291871.0,M,Luqwavkqptpruatmfeeljzuvlrtbu,,Rncpfsdqdrunlyttwvrgtmwuayujksztcwtmzndkdolxl,LA,1-611-389-3242,AFLAC,,4.0,71.0,613.0,1448391.0
Rgq11246,Gjxyudkgjpr,VYABDFBGIITDFIGFJU,2.0,Vzoqhemczksmnfnqrlfgvloitgq,O,21046.0,M,Rgqdvabnq,,gxtazworrpwgiipijdwzdmcsjsmkopxtkrnfjjjgxhdyqdmrxgzinvrhwpaegtvxjenntuazvdxtt,NH,1-920-635-4208,IMS Health,5.0,0.0,79.0,815.0,1334212.0
cvt11247,Vrballvlaa,TPREAKPVWOINJFQVCHUAUIKJMCLPAJTQMFWVNWRHVSTFFIUBXNOCQZQPRVOZFOM,5.0,zkcvgsgbpzopbsyvxonlawbsacsf,R,417683.0,S,cvtqfsmronkw,G,QJXMJCNSCJMVBXWBLSZXEYLMWORDLBNYTWOQYYZIUMCGEIFWBWRGC,WY,1-302-370-7181,Chemtura,5.0,5.0,,726.0,
ajb11248,Wqlhas,Fslqwnegodegjncjuqfgubecfhhvpwhtlxungyczpbiqlpuchkfajnauosika,0.0,Koddgovylcrxbblkcjxcfhaeex,R,177143.0,M,ajbmfvbiopntzkowpupdhbemitkepw,,wjgfwyrbgwqdjbvcpclwrzpujmjlyuuddnariavvuqxvkur,Nova Scotia,1-434-634-5403,Dell,2.0,0.0,62.0,815.0,762399.0
xpg11249,Jxpxsytgz,IVOWDOSUAGZGXHICRDTUECYBJX,5.0,yvfxgd,R,447237.0,U,xpgnxfl,,NUWLWWUYDRNTLBWTU,ME,1-829-618-3623,MGM Mirage,9.0,4.0,,388.0,18399.0
Sxx11250,bdwxsxors,UNFWQMIKXFEVRLRCOCVAGGXJIIWCOBAMTDNQRXNAHUYKNFSUFGWICFRJCKIBOMEQUBMWTVREZY,4.0,kjkbtwlwnivheozumusvmctwb,R,19891.0,W,Sxxbinyuahjlydhgnydgfjkzp,,RWGSMQAJWRIPPQYZBKLIAGILGRXYMYJPXKDGNDJIWDJVIWKIXNXRBWFUPTODIJAJKYWOPL,NV,1-891-864-5526,Trinity Industries,0.0,2.0,41.0,613.0,993962.0
vzp11251,huqiugckz,SBKASOTSQXAHHBADNRFUFIKNGJIINIJMVUHYKXKVFFGSQNTXXODGRSCMS,1.0,Ouiltykmfch,R,232545.0,M,vzpguwryowakresscfrdvxrdade,l,Vzfexslzswiluxmzrxacztscrocgabrywjmoubgivulbnvubylpwkwjw,SD,1-666-982-6284,Moog,6.0,3.0,19.0,365.0,2573906.0
bgf11252,NWWSTU,eurcekncpmsdhmhiugptupfznmjewcjv,5.0,hvnpzosuoyzhxtrqrhbbqt,O,274111.0,S,bgfkkdi,N,CQGFNAVTDDKHMOLBIFICGCLMOPRT,Ontario,1-136-946-0924,Aventine Renewable Energy,5.0,4.0,30.0,806.0,265459.0
Ydw11253,rnsqcsycs,Qyuhzbwjwywfkuedwupfnbhrxfyu,3.0,Mckjkdmiap,O,239120.0,M,Ydwqs,,KORCJYRRMQGSZDYRQSRSVZCEBWUHGUDDEUFGWMYWKKDUORMILRPVOYFKWOWQVLQM,IN,1-245-079-3393,CSX,6.0,1.0,54.0,772.0,3518058.0
bse11254,Djwoye,Malslctarirhmmdgotutwkyrja,4.0,Fkhsehfsjbmkqpkixgp,O,67807.0,M,bseibuulmiesudwxkykxgwew,,nyvawitqlyvheiucyslzruddyqfrxiio,AL,1-205-946-2883,PPG Industries,7.0,4.0,89.0,363.0,3347273.0
Jqf11255,AUSSDJHVFBK,Sjqzorlj,,MBYNEEHBTNIRHRK,O,276211.0,M,Jqfsuwuitxdmmbxa,,AXZTPMRNCVVJOXLTBVTMA,HI,1-657-257-3342,Greif,3.0,5.0,6.0,595.0,308579.0
