FirstName,NumberChildren,LastName,CreditRating,AddressLine1,NumberCars,MaritalStatus,OwnOrRentFlag,State,AddressLine2,NumberCreditCards,City,Employer,Gender,MiddleInitial,Phone,Age,AgencyID,PostalCode,Income,Country,NetWorth
Vbddgjnrpoggbuzckalaj,,BQFPNETRTOOBDTLSCHYYPMHWTLKL,360.0,Pmwubdmdytrtbzifbqyowyslphvwvikfaubrnpci,2.0,D,O,MD,Mksoltjekvviftkanbqtkcmnspnrhwvctdidckingddjnsryfeugpsliz,6.0,St. Louis,National Fuel Gas,,V,1-730-437-6858,54.0,BQF5272,Aoaascqandh,499804.0,United States of America,817350.0
Elrtwxpbmha,1.0,ssdefodwrhlrdjwxvevvpxv,453.0,LNOWNNHVIKJYZBBFGXKSIIQJALFLM,3.0,M,R,CA,,7.0,Naperville,Stater Bros. Holdings,,A,1-092-395-4131,8.0,ssd5273,qdjkbxqv,348072.0,United States of America,2712320.0
SIFGKMHRMPUKSPAVYKKKZEXOPVRN,4.0,Vxkwhazkxwidktrye,735.0,Gbgymowhgtuxtpef,3.0,U,O,DC,Vcdmrgaffxybzotimhpecwwxetkftzichsqmeljtbeovbyasdajylskswxijzmyofrjjpodnnzopqhbv,9.0,Boston,Diebold,,,1-981-434-9462,58.0,Vxk5274,,188999.0,Canada,2560196.0
Qjfqg,2.0,ALGXBNMAT,750.0,,4.0,U,O,AZ,Rvoplsesxixvhamfpxwzpnnxglclthzvbegkmcwgfydvnipltwwzydcnrqimgafdgygkrdhz,0.0,Billings,,,s,1-438-169-9915,15.0,ALG5275,oycpn,200483.0,United States of America,
Zpdxnsehgxfni,2.0,Fwovhwwhcvtzvtjxvxmkzgmbbecdhe,,NFGHLK,5.0,,O,Saskatchewan,ewhvrhvqhhpajsqdgex,7.0,St. Johns,UnitedHealth Group,,,1-206-432-0364,77.0,Fwo5276,SNTTX,65517.0,United States of America,3185416.0
ejqycn,3.0,Sceec,775.0,Anlcclitgcufqoucqkxvid,2.0,M,O,FL,,8.0,Winnipeg,Sally Beauty Holdings,f,,1-852-109-3438,3.0,Sce5277,Wxxsgxwqhv,311750.0,United States of America,3855931.0
Bfgkkmxgiyzwnohszomoc,1.0,ZSPFGB,450.0,aoagrpemcuqxppnovvvuir,3.0,M,O,VT,eeaabrljrhsngzbvzgzqpzqkmwhrrmswhsjgxtdslywzzyjiaefbjivfeigtyv,4.0,North Las Vegas,Quanta Services,f,C,1-259-762-4592,42.0,ZSP5278,Kdtpicrnk,,,1654458.0
Kiirwkfgyzbxbzoavbaurtcmzo,4.0,piwwkecglaao,445.0,QKRQCOXLLUSXBJGKOBUVVFVICCEWXTLICLMH,1.0,W,O,IL,UCQURWMWXBTVPWQCIJXVUKYURNIHNUFISZKMPFEXLEKTROCHNZHOGQTJA,7.0,Rockford,Washington Post,F,,1-754-771-4330,30.0,piw5279,Ossqozjgwd,83152.0,Canada,1112207.0
esrbhcsumc,3.0,Okaxyebqflqquwxtrxltequzpsiwa,415.0,Bkpnzmbwux,4.0,S,O,OK,Hqmbpqacgectzupcejyjrfnzjvwmlabmbwq,,Santa Clara,Hovnanian Enterprises,,,1-067-071-3035,99.0,Oka5280,OYAET,477604.0,,2663385.0
Lphlqm,5.0,Nghpjbrabhztviskgmofmsjeucjvo,406.0,Ulsfvqsibvaaolsowkcgzjudtckglemuqjthqkbhphlregsjmjkumjwkcnzljss,0.0,S,O,OR,Brrvfbnomhmohfowsjkcaeriuxfqtxycdn,8.0,West Covina,Regal-Beloit,m,,1-868-400-5738,38.0,Ngh5281,Jkhrix,12168.0,United States of America,2598331.0
Yhegtaxhho,4.0,MXWZRGRLNBDHJXRIESCH,611.0,Pagbkcbwbammi,2.0,S,R,AZ,LXKSNKPUENLYPKM,10.0,Garden Grove,Cytec Industries,F,I,1-592-745-7562,3.0,MXW5282,mnjziocjh,159385.0,United States of America,1845344.0
Jycwqdqnaeoonzkydbeqs,0.0,qetrflnrpsoglrtnovdihukgotx,736.0,FXOLZOIIECPKAPQMFPPVNJFLHFOWDIVGNHVRLWP,0.0,M,R,SD,ukzbcdyxrtmjwfjelfachhdoiebtjnjuitripsqmzvuhxubimbuugtexidacsrjpwqddpasbhjsc,4.0,Chandler,Armstrong World Industries,,C,1-203-132-0818,39.0,qet5283,Rxrozqoncqvc,,Canada,294935.0
Jhyitcsdg,4.0,cfienrqwh,446.0,Ktwuatnrzemqfzmjjcobkatvhu,,M,O,CT,,8.0,Pueblo,CUNA Mutual Group,,h,1-891-487-2915,,cfi5284,Ekyjjmdbhrh,455697.0,United States of America,2663403.0
Szptfsruftnrtevnnw,0.0,Fbhuuvtcbjecwm,645.0,DSEWQYAPOSZBCJCUSYGXCEZAZSURURXAQTSWRFILNY,0.0,U,O,PA,RUIMDDXQFHKHYACCVSXCVRMSRYW,2.0,Winston-Salem,Psychiatric Solutions,,j,1-271-775-7186,94.0,Fbh5285,Kdlpnckrdb,162787.0,United States of America,3513089.0
Goemlmxbrrunghvabwjasqpyswltm,4.0,Obxqzarnczmcubqqutnefc,633.0,Jqdmccjqvezycrdnkdjopdwnkaglzaaoiwryqr,3.0,U,R,ME,Qsojjspecdlwkfyepuxkjqjchnsquicgikf,10.0,Henderson,American Financial Group,,,1-533-784-1916,72.0,Obx5286,XPESKOKSJSUK,179209.0,United States of America,2785312.0
lsdetugbjxipxubvfscp,5.0,Pfmeitcqflplurdkltrecxbtrizztp,727.0,tuwwdkyeqkqnmgvmvtyridatwmphnhljuagjvndlihzwcymldbmdggix,3.0,M,O,UT,Wpdbidk,2.0,Halifax,Spansion,m,,1-008-777-7332,98.0,Pfm5287,Bvnydjv,137245.0,United States of America,3417549.0
vpeiedu,3.0,cbpolqxnbjlnouqhukhoxn,747.0,Cskloddmvouacjpcpvsqyfhoskvwqpctkcsesctyrcmnmnadjidnuatlaokkyzhirqgavuhibcifgpdc,2.0,W,O,NE,STBASGBBUPGSKXYKJETJU,0.0,Warwick,Publix Super Markets,f,v,1-301-328-2322,98.0,cbp5288,Pvwodrnd,14585.0,United States of America,3139559.0
JTEEQRML,2.0,cuzqifqjwzkdjcbjlzjfufmv,524.0,Ypmannbmmauuplzaodqbcsunbuxjjdieslph,3.0,M,O,NM,,8.0,Syracuse,Costco Wholesale,M,h,1-725-420-7543,65.0,cuz5289,MNQRVMGCCXJ,,Canada,2035452.0
sfgbriqkpbyojbwjbccg,5.0,Wnzpfvvgnszxire,711.0,Oocffyaderirijnkpezgotaqtimppqkgejqfanfkbdtjuvflptwwdbnelttrmegcmigdhxfvzhkqtlrz,3.0,M,O,WY,Arzrlwidptfkpqmvpliobshosdi,0.0,Arlington,Jones Financial,,a,1-673-601-9602,58.0,Wnz5290,Jawybig,40866.0,United States of America,
Uijqgqscbqdoxejwgjrgpiby,2.0,ZLILRVWQJXQIIKHZXRXMTDHRAFEHUB,346.0,,3.0,M,O,NY,sdumtiehjfbkcwtkibujnawvdbzohuwxfixqcpalguxmotrixiatqvonqyw,6.0,Allentown,Enterprise GP Holdings,f,,1-007-463-6061,74.0,ZLI5291,EAEDNZ,393357.0,United States of America,3578524.0
xmahjtwhj,3.0,Epjmyujxigaclvxzumzorv,540.0,Nxpxyunlepmyfpjhkjr,4.0,M,O,WV,Phxszwdkdwucxabvonnrelerfyizdtamtoyakrgbdxkbt,6.0,Yonkers,Dow Chemical,,,1-723-953-8672,5.0,Epj5292,UJQKXR,10359.0,United States of America,72266.0
MPLEXHGTBWRQMA,3.0,sryzgemrjpje,466.0,zstzuchfgkagqzmy,3.0,U,O,ID,Ugeynazqbejdtdyvehzfudboprolaxxamkelxxrslujcvu,3.0,Nashville,Knight,f,T,1-569-843-8665,68.0,sry5293,Uasqwhmsu,332496.0,Canada,852202.0
Qltsiyvpzvmaohfmjc,4.0,iezlur,729.0,Moktkldsbpjustaqbk,1.0,M,,WI,DGKBGACQAFIKPDPOAYPVVTGJCHAOVUSCWWKEQOEHXHIAJAFIGNIVCZRKROQSLLSCRVPLD,6.0,Lansing,Wyndham Worldwide,m,,1-427-367-5210,62.0,iez5294,Oozsygjaw,118165.0,United States of America,3070021.0
IDXELRCRTOXULEWJKVYKXMFJZLESR,1.0,Wwtymayldtxfisviwvmopja,652.0,Hsyliyvmdg,2.0,U,O,MN,Kvxriiufxkztppzzvxlchyclgyfihuajqqjjmyaozwraxlaybvzhkmcnif,5.0,Fairbanks,Avis Budget Group,f,,1-903-185-9838,87.0,Wwt5295,NBEHXP,41341.0,United States of America,2330221.0
wgjywzhjjmtpfww,4.0,Pntdhecjvzqtyxqqondfwsajttblwn,709.0,,4.0,U,O,KS,QFYWKSUJGXVKHOLPXCPHNKBTXZWXKNVYMYFGKTHEIDNBBVU,5.0,Regina,Scana,,,1-114-953-8591,3.0,Pnt5296,ODOMR,395220.0,United States of America,2574707.0
Pkcfqtcjmiyjxlsrhgrdckmizlrg,3.0,HGUWBROVP,509.0,QUMBSTLGBQMLLHFRBEHHCQRLDFIVJOLJWRHNHXIRXIFEADZHOTFIIMIFFSTVNW,2.0,M,O,NH,Rekvteqfqdhjiygqtwnunvaiugybzaxrhkjgpxlwtvijkgrahguscednknpbarxxjwdybozm,0.0,Fort Worth,CMS Energy,,P,1-519-664-6636,50.0,HGU5297,Qficgtiznm,188881.0,Canada,185356.0
UOOPQBS,1.0,Rdubycgqmkshsjp,600.0,UMJYYSXOFMLMDXGBABRYXAGRFBTSGWPDRUOCQIFQHKKOSVMNIWTCNBFSBQTEJIWHVGC,5.0,M,O,CA,LAATGITIHVABVIKQZEXDGSSVIANTJENDFSBLUCZKXPYWFUUYUQLADWGIWNDSYBDNXKAYOAMVL,0.0,Regina,Cliffs Natural Resources,,,1-977-904-1852,49.0,Rdu5298,RUUYGMPBJSKD,459188.0,United States of America,205639.0
PSRVEZNSPQJAQEWT,1.0,VGRBXAKGU,531.0,BIMPKEBQSHAHQPPKYBMOWJKZISGNWUMRFGRPAQADIMEWPGBS,4.0,M,O,OK,wxdksgxrrerukfmkakukbmpmsgahb,4.0,Oklahoma City,ITT,,r,1-606-876-4073,8.0,VGR5299,Queqhrog,98258.0,United States of America,3712704.0
Kwudvetqspgmiwxcaskgsfrrzpurid,3.0,HUAGRX,301.0,Ysriyrwqnjjmyttetusdqreebdijmihbsklypdbvfpolfhsdsaiqetwyrmexgi,1.0,M,O,British Columbia,aoykanodxxllwsixnfenlcmwfvfmuhflmxludsgbzhkwqcrkqasldcemvlandqqstbrcoejgpb,10.0,Inglewood,Int. Flavors & Fragrances,F,,1-616-362-0474,44.0,HUA5300,SRLJECEHLUD,19018.0,Canada,2898595.0
IVIIKZRGMIHZTGXKPACOSBNLW,4.0,bbwslgsemmovgupvnuhswyqrvxk,526.0,Sihfpnodwuzwhgbiupaqaltggmglygnyvnskryjlwnjafrovpvwsxjhfuh,3.0,U,O,CA,Rrpfopqkuycebexsujjhyiiogtgcgazqblgfcogomapswvwxfaelclbdbryjjjrnxugk,2.0,Albuquerque,Raytheon,F,q,1-360-286-3337,85.0,bbw5301,nwgrkuwq,469062.0,United States of America,516641.0
Bvlabqnkkvaozpjihjxi,2.0,dqnlmshnic,777.0,,3.0,S,,PA,Nourkcvjrwyzpinaojlgznrqwhidnrjgj,10.0,Memphis,LSI,f,,1-866-462-9292,81.0,dqn5302,Ydddcb,86829.0,United States of America,3263696.0
Pmcluiglkzldaw,2.0,UOWHQVKMMYQBDPRKAJABWSD,754.0,Kicfzajlbuvwguvfaboqimvpvyatrvtekmvlesjtpeo,5.0,M,O,NE,ewkjwedjei,0.0,Erie,Wells Fargo,,,,16.0,UOW5303,GKOHOITMXWE,,United States of America,3048272.0
Njrrsagqpdeazosr,2.0,Bbmbvktzupsap,844.0,QAIYMREEXRNZVFDWEGEORQ,0.0,M,O,RI,xxqivteqvm,4.0,Jacksonville,Vulcan Materials,f,J,1-641-830-1328,44.0,Bbm5304,oxeimnektb,487415.0,Canada,3596351.0
Jrbpvylfhyqhwvkwjtc,3.0,IFQHGTPBW,739.0,lvmoheuejvafietmsehkptiyeixnbxdrbtznnivvcmennggm,1.0,,R,HI,,7.0,Toledo,Steelcase,,,1-167-022-4284,7.0,IFQ5305,Hfdrp,370165.0,Canada,1180159.0
RLKRCPXGYHVMISPQDVJBWCAHQTM,2.0,VMNBO,,IYXXIDVDDWAXGHYRAUKOKOMLOXLZTQIIASQDBJYEYTSJORZITQCSCIEILMVUJJ,3.0,U,R,OR,Eifujxolquugbetlhfjgjqyiplrqfpfpiaoz,3.0,Mount Pearl,Ryder System,,,1-914-540-2977,88.0,VMN5306,nnssardkebmo,213029.0,Canada,2973187.0
pzqwbqcdnjcoovhqvpwpkp,0.0,UNQJKCQBICQCWJDJATVOFHT,436.0,kjfhezolxzkwhsrespuhgnmftwtdl,3.0,W,R,MS,Cpldjkovzowdeuxmtjwqckhud,,El Monte,Oil States International,m,,1-318-558-2019,14.0,UNQ5307,BVOOFMUS,40361.0,,3821176.0
gfmfcouiohdecg,1.0,ZJPJMNIIUDEECMMMLFAPONBJ,522.0,Iqziyyxarwuadsqmajpmddyfvenjpbzeeemivqacdvlcvichdmjjguaqqghoopjb,1.0,W,O,MA,RHJIYXXJHDASJLXXOZFC,2.0,Concord,New York Times,M,,1-537-697-5122,94.0,ZJP5308,Eahag,369298.0,Canada,2590484.0
Peudqiqrui,4.0,APIYO,761.0,FXKQSBRMCWSFPNWULVACXUBQMPDOOLQDJXYBUOPJWXRBGPBZQOUWFPDJSNPRWAMAZWZBEF,,U,R,NH,Igisawbnrohjpeaurburpjcfiwv,6.0,Springfield,Warner Music Group,F,j,1-575-812-9824,16.0,API5309,Zxsli,204595.0,United States of America,461016.0
Kiisgpghcbgnpldoyy,0.0,eubboplypmksi,652.0,Kfcadacmruzqdylahjrdyqfnowcynrykxcknppmixvvmbkjeepcjifgoaiidryvifjln,4.0,S,O,IN,Pvmbnevnikuixypumrjymyglknucvbvsztrfrnqrojuoooz,2.0,Salinas,Leggett & Platt,,,,7.0,eub5310,Mcextuiqa,,United States of America,3154380.0
cyipdsqaraqnltufinmvrzg,1.0,RFEJUDZIFIELLCGZPFK,644.0,bbgauivjntnileotfmqghgbyqkwrcrksbdbymybdyjjntbhmeszoregelrtkrxf,4.0,,R,AL,HKKEVGDBCOHKIBCAJH,4.0,Indianapolis,AGL Resources,m,G,1-495-649-4405,9.0,RFE5311,Jepkdlwhmolp,206954.0,United States of America,319332.0
Kuzgrkehttchzdikcziknn,2.0,Cshnjpgboygiwkaoovn,364.0,QWFMWUWGPAFSKNNQSSIQKZFDDEETCRQQAQPQCNWEUEJERWPK,1.0,U,U,KS,mlvfnxwyljbgulkvngxtmesnheezqwuknrjtluzlgwipjiiqpkerjhurs,,Livonia,Leggett & Platt,,,1-378-570-6906,14.0,Csh5312,Qwympelmyrvx,2410.0,United States of America,286076.0
Lgattcyjzc,5.0,aewnyavprdnjcgwq,406.0,,0.0,W,O,SC,Rmolnzhwkwcnbtetnebvdlzxxpswsfggnuzdzhcynho,1.0,Vallejo,Allegheny Energy,,C,1-938-600-5366,42.0,aew5313,Fzcwrxlyjyt,93668.0,,87673.0
FTAJWHGPOSW,5.0,QAMSUNLQHBNAEEHIOPXF,421.0,Plqfkoubrdsusjobbrvlvujwmueldianmxjkq,0.0,U,O,AL,hqqjiuhowkluaugnwfdkvidpxypx,10.0,Sioux Falls,Becton Dickinson,m,E,1-334-866-5202,83.0,QAM5314,cfplupbl,,,2383855.0
Ycheekukwahe,1.0,hqeqmffq,318.0,uberwlnobdujcrcvsxdkmwnihshezrotcw,4.0,M,U,NY,lohvnefvtqmmcil,6.0,Sacramento,MGM Mirage,,,1-539-955-3264,88.0,hqe5315,Sgrjnnwo,6156.0,United States of America,2599619.0
htpuostrwbd,2.0,uryfmngqhlaxqadorbbhtzyjq,811.0,Ylohomnkspcitaarhjetqyzjqmppfbexbtxujmdtwkjpwcgidxgmhvzwehiwotcjqugcrtdajd,0.0,S,O,WY,MCBQFOQIPBBJUKVJDUZFADEHZEUTATIAZWUOKKZPRAWJAEHRUDKN,8.0,Warren,Verizon Communications,F,,1-986-508-5509,28.0,ury5316,QXIUOORVJVVZ,,United States of America,312801.0
Qlkdexjojrcsskthsi,4.0,ilwgkzbucrcbwm,571.0,XTOWNOTAVAQMIKJESCACLZAXDYYGPXCFWONNBXGMUREQMEBNMQLSMWRIDIMBSQZCAQQSBZQSNEH,,M,O,Nova Scotia,Pxavkkbcakgpnptefoxjafmduvsflqlhpzmnpwqygk,4.0,Hialeah,TECO Energy,,,1-138-586-3015,0.0,ilw5317,gsdjdomdk,300062.0,United States of America,2825883.0
Kegkbqgqcwkhwkmbgywkrqvcux,4.0,Nnjiwnkizrhuasayrdf,768.0,zhvmfswdelesmcetbm,4.0,U,O,Saskatchewan,Ynnwalyrlrhwbggqkysrcsydfxiavdmguyjjisskymjnftogcluccjmnplgkfqitt,10.0,Colorado Springs,IDT,m,z,1-605-673-1927,53.0,Nnj5318,HNSSKKSTGEAS,113747.0,United States of America,1658276.0
Urqgmarptshdnitsudntqnxz,3.0,SRRGBFNHTTIUWAAXOPLVMT,815.0,JAQGWFHSAUBYFJOVQHUHDPOBOMVZHXRRLVIXYMYFUTPUFAXJTAQNRBJPMVCDOZWXXZBTIPJPUVAKH,1.0,U,R,MT,NQLETJNFONDJBQ,10.0,Winston-Salem,ManTech International,f,,1-819-603-1812,11.0,SRR5319,aspjttrqv,450581.0,,1182413.0
Mopvmbewlzwu,0.0,XXHYCSZU,,qhsvxhiuhfbsxhaenhjdcuwekmgtpfngwuvhceulzkxybyygbjndrdplotntezszqc,4.0,S,O,British Columbia,alpamytmnrbbkumaslfhfyuvtotrvdkmye,1.0,Albuquerque,Jones Financial,,,,97.0,XXH5320,DLMCBJ,279169.0,United States of America,
kxlvhavhj,3.0,Fstavzjgfrjxs,414.0,Ybocgmqhwxflzcrazcbcvgidjlpkmlobhtvslehaqgtwinolkcpqmevpl,,M,O,UT,UONVAQWVQTLQFEMYOMMRBZOYXAVHIXLWUAQDVMZIBEXK,3.0,Fayetteville,Landstar System,M,Z,1-879-129-8420,23.0,Fst5321,Maolhjzsva,447141.0,,2981322.0
wzjqrttqjrfbmtebmi,1.0,inmemiozrhzwtpikan,332.0,Fzmpyevoutqthw,2.0,U,O,VT,AHKZNGGCCXWKTYAOVQVAASGHHWBJANMCEFOJLVIUMTYWDFOSOKIQJXJHGFI,8.0,Houston,Dick's Sporting Goods,F,,1-831-773-7483,,inm5322,opiqelikd,167409.0,United States of America,934970.0
RIUWHSOQMV,0.0,XYHZKISBZC,721.0,Jpktqgkgezxotodanuawgigsoinlupl,4.0,S,O,MS,OXMJRKVAFLMFFNEBEHLBJDISUPFBFILPCVLOIAOJMLUNPWABVBIGOWSLGF,8.0,Santa Clara,Beacon Roofing Supply,,,1-468-465-7064,4.0,XYH5323,Jqjcmfd,408024.0,United States of America,
Lwjaasxoqceilxifaugodnwpxjhhl,0.0,Berotikotdibksgf,403.0,KVOHOIPRQZPPZCDIEFZE,,M,R,NY,Dhulgihczkexnpdobslmikgmhilnnicnsjjfxdozprfqvfcavgxuuhptfxephddxmohvffvntzai,3.0,Calgary,Mueller Water Products,M,,,5.0,Ber5324,MJXSPQXUCT,32458.0,United States of America,532272.0
uxhrtecdwltens,3.0,Foxcvdbmciuvmnahbbfozrhr,,Qgunlbsaqdcnxbhjzubqx,4.0,W,,NM,Xftzjtqnxjsrougiwugqtzmboupdmpxufrheoxlwlglbrmcucyeq,0.0,Windsor,Huntington Bancshares,F,n,1-352-519-2430,57.0,Fox5325,ULZSCOFXJ,45443.0,United States of America,3262800.0
omffycsfgei,4.0,Cqxasgjrcrc,411.0,,0.0,,U,PA,lmxngaadajiordsvriozbrtudrrvcnspjumakraksfmqubenx,8.0,Charlottetown,Duke Energy,,,1-145-873-9433,61.0,Cqx5326,Ueafegeleujs,,United States of America,3031698.0
uezadekevpkfaowuocyemw,2.0,ljvkqjhdhfmuyojbe,312.0,vwrmlwdmkppimpzvoagkncpobpqwnumvdskijvazquauzgpsdvgxubzkrkxkjmbovdtlwejqyyag,1.0,S,O,HI,Wbryobyzuaevizsshhhkjdmkabygklsljknfrlodaqryvpiwrndkdrwyjmzuxofdspqrqvradj,8.0,St. Paul,Discovery Communications,M,,1-745-109-0178,,ljv5327,bxkgbh,496411.0,United States of America,
Finoskctrj,4.0,Fgpzctxxlabxjnkyqnqgiofv,819.0,Rtdsbgbujkidvdzlvfriestbaoqcutpglegqicsyrbwipdtlfkfufdhhw,4.0,M,O,FL,Uhwxhmrnnmumkffsimnlsyh,4.0,Wichita,Rohm & Haas,f,,1-047-918-1204,40.0,Fgp5328,fzphmg,98687.0,United States of America,350993.0
Fcsscmshfwqwfuoqctfwditspph,0.0,Msartzadbqwkucnalgq,541.0,Mactvcdpywaepfsxfjdeyafhtrjqwklutyooxknlmrinauvbzdd,3.0,M,O,New Brunswick,Dktlfastccxhzvaonfkcwqeijbljrksaehwjrldxfqhvbtzheavflqvypntudjnqgrmwt,10.0,Ottawa,A. Schulman,M,,1-197-354-6610,74.0,Msa5329,Ctvll,65672.0,Canada,2890467.0
Zcnxjdvjxvkw,5.0,vsbwuuetordroswfxehlivyvtxbdvw,836.0,Cprtlvywmguywlmthwrysbnijvgwd,4.0,S,R,Newfoundland,sakeqrlaxmxvhwyjijrbstlclqvkgavmu,2.0,Virginia Beach,Alaska Air Group,,,1-858-237-3234,17.0,vsb5330,kjtgaxnwlei,291869.0,Canada,1653725.0
Zvknx,5.0,gdzqldzmpquuucg,331.0,DKKNYFGWNLPQWXVKECFMUCKJUVSNMPJEPIT,3.0,,O,TN,Yymszthnqlnqyhfzvfzwa,10.0,Memphis,Calpine,,t,1-967-079-6253,9.0,gdz5331,Cidlghq,499348.0,United States of America,2831356.0
aumwbygwsxgaeqqnvajjzfjwcwiqv,1.0,Uggkobxwakbdzsuvvuopmg,591.0,karhjcauo,3.0,S,O,IN,Qdeyavqknqsmihivaigbptdonmhsqrgcoqzftbbflyufaqfsmodzinzvcaefjzqjrbzwfn,5.0,Amarillo,Virgin Media,,i,1-695-413-1322,88.0,Ugg5332,Itupndj,407954.0,United States of America,1330834.0
Tgwlbir,3.0,UMOSL,739.0,Yaopxbtmwzfisqfgismmsggclcnpxgy,5.0,S,O,WV,Jxojwyimjtfkapdjido,8.0,Newark,Sigma-Aldrich,m,F,1-975-807-1283,30.0,UMO5333,ailvwuz,460576.0,United States of America,2074815.0
ckynqiduhnsnxaspaptravuv,1.0,Bzqlvsmtvpblcpkw,595.0,Xgpivmjbjngzdmaproipmdvzygpgbzimjuhqcmbnwmwkjguqtskskwoonhvlqix,0.0,W,U,IN,KSVFAXGWRLSTEYVKQOXAQXCQTKRINQ,9.0,Rapid City,Baker Hughes,f,,1-820-740-4938,46.0,Bzq5334,jwectkdqnoz,206016.0,,827204.0
Tysdr,4.0,SCDUNBBZJEMNIOLM,844.0,bdksstamzeietrxbw,5.0,M,O,MT,Jnrsjjfxyg,2.0,Amarillo,Icahn Enterprises,f,,1-151-388-3755,21.0,SCD5335,jiqkp,432759.0,United States of America,694714.0
Isendhwuldcapcmbj,1.0,Myjynbnk,679.0,dkdiovmg,2.0,M,O,SC,Zzzuahtyngqhczytruzydnapwgotwjfndvzvivq,4.0,Vallejo,State Farm Insurance Cos.,,,1-355-962-9552,78.0,Myj5336,Sqkjkdnylv,398903.0,,2395192.0
cemklduzuerqaqtrt,3.0,Pxejodzgtpolojormh,396.0,Dhbqovbb,0.0,W,O,AK,,2.0,Casper,Mercury General,,B,1-625-786-3135,64.0,Pxe5337,Ivmfvyiabjsn,55153.0,United States of America,2326140.0
qpihhn,1.0,JLDBWHBPGAIAZKTTXMOWMAED,683.0,Utmdcslmjxlnsgvwudannhuwnxqjnvliujaalorisqmxlscmvhqfrbmqekdksjgncfmfrcen,2.0,U,,WV,VTGDKADG,1.0,Minneapolis,Cooper-Standard Holdings,,i,1-116-847-0584,63.0,JLD5338,Kbfewrh,237343.0,United States of America,373227.0
Njwhqwntnrqyxlr,3.0,Knhbklfzmvvphtda,678.0,HBFZUEWINWPJPLUNCYOZ,4.0,M,R,New Brunswick,gymawuj,9.0,Phoenix,Portland General Electric,F,,1-371-124-6085,17.0,Knh5339,OGYXV,379032.0,Canada,2089377.0
NZQHGTDDWIBWDDRSITXOJRQL,3.0,ddytvteexarlbjbyalkjw,433.0,kywsnkotxeuxhpabuixrfngijqjwqtskgrxvhicqve,1.0,S,R,New Brunswick,ibtbcnqwrgfjkbtozhfjg,5.0,Richmond,Sunoco,M,P,,84.0,ddy5340,QQKORS,392325.0,Canada,1007830.0
PSTGXJNETDMXCEKQOLAICKMIPWA,1.0,Jswwvqbcjhcbidlnwtxgtwc,654.0,MEAEBPTJKKQVZRSBZTKVLAPWMJWZWLFEHFMLWRQVGHMFMIZFNKAIXPGHMVPOJRNCFKMBNDRTPMELANJM,5.0,S,O,Saskatchewan,Pwraarwanghpnujehjd,10.0,San Jose,Brightpoint,f,,1-724-337-9972,31.0,Jsw5341,Afjaqltwqq,182888.0,United States of America,224963.0
UXSHCQICNVWCBLMFUWIYNGECRBOAI,5.0,Citjxsbf,571.0,Oxmbqupkfuytycrgsuqmvdazlutfggshapivcjfxpoukfqxpjolpfkdjj,2.0,U,O,LA,UNBGHBCQBAUNLHORSMPNBQVKJILBAHAPHDEAZOYTTL,1.0,Laredo,Williams-Sonoma,M,,1-575-551-6702,54.0,Cit5342,rspucgrc,302911.0,United States of America,2683238.0
zadpnjxjyletjahuslmmxczbilws,0.0,Rufrydvoyzqguhqx,448.0,Vchkbjnonuzfgnqjambfmqpztxikcxfoukcmijjxmezmtmyoqh,5.0,U,O,WY,indnrrzlumdp,0.0,Torrance,McCormick,,K,1-379-174-1704,49.0,Ruf5343,PFENF,1543.0,Canada,2151065.0
PPNIDDMWUKHUPDBYTPELWQSUDTJE,2.0,Ssyaetzqehkikptwsjdmxo,617.0,SWJRQZVTXESCB,2.0,U,O,AR,okfdqripnlvobwgpqjavxyrwkqehpsurqo,2.0,Tempe,Marriott International,,I,1-255-223-6977,81.0,Ssy5344,Nbtwdwr,482691.0,United States of America,3647892.0
wxulcyrwppltqgcubhgavasmf,1.0,djcliyylyhtjotukguk,359.0,Xykqhggasvqoipcpj,2.0,S,O,Saskatchewan,yyqbhgabqasbnacdmghbvapxlfoxfid,8.0,Shreveport,AGCO,f,,1-906-323-1892,77.0,djc5345,Qnctvezth,12196.0,United States of America,2293187.0
szzthalpeuhsqq,5.0,XGZUXTXSGWBNKLKCNHSQZCFPC,620.0,,4.0,S,U,Manitoba,WVOUPUOUCWYJFHKVDEGKASHBCFSVUEMPUYJNSGVROFEQBSDTBIRZWVSSWYBAPGSJBJCPVSJRUIVK,4.0,Sydney,AbitibiBowater,,,1-221-764-4901,60.0,XGZ5346,Hkumufmbbnm,27550.0,United States of America,1648154.0
Yujytg,5.0,Keyxrzc,707.0,jvvfnllx,3.0,U,O,NE,Dnegptvgrsddhdavqek,9.0,Warren,Burlington Northern Santa Fe,F,e,1-353-055-6866,0.0,Key5347,vkhtnn,74566.0,United States of America,1182897.0
Kbrghdwyjyffbvykkvh,2.0,QTSVSNBPVUWSAFGHCGLFFBJMFIF,555.0,,2.0,D,O,TX,Ajjdlccuiumfhhqkds,1.0,Milwaukee,Patterson-UTI Energy,,,1-492-947-8126,94.0,QTS5348,oopybupolnf,24905.0,United States of America,505504.0
hhdpyvyxnnhdd,3.0,Cckatsteoslmelkike,485.0,fugngpraxwfcmnmztkznv,1.0,M,R,KS,LBIONHPRQRDAFEJIGLGDUQSJR,4.0,Fullerton,Blockbuster,m,N,1-029-350-1061,,Cck5349,jcmamplyxb,361840.0,United States of America,1490919.0
