prospect_PosCo,prospect_AdLi2,prospect_NuChi,prospect_St,prospect_AgeID,prospect_A,prospect_Coun,prospect_FirNa,prospect_MariSt,prospect_NumC,prospect_Empl,prospect_NuCreCar,prospect_Ge,prospect_AddLi1,prospect_CreRa,prospect_Ph,prospect_Ci,prospect_LaNa,prospect_OwOReF,prospect_NeWor,prospect_In,prospect_MidIn
Zxejvoxqjxlq,Rkqckpamsedotdstauxfbffsdygvminacsppfyubprlrsqquvgsbtgkhtenlfjvbukofc,5.0,DE,MPS11634,34.0,United States of America,Eteakjxkjxbpz,M,5.0,Liberty Mutual Insurance Group,0.0,,Rirmmsrrybghpjkwqpkrcxtqt,817.0,1-545-709-4927,New Orleans,MPSOGRMOFSXTEVJC,O,2155545.0,394332.0,a
RXWGGRMN,bujqbnohyxwvvei,1.0,AR,pvw11635,4.0,Canada,Ueecixgiaxxvytqhjmmjesgokhz,U,2.0,,7.0,,Qvfgzpuvvufrfyoxxoyiaalwhkrpotirywrvdbgfdpighdctljt,626.0,1-583-968-9273,Los Angeles,pvwgumdxnlyfdiulusfxnqsdgis,O,2660702.0,166542.0,
,,2.0,GA,Xmu11636,92.0,United States of America,Joxqcoojrynuhxldqeapi,U,4.0,Entergy,3.0,f,Nhsphlytvjguyfgkralrpcwqsyeuscalxozebfwrtatpmp,801.0,1-421-704-2719,Santa Clara,Xmusxhpwqkz,O,2107157.0,390981.0,m
Abqmpqcftcil,Gqhakmpojcvzhhqqdsdctblzyfrqycqrgqizmtydolnfuzcyjaqcjfiakvgppniwkig,0.0,CT,Djn11637,84.0,Canada,Gfxncft,D,1.0,Albemarle,10.0,m,Qafkctzntjvmaphgvlmphtvzovmk,552.0,1-993-740-3718,Windsor,Djnjlcbvohdfkfeehqvqmqggz,O,1802795.0,168327.0,
Fbbeqovmbapv,Uvnfuqyrvszteqnyduaz,2.0,AZ,qrk11638,92.0,United States of America,Hekfccxkwrqyyducfypnm,S,2.0,Cabela's,8.0,M,gbbjljusoqoekjauwjzeyyajnhscwyutivzw,458.0,1-701-056-9214,Rancho Cucamonga,qrkkrqfolycjaggrrswn,O,3821277.0,137303.0,
Gpxfn,Cgdupsumrinxhmdxcgvrhoqfotqxafmmtanxxvvb,3.0,DC,rgu11639,53.0,United States of America,BIKYELRIQAKGNHAJ,D,2.0,Goldman Sachs Group,7.0,F,eeelywrcdqfzrnbwblhwpxfpoxnbcgpdhsx,370.0,1-551-420-9404,St. Paul,rguezhxt,O,3456261.0,492039.0,U
OPIATTGQTB,Ndeyurertgsjwabsggxmyoihkofxrbydqdkievioffnjqapgrihwsmevow,1.0,WI,azu11640,95.0,United States of America,senzrdupqubjxijnarwcv,M,,Philip Morris International,5.0,M,RCUPULTWLKXGTZCWUCXHRJOYECCCLIRRFOQ,728.0,1-490-114-3920,Yellow Knife,azubxckdhkeoh,O,130608.0,124926.0,
ptzfefif,Wirdlqydtvitlu,5.0,CA,Jvu11641,3.0,United States of America,Lzjdadrsnwugontofjihwjpbckrl,D,0.0,Foot Locker,9.0,f,Ktyfdeoxyfxbj,376.0,1-451-743-5761,Burlington,Jvunltliejnehsobajafolbbo,O,,471272.0,
filftafcf,Palggjokgatpmjncofyosbtgybtsttvkubgerqyklazuxpbxmw,0.0,MN,MSO11642,12.0,Canada,foajkxopbsjeicrsk,S,2.0,Parker Hannifin,7.0,,Dirofockkpdwpcbjygsfswlgszmyvaxedtzzdladamwvgysqnikwwgfvabqybdcrbhtjuiruce,713.0,1-974-038-8222,Tallahassee,MSOGKWAIZTBBVE,R,605798.0,3242.0,
nkcxl,YRMWGVOETFKHSXRZILVYMTYSVHNYBRRDMDODGFGDVCIRQAZPIPUB,1.0,KS,qre11643,32.0,United States of America,Dhmdl,M,2.0,AptarGroup,7.0,,Wforrpypymwexyafnrjdereyjqwnzacxrludtpeikuziwtzobvjmuifixknstn,604.0,1-159-949-1495,Elizabeth,qreykenxkxym,O,2163263.0,453844.0,I
Afdiwc,Jkhkcjqauolokltqdbrloeiasoecbrknvrwqahenxlcssrohlkwcxewwigvlcktndkmqglttdf,1.0,FL,hko11644,98.0,United States of America,FGLHIDLLZJAAQFYJGHNOT,,1.0,CF Industries Holdings,1.0,,Lxtprjbj,460.0,1-390-895-9678,Warwick,hkououzdlob,R,2261388.0,,
Pxkimmb,,,Saskatchewan,UZV11645,31.0,,SNQSYA,U,1.0,Securian Financial Group,9.0,,Sqyjylexoqiuwbqyemckuxijsrtxrtbuxwvufczxtjuyueoooslnamnsoyqszzgrdejokvyqvhdobdqn,482.0,1-192-449-0120,Baltimore,UZVFGXYTNIVFUIJWO,O,727051.0,375815.0,
Tthlpu,SFHSGWWHUP,3.0,Prince Edward Island,BCS11646,73.0,United States of America,Jvwmrhaqbuijfmvm,W,0.0,Progressive,8.0,,LFRJGHOJFGESACTRWEXKHCQSTVZVBMAOAPCZJYTUXQACRL,807.0,1-134-780-5445,Independence,BCSHWOQ,O,3003110.0,114122.0,Q
ixqguckcm,hmvwdymtscuawerifugtaxicymbmtswirrclbciqgwblvtklxgvhdbnkwmgiebmslbsxf,5.0,British Columbia,ZIJ11647,62.0,,Pgvopamymou,M,4.0,HNI,1.0,m,Kzdupbrvp,509.0,1-075-096-9878,Cincinnati,ZIJRXXCBQUW,O,1857713.0,400657.0,
,,2.0,Prince Edward Island,GWP11648,48.0,Canada,VWNUOG,D,4.0,Mueller Water Products,8.0,,irlldimjjginjjvdjzekmabuync,303.0,1-080-387-3116,San Buenaventura,GWPTINXTKBEJNWFCK,O,3482902.0,293804.0,
Fvcoege,LAKGXUCJQSHDEKTPUTHNDXAHRFOSPMLQQWNOU,2.0,MA,Hdx11649,40.0,United States of America,Wfkmhhjfxkannoehibgjdlgrncoun,D,1.0,Vectren,10.0,,Aiofvtdqrgauiigwlcaelcbokxtdvasg,412.0,1-066-671-2242,Independence,Hdxfdmvygcpwuyxrouqrjixz,R,2203791.0,358678.0,g
OTNVKBMZFI,Zdtlaryhdovtewknhkkxadywst,0.0,MA,Iqv11650,20.0,,pdryfzsydjfjmkgatftclrftwvj,M,2.0,Universal American,10.0,f,Aywincmvkyvohkmaljafdvtotveheswpdjokkltiicsoccvunuyebwpavagvhjiasp,788.0,1-634-467-4413,Saskatoon,Iqvux,O,,469668.0,l
dimplcv,GCHNLXXLUVJLMNGZVPUOSED,5.0,ME,DLD11651,16.0,United States of America,Dfqfswwjtebrdsbypo,M,4.0,Huntsman,5.0,m,Iyxssmlynkqvqlsnshpfqbamkfuoftjhui,399.0,1-151-525-8237,Amarillo,DLDMUNFYGMRNMVDSVPC,O,3855669.0,139149.0,
Alaho,Chjvarzpbwlvbbctyuhfdladbbgjvhuieyvikidbowrirfqbbysfhbcrkdccbwsivqtfctqbm,1.0,Nova Scotia,fha11652,89.0,United States of America,usjaevvi,U,5.0,KAR Holdings,6.0,,Oxtmjagvfwrgcqzjlokr,673.0,1-313-385-2020,Toronto,fhavbelntbcwtg,O,1429825.0,219988.0,
Rvziv,lzlarrvtemzdvoftniefftlrwpsodswefcvvhbhfuvgpjppksnsjsiausigstxzofsutdvnza,,NH,Csu11653,81.0,United States of America,OAGUUQNMVSFNLANKWVWOUZSHXA,S,,Bank of New York Mellon Corp.,3.0,,Dldteqakqdyseenegnnemnaqgwakywfapthwmuyknov,770.0,1-215-637-7916,Riverside,Csutscbgpgnjq,O,313635.0,383717.0,o
Lckktrmucvj,Szklqtmuxurfsmgnttqibbabfymqanjmpndhk,1.0,SC,kbw11654,23.0,United States of America,BTAQMGRILUXVJK,U,,Windstream,0.0,,QRUKMGFMIRZQKQXLPQITQWTWPVZEBAWRWXFCSXD,737.0,1-133-810-2568,Tempe,kbwquzbcfuscvguamxlisbzcpusq,O,2868203.0,318528.0,
Elmvtsrrt,Jsbyijmkczlczhlergiyfqkelfppzozoqjsasdqhmrjo,1.0,MT,imf11655,47.0,United States of America,Lmujzmwyjrsoyhxgbtpl,M,4.0,Coach,6.0,f,EVZOBXXHRUIBUVBHLMJCFVUIPRUSEIGEGPAHVRCJLHLCFQGYVPERQKNAZKXQDIEFCHP,351.0,1-932-597-9589,Philadelphia,imfbycjvmegfmtzodjxkrotygild,U,1383741.0,,
Kizpbsuy,Viyeuevfcnlmwwtqjcedvundgzchmadlb,5.0,NY,Yjl11656,25.0,United States of America,Kqqibtqlkyvltt,M,1.0,Brinker International,0.0,m,Menbuwxccknivjddnaaju,,1-553-956-4532,Winnipeg,Yjlcufrtx,,574855.0,457930.0,
ZSIKSN,KWUEPCVZPLKKNXGTOESNESLHZZILNLMIACF,2.0,NH,Tgv11657,15.0,United States of America,pcurhlmgjmdwuliuktzhlxfp,U,0.0,Cenveo,8.0,F,,594.0,1-618-787-1072,Hollywood,Tgvlukklstaqwvkpapaiahzwtcok,O,2325837.0,413109.0,
beggq,fcpwfnhvbtyawxossfqihzngxuabxuavbvwmiyjsnqoijphpeurr,1.0,NV,Bnz11658,65.0,Canada,exutdassepwdwgdsmkucveax,M,5.0,M&T Bank Corp.,5.0,,pvprrhuwqurrkelabbadflgtefcclzkqsskkrsctwimobloypbx,845.0,1-027-328-9740,Bridgeport,Bnzsgchhgfakbybdz,O,2689771.0,375395.0,
Jonqqakeky,Moyfhnfpkztwcbnwhduhpoifhpdiylzlmctyvcigvtspkgcgeqlzznvi,0.0,OK,Vvu11659,88.0,United States of America,PUBIUBIZURTBYSMPXQHSXKWOJGOLVF,M,4.0,Qualcomm,3.0,c,thmgkhwfgjunqcoxofexvlbrwjytdjjixjkrvmdzyjwptxnwxxzrsizellsxhetix,431.0,1-826-459-0746,Las Cruces,Vvudehhpbagtdg,,604936.0,290984.0,
Rkbputtpeiij,Zolzpgpqommhqatxogpsfkaytawutgejelohpychvisjhvhxobonojhcxxclxqrwsqbtdluvhgf,0.0,KY,Ost11660,58.0,,Mfrlaotwvrio,W,1.0,GameStop,8.0,,lesynqrattqifuqmmaiml,633.0,,Santa Clara,Ostghweiftvhkcpnkfn,O,3618949.0,,K
Znbklkthj,Ujpmhopwambvibgyjtszkxzdfsqpragv,4.0,Prince Edward Island,VDX11661,66.0,United States of America,Dcschfixbdvndnx,U,5.0,Mutual of America Life,9.0,F,Tmjpxlympqrjjvsthhcdgrdjohjxgeixlsr,621.0,1-328-464-4313,Garden Grove,VDXRRRGAEWQNJ,O,2369853.0,223262.0,
oevkjtln,Cziopbsefyvkodeegumjmtupatmywzleelvjzio,4.0,OH,yyq11662,94.0,United States of America,Ckqshysnrbfxdf,D,1.0,Danaher,8.0,,Hrskcutcdhaxeegfpkdjcdegidcf,631.0,1-870-853-1808,Topeka,yyqvbnsqrafpjqlrssvncvvxzvd,O,1297224.0,343355.0,
cmpquy,,1.0,New Brunswick,Pex11663,47.0,United States of America,brceajr,M,0.0,Dentsply International,5.0,,ykujuxmsjgthlnkevjyxurfnmpyjikxwijmkb,564.0,1-146-824-5307,Yellow Knife,Pexomitkqp,,3650244.0,443566.0,W
Uwdqaduy,Tzkouvphiyexiwpcrktoizdjjuhtdoqzxtrerkubckkciedvzskjllkflgnj,,LA,gtn11664,,United States of America,Aldlslqhbqapmfdkwscsolfack,U,4.0,Catalyst Health Solutions,3.0,M,,533.0,1-966-130-5707,Chula Vista,gtnsln,O,3570231.0,275864.0,r
Bqypxybnwmrd,Ctsfdmaktggzjetkjgwhmlgjpnuanbdsoikkypkqkhbewnamthgtqrza,0.0,Saskatchewan,ruf11665,50.0,United States of America,ELHGEECYNM,M,1.0,O'Reilly Automotive,8.0,,Pmhcihdsugfqtksvcrqqpjtupvegsbvsvwtjfhzbarttpclwawpzsflam,843.0,1-896-324-3922,Arlington,rufmucglfjkxsgahstiifywhdzt,R,15856.0,,
uetirum,WFNGWAKHDEHHAZQNJFXJDIHAZKYGPBSSIBNKTLVDXEXSDPZGBXIRMQCF,5.0,Newfoundland,Mby11666,87.0,Canada,AQSBHBBUCABRG,M,0.0,Universal Health Services,1.0,M,KXVYAMEIXMNWJTGUBFOONMEAQDHMAEHPK,327.0,1-477-491-0942,Orlando,Mbysmqgoszm,O,900943.0,461982.0,
Afcmwnh,uaqdxfgmsfvwfqjhdulljhqpejowrjipw,1.0,MO,Rep11667,57.0,Canada,Mheemgmpamwfb,U,3.0,Valmont Industries,10.0,M,Kdqzvcwjqbzqothnbxvsg,814.0,1-072-193-4446,Newark,Rephv,O,3217712.0,403990.0,g
Mvmuqc,Eibnoinuluiqvslugrekpmhlbuuazbfwstffxodxweljkwcviilouowrducroyuhyljrr,1.0,SC,Udc11668,48.0,United States of America,fxtijvvyu,M,1.0,PepsiCo,10.0,,RBXIUTHPSW,447.0,,Tempe,Udcrwhnloryarke,R,2736819.0,147029.0,
KHDHAWAV,liprnkqnqvmfbqylypdfklicncbi,0.0,OR,uzf11669,96.0,United States of America,lhxlgn,M,2.0,McCormick,2.0,,fdcmxnrkyixodtvqxtzttrsbldseugdezrfegoloqjkw,773.0,1-124-194-4990,Jersey City,uzfjfwjwquzcqie,R,1464706.0,443592.0,
,pcxgbfoprorkuktymgoruperzfbbthtrbltkwfwktntiebjjguizunqvsvwjsoquuwnrcbbqtcoz,3.0,UT,Yeu11670,30.0,United States of America,MSCPALXCILRKBVKAXOEMAXZBUODWCR,U,2.0,Public Storage,4.0,,cacyaxinnblvrwjlxiejkpzjgfnimlhscbemxatuubuwbdudgidrppndpbjyqgvrpkgghyqhjt,640.0,1-555-537-9938,Little Rock,Yeuyi,U,2867175.0,143837.0,Z
IXCERZM,Cbnujqhpvwwuffhhpvnapstbdlmnhm,1.0,CO,ydp11671,19.0,United States of America,OHCJCIJOETWWSWSDQZEVAIFZIYQOPY,U,2.0,NCI Building Systems,,,yhreyxtsbqvwjy,751.0,1-490-369-9735,Memphis,ydpsjxvwhypclxxelvwsj,O,1579693.0,297370.0,k
PUQEQRRMLEC,MKHCKIIGVMVTVQINAJFJAUVLDKEFYHXSOHTOWEQVNTQNGLGGWBSJQPKNFHFTKPSELPDMHDEJUMYPU,2.0,ND,UKO11672,63.0,United States of America,Shmjusxwqwwjciesvjp,,5.0,Vanguard Health Systems,1.0,,Jumizqavosqkobwjdmydfnpbl,,1-412-804-3130,Windsor,UKOLXJ,O,598721.0,162761.0,
Iksma,,3.0,IN,SNC11673,,United States of America,GSKNABIDBBJSBHOMX,,3.0,Equifax,3.0,F,Jbkwohmswzqqaygmzknkhzdycyk,358.0,1-825-309-6191,Toledo,SNCVWRUNARYRVULRRHK,R,917643.0,366179.0,
Lhxey,Koqskzvjxlwvirnzgialhkowsbrbeelateuktrpwnzo,0.0,HI,xro11674,17.0,United States of America,Vskvyo,M,5.0,Metals USA Holdings,5.0,,Qhysxaqrvkqlggyoivnfqhbsuhfeucadcqdmgwrcgqyonblqxsjnl,747.0,1-793-326-1785,Casper,xrorfhagvbdhncrfdjbekndtbddby,O,1443469.0,384392.0,
DETQYCRCAX,Ejknovuncvwjttyapctxiohbqhjhyioomvbvuieevbhwpubsqzcdwfbexfqsrellegcdpxy,2.0,WV,css11675,88.0,United States of America,SILPKHPIIOCO,U,1.0,Jacobs Engineering Group,3.0,,EUTSNGURPCWCIWPVEQXUHAEWJJOLXERNOFXNDTNOTVXAYOJRFGB,392.0,1-264-132-6153,Hayward,cssoqaqeveotm,O,2164502.0,445223.0,J
Mhcopi,TIRIGAFSROF,0.0,British Columbia,urj11676,98.0,United States of America,quxemkprnjndinuvurxgldfwnijm,M,0.0,Questar,4.0,F,EOSJBVWAGKKSRHQLTLJFOJMLGUCEWTVFXTDGDRCJQPTNWHHLMCBOWRNKCPNELRMAFOYZ,456.0,1-321-350-2259,Lancaster,urjsfallyodbqqhz,U,1197133.0,375792.0,F
Hlntnjhjflyo,Ksspxlrfnscohmmibodbxijqxdpdewmvejfntwxhijblr,4.0,AL,ett11677,23.0,United States of America,Rdigykcpasqplpirvxhiwiritlhmd,U,2.0,DirecTV Group,10.0,,Bhhqixofgyohgrenadokfnwfiqsdjmpxntcqumnuasuiwlodvbpwwxakaehklflea,806.0,1-926-221-5255,Huntsville,ettjcfvlylprgysrejkubdpdtmu,O,1010441.0,220949.0,
LTGXSWLW,,3.0,SC,Cdi11678,5.0,Canada,HZYKAXUCOSRON,U,4.0,Owens Corning,8.0,,Ltinxnen,509.0,1-953-155-8687,Columbia,Cdirobovvvjxujo,R,199216.0,241942.0,x
Mwljzuxzv,Wmbxgcpbhwwmezawfmnydwsutoqrq,,ME,Ztw11679,74.0,Canada,Fifgeqwpgifjtsyyltndojo,M,5.0,Jo Ann Stores,4.0,f,irynxjocrktocvsjmqkulazvlirrcijhcbeaor,563.0,1-176-162-5262,Fort Wayne,Ztwdmfmfjewnjqjorlxpxryvxfxhe,U,3963144.0,483010.0,U
Vgmmsbwacaif,Delgkfxnuywesx,1.0,IA,cil11680,19.0,Canada,Ulwcoq,U,4.0,Telephone & Data Systems,0.0,,Dljqawrsbiyrhpisbavbmfykiecjocxbxbzccjptoquiuvbjenxhvnuomop,745.0,1-410-981-0577,Albuquerque,cilfffvvxterraobjuxnp,O,2601194.0,312551.0,
Irckndphmwr,RCYVZBFGZKCHXTRVUMUOCTMFENYMNCEJDQFLXVDYTWEICOHYYQUCWB,1.0,AR,Xdr11681,65.0,United States of America,GGENSYUBGEWQYWDUJOGQFUUCB,S,2.0,Gap,0.0,,,723.0,1-594-359-0657,Little Rock,Xdrfcwjyhbmcpbramwjowsbrj,O,1673953.0,3571.0,
ZLPRV,YZDDCZUXOKBZGMXPUXXAGHDBLDZOJIPSYQPCIVWYFBBUDDXBCAKSQWQSNE,1.0,Newfoundland,Ctr11682,40.0,United States of America,QGVDVZ,S,2.0,Paychex,2.0,M,Nhthtgylyugvkjzknqmqqcvqydduayoybitkovocukbyjitxcpgswzji,815.0,1-401-555-3070,Warren,Ctrhp,O,270302.0,200037.0,
QLLTTUCIMFTV,Iyhtoklkorjisnutnsdqemyvaywdovqupqdifqdgeqbdfdjemnqkadgeiyvg,,FL,SBH11683,31.0,United States of America,OKRFIRAOFWKXJKLCLQLOXZHNL,M,5.0,Windstream,5.0,f,MXNYDUBGLOEBAQHYMSALXGTLVXOYIIGTDHYULCPIHMKYAAFBKRJN,,,Milwaukee,SBHMFSDEHRFAH,O,275543.0,184904.0,y
rxombjznw,TXSGDCYZITDKSCMJRFUM,4.0,FL,xla11684,49.0,United States of America,LVOKODFHCPYOEJJHZDUBNLIM,U,2.0,,7.0,,Vnezvqnqplcragadfwoaussonzkmnzkoepvrmfpcinczedfrduviirzzc,494.0,,Cleveland,xlafaqjxebehjyasful,O,1537051.0,264753.0,
Gtbqry,Ymmwnucsbmugxefafroxsdmqkfthidsbvhhgazxcpjkrpimsbibsimzz,0.0,PA,TKM11685,64.0,United States of America,lclgepexuygoebrxqvxnigzkh,M,5.0,Pentair,4.0,,SUSRSPGRIWYMNNFRZBHDVTVENDUQVGAKPUJ,502.0,1-753-130-8370,Long Beach,TKMWFTPHYIFBILRQGEDXLGPJK,R,,357753.0,
Mhoik,WQCMURNZYYXCEYWBRAXZKKMFFKIZAPMQQUUQDWMTWGCCDANZRHOEQHZTXOEDWKYWHRTRRAXNOBH,2.0,MS,gme11686,6.0,Canada,Ilkkyfhbvylnoh,M,1.0,Securian Financial Group,1.0,f,UOLRDUGXNCYULSTFSCQSBHFXPJHPJSYYJWMBHFJVOSR,604.0,1-152-194-8209,Jersey City,gmenajmyxpkjteojobwahxlq,O,1738558.0,119675.0,
rciclwp,NQECZHEFSCEWXBEVCVIFMCGKICSCNCJEHIGCKRCDCWCLBJKP,0.0,SD,Ohi11687,45.0,United States of America,Xlcvzcaqzzcmdrwdemzvryggysa,M,3.0,Watson Wyatt Worldwide,9.0,,KTFEJNLWNSXLC,627.0,1-191-951-7804,Overland Park,Ohiqxgrpvunrznq,O,2116401.0,274993.0,x
Sxxnfmmacxs,Cahwqrpsltfgmggpcpdlyhfbrmipmzjzafiihkrlrijnxoiykjauwlmdamslwt,3.0,IN,Xpb11688,59.0,,Aeaypvzvaseyxxjzjpsuprdgmpuxx,M,5.0,Mercury General,4.0,M,Khsmcrvjwbrngipejobaoxcgfpfyhkidbipxekxuooneqpaxhpbuxirbgtwiqdwfuzsem,626.0,,Bakersfield,Xpblltvhzrehqmkgbcxvqd,O,1678971.0,,
clbiccuqjr,Nktboxqxgyvuklwl,,AZ,Vlg11689,51.0,United States of America,Ywilvgponxgzovewagorroojtsu,U,,AnnTaylor Stores,5.0,,Nhtmagcsawwkrfgwlfnvgmhfedchaxqlotlrdjwanbbkwkhuluqbne,771.0,1-471-247-1746,Allentown,Vlgfisaa,O,2669106.0,419338.0,R
Cwtdnulw,XMWIQZXRSQSTXQCO,2.0,ND,Fzm11690,35.0,United States of America,eobyslnvvawj,U,1.0,Realogy,6.0,m,Mbpvsfowhfgbupkwlvuqnltudaiwjysciwtbnhbflcvwbxhuxphkbcwjo,309.0,1-114-745-7251,Eugene,Fzmovsxoipxzn,U,1901664.0,207435.0,
Regwvlzcdtcl,Fsvksuxrurgbvoowczqayxbgsovhctetnmy,3.0,FL,WDT11691,71.0,United States of America,Irqofwmhoccse,S,3.0,Fifth Third Bancorp,0.0,,Ccnvcghmcnjckdjfhobsjidrxzgpqsbwibvhrtjxmeylnluvzfipyobtkmwyonhlfvdapvl,504.0,1-477-243-2249,Tucson,WDTRCCLYGCUNZ,O,3038656.0,,
Vrfiiralkmd,iaredfitksemljadttzmhnrhchorrewfpcatyvjqwaeunqvatgcyatyfiabounozzp,4.0,TX,HJM11692,87.0,United States of America,Gryywzxqo,S,0.0,EOG Resources,6.0,F,,329.0,1-452-030-9422,Yonkers,HJMGJRLBASOQHORCMJRETPHQ,U,2453031.0,398542.0,d
Yxevhn,Grwzedacxjcjzdicdmnoqfadjcincredijnbdtbbxibfufmojudi,4.0,OR,PEI11693,49.0,United States of America,ftpszhtwyddfpref,D,0.0,L-3 Communications,9.0,,Yhiwghfqhrfptxlkaupseqswamdfvpipmctmrgvllvvqpsnsbmlv,423.0,1-442-354-3443,Escondido,PEIIOEYNCDDMSKBQDEJW,R,207536.0,223669.0,F
ereqbtx,KGLVKPAHXKOPQGHHCYNTADXCQLVHUMQPMJXBUVTWHXJSINZKAITTRZCPK,2.0,Alberta,RBT11694,58.0,,LTQEKHKLFGQUEEKLUGBHZUOQAGHSH,U,1.0,Lowe's,6.0,,Mwgmvkcgqltyvd,607.0,1-098-984-1794,Vallejo,RBTNPGXNYUUYIVPIVV,O,206639.0,473319.0,
Hahbba,TYAVXYLTRMTROYQLOXBSNISEBCTFZLAXTHGDZMCIDRRAKOGDOQBDOCJL,1.0,Prince Edward Island,Yka11695,28.0,United States of America,UJMIUVSAVRVHMHEWTNFWGHVTPVSJ,D,3.0,Visa,7.0,,mzlylvnmjdavszmcwclkbdjyjksmrayiw,606.0,1-794-059-4223,Santa Rosa,Ykakquplmhqtqgsp,O,2985447.0,100209.0,t
hcerut,QGINHHVVHPNYOOPWOXHXFCRTOF,3.0,SC,WNT11696,55.0,United States of America,Ubflbmhakslupfqo,M,4.0,Occidental Petroleum,6.0,,jmsufcgsuzbkruilzvvhlgsehayblqplbwppnuhkwxvbluporpgucxaiehysbhrfxqompazp,594.0,,Corpus Christi,WNTSCZXSGPLOVHYSZJTSFRET,O,2053374.0,319306.0,
Cowzlf,Hxsrvfwntamidzccgxiazborm,5.0,LA,ywr11697,65.0,United States of America,Wlldjbisephyunjeyhsvlnzlmm,D,,O'Reilly Automotive,0.0,,Kvyqlqllprccegvoo,357.0,1-654-654-7304,Dayton,ywrrxbf,R,1408481.0,8973.0,E
Bxqjeyqcpjiw,pruauvkvwssijsycfhmw,2.0,AZ,Jbb11698,23.0,United States of America,AGGOVTVWHRU,M,3.0,Thomas & Betts,3.0,,WWFYJSOSCDCBFAGDNJSUTECVAQNWFRSUOQWUCTEWQFPUVMMXUTJXFAXWBLJKSXCV,827.0,1-744-200-7047,St. Petersburg,Jbbgalawii,O,2945555.0,307477.0,
Pgnbslakx,Clpzbylsmeqec,,WI,AXF11700,37.0,United States of America,Ahfnusfjofqpkx,S,4.0,KeyCorp,2.0,,INXSCZGILT,457.0,1-866-638-9616,Yellow Knife,AXFDTOMDSCEXTAJFCFTFPANS,R,2550827.0,193836.0,L
Sjituautbv,ujhzbqxbcqge,2.0,LA,Lys11701,21.0,United States of America,Bhxejnedghahotadeggrznokwd,D,5.0,Mercury General,6.0,,ttjpzcibxzknrijuexhztxkhujcrbzasry,607.0,1-196-498-0536,Mobile,Lysrcijul,R,780037.0,251277.0,
Krnlxqgvh,zlkrefntxvqgagwqmidwdddwybtsawynxbmybluiirecqxiooctfvgumgjtprmjxvfppskllsko,4.0,VA,swu11702,,United States of America,dqgaootgsavfrrtotzfsyjh,M,4.0,Exxon Mobil,8.0,,icufrksxogkbojnduqxqldrrjvisxofuw,373.0,1-955-740-7729,Omaha,swuyojqdixmhqwnyzducmbmg,O,3909871.0,59523.0,Z
Xdromjnfftg,Rkstlbvuchicbuu,3.0,Manitoba,Zpg11703,15.0,United States of America,Wqtqovajbcipjqqxtknudavuisans,U,4.0,Tesoro,9.0,F,Bamgglydkykqpm,675.0,1-834-052-1125,London,Zpgetguso,U,2346962.0,137795.0,
Oqtnallelblv,tsrenliyfxdrzsaxykgxxwpxukspfd,1.0,NJ,OAW11704,63.0,,BGSVWLEGLVEFUOADSHMZCBZEM,D,,Northern Trust Corp.,1.0,,Ohawlesdlepckfovkxcxyqzvlfwcjjqfeatarfs,363.0,1-535-102-7352,Huntsville,OAWJLMMH,O,1250930.0,399046.0,O
BSPLCUEHFPK,JRBBFTTQPMGMDERVTEBOKPJUNGUDZIODLCGPJEOYOGLJIBNMP,1.0,HI,Lfx11705,54.0,United States of America,Maviygwocwd,U,3.0,Snap-On,9.0,G,Kmmuna,614.0,1-963-878-6116,Mesquite,Lfxjufypqpzn,O,62707.0,334031.0,
Vntnhuubt,Lyomtgnqycizdtlgknldcejxudnkgtzattweasbwgbozriusxicxhmle,0.0,NY,Yft11706,45.0,United States of America,neireukqktr,W,5.0,Metals USA Holdings,10.0,M,Stlywoxbfmhilemfyqnqchxovrbquewbcobomdychuvtnqatetganxdaxwylfdktrutdtvt,695.0,1-954-749-6275,Fairbanks,Yftjelgexcbcddzvbmogad,,3294642.0,315684.0,
Zvcornlcgp,IGBPJPOWIFJONEQQSLZCFNMMPOFPJQQZMGPCHDLTGNAXBOSNEVQRTEZWXLFCLKW,4.0,TX,Who11707,52.0,United States of America,Uggrtznkwvzvessnwglspzbushsnd,M,2.0,Williams,8.0,,Hpdsavspuf,321.0,1-528-121-1449,Warwick,Whogwrqsox,O,3171625.0,429394.0,S
Sclpxnpmiclu,ZGQMKKIYQATUDHBVHFQJNPWNUGJLHCQHBILQAMIXE,5.0,ME,XWA11708,32.0,United States of America,OVTWKXDMMMBKCZ,M,0.0,Berkshire Hathaway,2.0,M,HLRDJNSIKGWBUUBOESUUZFODGSEWN,699.0,1-827-138-6252,Scottsdale,XWAICWIPUFSMRTGQGHNWFFATVZ,R,1424214.0,192710.0,P
Hsxtbmjyrtx,Lusqfuhfpghsodvoexdpehfoffvprrsmj,2.0,VT,RYC11709,6.0,United States of America,Hgyicjwurbmhrgxqzpqtiegnrtbc,M,5.0,DuPont,4.0,f,GINLFZQRGHDCPFMHCVNIGKAOPKSPCLGCRU,818.0,1-183-744-5645,Albuquerque,RYCTXTBJZSBGNLTGJTGZ,O,191608.0,166631.0,C
pokoc,hmfyuxchc,5.0,WY,zrz11710,16.0,United States of America,BBORTYXAPTEWNVQHFX,M,3.0,Teradata,3.0,M,Cadeghefdriibsbsa,427.0,1-285-006-1659,Kansas City,zrzmg,,3886497.0,260879.0,Z
