prospect_gncd,prospect_ntwrth,prospect_ddrssln2,prospect_ddrssln1,prospect_pstlcd,prospect_nmbrchldrn,prospect_lstnm,prospect_phn,prospect_nmbrcrdtcrds,prospect_cntr,prospect_frstnm,prospect_nmbrcrs,prospect_mrtlstts,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr
Tye7324,2780430.0,dehfhwfoiuyjlxdipncdqnbihbvyy,Bjgmbqxpbaqwprqzafksgdgnznhhrcpgconbvisgxpytpimqnfmrgcbovmyvqwib,OKPRJEKQYDW,4.0,Tyecnbttlshcmqaptfxd,1-656-360-8753,,,syxuhgmuudnysqosh,5.0,M,23.0,441.0,O,JetBlue Airways
Skw7325,253067.0,Crhqxdvoxvvljbpjyaxinmrlrwgoiaegganf,yagqzwvjr,SMTXIBV,3.0,Skwuvxn,1-354-337-7679,0.0,United States of America,KDTURZGNTXAVKIASTWGJHLJ,1.0,M,29.0,700.0,O,JohnsonDiversey
cjg7326,583131.0,,HOFPJPMBKAJVTNLXZPDN,Dedaljae,5.0,cjgshjsyaul,1-793-945-8810,10.0,United States of America,Jystyvsdjerlxzhopwjcfhfjallsb,1.0,U,12.0,498.0,R,Phoenix
Zlt7327,833892.0,hldhsypbljsblcdpeydyuqbqhh,vkjtafxnyfwavyeeepasargtli,iuwcofghos,0.0,Zltdfnqhplhbwpnmoggjoeakdne,1-599-064-6798,7.0,United States of America,jhpvgffoinzkctkgj,0.0,M,52.0,786.0,O,Lennox International
Lsb7328,316863.0,SQFNDSPMVPYETUMPPBWIBDS,Wuxccgjgwdahvvrljqnvoqrsmfawigyiiiissqvhzvmlkstanfsxaxrkqfbpq,Jtjhv,5.0,Lsbzsbuzbunzkvmfcila,1-825-450-6732,10.0,Canada,Cunwftczxnqekzyhv,2.0,D,16.0,635.0,O,Exide Technologies
uvw7329,3069405.0,OOQUJVHKJVTRVEVSTMRJTEPKFJUHAUOSWQOPEAIZAGWASP,QSJYPHFS,CSZRRJCG,2.0,uvwxb,1-313-688-1271,1.0,United States of America,Ysykxclbgcpwvpkhnykwfafvia,0.0,M,70.0,607.0,O,Ecolab
Piq7330,3326323.0,Htldkmiaahsvbml,Btnueinmdosdxwpslmjoyhcmuerzrcnzxyvfznfjyamev,twabwh,5.0,Piqfofakwlbrhjs,1-281-302-2932,7.0,United States of America,XJFYAJU,3.0,D,8.0,612.0,O,New York Times
Xne7331,2488789.0,Yaeuldpqbmyzrncnmwmuujijzmibirswgluqipghjfefjsdpecglfutzcoxgnuetmysvonp,sdspkvxkqrznewzxkxlzgrroredvieykhrlfsnc,mctxumuleaz,2.0,Xneyyljmvg,1-015-277-8368,3.0,United States of America,wedcjr,5.0,U,29.0,649.0,,Unisys
Gev7332,168023.0,,Zlsxnfxyqdvfllhviddkosulneqekaejg,RDSGFFWFSLLW,2.0,Gevhumpjwxc,1-204-853-6439,6.0,Canada,Ksmimggk,2.0,M,30.0,656.0,O,Telephone & Data Systems
UHL7333,2418729.0,Afifkjtsrbvhbdgqaiqewhquvfqtqrkaopdrlcubfgnietnuyuzssbztuiihjtqolgacbfs,ONFNLOEFNEOBBKKDFWJACNVN,SUKCX,1.0,UHLXGHHZRHKRWHDGYWQY,1-076-922-3836,5.0,United States of America,JXDYFBYUZBEHXJXDEEVTLAWYS,1.0,U,41.0,423.0,O,Pride International
kjg7334,3705197.0,bpfstlrwzaxgusoxzuwgjriiwcgezzpfbntkhdxnjkuogukvcfymqtlfaivkjntnfr,Yykflcmzrxc,Quhnmi,2.0,kjgpbnu,1-337-420-7701,4.0,Canada,Grosiqzrkratsyadevufxamjckpnnq,3.0,S,12.0,492.0,O,Interstate Bakeries
Vmz7335,1288850.0,KVSFDXITKKIKLLEFXAGYCNVHFTKAGDSGOMHWUFWMQASJCNMTGADBW,tdbeysby,yqezbdtn,5.0,Vmzlzkchv,1-597-688-0038,10.0,United States of America,Ehggnelkhpzesmnammjnlzu,0.0,M,43.0,429.0,,Qwest Communications
Zqp7336,1624274.0,SHJNLUMQHMSIHEKHTDVUYTKHFGKTIWPKVFOJUPZEDMY,TRKTHMVEKBDBI,Marxhuqmx,5.0,Zqpczvstyphkdmyi,1-776-842-4793,5.0,Canada,jlfadgdqudpkcegtaawulxfp,3.0,M,15.0,769.0,R,Adams Resources & Energy
Rlj7337,643752.0,Dsqirewxgajcuqmgwbkywmgloisvfgxtnxigbgydcmwhvmkbbubzvy,Ayjjfsedcitjgpmtcqnmsfppxet,olpap,5.0,Rljkueonpmmcbbvofundxfnnfvj,1-652-487-1261,5.0,United States of America,Ygbfaufxyvydeckirgcqw,5.0,M,61.0,310.0,O,
WJK7338,3019777.0,IZAVFHMBULMRMWJPLEU,jnfhsiuefbwgzamycucknuoplmryjwzcwweluuzpfqrnjwizofaisfjzbdfaevffak,Vpctvc,0.0,WJKIM,,9.0,,ZAZADIDRJIFDNBJNYFPWHE,5.0,M,76.0,304.0,O,W.R. Berkley
jdu7339,2367021.0,Ezgaehij,Nlugitbtqwdqeiulwrdmfqbxl,dcshd,2.0,jdusrjha,,0.0,United States of America,ETUSTKAWFWEBHYCMTQNEDO,3.0,W,94.0,347.0,O,Circuit City Stores
Ool7340,2708087.0,vwhebbhppaysikvstugvdxsukbbmwqfltarxtactotjitebgjjkcqvhbuladcjqeqcxgtriu,Ffhrujxpogxyfskvxtuqvuardmttryzxosjxkvkoudjhyfwsuxjkvhwjxloqmhtssdxtntbiv,Ykewh,3.0,Oolqqoswkvhuhlrvgftjmurtkg,1-373-849-3011,7.0,United States of America,Vohiojteb,4.0,M,45.0,303.0,O,E*Trade Financial
Kak7341,3335257.0,Mbitddl,,ydfusavdwbm,2.0,Kakhonmdgwpnvaqjkxjevyyapl,1-282-167-9462,10.0,United States of America,Adjqvanjhtojo,,D,40.0,625.0,O,First Data
gaf7342,739623.0,Tcxrqxmnzrwnb,Tnhxniwqwmmatnnvlgjljxjeritjnhajxfrlmfjgamijvd,UZWTU,3.0,gaflxqietixvtcoeradefuhmxvpsdo,1-047-593-3625,7.0,United States of America,Jilmkikjgszrfspqdbsacfgpt,1.0,M,80.0,821.0,O,Piedmont Natural Gas
Rrt7343,588673.0,Njvsodxqvfssinqgmrlf,ICMMAOFDDZXDCHOAQNTCPKHQSYRYXVHYEEUTWEWCBPEZNFJKDHEIPJWIENPYDCUJPC,Zmsexiu,3.0,Rrtdmgsqlmprqmvxvdzpwqi,1-773-217-8411,5.0,Canada,Awrvtsardxwhrahaoirtt,2.0,S,87.0,753.0,O,Harman International Ind.
Rkx7344,13482.0,VRCQMZUZEWUPEPQFUSXTNPIVVMLCLGIBRWDZIRUONJEOJBENOSIMOIOQLVAHIMWMXRFKAD,DKUCSAFJISKHSUNMCOIKKTD,,3.0,Rkxeyzyuqwprnkikpogzwoxuqbjt,1-308-220-5117,8.0,United States of America,nxgguxhjleqzkf,1.0,S,83.0,585.0,O,KAR Holdings
Bek7345,2244698.0,Fvydhdwiqaehbiufstumojeouuwjuhrahsrbt,HZGMRWKOMBEH,mpxkxivwz,5.0,Bekkphomftkdpzwvuogwmddpatu,,10.0,United States of America,stxrnjjnfnv,1.0,M,19.0,784.0,O,Delta Air Lines
ywv7346,2172263.0,olebugpqmfzggiyhoquxmbcyrbqtohatqoypnnoriuoozhiuuzczsrrxbtbncvxqsirkq,ADQMHKQAAYNJLTBMTRDLQAKDOSE,Tpwtovsi,1.0,ywvnlwstsjgrunht,1-333-255-7079,1.0,United States of America,etgdamsmct,2.0,D,50.0,461.0,U,General Growth Properties
Emr7347,3964580.0,Ubuvsyebkbumbeszglfkudmdnpfwlrzxudyaewjoyrik,CKEBTIUPHHGDGFZMILOWVCIVQBHKRPYWYZTHINYUROTFBBPLEMFZPWYJU,Ckaxgritmydj,4.0,Emrefupdpympj,1-485-109-8871,10.0,United States of America,Mrwvgrcuuxoifnffkrsi,5.0,M,70.0,474.0,O,Ferro
NYO7348,1234051.0,Bgqydkwvjkfkzvfrcqllvffcllvlpnlbcqxnrlsrnfgf,Ezuimxobfqgitnevmvsxvfhfpxnatznmbut,STBMAS,4.0,NYOEMKLUCRNXCENHEYIGPZPGNLUD,1-951-613-0465,4.0,Canada,Fkdvsswhlf,0.0,M,73.0,718.0,,Consol Energy
rmf7349,,pqcgxwjtlbtbvqpagz,,Xmwij,3.0,rmfyfulxmgveqvtutdrkuiqvuh,1-589-366-9563,,United States of America,Dinbfhdebzbcyhkvj,4.0,M,98.0,302.0,O,AMC Entertainment
Jba7350,2326959.0,Bactqghesn,onijmbygjhloiiidkghqamgcwuhiddsgjicfnuswimcbrhlmujxnlzlvszvpkcnmbqtka,Cjtfi,4.0,Jbavktmaiibuss,1-284-774-1521,6.0,United States of America,usfkvqdmfpddcy,0.0,D,17.0,405.0,O,CC Media Holdings
Www7351,818663.0,Iinotofikgbxlbvlhgicapcizxictrzehpqewco,dvlfwjdsrusupohnoscnkzxctcieehejgifdojvbrzusnaotvtgpmzcfrgnxijauqnglkciyjbxz,ULHEBW,3.0,Wwwpeaigcbq,1-327-869-0935,10.0,United States of America,BCRHKEKGDVUGNWBMMJECT,4.0,M,63.0,724.0,R,Avnet
xgk7352,1465731.0,uhsstdlguefbgmrurwhesfzg,Eydgxjrevvpsazxrnkcjxrwvgrvwqdcicaskwveqxmlhfomkwjovanopqeeytmgmrbzqmrsqblvjjtts,VPEUMCGB,3.0,xgkdnoxtkivyugvqaihdnueqt,1-693-229-7895,0.0,,Mncqfcddsafobodtgzjszcjb,0.0,U,10.0,733.0,O,International Assets Holding
Osw7353,2198966.0,Dpxamrdthxoccuxiziwvrozqenwpgilsrwruexkbngypjtlahdvihntnevnqmojriowb,Obylpitkctiqjtijxwpubrueyryfgkflqeaornmcgwpvijkamjpkgugq,Fvflpys,5.0,Oswtbqm,1-854-614-0419,9.0,United States of America,ICUAZUXJCHXNASZGOQIISSOWBCPDOK,0.0,M,69.0,,O,Medco Health Solutions
Emd7354,606009.0,BPUOVGGNGPETWUXYDGJGNSKSVQXPJZUWPLBVNKTSPTMWAPCNNL,Bvgpyxjrpnbaavgdu,Ativbq,0.0,Emdynokbvmwomwjicqfnxq,1-163-198-8400,6.0,United States of America,fqrwstn,3.0,M,52.0,750.0,O,NV Energy
PMH7355,2978313.0,dvnxolmecnmkaajfvafbtuerjomvrempnmsbwnxmmxfivuyjvwi,Jaffgkawzapglxscjlbcimceyohgfnopbscxx,Tjvoajpvhhh,0.0,PMHXWUPI,1-101-388-2760,3.0,Canada,Ztuaferoahkaijwoardvjubad,2.0,S,54.0,508.0,R,General Dynamics
Hxs7356,2030025.0,Hoheayebmwzswtxhahqzmbnbonzlzngllggv,HZBHRSEMQBNRAJIOECVOORLHPDTZGUAYFXBESGLAKZIQULJI,Fxexufuw,5.0,Hxskuxpxrb,1-462-233-5378,1.0,United States of America,ddbtfeughgpuadouxcpqbkxtcfat,3.0,M,22.0,646.0,U,McGraw-Hill
jhi7357,900491.0,jwcottrhlbqrnizhcqsfipyrlwnjtcmkk,KLYDTUNQBWGKFMKUQGIDMADNVYMIUOEZNAMFCIVGBSFNE,Xzufg,5.0,jhisox,1-948-904-6458,10.0,United States of America,MOFUNCLZFUJSPVGNXH,5.0,U,8.0,626.0,O,CSX
Sfk7358,3605052.0,RBYBUCHODFBRIPVRLOVUPLBAOQIUGHXNCJAPKMNYXJTU,Qxzbsoqybbtjuupgwobcbtjiymxlb,Wbsec,5.0,Sfkukt,1-172-275-0899,5.0,United States of America,zsbrikcw,2.0,W,50.0,357.0,O,Celgene
Bmy7359,1977027.0,Akjvulnttbfjeuwlmyaxrixtrgoymwyedoimdydnxoogdvxs,dznretgqgwqzqtthtjlunboihnirkrggtyxjpxnlqzotyslidoz,teyizbwjb,,Bmydfmymzruhvtovhzudazetkcyhbv,1-732-258-8519,9.0,Canada,Cnfgmgokimaxpxfpfnqbpjcovn,4.0,M,24.0,564.0,U,Gannett
VEK7360,1445666.0,tudeuoxmulmcocmnw,MICQDRMDJXGP,Jhfwvidobjv,2.0,VEKLRFAHWESLPQTJEHIX,1-667-278-8065,7.0,Canada,Sadnrkkpxnjvhxdbbuthunvmefw,3.0,U,84.0,391.0,O,Watson Pharmaceuticals
Xas7361,910714.0,Qvaloehnnniancpnznxorkbyaowpjvsdvmmkoxps,PYZTCJLFLIJMJAZMSNIYLGOJKWOAUPZXGLOBZPYLV,FXNWIQS,,Xasvbxjhohvpnzauogv,1-119-456-3148,10.0,United States of America,Pvojyuijdkifcvxtsx,3.0,,5.0,800.0,R,Watson Wyatt Worldwide
Nah7362,2220293.0,jwfqjqkgzyzbkfdnqtbblwpoevhbdsmosvncwsrehn,Rvximyvymhzrasxshpjfkwacatfxsiyupl,xxnlm,4.0,Nahhtbgsew,1-360-625-9562,10.0,Canada,vofzbcdj,4.0,D,69.0,611.0,O,Staples
Pnh7363,2352469.0,Ivcphsdrrzcwdkobgdnavsdpjlspmbeqmtoaxdaolooaqtpqwm,zdlvvlpnuellhxkfqvzunkrmtzvefvuqcewdjlwqynxzhrhglzyro,Fqwmy,1.0,Pnhsmyzmididduzm,1-808-943-7147,9.0,Canada,cmsnouounhqdtkzn,5.0,M,93.0,628.0,O,Ryland Group
Frs7364,3734966.0,shjmghoroxbdjmldycwcpykchrlpghhb,dxmdozkczjlqyjsswnwaqhifrhhwi,DLARLBBFAX,0.0,Frszltfmmvfjuhaopikuxtjfgywk,1-056-131-2744,5.0,United States of America,barlotabyctfkilvxw,4.0,S,33.0,680.0,O,Smith International
UHU7365,3971530.0,mblceinzxoodsuufsycmgcuuyvambinsclaxfukcjwkxxpykedtppho,EELOOOILVBZDFQJAF,nsclnqeznroy,,UHUGDLYERPGQMYZLQSNNALJO,1-923-792-0287,0.0,Canada,WGJXKGQUNDTIN,3.0,M,43.0,490.0,U,CarMax
OMA7366,1263086.0,VNUQOVSUTMLQBWQBAK,Ixaidf,Wfapvvz,2.0,OMAUETVNFELWJU,1-944-916-6308,9.0,United States of America,Rlgoitbcrzvy,5.0,M,,639.0,O,
Swo7367,3659862.0,Qiwgd,BKRMDYVZRFYGSOEQQFXDASRHSTGMLPJYYBKIUELSHVHSQEKCDROWMQDCILSRAD,,3.0,Swotdktgbecvgakhcwqfvltznvi,1-045-215-4302,0.0,Canada,Ivaxidtphibgrtehwkjzwwagufwxe,4.0,,89.0,643.0,O,Teleflex
XKX7368,3680886.0,GQGCXUHAWAFINMELGYQLCAJPXKSSMCFYEBRPWEKXXTOCYSSKLPYCJLIJFIYLNFKEPIIGHEQUIGNTVGA,sbpxfquvstdxeslcmsibkas,Hmvukd,2.0,XKXWAC,1-545-070-3132,8.0,United States of America,cqxnwk,2.0,M,15.0,783.0,O,CF Industries Holdings
Hzz7369,803069.0,gkuqnzogklgbuudblknlhxyyjaqxpfwwoowepoeonynxzykwmwtxlrfmqstdjpdoipsinuk,BJXEEJIXKOWVOMTIHYTZONTSXLHBQIVZELZXOJXPESSNE,Zcxqzn,5.0,Hzzkczqwgjhwif,1-170-358-2185,7.0,United States of America,Qsrvvoggfpcpakyogfstpnvysmxmea,5.0,M,,602.0,R,American Eagle Outfitters
IMH7370,1486463.0,Upqjcfaumuwbp,HUBPNAIFYQEKMBRIERFJPIAK,RKTWTIHZ,2.0,IMHYJQTBXEPSSAFM,1-814-411-2810,1.0,United States of America,OSDHBN,1.0,M,6.0,432.0,U,United Technologies
Juv7371,37755.0,Uelzofrqoqffclfgjkssngrfwmacerneeflckjdimlxbzbnzzpcfdvgmimxrbfkcdlnvkkvcw,ujwdmzdxszrzkutbgqssmxgqydfeiniohmgrijwvuda,HMUESZRKDI,5.0,Juvnnvu,1-838-655-9509,3.0,,Zoyagtwvyylj,3.0,W,21.0,592.0,O,Cliffs Natural Resources
wps7372,3376136.0,Cwntchgfpqfdmbferewaqmgdsqqtozvbokzhqlrcnwwwhgqbmxiucabhrdhq,IWDBOFRJPZVIIDVHUDDGBZSBJYPCKWDBJPP,zxflz,4.0,wpswpdsuavhifbrlflkfhsw,1-997-486-5353,6.0,United States of America,zyjbcpjkxnil,,,10.0,810.0,O,American International Group
EQS7373,2546611.0,QQQVBOMPWHSDUZHQOMXJUSKJLTEWLHQOIZCEUVICNXRYHXGFYUBTOUFWXYOSDYRAUJDNTAIU,Hgqcwlblxssqrvjlycpgtsqkwzxbmfkbjlwnucrkjilbugkqzcfkancqymda,,0.0,EQSHAWVULJNOKRZSIGI,1-576-466-7583,8.0,United States of America,iyentetrbekjoqvykaat,5.0,M,0.0,383.0,O,DirecTV Group
QGX7374,2616643.0,RSSMETFZPIUAENWSMNGGWXKFIID,tarirosvravbshjiwxataaeywlqoergvrcwr,UXONXBLNTNKX,2.0,QGXRNETBNXFYEVPITQYYONYPC,1-265-716-2261,10.0,United States of America,Edrtopxilojvuxcp,0.0,D,9.0,600.0,O,Bank of America Corp.
RLD7375,162508.0,Hesdnwhibkuhchhnjiufhc,Exuaebgsfycumiameunqgwou,Xeicyowf,4.0,RLDDFNZFNNHIJBUBZR,1-902-164-5685,7.0,United States of America,RDGWTNRJNBJIGNRU,3.0,U,98.0,580.0,O,Charter Communications
Bnr7376,3612856.0,ELHURWXDSCILJEJVGQLSOWAKHHEOU,,Bccqiwk,5.0,Bnrqajmduvwxb,1-137-629-1930,3.0,United States of America,CLAONWQJHY,0.0,M,26.0,383.0,R,Itron
Rkt7377,2027039.0,Urfqspegxyljzgnezwpzoikuxjmvelrcgihbzqgjuunoncdxviubwhclvkcxvbwxesmctkxpcxjcppwj,HKVVGYSOTTNIYTMXFWBLXNBKSJAMRGXODWAEITVFP,Drpqasxbakd,,Rktdvilzxrl,1-847-339-5068,5.0,United States of America,rcmbvwcchuxubpbozecxjqio,4.0,M,95.0,581.0,O,BMC Software
ALV7378,2741098.0,qbhjvrippdg,Elefgvwasfoogntjw,EEXTBEOORZ,3.0,ALVUWPVDXPNFLDZBOYOAO,1-836-641-0519,5.0,Canada,hkflbolm,0.0,M,25.0,850.0,O,Dresser-Rand Group
Ghh7379,,Iidulz,ABTOUAVGPBHJHJTWRONTJQOMKKUNFXLSSVSLIHIBBCLATDXMDDIA,,5.0,Ghhennsxtetjnkklldmsxtrwg,1-649-029-9865,3.0,United States of America,KHLVSJXUXQ,2.0,M,99.0,737.0,O,Lam Research
Sss7380,897754.0,QBUBUDAUHIMSBWHNWFHWOLGOAUOKCCNTYFTMHUXIAFBKMZDUXQRXHWQQNOFSRUEI,Rcucmpctc,XSEPIUFLE,0.0,Sssyukxdwwiybotbvzm,1-007-234-4876,5.0,United States of America,gkgjyqpejwhjlwkyhbijo,5.0,M,70.0,343.0,R,Modine Manufacturing
aic7381,3359299.0,Vfnitfdlyaaxmpmvppigomrr,crjedjiuhw,jldpw,1.0,aicjvnfhntyyhohsetn,1-960-341-2572,6.0,United States of America,Cuizluprry,1.0,W,55.0,575.0,,Catalyst Health Solutions
Udj7382,3096389.0,UEUSASCDDKTSLCBOEVGOGYILFVXJHKZQGCCNJESDRHYPWRSAEVNNDCVMZLSFXECFYLDUJKN,GMUYIMTRQKQMDDWLS,nehgjesd,0.0,Udjgjpuhvzvoayxeesmfqwh,1-701-349-8651,2.0,United States of America,Fyzelvwpk,4.0,U,4.0,367.0,U,Sherwin-Williams
avj7383,251066.0,Wawixwkkfkjpaojajedeacd,Gfvxpesfnafsodhbzpouqloojmjvnlbwgylhfzxghjcujsmvjfhpfefdoixamvcccfml,Qnwcubkeuc,4.0,avjpnze,1-130-598-0452,0.0,United States of America,NXKDHIONQSXCRKLQIGFGMKGUJBHIAI,5.0,S,51.0,771.0,O,United Stationers
Phw7384,443462.0,Kmeneqsxxgiimgtutpjspypolmsoqswgoolqpbyyjvumalxgbkrlxtoqqlumngvbo,PKCGWOLAHCTQKHSQRZSTNPYXKWWJYRPLCBSYMLFKYTJNGHOOAVRSIFYBMUKDHX,iglbfjzgo,2.0,Phwnyjwxyxstcetumk,1-725-962-7637,3.0,Canada,nthffhxptvgccmsyvzq,2.0,S,97.0,534.0,R,Virgin Media
ujq7385,1228161.0,Trpqurbpoijtzlnjexgptjqgmmqgukvvzxkpezamyabbnj,Rfssiayfwvkvwnucjaruttun,Rikxkfuyyt,2.0,ujqhddbvvqoncibc,1-953-952-2687,9.0,United States of America,Lxnoa,2.0,S,87.0,534.0,,ProLogis
Tlj7386,1984675.0,Echwbaebdwvnwgfodncpvpzphcjebbhpqvbsakrsfytdefxwxmflrjldp,cysdywitotniyjupzpitfirswaxqunao,ymksilggut,1.0,Tljetqdlp,1-989-640-6035,1.0,United States of America,Bjnojklwectspqcdusclqskpghjrs,4.0,U,64.0,481.0,O,Lear
Gmq7387,2500442.0,OPOVRXADBUFNESATMZLWHVAPCVIMWONNINJEDRPVLTWFDJBXNVIMCOMYYAVQJQXMC,qmfnfdzrdkwlwvrzhucilmswswnmirjdrafokneuwgrluqklgpuwss,zjdqposnccz,4.0,Gmqsiregoyxsxwxhoeoylyxnolac,1-707-782-7133,5.0,United States of America,Mhxyaeumi,2.0,U,85.0,609.0,O,Boise Cascade Holdings
Axu7388,1082435.0,ivhtjcykotqfpsbjlxggqrujxwnnglbedqn,LQYLSHPJCUK,Gwbomjkzvc,5.0,Axuhudlukjfmayimtpvuybxcizv,1-709-149-0007,1.0,United States of America,Wceixamirldkwfokpfrdpofutmsgcu,2.0,M,0.0,795.0,O,AGL Resources
slv7389,3584410.0,,Jvgbzeejygwnfsukkucemmikzvdevzchxhjxxtceta,KPURBPXA,1.0,slvcnuyibgodcmgpknedi,1-250-422-1215,8.0,United States of America,ORGPEOJWROEOTSFPKHSQRMFL,5.0,M,,817.0,O,Mylan
Wvp7390,2049719.0,bqiwuulvmikjsajcqrsjilipfpvwurjqiwpecwzeqhxufa,Hcianuarwpgnlywjbwljeyxbwxriggucnnlufxqoobbrakxmuhumcbeggkmtbaskplaxwllguxdun,Hwssa,4.0,Wvpnvlsrlcylfxcqydjhz,1-350-507-9531,9.0,United States of America,JVLCJLZRQTXVS,0.0,M,60.0,688.0,O,Lennar
Njj7391,1488299.0,Alkdxqxunrdrwnrdklasapvhxttpwvxdmzlqb,Cslnegwfzmcjwzawbzlrqsvnxjhsfgafqrzforxolmrfwfmhdhesvdcvhkdmrblwgm,Kedkvwcf,1.0,Njjjwjlopyhrduruhwrij,1-166-958-2960,3.0,Canada,SHJVOSTFAAHCCVWKYSRIPIRZTL,,,10.0,421.0,R,
lko7392,255663.0,ugbddgvwfwgrjioezculvtitexxnvtgqhzndruewupfun,cctpjsvzrddt,OCCUB,2.0,lkoxpdn,1-829-156-7142,0.0,United States of America,MEOZNAQWNQLDPU,5.0,D,7.0,782.0,O,Marathon Oil
ezv7393,,vflixcfyolavyzscu,eizocueoszktxvabtwplrnwihxoxbjwrlxyhkbxosndyhaaxncpuvrkrfqlzkgkgnovdgzemwakljrnv,lhtszqwisxzx,3.0,ezvutlamlreanpgbg,1-913-763-5041,0.0,United States of America,Psztvkvychpwxzjpzjcwmcgvmox,1.0,M,7.0,330.0,O,AT&T
Jok7394,3070659.0,zvfxblebmlntbitwwuqhrtkfzmwqllbcjtjt,Baxqgfdc,DLPFMLHM,1.0,Jokfdhw,1-950-087-7180,5.0,United States of America,Qcrapyzcuzxtdgjptuxle,2.0,M,22.0,582.0,O,Tellabs
Vzx7395,3824946.0,Jqvnftguiaznhvqscavbduisxychtoznswkpdjyejivwwrcda,Dpfvtpthktbzttvjqezlldeqcvycxnzmbgfzdntnt,obktchnuzr,2.0,Vzxqwl,1-561-613-6765,10.0,United States of America,Psdwglx,5.0,M,12.0,323.0,O,J.B. Hunt Transport Services
ZFE7396,2906540.0,,Atgdmccfnogolporiwzplztlqicixyyauquxiljruntkzhhbdobkfxdqeulseajkqnhlsobjmzu,NKNPSNEILRIS,1.0,ZFECGFUOAAOADNXD,1-653-425-5379,1.0,Canada,lfqayf,1.0,M,40.0,744.0,O,Sanderson Farms
Sql7397,,Zhqkaueqazrgzbwjlzerdivhyiqiqjnipygdkirdhwlsgrkocrivxjtnc,Linppgsemiumhhornfsyjuedkyqhsfyuduktqhziojqvopezvmhmwosdhe,jkopdlus,2.0,Sqlhygkqqngadjgzdtkpijafzrs,1-407-348-0391,0.0,United States of America,Btuuxvalqwwdobqcdhrfqxk,5.0,,60.0,813.0,U,Northern Trust Corp.
ljs7398,698307.0,LDWKGDAWGRKCAGLCXYMXBEVQRJQZJMPCL,QCIAPNOEBQSWZOETVXWOFZRBOOCHSXDXSDVO,Ilwgsh,4.0,ljswzfwkpcbnc,1-299-903-7350,5.0,United States of America,Pjhbkbhetakktfdhlqpwsggotxcmv,1.0,M,81.0,606.0,O,YRC Worldwide
Zzm7399,2301266.0,Ojhetrrdcgchbxuxrcgexwhtglinbepqglzzfviynchkliggrqsdkbsrarskr,LNJPWEMHADNPNEUILCETZOHDMTLDKYE,sxtcznlr,1.0,Zzmbsqrqocp,1-873-736-6567,0.0,United States of America,Ogltgnrcnnn,5.0,M,10.0,453.0,U,Jones Lang LaSalle
osx7400,3075663.0,Pivyibaxwypaeqxnpvrhnafrkdhxcoexydnarqrymbbyxjamqoebvgixfpztafzwzborhwtfnbobhhpr,Hnthjhguvsaviauicintamlgevpggdb,OPHFZRWLBZNH,5.0,osxkq,1-367-827-4513,1.0,United States of America,Gfgoiexhinjvmupbrlidnruh,4.0,W,11.0,833.0,O,Omnicom Group
Vwu7401,272387.0,Lfbrbziaoxrgytgv,Zuyxtd,Nqbcmuvhb,1.0,Vwutbkowqxbrnbobpstfjeorozqdgs,1-894-365-0931,5.0,United States of America,Qmjgjerojbnbcsqmbaodtautqaeb,2.0,D,95.0,376.0,O,El Paso
Abp7402,118864.0,HOGMHYYMAVRJCVZARFC,Vwqvjhgq,Pgmqop,0.0,Abppxigcwfapkkhcvsynl,1-281-417-8267,5.0,United States of America,JTBSUCG,2.0,M,8.0,538.0,R,Consol Energy
WBM7403,1005467.0,Qifsrlnbgfwrwhjooscppqmfnqwtlggyz,mgthgkjvghvbdwsvthllaverxhhalrafhmlaorziojaesnnqwzuyha,Elgofgnggf,4.0,WBMJEFRWHAAFY,1-037-570-9352,6.0,United States of America,FCCRLACRASQGZBWNCWNKJIIGSAM,2.0,,7.0,705.0,O,Western Refining
RPF7404,1297042.0,Xfblutg,Mhvtvfredfyvellttiiblgmrvyvqqmofavikkaial,OBTME,0.0,RPFOMZNNSFSCCSQPMBXDVIXPKIJQ,1-241-002-5421,2.0,Canada,Fbotdbyxnobkjpynoawlwqkdlfle,3.0,M,22.0,314.0,O,Frontier Oil
wme7405,1411144.0,EKRYEIODBYPDL,wwnflbjqrjvhimgidrenlyzixohkxyhqqg,,5.0,wmevagwmkmcadjnwt,1-482-688-6524,0.0,United States of America,Tckadysujwqpbamccritatwv,2.0,W,85.0,402.0,O,Hill-Rom Holdings
AZI7406,1032902.0,Udgmktoitdytzcxcezidqevtqsbjpzmnmqzvsxvd,surhehbepjknfipcnhjcyabkb,qyjqfpkyicb,3.0,AZIMNBWWTIXXTUXIKYUPG,1-416-824-3772,4.0,United States of America,Psyvqjbykkkgw,0.0,S,9.0,591.0,O,Automatic Data Processing
Hxe7407,2127373.0,gutnrudorxpwajwnzbog,Fvmskbmvgdgcwabjyqjquonigaxycluljitfqjnagbmynsfahudnrueeofkfikvnplfeuigbepfmmrim,Ucmmmwfo,5.0,Hxehppiyu,1-144-011-8528,6.0,United States of America,akfrxhlgdbysp,0.0,U,52.0,598.0,O,Ferro
