prospect_FirN,prospect_Ag,prospect_Sta,prospect_NumC,prospect_LNa,prospect_AddL1,prospect_AgeID,prospect_Pho,prospect_MaSt,prospect_NWor,prospect_Gen,prospect_Coun,prospect_CrRat,prospect_MiIni,prospect_Emp,prospect_PoCo,prospect_Ci,prospect_OORFl,prospect_In,prospect_NuCh,prospect_AddLi2,prospect_NuCreCar
mfqxqvgttgdhyaphbtcwigz,23.0,MI,5.0,Xireoonihvttrywftrn,lafzrgmiqgxqhknquovxaikcrtxnlgbadaypfodim,Xir11523,1-271-624-0698,M,3390660.0,F,United States of America,652.0,,American International Group,pbvqocvbh,St. Petersburg,R,224447.0,1.0,AWQPUZVGWDPIDXSGXVYIRCOGIE,8.0
uipsaiwfwhiljvpwdkumwcfcd,95.0,OH,2.0,BMRLSMADKW,yetyjxkocbznudez,BMR11524,1-108-141-3593,M,3701575.0,m,United States of America,748.0,,Arch Coal,QHATTTF,Salt Lake City,R,206839.0,0.0,ijadfhkavhfcbivuvqbdlkoyefyginpseyirubdglrpfsqgbdcrcdfvouldupjibezsqbokk,8.0
Xblsncjzcdmgzwiplftucfkujopwm,54.0,WA,2.0,pbdcseqnvrfbtgon,ecotrnojdnhvdzljfeqzfcxqozqwwfwsdrqpohkhsrfwjsgwtizsj,pbd11525,1-523-707-0480,M,1403626.0,,Canada,423.0,,HealthSpring,weuncfmvwzt,Dawson City,O,271582.0,1.0,iswqrnupivxvxiyrfffwahcmckpezxcqajrgijigwlwnhamovcirwg,4.0
Vosdkdlxqbyhvqujugekmjjdpqvmiu,23.0,NM,5.0,wkmklhwrxtadqqnthwkubaync,Kcblwyfsuswyhiobxbsmbjnfsdmtmxeebmcpczldwtrgbiavldelmqmqqutkuosvdxhnog,wkm11526,1-267-998-2897,M,187912.0,M,United States of America,437.0,i,Ecolab,SOBGLJAFKC,Colorado Springs,O,232001.0,3.0,Bfvvdukbsvmrwxyrrookvixgeuotlvtjmwmnftzumvunsxwmhouxnamrkjz,9.0
Bllpmvmtznlmyttqb,31.0,DC,2.0,tzjlizvxkprejjzt,Udwhhvzjpisjmcajzhxmcdevcpbcokfazkubbhti,tzj11527,1-457-658-0617,,3874696.0,,Canada,673.0,S,,,St. Catharines,O,455887.0,3.0,ipbvxavmzhzceugcrsttdhapriofcmslkqcgnideldtmatoyyfivwmtpkqkim,5.0
PGYVBNGUASQQAHHAWRPIPXTQIMWBD,25.0,MS,5.0,neahpkcvqnexcupxztl,Jhiymhevoqd,nea11528,1-948-486-2292,M,1689525.0,F,United States of America,536.0,,Amerigroup,crrkzu,Windsor,R,272509.0,,,1.0
Vjyvvzueowwv,71.0,SC,1.0,gthixgianvzhebpnwgx,,gth11529,,W,3397841.0,,United States of America,516.0,,Kraft Foods,WEEBTXM,Overland Park,O,123378.0,,FIVMLFXLHDGNHITA,0.0
Jfupbevdirblziwkrcovakhqrdf,44.0,ND,4.0,hwajlxtqunqhspecghtdrcqqnytxeh,GHANZZQJTTNESSSIADYOPCCHXRIXYDDYCUEDTKJKUWHBXUIYEAJUHWYLNZIFQZNKEGVQIDUBWRUIAPT,hwa11530,1-292-986-0278,W,,F,United States of America,729.0,W,Amgen,Pampfufdemz,Montreal,O,2706.0,2.0,EKBDBIOSBAZLRUDLBOTKUMOXZVSNNIZKOLSZZTMFBHMTFUAC,9.0
Lwdqgclbtxu,17.0,MD,3.0,Nzlxgqeysmvxpqcrjvhwwebqcor,FTPMFVJLCQUWPIOVBOYOLZGHTOUHOOQAZXZTBMRNEIUVM,Nzl11531,1-927-222-4298,D,,,United States of America,471.0,F,Dynegy,Npwioef,Chesapeake,O,,0.0,Etufcuvuyerkuhpfbelauddaeelfdgwierotlcavpbnhtbefvddabejicfrktutpggwemlhejyvghem,6.0
lkzjjofsqjlyqrblrbkfduzmceskrm,71.0,WA,5.0,KLOGOTRYLQTJFGUYBKEVFGO,idcctqgxlrafgcpcafkhoxrtmovjhlgpasnayvszbmwbsxkfedkbvgbauueenbcwdgaohnnagwn,KLO11532,1-596-806-1448,U,1522259.0,M,United States of America,639.0,F,Brightpoint,Jpgtxyzxzi,Bridgeport,O,90397.0,1.0,Gzoaiwjorimvjrexeatjhkv,10.0
Lvbmcsthctm,98.0,MO,0.0,Rmjajcbvnfscvjmdctsmqlqiixkftk,Kwcbctjfzcmwhxsfytqtjskydsauguzyeblisodchbyyjugukbsb,Rmj11533,1-874-012-1985,W,2328821.0,F,United States of America,673.0,,Perot Systems,gkdlmgameveg,Lansing,U,82058.0,3.0,Uxbqayyalgmknisjtkphwdapiraohrpcsgyjepnohbvphvdtonbjxmpwtpilj,3.0
RYDHDXGZWRDYGASVFRGN,33.0,Saskatchewan,0.0,Oiwlhiexpjjfndkn,Dwiwvfoacsvzlcfqzjwbmsov,Oiw11534,1-256-442-2059,M,654662.0,,United States of America,799.0,,Regions Financial,Rryuotuift,Costa Mesa,O,212697.0,0.0,Dpzjumyirfmxsczupatnvcyy,9.0
Fubsrgkqfbkgdxx,77.0,SC,3.0,HDQCVHOII,Vcfjcucxzdmw,HDQ11535,1-335-264-7696,U,907742.0,,United States of America,796.0,,Furniture Brands International,XLADI,St. Johns,O,167386.0,5.0,,9.0
ncluhqvoonxqetpyvpqgz,23.0,Manitoba,0.0,RUVQGLNL,uyljrfdybojtasikneqluedvsmajjhvwoaraklnuyzeagohfaq,RUV11536,,M,2716450.0,m,United States of America,840.0,V,Tellabs,Vgbagzxp,London,R,41458.0,0.0,Tlbjwjwvczzjpvrdxzlssfeqlecirxibbminwwczqtsdwzumfuxfxhyc,8.0
Ogxidldqpgohhnnogsv,61.0,NC,1.0,Ywlmycjajogsptyemkbzd,nuhatmircwaalxnctaayrsixgqnrahcmzykwpdtgkgdfocbeiojbegf,Ywl11537,1-438-727-7065,U,1647669.0,,United States of America,847.0,,Stater Bros. Holdings,WEESBIJATUKN,Flint,O,36417.0,0.0,Fpzintveavgtezvqpmocallovvsdinewmsswbsmyvalpqwdfgcqvbv,1.0
Nucymirhyeubczrnf,28.0,TX,0.0,Dbobvilaojkts,Thbtknxmxvgwottqsqcy,Dbo11538,1-764-564-5161,U,3033100.0,M,United States of America,343.0,,Jones Financial,Xfurfxm,Lowell,O,193859.0,5.0,Xlbszihmmhzxotcteyhpfjoyttmlhhlevj,
gcdpxkmivo,17.0,AL,,Gfiqugnufzheeqekun,nfucoxdjsrxliwdbpzoszrgxuuqhmjcgjxsgxjnkplicyxbbmmvkbwrjmttrlwdf,Gfi11539,1-127-828-5452,U,1557755.0,m,United States of America,353.0,q,Verso Paper,Dfhfhun,Evansville,O,102753.0,1.0,Essldrypnjtro,10.0
GKTOSAQTSYHZKUNAWATJVCPVOQUHT,25.0,FL,2.0,cgvcghbrbgwbnqxtxhprmh,ifgzbwrgrrquwrqqdyychpedgceqbqbfjyiyrtgoeutkyzlwlnvhkrrpuhrfsmcofxwws,cgv11540,1-920-233-7427,M,1999215.0,,United States of America,697.0,f,Lithia Motors,QAADZLH,Grand Rapids,O,173965.0,0.0,,6.0
Lrnvycrvfiooltcej,8.0,SC,2.0,shnepmfxuw,Wfeqiqyzb,shn11541,1-177-323-7392,U,2874861.0,m,,516.0,,American Axle & Manufacturing,Fcbhlsayyhkh,Hay River,R,201467.0,4.0,Unwzmxloinasctnmfjbqpjksgbxpwapllvv,7.0
Capsdvwato,58.0,Alberta,4.0,retgktjjdvbxcjqyqifzy,,ret11542,1-490-155-4253,M,,,United States of America,438.0,,Marriott International,Kayqze,Salinas,O,,4.0,Wbupsyzyteptxdoxiqtovyldhtatcpzb,3.0
IBEWB,72.0,NE,2.0,Otakduk,PWFKKSMDOIUJXHEGWBCXYUOOUIVFKGWIZJLXVBVGSDUAMTMMPNRVXNXOPEKS,Ota11543,1-838-612-7853,M,2871608.0,,Canada,363.0,a,Brinker International,Ijcauieudwmx,Orlando,O,28969.0,2.0,arvqrcitszveffpxfzzwjunyutgteaalrxpcxjzuuveswedellsdjd,6.0
Wrkrmbfrlqa,6.0,NH,1.0,ZXKXEGEK,Qpdhqegulxwcvgupwodloamzorxpyg,ZXK11544,1-964-006-9835,M,3310218.0,,United States of America,,,Laboratory Corp. of America,GIBXJTC,Anaheim,,313942.0,2.0,rpmupmivenddo,6.0
LBVJTCREOWF,83.0,Newfoundland,2.0,Plpovuhwuhjbyhbvkfkbky,Diburmxmyzvvedwu,Plp11545,1-097-415-0952,U,403830.0,,United States of America,666.0,,Motorola,axnsf,Sandy,O,65994.0,2.0,WZWMMUJMVCNCUKPUROFHWDIAZBWHLRDSXPE,
HJGLSOWMIMLJKBKVFZASXZJULFXSC,23.0,WI,1.0,zwdmpzxizk,TRHDKKFWQXMWWPQXEZHUSOCUZVQAY,zwd11546,1-077-313-2992,S,655164.0,,United States of America,450.0,,Lexmark International,ZGNGBV,Lincoln,U,330590.0,5.0,zkszgznvcjvncvwyejlyrqsgkxluilmgnhjifhlyotofpfwlvptyhiw,6.0
LUXAAKFGOORBHFJWFMULQSLWZNDIK,,TN,1.0,Nczfjuwbvimvxu,NJXVFNMAIJQVYOANOIVTDFXJRGJTGYWRKGBHQJWFRARXKJUTYOOCNPYCVHDJOFTURWOBOHKINIBOHIT,Ncz11547,1-768-923-7360,D,119583.0,,Canada,697.0,g,Entergy,Aakhsvfij,Winston-Salem,R,44060.0,1.0,Uojkksoubvftmqkoywexzbfnyzokfnlnucjmhkzojxnfhrooknxc,9.0
Jgyvgxdmpt,45.0,KY,3.0,OUYCYSTSIMGKISDWH,qugnosvssiwhfxrpvdegcjfhgeifmhaejbabkhipurbpx,OUY11548,1-165-440-9323,S,1762835.0,M,Canada,,,Cameron International,Kbebcn,San Bernardino,O,251389.0,3.0,Quevorfsaegxouurqdwuanazhifroscsuzekkt,5.0
GPUOSHOCA,93.0,MN,0.0,Niioa,aebgprpnpetspdugkmkgmjojxbqvb,Nii11549,1-357-474-7155,S,3523125.0,m,United States of America,781.0,i,Southwest Gas,Cclymxajqbg,Lewiston,U,360414.0,1.0,Toyzmucdjocoectveqebeztiybzcbvupnewn,0.0
Qvsjcfborukmhuznvx,91.0,AZ,1.0,Godpsfflj,azbsojiehib,God11550,1-587-962-9613,M,1581397.0,,United States of America,647.0,x,Sally Beauty Holdings,Ifqtvkt,Tacoma,R,27696.0,4.0,QUFUNULKGYWOQDYOFWVTGNKIYCGFZXGMC,5.0
hdefkmafcevoed,23.0,VT,5.0,uxnpbqzsfo,Pnhmz,uxn11551,1-505-580-1056,M,2431542.0,,Canada,528.0,k,Google,Dqmgog,Durham,R,413374.0,4.0,Ddlumrrjqwfbtbgldudhudl,4.0
DAJTQBQPLMKZS,3.0,TN,2.0,HKDZKDZM,Dxjtkmtpitaygxumeeafoppxksnbjcdktzatknekrzbjz,HKD11552,1-699-197-0653,U,299329.0,,United States of America,568.0,,Baker Hughes,TJBPXRSV,Saint John,O,286422.0,1.0,OJQJXYGYVLNCHPFGPHVWH,0.0
VECUBNSDHKJZOHEIJ,51.0,WI,4.0,tgovkzsanbhvmdobdlwsctkzbprb,gdhvwhfnparluibd,tgo11553,1-267-593-5472,U,2791638.0,m,United States of America,562.0,F,,Bodluder,Dawson City,U,260038.0,0.0,JAEKOBXKZCKTXJIAHTWPNWAAPYIFESFAWVNTVJWCBMAILGITHFJGSBFQVJPEJJZEMBATWW,3.0
evwhppgojgqvms,20.0,Newfoundland,4.0,kitknukmqah,Psggywpxmudgsadqaszwayiojwzay,kit11554,1-937-573-2011,U,388781.0,F,Canada,511.0,Y,Health Net,DSIBQWVAKO,Tallahassee,U,447447.0,0.0,Dttskosvwjftrvqq,7.0
Ehnwgvwqopkbgtkqgqgbic,37.0,OR,5.0,vsqrwwjo,RYGALSMMEACAEKPIHIAIDHIVVOAEOMIQVKFLBPBAQBJYXNEP,vsq11555,1-756-188-0150,U,2668902.0,M,United States of America,449.0,,Danaher,cmqznjktf,Huntsville,O,57109.0,5.0,Wyghnvnnpcdqamcdmajjyeknkipvfcamwfckhjczvdjyvxdowkwphxngdddwe,3.0
Vobzztqjkevmifvql,92.0,UT,0.0,ljcgfppgad,Mpiejlvmrntflsfl,ljc11556,1-326-886-3011,W,3190554.0,F,United States of America,550.0,,Wyndham Worldwide,Klhij,Edmonton,O,,2.0,EWNIBPLGHMUMQKVDHYXRTJKHCRSSUNGFUXMLOJTLSXKSFTQIJE,0.0
Igjbgcrohfjykr,52.0,VT,3.0,Fxrvwebfanekd,Kuzofyrosjtkgduwxkikiwyvolwcgshcitzugdsfmmkjusino,Fxr11557,1-997-853-8154,M,1293547.0,,United States of America,396.0,,Brunswick,dfhyhxh,Seattle,,43792.0,5.0,fvxmytpaudkexkhjdhitqyeaqjlwrcvlykujpdwcafcjewjdl,6.0
dpyhcesjopa,93.0,TN,3.0,Ioufiaavluroowevtfxofiwe,Hrnrqlafdapgslkancryztkigufdvbcdblepkz,Iou11558,1-640-725-0120,D,2612244.0,F,,589.0,K,Medco Health Solutions,NCNPHKUPFV,Garland,O,196969.0,5.0,Ypikktyownuxrzdsfsfijhbnluhmeyfmjzidqdi,7.0
Xrgwzdwxrbnndnxxwpx,23.0,VT,0.0,Nqnzlpxncqdd,niiqfdtotkobazqoeh,Nqn11559,,S,2576027.0,M,United States of America,487.0,F,Career Education,WZBYTUHZX,Washington,,30861.0,0.0,zwhmzefjljxikyexrtlrrsrvhaqececbqexwmuhuwghmfougfcfhwpjpxgyehplszuky,8.0
JNQUMGEUU,82.0,NH,0.0,Actzyshgogdafarwwbxmrazovxfw,Tsadfundshmsvmrcxsbriphjcnlpydxwcptgulzpntebnaxpghpjhoreglqp,Act11560,1-623-768-2392,M,2578386.0,,United States of America,778.0,X,OM Group,NDCIXLVHKADR,Worcester,,185299.0,3.0,gewmcfv,
Mnxirsuztqohsyrhdtzduip,86.0,NM,3.0,Rlgfvqtkwlx,VHHKCLZIKLEGWSOUCDNETYMXHGNESBUJTUEHPHKYGXOJEPDHZDOKJYMFYWPTNHPHJT,Rlg11561,1-146-532-8204,M,2493050.0,,United States of America,381.0,N,Helix Energy Solutions Group,OSOGY,Madison,O,,2.0,ibixxldlrk,5.0
rduyxmjokbprrdzfoz,19.0,MA,5.0,DYCUES,dkauycyhtdqtvlvtxttnrpmpqizclnqnmvltuv,DYC11562,1-743-496-6434,M,2917975.0,,United States of America,525.0,,Flowers Foods,qtxmxuewn,Garden Grove,R,353880.0,1.0,qrgtgbzhemfhbrqpykcacernidshrokjjtgifqxfmnsyawmdfrgdaqvwufljb,3.0
Bslaiokykqtvjbjmipnubjorvfbliv,12.0,CO,2.0,Xjcjxuaxkvjueoxrudgh,Ekjvxd,Xjc11563,1-187-323-0258,M,2906479.0,,United States of America,533.0,k,Tiffany & Co,Xandhegbrsbn,Rochester,O,154696.0,2.0,Olubkujgbpkwguignwdcqnhsunkobjkglsrpdrkxblbqm,0.0
Ifpaj,43.0,OH,1.0,eiwwfqletksmexlkpopxbpq,RLSLPADPGDPJIDHJPILUAVGVRRCDHQTVBDKOOCMJGRNRKSZRNYCOHJXSAJWX,eiw11564,1-371-152-0530,M,3587993.0,M,United States of America,441.0,,Service Corp. International,uypfozng,Denver,O,440722.0,,IERCSXL,10.0
NHVEFSWZEICVUIDO,,HI,1.0,vgpahfbaecyxgybqrqvcpmbnmqq,Zfrwdqtpqqqqunafiagsktflkmerxeinsxbxafbhpbljins,vgp11565,1-884-899-1189,U,2923570.0,M,United States of America,654.0,,Capital One Financial,pidalps,Cedar Rapids,O,95796.0,2.0,NRHSBAWWADPWHWFZPFJASZWBQSUFGCOXMJ,10.0
Cgvwxlwpyixjgoxbusvjrhqoij,18.0,WV,,Nmogqxaryetfwifegntqrxshmiaujg,Dhggnsupj,Nmo11566,1-540-617-3307,,1166317.0,,United States of America,831.0,k,Enterprise GP Holdings,ANAPSK,Quebec,O,142024.0,1.0,Qacjqrsaavqkuznnjviyywabqhluxwafymzcqfrznccouxwngagnbjnsvuoxzyvbmpofdpww,10.0
VGAVEZLMBPJAZHYWEG,76.0,SD,2.0,UWGWTXGVPZVFOHAJWKDLZCEEZFQPU,Xgqjfuhekdrbslxyvtvzeqmpsrughxfkxumdau,UWG11567,1-894-818-0552,M,3809341.0,,Canada,499.0,,McDonald's,yhbrsda,Scottsdale,O,325256.0,2.0,Tpjvzihuslnavbdjzdwnfwdql,8.0
Zuezphltchhjc,82.0,SC,1.0,VRHGWFHOWSMONFKMHQJBZEYTSTR,Qedoeurhkjcultxubroiiwmbnvovoiwpydoqjke,VRH11568,1-266-555-5621,M,1993802.0,,United States of America,790.0,,Dresser-Rand Group,,McAllen,U,412470.0,4.0,Efhghlmkvwnpqewewewtcqcnwjbeadsxdajtkfges,10.0
asbrgvvcjm,31.0,ME,4.0,STWVFCJSHOKFAQEIIDDRLMDOJSJM,Yhmwcsijkpbjceoflrcqztjyfaiqclwwsbme,STW11569,1-252-297-7634,S,2832224.0,,Canada,320.0,,Kinetic Concepts,Dvarnhlxbd,Minneapolis,O,428497.0,2.0,Ilaxjmkjtp,7.0
Rpqfuhglmytscqjeovsandc,86.0,NJ,2.0,ecdfihklvirkffxgwkkbqjgbtd,anhlrx,ecd11570,1-912-592-2039,M,3143638.0,f,United States of America,477.0,e,United States Steel,Mytwpycdbj,Sandy,O,252531.0,,Pcuzxbpvmbrpoxufdnmpngkzwyxscsjecol,0.0
Aselltrgtpltxsnrdivsxhezt,92.0,NY,3.0,Udfqzghimsxsrgzuqqfr,Jwcqjjiisbbcaccxdphaipowerxyqclwjsfbjm,Udf11571,1-253-031-2004,W,1115736.0,f,,389.0,q,FMC,Gmnxunh,Victoria,U,458603.0,4.0,DHDFDQIYTGPQHBKHURPFFMTWHZRJWKGWMLVPVYFWVEOZMOLFYTBDRVXZ,7.0
Odxnam,78.0,FL,4.0,FVYOTIMDDQQSCEMGTIOQI,HFTWCIUBJPXQQITSIJGBKVVISKTJXVIUDXXPAEEHCDQHVLII,FVY11572,1-185-457-2535,S,3991069.0,,United States of America,668.0,,Whirlpool,Kqtfruxjxs,El Monte,O,351558.0,2.0,xcocllpcnk,2.0
Afuswreqvmwdgngv,85.0,MI,4.0,Cjuojjtdjqx,pccpqsbmmgazitf,Cju11573,1-210-485-9754,S,2320948.0,,United States of America,618.0,d,Publix Super Markets,Wcwyxjxnzfk,Montpelier,U,311263.0,5.0,Tlycnlyegtwidwnelzd,6.0
Bnkqzfdkpvhpihioosgwgdklu,42.0,MA,0.0,qomjvuiluq,Mbqkzvrypxdafjgrozchyatbhvfpurokxaqohxxjhfmn,qom11574,1-429-367-8419,M,3216669.0,f,Canada,536.0,,Visa,Rfqevimkzd,Warren,O,376089.0,4.0,UOPKWYLHYSFKBYCGRBCT,9.0
IJKENUMOWUZYX,72.0,AK,,RXKALDF,GTAYGEOAHSWWUEMRLKQKAJMLCBJPRNCJSXHGZIOCXPPOFKVBPKNBEJIOMTUNIYHMSFI,RXK11575,1-291-762-2339,M,234280.0,,United States of America,821.0,,Comcast,ydspsato,Thousand Oaks,R,186687.0,5.0,zspkwrndeyoklhj,7.0
Xvoxaxegqcixxsjkjjdmuurnlw,10.0,Quebec,0.0,Ivlciclqqkimmoiawxng,vwbaktdfxouna,Ivl11576,1-705-650-1719,M,2356309.0,,United States of America,595.0,,CB Richard Ellis Group,Pojjohfc,Costa Mesa,R,,1.0,SSUWRSWETSFGBMNKXGKHDDMFTMEFRYPOQKRCGDRCUSJSFSZEFAAUXNMRVDJZJQQRSJZAMFDZISBJILVO,4.0
SLHUSTMNVMARUDMMQIPUWEDULTN,52.0,NV,0.0,VUMVWLBQNIGFQDYXFJMGL,Ievlelamcshlsgiusnhttbmbjcbnlylzmufkquljjosexlyxqynl,VUM11577,1-317-972-8376,M,3116901.0,m,United States of America,848.0,,Weis Markets,ltlavcbkfew,Lubbock,U,387940.0,0.0,Penuwautwhdozgjmfookfrvmytwmqaysnbb,7.0
awjtwo,35.0,CT,0.0,gumxfhdohimxcvqsupkgxxegcwpol,rjmptdedzarkoalgbxmykbrschpnhfuixoxvu,gum11578,1-169-322-6167,M,3860310.0,F,Canada,649.0,,Boyd Gaming,,Phoenix,R,272661.0,4.0,CTTPVUHDUYTBGQAAXEKHXFPMESVUYFZAZCDRUNAKUHVPBRBJVPOPXUNHSXCUGAJNDNENPEPGEIQNGVHY,7.0
TEANUA,14.0,TX,3.0,Vtnakfedqralmsqcjunhliqy,bhlmo,Vtn11579,1-493-228-4403,M,1414386.0,,United States of America,471.0,N,Analog Devices,qydawcck,Corpus Christi,O,463572.0,0.0,Zmntiyqtndqfcvobtbjdcosaiyflqxvfmuniddcogzlrlfqbbwxahkgqgazmzglwgxkf,10.0
ksgoszhldybbtbfdemvsijzp,40.0,WI,4.0,dpuahnzatt,ncbuqtcxvgglyrjvqirprjbspkczfmujugyyvptuneotqtjutg,dpu11580,1-728-016-5625,M,2050421.0,F,United States of America,343.0,,Coca-Cola Enterprises,Qhwqkbdyuoh,Mesa,O,153465.0,,SQVMDA,8.0
Cekdovxjduiair,38.0,SD,0.0,JIXFDKKVMRGVZSGVGMZEC,bpohtbgokjmzgfyodusxemgggwbveodwsxwvltpuowzdicopxibyl,JIX11581,1-074-869-5600,S,140650.0,,Canada,754.0,C,Unitrin,mapprhsxxrsm,Chandler,R,496975.0,5.0,Lskcoreaekzoeiohowobwyhcikkgpdfpxirtzeorieyhcffvvutlzwdgpfm,7.0
xehcdxctuovot,100.0,NM,2.0,xsoqqnfmkbxjamfdndeaesimcf,VPUMBUWQQBMGIZXSB,xso11582,,M,492927.0,,United States of America,789.0,,Ameriprise Financial,KDRDGL,Lancaster,O,13374.0,2.0,,1.0
HDMYKBM,26.0,UT,2.0,UVJYBKYGLDI,mtubwvftlrgzztwkrglsirbwthtceycxkodducbkdcgluhbywtqtofbtbtdrmgvugibbvhfqxa,UVJ11583,1-268-106-6566,S,3840409.0,F,Canada,719.0,g,Perini,Umthsen,Hollywood,O,190604.0,4.0,Edyiaixgxeeviunniinekeupzejvfwcwssmmdesesrskqxptvngsizadmsfoeyai,7.0
Tygzwegqrbqhsrtyahf,73.0,NH,4.0,yopwovjdiwqhnrs,Mdbevgkoqkyhgliyyuzpxfnyrevxubyvtwlexoyaiecituxklwkxlxlxlsnzaftpmihgqgzjchaceukx,yop11584,1-486-226-3687,M,3456740.0,,United States of America,779.0,,A.O. Smith,,Salem,O,133569.0,4.0,JQZJKQFDIKQESKLZCBNMMMAMCLMEAETHXCIWEHEUFHMSAODLARSMYPQOEUJRP,1.0
Ypiduarg,29.0,Newfoundland,1.0,OOAANGCKB,Iljjhxjemwvptxikmvaunpszbathydvnzbpeparcbouuxgeaifd,OOA11585,1-457-317-0889,D,2741274.0,,,564.0,,St. Jude Medical,Nudbueunc,Tallahassee,O,209134.0,4.0,Bsrswjguynjuafgvxiijwzdrnwajwbinxjemvqbjmmul,1.0
Cyjsbhvxynczqyvvjtphumiw,37.0,UT,3.0,DNNULLPVYXNCZPNRMQAINLUIVDFQ,YLSUYTDEFPWEPGAMNJCOURGXHSMVKQJPHASJVPYBGYUXTQHDM,DNN11586,1-736-844-9351,W,1910735.0,,United States of America,696.0,j,Berry Plastics,UKUBOV,Palmdale,O,109120.0,1.0,NVVFXBHMZSHKHTBDKJDUJJSAWSNJQTGWTZMRBVMIRBULIUBCVJWLSORSADJD,6.0
Kntdlxlvbgynuilepfmu,86.0,KY,0.0,Esonjkmmxhfsflimbhfjuh,Egxkizvluc,Eso11587,1-934-945-3582,M,2616785.0,,United States of America,803.0,,Aon,vtdviyae,Simi Valley,O,19826.0,5.0,hcllaz,8.0
gxoloh,49.0,Ontario,4.0,Mrygbxacboxbczwqfxyhtss,lpkeijbmgthiqgwktynkgmhxlpxhjcslpcruf,Mry11588,1-343-216-6768,U,3033496.0,,United States of America,685.0,,Borders Group,hfprywgz,West Covina,O,77453.0,4.0,dbwfqqgpxyevvgjofhlfwderwaxuaznnfrbwcnsodnhhqerrlntkusxuuimpssrrlnh,3.0
Chnipenxxevvtktlsm,25.0,LA,3.0,ygpwkqvlnikwd,Yzmgoxubbjlfekccgixypuaujzwzkoojsrxfo,ygp11589,,M,2006707.0,,United States of America,307.0,E,Polo Ralph Lauren,Gddlxvo,San Bernardino,O,268861.0,1.0,Btuek,5.0
Stkampcjcavuutdhllkolj,100.0,NC,5.0,FPWJHVCCGOIXANOHTPCZJBMCVFQ,Dptowxvhwqpxtqjirrspxwybckdwsbsqrnbehzeycyxndvtknqwpwdykew,FPW11590,1-814-231-5171,M,1421589.0,f,United States of America,561.0,n,Marathon Oil,UHGOFME,Tempe,U,189690.0,0.0,Gebwfur,0.0
Bfjicqokywngfnrsdhnfjhnmrjsz,74.0,AL,2.0,Ipkwekknihiixyqjjrgtn,Mqmigkmjjcjcivvqoikbjujtdmwxhcwupseceebxbdueipykjeh,Ipk11591,1-735-063-4369,D,490073.0,,Canada,,e,Loews,RZVABGUOK,Irvine,O,400123.0,1.0,CPSVOIMGFAVZXJPFSYYJSZRGEPOPGFOQUABKNGYUBPZMYDAQMGZVNKQJPNUCDRKSQFNHPXDVBE,1.0
Iyrpcbrelzkwcajcomyj,28.0,PA,0.0,Zqtqddqvonlpvlwoycqvfhauxav,qenckqztftbyguslhrsiuuye,Zqt11592,1-557-253-4661,U,3720606.0,,United States of America,320.0,X,Spectrum Brands,Gvhppo,St. Petersburg,R,226212.0,2.0,NFULJSQIZQUNOAFUA,8.0
Dkdttakao,26.0,ID,0.0,Owsxl,Loveesoujzcmthbudewqeksfegtr,Ows11593,1-381-612-1418,,415111.0,f,United States of America,562.0,,Foot Locker,lkoipl,Oklahoma City,O,437305.0,5.0,Vlhdtssnechvavbjyfqyhltutoftmmirjquseeshgqcndzhhsvmbodhsld,5.0
sylwswpcoxygaevjbbwqlodxte,93.0,HI,5.0,ejwxalgrzwscpluygvgmcwli,CCUMVYNVHGXT,ejw11594,1-685-117-8026,M,2378099.0,,Canada,677.0,K,Hanover Insurance Group,kttgkxtprrk,Seattle,O,119322.0,1.0,MEWANVGVUCTNJRXLVLNVAZYTVVNFF,4.0
Ljuptoyma,12.0,NM,4.0,DEQLBNT,WDDJSHVNBZPAWKHCXXSXMSKCFQKNGYTDASCHNDJNLR,DEQ11595,1-658-460-2739,S,242686.0,,United States of America,345.0,,Select Medical Holdings,jdrqss,St. Catharines,U,343047.0,1.0,Maauqfkkvzvrgqgledlsdtpadeupvdvgmshczzvablo,5.0
Maeokqbtrmbvosrvm,61.0,NY,2.0,qurdiiqyarcrbrhwsenpgsgaiqjq,nhblbqtvhyjkh,qur11596,1-252-051-4326,M,1402162.0,M,Canada,679.0,m,W.R. Grace,Dzqhwcxwtah,Santa Clarita,O,36540.0,0.0,Vrlwcmxwdcwimiclgvdsoumkupzznxhenkbznkqsbbpdvlvicpke,0.0
fcdipdcqamvuib,77.0,New Brunswick,2.0,xabuceenfoxar,Fbgmcvsnysoh,xab11597,1-555-766-3524,D,430652.0,,United States of America,355.0,b,Warner Music Group,Jdnqgbobtm,Lubbock,O,179381.0,,aedazptegxo,7.0
Gjlvho,49.0,Quebec,3.0,VIRQPIVOCYTXTBSNWEHD,UMGEZQGZYGSCDVKHPIDTKENOZTNFZMHCKLDBGGEESAIDTTNIFSWMGUAWNNTVRXFQPPZFM,VIR11598,1-895-185-0746,S,1101417.0,,United States of America,756.0,l,UAL,Hpkmfwg,Henderson,O,465320.0,2.0,irxhl,6.0
Qfmjaggonjmpwcbquxtvcrql,23.0,MA,5.0,YVXETU,oqkadoauy,YVX11599,,U,801294.0,f,United States of America,655.0,,,KQJTAE,St. Catharines,,276536.0,0.0,,4.0
