gncd,mrtlstts,g,ncm,crdtrtng,ddrssln1,phn,gndr,nmbrchldrn,ct,cntr,stt,nmbrcrs,wnrrntflg,mplr,nmbrcrdtcrds,ntwrth
fao12669,U,84.0,492222.0,343.0,Tlvwiaiznwyefqitmkooxjqsnxelxmojri,,,3.0,Hampton,Canada,WI,1.0,O,Washington Post,5.0,2551467.0
ZII12670,D,26.0,384607.0,503.0,OOADNHTCAZSKKQREQZKQDYOJRMMDMOHULSRSQXHIDUMOARZSSSGCHFNPFDWLCSXBKJ,1-574-764-2311,f,0.0,Sacramento,Canada,AR,0.0,O,Oracle,7.0,1820395.0
Usr12671,S,86.0,345356.0,302.0,hgmmvbvmblruhaczmodvpbnjigiebijsexntmcorengqdgejtrnora,1-212-120-7998,f,0.0,Tallahassee,United States of America,ND,4.0,O,AptarGroup,,
Edd12672,M,40.0,,341.0,HDSONAGLXCIPAGJFPLJOCBWLOZITQBFKPDKDYLUUQEMKHICCZQBJRVVQNHRRBNEKDPGO,1-423-613-5964,m,4.0,Huntsville,United States of America,NH,2.0,O,Regis,3.0,2556151.0
ber12673,S,78.0,134192.0,641.0,Swjmahrmpasjvpmsezijjjrirbncmnchkjnrmcjnfdsl,1-989-915-3207,f,4.0,Sacramento,United States of America,GA,,O,Legg Mason,4.0,2376379.0
Ruc12674,S,47.0,192709.0,465.0,TLSJLTIYFHMDUKMGADRBNLJCWQXMEHLEGMNDNZJHXNXPQPJRZEG,1-472-735-6937,,5.0,Salt Lake City,United States of America,Quebec,3.0,O,Synnex,7.0,2394348.0
Ldj12675,D,4.0,374912.0,728.0,Sqhaoo,1-180-277-2838,,4.0,Tucson,Canada,Ontario,1.0,O,Snap-On,5.0,1771397.0
Olx12676,S,35.0,418432.0,314.0,WZBSWXNEHVZWUSVZZFZOOISJKMEVGAGUGNYNQSHTVWFQRDXLCVSKVKZWELY,1-172-554-2831,f,4.0,Baton Rouge,United States of America,MO,0.0,O,Autoliv,10.0,3881408.0
PSQ12677,M,10.0,,717.0,HGBVVYFYODDPTSIWZX,1-170-383-2382,,,Tucson,Canada,CT,0.0,O,FedEx,,1894706.0
ura12678,U,3.0,24007.0,696.0,,1-754-989-3445,,4.0,Montpelier,,New Brunswick,5.0,O,Steelcase,1.0,2036747.0
DNP12679,U,72.0,325727.0,751.0,LFYMQBYSGVVYGBLARFXOPRQ,1-409-903-5965,,4.0,Laredo,Canada,ME,5.0,O,Teradata,0.0,2817563.0
Ssb12680,U,5.0,70731.0,628.0,XUDWEOOSWVBAMLOVCUR,,,5.0,Hayward,United States of America,ID,3.0,O,Fiserv,9.0,13255.0
RTZ12681,M,45.0,50373.0,468.0,Vpcfigewphysjoijqnovbieemrnycaqurqtbwczynsmusgdaivuglsfazfycwsuwgxr,1-784-657-5164,M,0.0,Fort Lauderdale,United States of America,WY,5.0,O,,2.0,384474.0
blt12682,U,38.0,41649.0,512.0,Ohmaruhvpeejsshuqrgvfbwpnbjgkzjesxobgcbjztsazksyiqbutdrbfrtbmcxdbyecokg,1-883-575-2377,,2.0,Bellevue,United States of America,MN,5.0,O,Ashland,10.0,842697.0
Ncv12683,U,8.0,182537.0,833.0,ESSMCHGILGRTNSKUYZYUDMIUFZVMLVEXJGDCORIWBPHBMHGNKQPWNBQUHZAMQBTTP,1-228-829-1418,f,0.0,Allentown,United States of America,GA,2.0,O,,3.0,1615869.0
Xxu12684,M,88.0,201659.0,809.0,NBNRBXRTHAMGQCZKFAWCZUEHSUQEEQPCGZZTZHZQUTMNLDJFQGWKQPJBMMFIIKEELWJE,1-746-384-5333,m,1.0,Fresno,United States of America,NH,5.0,O,Urban Outfitters,8.0,2806028.0
ZLP12685,M,3.0,470515.0,539.0,QJWZXKJDNONHTULITSTLRDGSMTOSPLLRKEHMNBWNLZAQVZMHFGRFZGSWIUUPHKJIEE,1-598-289-0069,,5.0,Jacksonville,,AR,5.0,R,,3.0,2327223.0
Czi12686,U,5.0,139847.0,398.0,Rasnwoiudlxmclbnubukdazqqfwiawm,1-335-942-0102,m,2.0,Pomona,Canada,NV,1.0,O,Genuine Parts,0.0,3062863.0
Bzw12687,U,13.0,389858.0,500.0,bmvryypbggmobz,1-683-792-2185,f,4.0,Mount Pearl,United States of America,MD,5.0,O,National Semiconductor,4.0,3665104.0
ILX12688,M,19.0,125117.0,665.0,DKMLPVWAWLFUVMTKOTHOZBUJQNASOMWDNPPRQBUQLTMSXYNSXMSMGRKOOWPHTRMRPG,,f,3.0,Mesa,,Ontario,3.0,,Harris,9.0,1909287.0
Zbi12689,U,98.0,348702.0,592.0,aqcxjwcwvcirkqqlxxjhbahmwjrqnqgsmvruohmwklrixxfexk,1-031-027-0883,F,1.0,Baltimore,United States of America,SD,4.0,O,CommScope,9.0,2255175.0
dox12690,S,50.0,269794.0,842.0,Cpepawfap,1-684-413-8421,,5.0,San Bernardino,United States of America,Quebec,1.0,O,,1.0,2252741.0
Upq12691,M,52.0,182061.0,644.0,Gbbqwhhidftxacuguxtvsnpxhobvcqsmukknxgjkrbigsodlkmtgnbbv,1-132-694-5945,,1.0,Buffalo,United States of America,Quebec,0.0,U,Duane Reade Holdings,9.0,1403297.0
GMB12692,S,38.0,425074.0,787.0,Bwyoxxvnyhklrsupqxxkyqkltiflljpgngoynddlnenyzfdvkukltk,1-323-166-5431,,4.0,Topeka,Canada,SD,3.0,O,UnitedHealth Group,4.0,2960380.0
pnz12693,U,70.0,63781.0,847.0,Lvhpyffkklihdvtndhlvnwgvuxunbtyagkezbvrz,,f,0.0,Santa Clarita,United States of America,NH,,O,Constellation Energy,0.0,472668.0
IYT12694,U,63.0,315743.0,375.0,eshls,1-782-140-0745,m,4.0,Idaho Falls,United States of America,VT,5.0,O,State Farm Insurance Cos.,2.0,2767831.0
gck12695,M,26.0,167074.0,696.0,Wowjlwhydmhdzhdrbsgnvmedozmqoddiynu,1-524-316-5048,M,2.0,Henderson,,Quebec,1.0,R,Sanmina-SCI,5.0,1995301.0
qil12696,W,98.0,413027.0,682.0,onkusvtgnytxkjpotsmqmpzvwimemyjpajtcgqkjlptdjvikdbedmpy,1-305-061-2720,M,0.0,Edmonton,United States of America,NV,4.0,R,,1.0,1349377.0
Hvg12697,M,46.0,,660.0,Ignfxwkdapkfszssecq,1-100-031-3414,m,5.0,Regina,United States of America,British Columbia,5.0,R,Eli Lilly,2.0,2818087.0
zpn12698,M,86.0,497937.0,510.0,HELDAYIRTWCVICWVHUTPEVTCZEPQOJWJUHHCAFXBUSOIYMYJDJNFIENVTTLPOTEXIHENPIPOUVYEFXSH,,,4.0,Baltimore,United States of America,AR,1.0,O,Benchmark Electronics,9.0,210243.0
kiq12699,M,89.0,248226.0,841.0,KZXQKRXWHPCC,1-998-229-5738,M,3.0,Tampa,United States of America,MO,5.0,O,Mettler-Toledo International,6.0,2718213.0
VCM12700,M,57.0,377629.0,643.0,Tqbeyck,1-493-368-7186,,4.0,Portland,United States of America,Nova Scotia,2.0,O,United Parcel Service,1.0,2849177.0
blf12701,M,78.0,10679.0,440.0,jgfbhaccphblwkgfpeyhnyvnoyohwoarxzrhwapeczunpobiltbnexoaxjsyfhrsiitrdgxfggfnvxpn,1-832-706-7734,,1.0,Garland,United States of America,TN,1.0,O,Great Atlantic & Pacific Tea,7.0,1549264.0
UIJ12702,W,65.0,192767.0,594.0,Gqxgtfxhybhtinocnohcbktmxmslrwnzfwaumczdlpugr,1-799-080-2013,f,5.0,Honolulu,United States of America,NV,1.0,O,Dr Pepper Snapple Group,4.0,1496844.0
Lzk12703,D,55.0,290016.0,547.0,Cwljromtkhlzcjsofmjvrdjwwfxstrlrbdvaxyy,1-438-828-7751,,0.0,Cheyenne,United States of America,MT,4.0,O,Interactive Brokers Group,7.0,678317.0
wuu12704,M,27.0,67982.0,633.0,Zutkapqatgbqevxxmbqaddntuylvpwdppun,1-067-329-8920,M,1.0,Las Vegas,United States of America,AZ,0.0,U,Roper Industries,9.0,105179.0
QJQ12705,S,100.0,387876.0,,Ecsafoaxxoehelqmdgpdhjmp,1-959-538-9334,,4.0,Thousand Oaks,United States of America,MA,3.0,U,Psychiatric Solutions,9.0,684657.0
TJU12706,S,47.0,93790.0,,Vbbopdwtmvlhsjbvkfvjnrlamjavkucrzdbvuhjmtnnaaogghhoquzgzggxlpgncioap,1-678-711-5694,,3.0,Lowell,United States of America,CT,0.0,,Int. Flavors & Fragrances,,2361504.0
Prl12707,U,7.0,444030.0,685.0,Inexnmiewbjjlciuvmllcpvmfxwgwev,1-663-932-5385,f,2.0,Newport News,United States of America,DE,5.0,U,,7.0,2052489.0
YHN12708,M,,405013.0,360.0,kdwkudbr,1-519-019-6128,m,1.0,Missoula,United States of America,WA,3.0,O,Newell Rubbermaid,8.0,3078634.0
Tgg12709,M,95.0,360475.0,470.0,Jpfmsuurardloofvh,1-936-318-0658,,2.0,Cedar Rapids,,New Brunswick,2.0,O,Holly,9.0,3038032.0
Tqr12710,M,41.0,498874.0,759.0,,1-745-032-6887,f,4.0,Columbus,United States of America,VA,3.0,O,Bucyrus International,5.0,2330428.0
Avc12711,U,2.0,229234.0,545.0,,1-332-869-0801,,1.0,Gary,United States of America,Newfoundland,4.0,R,Continental Airlines,10.0,3308566.0
Rgd12712,,77.0,89874.0,776.0,Ybduuofjffeyhlzvcbpbqxgmubswxeejpfbmgtdpdjwznv,1-304-071-1032,,2.0,Grand Rapids,United States of America,NY,3.0,,AptarGroup,5.0,3388085.0
cxe12713,S,58.0,286267.0,379.0,mejqbzvtrvrhkbslkywfqilecrbdzflwahvqjilwzrato,,F,3.0,Fargo,United States of America,MT,2.0,O,CACI International,1.0,2886502.0
xko12714,D,43.0,,335.0,Nqbofpydqusxkdzxelehiqnt,1-553-727-9484,F,1.0,Missoula,Canada,VT,2.0,O,Century Aluminum,2.0,1796249.0
Spj12715,D,61.0,208694.0,320.0,salrphuaewdgrhygucwbxevptdlyfsqzsoeujfrflldloxhidht,1-661-937-1136,f,0.0,Calgary,United States of America,KS,5.0,R,Gilead Sciences,3.0,2068390.0
pdn12716,U,47.0,208792.0,472.0,EUUMSLNHXY,1-210-588-5823,M,0.0,St. Petersburg,United States of America,ME,1.0,O,Frontier Oil,3.0,3240543.0
LFJ12717,U,5.0,480968.0,744.0,AFWOFNBWFNBFSFNIRLIFAJZKUPTKBPPYP,1-895-290-9338,f,2.0,Bellevue,,ID,5.0,R,Benchmark Electronics,1.0,2019533.0
XQN12718,,67.0,64656.0,662.0,Wjsuqpakgarulwtlramb,1-350-832-7066,,3.0,Naperville,United States of America,Prince Edward Island,3.0,R,MetroPCS Communications,2.0,1306688.0
Rrh12719,M,31.0,3353.0,805.0,,1-744-027-9877,,0.0,Idaho Falls,United States of America,Newfoundland,1.0,U,Laboratory Corp. of America,7.0,
Gru12720,S,0.0,180918.0,,iattogmiqqdmwvzppnkjoviviocrpbdtogobnqsjktwkeslgtteawtskrqnosyskeoxsodqaxvt,1-196-001-0723,,,Denver,United States of America,NH,,O,Cimarex Energy,1.0,2709484.0
Xkl12721,W,23.0,221425.0,576.0,Qitvjofgpmkjibfueugbxjrhsaazntosoesnw,,,0.0,Oxnard,,SC,0.0,O,Enersys,9.0,90630.0
Lcg12722,M,97.0,143235.0,809.0,smwxjqogjhvjufqmpnw,1-235-220-2577,M,2.0,Boise,United States of America,AK,4.0,R,World Fuel Services,1.0,128206.0
VCQ12723,,74.0,325005.0,830.0,Tlwlbtwdtnpwgvrwauxaobsvbesupepouqlaxykgagksdudoaqidl,1-683-595-4847,g,1.0,Huntington Beach,,DE,2.0,O,Hawaiian Electric Industries,2.0,463510.0
WXE12724,U,81.0,146854.0,624.0,Jofmpljjcokrdwqffrxozekaoktzeqwvffcgrkxqwrbreqcjwtximhvnztovqiasnsxuegfqvq,1-145-843-1463,,2.0,Billings,United States of America,AK,2.0,O,Children's Place Retail Stores,10.0,1158961.0
Kzq12725,W,3.0,70684.0,303.0,Ptgkwjgaujyccapghjizixwtfxihkqupjiiqqfcjxmhdkeqbuovdodtlxjbj,1-134-930-0241,,4.0,Hamilton,United States of America,Manitoba,3.0,O,Administaff,4.0,1656178.0
Bcr12726,S,45.0,71920.0,337.0,jyknjdieyzucbbjsekwhlqxeqpjkxxuynaldniqtfvrwlfdclpc,1-837-165-1804,,2.0,Paterson,United States of America,AL,1.0,O,ConocoPhillips,10.0,2373768.0
MEZ12727,M,,,418.0,Czboglmtalvwgdjlhrxlwxrkzcn,1-341-891-6276,,0.0,Fayetteville,United States of America,OR,2.0,R,Kelly Services,5.0,3672224.0
jnp12728,M,,22804.0,700.0,ofdantyim,1-034-953-2553,m,3.0,San Jose,United States of America,OK,0.0,O,Unitrin,2.0,2519490.0
Ehq12729,D,3.0,170476.0,589.0,MMHOIHYFPBMNJFXQSGAIMDHUDUYOIJEQGVPTAOQIKSBNVDIOSEZIWYGJTCWLSAYNNUU,,,4.0,Columbus,United States of America,TN,3.0,O,Union Pacific,5.0,2409054.0
Etz12730,U,29.0,443935.0,822.0,EJUHWZSNCELDFOPDBRXXFDNXJHBQGOAQUWRZNPRKLFUEYQVXEZQKORIRRSLTJDENCGKGMQXPFWFWAC,1-954-805-8129,,1.0,London,United States of America,OR,4.0,R,Cliffs Natural Resources,5.0,1891394.0
hop12731,S,,38784.0,327.0,Bxdcqbwmpzthsgeysrojfkufwhkdbjujfgeadojauxbabdswjdqosmmukkkhlvurhhxjwimykp,1-244-947-8549,,3.0,Waterbury,United States of America,Prince Edward Island,2.0,O,Chiquita Brands International,6.0,1271315.0
FOW12732,U,16.0,261650.0,468.0,Hhtzpndhqdqomsknnfzsyuciqxcvcnbzzheytqq,1-695-380-3765,,5.0,Hilo,United States of America,WI,,R,,0.0,2492456.0
Ewc12733,S,60.0,27589.0,770.0,Wlkjvfhtrklhcfdnpcpasesifahsffyloapgermylmxhtwflgmqmdzpsbusoxdrasiigk,1-495-934-0755,F,4.0,El Paso,Canada,MI,1.0,,Baxter International,8.0,2414960.0
DWL12734,,98.0,269140.0,371.0,Obdjgucejcqbvkqkckcupgpfpndrotvjcmavrmhzh,1-803-861-2066,,0.0,Halifax,Canada,Saskatchewan,5.0,U,Virgin Media,6.0,1962531.0
Nhl12735,M,28.0,68029.0,467.0,fjmknj,1-006-840-4038,,3.0,Calgary,United States of America,British Columbia,5.0,U,Susser Holdings,8.0,1652119.0
Bef12736,M,80.0,234504.0,652.0,Rwuumknmciuxfuqigkievsebclnkbogfwbjnjwihbadasdzsmpoficnudbtjkeuoje,1-921-513-2121,,5.0,Cleveland,United States of America,TX,2.0,O,,9.0,291940.0
Dui12737,M,8.0,251827.0,423.0,LPYLPDNVMZVFCFWAZCMLRHCYLBAIYABJFVNWADHPMEIPWO,1-489-570-1877,,1.0,Fontana,United States of America,MD,0.0,O,United Technologies,6.0,2109127.0
Wgg12738,M,92.0,324957.0,797.0,KKRSXWFUELIMNNLQTUYLVNKLBHBKDPFDVCNIBPWM,1-910-449-9486,M,4.0,Coral Springs,Canada,NY,3.0,U,Juniper Networks,3.0,1396116.0
CMA12739,M,14.0,408152.0,412.0,Igwtfvwveapigans,1-987-972-3744,,0.0,Denver,United States of America,NV,4.0,O,T. Rowe Price,1.0,3427264.0
Lly12740,M,12.0,343684.0,368.0,Smutkyecmunafxamnjqhcuetsvvukgwffawnxzqzphjrkptyjaadcgbuivdbl,1-974-201-5222,,1.0,Modesto,Canada,AK,1.0,O,Hill-Rom Holdings,6.0,1389496.0
qmd12741,S,16.0,178944.0,,Bhipsslnqdmrwehxpwdbqtvkljkrjxqhbrhgfgqeqvrwitcccjryigonvguoqjla,1-981-576-6270,,3.0,Sunnyvale,United States of America,ND,1.0,O,Atmos Energy,2.0,2006655.0
UOC12742,D,45.0,453130.0,539.0,Gtkpacrrshrjczauhgwnoikpbnaiezuc,1-954-228-1242,,5.0,Glendale,Canada,CT,0.0,O,Publix Super Markets,0.0,2842747.0
wdi12743,M,9.0,255294.0,,vxfzeugpgbogynuzfxvkcdsryyqiezgmtiwlrttruqgfrwztbcrvl,1-069-044-3794,M,4.0,Jackson,United States of America,CA,4.0,O,Union Pacific,5.0,3979196.0
Yuz12744,U,76.0,333377.0,432.0,ylypbuiqrrmdlevqsarjmvoupcymfkeooamoyykilrhodocihdqdbwuipwuaymqgeydbjcrylqstdia,1-359-043-9483,M,5.0,Grand Prairie,Canada,NC,2.0,R,Men's Wearhouse,9.0,2976882.0
tze12745,M,46.0,207260.0,,Rzqpikskrthtkoolwtnixcdzjhbr,1-216-121-5349,,0.0,Denver,Canada,RI,,O,CSX,7.0,1475651.0
ayo12746,S,24.0,259571.0,761.0,Jurtsdpczowdtocv,1-198-655-4742,,3.0,Ontario,,RI,1.0,O,Mueller Industries,5.0,1667054.0
Bnm12747,S,17.0,477142.0,,znvgqnzuqjyztomquwbecfrqdxntbuhsxmmtdosmtfkuxxcunopwaxge,1-913-563-2439,m,1.0,Virginia Beach,United States of America,HI,4.0,O,BMC Software,1.0,3019806.0
snt12748,S,63.0,158232.0,761.0,Rhdisixwaqziozvwzudfkk,1-310-386-0831,,5.0,Calgary,United States of America,CT,1.0,O,Dole Food,8.0,3688877.0
uts12749,M,0.0,302008.0,480.0,lcqbhlouitwtfgqbsnhznmecmwyhgvlphjgvevzpcicmzgntnluoqwnpgklyxhdj,1-932-771-2566,F,3.0,Augusta,,IN,0.0,O,Dean Foods,3.0,965025.0
Wov12750,U,78.0,468591.0,629.0,Stcsksoumxgkknxylitwuewoiomhvklolplqoevoejvzm,1-376-193-7039,,1.0,Mount Pearl,United States of America,NJ,2.0,U,PSS World Medical,4.0,1963612.0
DEJ12751,S,95.0,148499.0,594.0,Mhpsofzalmcwcxwgctnffaihrtnhxglqvjpdctuuwuntbkjavlmegpvldzsxfomvepldhgiwmupri,1-006-418-3311,,2.0,San Bernardino,United States of America,British Columbia,5.0,O,Zions Bancorp.,10.0,1363035.0
Bsd12752,U,19.0,233574.0,,oxwjcndactgamwiglllznmcqwagynnpznofjfthjxwzlehhtkzowtmzwccnjtnuqbsfitfmwnqljhey,,,5.0,Jersey City,United States of America,PA,2.0,O,Snap-On,0.0,2901258.0
Avp12753,,36.0,404865.0,594.0,Rxedhozkakuvfsmwdjatosqgsyshpulylxtdwxkfguaystub,1-164-508-3988,m,3.0,Elizabeth,United States of America,NJ,0.0,O,Bank of America Corp.,0.0,705059.0
IDD12754,S,93.0,214145.0,506.0,JFQUXLCRGDQVYJBNCVBNWUFRJERL,1-035-779-1091,f,5.0,Laredo,United States of America,Nova Scotia,1.0,O,Graham Packaging,6.0,2791193.0
Uwy12755,W,52.0,24681.0,729.0,pqjairkovicyenlmbcg,1-292-221-2035,,3.0,San Antonio,United States of America,WA,1.0,,Eastman Chemical,0.0,3812048.0
Lgm12756,S,67.0,330749.0,640.0,OQMCNJZXBPKEKVNFAHNLRVXWETVUYGYOWRQDYRILBUSESAFPRVZAILEXWQWCGDGFFHGLGEMDTSEQAC,1-208-169-1114,F,3.0,Vallejo,Canada,Alberta,2.0,O,Dell,9.0,2962749.0
Tvx12757,M,38.0,164153.0,468.0,Nnhlxqwcwozxgkcs,1-435-618-6208,,2.0,New Orleans,,MS,0.0,O,Airtran Holdings,5.0,2495409.0
xgt12758,M,68.0,268255.0,471.0,xbwtqnrgnhxudklqboeyjljairusinkjlqnryodfpogxqdejkczgnqteopmacg,1-716-634-5947,F,2.0,Huntington,United States of America,TN,2.0,O,Verso Paper,8.0,2326724.0
Qbk12759,U,29.0,280171.0,565.0,FFALANTDATJIRFDPFIIOJRSAXAWIJVHAWKJLTSGAOVQFNTXOYQHRUSY,1-543-756-1895,,4.0,Raleigh,Canada,ME,1.0,O,Moog,9.0,2376817.0
ZQT12760,M,77.0,458654.0,670.0,Hwwcjaqiibbohcdoljpzvgeneppwadutfdehouxpevzrgc,1-209-813-9558,f,4.0,Mesquite,United States of America,Newfoundland,2.0,O,Complete Production Services,5.0,3586237.0
LFK12761,M,57.0,267700.0,705.0,Uzqqqeekvtic,1-668-654-9009,,3.0,Oceanside,Canada,Nova Scotia,3.0,,Eastman Chemical,6.0,2982659.0
tqn12762,S,2.0,209935.0,499.0,Osbgwzxrn,1-177-983-9264,,1.0,Omaha,Canada,KY,4.0,O,Ingram Micro,10.0,1636130.0
Coh12763,S,14.0,154622.0,557.0,Wfulgbbjhkmxxxcegpmkfhfudjhjrnnlemvbuzlc,1-613-095-0102,,2.0,Escondido,United States of America,Newfoundland,0.0,O,Rowan Cos.,9.0,1832841.0
CXG12764,S,70.0,227526.0,556.0,lhnltereuehhprlnjwmprwaeaspwdmhmxgzgktxtabuvhje,1-821-587-5082,F,5.0,Winnipeg,United States of America,AL,4.0,R,,1.0,225911.0
Ayl12765,D,,248490.0,807.0,,1-209-511-6391,f,2.0,Ottawa,United States of America,Quebec,1.0,R,Brinker International,,735034.0
DGO12766,W,41.0,250533.0,796.0,QUKTUOKCBFYHEXPBGPNDMINXQVNVZFNGWKSBECENJRIJUCICUWTSFVNWILTLJVNTAXIWSAI,1-369-310-4013,,,Escondido,United States of America,OR,3.0,O,Solutia,4.0,2233050.0
WVC12767,M,35.0,322757.0,303.0,,1-613-835-4312,m,1.0,Fort Lauderdale,United States of America,Alberta,2.0,O,RadioShack,9.0,1655028.0
KDB12768,S,56.0,36959.0,341.0,QPARQRDBOMTNEWADIFEOJNQNXIRCTMEJEGAYSXQZRVHELKSNATTVGA,1-493-632-6618,,5.0,Santa Clarita,United States of America,AK,0.0,R,Fastenal,4.0,1898862.0
AOR12769,M,36.0,,688.0,Nkqfuheznfyhddrzzijatxnmcbfdqgihbmicwno,1-402-483-7811,f,1.0,Salinas,United States of America,NM,2.0,R,Duane Reade Holdings,5.0,277576.0
Uve12770,U,82.0,427664.0,512.0,Pwfujsevwchezgqunzesh,1-442-268-7194,f,4.0,Windsor,United States of America,KS,2.0,O,,1.0,1813911.0
ZQB12771,,79.0,466745.0,578.0,yzottfivuzilhvgsvfaciv,1-616-719-0774,,2.0,Ann Arbor,United States of America,DC,4.0,O,Darden Restaurants,0.0,2731708.0
qic12772,M,98.0,479844.0,333.0,odvdustmfikndbkzyvyqigyromnibngsencu,1-278-623-3360,,1.0,Long Beach,United States of America,PA,3.0,O,Cognizant Technology Solutions,4.0,1614600.0
SLM12773,U,33.0,303821.0,612.0,NXOFGUFQYSISMKGYXZY,1-290-786-2222,,5.0,Escondido,United States of America,Prince Edward Island,,O,,5.0,2932536.0
BVK12774,S,39.0,425556.0,562.0,XDKHLKTNHQPWRBJMCFNPSMUJTENFRRPTKVSFUZLLF,1-683-878-2530,M,0.0,Mesquite,United States of America,FL,0.0,O,Family Insurance Group,3.0,340111.0
TSS12775,M,87.0,124447.0,733.0,Sgssicfrnziwxbjqcxphewfqpkxzvtawgflnzjuxpptlqcybqutvgrbibwokpezdazezwtujw,1-722-895-6426,,4.0,Columbus,Canada,British Columbia,2.0,O,Micron Technology,7.0,2069640.0
Izp12776,S,,,684.0,YOHZBWVXBWXDDEVJMEPXWWBLQKJXXQ,1-835-130-7813,M,4.0,Detroit,United States of America,Ontario,0.0,U,Boise,8.0,2902304.0
Hnk12777,S,99.0,41396.0,306.0,KJLGHZHL,1-666-832-7147,f,3.0,Tallahassee,United States of America,OH,5.0,O,Cracker Barrel Old Country,10.0,2348577.0
ezn12778,U,98.0,18611.0,307.0,Xkwmb,1-445-710-0394,F,3.0,Santa Ana,United States of America,IA,3.0,U,Verso Paper,1.0,2768481.0
AQP12779,M,,230345.0,500.0,SAWFONENHSCOONDVPRDBSTMQAOPPTWLKSIHFNNPFHJYRXWQ,1-188-419-4234,,2.0,Lewiston,United States of America,ID,0.0,O,Sovereign Bancorp,10.0,3416147.0
bjo12780,S,31.0,194995.0,314.0,Sdnqvxjraktvcfsuqkjggldrdilukknlitpncwznrfanst,1-496-715-5710,,0.0,Tacoma,,MO,0.0,O,Thermo Fisher Scientific,9.0,2178505.0
Kbu12781,W,86.0,57767.0,723.0,Lmahhhkcloqmiquinxymtuoscwzpbwfhlnhoyhbldqozwjlsfpviiujnowqanxnytshhezggavaad,1-594-317-5227,,4.0,Wilmington,United States of America,UT,0.0,O,Raymond James Financial,8.0,2714350.0
Tck12782,U,22.0,282775.0,379.0,Gkyauiswljucxsshyupastpatazexqewojihcqgbacstlokvqdtkt,1-341-056-4412,F,0.0,Virginia Beach,United States of America,KY,3.0,O,Cephalon,7.0,1075163.0
tff12783,D,48.0,106492.0,507.0,Kzqhmnurnfdaencwefpcjhgpvzcnzvbqkhlr,1-353-500-1708,f,2.0,Kitchener,Canada,Prince Edward Island,1.0,R,Merck,5.0,3337628.0
Vmj12784,D,40.0,417140.0,709.0,efedxrfrjatwux,1-680-600-9909,F,2.0,Independence,United States of America,AL,2.0,O,Genworth Financial,0.0,3377688.0
iog12785,W,96.0,463553.0,735.0,RWTWGOHJYUHVWDVYHXBOEOHCUWCPCHHQPDJXVBWCJBXTRYJRJXEVBO,1-561-281-4862,F,0.0,Pittsburgh,United States of America,CT,5.0,O,Apache,7.0,1647699.0
OXX12786,M,0.0,47424.0,390.0,NYZFIDTOQZWGLAGCRBLUC,1-015-958-6543,,5.0,Fort Wayne,United States of America,KS,4.0,O,PNC Financial Services Group,1.0,139049.0
Nnh12787,W,6.0,254769.0,764.0,Dgovriphitkyedvvnmldpxefapnxw,1-213-819-4291,,5.0,Salem,United States of America,Nova Scotia,3.0,O,eBay,5.0,1256678.0
Jqs12788,U,85.0,97811.0,691.0,YFNKBVBAJPQPNMVUYYNYGBAVWAEKBTCMPKHFOXAXPCOGFFQHEQIYRZGTWBF,1-721-818-7576,m,1.0,Alexandria,United States of America,GA,0.0,O,DynCorp International,10.0,151006.0
hqd12789,S,99.0,196081.0,324.0,Hfgcmfhegsejhkliwrvessrhmvtwamxudcdioxlxwjrgovebjo,1-915-805-3120,,2.0,Miami,United States of America,Saskatchewan,1.0,U,Con-way,7.0,2456971.0
Quv12790,W,10.0,84836.0,790.0,Uzpepwsabqxitskjeqimqdpvtitfuetduggucjedejxkhmud,,m,1.0,Augusta,United States of America,AL,0.0,O,Cintas,10.0,
Gwh12791,U,13.0,325582.0,,Bnerrkytuecphcqkptnlhjxgmxblhqarhacjmar,1-033-950-8629,,,San Diego,,KY,1.0,O,Telephone & Data Systems,10.0,93054.0
Fjw12792,M,99.0,237593.0,761.0,Ljncglqtygipvjsndmlrfltzebqfeedkneztmmhkiqtkzalanxlejocmkcqopgenbpmb,1-159-276-9627,,2.0,Iqaluit,United States of America,British Columbia,0.0,O,Estee Lauder,5.0,3004510.0
Dnr12793,U,24.0,20584.0,805.0,Fsvbodszlvfvvsjoeckkmbwsxpsyqbwn,1-565-444-3707,f,3.0,El Paso,Canada,WV,,O,IAC/InterActiveCorp,2.0,661782.0
Bks12794,M,21.0,277371.0,340.0,Fpquuefvumiijhuptsiubgbbxlropcwdkmwn,1-974-632-2473,,2.0,Colorado Springs,Canada,New Brunswick,0.0,O,Questar,2.0,754597.0
Ipk12795,D,30.0,18527.0,580.0,Sjkaga,1-935-511-9233,f,0.0,Whitehorse,United States of America,KS,0.0,O,Annaly Capital Management,3.0,1121803.0
Seg12796,S,62.0,232525.0,392.0,Idqqtjnqftxmjbamjunztdgknetfkoscslvgnhqcmyvaxohqzrcmzxnlhoimihjkqd,1-116-325-3727,,,Rancho Cucamonga,United States of America,CT,5.0,O,MeadWestvaco,1.0,3790711.0
Dcb12797,U,83.0,348317.0,465.0,eprdtjmknnjqozwirlsfinypwuefepyrpxgppakyvnxgngrkltfaawrbjdaazkjmpy,1-707-542-5564,,2.0,Sherbrooke,Canada,WV,2.0,O,Modine Manufacturing,5.0,2358798.0
