prospect_gncd,prospect_crdtrtng,prospect_pstlcd,prospect_nmbrchldrn,prospect_mplr,prospect_mddlntl,prospect_lstnm,prospect_ddrssln1,prospect_ntwrth,prospect_phn,prospect_gndr,prospect_cntr,prospect_frstnm,prospect_nmbrcrs,prospect_ct,prospect_mrtlstts,prospect_g,prospect_wnrrntflg,prospect_nmbrcrdtcrds
bid13467,458.0,,0.0,Textron,,bidlggpdse,Evvgqdqlvmdyejrflnwksgiogmc,1961830.0,1-256-106-4282,,United States of America,UVHAAAWBRANI,4.0,Palmdale,D,75.0,O,9.0
Wnm13468,301.0,RZQZSOW,0.0,,,Wnmifqajhorbgbrkbjrvitamd,MVYCOBWWLUYNNHISTCBNVFKCZWDUNXRFCKMDIEFJ,2415608.0,1-096-718-5768,,United States of America,Gyryyzohlhftzupyejyhd,4.0,Salem,M,53.0,O,2.0
Xtf13469,655.0,VFIGH,0.0,National Fuel Gas,H,Xtfkjg,fseokrxaudfbitpgrfplvpehacxaytuktfucscoccquainxtrpqkktajfgybnbnjtxpgspiimoclaru,3943144.0,1-722-764-8131,,United States of America,yfndubpiqtgnyygxgih,0.0,Peoria,S,9.0,U,0.0
KIC13470,525.0,DUUAKXTSJXXT,5.0,Express Scripts,J,KICSFLWEJUOVPLUZ,FXEYMDDOJDIHEVKKSICEPRQMIKXAWEAYMONEWLMHZLJYPAXKDMRKABEPABISAOHDQYHNZUG,737530.0,1-424-631-4720,f,United States of America,vwaxixokoyogd,4.0,Colorado Springs,M,63.0,O,4.0
Jex13471,606.0,QLUCWCKGOIJ,2.0,Fidelity National Information,d,Jexeyuurmblwciiy,WXEJZIIDOWDOMHXLFWSGFBDAZITPOSHOUMGLKNFBGBPWWR,1998384.0,1-267-551-2342,f,United States of America,OJMVCVDANIEQRAVKZKQIEJ,0.0,New Haven,D,69.0,O,
yfz13472,772.0,GSGHOJSP,0.0,J.P. Morgan Chase & Co.,n,yfzslslqjljliieouudspx,EEBYAWKQKD,,1-847-816-0514,,,Umnzjlbfbqyqqhfosapclsmfax,0.0,Alexandria,W,97.0,O,4.0
UKP13473,776.0,Xkinwjceqm,3.0,Brink's,,UKPVIZDGEVBDKMSAD,ZYEZIAWPLGPPXDQNTPAJNWRJWXKJXRUSEQFDKFEJJTIHVKQHSJBTTHGCPQS,1334410.0,,f,United States of America,Kjblmsx,3.0,Boston,S,23.0,O,9.0
Rqa13474,655.0,Ktvitaiul,4.0,Lender Processing Services,c,Rqaxowfkgtbps,Hbybvrjpeedxc,3738739.0,1-111-736-2325,,United States of America,JBRAEFLCHGS,3.0,Toledo,S,81.0,O,2.0
SVC13475,811.0,NGIWK,1.0,Mercury General,,SVCDYUP,xjpnhnjgyhmxnxenhudegmlcvfct,3352677.0,1-473-506-3410,M,,suazpjqdav,,Fayetteville,U,95.0,O,5.0
Jrk13476,315.0,Qpkzpdpuzjfm,2.0,Marsh & McLennan,,Jrktrpahfgopgmkhrspjrsj,Xlzcpwbhlcxugrkb,2588787.0,1-544-797-1619,,,Kdwml,4.0,Gary,W,73.0,O,
fdu13477,487.0,EPAAC,5.0,Marathon Oil,K,fdumuaqmqoclpd,QKSRREWKNODZXWWQELQVCTQOJXCQWNHXBGKSPIHISZDWHQCUCCCD,1057130.0,1-689-680-0006,,,Oldiwarljduiykmxpzko,4.0,Los Angeles,S,42.0,O,8.0
EZU13478,777.0,zwwme,,PC Connection,,EZURNGUKQRVSMEEQHJO,LPCCBLWEQNMLMSO,2378969.0,1-162-496-2739,F,United States of America,Endqpbuanbyzzobifinuwcwyx,3.0,Raleigh,S,59.0,O,3.0
Jbd13479,439.0,Xxwvjffwmejx,3.0,Marsh & McLennan,k,Jbdnsqjgkovqhggedppprp,,1829485.0,1-486-955-5715,F,United States of America,Goixqdev,4.0,Garland,U,93.0,R,5.0
QJB13480,576.0,Bkmkoursg,2.0,Delta Air Lines,D,QJBNAOKQYFCKBQPCTSNNOSQBKXMU,Ojugshxfbunbpuqgykrurlfcylbrgqrfmksgrwruckcrwpnjqbysrllivslyiaobwkpupovrvlsreuqc,739478.0,1-494-238-6555,m,United States of America,Khthcjdatszrdyjfmjamxnpubiudu,1.0,Chicago,U,5.0,R,7.0
Uuj13481,599.0,WHJIXDVVVS,0.0,Bemis,s,Uujrcemf,Tmfigelrrvnmfsekrsznwbk,891465.0,1-586-441-2602,M,United States of America,Vdkcmodoxjrn,2.0,Billings,S,56.0,O,5.0
Gsp13482,837.0,VODCRWFG,1.0,Sanmina-SCI,Z,Gsplxkqctylpylolslm,Qktmsquwhpmefx,166571.0,1-733-849-4403,f,,NHHBHUJKC,4.0,Lincoln,M,76.0,U,2.0
qhp13483,680.0,Qolecjav,2.0,Goodyear Tire & Rubber,,qhppllixlwtcpoooauyicjhed,Jcsudnvqpznkwwoswtspzavqfejivteouafbvixwhzcuasidgiftidofpyanxztpyxotdqacuqtilmg,2872636.0,1-979-182-6216,F,Canada,Taqxqwgxksryxrssr,2.0,St. Petersburg,D,51.0,O,8.0
fjj13484,362.0,NKOVUZQVYR,1.0,International Paper,,fjjsgaldcctjddxdh,rnbtiefzkswsxompkqjpyrbvgwydehwdzdevgcyrkbdmjlxrtuxlkqzaag,2567551.0,1-711-798-9515,m,,wiywwqullsgsmtaiailoyffqldt,0.0,Lewiston,S,72.0,R,8.0
Cel13485,471.0,,0.0,Eastman Kodak,m,Celzxcyrjih,FQUPDFVFSCXHMJORATTJEYYHEELRFBXKRBWYGTDZNPAMPPL,2602632.0,1-202-123-1049,,United States of America,Xnpcisnqwxzmw,0.0,Halifax,U,13.0,U,7.0
Yar13486,749.0,ideskroh,4.0,FMC Technologies,t,Yarnjefbkcdplvdocpjznriemhb,xocvoclnbslivwxfvdjzcuqhqhllmhqaugmtc,1070957.0,1-483-768-4607,F,,Pjixvuomg,4.0,Las Cruces,M,25.0,R,0.0
FVD13487,,Huhah,0.0,Analog Devices,t,FVDFPQVWGACP,Xawmcbqqcqbroqsyfffxnfreihstlvgodsjavbelywjloci,3918351.0,1-633-034-0817,m,United States of America,Axoehzmnxqxzyc,3.0,Albuquerque,M,32.0,O,5.0
dss13488,586.0,nyzcglcbnylm,4.0,Hawaiian Electric Industries,,dssbv,,2864164.0,1-704-905-3378,f,United States of America,Btvvyvjjlcmwwkcgwmhbfrxkzkddwi,1.0,Gary,W,,U,6.0
wqv13489,619.0,Pxndh,2.0,Bemis,,wqvdctnqejjbpxquuhixej,PKSYCQOZW,1929674.0,1-396-986-1220,,Canada,Pvtdgzmiv,4.0,Jacksonville,W,56.0,R,1.0
Aax13490,498.0,Feggudp,4.0,Pool,O,Aaxadshdseyqrexilr,QLYRRXWFPZSLJOBQEYZOURHNCUEJWGPWGZCYEHBJLM,1389537.0,1-807-531-0442,M,Canada,Vojyryeoilnmqtoooakwpcxchtwgt,4.0,Kitchener,M,68.0,R,7.0
Hyd13491,651.0,bwfttqhb,2.0,American National Insurance,,Hydwosczbhvrsquaauzfxqshbasmyk,EYIKLYUXLXWDWCANYGTKJFEQIKQBRCCUAPGRRXHOQOUAHZHSGIQGDLDDDKEFYN,2921462.0,1-802-942-1152,,United States of America,ubqrtk,2.0,Rancho Cucamonga,S,37.0,O,9.0
Nwm13492,484.0,cxeidb,2.0,Ametek,b,Nwmvvkmvcvzotok,ncsyopzkrhnktoxoyldnmt,2908407.0,1-680-129-8685,F,Canada,Qkkbxgirsq,2.0,Missoula,U,96.0,O,6.0
Mpy13493,,Acqdijhcv,4.0,Bob Evans Farms,g,Mpybauxvuwhwooakmmmfgmafvie,Shrbtxeaxqnjtzqcpiejksnblnldjdwfqokktsvnnysgexltfevbmpyxvtqaxaetambdmwvmaz,1406827.0,1-572-232-4927,,Canada,NVOBJM,3.0,Modesto,M,85.0,R,
Ctv13494,841.0,JZPUTM,3.0,Carpenter Technology,,Ctvfh,uvqyowugmraiufinppvzofmplaynaakbtmzzfqrlcetooxfmpgmvlzctnixxxxa,,1-056-861-0811,m,Canada,Dgvsaozaaqdqhoihlfjou,5.0,North Las Vegas,,60.0,R,6.0
SZN13495,319.0,LBHOPALEFY,3.0,Watson Wyatt Worldwide,E,SZNSUKZYNAWMGGUZPX,Fxaeghvdomawcvvfeekyonucptbegzmozxobdjfwsolkfbigoafike,1518821.0,1-042-100-4933,,United States of America,jxtuqxwtiq,0.0,Coral Springs,D,96.0,O,10.0
Jiz13496,718.0,plcqfspxjs,5.0,Abbott Laboratories,c,Jiztrc,Wtalksicvvautsrgtegbmniiiwimnte,,1-125-604-4438,m,United States of America,EMTBEJXRJWPFNGRCEVNFHLCHN,0.0,Cheyenne,S,65.0,O,6.0
DLT13497,506.0,vfmezgb,5.0,Emerson Electric,H,DLTQTYMWLRFI,Eamsoinjwbvyjweahyajlmrbzzfgjfkeomwvmsjbelpbiqf,1650458.0,1-941-703-3634,f,United States of America,Gqhgpicweeruclshg,3.0,Lubbock,S,0.0,O,7.0
kik13498,833.0,ASWVZB,0.0,Host Hotels & Resorts,,kikcmvjew,WPKLBUTQNQBS,707359.0,1-628-769-0512,,Canada,UAKGHCFFKLGFQVUUEDVOCYQQOXJFZ,4.0,Las Cruces,S,97.0,O,5.0
Ttk13499,,Njvwqm,4.0,Northeast Utilities,b,Ttktfuildblyxzc,Rajthwqcivphfsjacdrlgiadgjjl,1761663.0,1-745-587-8470,,United States of America,Ofdrgysgb,1.0,Kitchener,D,61.0,O,2.0
lsm13500,766.0,vxrcrftpjvkp,1.0,Dillard's,F,lsmnphahoubidmgczfw,Bfbwoomkrzkududbpspjlruborxkaqbedcequdvuerlq,3543735.0,1-394-919-0688,,United States of America,jlnrpnxxqayzobfw,4.0,Madison,W,58.0,O,2.0
Lxd13501,844.0,Qfshbkl,4.0,Pilgrim's Pride,K,Lxdctcnplohusgddkmvswdmyaod,Clsqwhftjjadxitrpciwqjrbvbeiuiizwpcodizfdwfwwsvbksfakwfzjfztys,3895099.0,1-522-103-3086,f,Canada,FNQEXZCLGZYDEPDRVFVJSTTQPDPQG,1.0,Iqaluit,S,7.0,O,1.0
OCN13502,320.0,IYRRRHADAHEG,5.0,Comcast,J,OCNRFIWRDOON,Cmcmqazvwaufgvy,845840.0,1-178-650-8044,,Canada,TGAEWBOTAFFGEFHPQFPVSB,4.0,Lowell,M,73.0,O,4.0
WBV13503,485.0,Eijmyni,1.0,Procter & Gamble,t,WBVFRJHHMH,Eurtfneelbftpcqsiclgqrggfirdrmajowycrzmlntlpyggwuhmelyzkphbbqzrzgylhrhycrzbjlfha,1872635.0,,,,ZWRSEQJHAFDFYQQARLFGECFEGCSCAF,5.0,Fort Worth,U,18.0,O,3.0
nyd13504,745.0,cqifznhdhv,1.0,Brown-Forman,v,nydbjbkjixh,Bvqroumjgiapzyharllligxicatvskm,1884289.0,1-083-498-3822,M,United States of America,IEOPBLLNIRIRLLNCQAD,1.0,Sterling Heights,S,83.0,O,7.0
ITV13505,730.0,Pceuhryfv,2.0,Whole Foods Market,,ITVTXUPU,SENWLLJFFMFBPVHAHEDMLCKWXOZ,3866617.0,1-539-508-4697,f,United States of America,Glgajofrqhnloirywrnebebddqp,0.0,Inglewood,M,5.0,O,8.0
Fes13506,662.0,aaaqukcicdjf,0.0,Pitney Bowes,,Fesfxrhxbtie,Pvgxkouyvzb,3888621.0,1-586-699-5726,,United States of America,YCYYIKLMPT,2.0,Las Vegas,M,23.0,O,5.0
Jbi13507,833.0,Ephesijxz,2.0,Mattel,H,Jbiwziuoctkx,Lrnnijl,2039174.0,1-060-166-8883,,United States of America,lygmlactm,3.0,Sherbrooke,M,94.0,O,1.0
lbw13508,358.0,Ewrxriqfymhu,0.0,Lennar,,lbwfhrdmgugil,,1357803.0,1-060-342-9196,m,United States of America,Syhrbqvejyzvyiuwunglbktwh,1.0,Cincinnati,M,20.0,O,4.0
GSN13509,511.0,Lvchwvnvdkan,3.0,Sherwin-Williams,V,GSNSOCKC,nieblkcogyeegxyuftnl,778633.0,1-482-082-6130,f,United States of America,Vncrtgbvhtchbpl,3.0,Provo,S,90.0,U,4.0
Qeu13510,513.0,asmdjo,5.0,Masco,,Qeunziuhsqwphwrbt,Fkzhwychbeqioyercapozzmqeebezcueanjbgkgsjrujlyejmqmbevgerjsqjqmm,2728861.0,,,United States of America,VYLJKSFBSW,2.0,Gary,U,35.0,O,7.0
adw13511,689.0,wpjnwskmh,3.0,3M,,adwcrpqmartcxyqixnsow,KIVOBHCCBJRJMXPJNLHQMQAKGGXDLBXTVOYNUSXJKNZJSTNNPHUZYMVKAJWGEKBOJAWFTDA,3806206.0,,F,United States of America,Dwqluegvgefwuzvgfpyifohfv,4.0,Chesapeake,M,29.0,O,2.0
WUE13512,799.0,ylbkokn,2.0,AMR,,WUENSJHTEASJVIMXZ,PXKBOBPVKVSXUJJXHHXUBLCHEYYHMHNQBGSWHFIDMFDEESSBRAMEPXVCCHBWB,2431184.0,1-090-245-7095,,United States of America,Kcqmlrglauu,5.0,Glendale,U,10.0,O,4.0
Gpq13513,678.0,znlpzzt,4.0,Radian Group,k,Gpqidedjo,Rmmazbvkdppxhddkeygebpxdpibmxmjobjnkkqdpvcsfpjdrumjwbgbarljfjmclwzrmcm,2941410.0,1-260-375-1481,m,Canada,Nijpngarmxkrzgmmo,4.0,Biloxi,U,17.0,O,5.0
Vyt13514,666.0,Vawwyebm,3.0,ArvinMeritor,o,Vytiy,Jolvjbrtcsethgnzgyhewbrkzxhrdzxvufnsehutvfinkhatalawdttguzrjoliohnoypcikkjcrwcpj,84480.0,1-432-120-0459,,United States of America,SQDCWRPYDBKYDHTKISCCQJPRY,0.0,St. Petersburg,D,14.0,,3.0
yls13515,354.0,Cyhsq,2.0,,B,ylstzdexzsqu,BWUPCWTLEHKLYPGMDWMKFAEHNSKGOPUHVYKMAVSKYXVNLQYWTELIEBU,2939892.0,1-255-382-8281,F,United States of America,dsbgnycgycnleybmbs,0.0,Phoenix,M,98.0,R,6.0
dca13516,442.0,Vzjuylpcjap,3.0,Bon-Ton Stores,N,dcavdgrqmgxyugifo,Lxabxteyjjlidkaqvejolgsjctgfeehcqhadqcayifqldvimh,1141828.0,,,United States of America,QPTGNOAVMURLEURGD,3.0,Durham,M,7.0,O,4.0
OGA13517,808.0,kucjerinwr,0.0,Autodesk,b,OGAUVSRATGUNZ,cvevebpyzjjccjriyfcq,,1-950-497-0045,,United States of America,Msbpxmu,5.0,North Las Vegas,M,92.0,O,8.0
Ubt13518,615.0,Rgznd,5.0,Devon Energy,,Ubtvyvkeoahhmmdkrlrawzjvuxxb,Aweskwrywrcvaawatmjnplxwwlugagifcncwagjvkyzthifpgkljdmfnlknbggwuwrovjrqtelhzrghw,1032884.0,1-550-617-0258,,United States of America,Yatljsjptbpzcczpuqtmusgghvli,5.0,Lakewood,S,59.0,O,3.0
Ckh13519,672.0,Siwyahkebnl,2.0,Airgas,,Ckhkssmqp,pthlzndkcoortgsjjcjxqvanybfgdbballaqwbvngcacmltdvpy,2677195.0,1-424-372-1915,,Canada,oztvqugevleo,5.0,Scottsdale,M,98.0,,5.0
VEX13520,371.0,qjujuysmezz,1.0,Curtiss-Wright,,VEXVKYRHCJSLOCWKVTQKEZXS,yjqmmuucqappabmsdqibviaelyziutdkalsdzdplubmhmefedwjkimcdffkiwqpkhqgtbhswo,2533105.0,1-539-511-6100,,,Ikbil,3.0,Newport News,M,45.0,O,6.0
Wzn13521,463.0,Yvncplr,5.0,Newfield Exploration,,Wznermsgev,IXVKRGDBZMMBUBEDXNPCMIWPBCPXFQBBMQGYRXRUNNTYQMPHNSXGKUCOOAAB,3216748.0,1-287-973-8395,,United States of America,Dcakzorrashvuiizqzwwov,3.0,Moncton,,8.0,O,3.0
Bqa13522,679.0,fwvsviiflg,2.0,Avon Products,Q,Bqavqulgmfjzdkxsrzn,DDHIRJEYEKNQYSRVCPMYULZWRVMYFITVJPJ,1104090.0,1-062-872-4901,,United States of America,pbfbacoikwtnnmphdfamhca,3.0,Arlington,S,23.0,O,2.0
ovv13523,547.0,Owkmltdgc,5.0,Entergy,,ovvuts,XHVDEJDFDWKIIGZOUSPJSRTO,2997988.0,1-945-561-4162,,United States of America,FVYOGNGLIBIITOYNTWPROOTCMYSKI,4.0,Santa Clara,M,46.0,O,4.0
Qvs13524,,zlboyxxyksva,4.0,R.H. Donnelley,,Qvshd,Tljgxvlusdtddrdataq,2056015.0,1-879-587-3035,,Canada,wgmfbfvgz,4.0,Irving,D,86.0,O,8.0
Rec13525,,IDCQCI,5.0,NRG Energy,,Recvzwrdbjmnywklnrzaxqifr,VHYBJYWLRSOVVNIKIOGYQIRVJFCDWDOHXOOOWPKWTU,3379610.0,1-929-518-4038,,Canada,Azprjnikfbfgepdh,2.0,Boston,D,,O,10.0
TVD13526,747.0,LHMCUBCQ,5.0,BorgWarner,,TVDWPIGYG,pbixxaskycccdfnqceqkfrvxrgwedklckle,3482102.0,1-692-509-7098,F,United States of America,wnreqa,0.0,Sioux Falls,U,5.0,O,8.0
CHF13527,599.0,adouhiw,4.0,Coca-Cola Enterprises,y,CHFBDYYRPKSPCUNCXNA,,358575.0,1-967-105-3945,M,,Mbiasqgnpfdvjblogyiijsggzwiwa,3.0,Bakersfield,U,95.0,R,6.0
MOY13528,365.0,,3.0,National Oilwell Varco,F,MOYPODXAPACLRMLHOGDI,CHBBFFHELRGCEARE,2967131.0,1-667-479-9813,F,United States of America,Dbqnk,3.0,St. Paul,M,26.0,O,9.0
TAR13529,,jrgpoapi,0.0,Pantry,b,TARLOMXMO,ftnmgmwoqmen,3932625.0,1-213-458-6341,,United States of America,CQBIRDNXPSAFAHEWNOEITQCLVIGUXX,,Erie,U,,R,2.0
qop13530,766.0,Anhvoayrgpqx,1.0,Tyson Foods,,qopepygpmpbwvuwvosszf,Wpsnllshbndxeymwievswsnnlnvdiacbqifnroesjkfjbxbuzasjkdnpjrgasnslqvtxbhfqwffrz,455996.0,1-976-099-9461,m,Canada,LWGGNZKCBGKWIDDXXYRXOQIH,5.0,Nashua,M,23.0,O,9.0
Own13531,425.0,,5.0,Itron,I,Owncrvcmvmsrcojetcejhijxeexvqu,Ipngkvgmfcnrlykbgwoclswgj,241123.0,1-141-754-1368,,Canada,TUDHTTDZHPBELRHMDWDWV,3.0,Orlando,S,40.0,R,10.0
lwh13532,430.0,Xttxfitifhh,,GameStop,,lwhmwryacaoppylpgnrbnons,Ayukjevdwkcstcehjpdicntbcnlvlscgspb,2259225.0,1-241-825-2620,,United States of America,hndfbbwscmtadhyvpstaebzkmbeau,4.0,Modesto,S,39.0,O,5.0
lap13533,479.0,Lkavelvbhlom,0.0,McKesson,,lapeixhmyqdedhmcawotdatvk,gsxlrxtw,2305714.0,1-200-793-3762,,United States of America,Vhraomrssvmrujk,2.0,San Jose,U,18.0,O,10.0
Tjs13534,674.0,LFXRLVTHFI,0.0,Equifax,Y,Tjszpopdehm,Yekdgxvgibdogaqrzcigaqyfleoatnmetteojpyiyoafwuicwfbznwvmhqzuzshrjocdlyrduq,3060058.0,1-048-377-3380,F,United States of America,LXJQYTVRMAYSLUNW,1.0,Toronto,U,2.0,O,2.0
gzi13535,416.0,Qvjttqwx,0.0,Ryder System,,gzihglizjpboridkktombgzseaais,Uzxuwpbdbeylpfbdcwggxqxvpzyhrjfvckrdormtahtaylwpwgyporbovlwueaizktmewhpobyjnb,,1-447-707-7030,M,United States of America,VLURVGGXWAPR,5.0,Huntington,M,64.0,O,9.0
TRJ13536,826.0,Xhqlrml,4.0,Air Products & Chemicals,,TRJNHVSFWSINXVBCJFTMQKBJJZ,DWWPA,2762973.0,1-164-892-7234,,Canada,Leepcxjpkrwrfudvvlnl,1.0,Ontario,U,,O,8.0
Yju13537,491.0,,0.0,FreeportMcMoRan Copper & Gold,,Yjuwegtpqukyhkxqducoselpscfh,Cvixcxzyrinzxejqypjlpnoy,550058.0,1-083-422-1085,,United States of America,XOMLJXXZQHWKUQTAXFKAOZSCH,3.0,Frederick,,89.0,U,6.0
Gbn13538,698.0,Cvvftodwwvb,3.0,Rent A Center,,Gbnvfajrwsssrv,kfslubzduipliebhtcj,3313252.0,1-836-001-3798,M,Canada,IAQHULVEFLMIQAEROKNPUT,0.0,Escondido,U,30.0,,10.0
wje13539,736.0,EMKGPTROKXF,5.0,Host Hotels & Resorts,M,wjemthzytqrqftyatgvqgbyrxv,Nhkxqwxlnnlfivrpyxlghpwewokdglbaohqkqmdodrtcukakhswhlmhyxxbwnb,604063.0,1-500-261-4234,,United States of America,ruqzzfjwe,5.0,Mesquite,M,75.0,O,9.0
Eqf13540,426.0,vspme,1.0,Covance,,Eqflhosuzxzimhfxiggugjhtgyhwk,Shglqoouriwtprkewcluwcdnteigbvfouxwhnm,785438.0,1-368-532-0597,f,United States of America,ijyjadxwuunoybsvdgfwosoafqgq,2.0,Mesquite,M,84.0,O,0.0
rmv13541,421.0,Mzifskbayb,1.0,Flowserve,,rmvtefi,uoixroihztbmsbokaibwdxcudjdykcsaftgpnldmigcc,1346098.0,1-594-327-6421,f,,Udxhkt,3.0,Garden Grove,S,73.0,O,3.0
twq13542,421.0,wwvjmkcyxy,2.0,Temple-Inland,,twqgwktaeupwfldtkuepixavpjxl,ZEPRDC,1725564.0,1-202-267-5345,F,United States of America,Polsgtucvygxlikpaxziwn,3.0,Fort Wayne,M,43.0,O,6.0
Wto13543,668.0,Mdmkwgc,3.0,Procter & Gamble,Y,Wtoxsiflfexfaupvc,Cpsspzmnrhridpuneisrduxfyhznkmremmseryqdjvdz,473541.0,1-306-474-6135,,Canada,Ktikmc,4.0,Baton Rouge,M,89.0,O,10.0
Opi13544,385.0,,4.0,Diebold,t,Opiqikrcjqwkxgzsdmaudolgt,Nkxbmnxydzzdxngpz,2944042.0,1-429-837-6223,,United States of America,AFSTKVDIABICCMGCDQTFYRQUA,2.0,Toledo,M,83.0,O,0.0
Bth13545,365.0,Tppxxjslgbdu,,,f,Bthniazlkcbtybdbf,sjxcryjlvizjxjckvhqqrnohakklbnrjkruoxppoxpjksenmbkyfzmsindmptwgawbaekzvaknnwkndu,3344240.0,1-558-657-5664,F,United States of America,Ogvewbzcojokaimoj,2.0,Rancho Cucamonga,M,13.0,O,1.0
Sqt13546,322.0,cvenjdkqrgoh,3.0,Cimarex Energy,,Sqttwdrbsczsmycnbswlaiuom,EPXNBTKCRVVCOORLIIXLHWADBRNDIVMFACYWODJPHWLHKEYBKT,3841833.0,1-467-726-0174,F,United States of America,UZBTYYXRMP,5.0,Pasadena,M,68.0,R,4.0
Ioo13547,312.0,Normrf,5.0,Deere,k,Ioouaflmrhcehotzqqeczicxbb,lrykzrvdcsihgjsgstlqandjvmgooxyoj,149715.0,1-279-265-9559,,United States of America,imencxf,0.0,Thousand Oaks,U,56.0,U,2.0
Div13548,349.0,Sqwjs,4.0,Northeast Utilities,p,Divqujoejlpwthraq,ZVTSTSZDSVKAKAZHDHZZRQPMDANJVKBWGKKYTIUHNEOEE,3414188.0,1-349-947-7813,,,KYCHGMDSKKAJCHYOGM,1.0,Washington,U,66.0,O,3.0
TIR13549,766.0,Iedvhwnpplvu,4.0,OfficeMax,,TIRBTSVZQTIVWUFHPLI,Ujcvtecjzkincjxcrptzqyghqtogbgvxohuyyobsl,3470304.0,1-287-259-1073,,Canada,Cfanils,2.0,Akron,S,51.0,O,6.0
Tuw13550,301.0,Caclqoh,3.0,Chubb,H,Tuwufotrlterjwlkinieuhdg,ZYSPPTFOHDXJD,114133.0,1-231-908-3245,,United States of America,Quemp,5.0,Montpelier,D,77.0,R,10.0
MYN13551,458.0,HDKRFYJY,0.0,Illinois Tool Works,,MYNRGJATAVQGPPGINVNAVL,ahrgz,42894.0,1-430-767-7716,m,United States of America,Tbpqtkcqifwxyzdchunmbpq,3.0,Toronto,S,41.0,R,
HIE13552,838.0,YAQTRS,4.0,Enersys,F,HIEUWEHHXLWSVEYNYIGJSAVPRKA,Mnrjwooosxewlirlbkgarnnmdcgsedfunvdxocjnrumhbncxdnxjptckcjgxrhecitutkdy,1558114.0,1-590-245-1742,,United States of America,Xsfcxyokiaeoesfa,4.0,Manchester,M,41.0,O,5.0
Wuy13553,547.0,MOMCA,1.0,Allegheny Technologies,,Wuyjvgeijesvqkdwmzbvbplciv,,478978.0,1-298-954-5155,,United States of America,SUHUYYUCGA,,Dawson City,S,27.0,O,10.0
SRR13554,790.0,Hzmphqfmvqr,5.0,Pep Boys,,SRRYOAZAKORGFEBQKALAYIUTUGFP,Tfudumasizz,1788946.0,1-558-311-7952,,,itdcdbygdqmrpbeyez,3.0,Providence,M,88.0,O,
Tsq13555,,XIBHBOEFK,0.0,,i,Tsqbcorjipekvoxns,Geqwgdllkwajhtqxfmiowtlbpunhjhrufbwsqsmjshageapqbkj,508867.0,,M,United States of America,Rzgltwdhoxf,,Palmdale,M,65.0,O,0.0
XDY13556,689.0,qjuvwcs,5.0,Texas Instruments,,XDYQQIBJTQKWVFEUENTCWAQVQB,ylfbiivypgycahzawkcmvafetuxdmxxyfhvswvkmtmujuksdojrktjvttjhga,2770270.0,1-264-464-5764,,United States of America,sodffzhz,2.0,Saskatoon,M,44.0,R,2.0
VRU13557,677.0,Efjoqszkp,4.0,Rock-Tenn,D,VRUZWBVBCFWSUZ,AJPTESMCHSGBGPTELTYNAVROBQETCRL,2283610.0,1-013-653-4542,F,United States of America,Lqfge,4.0,Casper,M,19.0,O,8.0
BUP13558,394.0,axaniaozkn,2.0,AbitibiBowater,,BUPNDTUKYLQFUSEZNNATJZWHSU,Nkeevqrryfwoepshghgudyqpkzldommszdkiaobodqtowtcipvqshhsekoggntn,2467991.0,1-621-819-1523,F,United States of America,GPTJUATC,2.0,Stamford,M,42.0,O,9.0
sfc13559,841.0,Kjxkyuzlv,4.0,M&T Bank Corp.,g,sfcmnzcirir,Qvppglazonsuggwzhsjdhwshbgbkxjqljemdl,2159145.0,1-617-315-5114,M,Canada,Wmxfsmllomtlltovbifvswpm,0.0,Abilene,U,99.0,O,0.0
UAW13560,,bwmjdxtrdt,,VWR Funding,W,UAWVXUZBHAG,JPBZUFMEQUTSJPQTNHLAEXLRU,,1-787-618-4724,,United States of America,Demzi,4.0,Houston,M,38.0,R,3.0
zfb13561,461.0,AKSEAGKNGNJ,5.0,Motorola,,zfbjmymvsiqtgjhzhjsg,tcrdnlwhciwbicdfyecajjbomuipqftgfhqgtsimwfsdisbasnkilwtyblhpcclydk,307619.0,1-385-485-8326,M,United States of America,vlfxekotuxwmkbdwszlceltghfvna,,Dallas,M,,O,1.0
Kvv13562,394.0,Rltmwbe,2.0,E.W. Scripps,,Kvvqaocty,MJZRQQYBDKIMRDVZIMIEKUJEHRRXOBRHQIZOTTKPTXZGM,591960.0,,m,,Rrlwhcggymaanlgwgijo,,El Monte,S,99.0,O,3.0
Nxl13563,811.0,Hatapzleltk,4.0,W.W. Grainger,,Nxlwowbliyxvgxszleqn,RULKZHJVWFIC,2169148.0,1-423-659-3801,m,United States of America,Umrhhezgrhhgdxntwm,2.0,Dawson City,U,92.0,R,
Lai13564,498.0,,4.0,New York Times,,Laiospinnvomd,Lrljexqjoafiyhpebtnkduhvehagamektioqboessjytqakdyphcbdfllsia,2696679.0,1-894-579-8459,,,VERLXNRGKNDHHQFXT,5.0,Waco,S,56.0,U,2.0
YTM13565,725.0,uostmdwz,3.0,Aventine Renewable Energy,N,YTMJVWYRJTHBGVRDPYGIJQLIX,,1158747.0,1-705-878-7691,m,Canada,LODOYCBIXMJIOCXZYHVQRLURCR,5.0,Hayward,U,57.0,O,7.0
