Employer,NetWorth,Country,Income,NumberCars,AddressLine2,State,AgencyID,OwnOrRentFlag,PostalCode,MiddleInitial,AddressLine1,Age,Phone,MaritalStatus,FirstName,CreditRating,NumberChildren,Gender,NumberCreditCards,City,LastName
Omnicom Group,2437574.0,Canada,,0.0,kmslvlxdklfprbwwlavmxvdfv,OH,Mdy11116,R,Imfxtb,z,STZTPCHMRPKEVMGYRPUPCJQQDFYAZCHYOCDGHEGHDGEIEQE,84.0,1-624-435-2301,M,PHHRTSVIAQTILGUKTQWWCD,536.0,4.0,,6.0,Des Moines,Mdylhcjqmdjpirjkfzvrbbncl
Vought Aircraft Industries,1717413.0,United States of America,471546.0,2.0,qkafkavgdodqfvrsefankkmmdvquromexcpmdzllqtdaxmsbuqmh,NY,OTC11117,O,hcaakval,,kpibzxjs,,1-247-055-8115,U,Alzmzkthvwpehgkaca,428.0,,,9.0,Lansing,OTCIQHOWEVFZTWUIRISRFFIS
Emerson Electric,1874989.0,Canada,486274.0,1.0,mjhtdpqmcdxno,AK,Nda11118,O,Xnhrhfxeclt,h,Nstxxvlwjmttnmzlkpunwbhwgnikkgxoplwuuhr,23.0,1-432-772-4099,W,Avyoeu,713.0,2.0,F,4.0,Dover,Ndaicjefcponj
Colgate-Palmolive,309312.0,United States of America,79994.0,,Bnfeugnaksalekkrgksgovptnjtjjhjvnqitxdvkfikffregakxmoxzumfsemsvdprwwmvmjxtfl,MD,Xqm11119,R,Tzpftchyten,H,fwnnzjxigtbupllaenajwxkujnibdvsiinkhmviievgmnnrsmdwyuisndyqapihjmz,22.0,1-471-763-2607,U,jexvxxv,665.0,1.0,,6.0,Abilene,Xqmpaegovrngyxvsgr
Norfolk Southern,,Canada,244104.0,5.0,Fjcdpkhrxddcengxnoijmcwvqqjgusnmoqshthjhtgfjkoknqsec,CO,RIL11120,O,Twwqcoiwo,,Ybrxtzcldcsdynnntuycl,29.0,1-695-698-2782,M,Ewdtxbk,546.0,2.0,M,2.0,Huntington,RILWJXIOCSBEHOF
MDU Resources Group,2661265.0,United States of America,399499.0,4.0,pqnlgyanuifg,OH,Sio11121,O,QFWPL,,BFPEDLLCYMSSSYUJDEIFOKULIFQLMHPMNSLPCX,36.0,1-182-018-8364,W,ahzmrzqijh,437.0,0.0,f,1.0,Berkeley,Siovhlnojxbzaawxjdv
Regal Entertainment Group,1182674.0,,344741.0,4.0,Crqhnatcqwavehvwoyuwwuatkrqhiptbjeomcwzgpinoe,MT,gum11122,R,FOMKY,,Akhucejiejjlmvwxjptiwdtwnrwludmrsmjrudcthblhybwjazvvtd,70.0,1-222-269-4854,W,Beyfugvsawjrekdergkdvcduofy,410.0,1.0,,7.0,Chandler,gumps
Toro,61292.0,United States of America,449148.0,5.0,bzpehfyggyzhgjbkxvbzb,KS,Kod11123,O,NYCBOCF,V,friblnndjxsdgcjjufkfrczgqmigyxeczradoyvtybfkgniwvoqlfajkrqdxyo,12.0,1-650-613-7174,M,Ggyxywbbimexhqicjndiyu,456.0,1.0,f,9.0,Simi Valley,Kodkmx
Molina Healthcare,898736.0,United States of America,249694.0,4.0,Rlzoypckxjqfxmhbabxwqjurevhjbuqdbafaeltnzdxipchay,FL,uar11124,O,OIPBIRCT,N,TZVHLPZKDWYJWUVMJILVNMVAAAJQJRB,79.0,1-610-860-8907,M,Muymquwgjc,724.0,5.0,M,9.0,Dallas,uaruqbexvvhqnoghkirdqypws
TravelCenters of America,374849.0,United States of America,93623.0,3.0,HIJANWTQYPXHUUCDLKXKHCJSLGPZPCIGXIKCOMWSALUQ,VT,bce11125,R,dehtyqwngwnm,L,ueocwcubtencogkrfiszcsquosrrmsgy,13.0,1-080-177-0308,,VSERFS,518.0,3.0,f,0.0,Hull,bcejojywrwuo
Smurfit-Stone Container,2144139.0,Canada,223509.0,4.0,odlgcoskkumabrjwpdepofduicqmacpomcbslirwqtibtjtafpksspqdzbsigzhnknbhaivftlrnvv,DC,HDS11126,O,XCDFRIBEN,n,OKPVTNMAHXVLHUOGSBZWASGADMVJMZOJUPHLWUVHTGJ,40.0,1-020-838-8629,D,Thwuiojryraghrdotnobrbqm,382.0,0.0,,7.0,Austin,HDSGXUNUDGMUBWKGNCWXWPCRGJTTG
VeraSun Energy,441843.0,United States of America,166933.0,2.0,Mmujiyuzhthttjdzhcpzscceynojugvlsqjwrafqhwxhgnbplvimjlwbrfylml,UT,Bvd11127,O,knpydlub,g,zilbwmbqgbldrngqiafmtodgjylznxqwhhwchzglqfjp,56.0,1-654-610-9840,D,TRUIQUPR,705.0,4.0,m,9.0,Alexandria,Bvdmzdhuirutfkgntuzueapkhvth
Universal Forest Products,154199.0,United States of America,265644.0,,ixaibaciqjoccdiyymboxkqvgamoeviffrtcgmwbtlfaaiwampqvpzgpbynxvtrnrlehwcudjjjfck,AK,Awc11128,O,Hcplwecd,y,msnlaqrrqinttwglwf,66.0,1-783-573-2799,M,Zghuiwbk,784.0,5.0,f,2.0,Hollywood,Awchgyjaxd
Neiman Marcus,3132143.0,United States of America,131437.0,4.0,wmtgcvegfutasqkszeoaulbjlkrjkrjkomkvidhwhbzeastgvlhvnsuahqtphcwzaq,MA,Avv11129,O,rmicydov,,Vswpykpkyaawahpvogvblewjmrsusfxqpjsmelmxcrdtkmnvdrjtkedfz,95.0,1-908-304-1407,S,XXTEBXBC,519.0,4.0,F,1.0,Glendale,Avvtutuolqlkhciagbjwgbued
E*Trade Financial,2291849.0,United States of America,29592.0,1.0,Hfvecvkpeadopukqhnekskevccunucoafapogbmiidwrtvlhhudfxfpkbzvsmpxwbjpyzjfbomnuq,KS,DGX11130,O,Jouzskxoumkb,L,bvbgwrgcdjxjtlxiygahowqaonzbhtemgtvrlpuatkjnvpelfjxdrnrdqcfbopmk,49.0,1-755-225-6753,U,yivmwltxsup,338.0,5.0,f,,Fort Wayne,DGXAMZLRGQIXLSVATYNISY
,2497077.0,United States of America,402152.0,2.0,PDKSRFCFCETITFJXWYUPVUSYWHHWJCRJZSYMM,MO,fdq11131,O,glldqotezp,,wtflqzmolwyrudragsyteeaedpnyasoos,31.0,1-697-091-3210,M,eymodxkfopbklwmo,401.0,2.0,M,8.0,Montreal,fdqwhxqhsddbeiqdrxbjbma
United Services Automobile,583079.0,United States of America,271037.0,0.0,,Quebec,Jzb11132,O,Twzjxdmvkiqo,P,Mzsbcwtvwowhizemlihqimdzuvhqxfptyxlokemznldvejbfprubbhbywjupkqgvoarlkpqxgjocr,30.0,1-991-841-5198,U,memcvwzunhzkjtgryyyhrodaaosufj,840.0,0.0,,2.0,Missoula,Jzbesebvydmsdgafuh
M&T Bank Corp.,1720237.0,United States of America,285131.0,5.0,exkbfaharrdttetedetheeobpxajmcaznjojdyryffbfnwsxmgcpeyj,VT,Xuw11133,R,fvnkqmyle,,EIKDLNCWYBLOCEQWSODGRXWGRWOTEEXWUWDZNEWN,16.0,1-070-487-9396,M,Yyupntumrwzvtqxkbjvmopjicgchw,566.0,1.0,,6.0,Gary,Xuwxvtrmyibxproixqukpo
Universal,793265.0,United States of America,102943.0,3.0,bxeduweuwphtwcwhlgwndpfboxibjjfwdjorbyryzccoepjzh,ID,nnj11134,R,Lvuixb,,vmhgelzvpmstj,14.0,1-238-035-2522,U,Apaqkg,508.0,1.0,,1.0,Oshawa,nnjfpxvzuajxeeolh
USG,,United States of America,233412.0,2.0,vkpuyvwxewgbgcwdplfushzjjbacipdcitajzqnda,IL,ssn11135,O,Bnwopmzfs,I,XNMYFNZWWREWGGMOYKDYXWVLFVGXMXPHKQSGYFRQCOAYOIZVLSSRGRYAEQHBEIS,79.0,1-824-267-4839,U,BSQKERZLETI,825.0,2.0,,0.0,North Las Vegas,ssnvfewoyilmvg
Zions Bancorp.,1633385.0,United States of America,454152.0,3.0,Sayyzsiwhxyjwzescaxunxnrlmqanuwwwbgyccrfbsmyslwuhwdgnwpmjzhxvjn,UT,Xgj11136,U,Mtfcf,T,Nshtvwnywkdbgtamjkkyefobtovqcauzhedipdxlsbajlwkaisjkgakhmrvni,20.0,1-060-152-9205,M,Ttrlljobmrkytizqcxrorjhojrlj,404.0,0.0,m,2.0,Fayetteville,Xgjmcs
PHH,3995280.0,Canada,414089.0,4.0,WPVGKTQZVWSMBWHOZFTGYELNIFQGHYMTZNOPGVHFGQIKZCJOGXXCOTIPYZLKVMSTDERGQH,ID,KBP11137,O,agdkewyusoe,v,impeokpwnelguedwkxvloq,85.0,1-018-762-8415,U,qnewwwgrnemmb,554.0,1.0,M,,London,KBPGTSB
Berkshire Hathaway,625139.0,United States of America,471238.0,0.0,SNBYDYPDGUECULXBAL,ND,YMB11138,O,OZHKONEGE,,Xzvkmmvudewrjfwixvuicypcxnsumlwlggisvihgczmojydgjknlyrmqissvcw,17.0,1-871-929-7228,D,ilwowazvzovams,807.0,3.0,,2.0,Milwaukee,YMBFYQKDVTRQB
Mattel,2833410.0,United States of America,94103.0,5.0,eahbnhvefxnethyxjjstnsbcfrkuzjeayiukhzlthhjlqylambqas,WV,Hph11139,R,kzxygsxvgvb,H,Pawylynknvsqgbzcefxixbdsbmwpbkbwycvzdvlrzmh,16.0,1-276-126-1453,M,Powikigpmzi,357.0,0.0,,8.0,Oxnard,Hphhbjnkcxwpcaba
Flowserve,1656365.0,Canada,424349.0,2.0,zntmmgbqjndpfwcausseebjzcukwtpcdmvddmgulzn,Prince Edward Island,Uah11140,O,Lxustjho,y,QGGPYAPOPDAPSMHBNIARUAZYIOLHXBYOHVEKKWIZVTR,94.0,1-714-737-4687,M,FBDXRBUFDSPTJWZXFDUXV,577.0,0.0,,7.0,Victoria,Uahdgmetexdalsctnxtefwzmiuqi
ArvinMeritor,2377665.0,United States of America,433663.0,,Qvqkrfvmkxpnkljqmfdcjxskvoovvvpduwpzlxoonkj,GA,QVG11141,O,RPASTKKAI,Q,Tozmewreywuonpmu,85.0,1-917-113-8529,M,Xdkwjrcdyfoc,,,,10.0,Warren,QVGQFXXQNLNYZYELLBNBELRE
BlackRock,1238464.0,Canada,233605.0,5.0,tlugnthmeqfqolgbxgkhcdxdwayqdawwhpeghfnrgemevoittfnssp,AZ,MTX11142,,Rlgdvrxa,,Ikbflhkzv,48.0,1-501-406-1681,U,HDPDDCLDYR,639.0,0.0,f,0.0,Cheyenne,MTXGRQNFQIUCP
Emerson Electric,1627161.0,United States of America,227596.0,5.0,yvyohumnpraajrw,AL,Twp11143,R,vdrwcjbvvyhz,,Qfapfftdilqmfxkivfhmuflfulcyodbwxtsljootppgnfuxwzkowfrsuk,26.0,1-605-487-8920,U,Gcnxgxcalifccznzdy,620.0,2.0,F,9.0,Sunnyvale,Twpqlrayqspaevctznbmqzjkpe
Aramark,52805.0,,8426.0,4.0,Civygzajrdlrh,CT,Rfj11144,R,VLAEBKBA,,Lljdlldqonxagkayomdxkocqwohonrhkdqobirxpectvrqqeczpwgfqdprb,68.0,1-469-765-2896,S,Iljbxhbziqlyxjufhtctkrugfqhhh,690.0,3.0,F,4.0,Eugene,Rfjhsihwolxzuvinqnpf
Ashland,2942915.0,United States of America,493298.0,0.0,YZQCSHASVPTTLLANODFZUDBFHHPWGJNCUV,Alberta,Sdl11145,O,Visftl,,AYXIMTXCHMYLYLXXAUWXWXGLZYKXFKDJCBSSJJMBVKJKTPRRCGQFDNWMWNMIMWZTWVVYLHE,66.0,1-032-636-1468,M,FQATEFAFUNBWXKOZRXKP,375.0,,,0.0,Salem,Sdlcnxufpralccfvt
3M,99902.0,United States of America,224667.0,0.0,Drfjctlnwxswlatzpeawkfgeikaatmmlhvkfjqxgelmrgfscbavbrkiygv,Ontario,Teo11146,O,Hbtnvbzyuep,,ltvlrvwomwwplnoknavudkfkeksowzimeuphvxgfmyxdmbpjtpjccgyasqmgfkui,5.0,1-953-691-9317,U,Avkhumpcbfbkhjeddcixqmhq,365.0,4.0,,9.0,Denver,Teoaowodkinqbpqnfhsyxtce
,347527.0,United States of America,389774.0,5.0,xjvjbkppikwualixdlsyjidaubvadsipegcm,OR,Nit11147,O,crhepouslmt,,USXSEQCKRYTNILQAOULAEQURPMNHUNKBAPECEUCFRLVSBZJXULAXLWFRHRHFDWSJMBZKIDBIAVWEM,,1-776-725-3446,D,GCEUPTLOHVITYAWDLSZKJDYQTGN,321.0,3.0,,10.0,St. Petersburg,Nitdkbpuplemxtkqauzey
Shaw Group,2938993.0,Canada,90681.0,0.0,HWGZYEHJDCGSIYRZMXYWXGFLVKXALQRROLRSVJFCWCUYNDAYEECADNBY,AZ,Ffm11148,O,Myvxtjg,,KKCUSTLGFLGJKYKIUVARENRAXEPF,78.0,1-292-318-0400,D,RYAPPBRM,737.0,,,5.0,Cheyenne,Ffmgepdsxvm
Northrop Grumman,3508797.0,Canada,391271.0,2.0,YVTSUSZOFGVSAAUV,WA,XGA11149,O,mjezhevlc,,Zhshiivlxfsswzzeqtpjipaknzcwcsodb,88.0,1-723-289-3585,,ubzaskifxaathvuv,424.0,2.0,,1.0,Miami,XGAFREVJCNQODUAFTYSEXRU
Principal Financial,1753916.0,United States of America,326600.0,3.0,HQORTUGTOWWONTGATLBROVLEULOHJWATNYCZXNHSKLTUYNNVDDTOGZAMIQZCHDVCBTZQ,ND,Rlp11150,O,Rjfdmtdegu,,Zyuvbisksccnozbjhkbk,21.0,1-656-754-8115,W,Olmscajwrpnfugz,558.0,0.0,,2.0,San Antonio,Rlpfqnznma
Atmos Energy,1126659.0,United States of America,300707.0,0.0,Hysmlvhymupjnmxjbujqpwbvirdaoksnwhndeodjhjchmgkjtcjgegtjfsbqkielwdyxsmpbtftoau,Ontario,Srh11151,O,Kmuxwxcn,D,TABFGTICEXNMVXVOAKCLIYTCSENWAPQHPYKNBXKMMOFQWLBPGAKNESLZQGAIADDRSPVBXGXZGW,94.0,1-258-946-1316,M,GPVWNUKAHTOIKUBFNJN,784.0,3.0,,7.0,Waco,Srhnhgjpvcbv
SkyWest,2743465.0,United States of America,4644.0,2.0,UXTACOQCHIVPLCDQCFPCLXZTDJUCCSXKNQXHZXPBZUMVMROGWMOV,NV,Gwi11152,O,idaegspqxph,,Aiigymbqgqix,27.0,1-517-276-5758,M,Zdnjzosidvnaorrvjvezsww,685.0,4.0,,1.0,Arlington,Gwinfwjellujzltwxapemhsu
Cracker Barrel Old Country,3074514.0,United States of America,172476.0,4.0,Mqxjqvdqdeemeusxbooquqzbymsfzikit,OR,vij11153,U,Rlvxnkojz,,Mcvcpdkifoxvsbkmiamrdkpkbcs,50.0,1-549-697-9256,M,ndkgss,761.0,3.0,,6.0,Cheyenne,vijkfuxyinng
Brightpoint,3134876.0,United States of America,452117.0,0.0,Qozkpggevqihsrt,SC,Zmd11154,O,owbzfwa,J,,53.0,1-052-043-7511,W,Uwtffcptbiockkrdpxnqnx,506.0,4.0,F,0.0,Portland,Zmdxiukfhfgkalxcomcboufrumirm
Health Net,2214185.0,,326880.0,0.0,Xyponfnim,NE,Rqo11155,O,fwwxvcgbup,,Drchvtgigxleqvrshcsbtsrszxjuyfybrjgmbwhgex,23.0,1-131-650-8974,M,Skympmabeqlxpltlxrhvqfbggw,471.0,2.0,,9.0,Saint John,Rqomvugellhwexznhfid
W.R. Berkley,3278947.0,United States of America,419937.0,3.0,Dfxzdbfscsjzqczzigjikg,OH,VEW11156,R,indubf,,Lwtvcqprxjvrecwqiihahtop,27.0,1-921-938-3921,U,Aowipvuskdtxkndv,816.0,5.0,F,2.0,Burlington,VEWSMZFCF
Occidental Petroleum,1462393.0,United States of America,230134.0,4.0,NMRVUWIJHLQAGTNDQIUTGKYBIVCBAMUNHYZZMOOGAINHWSUOCKCQZMJMRUOFLGODJUUVDP,SD,Sif11157,U,,,MOGSABPW,5.0,1-632-075-2060,M,JRTXFZ,341.0,3.0,m,4.0,Pittsburgh,Sifdzxyrsoqksuljxbky
Wyndham Worldwide,2370101.0,Canada,493355.0,0.0,UCNCFJZQEAZA,Saskatchewan,Znw11158,O,Rupdl,,Rirkztajkcvkaffehkwgadnimxcwmuhvvllgvxcxayfzxfgnnxargkcqdinmxz,97.0,1-388-656-6832,U,TNJVSMBCDRJKJFP,422.0,5.0,,9.0,Worcester,Znwcyzsskoidpwltdrnrsckx
Aon,591620.0,Canada,425574.0,2.0,Pnankekkqsrczshebvxsowjvkntgi,IL,msw11159,R,Tkcwnhxaul,T,VGKLSCPANYCRMOUHCMIQNLKJELFKRTESVTCBUSRAZCXPOFDNNSK,6.0,1-344-834-6553,M,Rzokiaekslypogjylwrajnnuoo,762.0,4.0,,5.0,Durham,mswhhdielberciprrfaqqcefu
JetBlue Airways,3537831.0,United States of America,60453.0,0.0,QTYEPETFBNEGEPJNBKRAEKWJYVAVIYJKCE,UT,bft11160,U,Thpgfqwkjd,,odxsaffsuhbmhoxxjcdpxbmwnbemwh,97.0,1-720-836-7519,M,PALLWINHLAUJIES,316.0,5.0,M,5.0,Santa Rosa,bftgcglwcaex
Belden,2153327.0,United States of America,9498.0,0.0,Gettnhirdeklzcxwegvibyncrvxjghovveeitozgagkeseitquualjeghdh,Ontario,Lsj11161,O,Wsuhhjogx,G,fldprcqzgzmgujffkajtkerqfptvqhubfqnqwogncutttdzehruzwlgdnijilcsdjeg,23.0,1-752-288-0394,S,Atoncsjv,,2.0,,2.0,Winnipeg,Lsjvxbgpecbguabvmicuood
Warnaco Group,3293783.0,United States of America,316948.0,0.0,bfzsvhaabstiqxngvhpugkbzolfojiezeldvaurovxhewywrxexhjhq,IL,Wxn11162,R,Babkxvui,h,QMVUTKTPFGKMDWHBDVPGBYYLERBCSHM,59.0,1-188-114-6634,U,Fesuvnua,451.0,5.0,F,4.0,Jacksonville,Wxnuqoedp
Cabela's,1360085.0,United States of America,104473.0,4.0,Qtnszjsbbsuascnxkfzjdyitobgy,IA,szz11163,O,edzfxxuvf,G,GETWWAWFEIJLVWXHBMAEBQLQIOFVFCHYS,13.0,1-701-450-5175,W,Iqprorvphujwdmt,745.0,0.0,m,1.0,Warwick,szzwlfkzmzbagjnbnduoyfrxbjlcsr
United Parcel Service,2941247.0,United States of America,16214.0,4.0,Zsiquqbwslxbrkvurkhaqelryfjmnmnrxlxdczibgqztdixhbdwvrtfvatsnjtjmkouibmytwflt,UT,mun11164,O,akjarfnjchv,,BLFEORQEJQVEODHCUPINRQKVFPPPQM,25.0,1-065-360-5910,S,GTWJXOEMJ,731.0,2.0,M,6.0,Pueblo,munndvsan
Graybar Electric,,United States of America,337480.0,5.0,SKKSJYWZTSGBSMSWAXQZANQRZFLZKVGETXMMZDXU,ID,ZMT11165,O,Vrwcfsdlojbs,U,PUHLMWFXM,16.0,1-185-997-5812,M,Hikffxmayixnswoouoypdfeot,,3.0,,8.0,Lansing,ZMTNLKJJ
Worthington Industries,2994734.0,United States of America,346642.0,3.0,Dbutbxgyuuqxbmyhxxrmwqdavpmt,LA,Epj11166,O,nwcpiz,,,56.0,1-497-406-2487,M,EKUJASFTYIEUCLDRZ,,0.0,f,9.0,Nashville,Epjsszvjttnxtoggbblhkzkwwamw
C.H. Robinson Worldwide,2149112.0,United States of America,3145.0,3.0,Qntqcdlsfppqqstebawxukrxrdrmb,WI,len11167,O,HWGPGWJ,,QGFNONDABOVKCBAFUGSPCOJAYLRQVZJUNTASEXUXCASAGHTUVF,53.0,1-164-698-3450,D,Gotuzxubljawdhsrhvpjeg,687.0,3.0,M,6.0,Sacramento,lenzodqc
Fidelity National Financial,1092354.0,United States of America,237898.0,1.0,hgizfiaoedkohbcotwrllqtistvoisvgbrlmpqnlm,RI,BBS11168,O,Kkhdogoj,G,EVIFCLKQQSDBURHZMJCFLYMJVPUYGJKJIHGHIDAPJAZWEQZEGBBAJZQWFSBRLDFZG,71.0,1-894-933-3013,W,Pleeqemchwlfmhksjrtbpmcl,559.0,5.0,,9.0,Berkeley,BBSCHGXWLZB
Bucyrus International,2972793.0,United States of America,174682.0,0.0,tmxfjdqlokgaglnttvgiyoclwqmtcbpmmvmlonlksirrczppmjozelmde,ND,QGX11169,R,swjjs,B,Ztefxloupbhfnbtyrmgfjjtjfpvvkfogenhwijlvplzkpxcjw,30.0,1-943-216-4595,U,yswewgtdlmwooilougzc,427.0,1.0,,1.0,Lubbock,QGXOVQSZTRLDBIQBLSJWZEBTINDST
Mueller Water Products,254517.0,United States of America,256354.0,1.0,OYLKESRDIYSRUFAAFSIJUJPCBXDBLLYNAJHERRUWBWLTXPBSYMSGNCHEMKWIOIFOS,TN,ysy11170,O,Obtuki,V,Jddbkxuwogaervlqiudckdrihqjldskpkpwe,89.0,1-329-309-2920,,wytatppfqnhqoyyiymvkrdw,718.0,1.0,m,9.0,Pittsburgh,ysyxjvxdojhtaojvkxwyr
,3232905.0,United States of America,352546.0,3.0,KJMHELSYALNSQJSQPBQFSMPWKUZGKHTDOBKRMKLKPXZGGEJLTDWRMBNVSEIOEWY,HI,PAH11171,O,Xshwlugsnej,,qohonclgrtvknuqcbuithficcyjpvxrdtzsbzuwhdvmhbfuzscdk,89.0,1-567-224-1134,M,EWUOBHWLUSTUG,415.0,5.0,,2.0,Aurora,PAHOAJTQQBZOLAPOLRGFIJS
Magellan Health Services,1600993.0,United States of America,115604.0,3.0,Svkmvdwmdepicegeacrylbjhkwnnemqnorzultbqrrmakzawujbuddwjlxupaoqtkvvvdnmrpmudr,AL,uom11172,O,Lpllwni,V,Itgtfjwmwnwsexnevraagbrsfbyzocbvkrptimbpvbnxheioxeactzkzoyles,32.0,1-393-232-1288,M,Tpqhanmpiau,,4.0,F,1.0,Fargo,uomhohtwjsvsqvtukrblycjwcccx
Delphi,2990822.0,United States of America,122517.0,3.0,Fnowwrnxkmqqvclyvvxghvmmnxocpxcobgvc,Manitoba,sjc11173,O,Jbueoha,S,FPSZJPHTJLVFBUCNVXCAQSROSMKPBNXNUUQXAJMQHENXWLHIXWDFSJGVSJRPKRNZIHISZXKSVDIJ,,1-234-880-6992,,Dirotroocybjeyxqktoftlc,513.0,1.0,m,0.0,Tacoma,sjcbgmbopxsaizqcwqojcsjjiwjp
Nordstrom,182737.0,,,1.0,rxvsrywlwscplhaqbwnutwwjgpjfwytxbssxabqlsuuorpchtkgyl,NV,rln11174,O,HLDCAYXBPUW,,Newuixxpvktgkyaszvlwpjlnftnwagawchaihbeczifokmzlmrtjjgstbrnrmrhcwyotekfnwwbqmw,61.0,1-274-443-1820,M,TMKDIRCMWNVZLWAMXUVFWGUXQODX,355.0,4.0,M,2.0,Sioux Falls,rlnrfpnxtjdrkxnwnqcoctx
Juniper Networks,1336995.0,Canada,81016.0,0.0,FAXICLTVTRABXVRGJGJDQXWDOJZVFGTDPOOIFTEEONRTDEVBRJPLXVAZUCDMDBDIWUIOWFAOOPWUSN,NC,jfa11175,U,AUFYE,,jqcqi,94.0,1-062-362-7185,M,Nfeynxtmwilsbfjxuhohpgghnwglc,641.0,3.0,,1.0,Livonia,jfaubts
Genzyme,2273609.0,United States of America,161122.0,1.0,lzibncalsxjpufinlvlbxdnjtcegmxzzcbelbrj,CO,DBU11176,R,,n,Boeyyeqdjvednnlasrzujquhcrtqggjcgfmexgdzlcotpfjpkvulehhwv,16.0,1-112-704-6386,W,Ygxuhrpuwurpjvzqnm,407.0,2.0,,1.0,Hollywood,DBUHIBJB
NiSource,362348.0,United States of America,435693.0,4.0,grlltuylxfdibzwvspjusnmnlaqrt,New Brunswick,rut11177,O,Rhafxpalo,,IPXKXUIIJPP,42.0,1-651-034-7223,S,Pvaxpmyvlffcgawomcjgqllkxf,506.0,1.0,M,5.0,Eugene,ruttgegnqsfxdrlng
DTE Energy,1681106.0,United States of America,398338.0,0.0,Eqrwdceanzmryanlegomqobtgcaauwzyduqrtmimzaojwfp,SD,Lmp11178,O,Shmxek,f,Sdtesnnuloiyxeplsodmcrnlawbvsdkvnktlbujrgtwharhd,92.0,1-704-918-9418,W,MEGLLVCASBCQA,729.0,2.0,,8.0,Aurora,Lmpqryoh
Hayes Lemmerz,3920130.0,Canada,488768.0,4.0,Vvlkobjahhruvcqxvtbnjnvusdjeistllcrojdwximakzviuwg,LA,bsk11179,,Hnvifgfx,,Wlrkcnasvvrhpndvxoachtmxtaorrklmyjnxdqlgkocaqdyplzteagppatmulhnedegxxok,7.0,1-337-824-2522,M,Hpptgfuccgdkwkgumlqcccs,600.0,0.0,,6.0,Fort Smith,bskvpezhpqu
Warnaco Group,529892.0,United States of America,,3.0,,Newfoundland,cbg11180,O,cxfpgv,G,jedgrkhqwmuagxvwiafwhetbxrkwmwvbvpek,70.0,1-752-818-7537,U,Ewienyfbdjvivdezwfshuxprizjltg,632.0,4.0,F,3.0,Irvine,cbgeqgwtewidbfygawizibdfdauc
Qwest Communications,1316910.0,United States of America,9811.0,,Cfoolieixcudwumnandpxamkjkfknowvn,NE,obo11181,R,Zjhaquijmp,s,EQKVQXBONXVSKNLRXUOSTYVCLUFQRCJNMXAFCBGML,88.0,1-889-003-1757,M,Sqowirshrqetcsntv,569.0,5.0,F,5.0,Warren,obohyevrzqvnxdmywgludoiaaubnp
YRC Worldwide,3993266.0,United States of America,150917.0,0.0,Gmociatonrfcqzkek,MD,Iuo11182,R,ETJXFPYEZBC,Z,ojmpxdifwusnurndgrnqaidhhvysufdfciishoxezlph,31.0,1-706-238-1831,U,rwzbcdqbgudtnjvgzp,714.0,5.0,F,10.0,New Haven,Iuowqfv
Kellogg,3366626.0,United States of America,215046.0,5.0,brkxdnrwnacknnuspestrwffaxualffyxoeugnpmycmwfedqkmyjntdjnljfgvlcpygtbregiseryc,NH,ALF11183,R,iprcibuvcln,p,Hkjapycxiwprgbdskajsbfbroyqsucnvbfktpmqvm,90.0,1-046-423-6348,D,Gcjhkcacfccrpve,755.0,2.0,,,Lowell,ALFNDK
Henry Schein,1171645.0,United States of America,261654.0,3.0,SMPLQILURVDNECONNNBDCSNZBAURPJPGIKHUOWCUDPXLJJSXVUZQ,OR,rit11184,O,jctintjx,W,Bfpzptasjrigkfd,17.0,1-491-242-3165,S,ngfbynzktdjqvyatcomrwznvrrj,393.0,5.0,m,2.0,Newport News,ritqiqiu
Jo Ann Stores,2323435.0,,77193.0,3.0,xxssvtjhrmdfqqkemjskqokxyetomjkrnbpjopfhrlafknyqlxkwilmequbv,CA,Pyo11185,R,VKXHG,o,Tjoacsmxfjywdjskdhfdfghtoimdgvtbcbjuzbvkj,9.0,1-541-477-9380,D,kgdcdxnjhxpnifozuxxnojdufi,509.0,2.0,M,3.0,El Paso,Pyouewixxsqmfgmcoafjpnpihrwyt
McKesson,1865281.0,United States of America,43073.0,0.0,Jdhxmjwuacslxejveeatixdggimnbsfmjoiknkisexkgictqftcelxpyzjtwhgtsdvkcklmkskvpfi,NC,Lpw11186,O,Xblegmm,,ZLGTQWQKOQPKTTUAMFXYNHKDYWONERZNXI,44.0,1-172-369-1071,S,vednpxxqigyggalikckbsblttbaf,394.0,3.0,F,4.0,Nashua,Lpwfeagehs
Duke Energy,2256107.0,United States of America,299466.0,5.0,uieobjgnblwwhpfrojyewlck,Manitoba,kaf11187,R,ndthbk,,Nolmpyyezjmwvqfbotdpbcrxzyfsmzkewfovqxkjwgebmnsdwkdgkgphmivrwixotrxvw,,1-345-079-2973,M,Zjfffntpwzpajjpf,469.0,,,5.0,Minneapolis,kafckxugxnbmxjv
Iasis Healthcare,239712.0,United States of America,326132.0,5.0,rmvsomcctjewneiiezgxpajpdynpxzhfhtikwqxfwjxiipiohuvrcwevdnphcrcsdxaoqoh,WA,hfa11188,O,krnlvhoomtr,r,,1.0,1-313-392-8834,S,JWSJTXXE,543.0,0.0,m,2.0,Toronto,hfaqcqrnkkugoeomiksrisimli
