ct,cntr,nmbrcrs,gndr,mddlntl,phn,frstnm,stt,mplr,ddrssln2,nmbrchldrn,g,lstnm,ntwrth,ddrssln1,mrtlstts,pstlcd,gncd,nmbrcrdtcrds,crdtrtng,wnrrntflg,ncm
Rancho Cucamonga,,2.0,m,,1-367-707-2825,Tzntgagyktzqmnsxmfpftsd,OR,PPL,XRJTAWZWMKIEZKRCAXYKQLXFFQSJFDRDPFTUNFBXIXIITRZAQKGUNYAADIVNGCGCRKDOCEY,5.0,54.0,UASKGTURLANZBD,3756827.0,wgxpyercikthryebmvcltwzdvctpglyejh,W,QMWZHBFJ,UAS10199,3.0,396.0,O,99302.0
St. Catharines,United States of America,2.0,,l,1-199-191-3144,XCKBSPUHWMFHWFPRHLROXREMEAO,AR,E.W. Scripps,Obfcusdijtxorgdvrogttfixaixcrxllfnqxxqjvjkarcayw,5.0,12.0,ilxsrmxgms,1364726.0,Hogbtzrlxmqgtwsjpqissfibpzprptjjxonkgafgoyfkifv,D,EWXME,ilx10200,10.0,357.0,O,251984.0
Santa Clara,United States of America,3.0,m,,1-551-963-0150,Ylukbssgpgrjxhgmcm,British Columbia,Peter Kiewit Sons',kjakvagvsfqhfmfjpjazeesvrnlcekjktexwkvvvg,3.0,83.0,IRHAIKVWATOZILFZCNHPFRDOYYQEXV,3227799.0,Piixdmkqcyhrlmwkxkatpeditylfrnpxrgy,M,Jarkldaoio,IRH10201,3.0,698.0,O,395211.0
Baton Rouge,United States of America,4.0,,,1-849-529-8512,Knittgvcx,Saskatchewan,Bon-Ton Stores,OMONHADSBI,4.0,43.0,Jtxkkyuecgxkxhiudrsjygyacbpbku,1287470.0,Jitadyvlqcm,W,Bovhno,Jtx10202,8.0,455.0,R,198933.0
Mesa,United States of America,5.0,M,,1-560-642-1051,ZTHGGNODVFRKHAHAQSUM,WI,Steel Dynamics,WOBDAXMJBWFCJICZGNFHSLIVJZXISMCMQCOT,2.0,32.0,njhyphqobnukn,1303967.0,Nlefjwcwpzcqfiheojtncuaqwltv,M,aibbhmahfa,njh10203,5.0,551.0,R,284462.0
Abilene,United States of America,4.0,,B,1-780-692-4864,Dlfnalgporsgv,SD,Stryker,Lzlbgtqukeootjsemajjaxpfwjj,3.0,90.0,Uaslzgrfhzjpqhlxstftjeiir,2754663.0,Gskfiuyrqipfigartdrclvfcquwepmtjnxkmnbgqaivb,M,QAUNVNZESCU,Uas10204,2.0,374.0,,339749.0
Oklahoma City,United States of America,5.0,f,,1-693-536-1979,rudegqxlcfljtkdmottw,FL,Ameriprise Financial,,4.0,29.0,uooin,3479037.0,Rtpzrtqboaejfaeb,M,rbialws,uoo10205,8.0,786.0,O,128994.0
Miami,United States of America,4.0,,k,1-333-017-2553,Hdbmupdtuqmtdtvdxjzdpngffc,KY,Liberty Global,Ctjnzlckjufyqtdnqvxrevxpvwmbijxmjimqsbrfleiggltqyv,2.0,44.0,Wjubbqqnozhysmknscmzhwml,,agzywjvefcnrohghrfxtwdcowyfchjnulpjmmksbpqs,W,NRLXXZOW,Wju10206,5.0,704.0,U,279419.0
Kitchener,United States of America,3.0,,t,1-137-841-9232,Mdvtplfhyvprikwq,MS,Tenneco,URKOTSVABHDNIEW,2.0,,MJWLSIFBQMRRLRKNNZOGC,2217586.0,OXJGMIDJVRQCDKIVWEDTVYKDGTVUIKPQVDQXXEAKGGSLGEQXODIPCKUNLBDRPAFYZKVXX,M,Bsvuon,MJW10207,8.0,371.0,R,256401.0
Birmingham,United States of America,0.0,M,,1-072-117-6982,Rbwcj,NH,Oshkosh,Rssssuixlvfejlzvyncsljlnnxonxliyjmelvljztjbxryuttmjoogjckogjikd,4.0,59.0,honkvxvqmpkmvktwqorrnffmci,2517242.0,Gqdtlfffjsxslmkwztmhjidpuqquuwkobsaouefdzfcxu,M,Hoeczwnz,hon10208,4.0,500.0,O,458467.0
Lewiston,United States of America,3.0,m,,1-091-369-4943,pdqomfnluhjvucmlqvxeyim,MO,E*Trade Financial,Lmjjblleeqjogjduddpcbs,5.0,19.0,BVGBWEDSS,2023809.0,txjvwpqagclohnzhfwdalutqizxaxv,M,CCNUQV,BVG10209,0.0,498.0,O,342835.0
Windsor,United States of America,5.0,f,,1-789-178-4962,Tswktlcbuo,HI,Phoenix,olqdvfkkbnqrvipknqqdyaodvmokkgzbmeeklmjevsnhewsv,0.0,87.0,MPBHZKFQJIEQAJB,2828530.0,atbbfmmvjpeeokmmtzfoqivbhmfqp,U,jbkja,MPB10210,4.0,394.0,U,254407.0
Spokane,United States of America,4.0,,,1-350-031-4106,FCOSEMGVJQBNSUTOGDUOHBTHFEID,TN,EMC,Waikyouakucwcjkdulcpdmgtzah,0.0,35.0,Xupxauw,697489.0,Tcojeoqmjmsfwcpfyin,S,rkostnyl,Xup10211,1.0,493.0,O,365046.0
Buffalo,United States of America,2.0,M,,1-485-114-6547,RSARDAJBWIBQQMKSTGMKMPAYTUTEYO,LA,EOG Resources,Hzqmsmksyhjlskciqbbh,5.0,97.0,PIKNSJQOKITWGOKZFPQQYOKDP,1943704.0,Upvidevbfwsmcbikqjairmywllqnbevmgkhmtxgedqijjeuplwnpkoygpgrpigl,U,jntvymjwmppx,PIK10212,5.0,325.0,O,363919.0
Stamford,,5.0,M,,1-325-442-8359,nosjbmkkodlng,VA,,Qlhjqkzbxggtfhwptttoqbvoefgduptfwiicngxyimuezqyuzl,4.0,34.0,pnxgb,3577030.0,Nzcmdedbvzhgcxvfkkbox,M,hsbptumtr,pnx10213,0.0,556.0,,292912.0
Des Moines,United States of America,3.0,F,,1-539-478-2074,swmauemtoyqeejaetiarbnb,British Columbia,AK Steel Holding,Nagxhsplbtnwaiblbjlyosgzsavmngnkpgdksolnnohrdjorwtkvrzrbbqepmbcaallqrs,5.0,97.0,zcprrshlidzryqoydvgkwddqucserc,2244329.0,njsjsalwxyyjkmmyoogeypvglnqiqjjhlm,U,GHIXNC,zcp10214,7.0,617.0,O,11403.0
Tampa,United States of America,0.0,,,1-247-770-8070,Qjltwjrnvuu,ID,Tupperware Brands,JQIMDGVSHNIPPGYNYHBSJBNUAH,3.0,64.0,fothbcrxgnmvmrt,262316.0,Qmvnrncmqkcmxowuhlerpjtukqnipenikh,S,Rsqaetosw,fot10215,7.0,507.0,O,228427.0
Salt Lake City,United States of America,0.0,,,1-989-550-9428,Hchahtwt,KS,Microsoft,Tlbtztwqifwlttfurfrptsyngeldjdegwmuouynixnazgqraojssnxhhfatnyvorwjlqvag,1.0,55.0,twkfhohotdwpakuzscfakrvpgxofbc,694599.0,SJXUSDVTVMZTVKKRIQRMUUGNPJIQYTWHAWODWODPTPDLTOPLCRUEYPEXGZGAVBABYNSQHNISIVOJKBY,M,Ouxrsaoee,twk10216,,521.0,O,288645.0
Milwaukee,United States of America,4.0,,,1-658-176-9673,KTZELHJFSSYXCLYMXMNO,IL,United Refining,Sbqtepbadqmkhfuktriqieyuiiifgpcbeh,4.0,73.0,Fvildrknbe,696957.0,Iofiawn,U,Xonask,Fvi10217,5.0,465.0,O,119977.0
St. Louis,Canada,0.0,f,J,1-827-703-7037,Limdcco,RI,Mirant,eurlgopkevqddtciuurltdgugbiebyaazqrrlayiudxvzqpmsuhttimpivxnwis,4.0,66.0,Dpaadydwglywonbcnjzufrouiwl,2614436.0,njcucsubghxwyawmfuduolufhqhyahpwxlpdhovzkjaiqendhe,U,DAFEI,Dpa10218,6.0,617.0,O,250020.0
Fresno,United States of America,4.0,F,E,,Dobqljx,WY,Paccar,Vcwhgkxseevnfgdrnayqvbpz,3.0,32.0,aokjwnsxtmrm,2160612.0,FQIWHQWLKYTGQJXZOQFXBHLGKDAWUOSKJEDILVVBYUUBKJXDFSWBJDFCCGPAPYGWPPVGHPMN,M,Cawegwsjy,aok10219,3.0,332.0,,496663.0
McAllen,United States of America,5.0,f,,1-999-914-2970,Vycmfaamgiyxo,AZ,Brown-Forman,orvnkgtpqevko,0.0,51.0,Mxnjnlzxnqmxepjc,2774914.0,Rbmaoeiuiwnhnkjzzetjswsotcnzenm,M,Comnvimpsooo,Mxn10220,0.0,597.0,R,32827.0
Memphis,United States of America,1.0,F,,,Cingsmyewlxnx,PA,Mettler-Toledo International,Qfohntoopgofjznxbhvwzlbybcbgudjrsbfijzwkzenivcykeejlw,3.0,90.0,okovvhgnwjvotzlghkmqigsrvfxli,3744612.0,Ktqishcrjeffpw,U,Peqpknou,oko10221,6.0,600.0,O,
Columbia,United States of America,5.0,F,D,1-807-035-1274,Tkwzqknejlkouwxrqwkqubvervexjk,LA,,Mqxlwiffbznppscozfdzefzhrj,3.0,16.0,yznnajtz,3982376.0,UWFUHMNVLNIIPKCZHQPACLTLSHHHBUQMMBNNBAUBBALZV,M,SPTOGTGAJQ,yzn10222,,850.0,R,392216.0
Aurora,United States of America,4.0,m,N,1-922-803-6732,LYAWQBLAIPDAHMDQRPUGCKEWORFH,HI,,Lzrwolcuhzmyyhhpgkxkteksyihwekq,,91.0,VXBYERNYUPNLSINMHYWIVEK,1568808.0,Atxjbgmikxzwzpoyengsalwlrhwpedfvgtkhtkvnjleyvscfmmrvcrijgxesgpotwwltzmkcrzxp,S,Detxmbythl,VXB10223,2.0,697.0,O,329986.0
Corona,United States of America,2.0,M,,1-659-535-2851,Rzqtvdpjqqkmtenn,CT,Rite Aid,Augrxapqbtvvhdjovoxsaietkwoow,0.0,98.0,Ovczwgtesskgxxvyqfvvaxe,2815276.0,DQMZCCEUDZGVRFFJAOD,,Fqyrk,Ovc10224,1.0,543.0,R,189732.0
Rapid City,Canada,1.0,F,,1-947-929-6176,PXVRANVYWXTQVZFOOCTO,ND,Ryder System,TMUAAWEMITKVHXVHPDJIUYPDTYYPUP,1.0,64.0,RDOCFQOBGSRRYIQNXVULRTPA,3469348.0,,,Nedjtjv,RDO10225,5.0,528.0,O,376032.0
Stockton,United States of America,1.0,f,Q,1-202-524-9333,dgpfrboto,CA,Interpublic Group,zhfshiaqvuvjypqoytwutupzfcvzglbqmlmzbgwmtocoeozxedmpmnasdbqlzdodgextavrrdeut,0.0,35.0,iwojdzwylncjcgetm,1582854.0,RLMSDAEZKEMLLNDRSMQ,U,Qdjhsjhpqioz,iwo10226,1.0,520.0,,427290.0
Austin,United States of America,2.0,,,1-555-717-5969,Xwymdsvjymjnghyqvlmhwkyr,WY,BlackRock,Bbfmtyoverjirinmdxkhvizrcbawboathtakimjusiefhfeszpjznxybmsvihqnjk,1.0,86.0,glbctzzdnzcguhtfw,1988589.0,Ojclnnfu,M,hjvus,glb10227,8.0,809.0,R,185583.0
Kitchener,United States of America,1.0,M,,1-730-960-9835,MEUQCAWIHSVLRJO,IL,Con-way,LXOYVYWMWKQNAIPOFZVPANRRRMIONMMMJOPJOGJEWY,3.0,15.0,YCWVGCIR,67168.0,Jaxzrkrlmpysbkjexywphluaersvegbclowmowwycvtxgfdjpxaosyezkiwgelkvhhvoyetplhyeyhup,U,Fubbscaow,YCW10228,5.0,780.0,R,37890.0
Stamford,United States of America,5.0,M,,1-616-431-6343,JTXZJHWPUYVFINRBFP,TX,National Fuel Gas,GZHSOPJQTZOPSLHVFGMUAVFWIZGZVOHKYEWXVTQIXDEODYLJSMYMXWWEBFTNETSLMYXRZXVJ,4.0,33.0,mwryfcd,3711947.0,kyuazflhoigcvnaxxcjdaneqktqlfgbyqjlnweqaxuhdwetvnhoubcqcmupve,U,Piebtrjuzjhz,mwr10229,5.0,788.0,O,45881.0
Livonia,United States of America,4.0,m,,1-757-543-2666,QLYZZFBDECA,Prince Edward Island,Sigma-Aldrich,Znvdeymkafxjhxdiaednw,0.0,43.0,Hkhfguqtkylwptefsjxxrwwm,,Jsjpmbwxqoafmshhvxlavhnpqifkjagyxczlmffmqfzixybvfyvjloiulmbjgftxcuvbvqsfenteafqh,S,Sctnijzsuv,Hkh10230,2.0,679.0,O,108797.0
Cleveland,United States of America,2.0,,,1-747-042-7061,Ptelbomfcfn,AL,Allegheny Technologies,Ekdkzgvujwjdvbcbuxfqpojnwfvvlqpeaqsxxykustmblktegefxuwut,5.0,93.0,Yuwejsm,3355966.0,HYJTWYDKOUDLATJXRONPOBDRFTHXLBBOWGEFFZFUZJBYSAPOLBZNKZNJZPFIDD,S,Ahxfuabvdzk,Yuw10231,10.0,347.0,U,460379.0
Baton Rouge,Canada,3.0,F,m,1-353-153-6199,Ajyjzjw,British Columbia,Benchmark Electronics,belltanvmymipkabdgmeujumexcagtahdagtfosvyw,0.0,94.0,vehzbhftqlx,2942345.0,,M,Uwbjwjqkdv,veh10232,0.0,485.0,,475461.0
Cincinnati,,2.0,f,,1-305-836-5798,Efkxojlhrhulpclrijwarke,OK,Symantec,Gewehpgpathkamvlqvktnjzpxdrgbincgowfbuxfwmwwoxeysyvkjckezaexhcmhzfmaejtdqr,3.0,65.0,DYCPRKAWYIGUZZLXEQAZIFBFHTPWPY,3331379.0,TEWPKLVXCWRCOSZIXTFOATRWCBLERPUDMNWUGLTMIJMZMCLMVUKBJNMKRZABI,,jhrhhzdicj,DYC10233,2.0,678.0,U,96759.0
Indianapolis,Canada,5.0,,,1-888-274-4897,Mabiqruppmzfxkyxqtphgrb,NV,AmeriCredit,IVIECANOTXIUZTNVVZWJANTKEYCHZKPFNBTOXQPIEMUBKEOMCW,,55.0,Tzhapciekxqvblxf,2402663.0,YSFOLWGIDKLMBCNDSBHDQJVREWSWMFSJXLDRVWNLMPXTJIUEYBOXTNOBHSFRXHNDDGVX,D,Ynrzjqwno,Tzh10234,1.0,506.0,U,
Anaheim,United States of America,4.0,,,1-708-347-7463,lprkkuwlgvgwuaruxkpclp,NC,Superior Energy Services,CXPTCEWXLGHSFFNMEFXICUBQFWDPCMFRUXSQQBGDROSEWVFRJEDCBTPPOEGTROGRCEFKGWLCJUQV,0.0,19.0,pemevredkqpihqutxucd,3921984.0,zqdnorkjuqjlanamzffxhuaiwipavvamgeqzkeehbwilgrjxwysxoareiv,U,Fhvqktm,pem10235,0.0,608.0,O,312460.0
Escondido,United States of America,3.0,M,y,1-812-655-5848,CTOCKABDFLAHFUR,DC,Terex,Obovmubnxcvqnqbhvidbtpvoqdztbdypvpbrqxcpczthjoqgjm,4.0,6.0,SIBIOIUHRPHDDCRLKYJU,,TXDYSECJQLPLOYIVQNXFNYB,M,Hqhnrucr,SIB10236,5.0,608.0,O,59454.0
McAllen,United States of America,2.0,,Z,1-760-083-2764,Sfdyyqcsqsjaiaycfuamdeaqa,WY,RPM International,CEHYBZUJTIEKWCASWGALIOIUXEWNQ,5.0,36.0,nbainvplwiiq,2448532.0,Hloywtulixowcrsoowxstxovivcxmdecfcsdchvkbpkgppdctmhynibzcfdxfesbbouukbebhyefc,M,JGQEAGVB,nba10237,2.0,374.0,O,98322.0
Providence,United States of America,0.0,f,W,1-409-184-9309,VFHKWDRHFUUZKYFYOOEVNVCHW,KS,RadioShack,Hyrmhxaqr,3.0,95.0,Hgppgfpoikqowqp,2661793.0,Rwmbvfssdxckxbemanirddvqmhfitovyrvwqupezncpmvuwumuebojeonui,M,Ahbswkramb,Hgp10238,6.0,388.0,O,199607.0
Thousand Oaks,United States of America,5.0,M,,1-846-110-6221,lfcvcnwcqwfezqvzxnijwvsb,MA,Toro,qbdviwcqrtqycdirsetdypitaenqrij,4.0,47.0,Daauutyhsxpsrwbozphkinwptwblkc,1126683.0,efvmtzirhqwwcnltaggvxesfpwnovaxhblenwflnbsdsgloulfrkxvcfjpqqjiulzngvkdodu,S,gfpvmfgqv,Daa10239,4.0,535.0,O,229741.0
Moreno Valley,United States of America,4.0,M,,1-770-886-8729,Rzydpbfjosmpgoze,MA,Timken,sklyqxkvhtnx,0.0,1.0,Rqfaknorgkpkybcojf,19011.0,Hquoqnrajwmgnsesyfatulkdmnwwatzdvagplpistibanjpdptlpw,U,ceswjccl,Rqf10240,8.0,787.0,O,321814.0
Abilene,United States of America,0.0,M,R,1-062-332-3497,XOWCSBZ,Manitoba,,WPBQLTYLMGIUGJTLNOKMKSTOKIVTMRTJOIPRQDHQOLLMSTPSXFDDVIKZEEXIBWR,3.0,66.0,Rvflqesjwizmgfxhwdkh,2527888.0,otgyfonpbieefyv,S,cfvcif,Rvf10241,6.0,493.0,R,170780.0
Paterson,Canada,4.0,,,1-918-803-3349,MZXWCEVEQOLYBILPGGNBCHAURPHU,WY,Gannett,NQEHFZYCMZRAWUQEXHEJEAMOEHSCBDH,0.0,58.0,ILSXPTDHZVCMBDGRQJNZEKQEV,594174.0,Tbltaceswhdmtxilcrjznmiwwgbblknmpdwixceytwvmdivywbuicyu,M,Xafxq,ILS10242,6.0,442.0,,177028.0
St. Petersburg,United States of America,2.0,,,1-192-632-7346,FTBVKPVTNDAOHDXGLSRYIHTYKQA,MI,Charter Communications,Oacogsptqkgavvvcvtpnavrzobhqezxmvjwhywjuidecmlcxoklvpyqbivaifkgnhbienkhpchwoxhjy,5.0,22.0,TIWJQKJFFGYUXQXNVKA,798470.0,YHHOPEJOQVFKQDJBKYYXDDOHRXFGXNZHATNHTZDGNTASFEINYGBUUSADUS,M,Tvgpipszrb,TIW10243,3.0,768.0,R,426889.0
Oxnard,United States of America,3.0,F,,,ytdcdiicxhyeupnyws,GA,NTK Holdings,ecurmxecpvwflymapwd,0.0,86.0,Uhjdgtmqtfmwfrqfgheobshjkmdqta,934449.0,BBXXLRTIWFFUYAGM,,Viufkfkwd,Uhj10244,10.0,317.0,O,491342.0
Salt Lake City,Canada,0.0,m,,1-004-219-7946,Fmsgkgmjzbljbfhy,OH,Molex,Auzaaygvzdgvuunrabnqajtjxwypyjap,5.0,93.0,AFXXNWERULWGFAYCL,178195.0,Vxpyklgsxcjzmvifuz,U,Gttgjhyksido,AFX10245,8.0,698.0,U,268530.0
Oceanside,,4.0,F,C,1-258-304-3561,Gbapcdof,Nova Scotia,Seaboard,MOXRCTNUVTZSKOGDQKJXBDNGTZPNFLCSQSJEHIMHKOHSBYNGUJYH,4.0,,ysytcekcntysreip,3334740.0,KBJLDNBMIQYBVEZGAAEPVBXLBJLGJNQQSVIZWFZWVCPB,M,Yezntvyybsz,ysy10246,8.0,345.0,O,149840.0
Seattle,United States of America,2.0,f,,1-541-950-1149,Lmvnthjc,IA,AMC Entertainment,rhzmslluxsgxxpujjlkgjh,1.0,14.0,Lbhpqskjoupxfsisiuf,210735.0,HXSCFRVBGVPVJEFOUQISCKIDJBJAUNOHHUPGIYMNIUBHTARSRAE,S,Vcnznrlu,Lbh10247,9.0,712.0,R,212549.0
Provo,United States of America,0.0,,q,1-932-286-9093,HJYTFLJ,IA,Landstar System,Qdvbrffwighfrqjxfrhlvtsjndphdihfmllsjkcdmuuxpwhuhhfjz,2.0,82.0,Byunodpswtwvwoguolkhsdi,1605213.0,qtaccfaaorbpedljrwahhmtruclpnmejunvguaqrownivkwhybsyiwwlgfoyjarqfgrqfglnlcrybdx,M,Zrkleosfbl,Byu10248,8.0,,O,494257.0
Birmingham,United States of America,5.0,,E,1-955-396-2292,Hwgavqhqamikzowntrgcqdbkwhi,MO,Bank of America Corp.,Popvahcsnredzywonecivhmrcqd,0.0,,Tnmzxkezsisc,2201179.0,Mbifvlosxwzbquqdzmelmummfqywsdbuceipfkjsmjahzmcmhtdptwtqevggf,S,Tiifcywcb,Tnm10249,8.0,640.0,O,106601.0
Albuquerque,United States of America,4.0,,P,1-823-192-3915,Ovyrszdztautzaehut,CA,BJ Services,Ekttdampaaqvietteuoravuwdulnfvntxfrlasp,1.0,27.0,hbzejwukkoibomvyepxocqxf,,LPOHLOLKISKKEMDJBRMQXVJSMOINGHVUUQEZAETKWDVLKZEYXXSSX,M,OIEBQXQPHBLX,hbz10250,6.0,312.0,O,457880.0
Anaheim,,,m,v,1-892-451-5243,NBASXOQSQMNLZAOIRXPEMEDHBHPK,VT,Frontier Oil,Kegvtspwsxnlmejbtspikondfcbzqhvuqmoznftpuupzpffbhbed,3.0,11.0,opbeeoovrrjqpoosxseymomiq,2375551.0,HDQNYCMCXICJMCIOUSHVRQMXQTGRMFSAROUPUSWGSJNTXBJBNOHYBVKQDWHYZIEZYJIOJIWTXFNV,M,YNGJBPNDID,opb10251,,696.0,O,
North Las Vegas,United States of America,0.0,M,,1-061-406-0912,LABOGYHJFSLWYPWJCIBROMHPZ,UT,C.H. Robinson Worldwide,atvidwgtplloccnnxcxiaiauhnilimvrkbxsoswxcvgf,3.0,81.0,Sijgafifahdupfphppljeprlcmtqtr,279304.0,Dzcitwwoadvithavcbhjxekqienxweiwhlualk,M,gyoatunyc,Sij10252,10.0,,O,385159.0
Omaha,United States of America,0.0,,Z,1-925-436-0564,yowzztqyxbmvwzfphrinaat,KY,,Ikvhiwucjlpeehhiqhpkhiqhmhzeahpovhnbnqaetappjfpyix,1.0,3.0,Ytfwrfpaj,2481251.0,Ilnistxitrgywjlkdjfywvsgvsjtyefjbkqfjasvexnvvy,,Qusnp,Ytf10253,10.0,822.0,O,320768.0
Waco,United States of America,4.0,,,1-466-359-7782,WTHDGLOF,MI,,Zhdbuggnfsnwtkcucwnbbbinwlqlmr,2.0,29.0,bmfwdxnxhd,254553.0,Ppxpsnojjqsdijcrhmtvgazptorumliliuimwnilo,,Lgbnkd,bmf10254,10.0,652.0,O,30692.0
San Antonio,United States of America,4.0,M,,1-079-252-0572,Estjltsgmspkypsulzbbnwsicqtx,AK,Jabil Circuit,pklujrgvkbdplbhjkmtwjecutzwayxwcrjawqhfu,1.0,87.0,NKTFTGVB,3909587.0,Qctdkuxfgbsljspxsvwexywzhqpetkbfwnwrn,M,ILZKCABDZ,NKT10255,9.0,690.0,O,147976.0
Wilmington,United States of America,5.0,F,a,1-100-016-2474,Jpuleuat,WY,Levi Strauss,EHBPAKXQOXJLBLKFWGXSEZVRLWUDYSSHRPPSWVMWRWIFERFZEXW,,31.0,xnqjcqwcsryjwmtomzfrdqetgbf,1704657.0,aldzgoxizgotrgjfasxmqsletdwrbbptascinqpjvv,U,Fvunceb,xnq10256,6.0,376.0,O,221280.0
Casper,United States of America,4.0,,Q,1-838-513-1924,Ynkdnqcmrwhgbxubcouaowfjiqscvt,DE,Dean Foods,anbmyiqtvunesudaohysraxxwukhboufvgntnqbudhtehrchpfqyxcorrib,,58.0,Rywdryuymgokoleeitatboa,920915.0,Yoewddgidtquiwhmfgfthaqjzpxcvsazgsymlopv,U,Xfthlirxms,Ryw10257,10.0,322.0,O,
Carrollton,United States of America,4.0,,G,1-679-831-8308,fubvwclizjn,NH,Sempra Energy,Xbwnvscfshfhqhevshhojrufmrlxkfrzhgwoxhwsmqnhoezkmapkj,2.0,98.0,Dxlniadzsfclqtctb,1970746.0,NCSSWVQENZMLQERYARP,M,Zbcgukkx,Dxl10258,9.0,655.0,O,127760.0
Flint,Canada,5.0,M,,1-058-163-8190,Lihkfrrkticxmk,MA,Host Hotels & Resorts,Pzmvtovhwhguhtqxelspsopmclqtjbtslpjhxbaivdarlxolirdtsknrsu,5.0,73.0,WUIJWWHHCD,210975.0,WQGJTWLTUBCMKVDWXRRODFMAGZSUZZKLVNK,D,Fouuosut,WUI10259,4.0,545.0,O,362611.0
Paterson,United States of America,5.0,m,,1-232-635-2314,mvphqgmbvalawizryvyyhdjcsvz,MT,Wisconsin Energy,ojdfvfmkmayamtn,4.0,69.0,gxecuznbwhogaob,3111051.0,CZCXRBOFL,D,mlmixv,gxe10260,3.0,702.0,O,173127.0
Alexandria,United States of America,2.0,,,1-232-065-9481,Fnrvndmlrmwiuuwadkhx,British Columbia,AptarGroup,Ovlbvohpsdfqfw,1.0,37.0,Tabsmutvdwnasjnjwbcjiwmdwkpunv,1066331.0,mpktjfpmbgpvugqueifjzjkbqqbrpyrkuliyprtsatcsc,M,Opeek,Tab10261,,549.0,O,400274.0
McAllen,United States of America,0.0,M,B,1-940-115-5277,Sqtkxseiuzpqqbsuahekjmxtxagy,British Columbia,SanDisk,utrzxhfgfsotnrnmlrvdphcvoaksrbdcekk,0.0,40.0,Mfnzttoqndeteoi,2072522.0,Evzxvkccvjzvsaiulkaqmqpkyiqjrvjauzpnenteflimwiprnakwmuwwchupqdqozllhn,W,Tvsxusnfn,Mfn10262,,601.0,R,283225.0
Indianapolis,United States of America,0.0,,,1-564-271-6885,Tfjwisigwkvnhhlajpuiinart,MN,Atlas America,Wriayiwznpvlbcyjuj,0.0,35.0,DXPHB,1728775.0,JERWDVFDSHANMDSDMTHMEWUBJWNNCRSKNMWEGOTL,W,ncllqfl,DXP10263,6.0,572.0,R,159061.0
Cincinnati,United States of America,1.0,F,A,1-617-385-6314,Rpxok,WI,Dow Chemical,uocxznjwviwwwxxqibegsvjhlvbxitncytaxonvg,3.0,92.0,daoscmku,,Xivpcmmemuqmdocldvwxvolhuldsulbhbamnfjmhyirhsjqssamnpncvebcjluxxgbroreghd,U,Oeoaastril,dao10264,0.0,596.0,U,272430.0
Sacramento,United States of America,3.0,f,Q,1-507-554-0043,VBMEXSTXYFJCYBNFQJMKCGPX,OR,Lexmark International,EDQJHKMSQANMRZZADLAUDCHMVRICXKQHCLSVLJTPJKNXV,0.0,38.0,vytbbics,1398203.0,mxpfhervxlrqwbp,U,Ldlwcfoifea,vyt10265,3.0,,O,273825.0
Waterbury,United States of America,2.0,,v,1-183-586-2548,Fomrrhpnvzjqvqpdplzivdt,Nova Scotia,SPX,Gmnafqkdrsqsvu,4.0,,zqacuymhdmdv,786651.0,Afzqinxrgul,U,Seefe,zqa10266,10.0,758.0,O,1229.0
Provo,Canada,4.0,m,d,1-839-574-7060,dfblrnpqfaibr,MA,PolyOne,Ygxubomsvijsukulozhgfvhadtbcjqiozaadilwuahwksnpdcoxnnvlvgsjjlikgbmrhv,1.0,53.0,Blfcnsuic,2735939.0,Pgwvtkxpksxqkbcuxcbkeykdonholcgnboytarzfankiilsqdeiha,M,Bchrtuwxwcx,Blf10267,7.0,412.0,O,118174.0
Milwaukee,United States of America,1.0,,,1-877-661-9775,MZYPOKKSAROMMOUMTFCUIGSJLQ,TX,Pitney Bowes,Gzqdrzcmxoqbdmrweqrakjenwddghmbsmwo,1.0,,DQKIUEGVUCXIYESCNTRAIEZ,3486831.0,IDSFRLWTTI,U,Dngxaw,DQK10268,4.0,349.0,U,437566.0
Saint John,,0.0,f,O,1-140-898-1845,ygyotlyceampsscsfk,CT,DTE Energy,gbkmyndfkjygyvvvfonrxqmyuvkwwboyuxxdbdanwizugksyluxuswtzpven,4.0,,nykoozhhcdhbyenpermizqjwxmaei,201411.0,Frphbeqypgpcezlfwjrevsjrkressovkxtsbb,S,ZGNKY,nyk10269,10.0,423.0,O,42981.0
Laredo,United States of America,5.0,m,,1-094-414-5927,KNUBKBIHNCGBC,MT,Maxim Integrated Products,Avwsppzdpccwodloddrs,1.0,6.0,Tafajnrzucohtbuiycphuyzwrddnr,469962.0,Ctuapbjssabtdvyfwsimweuqtgifgamkibtybrcqgmw,S,Cztdelsgt,Taf10270,5.0,677.0,O,424330.0
Hamilton,United States of America,0.0,f,,1-889-055-3149,fqetvbmawwqksihhkmdy,LA,Ferro,ZZCNRCSWAIYCSYFOVRWXTHVIFLQSDVMVXAMVCGENUUFQQSUHHTZHNLHWTECWXRHGGQ,0.0,24.0,FSIBKVOICKPOCCVPK,2430725.0,ubvftnbcottcmjqbgpcnuvt,M,,FSI10271,1.0,407.0,O,
Hollywood,Canada,4.0,,R,1-491-996-1761,WVIZFEMZFNCDGKYELTEYXDXG,AK,American Electric Power,jrnqylqwibarcdikauvo,0.0,91.0,XNEMTSQMRIBMBCQIARG,310569.0,GNUVIZMB,M,Llidjt,XNE10272,4.0,547.0,O,3906.0
