prospect_PosCo,prospect_AgID,prospect_MarSt,prospect_Inc,prospect_AddLi1,prospect_Em,prospect_NumCh,prospect_MidInit,prospect_FirN,prospect_LaN,prospect_NuC,prospect_Ci,prospect_Pho,prospect_Gen,prospect_NuCreCa,prospect_St,prospect_AddLi2,prospect_Cou,prospect_CreRa,prospect_OwOReF,prospect_Ag,prospect_NeWor
zofrcgbizyn,Tlc11622,M,475871.0,Xwpoxfnddhgddppdqqoptkecmoqgnotjtmefkfmetxkegyksfhdw,Brown Shoe,1.0,p,Hunonbpowk,Tlcdewsqjnz,3.0,Chesapeake,1-581-044-8354,,,OR,NUPCTAXZMFGNORPZGENOWCUXJKJ,Canada,322.0,R,21.0,138783.0
kxbowd,WQU11623,S,440579.0,Pwztobnshuxgvsedzcpltrxlstmeyasmigglmvmyg,,3.0,,FXRZLWUNVFFK,WQUIBKVCHANCCFSNUQXFQP,3.0,Lansing,1-136-361-8892,F,10.0,NY,jgneoejpfxaruplbocxrmvepjaujksonfwpegbfatmuyxbzn,United States of America,382.0,O,77.0,718651.0
Rzcfizqmh,Ikn11624,S,72779.0,mrtnmiktbeyvbvuembefcoungvdifhhibvikptbbxo,Vishay Intertechnology,5.0,z,MQUTWSCIMHMCKFNVUEHBOQD,Iknrzmrfxhkw,0.0,Saskatoon,1-781-190-0085,m,3.0,NJ,Dbjfxsisiklokroannaxpvbzwmxydbghcrmrffcylejdbibdxlzik,United States of America,328.0,,40.0,920521.0
Evusov,Htl11625,S,48666.0,Pfyenlbqrynijvahfenrfdtggrxkiovkgaesxxagyyjuowyujoshkjntkolpyqf,Brinker International,2.0,,adgoqensqjsleekwszke,Htlrvirryfduesjreqjucrrp,4.0,Macon,1-436-676-2052,,9.0,AZ,khpcqfvpkftkdxihpaubdqcnnrxq,United States of America,630.0,O,22.0,549247.0
Svkwdds,kih11626,S,241031.0,VJNMALNEHNYVHIVHIYSEUPMSJSSJICMKPNELXGXIXZKDTDYKLTRFZVUCOUMMQNF,Cenveo,0.0,a,Pajuqvxagoefgynodq,kihpvmexeluhbhcjjdsnorqibghw,1.0,Simi Valley,1-201-291-2778,,5.0,IN,CNIFIHEHAMLBDFZKASFPQFJIME,United States of America,646.0,U,64.0,2270678.0
Jkbprogwbsyi,Brw11627,U,76021.0,ywvlydgplliaxvzmosowcepnbrehofxdbwifcbsivasnz,Universal Health Services,0.0,,Mcsnl,Brwchr,4.0,Costa Mesa,1-643-966-0709,,0.0,NM,Xmrfgxcdulpnmpsxzgelmfxgbxfiqhovvzicpbujepsnszt,United States of America,361.0,O,24.0,2339397.0
FZBNXOLHE,Cun11628,,181204.0,,Varian Medical Systems,3.0,,huahgtztyekcojzbhgsahwuenl,Cunkqososm,0.0,Worcester,1-168-329-5321,m,1.0,DC,,United States of America,772.0,R,100.0,2813423.0
otrpw,Inp11629,S,16220.0,njegmpngsycqlctmtsljlqweom,Flowers Foods,5.0,,Lkmua,Inpluxichpsuetk,1.0,Chula Vista,1-680-249-0273,,9.0,AK,Tcbqzelmuwgqjiuklsmubdodruegmzzyejrsrevz,Canada,562.0,R,22.0,541808.0
Vlaqrjno,JZS11630,D,469891.0,Idcnxvcqxkjnxvjdwitlqwjbitoutkrsefmzbojlzi,RSC Holdings,1.0,,Pbdccufjujzbamqrfofdskypxmhbmw,JZSERXV,1.0,Baton Rouge,1-604-253-0064,F,1.0,MO,LDISVEPXIDAWGFAKPGOVFHBWUFSKOXSTRGEUESWTHPBMKMRCJNQCRVABABBEFKTL,United States of America,503.0,R,85.0,722488.0
Wsasfijj,Gdk11631,M,268371.0,zqdbkhyefjyslla,Laclede Group,3.0,,Rulowacdpxvcemixfsvqas,Gdkhhifotkwlczcgc,5.0,Baton Rouge,1-222-598-3527,,6.0,OR,Llwybughrtipjvmmwgsc,United States of America,619.0,O,54.0,86998.0
Felbiiitiqz,Dpa11632,S,,,US Airways Group,1.0,t,Wecpixvtjzcxg,Dpadtmbgcrsokoniyrczcamggvj,5.0,Lubbock,1-004-675-5978,,6.0,GA,Asasorclwahnpqcpguytavhdoqkiwvrrnzpmowmpuviyprotwivpdcyaeoclihselny,United States of America,417.0,R,33.0,2601068.0
Iexvpwnil,SCC11633,D,456501.0,Lhebsdbcytxfxtmimiuergosyncjndsbvc,Becton Dickinson,4.0,,pnaltoouvictymzkydqvqrdpi,SCCEZIJBGKE,4.0,Amarillo,1-068-035-4180,M,7.0,Prince Edward Island,HMCWMUOOJJKWRIZVMHWFGO,United States of America,662.0,O,60.0,2162095.0
Zxejvoxqjxlq,MPS11634,M,394332.0,Rirmmsrrybghpjkwqpkrcxtqt,Liberty Mutual Insurance Group,5.0,a,Eteakjxkjxbpz,MPSOGRMOFSXTEVJC,5.0,New Orleans,1-545-709-4927,,0.0,DE,Rkqckpamsedotdstauxfbffsdygvminacsppfyubprlrsqquvgsbtgkhtenlfjvbukofc,United States of America,817.0,O,34.0,2155545.0
RXWGGRMN,pvw11635,U,166542.0,Qvfgzpuvvufrfyoxxoyiaalwhkrpotirywrvdbgfdpighdctljt,,1.0,,Ueecixgiaxxvytqhjmmjesgokhz,pvwgumdxnlyfdiulusfxnqsdgis,2.0,Los Angeles,1-583-968-9273,,7.0,AR,bujqbnohyxwvvei,Canada,626.0,O,4.0,2660702.0
,Xmu11636,U,390981.0,Nhsphlytvjguyfgkralrpcwqsyeuscalxozebfwrtatpmp,Entergy,2.0,m,Joxqcoojrynuhxldqeapi,Xmusxhpwqkz,4.0,Santa Clara,1-421-704-2719,f,3.0,GA,,United States of America,801.0,O,92.0,2107157.0
Abqmpqcftcil,Djn11637,D,168327.0,Qafkctzntjvmaphgvlmphtvzovmk,Albemarle,0.0,,Gfxncft,Djnjlcbvohdfkfeehqvqmqggz,1.0,Windsor,1-993-740-3718,m,10.0,CT,Gqhakmpojcvzhhqqdsdctblzyfrqycqrgqizmtydolnfuzcyjaqcjfiakvgppniwkig,Canada,552.0,O,84.0,1802795.0
Fbbeqovmbapv,qrk11638,S,137303.0,gbbjljusoqoekjauwjzeyyajnhscwyutivzw,Cabela's,2.0,,Hekfccxkwrqyyducfypnm,qrkkrqfolycjaggrrswn,2.0,Rancho Cucamonga,1-701-056-9214,M,8.0,AZ,Uvnfuqyrvszteqnyduaz,United States of America,458.0,O,92.0,3821277.0
Gpxfn,rgu11639,D,492039.0,eeelywrcdqfzrnbwblhwpxfpoxnbcgpdhsx,Goldman Sachs Group,3.0,U,BIKYELRIQAKGNHAJ,rguezhxt,2.0,St. Paul,1-551-420-9404,F,7.0,DC,Cgdupsumrinxhmdxcgvrhoqfotqxafmmtanxxvvb,United States of America,370.0,O,53.0,3456261.0
OPIATTGQTB,azu11640,M,124926.0,RCUPULTWLKXGTZCWUCXHRJOYECCCLIRRFOQ,Philip Morris International,1.0,,senzrdupqubjxijnarwcv,azubxckdhkeoh,,Yellow Knife,1-490-114-3920,M,5.0,WI,Ndeyurertgsjwabsggxmyoihkofxrbydqdkievioffnjqapgrihwsmevow,United States of America,728.0,O,95.0,130608.0
ptzfefif,Jvu11641,D,471272.0,Ktyfdeoxyfxbj,Foot Locker,5.0,,Lzjdadrsnwugontofjihwjpbckrl,Jvunltliejnehsobajafolbbo,0.0,Burlington,1-451-743-5761,f,9.0,CA,Wirdlqydtvitlu,United States of America,376.0,O,3.0,
filftafcf,MSO11642,S,3242.0,Dirofockkpdwpcbjygsfswlgszmyvaxedtzzdladamwvgysqnikwwgfvabqybdcrbhtjuiruce,Parker Hannifin,0.0,,foajkxopbsjeicrsk,MSOGKWAIZTBBVE,2.0,Tallahassee,1-974-038-8222,,7.0,MN,Palggjokgatpmjncofyosbtgybtsttvkubgerqyklazuxpbxmw,Canada,713.0,R,12.0,605798.0
nkcxl,qre11643,M,453844.0,Wforrpypymwexyafnrjdereyjqwnzacxrludtpeikuziwtzobvjmuifixknstn,AptarGroup,1.0,I,Dhmdl,qreykenxkxym,2.0,Elizabeth,1-159-949-1495,,7.0,KS,YRMWGVOETFKHSXRZILVYMTYSVHNYBRRDMDODGFGDVCIRQAZPIPUB,United States of America,604.0,O,32.0,2163263.0
Afdiwc,hko11644,,,Lxtprjbj,CF Industries Holdings,1.0,,FGLHIDLLZJAAQFYJGHNOT,hkououzdlob,1.0,Warwick,1-390-895-9678,,1.0,FL,Jkhkcjqauolokltqdbrloeiasoecbrknvrwqahenxlcssrohlkwcxewwigvlcktndkmqglttdf,United States of America,460.0,R,98.0,2261388.0
Pxkimmb,UZV11645,U,375815.0,Sqyjylexoqiuwbqyemckuxijsrtxrtbuxwvufczxtjuyueoooslnamnsoyqszzgrdejokvyqvhdobdqn,Securian Financial Group,,,SNQSYA,UZVFGXYTNIVFUIJWO,1.0,Baltimore,1-192-449-0120,,9.0,Saskatchewan,,,482.0,O,31.0,727051.0
Tthlpu,BCS11646,W,114122.0,LFRJGHOJFGESACTRWEXKHCQSTVZVBMAOAPCZJYTUXQACRL,Progressive,3.0,Q,Jvwmrhaqbuijfmvm,BCSHWOQ,0.0,Independence,1-134-780-5445,,8.0,Prince Edward Island,SFHSGWWHUP,United States of America,807.0,O,73.0,3003110.0
ixqguckcm,ZIJ11647,M,400657.0,Kzdupbrvp,HNI,5.0,,Pgvopamymou,ZIJRXXCBQUW,4.0,Cincinnati,1-075-096-9878,m,1.0,British Columbia,hmvwdymtscuawerifugtaxicymbmtswirrclbciqgwblvtklxgvhdbnkwmgiebmslbsxf,,509.0,O,62.0,1857713.0
,GWP11648,D,293804.0,irlldimjjginjjvdjzekmabuync,Mueller Water Products,2.0,,VWNUOG,GWPTINXTKBEJNWFCK,4.0,San Buenaventura,1-080-387-3116,,8.0,Prince Edward Island,,Canada,303.0,O,48.0,3482902.0
Fvcoege,Hdx11649,D,358678.0,Aiofvtdqrgauiigwlcaelcbokxtdvasg,Vectren,2.0,g,Wfkmhhjfxkannoehibgjdlgrncoun,Hdxfdmvygcpwuyxrouqrjixz,1.0,Independence,1-066-671-2242,,10.0,MA,LAKGXUCJQSHDEKTPUTHNDXAHRFOSPMLQQWNOU,United States of America,412.0,R,40.0,2203791.0
OTNVKBMZFI,Iqv11650,M,469668.0,Aywincmvkyvohkmaljafdvtotveheswpdjokkltiicsoccvunuyebwpavagvhjiasp,Universal American,0.0,l,pdryfzsydjfjmkgatftclrftwvj,Iqvux,2.0,Saskatoon,1-634-467-4413,f,10.0,MA,Zdtlaryhdovtewknhkkxadywst,,788.0,O,20.0,
dimplcv,DLD11651,M,139149.0,Iyxssmlynkqvqlsnshpfqbamkfuoftjhui,Huntsman,5.0,,Dfqfswwjtebrdsbypo,DLDMUNFYGMRNMVDSVPC,4.0,Amarillo,1-151-525-8237,m,5.0,ME,GCHNLXXLUVJLMNGZVPUOSED,United States of America,399.0,O,16.0,3855669.0
Alaho,fha11652,U,219988.0,Oxtmjagvfwrgcqzjlokr,KAR Holdings,1.0,,usjaevvi,fhavbelntbcwtg,5.0,Toronto,1-313-385-2020,,6.0,Nova Scotia,Chjvarzpbwlvbbctyuhfdladbbgjvhuieyvikidbowrirfqbbysfhbcrkdccbwsivqtfctqbm,United States of America,673.0,O,89.0,1429825.0
Rvziv,Csu11653,S,383717.0,Dldteqakqdyseenegnnemnaqgwakywfapthwmuyknov,Bank of New York Mellon Corp.,,o,OAGUUQNMVSFNLANKWVWOUZSHXA,Csutscbgpgnjq,,Riverside,1-215-637-7916,,3.0,NH,lzlarrvtemzdvoftniefftlrwpsodswefcvvhbhfuvgpjppksnsjsiausigstxzofsutdvnza,United States of America,770.0,O,81.0,313635.0
Lckktrmucvj,kbw11654,U,318528.0,QRUKMGFMIRZQKQXLPQITQWTWPVZEBAWRWXFCSXD,Windstream,1.0,,BTAQMGRILUXVJK,kbwquzbcfuscvguamxlisbzcpusq,,Tempe,1-133-810-2568,,0.0,SC,Szklqtmuxurfsmgnttqibbabfymqanjmpndhk,United States of America,737.0,O,23.0,2868203.0
Elmvtsrrt,imf11655,M,,EVZOBXXHRUIBUVBHLMJCFVUIPRUSEIGEGPAHVRCJLHLCFQGYVPERQKNAZKXQDIEFCHP,Coach,1.0,,Lmujzmwyjrsoyhxgbtpl,imfbycjvmegfmtzodjxkrotygild,4.0,Philadelphia,1-932-597-9589,f,6.0,MT,Jsbyijmkczlczhlergiyfqkelfppzozoqjsasdqhmrjo,United States of America,351.0,U,47.0,1383741.0
Kizpbsuy,Yjl11656,M,457930.0,Menbuwxccknivjddnaaju,Brinker International,5.0,,Kqqibtqlkyvltt,Yjlcufrtx,1.0,Winnipeg,1-553-956-4532,m,0.0,NY,Viyeuevfcnlmwwtqjcedvundgzchmadlb,United States of America,,,25.0,574855.0
ZSIKSN,Tgv11657,U,413109.0,,Cenveo,2.0,,pcurhlmgjmdwuliuktzhlxfp,Tgvlukklstaqwvkpapaiahzwtcok,0.0,Hollywood,1-618-787-1072,F,8.0,NH,KWUEPCVZPLKKNXGTOESNESLHZZILNLMIACF,United States of America,594.0,O,15.0,2325837.0
beggq,Bnz11658,M,375395.0,pvprrhuwqurrkelabbadflgtefcclzkqsskkrsctwimobloypbx,M&T Bank Corp.,1.0,,exutdassepwdwgdsmkucveax,Bnzsgchhgfakbybdz,5.0,Bridgeport,1-027-328-9740,,5.0,NV,fcpwfnhvbtyawxossfqihzngxuabxuavbvwmiyjsnqoijphpeurr,Canada,845.0,O,65.0,2689771.0
Jonqqakeky,Vvu11659,M,290984.0,thmgkhwfgjunqcoxofexvlbrwjytdjjixjkrvmdzyjwptxnwxxzrsizellsxhetix,Qualcomm,0.0,,PUBIUBIZURTBYSMPXQHSXKWOJGOLVF,Vvudehhpbagtdg,4.0,Las Cruces,1-826-459-0746,c,3.0,OK,Moyfhnfpkztwcbnwhduhpoifhpdiylzlmctyvcigvtspkgcgeqlzznvi,United States of America,431.0,,88.0,604936.0
Rkbputtpeiij,Ost11660,W,,lesynqrattqifuqmmaiml,GameStop,0.0,K,Mfrlaotwvrio,Ostghweiftvhkcpnkfn,1.0,Santa Clara,,,8.0,KY,Zolzpgpqommhqatxogpsfkaytawutgejelohpychvisjhvhxobonojhcxxclxqrwsqbtdluvhgf,,633.0,O,58.0,3618949.0
Znbklkthj,VDX11661,U,223262.0,Tmjpxlympqrjjvsthhcdgrdjohjxgeixlsr,Mutual of America Life,4.0,,Dcschfixbdvndnx,VDXRRRGAEWQNJ,5.0,Garden Grove,1-328-464-4313,F,9.0,Prince Edward Island,Ujpmhopwambvibgyjtszkxzdfsqpragv,United States of America,621.0,O,66.0,2369853.0
oevkjtln,yyq11662,D,343355.0,Hrskcutcdhaxeegfpkdjcdegidcf,Danaher,4.0,,Ckqshysnrbfxdf,yyqvbnsqrafpjqlrssvncvvxzvd,1.0,Topeka,1-870-853-1808,,8.0,OH,Cziopbsefyvkodeegumjmtupatmywzleelvjzio,United States of America,631.0,O,94.0,1297224.0
cmpquy,Pex11663,M,443566.0,ykujuxmsjgthlnkevjyxurfnmpyjikxwijmkb,Dentsply International,1.0,W,brceajr,Pexomitkqp,0.0,Yellow Knife,1-146-824-5307,,5.0,New Brunswick,,United States of America,564.0,,47.0,3650244.0
Uwdqaduy,gtn11664,U,275864.0,,Catalyst Health Solutions,,r,Aldlslqhbqapmfdkwscsolfack,gtnsln,4.0,Chula Vista,1-966-130-5707,M,3.0,LA,Tzkouvphiyexiwpcrktoizdjjuhtdoqzxtrerkubckkciedvzskjllkflgnj,United States of America,533.0,O,,3570231.0
Bqypxybnwmrd,ruf11665,M,,Pmhcihdsugfqtksvcrqqpjtupvegsbvsvwtjfhzbarttpclwawpzsflam,O'Reilly Automotive,0.0,,ELHGEECYNM,rufmucglfjkxsgahstiifywhdzt,1.0,Arlington,1-896-324-3922,,8.0,Saskatchewan,Ctsfdmaktggzjetkjgwhmlgjpnuanbdsoikkypkqkhbewnamthgtqrza,United States of America,843.0,R,50.0,15856.0
uetirum,Mby11666,M,461982.0,KXVYAMEIXMNWJTGUBFOONMEAQDHMAEHPK,Universal Health Services,5.0,,AQSBHBBUCABRG,Mbysmqgoszm,0.0,Orlando,1-477-491-0942,M,1.0,Newfoundland,WFNGWAKHDEHHAZQNJFXJDIHAZKYGPBSSIBNKTLVDXEXSDPZGBXIRMQCF,Canada,327.0,O,87.0,900943.0
Afcmwnh,Rep11667,U,403990.0,Kdqzvcwjqbzqothnbxvsg,Valmont Industries,1.0,g,Mheemgmpamwfb,Rephv,3.0,Newark,1-072-193-4446,M,10.0,MO,uaqdxfgmsfvwfqjhdulljhqpejowrjipw,Canada,814.0,O,57.0,3217712.0
Mvmuqc,Udc11668,M,147029.0,RBXIUTHPSW,PepsiCo,1.0,,fxtijvvyu,Udcrwhnloryarke,1.0,Tempe,,,10.0,SC,Eibnoinuluiqvslugrekpmhlbuuazbfwstffxodxweljkwcviilouowrducroyuhyljrr,United States of America,447.0,R,48.0,2736819.0
KHDHAWAV,uzf11669,M,443592.0,fdcmxnrkyixodtvqxtzttrsbldseugdezrfegoloqjkw,McCormick,0.0,,lhxlgn,uzfjfwjwquzcqie,2.0,Jersey City,1-124-194-4990,,2.0,OR,liprnkqnqvmfbqylypdfklicncbi,United States of America,773.0,R,96.0,1464706.0
,Yeu11670,U,143837.0,cacyaxinnblvrwjlxiejkpzjgfnimlhscbemxatuubuwbdudgidrppndpbjyqgvrpkgghyqhjt,Public Storage,3.0,Z,MSCPALXCILRKBVKAXOEMAXZBUODWCR,Yeuyi,2.0,Little Rock,1-555-537-9938,,4.0,UT,pcxgbfoprorkuktymgoruperzfbbthtrbltkwfwktntiebjjguizunqvsvwjsoquuwnrcbbqtcoz,United States of America,640.0,U,30.0,2867175.0
IXCERZM,ydp11671,U,297370.0,yhreyxtsbqvwjy,NCI Building Systems,1.0,k,OHCJCIJOETWWSWSDQZEVAIFZIYQOPY,ydpsjxvwhypclxxelvwsj,2.0,Memphis,1-490-369-9735,,,CO,Cbnujqhpvwwuffhhpvnapstbdlmnhm,United States of America,751.0,O,19.0,1579693.0
PUQEQRRMLEC,UKO11672,,162761.0,Jumizqavosqkobwjdmydfnpbl,Vanguard Health Systems,2.0,,Shmjusxwqwwjciesvjp,UKOLXJ,5.0,Windsor,1-412-804-3130,,1.0,ND,MKHCKIIGVMVTVQINAJFJAUVLDKEFYHXSOHTOWEQVNTQNGLGGWBSJQPKNFHFTKPSELPDMHDEJUMYPU,United States of America,,O,63.0,598721.0
Iksma,SNC11673,,366179.0,Jbkwohmswzqqaygmzknkhzdycyk,Equifax,3.0,,GSKNABIDBBJSBHOMX,SNCVWRUNARYRVULRRHK,3.0,Toledo,1-825-309-6191,F,3.0,IN,,United States of America,358.0,R,,917643.0
Lhxey,xro11674,M,384392.0,Qhysxaqrvkqlggyoivnfqhbsuhfeucadcqdmgwrcgqyonblqxsjnl,Metals USA Holdings,0.0,,Vskvyo,xrorfhagvbdhncrfdjbekndtbddby,5.0,Casper,1-793-326-1785,,5.0,HI,Koqskzvjxlwvirnzgialhkowsbrbeelateuktrpwnzo,United States of America,747.0,O,17.0,1443469.0
DETQYCRCAX,css11675,U,445223.0,EUTSNGURPCWCIWPVEQXUHAEWJJOLXERNOFXNDTNOTVXAYOJRFGB,Jacobs Engineering Group,2.0,J,SILPKHPIIOCO,cssoqaqeveotm,1.0,Hayward,1-264-132-6153,,3.0,WV,Ejknovuncvwjttyapctxiohbqhjhyioomvbvuieevbhwpubsqzcdwfbexfqsrellegcdpxy,United States of America,392.0,O,88.0,2164502.0
Mhcopi,urj11676,M,375792.0,EOSJBVWAGKKSRHQLTLJFOJMLGUCEWTVFXTDGDRCJQPTNWHHLMCBOWRNKCPNELRMAFOYZ,Questar,0.0,F,quxemkprnjndinuvurxgldfwnijm,urjsfallyodbqqhz,0.0,Lancaster,1-321-350-2259,F,4.0,British Columbia,TIRIGAFSROF,United States of America,456.0,U,98.0,1197133.0
Hlntnjhjflyo,ett11677,U,220949.0,Bhhqixofgyohgrenadokfnwfiqsdjmpxntcqumnuasuiwlodvbpwwxakaehklflea,DirecTV Group,4.0,,Rdigykcpasqplpirvxhiwiritlhmd,ettjcfvlylprgysrejkubdpdtmu,2.0,Huntsville,1-926-221-5255,,10.0,AL,Ksspxlrfnscohmmibodbxijqxdpdewmvejfntwxhijblr,United States of America,806.0,O,23.0,1010441.0
LTGXSWLW,Cdi11678,U,241942.0,Ltinxnen,Owens Corning,3.0,x,HZYKAXUCOSRON,Cdirobovvvjxujo,4.0,Columbia,1-953-155-8687,,8.0,SC,,Canada,509.0,R,5.0,199216.0
Mwljzuxzv,Ztw11679,M,483010.0,irynxjocrktocvsjmqkulazvlirrcijhcbeaor,Jo Ann Stores,,U,Fifgeqwpgifjtsyyltndojo,Ztwdmfmfjewnjqjorlxpxryvxfxhe,5.0,Fort Wayne,1-176-162-5262,f,4.0,ME,Wmbxgcpbhwwmezawfmnydwsutoqrq,Canada,563.0,U,74.0,3963144.0
Vgmmsbwacaif,cil11680,U,312551.0,Dljqawrsbiyrhpisbavbmfykiecjocxbxbzccjptoquiuvbjenxhvnuomop,Telephone & Data Systems,1.0,,Ulwcoq,cilfffvvxterraobjuxnp,4.0,Albuquerque,1-410-981-0577,,0.0,IA,Delgkfxnuywesx,Canada,745.0,O,19.0,2601194.0
Irckndphmwr,Xdr11681,S,3571.0,,Gap,1.0,,GGENSYUBGEWQYWDUJOGQFUUCB,Xdrfcwjyhbmcpbramwjowsbrj,2.0,Little Rock,1-594-359-0657,,0.0,AR,RCYVZBFGZKCHXTRVUMUOCTMFENYMNCEJDQFLXVDYTWEICOHYYQUCWB,United States of America,723.0,O,65.0,1673953.0
ZLPRV,Ctr11682,S,200037.0,Nhthtgylyugvkjzknqmqqcvqydduayoybitkovocukbyjitxcpgswzji,Paychex,1.0,,QGVDVZ,Ctrhp,2.0,Warren,1-401-555-3070,M,2.0,Newfoundland,YZDDCZUXOKBZGMXPUXXAGHDBLDZOJIPSYQPCIVWYFBBUDDXBCAKSQWQSNE,United States of America,815.0,O,40.0,270302.0
QLLTTUCIMFTV,SBH11683,M,184904.0,MXNYDUBGLOEBAQHYMSALXGTLVXOYIIGTDHYULCPIHMKYAAFBKRJN,Windstream,,y,OKRFIRAOFWKXJKLCLQLOXZHNL,SBHMFSDEHRFAH,5.0,Milwaukee,,f,5.0,FL,Iyhtoklkorjisnutnsdqemyvaywdovqupqdifqdgeqbdfdjemnqkadgeiyvg,United States of America,,O,31.0,275543.0
rxombjznw,xla11684,U,264753.0,Vnezvqnqplcragadfwoaussonzkmnzkoepvrmfpcinczedfrduviirzzc,,4.0,,LVOKODFHCPYOEJJHZDUBNLIM,xlafaqjxebehjyasful,2.0,Cleveland,,,7.0,FL,TXSGDCYZITDKSCMJRFUM,United States of America,494.0,O,49.0,1537051.0
Gtbqry,TKM11685,M,357753.0,SUSRSPGRIWYMNNFRZBHDVTVENDUQVGAKPUJ,Pentair,0.0,,lclgepexuygoebrxqvxnigzkh,TKMWFTPHYIFBILRQGEDXLGPJK,5.0,Long Beach,1-753-130-8370,,4.0,PA,Ymmwnucsbmugxefafroxsdmqkfthidsbvhhgazxcpjkrpimsbibsimzz,United States of America,502.0,R,64.0,
Mhoik,gme11686,M,119675.0,UOLRDUGXNCYULSTFSCQSBHFXPJHPJSYYJWMBHFJVOSR,Securian Financial Group,2.0,,Ilkkyfhbvylnoh,gmenajmyxpkjteojobwahxlq,1.0,Jersey City,1-152-194-8209,f,1.0,MS,WQCMURNZYYXCEYWBRAXZKKMFFKIZAPMQQUUQDWMTWGCCDANZRHOEQHZTXOEDWKYWHRTRRAXNOBH,Canada,604.0,O,6.0,1738558.0
rciclwp,Ohi11687,M,274993.0,KTFEJNLWNSXLC,Watson Wyatt Worldwide,0.0,x,Xlcvzcaqzzcmdrwdemzvryggysa,Ohiqxgrpvunrznq,3.0,Overland Park,1-191-951-7804,,9.0,SD,NQECZHEFSCEWXBEVCVIFMCGKICSCNCJEHIGCKRCDCWCLBJKP,United States of America,627.0,O,45.0,2116401.0
Sxxnfmmacxs,Xpb11688,M,,Khsmcrvjwbrngipejobaoxcgfpfyhkidbipxekxuooneqpaxhpbuxirbgtwiqdwfuzsem,Mercury General,3.0,,Aeaypvzvaseyxxjzjpsuprdgmpuxx,Xpblltvhzrehqmkgbcxvqd,5.0,Bakersfield,,M,4.0,IN,Cahwqrpsltfgmggpcpdlyhfbrmipmzjzafiihkrlrijnxoiykjauwlmdamslwt,,626.0,O,59.0,1678971.0
clbiccuqjr,Vlg11689,U,419338.0,Nhtmagcsawwkrfgwlfnvgmhfedchaxqlotlrdjwanbbkwkhuluqbne,AnnTaylor Stores,,R,Ywilvgponxgzovewagorroojtsu,Vlgfisaa,,Allentown,1-471-247-1746,,5.0,AZ,Nktboxqxgyvuklwl,United States of America,771.0,O,51.0,2669106.0
Cwtdnulw,Fzm11690,U,207435.0,Mbpvsfowhfgbupkwlvuqnltudaiwjysciwtbnhbflcvwbxhuxphkbcwjo,Realogy,2.0,,eobyslnvvawj,Fzmovsxoipxzn,1.0,Eugene,1-114-745-7251,m,6.0,ND,XMWIQZXRSQSTXQCO,United States of America,309.0,U,35.0,1901664.0
Regwvlzcdtcl,WDT11691,S,,Ccnvcghmcnjckdjfhobsjidrxzgpqsbwibvhrtjxmeylnluvzfipyobtkmwyonhlfvdapvl,Fifth Third Bancorp,3.0,,Irqofwmhoccse,WDTRCCLYGCUNZ,3.0,Tucson,1-477-243-2249,,0.0,FL,Fsvksuxrurgbvoowczqayxbgsovhctetnmy,United States of America,504.0,O,71.0,3038656.0
Vrfiiralkmd,HJM11692,S,398542.0,,EOG Resources,4.0,d,Gryywzxqo,HJMGJRLBASOQHORCMJRETPHQ,0.0,Yonkers,1-452-030-9422,F,6.0,TX,iaredfitksemljadttzmhnrhchorrewfpcatyvjqwaeunqvatgcyatyfiabounozzp,United States of America,329.0,U,87.0,2453031.0
Yxevhn,PEI11693,D,223669.0,Yhiwghfqhrfptxlkaupseqswamdfvpipmctmrgvllvvqpsnsbmlv,L-3 Communications,4.0,F,ftpszhtwyddfpref,PEIIOEYNCDDMSKBQDEJW,0.0,Escondido,1-442-354-3443,,9.0,OR,Grwzedacxjcjzdicdmnoqfadjcincredijnbdtbbxibfufmojudi,United States of America,423.0,R,49.0,207536.0
ereqbtx,RBT11694,U,473319.0,Mwgmvkcgqltyvd,Lowe's,2.0,,LTQEKHKLFGQUEEKLUGBHZUOQAGHSH,RBTNPGXNYUUYIVPIVV,1.0,Vallejo,1-098-984-1794,,6.0,Alberta,KGLVKPAHXKOPQGHHCYNTADXCQLVHUMQPMJXBUVTWHXJSINZKAITTRZCPK,,607.0,O,58.0,206639.0
Hahbba,Yka11695,D,100209.0,mzlylvnmjdavszmcwclkbdjyjksmrayiw,Visa,1.0,t,UJMIUVSAVRVHMHEWTNFWGHVTPVSJ,Ykakquplmhqtqgsp,3.0,Santa Rosa,1-794-059-4223,,7.0,Prince Edward Island,TYAVXYLTRMTROYQLOXBSNISEBCTFZLAXTHGDZMCIDRRAKOGDOQBDOCJL,United States of America,606.0,O,28.0,2985447.0
hcerut,WNT11696,M,319306.0,jmsufcgsuzbkruilzvvhlgsehayblqplbwppnuhkwxvbluporpgucxaiehysbhrfxqompazp,Occidental Petroleum,3.0,,Ubflbmhakslupfqo,WNTSCZXSGPLOVHYSZJTSFRET,4.0,Corpus Christi,,,6.0,SC,QGINHHVVHPNYOOPWOXHXFCRTOF,United States of America,594.0,O,55.0,2053374.0
Cowzlf,ywr11697,D,8973.0,Kvyqlqllprccegvoo,O'Reilly Automotive,5.0,E,Wlldjbisephyunjeyhsvlnzlmm,ywrrxbf,,Dayton,1-654-654-7304,,0.0,LA,Hxsrvfwntamidzccgxiazborm,United States of America,357.0,R,65.0,1408481.0
