prospect_mddlntl,prospect_ntwrth,prospect_mplr,prospect_ddrssln1,prospect_phn,prospect_cntr,prospect_crdtrtng,prospect_ddrssln2,prospect_pstlcd,prospect_lstnm,prospect_ncm,prospect_stt,prospect_wnrrntflg,prospect_ct,prospect_mrtlstts,prospect_nmbrcrs,prospect_g,prospect_gndr,prospect_frstnm,prospect_gncd,prospect_nmbrchldrn,prospect_nmbrcrdtcrds
,416017.0,Cognizant Technology Solutions,Aeldvdfzmyqjalusetzlqcvon,1-798-298-0546,Canada,348.0,TCBAROELZVSBYGDLFEYJOKPDAOYINNEYKNNSTYIHSJ,Uepeox,QMBNSJLGRBKAALVPAJWCNDWBQHV,121748.0,WY,O,Mesa,D,,61.0,m,Atqmwymdxehmigaqvesj,QMB11856,5.0,4.0
,2674229.0,Asbury Automotive Group,palgjhcpgdvpbtvinuqpgrwxirbmdwxxcmvlkchnkkcr,1-412-267-0315,,737.0,INLKUVDFZKAZMJFGUPOUHYWLVZIIECUQUECACEMPUTNANDXNPGKKVBGHXOOVHGFRQEJVXBCG,Eirezeuarxp,NYCVJQETWP,290504.0,NV,O,Columbia,U,4.0,66.0,m,VRINTOXXXZAMLOTJGPVYPGYRZBS,NYC11857,3.0,0.0
F,124118.0,,DLMFYFEBJUHAYZOGVQDLVZMVAAPVBIDEGNMLLCIBHYENGXEVYLJUQFFNIXWBUNNLNTENDKHCVVFV,1-039-284-4737,Canada,775.0,vefbhudkbdlvun,Buegtcgfbg,TETCXZEGAKUTIJTYLRLDMFYKNQH,,VT,O,Durham,M,3.0,33.0,,Iqoqfc,TET11858,4.0,7.0
,3370188.0,Dean Foods,kexpiscimbotducermdhgdbrawfkynuhijtlhhceitntldvxpnbjykgqordhycaobzmkcdxnvpjcf,1-951-791-8170,United States of America,713.0,Jpyxcfppyjbcjeibcutmselhtknstcnjedocaguhvtnbokjmqcxwixxifycchcq,xpxuyqve,Sefdpknkckohsqsymluwddtqqnm,99217.0,MN,O,Seattle,U,1.0,94.0,f,VXDCB,Sef11859,0.0,
,1483908.0,Chubb,VIUTCYJOSCKEWPXARHUVZKQJAMOSOTRPPJYQENMKOPMPMJOACGEJZGXSLJZQGOYQLLP,1-725-958-3148,United States of America,568.0,Huhvclreonpnctpewjveluzyptlvewcgnslppaq,Urgsdkocniws,gxcnxmdvubekmyz,410806.0,PA,O,Beaumont,S,0.0,96.0,m,Xccvonztsmkfpyikpiqkdyuaacovgh,gxc11860,4.0,
Z,3944436.0,Huntsman,Cggsjsmtcsecjfqhzofonayzlxxepabd,1-990-291-3645,United States of America,478.0,,xqdkxra,Rcqowcdaotydamnin,235288.0,AR,O,Palmdale,,5.0,19.0,M,Avcrqkbns,Rcq11861,0.0,10.0
,683419.0,Textron,UAJQLCMSWFKMOYQOWVWJDCVQP,1-345-215-5664,United States of America,472.0,Nafxfpjeotdqvgiwurlflcdrdqxtiybptyaulrozizrgrktgpilqffewvceimnrwocfawycusuwrdol,Qdntrhy,JRSOPURVIEF,204565.0,GA,O,Costa Mesa,M,1.0,31.0,M,Yolineilkcdgpraalobalt,JRS11862,1.0,4.0
,3752436.0,Nacco Industries,XRACAXWROETCHXGULQSKTYIGZ,1-170-375-0404,United States of America,638.0,Ggfqhleztcgugwlefordydcjcgzhvdgcutgriqvgqpbfyowdwzzdwthhhsxmzoiglgreupleewsu,Nyudjmqet,gngacrjwmwjekfqliimxngcvzk,416378.0,ME,O,Torrance,M,2.0,91.0,,cappwrbjzoeujf,gng11863,,9.0
,3811148.0,Circuit City Stores,Bipdwdemuwlkbdvvdttlpjbmxdofuhkarlupkxqwazfuugltvujhuixegpli,1-457-612-2094,United States of America,317.0,Ykdwulkaduwvbadueeyurejr,Otgerheeqgo,Hpleek,169207.0,VA,O,Lubbock,M,,,,GHDVMSFCNMTNPJHQWTCXPJFARCQTEP,Hpl11864,,8.0
,2622125.0,Guess,xfymihxmkfozwgqjbozroeoumyqmtup,1-155-359-3880,United States of America,805.0,WNSEATQSTZYCZTMHAIJVXXQNG,Nqkfo,Nbvpddjyujfvifiaqxp,470903.0,MT,O,Glendale,S,5.0,3.0,F,GZPFMSGTTWA,Nbv11865,3.0,5.0
L,2108308.0,CenterPoint Energy,edltpbqgdazrcupiydcmqxuboqjvegugjpbohepgmwrohhjadqzrofysuhxdbst,,Canada,549.0,SYPPDESAVRMZBKSLMPMILXJTJQCZAXMOEAWUAIKIRVYLPZXKGTFIIOQXSKO,Uioplkyorz,Amtncdwhohysjuezl,223682.0,MI,O,Alexandria,M,0.0,21.0,F,NWACGSSBGVRLAO,Amt11866,5.0,8.0
O,3588182.0,Motorola,Lfxrobndwofvwpwqdatsjeuhsi,,United States of America,509.0,Epkosdlztxaiyemkneavgnxaeonlapequwftoxtzjvangxtjvszrnklspuc,Cnaltebmqcmv,WBASBLQFRPQEAJUKYADJUKBLT,136570.0,KY,U,New Orleans,M,0.0,33.0,m,fltwppdjaumjwgadsuntdnbtst,WBA11867,1.0,9.0
,2828088.0,Zale,cpgzbepqakpezwokupduriudnbnvxjgcinbvibmhupicoyhjeeeudbthpyvhqmnbtfbw,1-115-940-3602,United States of America,818.0,vppajapcdklacignsgcilorjqhkodqwivtpijmjdwskfqxvtrawhlpclzgjndmrfjds,ONREJNL,muqqeotytvbztgjlkpiphgkwclsls,461922.0,HI,O,San Bernardino,M,5.0,54.0,,NHWJFJCUVXCTZVW,muq11868,1.0,8.0
,3011243.0,Rowan Cos.,Kcfogp,1-328-539-1087,Canada,706.0,Armoujyetoczxbxyvxrulbmuvvkbehhpocr,OACTBNCTWBYS,zhzuclsswmskslzxlcjljrojup,53883.0,OR,O,Tallahassee,U,1.0,9.0,,bvzguvdleddvncfgehmdctpiwgvlhl,zhz11869,3.0,5.0
,2920332.0,CMS Energy,OUPPMBCTDQEIPTMOMSAAGGXDQAWBBTRAYBDTKYWLHQBDVUTAKTVMZPDJ,1-761-955-1430,Canada,837.0,Illipvvynexcrtuauetlzfwxjfiuszimmwmelk,,Jdgicpvhkzajynkqncbwbnhrwl,264226.0,SC,O,Irving,W,5.0,80.0,f,QJLJQMOFVVREJWDVICGLOTCXW,Jdg11870,3.0,6.0
,3478166.0,Bio-Rad Laboratories,Znobxjidqbofgzimqlh,1-246-348-9582,United States of America,395.0,CFGQAPKFWTYAJPOQXEJEPAXOQRXQUPCE,sycwhwopom,Wkmjeatjlhslfipgregvsjtkrivd,300137.0,SC,O,Corpus Christi,S,0.0,82.0,f,Aeidwhatcicdbuznjumlsfh,Wkm11871,4.0,8.0
W,1117313.0,Sanderson Farms,PSQELTFQIDMAQWYXSOLSMCEJBVQFWUTLRTGPEXZEWQKJQBMCZORUGFQZL,1-745-767-0916,United States of America,402.0,gpfdzblwabbtzanohunwebeqhnainpxzidvtmooeimpvyeinwhecgigzbkfdklaolmpqdkudk,,UAJIZTFTKJTFBMJC,491463.0,SD,O,Independence,M,2.0,81.0,F,QJWROBIANTBHTIGVPNV,UAJ11872,3.0,9.0
O,1885720.0,International Assets Holding,vknvmxuiuabiqbuaywdfhzasnjvchgibxywgazjqyphmpnqxvxeglg,1-756-670-5350,United States of America,412.0,GEQFIIUGB,pitjwvgafqil,Wddbrftnoulmfvppnpnjlctayuzw,197578.0,AR,O,Livonia,M,0.0,,,QRTLZAXHTKROCPOQYDPKXMB,Wdd11873,4.0,
N,3759643.0,Henry Schein,kwpomvhtrfrsabfwjfhhesq,1-744-691-4055,United States of America,407.0,IOYKWJORJJGDPG,ZEXLGZIDJ,Bxiqydrxsfohrfek,48106.0,DE,U,Sandy,W,0.0,93.0,,vdrwpleumfphsfbjtuqk,Bxi11874,,7.0
,3305929.0,Ashland,Xwidpvulaywnmgnmtyxuxwvvugmltgahxldtdksxuba,1-157-998-1405,United States of America,708.0,Fsnsxxrftbnrfnlkozcjhljqcvvfecfiitensasgvlpkaosrcdwssgkdxliljsihg,Exiwu,bipxywqcerdaiu,79468.0,IL,O,Vancouver,S,3.0,,F,WXNCGPCCGHQBCGLLLWKU,bip11875,0.0,9.0
e,55092.0,DRS Technologies,syryaohntxwvjpyptvotjbikycupm,1-233-553-4423,United States of America,469.0,koopbfieleemahwcixxjbigstjwrsxcxjtcjjidatiq,ULRJQSMVX,Uvtivhevduorkdppurceerknstrp,179564.0,Saskatchewan,O,Billings,M,4.0,51.0,,fpjtznd,Uvt11876,1.0,9.0
x,1663345.0,Brunswick,aislfvinhnbahylyggrlxgcprolfweqvgtbxbcwnbmxtiallywyhwzjivgqjjvxujw,1-504-669-0578,United States of America,368.0,Jimvqdahppoftidzdmtywttdstendzkchezojwomttrvieafjkueilvwowe,Qdgkqtmq,Bzfyqnbocy,84431.0,AZ,O,Oxnard,U,1.0,10.0,,ipqthksmvljftliwkxahplfpxrx,Bzf11877,0.0,4.0
q,2164759.0,Sonic Automotive,Wdziwkljnvsmcnhnvsvhvqzjvauxcnlatewmyvrwylgnbsdae,1-775-929-4479,United States of America,818.0,Yknxoyzwubkhawrzuyfrjthhvdwglgzxundhsseotevkoatqluhta,doptg,Smqknisagevcjciaibmgmvm,198031.0,TN,O,Milwaukee,U,1.0,66.0,,YOXHURTNGLIGZLSDYMITONCRE,Smq11878,3.0,1.0
,3751899.0,Mutual of America Life,Xmlrberanrwlbrdrmzpwodiyxnofsnrfboiieasuqhkjpldbqdoizykfxeudmbd,1-546-397-4773,United States of America,734.0,cxptuulhbqmbmclapapqkkrhpvezkdvdshoiqujmhijcjswcahhmsppsp,YMIPETADSBL,WFRHNQPHXRQYRB,211503.0,NC,O,Colorado Springs,M,1.0,89.0,m,zxntkmllufjftzmptgglvbcxdpxe,WFR11879,3.0,6.0
,3059023.0,Boeing,FIDXWJPWAJFMHSHTFKFATOOPKJWMAGWMRGOYQXVHAIDSJRHAOTDQBIJ,1-386-120-9466,Canada,694.0,Oiweuavgvnkonabnwpkjtpvsgeqcwnqcuwcandoktkmqrodqgahbosx,Xlridqwfdpfz,qxhzqa,283419.0,Newfoundland,R,Shreveport,M,4.0,90.0,,Jbgkkiinzryslgyspkrzjvpuwf,qxh11880,0.0,10.0
,1514950.0,Wyeth,MYOPNPFATSFFSDCJYUZESJDVSULHNELMOG,1-561-218-1599,United States of America,751.0,Ipoolekqwxazexsdbzoxqjiwuejfpguuufdzbvtlwdbuixteleyuuigqknie,Okfaydkue,Ztnnquu,442434.0,KY,O,Biloxi,U,4.0,25.0,,CZDPFIZNVOYKQXAR,Ztn11881,5.0,8.0
,723215.0,Harley-Davidson,Xhzklvrdiutozsvvcvgtmp,,United States of America,472.0,dcubkxeauvssygwvdsolqxccmthntcasdwtwnzkljlbt,bfablbwhtg,Stjnmjedtetqstrzfxzcieoxjiw,450094.0,Quebec,O,Ann Arbor,U,0.0,57.0,f,DUEVFIZOQ,Stj11882,5.0,8.0
D,2958937.0,Kansas City Southern,Zommflmlnkkpeapnwjaaqpgdjytqrfluhbcyxndhehmravllgyrlskcmz,1-655-397-7448,United States of America,390.0,Ggpcjvvibtgyewemoodlnhxnckmctxfjbfmvwgvmkwnpwthnucvpppcggbxafwdgx,Hgwsjn,Xaoupgaqv,19525.0,TX,O,Paterson,S,5.0,84.0,,nucjykpqrzkxuggwdcehncdcmq,Xao11883,3.0,5.0
B,2793897.0,Beckman Coulter,rrdhfcvxxgbnmejppdaprcipgbbyzawdawxuvalhsnrkdytfrkescgjicehsaksifuhuliimgehsu,1-494-144-2665,Canada,447.0,qkornikvnaoyylahxmtvlsqzuurlhb,fenfhxc,Lkxte,57522.0,Newfoundland,O,San Francisco,U,2.0,44.0,F,Hzboycarrkbtrymij,Lkx11884,0.0,1.0
,1298425.0,ServiceMaster,Zwzvcwth,1-501-912-7505,United States of America,540.0,Tfufpfvtxlqadqjfiwgbfqqxfirnabj,Ccnpfxlwi,Pvyiiy,88927.0,VA,R,Regina,U,0.0,46.0,,gstnytf,Pvy11885,1.0,7.0
,476940.0,NuStar Energy,uubietrqqwtvxrlorjqhcwmlqlklrricxi,1-485-729-8431,United States of America,845.0,Mcqgkiqwhpwihndqhdmjwdxpzaksazjlkf,qkleyu,HXEBSWMVBEX,7326.0,CO,O,Vancouver,M,4.0,65.0,,FIXEOQBRDXVWVTRCYJKSEBC,HXE11886,4.0,1.0
O,1154007.0,BMC Software,,1-573-227-9066,United States of America,,IHNAOMHGFXEXPUWG,avztfamkdwte,vbwqzjgzmorsrbkn,93734.0,Manitoba,O,Dallas,U,1.0,23.0,f,mfqjwerqpu,vbw11887,3.0,9.0
V,2652182.0,Enbridge Energy Partners,NJZFPJJARZPWDYJRAWZXQVXOGEFHIRQNZUARGY,1-067-370-8300,,669.0,Mtrxpcozezmarsmmbrahcxaitcvdmzwdmxatgflvw,Lamdlkfpti,HAGYZFPCUQNSRHIBLGTVXOJ,336477.0,New Brunswick,O,Tucson,M,2.0,7.0,m,qytidunjenlh,HAG11888,2.0,9.0
,3905255.0,Iasis Healthcare,Useouxkejgvf,,United States of America,355.0,MQAHUTRWSKOCVJUPEUXROCGGZMRNANQJHLJKTFFKOTIRNGHDILPIJENFGSMWJYCBLQGYKRJAQHG,FOBLNUKFKUPW,KWQSN,446159.0,ND,O,Oshawa,M,5.0,,m,Stgnyrudjfkmlyrkvpcfifmonfuq,KWQ11889,5.0,3.0
,,Darden Restaurants,Dlpqpcgdjefxkocqcyhdahedrhljyyknklvwmmrrttdtwwmmmslckcpjijvnzeyznnivmc,1-872-820-8056,United States of America,535.0,Ikgotlenljrlcjuzrvyyssdakqnqnrbpjsmthohnigcjyznfivwzm,Jvhhnpqdempo,VCTTHPQWFFMEOLNWRUZLUYVPY,354442.0,NH,U,Washington,M,3.0,22.0,f,islsvowwmzywfkolfqmwzbmsmhgf,VCT11890,3.0,2.0
,3663683.0,Owens Corning,qvtaivkjzlggltfaxkegmgonjifmbziigjsf,1-454-243-2351,United States of America,436.0,Vpymhbsgqtacujtfypqsczoicxvwoxkxrpsqmfclmvyzkoifigsbbksqnhbnvgwa,ophsu,pvzprbaswlaftwxkdaowtoitkyc,82027.0,CO,O,Buffalo,M,4.0,7.0,M,zovejvxaykhmfjsmjejim,pvz11891,5.0,0.0
D,2078158.0,Liberty Global,bdjkqbnfietxodbbobucdwqiuojevlrdds,1-339-511-4956,United States of America,,ZLQYDSSNMBDHVFVPHSRYUZGVIPQQUSWOKMDFYWGNSBTEMEAKACRHSLNZAUNOGWCTPMLPCOREWOPN,sgumsunwxfvu,Durhxehlrzjeqrtcvrbjafax,3821.0,UT,O,Scottsdale,U,2.0,70.0,F,TUWRXZ,Dur11892,3.0,10.0
,3185050.0,Sprint Nextel,Wqnhixnsxqmignoakhenvhvifiqtriauzjwrfumoofephmitpgcaxbajvxtfggx,1-696-554-9871,United States of America,,xknpgnmvmexigrmtvrjvhztmcqjatxykjzsfsvcrvuunp,Klnzwwevu,Kuzebn,262943.0,ID,U,Fullerton,S,0.0,93.0,M,Tyhkmerlfncdfroz,Kuz11893,2.0,5.0
s,2361705.0,Paychex,tscfoeqqaqivmuvconiiatgnaxepqvbttjjydyfyjysuaubekgqbypoqqtyxvsemxjsvynzwulvsm,1-433-672-5443,United States of America,579.0,HISFMPKAPZZTOUTXIIBTJDJMMMPMKREAPYUQLLGHVWYDH,Bpxypzyf,Pqxaqnvnrnmazytzukotv,7588.0,DE,O,Newport News,D,3.0,,F,Rfvbekuioryrblsfxlve,Pqx11894,4.0,9.0
,2052540.0,Old Republic International,hdmiigykbtjnlzwzrzrfrfavx,1-647-642-4612,United States of America,435.0,UYTTYGMILGUQBUSMWIFQWCJBJCNY,SEPBBGNZ,Uvwrufvo,83898.0,NE,U,Augusta,S,0.0,50.0,M,Pcgfbhqokqmlzqpirr,Uvw11895,2.0,3.0
,839477.0,International Game Technology,ffvmqvlbgxyjevauldwfxbehguusshvqpznvxebriubdgsxiuezxbbxlumtqtkrmejgufk,1-066-074-1596,United States of America,740.0,FGAWIRCMJQAOMOYUKQV,,Uzhhc,12934.0,VA,R,Mesa,,5.0,93.0,,Fclufpqziglydrttwscfzqc,Uzh11896,4.0,3.0
,2822991.0,Dow Chemical,Jfwdmnzgeeolcczujqtrytxafkbsipbuybnciwvzcjujpoyjgxnlowxptfxgnruxhctddowxpvfh,1-754-127-5459,United States of America,,,HTFUDPWX,NGNUTUPQQWBMKCPRVZTNT,,FL,R,Allentown,M,5.0,63.0,,Qezlcsva,NGN11897,5.0,5.0
,,,tedhpwmkkvwlzfjlcbwebgysduytlkjtkfmpnoalqdijcyewnprba,1-557-820-7052,United States of America,766.0,tnfuujhtxplurjdimbmvagoxwvpnoqddvqiepjdqjcbghkcfwdskposkdkmfyanyuwzlpfijfypep,ipqdpoasuqj,faaxbruxjfxxchmvfllrvxvm,162501.0,WY,O,Washington,W,2.0,92.0,M,fjpauu,faa11898,2.0,7.0
J,1689417.0,Metals USA Holdings,hhdvamhpbimaxqmmuoeqniilaivhpgwtia,1-684-628-3082,United States of America,435.0,gnuwtzyjfurwnxybxhpirgansevzspqvuevlxiisccxgobrgzpomenjgzacphkwghmwlaoahuljntn,cqmhkfh,xslxdqaczlkamwijspyh,15057.0,TN,O,Rancho Cucamonga,M,4.0,43.0,,Agiewzdf,xsl11899,0.0,4.0
,369098.0,Thomas & Betts,CRKWFNCDNBIGCLQTHRBTVNAPDWBLNKDNYROOYNSPHYAEHUGBIBQFHS,1-793-266-1869,United States of America,379.0,SOKIS,Civttbwxhpsm,ipquiym,106454.0,WA,R,Lakewood,M,5.0,88.0,m,hqtgliajedakwxgqdedjf,ipq11900,1.0,3.0
,2113666.0,Fidelity National Financial,OSPXROBKEEBMCOMCKBQVAHAURUIAWBTLEBPHEGGBOFHNMEVHVWARYLJYFHVXVXLFMDTVEHEYJGCDEL,1-551-670-1701,United States of America,588.0,Rhcsvnbjnxugphzcowrcumyvomxmotsnuruvqluyzdlptekniotxlluvkwdrh,yyrnctjth,Mbsmhsmydglhcxawusjtjgmwgihf,6236.0,Alberta,,Frederick,D,5.0,23.0,,Ykzel,Mbs11901,3.0,10.0
,972042.0,Peter Kiewit Sons',vpgzvxbolewgezvnitvkgltokqthudxpetrflvurboiderqowefacjlxysyomxykkrcljvievhdpflkc,1-526-560-5373,United States of America,369.0,Cvfvmxrtyaontipnymczgjovjqdwyemotvfiuzssghcesegakerbqnxkpajiawqnkcjdxsjfhklz,ZFFRGYDOZ,WRMUBHUHNLJCF,131104.0,OH,O,San Diego,M,4.0,64.0,M,aiczfqvvvhqmdtensqivwnffge,WRM11902,,1.0
,1281534.0,Atmos Energy,npmkubaduxpjgyiegkodaiyixlmbatafvrdtlrncinrxqpunuxopeiapcjhdkrvqtzywjnvq,1-781-917-6705,United States of America,792.0,Lhxaugqqkirkchkllnfqhcecqwluvoafhtqhrifxcplngmrrnmnqljmwuxdvomrvpvs,Jqgkp,whspucwkhjlwkdvpbwz,177396.0,KS,U,San Jose,M,,,M,tppkmzzaoslabwlyzjkiqt,whs11903,2.0,2.0
T,1160425.0,Bucyrus International,SXUOSKGIURARFHCATOT,1-245-173-5651,United States of America,378.0,Smnaaaakbhbgqcf,Wmclfspuh,rpsmujbifzexmcllguxhorirklnqn,116131.0,WI,O,Yellow Knife,M,3.0,11.0,m,Jgharfmjuatlollorv,rps11904,2.0,0.0
,1853817.0,SLM,ITYLPJEJYCRNIPHNVIRFBBGYWUZJATTMUTRRLXZWZIIUAIKMSMKJAKHIOKI,,United States of America,807.0,,svwstgmngjnk,Shcdhutlvedx,288494.0,NM,R,Richmond,M,4.0,77.0,M,ebmevehtttysoqdktinvefrzb,Shc11905,4.0,10.0
,1206875.0,Ashland,,1-694-862-5100,United States of America,713.0,yhltdoztxpqrrgokqttnvbrxfyjdkyljqidjednszfvlgxgdm,cscplcmcxm,LVMXHQTZGUSTDOLEPAZNHCIDTPRXGU,339540.0,IN,O,Halifax,U,1.0,,,HTXYUDRHZRSCASMZRNKDIIHFSFEQ,LVM11906,4.0,10.0
W,1297233.0,JohnsonDiversey,Lxfwfxgfnalxdv,1-927-581-0162,United States of America,774.0,Uymxkaandhxikatpgwmbghmji,NNZYTKBS,Vpfcuziekjoj,389579.0,UT,O,Corpus Christi,M,0.0,9.0,M,Hafbmjqsfiqwrxcvbosjqylga,Vpf11907,0.0,5.0
,,Berkshire Hathaway,OAPPJ,1-261-637-6277,United States of America,564.0,csgfxfqwpgigdvtxeysxpqejxfznjvcogzoqgq,kpgzvjs,Vlgmthhnevajzibqkjmzfzdiiebac,228037.0,MI,O,Providence,M,1.0,79.0,F,Rfqszthraqxsepdozfclmwbqouta,Vlg11908,5.0,9.0
j,3683447.0,Republic Services,,1-711-043-6288,United States of America,813.0,oyaiqgjelentvzcmdwcjymvypqtnpjticsnlrhxpaqhlcyljqljczjhrrukcmbgzfmxkjydqsnpgigx,VLXTYU,ypuzmpwlianxblogzafgnttmia,195367.0,NJ,U,Iqaluit,M,4.0,78.0,,WIKCVJKDTLTSRJADENBA,ypu11909,2.0,2.0
G,3232198.0,Hanover Insurance Group,Fprlkitodvnrcadfxtcvrovgqlkmxrwg,1-055-860-3838,,475.0,PBBNEVAJNOLEUNQCSHECORHGJJFEDTSTCWIDYSHVVXURGYYTSTHEYPRBHGVHZJNNI,Khltz,Ahajzcqko,276301.0,MD,,New Haven,W,0.0,,O,bfuuxtizkvkiwuufbewhlxapofp,Aha11910,1.0,9.0
,1379053.0,Lear,,1-325-026-4794,United States of America,445.0,eikgotsbxxlqhyfdtfkjruqppgj,Etcss,Otdbqpckrzylizeqhubdnn,409570.0,ND,O,Naperville,D,0.0,79.0,C,xfiryppuay,Otd11911,3.0,4.0
,294440.0,Leggett & Platt,,1-808-513-3250,United States of America,317.0,Abzbzhhbagwcydlsstqnuhnxlvdmcnpimjkp,jmibhngkmh,bjvkyiaenndjgpehswaxpaayi,443096.0,LA,O,El Paso,U,4.0,60.0,f,Swzsdjntfebvdb,bjv11912,3.0,6.0
F,98357.0,Medco Health Solutions,LOHWABSOSNQEJXAFOMUUNUGPUMCPQLYWIXVRATZXBFKYSDOIKENZLENRUJFWNCFQX,1-870-303-4058,Canada,422.0,gvchiyxbqcctsookesod,qhuhjd,SBULVTSQC,137916.0,MT,O,Windsor,S,2.0,24.0,f,Ythmamocppuxewoisbsmqc,SBU11913,1.0,2.0
,896095.0,J.M. Smucker,TJVMHTWVOQQXWOJBMQNAWYKVZTTZKHUTYOEILFWHIGWBWMZDHGOHADWKKYQ,1-927-677-6591,Canada,428.0,,Tvyodc,peyxfzegodlxolrcjifftks,494778.0,MO,R,Cheyenne,M,0.0,54.0,,ixiexcrekfhi,pey11914,1.0,1.0
,3803006.0,Solo Cup,WUPFTMIBHDGYXDPGYZXQJGX,1-461-342-3128,Canada,677.0,,Xcnppp,Tasdgoehichieepu,80202.0,IA,R,Mount Pearl,M,5.0,49.0,,Hitftrkanefexbihxpecklgkcwgn,Tas11915,3.0,7.0
,3769940.0,Ametek,,1-797-094-6953,United States of America,847.0,Crjgguxqbenewazndzavlmtysgbbwqmiy,Xdhxe,Fokzudzu,467498.0,WA,O,Tempe,M,0.0,24.0,,Dekire,Fok11916,2.0,7.0
,1037381.0,Apollo Group,Exeaqjnonpqvsnguufunufqvddfppzibgkkbcpw,1-773-364-4636,United States of America,728.0,Twjthbs,EQEZHJLD,mavxgvvzjprpg,221374.0,IN,U,Winnipeg,,,20.0,f,Tfsgsewsgqhrum,mav11917,1.0,
,3645846.0,Mutual Life Insurance,jokozrhyjxqqfv,1-186-478-7955,United States of America,565.0,Ivzpjbpomwbmnknmcxwcjikknsothpttkswenccdgsqnqdyhtuqdlfgsztvaytqcghlfnmevzcrz,Ynfkdw,kxiyttrpjtffkgxrjqzbk,427965.0,IA,U,Oshawa,W,3.0,27.0,,yteukcpbvabdeanrpvsgdcbrleao,kxi11918,2.0,3.0
M,3621886.0,Regal Entertainment Group,PXJXCGCCZNQAZVHELJHMKSXAGOHTAULZDJOOQWDOJXCDXZDICKXGIEXNHD,1-644-277-0293,,644.0,wjpakdyph,JASHXWWQWS,qqrqxowzrvwnezzhoyaelinm,319507.0,AZ,R,Portland,M,0.0,51.0,f,Aepxdpshzmzysppzpatcqpzpwazkf,qqr11919,5.0,7.0
,2596790.0,Merrill Lynch,mlzvcgikccmslhphtckjviojsgjifijvgymhsyioecrzifbdzkxwoxxgujastjmvpj,1-397-629-3245,United States of America,675.0,Wvtfafiipdzekotretvmrbrmoybuomtjtklfuhsmbyvppjqaavioujhezhftwmh,Djddrn,Htdrdozoqaxc,357871.0,VT,,Ann Arbor,M,5.0,46.0,m,Ydlmx,Htd11920,2.0,8.0
,558283.0,Safeway,mdhlvwwtnchrfvvoox,1-061-209-5893,Canada,374.0,Jxiubeokigxecnnbvhgnurqqibvxzafeldmnuvcsemvnurgoqwrajnfnkgjh,ghjugghou,Laledbrrrp,456664.0,CO,O,Biloxi,M,4.0,45.0,,Amtwxbprvsqnmdfkhn,Lal11921,3.0,6.0
J,2254531.0,,Yamrdppxlauffewczrhjxwffqsbguagbpxmjesvhnoxt,1-124-494-6580,Canada,750.0,SXUQWSTLKSGXTYYILLQHGJNMKORBEXGYHPFBPGJGGLOMFPSSNEVJJL,Nuickil,qbqfwmsarhdpdruimdofqb,382585.0,MT,R,St. Catharines,S,5.0,100.0,,IGJQQXYEQAIBCINQZ,qbq11922,2.0,5.0
,830541.0,NetApp,YCKJKHKATJVHZNVFIFHLASETPWXWDNUIVDDGRIMGIPM,1-662-090-1749,United States of America,801.0,Atfapgewhcwjtqdpqhktutqjlqrhlzsmggecorwwxuynubvfzkxtwxaxdyvvdelliqrj,Snwylbjwhlh,Pztyqnxbimnxgbogvkfdcvsuxve,263668.0,NJ,R,Huntington Beach,M,0.0,,m,YQFWKPLX,Pzt11923,4.0,1.0
H,945684.0,Comerica,sasnxqevefeunjhqhsmwojtrvxatcnkcwcicubaorvxrqsxlslhuaggruoymxhfrwc,1-086-168-0873,United States of America,684.0,nrvolhvhzcummhimgfmkwljqacqccdhrklaxfsliqkxpnyuzjfgtph,Vyhfn,bjubckzkbfkx,,CA,O,Iqaluit,M,2.0,96.0,F,Vnipgbbjtx,bju11924,0.0,8.0
I,3112934.0,Polaris Industries,Zydxcjlfbdyktwc,1-872-268-2389,,727.0,Zrlnlesrsbkeojvlrgeorwlqhvxphikqjbddglbgsupg,henfntozslho,DXFXCDMGEQTXFWKD,60258.0,MN,,Hilo,D,5.0,41.0,f,idtxpaarzmvnbebzkmrtzkang,DXF11925,5.0,2.0
,643280.0,,ntbzelkqcjupullinvflivamoseletnyryncojxlfgtgurpqkajntwnsaiwdmfhczrugwedzgkqdl,1-253-647-9495,United States of America,514.0,MWSFALLTWTADQSEZZCIAVBORVEAWM,,IUXAGUICDIADLKEGMYTWABKW,262566.0,WV,O,Cleveland,M,2.0,60.0,m,Cjogke,IUX11926,5.0,0.0
,3325885.0,Expeditors International,Noieelnnombtfsajswhbcqwokyetugzrjhridqhbonylrxentrkkftzygesijjlrjauigsrveu,1-581-567-2728,Canada,459.0,gnuagyfbhq,Jvecjvkjuon,LWMJOOSIOVSWCEP,488381.0,NV,R,Livonia,M,5.0,81.0,,TALTWEHQWD,LWM11927,4.0,6.0
,2689980.0,Brookdale Senior Living,Eevxqbkhtmllgbgppekwqkelwmnhqqgulpjweqijcbkifriqjr,1-134-376-8891,United States of America,674.0,Suiucaprngdmghkggoijdmoudticpzuoqxubtpiwlsdmriiwladswv,exmizbzbruo,nptddecygojdqjkwqxkftulgkrz,472161.0,WA,O,Riverside,D,1.0,91.0,f,Oojdynyxwdcdwtbfvu,npt11928,2.0,8.0
