pstlcd,ddrssln2,frstnm,ncm,nmbrchldrn,ntwrth,gndr,wnrrntflg,cntr,crdtrtng,ddrssln1,nmbrcrs,g,mrtlstts,nmbrcrdtcrds,ct,mddlntl,gncd,stt,lstnm,phn,mplr
Bjjlbbdjrjv,iswacwaqawwnnncxxumdfmdzrspyrdqyewgxypsujilmjjghwyqhn,Sxlhtuvqzx,71615.0,1.0,644793.0,,O,United States of America,,IZNLNBRULGIWUMGTM,3.0,,U,1.0,Lancaster,,Olk10198,MS,Olkvciqupeh,1-391-445-0964,Curtiss-Wright
QMWZHBFJ,XRJTAWZWMKIEZKRCAXYKQLXFFQSJFDRDPFTUNFBXIXIITRZAQKGUNYAADIVNGCGCRKDOCEY,Tzntgagyktzqmnsxmfpftsd,99302.0,5.0,3756827.0,m,O,,396.0,wgxpyercikthryebmvcltwzdvctpglyejh,2.0,54.0,W,3.0,Rancho Cucamonga,,UAS10199,OR,UASKGTURLANZBD,1-367-707-2825,PPL
EWXME,Obfcusdijtxorgdvrogttfixaixcrxllfnqxxqjvjkarcayw,XCKBSPUHWMFHWFPRHLROXREMEAO,251984.0,5.0,1364726.0,,O,United States of America,357.0,Hogbtzrlxmqgtwsjpqissfibpzprptjjxonkgafgoyfkifv,2.0,12.0,D,10.0,St. Catharines,l,ilx10200,AR,ilxsrmxgms,1-199-191-3144,E.W. Scripps
Jarkldaoio,kjakvagvsfqhfmfjpjazeesvrnlcekjktexwkvvvg,Ylukbssgpgrjxhgmcm,395211.0,3.0,3227799.0,m,O,United States of America,698.0,Piixdmkqcyhrlmwkxkatpeditylfrnpxrgy,3.0,83.0,M,3.0,Santa Clara,,IRH10201,British Columbia,IRHAIKVWATOZILFZCNHPFRDOYYQEXV,1-551-963-0150,Peter Kiewit Sons'
Bovhno,OMONHADSBI,Knittgvcx,198933.0,4.0,1287470.0,,R,United States of America,455.0,Jitadyvlqcm,4.0,43.0,W,8.0,Baton Rouge,,Jtx10202,Saskatchewan,Jtxkkyuecgxkxhiudrsjygyacbpbku,1-849-529-8512,Bon-Ton Stores
aibbhmahfa,WOBDAXMJBWFCJICZGNFHSLIVJZXISMCMQCOT,ZTHGGNODVFRKHAHAQSUM,284462.0,2.0,1303967.0,M,R,United States of America,551.0,Nlefjwcwpzcqfiheojtncuaqwltv,5.0,32.0,M,5.0,Mesa,,njh10203,WI,njhyphqobnukn,1-560-642-1051,Steel Dynamics
QAUNVNZESCU,Lzlbgtqukeootjsemajjaxpfwjj,Dlfnalgporsgv,339749.0,3.0,2754663.0,,,United States of America,374.0,Gskfiuyrqipfigartdrclvfcquwepmtjnxkmnbgqaivb,4.0,90.0,M,2.0,Abilene,B,Uas10204,SD,Uaslzgrfhzjpqhlxstftjeiir,1-780-692-4864,Stryker
rbialws,,rudegqxlcfljtkdmottw,128994.0,4.0,3479037.0,f,O,United States of America,786.0,Rtpzrtqboaejfaeb,5.0,29.0,M,8.0,Oklahoma City,,uoo10205,FL,uooin,1-693-536-1979,Ameriprise Financial
NRLXXZOW,Ctjnzlckjufyqtdnqvxrevxpvwmbijxmjimqsbrfleiggltqyv,Hdbmupdtuqmtdtvdxjzdpngffc,279419.0,2.0,,,U,United States of America,704.0,agzywjvefcnrohghrfxtwdcowyfchjnulpjmmksbpqs,4.0,44.0,W,5.0,Miami,k,Wju10206,KY,Wjubbqqnozhysmknscmzhwml,1-333-017-2553,Liberty Global
Bsvuon,URKOTSVABHDNIEW,Mdvtplfhyvprikwq,256401.0,2.0,2217586.0,,R,United States of America,371.0,OXJGMIDJVRQCDKIVWEDTVYKDGTVUIKPQVDQXXEAKGGSLGEQXODIPCKUNLBDRPAFYZKVXX,3.0,,M,8.0,Kitchener,t,MJW10207,MS,MJWLSIFBQMRRLRKNNZOGC,1-137-841-9232,Tenneco
Hoeczwnz,Rssssuixlvfejlzvyncsljlnnxonxliyjmelvljztjbxryuttmjoogjckogjikd,Rbwcj,458467.0,4.0,2517242.0,M,O,United States of America,500.0,Gqdtlfffjsxslmkwztmhjidpuqquuwkobsaouefdzfcxu,0.0,59.0,M,4.0,Birmingham,,hon10208,NH,honkvxvqmpkmvktwqorrnffmci,1-072-117-6982,Oshkosh
CCNUQV,Lmjjblleeqjogjduddpcbs,pdqomfnluhjvucmlqvxeyim,342835.0,5.0,2023809.0,m,O,United States of America,498.0,txjvwpqagclohnzhfwdalutqizxaxv,3.0,19.0,M,0.0,Lewiston,,BVG10209,MO,BVGBWEDSS,1-091-369-4943,E*Trade Financial
jbkja,olqdvfkkbnqrvipknqqdyaodvmokkgzbmeeklmjevsnhewsv,Tswktlcbuo,254407.0,0.0,2828530.0,f,U,United States of America,394.0,atbbfmmvjpeeokmmtzfoqivbhmfqp,5.0,87.0,U,4.0,Windsor,,MPB10210,HI,MPBHZKFQJIEQAJB,1-789-178-4962,Phoenix
rkostnyl,Waikyouakucwcjkdulcpdmgtzah,FCOSEMGVJQBNSUTOGDUOHBTHFEID,365046.0,0.0,697489.0,,O,United States of America,493.0,Tcojeoqmjmsfwcpfyin,4.0,35.0,S,1.0,Spokane,,Xup10211,TN,Xupxauw,1-350-031-4106,EMC
jntvymjwmppx,Hzqmsmksyhjlskciqbbh,RSARDAJBWIBQQMKSTGMKMPAYTUTEYO,363919.0,5.0,1943704.0,M,O,United States of America,325.0,Upvidevbfwsmcbikqjairmywllqnbevmgkhmtxgedqijjeuplwnpkoygpgrpigl,2.0,97.0,U,5.0,Buffalo,,PIK10212,LA,PIKNSJQOKITWGOKZFPQQYOKDP,1-485-114-6547,EOG Resources
hsbptumtr,Qlhjqkzbxggtfhwptttoqbvoefgduptfwiicngxyimuezqyuzl,nosjbmkkodlng,292912.0,4.0,3577030.0,M,,,556.0,Nzcmdedbvzhgcxvfkkbox,5.0,34.0,M,0.0,Stamford,,pnx10213,VA,pnxgb,1-325-442-8359,
GHIXNC,Nagxhsplbtnwaiblbjlyosgzsavmngnkpgdksolnnohrdjorwtkvrzrbbqepmbcaallqrs,swmauemtoyqeejaetiarbnb,11403.0,5.0,2244329.0,F,O,United States of America,617.0,njsjsalwxyyjkmmyoogeypvglnqiqjjhlm,3.0,97.0,U,7.0,Des Moines,,zcp10214,British Columbia,zcprrshlidzryqoydvgkwddqucserc,1-539-478-2074,AK Steel Holding
Rsqaetosw,JQIMDGVSHNIPPGYNYHBSJBNUAH,Qjltwjrnvuu,228427.0,3.0,262316.0,,O,United States of America,507.0,Qmvnrncmqkcmxowuhlerpjtukqnipenikh,0.0,64.0,S,7.0,Tampa,,fot10215,ID,fothbcrxgnmvmrt,1-247-770-8070,Tupperware Brands
Ouxrsaoee,Tlbtztwqifwlttfurfrptsyngeldjdegwmuouynixnazgqraojssnxhhfatnyvorwjlqvag,Hchahtwt,288645.0,1.0,694599.0,,O,United States of America,521.0,SJXUSDVTVMZTVKKRIQRMUUGNPJIQYTWHAWODWODPTPDLTOPLCRUEYPEXGZGAVBABYNSQHNISIVOJKBY,0.0,55.0,M,,Salt Lake City,,twk10216,KS,twkfhohotdwpakuzscfakrvpgxofbc,1-989-550-9428,Microsoft
Xonask,Sbqtepbadqmkhfuktriqieyuiiifgpcbeh,KTZELHJFSSYXCLYMXMNO,119977.0,4.0,696957.0,,O,United States of America,465.0,Iofiawn,4.0,73.0,U,5.0,Milwaukee,,Fvi10217,IL,Fvildrknbe,1-658-176-9673,United Refining
DAFEI,eurlgopkevqddtciuurltdgugbiebyaazqrrlayiudxvzqpmsuhttimpivxnwis,Limdcco,250020.0,4.0,2614436.0,f,O,Canada,617.0,njcucsubghxwyawmfuduolufhqhyahpwxlpdhovzkjaiqendhe,0.0,66.0,U,6.0,St. Louis,J,Dpa10218,RI,Dpaadydwglywonbcnjzufrouiwl,1-827-703-7037,Mirant
Cawegwsjy,Vcwhgkxseevnfgdrnayqvbpz,Dobqljx,496663.0,3.0,2160612.0,F,,United States of America,332.0,FQIWHQWLKYTGQJXZOQFXBHLGKDAWUOSKJEDILVVBYUUBKJXDFSWBJDFCCGPAPYGWPPVGHPMN,4.0,32.0,M,3.0,Fresno,E,aok10219,WY,aokjwnsxtmrm,,Paccar
Comnvimpsooo,orvnkgtpqevko,Vycmfaamgiyxo,32827.0,0.0,2774914.0,f,R,United States of America,597.0,Rbmaoeiuiwnhnkjzzetjswsotcnzenm,5.0,51.0,M,0.0,McAllen,,Mxn10220,AZ,Mxnjnlzxnqmxepjc,1-999-914-2970,Brown-Forman
Peqpknou,Qfohntoopgofjznxbhvwzlbybcbgudjrsbfijzwkzenivcykeejlw,Cingsmyewlxnx,,3.0,3744612.0,F,O,United States of America,600.0,Ktqishcrjeffpw,1.0,90.0,U,6.0,Memphis,,oko10221,PA,okovvhgnwjvotzlghkmqigsrvfxli,,Mettler-Toledo International
SPTOGTGAJQ,Mqxlwiffbznppscozfdzefzhrj,Tkwzqknejlkouwxrqwkqubvervexjk,392216.0,3.0,3982376.0,F,R,United States of America,850.0,UWFUHMNVLNIIPKCZHQPACLTLSHHHBUQMMBNNBAUBBALZV,5.0,16.0,M,,Columbia,D,yzn10222,LA,yznnajtz,1-807-035-1274,
Detxmbythl,Lzrwolcuhzmyyhhpgkxkteksyihwekq,LYAWQBLAIPDAHMDQRPUGCKEWORFH,329986.0,,1568808.0,m,O,United States of America,697.0,Atxjbgmikxzwzpoyengsalwlrhwpedfvgtkhtkvnjleyvscfmmrvcrijgxesgpotwwltzmkcrzxp,4.0,91.0,S,2.0,Aurora,N,VXB10223,HI,VXBYERNYUPNLSINMHYWIVEK,1-922-803-6732,
Fqyrk,Augrxapqbtvvhdjovoxsaietkwoow,Rzqtvdpjqqkmtenn,189732.0,0.0,2815276.0,M,R,United States of America,543.0,DQMZCCEUDZGVRFFJAOD,2.0,98.0,,1.0,Corona,,Ovc10224,CT,Ovczwgtesskgxxvyqfvvaxe,1-659-535-2851,Rite Aid
Nedjtjv,TMUAAWEMITKVHXVHPDJIUYPDTYYPUP,PXVRANVYWXTQVZFOOCTO,376032.0,1.0,3469348.0,F,O,Canada,528.0,,1.0,64.0,,5.0,Rapid City,,RDO10225,ND,RDOCFQOBGSRRYIQNXVULRTPA,1-947-929-6176,Ryder System
Qdjhsjhpqioz,zhfshiaqvuvjypqoytwutupzfcvzglbqmlmzbgwmtocoeozxedmpmnasdbqlzdodgextavrrdeut,dgpfrboto,427290.0,0.0,1582854.0,f,,United States of America,520.0,RLMSDAEZKEMLLNDRSMQ,1.0,35.0,U,1.0,Stockton,Q,iwo10226,CA,iwojdzwylncjcgetm,1-202-524-9333,Interpublic Group
hjvus,Bbfmtyoverjirinmdxkhvizrcbawboathtakimjusiefhfeszpjznxybmsvihqnjk,Xwymdsvjymjnghyqvlmhwkyr,185583.0,1.0,1988589.0,,R,United States of America,809.0,Ojclnnfu,2.0,86.0,M,8.0,Austin,,glb10227,WY,glbctzzdnzcguhtfw,1-555-717-5969,BlackRock
Fubbscaow,LXOYVYWMWKQNAIPOFZVPANRRRMIONMMMJOPJOGJEWY,MEUQCAWIHSVLRJO,37890.0,3.0,67168.0,M,R,United States of America,780.0,Jaxzrkrlmpysbkjexywphluaersvegbclowmowwycvtxgfdjpxaosyezkiwgelkvhhvoyetplhyeyhup,1.0,15.0,U,5.0,Kitchener,,YCW10228,IL,YCWVGCIR,1-730-960-9835,Con-way
Piebtrjuzjhz,GZHSOPJQTZOPSLHVFGMUAVFWIZGZVOHKYEWXVTQIXDEODYLJSMYMXWWEBFTNETSLMYXRZXVJ,JTXZJHWPUYVFINRBFP,45881.0,4.0,3711947.0,M,O,United States of America,788.0,kyuazflhoigcvnaxxcjdaneqktqlfgbyqjlnweqaxuhdwetvnhoubcqcmupve,5.0,33.0,U,5.0,Stamford,,mwr10229,TX,mwryfcd,1-616-431-6343,National Fuel Gas
Sctnijzsuv,Znvdeymkafxjhxdiaednw,QLYZZFBDECA,108797.0,0.0,,m,O,United States of America,679.0,Jsjpmbwxqoafmshhvxlavhnpqifkjagyxczlmffmqfzixybvfyvjloiulmbjgftxcuvbvqsfenteafqh,4.0,43.0,S,2.0,Livonia,,Hkh10230,Prince Edward Island,Hkhfguqtkylwptefsjxxrwwm,1-757-543-2666,Sigma-Aldrich
Ahxfuabvdzk,Ekdkzgvujwjdvbcbuxfqpojnwfvvlqpeaqsxxykustmblktegefxuwut,Ptelbomfcfn,460379.0,5.0,3355966.0,,U,United States of America,347.0,HYJTWYDKOUDLATJXRONPOBDRFTHXLBBOWGEFFZFUZJBYSAPOLBZNKZNJZPFIDD,2.0,93.0,S,10.0,Cleveland,,Yuw10231,AL,Yuwejsm,1-747-042-7061,Allegheny Technologies
Uwbjwjqkdv,belltanvmymipkabdgmeujumexcagtahdagtfosvyw,Ajyjzjw,475461.0,0.0,2942345.0,F,,Canada,485.0,,3.0,94.0,M,0.0,Baton Rouge,m,veh10232,British Columbia,vehzbhftqlx,1-353-153-6199,Benchmark Electronics
jhrhhzdicj,Gewehpgpathkamvlqvktnjzpxdrgbincgowfbuxfwmwwoxeysyvkjckezaexhcmhzfmaejtdqr,Efkxojlhrhulpclrijwarke,96759.0,3.0,3331379.0,f,U,,678.0,TEWPKLVXCWRCOSZIXTFOATRWCBLERPUDMNWUGLTMIJMZMCLMVUKBJNMKRZABI,2.0,65.0,,2.0,Cincinnati,,DYC10233,OK,DYCPRKAWYIGUZZLXEQAZIFBFHTPWPY,1-305-836-5798,Symantec
Ynrzjqwno,IVIECANOTXIUZTNVVZWJANTKEYCHZKPFNBTOXQPIEMUBKEOMCW,Mabiqruppmzfxkyxqtphgrb,,,2402663.0,,U,Canada,506.0,YSFOLWGIDKLMBCNDSBHDQJVREWSWMFSJXLDRVWNLMPXTJIUEYBOXTNOBHSFRXHNDDGVX,5.0,55.0,D,1.0,Indianapolis,,Tzh10234,NV,Tzhapciekxqvblxf,1-888-274-4897,AmeriCredit
Fhvqktm,CXPTCEWXLGHSFFNMEFXICUBQFWDPCMFRUXSQQBGDROSEWVFRJEDCBTPPOEGTROGRCEFKGWLCJUQV,lprkkuwlgvgwuaruxkpclp,312460.0,0.0,3921984.0,,O,United States of America,608.0,zqdnorkjuqjlanamzffxhuaiwipavvamgeqzkeehbwilgrjxwysxoareiv,4.0,19.0,U,0.0,Anaheim,,pem10235,NC,pemevredkqpihqutxucd,1-708-347-7463,Superior Energy Services
Hqhnrucr,Obovmubnxcvqnqbhvidbtpvoqdztbdypvpbrqxcpczthjoqgjm,CTOCKABDFLAHFUR,59454.0,4.0,,M,O,United States of America,608.0,TXDYSECJQLPLOYIVQNXFNYB,3.0,6.0,M,5.0,Escondido,y,SIB10236,DC,SIBIOIUHRPHDDCRLKYJU,1-812-655-5848,Terex
JGQEAGVB,CEHYBZUJTIEKWCASWGALIOIUXEWNQ,Sfdyyqcsqsjaiaycfuamdeaqa,98322.0,5.0,2448532.0,,O,United States of America,374.0,Hloywtulixowcrsoowxstxovivcxmdecfcsdchvkbpkgppdctmhynibzcfdxfesbbouukbebhyefc,2.0,36.0,M,2.0,McAllen,Z,nba10237,WY,nbainvplwiiq,1-760-083-2764,RPM International
Ahbswkramb,Hyrmhxaqr,VFHKWDRHFUUZKYFYOOEVNVCHW,199607.0,3.0,2661793.0,f,O,United States of America,388.0,Rwmbvfssdxckxbemanirddvqmhfitovyrvwqupezncpmvuwumuebojeonui,0.0,95.0,M,6.0,Providence,W,Hgp10238,KS,Hgppgfpoikqowqp,1-409-184-9309,RadioShack
gfpvmfgqv,qbdviwcqrtqycdirsetdypitaenqrij,lfcvcnwcqwfezqvzxnijwvsb,229741.0,4.0,1126683.0,M,O,United States of America,535.0,efvmtzirhqwwcnltaggvxesfpwnovaxhblenwflnbsdsgloulfrkxvcfjpqqjiulzngvkdodu,5.0,47.0,S,4.0,Thousand Oaks,,Daa10239,MA,Daauutyhsxpsrwbozphkinwptwblkc,1-846-110-6221,Toro
ceswjccl,sklyqxkvhtnx,Rzydpbfjosmpgoze,321814.0,0.0,19011.0,M,O,United States of America,787.0,Hquoqnrajwmgnsesyfatulkdmnwwatzdvagplpistibanjpdptlpw,4.0,1.0,U,8.0,Moreno Valley,,Rqf10240,MA,Rqfaknorgkpkybcojf,1-770-886-8729,Timken
cfvcif,WPBQLTYLMGIUGJTLNOKMKSTOKIVTMRTJOIPRQDHQOLLMSTPSXFDDVIKZEEXIBWR,XOWCSBZ,170780.0,3.0,2527888.0,M,R,United States of America,493.0,otgyfonpbieefyv,0.0,66.0,S,6.0,Abilene,R,Rvf10241,Manitoba,Rvflqesjwizmgfxhwdkh,1-062-332-3497,
Xafxq,NQEHFZYCMZRAWUQEXHEJEAMOEHSCBDH,MZXWCEVEQOLYBILPGGNBCHAURPHU,177028.0,0.0,594174.0,,,Canada,442.0,Tbltaceswhdmtxilcrjznmiwwgbblknmpdwixceytwvmdivywbuicyu,4.0,58.0,M,6.0,Paterson,,ILS10242,WY,ILSXPTDHZVCMBDGRQJNZEKQEV,1-918-803-3349,Gannett
Tvgpipszrb,Oacogsptqkgavvvcvtpnavrzobhqezxmvjwhywjuidecmlcxoklvpyqbivaifkgnhbienkhpchwoxhjy,FTBVKPVTNDAOHDXGLSRYIHTYKQA,426889.0,5.0,798470.0,,R,United States of America,768.0,YHHOPEJOQVFKQDJBKYYXDDOHRXFGXNZHATNHTZDGNTASFEINYGBUUSADUS,2.0,22.0,M,3.0,St. Petersburg,,TIW10243,MI,TIWJQKJFFGYUXQXNVKA,1-192-632-7346,Charter Communications
Viufkfkwd,ecurmxecpvwflymapwd,ytdcdiicxhyeupnyws,491342.0,0.0,934449.0,F,O,United States of America,317.0,BBXXLRTIWFFUYAGM,3.0,86.0,,10.0,Oxnard,,Uhj10244,GA,Uhjdgtmqtfmwfrqfgheobshjkmdqta,,NTK Holdings
Gttgjhyksido,Auzaaygvzdgvuunrabnqajtjxwypyjap,Fmsgkgmjzbljbfhy,268530.0,5.0,178195.0,m,U,Canada,698.0,Vxpyklgsxcjzmvifuz,0.0,93.0,U,8.0,Salt Lake City,,AFX10245,OH,AFXXNWERULWGFAYCL,1-004-219-7946,Molex
Yezntvyybsz,MOXRCTNUVTZSKOGDQKJXBDNGTZPNFLCSQSJEHIMHKOHSBYNGUJYH,Gbapcdof,149840.0,4.0,3334740.0,F,O,,345.0,KBJLDNBMIQYBVEZGAAEPVBXLBJLGJNQQSVIZWFZWVCPB,4.0,,M,8.0,Oceanside,C,ysy10246,Nova Scotia,ysytcekcntysreip,1-258-304-3561,Seaboard
Vcnznrlu,rhzmslluxsgxxpujjlkgjh,Lmvnthjc,212549.0,1.0,210735.0,f,R,United States of America,712.0,HXSCFRVBGVPVJEFOUQISCKIDJBJAUNOHHUPGIYMNIUBHTARSRAE,2.0,14.0,S,9.0,Seattle,,Lbh10247,IA,Lbhpqskjoupxfsisiuf,1-541-950-1149,AMC Entertainment
Zrkleosfbl,Qdvbrffwighfrqjxfrhlvtsjndphdihfmllsjkcdmuuxpwhuhhfjz,HJYTFLJ,494257.0,2.0,1605213.0,,O,United States of America,,qtaccfaaorbpedljrwahhmtruclpnmejunvguaqrownivkwhybsyiwwlgfoyjarqfgrqfglnlcrybdx,0.0,82.0,M,8.0,Provo,q,Byu10248,IA,Byunodpswtwvwoguolkhsdi,1-932-286-9093,Landstar System
Tiifcywcb,Popvahcsnredzywonecivhmrcqd,Hwgavqhqamikzowntrgcqdbkwhi,106601.0,0.0,2201179.0,,O,United States of America,640.0,Mbifvlosxwzbquqdzmelmummfqywsdbuceipfkjsmjahzmcmhtdptwtqevggf,5.0,,S,8.0,Birmingham,E,Tnm10249,MO,Tnmzxkezsisc,1-955-396-2292,Bank of America Corp.
OIEBQXQPHBLX,Ekttdampaaqvietteuoravuwdulnfvntxfrlasp,Ovyrszdztautzaehut,457880.0,1.0,,,O,United States of America,312.0,LPOHLOLKISKKEMDJBRMQXVJSMOINGHVUUQEZAETKWDVLKZEYXXSSX,4.0,27.0,M,6.0,Albuquerque,P,hbz10250,CA,hbzejwukkoibomvyepxocqxf,1-823-192-3915,BJ Services
YNGJBPNDID,Kegvtspwsxnlmejbtspikondfcbzqhvuqmoznftpuupzpffbhbed,NBASXOQSQMNLZAOIRXPEMEDHBHPK,,3.0,2375551.0,m,O,,696.0,HDQNYCMCXICJMCIOUSHVRQMXQTGRMFSAROUPUSWGSJNTXBJBNOHYBVKQDWHYZIEZYJIOJIWTXFNV,,11.0,M,,Anaheim,v,opb10251,VT,opbeeoovrrjqpoosxseymomiq,1-892-451-5243,Frontier Oil
gyoatunyc,atvidwgtplloccnnxcxiaiauhnilimvrkbxsoswxcvgf,LABOGYHJFSLWYPWJCIBROMHPZ,385159.0,3.0,279304.0,M,O,United States of America,,Dzcitwwoadvithavcbhjxekqienxweiwhlualk,0.0,81.0,M,10.0,North Las Vegas,,Sij10252,UT,Sijgafifahdupfphppljeprlcmtqtr,1-061-406-0912,C.H. Robinson Worldwide
Qusnp,Ikvhiwucjlpeehhiqhpkhiqhmhzeahpovhnbnqaetappjfpyix,yowzztqyxbmvwzfphrinaat,320768.0,1.0,2481251.0,,O,United States of America,822.0,Ilnistxitrgywjlkdjfywvsgvsjtyefjbkqfjasvexnvvy,0.0,3.0,,10.0,Omaha,Z,Ytf10253,KY,Ytfwrfpaj,1-925-436-0564,
Lgbnkd,Zhdbuggnfsnwtkcucwnbbbinwlqlmr,WTHDGLOF,30692.0,2.0,254553.0,,O,United States of America,652.0,Ppxpsnojjqsdijcrhmtvgazptorumliliuimwnilo,4.0,29.0,,10.0,Waco,,bmf10254,MI,bmfwdxnxhd,1-466-359-7782,
ILZKCABDZ,pklujrgvkbdplbhjkmtwjecutzwayxwcrjawqhfu,Estjltsgmspkypsulzbbnwsicqtx,147976.0,1.0,3909587.0,M,O,United States of America,690.0,Qctdkuxfgbsljspxsvwexywzhqpetkbfwnwrn,4.0,87.0,M,9.0,San Antonio,,NKT10255,AK,NKTFTGVB,1-079-252-0572,Jabil Circuit
Fvunceb,EHBPAKXQOXJLBLKFWGXSEZVRLWUDYSSHRPPSWVMWRWIFERFZEXW,Jpuleuat,221280.0,,1704657.0,F,O,United States of America,376.0,aldzgoxizgotrgjfasxmqsletdwrbbptascinqpjvv,5.0,31.0,U,6.0,Wilmington,a,xnq10256,WY,xnqjcqwcsryjwmtomzfrdqetgbf,1-100-016-2474,Levi Strauss
Xfthlirxms,anbmyiqtvunesudaohysraxxwukhboufvgntnqbudhtehrchpfqyxcorrib,Ynkdnqcmrwhgbxubcouaowfjiqscvt,,,920915.0,,O,United States of America,322.0,Yoewddgidtquiwhmfgfthaqjzpxcvsazgsymlopv,4.0,58.0,U,10.0,Casper,Q,Ryw10257,DE,Rywdryuymgokoleeitatboa,1-838-513-1924,Dean Foods
Zbcgukkx,Xbwnvscfshfhqhevshhojrufmrlxkfrzhgwoxhwsmqnhoezkmapkj,fubvwclizjn,127760.0,2.0,1970746.0,,O,United States of America,655.0,NCSSWVQENZMLQERYARP,4.0,98.0,M,9.0,Carrollton,G,Dxl10258,NH,Dxlniadzsfclqtctb,1-679-831-8308,Sempra Energy
Fouuosut,Pzmvtovhwhguhtqxelspsopmclqtjbtslpjhxbaivdarlxolirdtsknrsu,Lihkfrrkticxmk,362611.0,5.0,210975.0,M,O,Canada,545.0,WQGJTWLTUBCMKVDWXRRODFMAGZSUZZKLVNK,5.0,73.0,D,4.0,Flint,,WUI10259,MA,WUIJWWHHCD,1-058-163-8190,Host Hotels & Resorts
mlmixv,ojdfvfmkmayamtn,mvphqgmbvalawizryvyyhdjcsvz,173127.0,4.0,3111051.0,m,O,United States of America,702.0,CZCXRBOFL,5.0,69.0,D,3.0,Paterson,,gxe10260,MT,gxecuznbwhogaob,1-232-635-2314,Wisconsin Energy
Opeek,Ovlbvohpsdfqfw,Fnrvndmlrmwiuuwadkhx,400274.0,1.0,1066331.0,,O,United States of America,549.0,mpktjfpmbgpvugqueifjzjkbqqbrpyrkuliyprtsatcsc,2.0,37.0,M,,Alexandria,,Tab10261,British Columbia,Tabsmutvdwnasjnjwbcjiwmdwkpunv,1-232-065-9481,AptarGroup
Tvsxusnfn,utrzxhfgfsotnrnmlrvdphcvoaksrbdcekk,Sqtkxseiuzpqqbsuahekjmxtxagy,283225.0,0.0,2072522.0,M,R,United States of America,601.0,Evzxvkccvjzvsaiulkaqmqpkyiqjrvjauzpnenteflimwiprnakwmuwwchupqdqozllhn,0.0,40.0,W,,McAllen,B,Mfn10262,British Columbia,Mfnzttoqndeteoi,1-940-115-5277,SanDisk
ncllqfl,Wriayiwznpvlbcyjuj,Tfjwisigwkvnhhlajpuiinart,159061.0,0.0,1728775.0,,R,United States of America,572.0,JERWDVFDSHANMDSDMTHMEWUBJWNNCRSKNMWEGOTL,0.0,35.0,W,6.0,Indianapolis,,DXP10263,MN,DXPHB,1-564-271-6885,Atlas America
Oeoaastril,uocxznjwviwwwxxqibegsvjhlvbxitncytaxonvg,Rpxok,272430.0,3.0,,F,U,United States of America,596.0,Xivpcmmemuqmdocldvwxvolhuldsulbhbamnfjmhyirhsjqssamnpncvebcjluxxgbroreghd,1.0,92.0,U,0.0,Cincinnati,A,dao10264,WI,daoscmku,1-617-385-6314,Dow Chemical
Ldlwcfoifea,EDQJHKMSQANMRZZADLAUDCHMVRICXKQHCLSVLJTPJKNXV,VBMEXSTXYFJCYBNFQJMKCGPX,273825.0,0.0,1398203.0,f,O,United States of America,,mxpfhervxlrqwbp,3.0,38.0,U,3.0,Sacramento,Q,vyt10265,OR,vytbbics,1-507-554-0043,Lexmark International
Seefe,Gmnafqkdrsqsvu,Fomrrhpnvzjqvqpdplzivdt,1229.0,4.0,786651.0,,O,United States of America,758.0,Afzqinxrgul,2.0,,U,10.0,Waterbury,v,zqa10266,Nova Scotia,zqacuymhdmdv,1-183-586-2548,SPX
Bchrtuwxwcx,Ygxubomsvijsukulozhgfvhadtbcjqiozaadilwuahwksnpdcoxnnvlvgsjjlikgbmrhv,dfblrnpqfaibr,118174.0,1.0,2735939.0,m,O,Canada,412.0,Pgwvtkxpksxqkbcuxcbkeykdonholcgnboytarzfankiilsqdeiha,4.0,53.0,M,7.0,Provo,d,Blf10267,MA,Blfcnsuic,1-839-574-7060,PolyOne
Dngxaw,Gzqdrzcmxoqbdmrweqrakjenwddghmbsmwo,MZYPOKKSAROMMOUMTFCUIGSJLQ,437566.0,1.0,3486831.0,,U,United States of America,349.0,IDSFRLWTTI,1.0,,U,4.0,Milwaukee,,DQK10268,TX,DQKIUEGVUCXIYESCNTRAIEZ,1-877-661-9775,Pitney Bowes
ZGNKY,gbkmyndfkjygyvvvfonrxqmyuvkwwboyuxxdbdanwizugksyluxuswtzpven,ygyotlyceampsscsfk,42981.0,4.0,201411.0,f,O,,423.0,Frphbeqypgpcezlfwjrevsjrkressovkxtsbb,0.0,,S,10.0,Saint John,O,nyk10269,CT,nykoozhhcdhbyenpermizqjwxmaei,1-140-898-1845,DTE Energy
Cztdelsgt,Avwsppzdpccwodloddrs,KNUBKBIHNCGBC,424330.0,1.0,469962.0,m,O,United States of America,677.0,Ctuapbjssabtdvyfwsimweuqtgifgamkibtybrcqgmw,5.0,6.0,S,5.0,Laredo,,Taf10270,MT,Tafajnrzucohtbuiycphuyzwrddnr,1-094-414-5927,Maxim Integrated Products
,ZZCNRCSWAIYCSYFOVRWXTHVIFLQSDVMVXAMVCGENUUFQQSUHHTZHNLHWTECWXRHGGQ,fqetvbmawwqksihhkmdy,,0.0,2430725.0,f,O,United States of America,407.0,ubvftnbcottcmjqbgpcnuvt,0.0,24.0,M,1.0,Hamilton,,FSI10271,LA,FSIBKVOICKPOCCVPK,1-889-055-3149,Ferro
