prospect_gncd,prospect_nmbrchldrn,prospect_nmbrcrs,prospect_ct,prospect_crdtrtng,prospect_ntwrth,prospect_gndr,prospect_wnrrntflg,prospect_nmbrcrdtcrds,prospect_pstlcd,prospect_frstnm,prospect_cntr,prospect_phn,prospect_ncm,prospect_mrtlstts,prospect_g,prospect_mplr
evf12030,3.0,2.0,Overland Park,784.0,2360105.0,F,O,4.0,Kbobihvraf,Pitvvuwecdwxgzf,United States of America,1-994-982-7430,302897.0,M,38.0,New York Times
KWD12031,0.0,5.0,Nashville,327.0,3268603.0,,O,5.0,iidnxr,TVWPHWJRIEHANZ,United States of America,1-501-078-1236,140555.0,M,40.0,Mosaic
Ksy12032,5.0,2.0,Escondido,788.0,2706821.0,,O,7.0,eiuqmr,Bmwvnbekxkxcshs,United States of America,1-058-180-2847,294774.0,D,8.0,Dynegy
HTJ12033,4.0,4.0,St. Petersburg,523.0,2070917.0,f,O,8.0,JYANUMVWIP,Maqlmtytxurp,United States of America,1-580-544-4132,177549.0,M,82.0,Discover Financial Services
Vgv12034,2.0,0.0,Chesapeake,822.0,,F,O,,Hgqmwfu,Qgqtxjlrpoiowetlpjydh,United States of America,1-392-653-9699,,U,49.0,DST Systems
lrr12035,5.0,5.0,Oklahoma City,753.0,2776020.0,f,O,3.0,Gvkwz,Xdajlrgpntfjktcikpinfwatwax,United States of America,1-105-415-4610,211916.0,M,53.0,Corn Products International
UGK12036,2.0,0.0,Miami,518.0,,,O,6.0,cmcawtp,Rtjmflhbsvzdjdgycmfifhdw,United States of America,1-821-045-4334,463118.0,W,92.0,Progressive
Khe12037,0.0,1.0,Garden Grove,640.0,1179120.0,M,O,6.0,plpltfxucmqr,Oubmrpk,Canada,1-288-840-7948,68922.0,U,60.0,Dentsply International
qyc12038,5.0,2.0,Durham,395.0,816756.0,,O,7.0,tosfsaiznlo,USRIAQVLF,Canada,1-172-445-2106,329372.0,D,38.0,WGL Holdings
Wer12039,,4.0,Biloxi,631.0,3828649.0,,U,3.0,Jwchgxm,bgnilycstofwbmtq,United States of America,1-799-491-3807,,U,89.0,CHS
HSH12040,3.0,5.0,Chesapeake,560.0,,F,O,0.0,YMXMJUE,YWDODUKJPE,United States of America,1-964-612-4871,116273.0,U,,Cameron International
Cfk12041,1.0,0.0,St. Paul,518.0,2867821.0,,R,,Pimfjtphpxki,Frmqhggomwckcazjdkbmw,United States of America,1-599-011-2388,143180.0,S,,Pentair
Ffv12042,1.0,4.0,Toronto,716.0,2538298.0,,O,8.0,OAVZYYSPJ,reaqzcvypr,United States of America,1-925-593-3862,37801.0,S,36.0,Oil States International
VWI12043,3.0,,Tempe,395.0,2717831.0,m,R,10.0,zhdpawrv,Fhsqeoukgnjmmkuuxkzlzsgtyymaem,United States of America,1-734-332-5233,78377.0,W,12.0,DISH Network
Kjn12044,1.0,4.0,Milwaukee,311.0,371835.0,F,O,9.0,derfvwcuyqsq,Iqhavu,Canada,1-761-061-0287,368445.0,M,21.0,Dollar Tree
Jat12045,3.0,4.0,Austin,403.0,3137486.0,,O,6.0,ZNJXPM,iltnvrgpnlvuxitikkpxgrmgiw,United States of America,1-489-188-0744,319955.0,W,0.0,Celanese
CWU12046,1.0,1.0,Lexington,416.0,3639841.0,,O,6.0,Lryousevldi,Szmqvamxgjrfdgnfttsbiuwotzhusu,United States of America,1-820-145-2032,210046.0,U,99.0,Air Products & Chemicals
Aie12047,4.0,3.0,Allentown,366.0,239484.0,,O,3.0,Bzsxqplc,Sjwibne,Canada,1-310-451-7840,471643.0,S,85.0,Delta Air Lines
BWS12048,2.0,3.0,Las Vegas,824.0,1558005.0,,O,5.0,Rfmck,Xedhydibkljjzkxhmldmcyfah,United States of America,1-949-154-7756,44329.0,S,96.0,Bob Evans Farms
Iar12049,4.0,0.0,Hilo,451.0,2104971.0,,U,8.0,Hegaeqrbxkls,DGFKYXDAEWKLYRRIJQ,United States of America,1-820-487-8871,363015.0,S,75.0,Ryland Group
ESU12050,0.0,2.0,Detroit,849.0,1624018.0,F,,6.0,qfdmc,Vrkolwddodixptfzfh,Canada,1-611-619-6071,356900.0,M,57.0,Discover Financial Services
Cyj12051,1.0,1.0,San Francisco,302.0,1160591.0,,U,1.0,buoacdsjjmv,Tefjrotzakfdezewubejhzudulxi,United States of America,1-706-840-8123,333666.0,W,9.0,Live Nation
phf12052,5.0,0.0,Scottsdale,,988729.0,,U,1.0,Dwbbbajum,OBMUFLTUQEWPBSWPSQPIKDTQKDLXY,,1-184-656-2277,81635.0,U,29.0,Asbury Automotive Group
AXR12053,4.0,5.0,West Valley,682.0,261755.0,,O,0.0,UCJSOJCTJEGB,Lctteuowrrwdh,Canada,1-658-789-9886,135773.0,M,61.0,Service Corp. International
Tnk12054,4.0,,Winnipeg,593.0,,,O,7.0,ERJMVPQE,Bxogmagthyfsh,United States of America,1-467-565-4941,285579.0,W,48.0,
Aee12055,0.0,2.0,Costa Mesa,548.0,3262417.0,F,O,10.0,Bqbvcwcu,Wiqcoweldrdidknfkzholpvucm,United States of America,1-504-948-8194,401853.0,U,70.0,ProLogis
doo12056,4.0,0.0,Peoria,790.0,1380653.0,F,O,9.0,Fldeqislue,hbpvaqidnhdvbxfpwnaunrauo,United States of America,1-136-518-9570,381580.0,M,56.0,Ralcorp Holdings
Xiy12057,5.0,2.0,Independence,465.0,2817481.0,,O,10.0,nwktfgfalay,Crlyqolmbxvybxyduphx,Canada,1-927-581-3485,28479.0,W,52.0,MGM Mirage
Vds12058,3.0,1.0,San Diego,675.0,1253639.0,M,O,1.0,bttoubqkfn,fgppzmbcfxcsbimwodsgessvln,United States of America,1-675-504-1420,410941.0,U,,Big Lots
rpz12059,4.0,4.0,Grand Prairie,667.0,631951.0,F,O,4.0,ZAZBR,xzeezjpwslq,United States of America,1-307-424-8849,57126.0,,64.0,Levi Strauss
Bpa12060,3.0,3.0,Sandy,792.0,495569.0,,O,5.0,bmidq,Pxvncuucqccexkxduplxivqhkpts,United States of America,1-047-161-8547,445132.0,S,3.0,Nike
Jky12061,4.0,0.0,Jacksonville,554.0,2619727.0,m,O,3.0,Jdmgcul,AEGFFCI,Canada,1-725-622-4835,187594.0,U,76.0,
KPD12062,3.0,1.0,Nashua,708.0,2501519.0,,O,0.0,flzjejwsgjd,Syskggxiucikfpcbjvgwyywk,Canada,1-028-332-0434,169520.0,M,,Curtiss-Wright
qvk12063,2.0,0.0,San Jose,420.0,,m,O,7.0,DVYSMVAO,Flkqyipikoulssyxxgerwy,Canada,1-021-232-3640,200022.0,U,89.0,Oceaneering International
FNU12064,1.0,1.0,Las Vegas,398.0,2023978.0,,O,4.0,rpaibakqcm,Qgxwbcoyalukxiuqwcdwx,United States of America,1-212-508-0427,490698.0,U,25.0,WGL Holdings
Pqj12065,1.0,1.0,Warwick,301.0,1503555.0,m,O,9.0,odcrp,Btnautxihoxcuaanmifgt,United States of America,1-056-263-7953,334103.0,D,61.0,Boise Cascade Holdings
juy12066,0.0,0.0,San Buenaventura,443.0,1329024.0,m,O,4.0,PAUCBKFCRRJQ,ALBHVMM,United States of America,1-491-836-1364,385296.0,M,42.0,EOG Resources
cro12067,0.0,2.0,Wilmington,733.0,2147019.0,f,O,7.0,Howrcuo,fjlsc,United States of America,1-503-817-3096,489055.0,S,89.0,Merrill Lynch
Bec12068,0.0,2.0,San Diego,630.0,116480.0,M,R,0.0,,bhjocilqbjcnsfvnaqzlcp,United States of America,1-137-491-5586,49735.0,M,,Jones Financial
Avp12069,0.0,5.0,Lancaster,519.0,198527.0,f,O,10.0,Vkklqrg,xilkvfmmyoshwlgmyxnkg,United States of America,1-179-146-6448,63600.0,S,98.0,Costco Wholesale
Sze12070,0.0,1.0,Sandy,591.0,1446183.0,,R,,qhhlpfbmsw,Byogwgxbkzuepdkgiecefihugste,United States of America,1-688-823-3753,378245.0,M,80.0,Paychex
DXI12071,5.0,2.0,Baltimore,600.0,,,U,5.0,WZAPEKFCWJTJ,Vzdnsjnzquvtkcxjxndk,United States of America,1-209-609-1759,403840.0,S,93.0,Fidelity National Financial
MQS12072,3.0,2.0,Arlington,637.0,3103831.0,,U,1.0,svtahjdo,Lqvrhmldpjm,United States of America,1-462-951-3356,8510.0,W,44.0,
Sud12073,3.0,1.0,Worcester,835.0,831140.0,,O,2.0,RMTSF,fdhyimqojwlr,United States of America,1-249-169-9143,104929.0,U,60.0,LandAmerica Financial Group
hxg12074,3.0,0.0,Baltimore,762.0,2890900.0,m,O,10.0,Lxmgcb,Qxyvywmsviwinwoqna,United States of America,1-966-521-6366,491771.0,M,46.0,Raymond James Financial
SAX12075,5.0,1.0,Oshawa,323.0,741554.0,,O,6.0,ITFOFUHJPBW,ekqatxaj,Canada,1-313-166-5744,235726.0,W,77.0,Graham Packaging
BLN12076,5.0,2.0,Amarillo,683.0,273741.0,,R,4.0,prqrnho,vmuqsvpjqteujerenmmzd,United States of America,1-239-812-0303,366650.0,S,93.0,Liberty Media
jue12077,5.0,4.0,Baltimore,,3633526.0,,O,9.0,Wgkvkxyjbg,lntodokitjheewimy,Canada,1-772-321-8838,458446.0,W,89.0,Domtar
Tmv12078,,0.0,Hilo,409.0,506109.0,F,U,0.0,lmjpypp,ybtmwhqeadgvgjwwzrhqz,,1-568-809-0178,434031.0,M,25.0,BE Aerospace
Jfx12079,4.0,2.0,Newark,421.0,3177405.0,,R,8.0,Hnvcuth,wbovfomumtdj,United States of America,1-245-092-4078,27855.0,U,1.0,Virgin Media
Nbv12080,3.0,5.0,Rapid City,729.0,174388.0,m,,6.0,Ucfmvxrxnk,Fdookivaqxk,United States of America,1-608-429-0753,49003.0,U,88.0,Southwestern Energy
VIV12081,3.0,4.0,Little Rock,738.0,523385.0,m,O,9.0,uixreodgdjuj,Qvicswzeiqtzqmlnbscjiygrjezqwy,,1-353-448-9364,220550.0,M,30.0,Principal Financial
DAO12082,5.0,3.0,Mount Pearl,444.0,619283.0,M,O,2.0,Zrexhengnl,Ghwrmqiaeusuoiezeo,United States of America,1-137-656-6427,148165.0,W,34.0,AT&T
Mqn12083,1.0,0.0,Biloxi,842.0,3738211.0,M,O,1.0,UYIESO,pnhpfujw,United States of America,1-525-978-4300,327660.0,U,20.0,Electronic Arts
Mob12084,0.0,4.0,Anchorage,681.0,684762.0,,,5.0,FRIPFKIYAK,Kmjvtmi,Canada,1-153-127-0903,376394.0,D,16.0,Newell Rubbermaid
Btc12085,2.0,0.0,Lancaster,803.0,3692092.0,M,R,0.0,,Hafuei,United States of America,1-362-147-5413,422639.0,D,44.0,Neiman Marcus
IOF12086,4.0,2.0,Anchorage,775.0,2079207.0,F,O,5.0,Ycevvpa,Wgzphfgpdnpoao,United States of America,1-662-798-2166,442900.0,S,49.0,Scholastic
ylu12087,1.0,1.0,Oklahoma City,365.0,615147.0,m,O,3.0,hrkaoqi,Fdkyoapowjkkcv,United States of America,1-343-351-4694,,M,90.0,AT&T
Rho12088,4.0,,Fort Worth,315.0,1531950.0,,O,7.0,SKPATNJSOGC,Lrtgcwitaztdkdbkr,United States of America,1-153-729-2311,60340.0,M,69.0,Brink's
Rnr12089,1.0,2.0,Oklahoma City,537.0,1202261.0,,R,5.0,,Zuvvozwfcgqm,United States of America,1-287-738-4807,368066.0,M,27.0,AnnTaylor Stores
DEU12090,1.0,0.0,Newark,771.0,1398254.0,f,O,3.0,Iqpwxawzl,NYYXDUC,United States of America,1-819-383-4438,261456.0,M,43.0,Coca-Cola
Bhe12091,3.0,2.0,Washington,525.0,2454984.0,,O,5.0,Exvpzsxa,PQQEOBUDQPZIVAIFPYRRTGCZCVGXW,United States of America,1-114-304-8619,357972.0,M,55.0,Mutual of America Life
hnu12092,0.0,0.0,Mesa,552.0,3461953.0,,O,8.0,Elapnu,Wgevdsiajphyz,United States of America,,211181.0,U,4.0,W.R. Berkley
Mnx12093,3.0,3.0,Orlando,652.0,336115.0,F,O,,OXIVVQZNITBW,ekhacbfspnzlqjhvhsbh,United States of America,1-159-204-4586,102110.0,M,82.0,W.W. Grainger
XYY12094,5.0,1.0,Warwick,750.0,3734590.0,,O,8.0,Aoevz,WSQQDYYAQRIZCHBOTPLNKUM,United States of America,1-151-194-1253,402797.0,S,33.0,Qwest Communications
Bop12095,2.0,2.0,Arlington,,3789038.0,,O,2.0,Rzxerudsaks,YDQUDSEQCKXYKHOULWWXXDMVSVLW,United States of America,,486476.0,D,,Micron Technology
Dln12096,4.0,3.0,Fresno,695.0,193781.0,,R,6.0,keiusxh,VIPMCMY,United States of America,1-162-098-2835,211187.0,D,70.0,Brookdale Senior Living
Rlc12097,2.0,4.0,Iqaluit,488.0,3203688.0,F,O,3.0,Yyzavjjv,wqkonw,United States of America,1-095-165-7442,295048.0,U,44.0,Ashland
hyt12098,1.0,0.0,Charlottetown,656.0,2644563.0,f,O,1.0,qdaxqpmbik,Kfgte,United States of America,1-652-059-0375,465011.0,U,72.0,Total System Services
nda12099,2.0,2.0,Lancaster,517.0,1103882.0,,O,,zryuv,Yscsztcnxwe,United States of America,1-270-447-1090,19853.0,,76.0,Graham Packaging
Bsj12100,0.0,3.0,Glendale,619.0,3947062.0,m,O,0.0,MRNLVRQFKLM,nygjorjvdifrdplelsmbmkbwo,United States of America,1-422-242-3518,377472.0,D,74.0,JohnsonDiversey
Mep12101,5.0,2.0,Nashua,806.0,3589946.0,,O,9.0,Lmaksdhym,ZJOPPEMUBERYNOTSMGOCZOJLWIUWTU,United States of America,1-436-447-4751,87006.0,D,94.0,Aventine Renewable Energy
lyi12102,3.0,5.0,West Covina,662.0,737458.0,f,,2.0,GHWDBL,Fpulupmrbmplfxqjxkos,United States of America,1-418-331-8748,108596.0,D,69.0,Fastenal
Eme12103,0.0,4.0,Lubbock,592.0,30680.0,,O,3.0,WEZIT,Gziuauvqyaoduje,United States of America,1-885-396-6080,469487.0,U,73.0,J.C. Penney
Ail12104,0.0,5.0,Grand Rapids,728.0,907610.0,,O,1.0,GFWVMBSUEV,ooktddvuaxdwcya,United States of America,1-990-933-7493,208073.0,D,43.0,Calpine
BCM12105,3.0,3.0,Syracuse,723.0,1478950.0,,O,4.0,NNYJOABGYCS,Oddjwpkugtasezynmkz,United States of America,1-818-476-1021,91193.0,D,16.0,Bank of New York Mellon Corp.
Qij12106,5.0,0.0,Iqaluit,731.0,1690810.0,,O,3.0,IEYSLUHVRPD,Mgxgjxmxtfp,United States of America,1-202-792-7846,211527.0,S,80.0,Burlington Northern Santa Fe
Sgf12107,1.0,5.0,Bismarck,730.0,1038993.0,F,O,4.0,ewfrfxrq,MXJTDLDTJFROGXXCDOUHKMH,,1-514-726-0237,235753.0,M,41.0,WellPoint
DXP12108,3.0,5.0,Washington,596.0,3752227.0,,R,4.0,Yhqvad,Dwfsjvnmdxntbpksjgwvfxofjiupgu,United States of America,1-340-944-1412,170455.0,M,20.0,Northeast Utilities
XLV12109,2.0,2.0,Lexington,399.0,2908703.0,F,O,2.0,vmrzritmqirv,OZUSPESUSMTZIPTXSXQINKXLKOZBA,United States of America,1-218-687-1024,145029.0,M,34.0,Armstrong World Industries
SZT12110,5.0,,Hartford,596.0,1970886.0,f,O,0.0,Wydap,amsdsltylxikmedybz,,1-462-254-7430,376036.0,D,80.0,Pool
SOP12111,,3.0,Richmond,391.0,2432203.0,F,R,5.0,Eywjuqicgy,fwsldqhawbkanbtakaxymotoybmj,United States of America,1-574-952-0150,148327.0,M,68.0,DRS Technologies
Mkg12112,5.0,1.0,Plano,534.0,2842485.0,F,R,4.0,CCIRO,Xsshhyydcovyhfjcgdbpgkhmg,United States of America,1-631-620-6420,37769.0,M,14.0,Bon-Ton Stores
Gvy12113,5.0,1.0,Knoxville,617.0,2546571.0,f,R,2.0,REVGDCJ,Jswjfuvtkxn,Canada,1-740-703-9223,283863.0,M,72.0,Leggett & Platt
SIW12114,4.0,2.0,Macon,328.0,3261879.0,,O,6.0,Mghfzmkyqia,zfmmlbikw,United States of America,1-206-874-4326,337519.0,M,78.0,Brightpoint
QWG12115,4.0,1.0,Wichita,833.0,322556.0,,O,7.0,,DYTWHTKOGHQTBADHAHTMOXDZLJM,United States of America,1-735-773-9256,467014.0,M,3.0,CA
OJM12116,1.0,2.0,Naperville,645.0,1610620.0,f,R,3.0,Bcsmcx,Aggptnrqomvxumyptoakwwnupnydbw,United States of America,1-137-831-3062,103375.0,S,12.0,Alpha Natural Resources
Yoj12117,4.0,0.0,Greensboro,844.0,2681291.0,,O,3.0,,Bajimiixmcfdvd,United States of America,1-810-342-0216,247670.0,M,10.0,First Data
HBT12118,2.0,5.0,Garden Grove,671.0,2353329.0,,R,10.0,Eqohfirzkin,Mtomqvszngjxkctubdnqbvnlsryq,Canada,1-833-369-1083,392781.0,S,59.0,Liberty Global
kia12119,3.0,1.0,Provo,817.0,2725811.0,f,R,5.0,nsopzt,kpcutggicaxfaeleusgrskxfkki,United States of America,1-235-004-5395,480434.0,M,,Cabela's
Rtv12120,5.0,2.0,Vallejo,620.0,2668471.0,,O,4.0,Wuawjup,Tuaniszyamjnxyjomtlblg,United States of America,1-594-896-3131,86199.0,W,9.0,Pinnacle West Capital
Hpl12121,3.0,2.0,Ann Arbor,429.0,3682098.0,F,O,2.0,jsksxbykmn,Nwogfksoxdhmujfas,United States of America,1-995-032-1896,222806.0,M,94.0,Genzyme
QZL12122,2.0,3.0,Salt Lake City,825.0,3516986.0,M,U,5.0,Nhodrkdc,Cpspse,Canada,,244544.0,M,4.0,Urban Outfitters
Otq12123,1.0,3.0,Fremont,640.0,3838476.0,M,O,8.0,Ldolxuu,Pemjmxfpwgry,United States of America,1-020-568-9790,139979.0,M,48.0,EMC
Nxf12124,0.0,3.0,Sydney,811.0,2455264.0,,O,7.0,KRWMJRIS,Vjofrnatqlqvhmlltt,United States of America,1-542-921-5852,346354.0,U,28.0,
ctv12125,1.0,3.0,Jacksonville,800.0,2182834.0,,O,2.0,FAMOKFKU,Ozymyg,United States of America,1-935-866-0238,206774.0,D,,Granite Construction
YPJ12126,1.0,5.0,Abilene,729.0,,,,1.0,Acouckuguxb,YWZYECKKRBRYLDZJSWHHINHMEIVVQ,,1-811-057-5137,130172.0,W,72.0,Spartan Stores
Bgt12127,4.0,3.0,Simi Valley,307.0,3884284.0,,O,0.0,FACVIMNCK,JTZXSW,United States of America,1-221-123-3996,280226.0,W,44.0,BJ Services
Fnh12128,1.0,2.0,Waco,,2209434.0,f,O,4.0,,Upyxgp,United States of America,1-197-827-8106,63475.0,S,72.0,Mercury General
Unr12129,,2.0,Kitchener,373.0,2414926.0,,O,4.0,Itnktlsi,xuqyeg,,,311880.0,M,99.0,Spartan Stores
WKI12130,0.0,3.0,Ottawa,398.0,2907681.0,,,3.0,Njlxlqgbkk,Yamedqcfoqbzjgjcvilwbkxpqa,United States of America,1-401-861-1239,315343.0,W,78.0,eBay
nwp12131,4.0,5.0,Dawson City,339.0,1291166.0,,O,8.0,Hswngvdpqkm,Nfnjokescimrxlrbnmxd,United States of America,1-381-289-0385,259887.0,U,54.0,Smurfit-Stone Container
Rlg12132,4.0,3.0,Ontario,405.0,2484005.0,f,O,7.0,dhkts,Kdvufqhtndwwwxrwcehljxt,United States of America,,325001.0,U,83.0,Owens & Minor
Zrw12133,5.0,5.0,Columbus,816.0,2396834.0,m,O,9.0,qmexomzuidv,PTQCHAZIDZGTHHFFIBTUKDQN,United States of America,1-260-986-8550,247507.0,M,6.0,Public Storage
Pph12134,3.0,4.0,Dallas,476.0,2652096.0,,R,9.0,Xewaxmnqv,Cannbbbnhlgekarehkxp,United States of America,1-434-971-1193,253224.0,M,100.0,Enterprise GP Holdings
alj12135,4.0,0.0,Santa Clara,363.0,1125088.0,,O,6.0,XKJVCPO,Rdpkgummtrpalqewmi,United States of America,1-517-900-6192,177585.0,D,44.0,Mosaic
Fyi12136,2.0,4.0,Springfield,671.0,854877.0,,O,6.0,Jcsokcqg,Csfipnaudtqlwyloaoohlpco,United States of America,1-964-437-1901,463742.0,D,52.0,StanCorp Financial
Fkw12137,1.0,5.0,Grand Rapids,583.0,862001.0,f,O,2.0,Lwijvbekuy,QVSRTMHBJZHURAEJNLGHRBRDANVG,United States of America,1-982-643-5269,164698.0,M,64.0,Sun Healthcare Group
TFX12138,3.0,3.0,Victoria,300.0,2588680.0,,O,9.0,Zhbrypaqnjt,Erhwcxvpqtifnrkyil,United States of America,1-420-731-9523,228318.0,W,7.0,CME Group
Adm12139,0.0,3.0,Colorado Springs,474.0,1892012.0,,O,,Miivmiobnvvb,MMCOEZOULPUARYPHAGKZRNOB,United States of America,1-781-250-1042,169050.0,D,71.0,Illinois Tool Works
uuo12140,3.0,0.0,Fort Lauderdale,538.0,801567.0,F,O,4.0,CUBAPC,lmnlqabojqmwuppxipkrgs,United States of America,,292150.0,M,47.0,Airtran Holdings
sgm12141,2.0,,Las Cruces,436.0,3287721.0,M,O,4.0,Ipnmdmyrd,RBYHVLWWVNQUXUCAUMV,United States of America,1-842-162-6896,151913.0,W,88.0,Quest Diagnostics
Kjm12142,4.0,4.0,Livonia,748.0,88021.0,,O,5.0,Kiagizkscx,mhkgjtsoewjy,United States of America,1-719-706-9782,364796.0,D,94.0,Cytec Industries
GXG12143,4.0,5.0,Lincoln,565.0,568032.0,,O,6.0,abrytw,Hwhshjc,United States of America,1-352-053-7203,429821.0,M,18.0,Office Depot
Sdj12144,3.0,5.0,Erie,705.0,2735974.0,,O,10.0,Tnjcczcu,PLBHIJRZWDMJXXFNXR,United States of America,1-855-550-0447,449214.0,U,46.0,UGI
Loz12145,4.0,5.0,San Francisco,380.0,696134.0,f,R,5.0,Dszixjhxodl,Afknmszddbwfv,Canada,1-137-299-0371,339610.0,W,20.0,Western Digital
Nac12146,5.0,4.0,Baltimore,345.0,88412.0,,O,9.0,,Jbgaciovowmiyuxxgqik,Canada,1-427-546-9288,237377.0,S,,Harsco
Fqi12147,4.0,1.0,Memphis,645.0,1454138.0,,O,5.0,uvooegn,mdmmdmcidezqevft,Canada,1-504-699-8459,475686.0,S,,JohnsonDiversey
CRQ12148,3.0,,Chattanooga,352.0,1428639.0,F,R,8.0,DTWYTA,MUPRZFZTJ,United States of America,1-388-829-8256,191091.0,M,,Tenet Healthcare
Tzc12149,3.0,3.0,Raleigh,567.0,2304481.0,M,O,,OENEYJMR,Xcvdmilbavgwdlenhnnenpixwsbfzn,United States of America,1-141-692-3611,220348.0,S,,Expeditors International
Jak12150,1.0,2.0,Wichita,313.0,3893183.0,,O,10.0,Drtovw,misjd,United States of America,1-026-287-3810,435505.0,,17.0,National Fuel Gas
Jgd12151,4.0,1.0,Moncton,807.0,1607865.0,,R,5.0,Enhcrowjricj,Liyrnvaivujbvxdvgipicm,United States of America,1-306-925-6057,280932.0,U,68.0,Weis Markets
Dvm12152,2.0,3.0,Grand Prairie,466.0,3414101.0,,R,0.0,ONFOVKR,Yorgcobajulmnwgcojl,United States of America,1-467-400-4081,327810.0,M,85.0,Wendy's/Arby's Group
PUR12153,3.0,3.0,Burlington,647.0,2867011.0,,O,5.0,VMFQMJZJLPMX,Srnbvmshsjydkriotpnxqpytbvb,United States of America,1-050-793-7970,75821.0,M,97.0,BJ Services
MMJ12154,3.0,1.0,North Las Vegas,355.0,1645548.0,f,,9.0,inmtnx,Dfnfhypvukx,United States of America,1-553-034-5903,119582.0,S,75.0,Micron Technology
Csg12155,2.0,3.0,Idaho Falls,706.0,2377996.0,,R,4.0,Lfrbtxwbww,umoziiqjxnspaaqwigunvdwdjalxs,United States of America,1-817-126-8157,313216.0,U,36.0,Itron
Cvj12156,5.0,2.0,Torrance,443.0,3125159.0,,O,0.0,zwcmgftpwp,Olhdivjpyntfb,Canada,1-003-471-9749,424113.0,U,41.0,Ryder System
Lnk12157,4.0,,Tacoma,700.0,826741.0,f,O,1.0,Ullofphqslxv,Xlrpfbmrponfelilvo,United States of America,1-248-716-8827,417431.0,M,89.0,Amerco
UAM12158,0.0,5.0,Kitchener,512.0,3128957.0,f,R,8.0,xerqwv,Mtkiijsdltkznaxirtgsgbzlnv,United States of America,1-819-424-5965,378283.0,,22.0,Genworth Financial
ctr12159,0.0,3.0,Mobile,697.0,,,O,5.0,JUZVHUUPS,skajprkijifuvpud,United States of America,1-620-431-4668,13373.0,M,95.0,Volt Information Sciences
FGJ12160,3.0,5.0,Hull,692.0,3061874.0,,U,5.0,arkqi,Xqkidxgtlsunyrmwqroyfq,United States of America,1-498-800-0740,359390.0,D,95.0,Hub Group
EBP12161,1.0,,Tallahassee,581.0,1707138.0,m,O,7.0,QQJRD,ywbzctehbjdkpznagzngro,United States of America,1-574-121-9163,448200.0,S,70.0,Synnex
MOC12162,3.0,4.0,Livonia,606.0,2725590.0,,O,1.0,tentrjenu,Qyqmzkcbxbtjakuhyacrxvs,Canada,1-349-832-1674,41787.0,U,81.0,Newmont Mining
Bfi12163,0.0,2.0,Charleston,841.0,3664671.0,m,O,6.0,OWVHDBE,lrkskdrrgooifbeknwbmlrorafdta,United States of America,1-831-173-9794,439628.0,S,99.0,Broadridge Financial Solutions
ifd12164,1.0,1.0,Oklahoma City,345.0,2954390.0,,O,3.0,Ynsybjq,Ppehjjvhqjnw,United States of America,1-767-162-5204,226497.0,S,14.0,Loews
Ppo12165,1.0,4.0,Fargo,815.0,3320686.0,,,7.0,PENOAYNTHF,Fmhgyrayswlxzpnegzsialrxyduwqk,United States of America,1-034-435-7817,419362.0,U,61.0,Westlake Chemical
VAW12166,0.0,0.0,Lewiston,493.0,2510644.0,a,,4.0,JJVUEU,cshtilyzpzpekubhqquyfrls,United States of America,1-759-853-2502,,W,4.0,Knight
jfk12167,5.0,5.0,Shreveport,410.0,3385082.0,N,O,10.0,Xexjvzbyb,qckenlsjbkmgakrbtznfpyk,Canada,1-524-581-5528,392174.0,M,36.0,Sanmina-SCI
Ypb12168,0.0,3.0,Mount Pearl,654.0,1044167.0,,O,9.0,EVCSEQQUXXV,EZDKMI,United States of America,1-814-294-4284,398086.0,S,,Pfizer
Pwg12169,3.0,4.0,Paterson,313.0,2053401.0,F,O,1.0,xavkogot,Pcrhxl,United States of America,1-788-442-1263,140074.0,,74.0,NVR
mjl12170,1.0,0.0,Springfield,450.0,3998395.0,M,O,6.0,Mhfhofccvjdc,rtffajogswdfc,United States of America,1-305-155-2326,260257.0,M,48.0,Flowers Foods
rij12171,0.0,1.0,Chicago,530.0,687154.0,M,,9.0,KKSYJWAGHYPN,magwhqxtfhmsgbaqnwcwbt,United States of America,1-008-071-9759,4449.0,D,100.0,Hershey
giv12172,3.0,3.0,Amarillo,320.0,3197576.0,f,O,10.0,Jarogruldykl,Skqzrarkig,United States of America,1-138-504-2450,467856.0,M,74.0,IDT
jji12173,5.0,0.0,Halifax,341.0,1726254.0,,O,9.0,Mrrbdrm,Dyvro,United States of America,1-729-923-1333,,W,,Amerigroup
JIQ12174,4.0,5.0,Garland,677.0,1486212.0,f,O,1.0,CBLOFJSLQ,Nvnbsmfdvoeynhcmkn,United States of America,1-639-229-2818,19579.0,M,59.0,GMAC
hvb12175,3.0,1.0,Las Vegas,308.0,1602219.0,,O,8.0,Lljdjwdanok,Klpspdbhhulvjxnrzuoliq,United States of America,1-767-093-3943,245205.0,M,99.0,PHH
AFL12176,0.0,2.0,Hampton,634.0,122043.0,m,O,,JOAUYJRTQ,caaapzatnvht,United States of America,1-810-988-8153,,W,86.0,Sally Beauty Holdings
VMA12177,0.0,1.0,Tampa,777.0,440671.0,,O,3.0,Jomsgjwfiibu,ZHMPPDAWSX,United States of America,1-769-486-5691,40659.0,W,89.0,Pulte Homes
fil12178,2.0,1.0,Bakersfield,626.0,442887.0,f,U,6.0,Eespef,aeihbwxaivxbbyqtjkrvsntxzk,United States of America,1-496-917-2301,154901.0,D,84.0,General Electric
