prospect_gncd,prospect_nmbrcrs,prospect_ddrssln2,prospect_ncm,prospect_g,prospect_ct,prospect_cntr,prospect_nmbrcrdtcrds,prospect_crdtrtng,prospect_ntwrth,prospect_phn,prospect_pstlcd,prospect_stt,prospect_nmbrchldrn,prospect_mrtlstts,prospect_wnrrntflg,prospect_mplr
set7534,1.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,428323.0,35.0,Anchorage,United States of America,10.0,540.0,71520.0,1-136-565-2501,kixvppuqtd,HI,3.0,U,R,Lockheed Martin
Pyo7535,4.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,159980.0,96.0,Madison,United States of America,6.0,,1911091.0,1-317-986-1984,jrhynxfi,NY,1.0,M,O,Sanmina-SCI
FSH7536,0.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,266852.0,96.0,Fontana,Canada,6.0,424.0,988775.0,1-265-603-1262,dnhtjyu,TX,0.0,W,O,Iron Mountain
Tdx7537,5.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,206973.0,49.0,Charlotte,United States of America,2.0,623.0,3919363.0,,YKOVOTYB,AZ,5.0,M,R,OfficeMax
Sbn7538,5.0,XHQNMCEJKXOQYVSZVESLKC,258221.0,,Richmond,Canada,4.0,792.0,428918.0,1-156-668-6882,WNNMWJ,ME,1.0,S,O,AMR
Piq7539,4.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,428508.0,27.0,Santa Clarita,United States of America,6.0,718.0,58134.0,1-164-648-3203,Oktkljv,NH,4.0,S,O,Kohl's
IXD7540,4.0,Toumjfbsumpgfuskpydjeibaxi,,98.0,Yellow Knife,,6.0,401.0,3703767.0,1-839-795-1027,,KY,0.0,M,O,Cigna
wsn7541,4.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,58953.0,,Oxnard,United States of America,2.0,557.0,433859.0,1-958-412-4252,GXFLSISZUY,Prince Edward Island,5.0,M,R,West
Jkp7542,5.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,409682.0,56.0,Huntington Beach,United States of America,7.0,393.0,3002044.0,1-392-335-1020,gzexcrngivl,British Columbia,5.0,W,O,Monsanto
CCF7543,2.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,340191.0,94.0,Durham,United States of America,10.0,557.0,1124168.0,1-912-050-7605,yzoikhwrd,CT,4.0,M,,Reliant Energy
ylj7544,4.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,238216.0,98.0,Naperville,United States of America,5.0,465.0,2081541.0,1-075-551-9919,Gdbktega,WA,5.0,U,O,Idearc
ZBB7545,0.0,hkyochorqgtokxgozmoncalaaiw,113171.0,8.0,Albuquerque,Canada,6.0,,1897076.0,1-013-611-2674,Kdcqzpvf,ND,1.0,M,O,Neiman Marcus
fqe7546,5.0,Datdnghoiymltcayulgkgxywi,234797.0,90.0,Newark,United States of America,10.0,485.0,235172.0,1-656-865-7544,Tbwgwtmgcu,ID,,W,,O'Reilly Automotive
Wpw7547,4.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,225322.0,34.0,Miami,United States of America,2.0,303.0,639573.0,1-879-870-7379,Mwmfs,Quebec,2.0,M,,Cliffs Natural Resources
vpz7548,1.0,,192689.0,25.0,London,Canada,4.0,846.0,2667082.0,1-366-625-9813,goelqgcts,ID,2.0,W,O,Health Management Associates
Yfz7549,5.0,,348685.0,50.0,Worcester,Canada,1.0,621.0,2598634.0,1-359-462-7089,ucwygjzs,AL,4.0,,O,Chevron
dou7550,3.0,,401229.0,85.0,Jacksonville,United States of America,,331.0,1074671.0,,fjlfqftwg,UT,4.0,D,O,Exide Technologies
FDJ7551,5.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,38597.0,60.0,Nashua,United States of America,9.0,401.0,2272997.0,1-153-396-8333,Tocujgaiaq,MS,4.0,M,R,Convergys
ufu7552,2.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,,95.0,Newport News,United States of America,0.0,644.0,702000.0,1-144-623-1308,kurjmmgixxfd,AK,2.0,S,R,Dominion Resources
bbg7553,4.0,NBSHKLXYVUUWXEQSGXR,161204.0,8.0,Corona,United States of America,5.0,769.0,1289800.0,1-269-220-8046,cnsavindoi,VT,1.0,M,R,Sentry Insurance Group
Znk7554,3.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,202650.0,31.0,Lincoln,,2.0,481.0,1007390.0,1-052-524-0130,MQBSAUVQRPYE,LA,4.0,M,O,Cintas
CGQ7555,1.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,,51.0,Toronto,Canada,7.0,732.0,124290.0,1-335-871-6660,vadbnvz,CT,2.0,U,O,Medtronic
add7556,4.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,492433.0,24.0,Fayetteville,United States of America,2.0,802.0,1820002.0,1-637-394-8083,Ljurvnigr,UT,4.0,M,O,Pride International
Anw7557,2.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,344858.0,78.0,Charlotte,Canada,5.0,329.0,2200347.0,1-706-795-4208,BQDMQVFTNBRJ,IN,4.0,M,O,A. Schulman
Hvt7558,5.0,nqcozjievwzk,197290.0,56.0,Tulsa,United States of America,0.0,839.0,3669569.0,1-622-347-5699,jkcul,WI,0.0,W,R,Oneok
Yqj7559,2.0,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,283654.0,50.0,Winston-Salem,United States of America,,539.0,2140537.0,1-042-017-9368,Nelny,WA,,U,,Danaher
Ztn7560,4.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,317423.0,52.0,Thousand Oaks,United States of America,4.0,561.0,3258909.0,1-829-935-5979,Qsggz,LA,5.0,M,R,Del Monte Foods
bni7561,4.0,Lfrjkyblujmbxigmylpsxieswspmei,399126.0,14.0,Lubbock,United States of America,2.0,814.0,1825422.0,1-076-726-5283,Drofa,VT,5.0,W,O,American Electric Power
swx7562,5.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,398180.0,29.0,Winnipeg,United States of America,7.0,305.0,1845263.0,,Ssovhtmt,CT,0.0,M,R,TJX
DSA7563,2.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,,50.0,Laredo,United States of America,4.0,457.0,1463114.0,1-284-129-5920,Tnprhljfrlj,RI,4.0,S,O,Philip Morris International
BXZ7564,4.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,485429.0,67.0,Overland Park,United States of America,8.0,349.0,2354683.0,1-128-308-8886,Bkxujhonjgjk,SC,1.0,U,O,Cincinnati Financial
pcz7565,2.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,118018.0,22.0,Calgary,United States of America,0.0,590.0,436677.0,1-145-469-5971,mrjrjhgnwcdu,British Columbia,0.0,M,O,Stryker
Zqa7566,5.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,309693.0,20.0,Peoria,United States of America,0.0,533.0,2383335.0,1-727-684-7767,Yusezkfgs,CO,4.0,U,O,Kansas City Southern
Htl7567,4.0,IBQIDE,90718.0,75.0,Durham,Canada,9.0,686.0,2574739.0,1-776-201-2472,RKXTQAO,TN,0.0,W,O,IDT
afw7568,2.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,280645.0,60.0,Pueblo,United States of America,10.0,582.0,1596838.0,1-767-942-1278,UBQSATXZO,CA,0.0,U,O,Vornado Realty Trust
Wna7569,,Lrebujnrg,231559.0,,Las Cruces,United States of America,0.0,807.0,591965.0,1-723-062-7266,BHRNWQLFVFA,WY,4.0,S,O,Dollar General
Mlh7570,3.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,36898.0,48.0,Chula Vista,United States of America,3.0,819.0,3071440.0,,Ktmzav,SD,5.0,S,O,Safeway
Gor7571,2.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,396786.0,91.0,San Diego,United States of America,5.0,311.0,2683081.0,1-145-314-0862,Nfpchgfj,British Columbia,0.0,M,R,Apache
ENX7572,2.0,Hxutrprq,344365.0,98.0,Chicago,United States of America,3.0,734.0,3850483.0,1-735-104-7772,Wuywecohosfi,NJ,5.0,U,O,Lowe's
fgr7573,4.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,1205.0,51.0,Worcester,United States of America,1.0,432.0,1870617.0,,tibxlojrqiha,AK,1.0,W,O,Lithia Motors
Ysh7574,5.0,JRHXPUUHAFHDPF,276666.0,22.0,Honolulu,United States of America,3.0,394.0,1249534.0,1-518-116-1411,ogmes,OH,0.0,S,O,CH2M Hill
Mos7575,0.0,yvntcqjqqmbftwetvbqgclcdbxspvk,497953.0,57.0,Albuquerque,United States of America,1.0,658.0,3789880.0,1-696-359-4829,JUBKXDKP,New Brunswick,0.0,U,O,Tellabs
czu7576,1.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,156048.0,38.0,Oakland,Canada,3.0,348.0,3874445.0,1-352-678-5471,Xbgykqm,IL,2.0,M,O,Phillips-Van Heusen
Ghr7577,1.0,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,63617.0,68.0,Billings,United States of America,8.0,598.0,437353.0,1-906-600-9749,NNCXIBTCXZA,AZ,5.0,M,O,Wells Fargo
Rwk7578,2.0,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,244849.0,93.0,Pueblo,United States of America,9.0,505.0,2669917.0,1-093-018-2851,mfwuio,NY,2.0,U,O,Vornado Realty Trust
Uwi7579,4.0,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,123585.0,48.0,Sherbrooke,United States of America,7.0,839.0,1466537.0,1-302-096-9321,Utgwrun,WA,3.0,S,R,New York Times
VXZ7580,1.0,CYQWJKJB,391134.0,96.0,Sacramento,United States of America,2.0,672.0,991860.0,1-915-044-3154,Wgulrhctjlg,GA,1.0,S,U,Adobe Systems
Ayk7581,5.0,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,426759.0,58.0,Charlotte,United States of America,3.0,696.0,,1-040-274-3474,Srhxvxe,AZ,5.0,M,O,Valmont Industries
lho7582,5.0,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,451737.0,63.0,El Paso,United States of America,5.0,448.0,1816368.0,1-678-397-2739,Dadkihaohc,NV,3.0,W,O,UAL
rzi7583,2.0,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,180822.0,18.0,Mesa,United States of America,9.0,549.0,565246.0,1-679-345-9939,Fpoleiod,TN,1.0,S,O,AFLAC
Wds7584,4.0,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,205843.0,40.0,Simi Valley,United States of America,0.0,705.0,1899339.0,1-093-616-0613,Cuaieflmccqp,AL,2.0,W,O,VeraSun Energy
Xsj7585,4.0,ccfzcxohrhrcnypedmhjovjyjrxi,470985.0,29.0,St. Catharines,United States of America,6.0,387.0,3873239.0,1-546-131-8988,qiraymmapgf,TX,3.0,M,O,Magellan Health Services
Lux7586,2.0,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,318225.0,21.0,Washington,United States of America,7.0,359.0,767547.0,1-477-186-7432,Tsynomgib,WV,1.0,U,,Emcor Group
wxw7587,2.0,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,326044.0,41.0,Chula Vista,Canada,9.0,494.0,1027999.0,1-965-848-6954,Amudllk,ND,2.0,M,O,Peabody Energy
pfz7588,1.0,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,,56.0,Montpelier,United States of America,10.0,345.0,3428495.0,1-622-866-0937,ELQKT,Saskatchewan,1.0,M,,State Farm Insurance Cos.
hlx7589,2.0,REHWDWEP,187282.0,33.0,Mesa,United States of America,10.0,402.0,1827180.0,1-040-217-2014,Oiwac,VA,0.0,M,O,Humana
nyb7590,2.0,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,,96.0,New Haven,United States of America,3.0,579.0,2070007.0,1-101-684-2373,Dqgzinvuxxy,ND,0.0,M,O,News Corp.
Ltt7591,2.0,DIMPFMEBDNHBCT,,35.0,Indianapolis,United States of America,2.0,569.0,,1-386-426-5849,Nchaajfkjvx,ND,0.0,,O,Torchmark
gsz7592,0.0,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,306946.0,40.0,Stockton,United States of America,9.0,745.0,3596263.0,1-598-816-0126,XEDMBUAMGXKH,MS,4.0,W,O,Rock-Tenn
Kwp7593,0.0,DVYTEPWCABNSGPTLJEMPQLTEWM,99663.0,10.0,Louisville,,1.0,320.0,3719999.0,1-770-379-7700,crxbrlj,WY,,D,U,AGCO
AGM7594,2.0,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,482013.0,59.0,Atlanta,United States of America,4.0,591.0,3058439.0,,Eytubbwi,MA,4.0,M,R,
Ocn7595,1.0,,180476.0,70.0,Milwaukee,United States of America,10.0,,2592932.0,1-628-245-6238,Lwftldizl,AK,0.0,M,U,United Stationers
Cmw7596,4.0,qlgnszfowrbrkuurrmjrfnfaeulhneecv,285682.0,69.0,Fort Smith,United States of America,5.0,417.0,1471273.0,1-813-787-2611,GSSFZNBZL,PA,5.0,M,,McCormick
Dit7597,0.0,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,455032.0,96.0,Knoxville,United States of America,8.0,338.0,,1-362-897-1162,Nrnqtmjz,MA,5.0,M,R,National Life Group
Rmm7598,3.0,CVQRRGZCPZBNQTCNASXYSYWIUEJKLKHKBQZTGXQCFUDATGTJLZCATICUAJAHZLFG,356141.0,9.0,Idaho Falls,United States of America,9.0,340.0,2410816.0,1-952-919-4878,Rzjxvum,DC,,S,O,Hasbro
ekj7599,3.0,svisticqsjulrudmbisfvfrpddlemifeirzxpdcflhevzsrddatdhpzcrtucukwlqng,165667.0,39.0,Jacksonville,Canada,5.0,738.0,1059543.0,1-145-214-8009,Accezkuzqrif,RI,3.0,U,U,Tupperware Brands
wcq7600,0.0,MIMWGPPF,459767.0,31.0,Stockton,United States of America,7.0,597.0,379282.0,1-328-944-9786,LNZZPGOTEG,MA,2.0,S,O,Covance
Klc7601,2.0,Xpannac,106459.0,64.0,Thousand Oaks,United States of America,4.0,603.0,3271265.0,1-899-864-9421,YINOHET,Alberta,2.0,M,R,Interactive Brokers Group
Jrd7602,,Pspmoftnashzvtfxfiuuzjpcvugdlvvezjgojjmvkgaqxqriw,51021.0,38.0,Nashua,,5.0,662.0,1530364.0,1-877-997-8896,ddgkyv,AR,1.0,D,U,SkyWest
GDQ7603,2.0,RUVLQHPKIECWUMXVAJLEIVCCDFYFEMUNTJAJ,494931.0,47.0,Tallahassee,United States of America,0.0,838.0,3731860.0,1-750-900-0823,Seiksuhglhj,VA,4.0,W,R,Best Buy
fnm7604,5.0,Tgduloxjkccxdbsfdbssvgjtovxnpmmufkdwbhtgolrddejglsgeds,429859.0,,Brownsville,United States of America,9.0,791.0,2488858.0,,Ytgghhaxc,OR,2.0,M,O,Sears Holdings
Ymu7605,1.0,Axjkrkrawohwcuinpapcyjweaijfinacyiwajxirccyh,,76.0,Charlotte,Canada,7.0,692.0,2301347.0,1-347-704-7823,Ajlcdadx,ID,4.0,S,O,Frontier Oil
Pxj7606,0.0,WONBQPUKDIDRBXJQPKRNCTWJZIQEVS,464086.0,60.0,Oakland,,8.0,673.0,1736571.0,1-228-976-2888,Daivf,IA,3.0,W,O,Automatic Data Processing
Rsd7607,3.0,Mbkljdwjmcmljajvikytmadyqikaodunvvwefxnbvjquurcokfmbhtjirkox,207651.0,73.0,Fort Wayne,Canada,7.0,331.0,2399483.0,,xrquzcptycg,TN,,U,O,
Qqh7608,4.0,BPPKDY,260418.0,37.0,Chula Vista,United States of America,2.0,744.0,2982744.0,1-760-429-1328,shigmwk,Nova Scotia,,U,O,Comerica
udq7609,5.0,eapjgyvomnplzitwttydublguuocfdcksfgxlvoziqblbgdr,,50.0,Peoria,United States of America,6.0,446.0,1611011.0,1-253-879-8833,enehob,Ontario,1.0,M,U,Baldor Electric
Ghl7610,0.0,Nbhshnkkfusbintuaomfozzlzlrqvcnszantpkgtdkpeezeygucvpain,316963.0,0.0,Lexington,Canada,0.0,,2999167.0,1-401-256-3483,RNLAKRXSPA,MD,4.0,M,O,Commercial Metals
mtk7611,5.0,Xuqmcmxaigbk,84046.0,,Salem,Canada,,,,1-175-910-8245,Hlezt,AR,,W,O,
QIY7612,0.0,cjnjhkatetnmjfhafbopqgnqxuyyigzhvcscq,368990.0,,San Jose,United States of America,9.0,723.0,3307491.0,1-565-191-3419,Iyqmkpcjx,Saskatchewan,3.0,M,O,Molina Healthcare
Ohz7613,2.0,HBKYXCKDWMWYBLFBULAVFJRDDWSJVEIRZWMRPJI,124382.0,81.0,Kansas City,Canada,2.0,348.0,2057260.0,1-921-688-5401,klgnkcaedht,OH,0.0,S,O,Plains All American Pipeline
djg7614,2.0,EECYCMJAJGNQBRSKW,9263.0,52.0,Windsor,United States of America,,666.0,53179.0,1-925-155-0170,Jsombikj,VA,0.0,M,O,Agilent Technologies
Iad7615,2.0,Gzqqapoggafoymlrsdrpgoprvegwwopsfzocffghlyukaydviarcohmehmyeirotvnrvtpi,334181.0,68.0,Chicago,United States of America,3.0,,690086.0,1-185-691-2951,Xtckbvng,ID,4.0,M,U,AutoZone
EMG7616,0.0,hgandkyzsnb,314001.0,,Evansville,United States of America,8.0,844.0,2025465.0,1-067-518-3854,YPUWSVRD,WI,1.0,M,R,
Hjn7617,1.0,Zdhvqoatgrajtuxyjelccetgjoccpfpsixd,168309.0,36.0,Honolulu,Canada,8.0,766.0,695307.0,1-188-554-1671,Ifxvsnt,MS,4.0,M,O,Universal Health Services
CYP7618,2.0,Qjlhsxmeblxszguipqhysmeugvxjfbogsljhnkjbyzofkptcvjsxjzk,322765.0,31.0,Cleveland,United States of America,10.0,521.0,3238398.0,1-168-215-2223,EAOJPQVWBNZ,OK,4.0,M,O,Time Warner
KPN7619,1.0,QTWXYHMLBYQ,311253.0,55.0,Livonia,United States of America,7.0,306.0,1213578.0,1-228-022-3056,fhirgl,GA,5.0,W,O,Sealed Air
Vbi7620,5.0,SDEAIMDWRSKXTFCPHWF,140296.0,66.0,Little Rock,United States of America,9.0,411.0,103708.0,1-926-766-1124,Lahfziy,TN,5.0,W,R,Sprint Nextel
ehb7621,1.0,Hvihqkuiruvwtepybhnojenudorriouchghugcvjufnkzunbsrmtbcrmps,439984.0,22.0,Halifax,United States of America,3.0,,1086081.0,1-538-797-1948,tofdjef,SC,5.0,M,O,
TMQ7622,5.0,DDYEJXZYQIMFMUBLREEDFORHJSISHQDDZPBMPYHNYWIFJDDOUOLVPBXWANDWWB,454011.0,51.0,Peoria,United States of America,8.0,702.0,1349626.0,1-627-234-0841,rckzx,AR,0.0,U,O,Quiksilver
Lsb7623,1.0,qujdhroylacrccrmzujxxqlnymrouggufjybwwsykhsvmex,191541.0,26.0,San Jose,United States of America,1.0,842.0,1083092.0,1-876-492-0782,MMLJKBGXD,MT,5.0,S,R,Valspar
Dpz7624,2.0,Lhwkvadxwcjobcggyuighvqlcm,,100.0,Charlotte,United States of America,0.0,528.0,1662799.0,1-436-946-7319,banusio,WY,1.0,U,R,Timken
Zuj7625,3.0,,,13.0,Hilo,United States of America,5.0,300.0,3548540.0,1-281-780-2897,Safkd,WY,3.0,W,R,
Jqk7626,2.0,zbukjmmufvsxqdpushkgyleznwdgfdwkdhfzdfvlhvhzyxozyghmfggpnvsvwbx,269215.0,11.0,Yonkers,United States of America,7.0,752.0,881414.0,1-421-286-4139,DHTLWJDXLRW,WV,1.0,S,O,Occidental Petroleum
ijb7627,0.0,Alukohji,193126.0,62.0,Modesto,Canada,0.0,303.0,1712200.0,1-908-354-2709,RORIUHK,CA,4.0,M,O,
NMO7628,3.0,qinotwpokaozfdzpohccxuavdpaxwdlmtmjadfltnjmhwgrdejicmcfnlubhbyllemdfach,462618.0,13.0,Louisville,United States of America,10.0,418.0,847446.0,1-466-560-2530,bxgwhohh,Alberta,5.0,M,O,Massey Energy
Tef7629,3.0,FBWQRQEOCZGLOVVDOASBUQUXZBVEIKKQRXKCOLNRDAEZDUWIIIHUPMQPB,212026.0,23.0,Eugene,United States of America,4.0,667.0,344294.0,1-578-686-8082,SRARKMXOD,New Brunswick,3.0,W,O,Weyerhaeuser
Sdj7630,1.0,Kxxipkohacffav,371024.0,51.0,Buffalo,United States of America,7.0,441.0,1534879.0,1-166-077-1436,hwugfvlttol,British Columbia,4.0,D,U,National Fuel Gas
Pbr7631,3.0,Qiuvitslpgrugyhfepyhqpkepxoakfdvujxvlwdzbrdqkspjgjwaxyoqtmumrognloxfgllgtbwijnof,235810.0,2.0,Santa Fe,United States of America,0.0,471.0,3897101.0,1-535-320-1881,zgsllav,DE,2.0,U,O,Pep Boys
Ice7632,2.0,onxyyslcmbyxpfjuykowqpwqi,347270.0,,Springfield,United States of America,9.0,701.0,3064442.0,1-633-495-6478,Mszwfhpj,CT,,W,O,Neiman Marcus
ZWG7633,5.0,Wkxlmnutvtbidibsrfiukggzvzdvudlsqtqoeebfxdwoljaovnqwtpfbxqltfivgy,399212.0,82.0,Anchorage,United States of America,1.0,323.0,2016524.0,1-398-680-0278,Yqfxb,Quebec,2.0,D,R,BlackRock
Evw7634,4.0,MXUDWCEFTAOMQPNNQJDWEAHPTNIEPUJTQFGLYLHYBIJTRKBWERWKLGDWLBP,439561.0,94.0,Winnipeg,United States of America,10.0,846.0,37745.0,1-185-976-7770,ypmuep,NJ,5.0,M,O,McGraw-Hill
Lhl7635,3.0,Krdmgygwnziumjdtybwyw,29980.0,16.0,Waco,United States of America,8.0,850.0,503752.0,1-490-238-8219,Xthtecuu,MN,4.0,M,O,Family Dollar Stores
LYB7636,2.0,JTLEWNNBVYPWFKNPYKCXCZDTNCGWXYQCIDBURDHPBHUDIRREIPIIWURQNJPCMCOXKDIHAMXJO,28693.0,43.0,Stockton,United States of America,,,2115180.0,1-891-741-2112,Xjzpdio,NE,5.0,M,U,Teleflex
Ijb7637,1.0,xauoqrsloepjaonxzrenuzjnuvdmormautvsxrsssues,106794.0,76.0,Boston,Canada,3.0,564.0,839222.0,1-849-918-0984,Rgthehdvvlh,VA,2.0,M,O,
Zhf7638,3.0,Qkooarftocvmdpflbfdukodamzupzeoefxdaprmvotwoihofsraorlctgmjewbdafubkew,340598.0,0.0,Memphis,United States of America,4.0,558.0,1851334.0,1-426-168-3142,ysexit,PA,5.0,S,O,Imation
PYU7639,1.0,Bfntmkesgyjkjrgttbtdncoumqhmnxy,490597.0,33.0,Sydney,United States of America,0.0,417.0,1348251.0,1-757-910-8931,Wscgcsbwlzj,WV,,U,O,PPL
Iku7640,2.0,,499685.0,62.0,Shreveport,Canada,6.0,487.0,2722392.0,1-468-325-0119,AUQJTIMK,WY,2.0,U,O,Smithfield Foods
HBZ7641,2.0,Bnbfbxvqxtngv,62285.0,8.0,Modesto,United States of America,9.0,639.0,1785161.0,1-383-310-7894,Weqnwrwrbcgx,MN,0.0,M,O,Macy's
Pco7642,5.0,BYTRQAUTQWENJWAKLFVQEHKDYJALLKWO,320885.0,4.0,Hull,United States of America,3.0,625.0,2823578.0,1-353-727-2029,facqrtjqjmd,VT,5.0,U,O,Torchmark
Ybv7643,5.0,XDXUKYODQUUHZQCBQEZZQCMWQMQBUUEJTNSZIBPMEPLOP,184669.0,39.0,Yonkers,United States of America,1.0,,2123972.0,1-028-849-5461,OCNCREZ,WV,3.0,D,O,Herman Miller
Rim7644,0.0,nkftfznscqodxukjlmjmztlnhvcaaxmcagvke,126989.0,90.0,Atlanta,United States of America,3.0,,112782.0,1-480-785-4021,JXOGSVJ,IN,0.0,S,R,Kindred Healthcare
gnf7645,1.0,Qydqhbagvjtuivmefsuswajpijxzrnjxehoevanlkivlnnfncirniymupsrolidbsqjovm,48144.0,7.0,Hayward,Canada,3.0,460.0,248311.0,1-443-132-4138,Iqtso,MS,4.0,M,,Arch Coal
Wxp7646,5.0,Mbxglsrssswfglfkjrjmedkyvtchipxrc,377787.0,95.0,Savannah,United States of America,8.0,793.0,3719851.0,1-143-020-1234,Uxgvbwop,CO,4.0,,O,Whirlpool
Dxh7647,5.0,Fincpjxbqwdfuluknajcaxdhgnkkcwwbfrdfbrqfqqsvmkhnw,323782.0,59.0,Fullerton,Canada,8.0,821.0,1920385.0,1-475-304-3486,Ovsiu,PA,5.0,U,O,Arrow Electronics
Aqo7648,3.0,Ujullatqqlqdeavpcpzhhoscdnspvktckvmdjhdniiqn,31880.0,13.0,Overland Park,United States of America,6.0,,576903.0,1-677-882-6792,Frqdqbs,DE,2.0,S,O,Rock-Tenn
fen7649,5.0,Eymghd,390190.0,58.0,Alexandria,United States of America,8.0,643.0,1855037.0,1-151-067-7411,waiitdv,Prince Edward Island,3.0,D,O,R.H. Donnelley
CMQ7650,4.0,ZCSEIEDDDMOVRBHWWTUUMAROGAJCSMTYNASUNDOIDTZDWBVQQJBOMANTK,413821.0,67.0,Fort Collins,Canada,2.0,817.0,2954046.0,1-645-553-4591,Vlmzifrfolfs,TN,1.0,U,O,Pall
Yhb7651,1.0,Vqdxskijczxliokh,301451.0,68.0,Santa Fe,United States of America,10.0,702.0,952096.0,1-670-793-5351,DKXNSUJQRKGM,CA,2.0,,O,Burlington Coat Factory
mbw7652,1.0,Fclwsu,5888.0,17.0,Simi Valley,United States of America,2.0,409.0,3382998.0,1-049-843-6473,Vzvadviukgid,TN,0.0,D,O,Forest Laboratories
xas7653,2.0,HEAVOVI,254404.0,44.0,Mesa,United States of America,6.0,617.0,3772196.0,1-739-185-6579,Jjtgz,FL,2.0,,O,Moody's
MKM7654,3.0,Nuvildisqwrretporbklkkkuesaaenmfetzsxnsoengrbvzglsybgklzmkxvvelaj,290984.0,16.0,Simi Valley,United States of America,5.0,,3180080.0,1-215-295-5893,TMWLE,TN,0.0,M,O,Fidelity National Financial
Jgi7655,5.0,IMGLHWOQKASFDAROMYAMOPHMPBIOPSREIGWHGKFXOLVFEIKPZTCAHLBCNCB,441847.0,27.0,Charlotte,United States of America,,756.0,3971412.0,,Lfmjqz,OR,5.0,M,O,Amphenol
Mwv7656,2.0,Qyixsrnjoebdnlfllhogyogxucqdulld,373240.0,59.0,St. Petersburg,United States of America,5.0,484.0,1488210.0,1-515-341-8405,bserucmdlez,ME,4.0,D,R,Int. Business Machines
