prospect_gncd,prospect_crdtrtng,prospect_nmbrcrs,prospect_ncm,prospect_ct,prospect_ddrssln2,prospect_phn,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
mtk7611,,5.0,84046.0,Salem,Xuqmcmxaigbk,1-175-910-8245,,W,,O,,,
QIY7612,723.0,0.0,368990.0,San Jose,cjnjhkatetnmjfhafbopqgnqxuyyigzhvcscq,1-565-191-3419,3.0,M,,O,Molina Healthcare,9.0,3307491.0
Ohz7613,348.0,2.0,124382.0,Kansas City,HBKYXCKDWMWYBLFBULAVFJRDDWSJVEIRZWMRPJI,1-921-688-5401,0.0,S,81.0,O,Plains All American Pipeline,2.0,2057260.0
djg7614,666.0,2.0,9263.0,Windsor,EECYCMJAJGNQBRSKW,1-925-155-0170,0.0,M,52.0,O,Agilent Technologies,,53179.0
Iad7615,,2.0,334181.0,Chicago,Gzqqapoggafoymlrsdrpgoprvegwwopsfzocffghlyukaydviarcohmehmyeirotvnrvtpi,1-185-691-2951,4.0,M,68.0,U,AutoZone,3.0,690086.0
EMG7616,844.0,0.0,314001.0,Evansville,hgandkyzsnb,1-067-518-3854,1.0,M,,R,,8.0,2025465.0
Hjn7617,766.0,1.0,168309.0,Honolulu,Zdhvqoatgrajtuxyjelccetgjoccpfpsixd,1-188-554-1671,4.0,M,36.0,O,Universal Health Services,8.0,695307.0
CYP7618,521.0,2.0,322765.0,Cleveland,Qjlhsxmeblxszguipqhysmeugvxjfbogsljhnkjbyzofkptcvjsxjzk,1-168-215-2223,4.0,M,31.0,O,Time Warner,10.0,3238398.0
KPN7619,306.0,1.0,311253.0,Livonia,QTWXYHMLBYQ,1-228-022-3056,5.0,W,55.0,O,Sealed Air,7.0,1213578.0
Vbi7620,411.0,5.0,140296.0,Little Rock,SDEAIMDWRSKXTFCPHWF,1-926-766-1124,5.0,W,66.0,R,Sprint Nextel,9.0,103708.0
ehb7621,,1.0,439984.0,Halifax,Hvihqkuiruvwtepybhnojenudorriouchghugcvjufnkzunbsrmtbcrmps,1-538-797-1948,5.0,M,22.0,O,,3.0,1086081.0
TMQ7622,702.0,5.0,454011.0,Peoria,DDYEJXZYQIMFMUBLREEDFORHJSISHQDDZPBMPYHNYWIFJDDOUOLVPBXWANDWWB,1-627-234-0841,0.0,U,51.0,O,Quiksilver,8.0,1349626.0
Lsb7623,842.0,1.0,191541.0,San Jose,qujdhroylacrccrmzujxxqlnymrouggufjybwwsykhsvmex,1-876-492-0782,5.0,S,26.0,R,Valspar,1.0,1083092.0
Dpz7624,528.0,2.0,,Charlotte,Lhwkvadxwcjobcggyuighvqlcm,1-436-946-7319,1.0,U,100.0,R,Timken,0.0,1662799.0
Zuj7625,300.0,3.0,,Hilo,,1-281-780-2897,3.0,W,13.0,R,,5.0,3548540.0
Jqk7626,752.0,2.0,269215.0,Yonkers,zbukjmmufvsxqdpushkgyleznwdgfdwkdhfzdfvlhvhzyxozyghmfggpnvsvwbx,1-421-286-4139,1.0,S,11.0,O,Occidental Petroleum,7.0,881414.0
ijb7627,303.0,0.0,193126.0,Modesto,Alukohji,1-908-354-2709,4.0,M,62.0,O,,0.0,1712200.0
NMO7628,418.0,3.0,462618.0,Louisville,qinotwpokaozfdzpohccxuavdpaxwdlmtmjadfltnjmhwgrdejicmcfnlubhbyllemdfach,1-466-560-2530,5.0,M,13.0,O,Massey Energy,10.0,847446.0
Tef7629,667.0,3.0,212026.0,Eugene,FBWQRQEOCZGLOVVDOASBUQUXZBVEIKKQRXKCOLNRDAEZDUWIIIHUPMQPB,1-578-686-8082,3.0,W,23.0,O,Weyerhaeuser,4.0,344294.0
Sdj7630,441.0,1.0,371024.0,Buffalo,Kxxipkohacffav,1-166-077-1436,4.0,D,51.0,U,National Fuel Gas,7.0,1534879.0
Pbr7631,471.0,3.0,235810.0,Santa Fe,Qiuvitslpgrugyhfepyhqpkepxoakfdvujxvlwdzbrdqkspjgjwaxyoqtmumrognloxfgllgtbwijnof,1-535-320-1881,2.0,U,2.0,O,Pep Boys,0.0,3897101.0
Ice7632,701.0,2.0,347270.0,Springfield,onxyyslcmbyxpfjuykowqpwqi,1-633-495-6478,,W,,O,Neiman Marcus,9.0,3064442.0
ZWG7633,323.0,5.0,399212.0,Anchorage,Wkxlmnutvtbidibsrfiukggzvzdvudlsqtqoeebfxdwoljaovnqwtpfbxqltfivgy,1-398-680-0278,2.0,D,82.0,R,BlackRock,1.0,2016524.0
Evw7634,846.0,4.0,439561.0,Winnipeg,MXUDWCEFTAOMQPNNQJDWEAHPTNIEPUJTQFGLYLHYBIJTRKBWERWKLGDWLBP,1-185-976-7770,5.0,M,94.0,O,McGraw-Hill,10.0,37745.0
Lhl7635,850.0,3.0,29980.0,Waco,Krdmgygwnziumjdtybwyw,1-490-238-8219,4.0,M,16.0,O,Family Dollar Stores,8.0,503752.0
LYB7636,,2.0,28693.0,Stockton,JTLEWNNBVYPWFKNPYKCXCZDTNCGWXYQCIDBURDHPBHUDIRREIPIIWURQNJPCMCOXKDIHAMXJO,1-891-741-2112,5.0,M,43.0,U,Teleflex,,2115180.0
Ijb7637,564.0,1.0,106794.0,Boston,xauoqrsloepjaonxzrenuzjnuvdmormautvsxrsssues,1-849-918-0984,2.0,M,76.0,O,,3.0,839222.0
Zhf7638,558.0,3.0,340598.0,Memphis,Qkooarftocvmdpflbfdukodamzupzeoefxdaprmvotwoihofsraorlctgmjewbdafubkew,1-426-168-3142,5.0,S,0.0,O,Imation,4.0,1851334.0
PYU7639,417.0,1.0,490597.0,Sydney,Bfntmkesgyjkjrgttbtdncoumqhmnxy,1-757-910-8931,,U,33.0,O,PPL,0.0,1348251.0
Iku7640,487.0,2.0,499685.0,Shreveport,,1-468-325-0119,2.0,U,62.0,O,Smithfield Foods,6.0,2722392.0
HBZ7641,639.0,2.0,62285.0,Modesto,Bnbfbxvqxtngv,1-383-310-7894,0.0,M,8.0,O,Macy's,9.0,1785161.0
Pco7642,625.0,5.0,320885.0,Hull,BYTRQAUTQWENJWAKLFVQEHKDYJALLKWO,1-353-727-2029,5.0,U,4.0,O,Torchmark,3.0,2823578.0
Ybv7643,,5.0,184669.0,Yonkers,XDXUKYODQUUHZQCBQEZZQCMWQMQBUUEJTNSZIBPMEPLOP,1-028-849-5461,3.0,D,39.0,O,Herman Miller,1.0,2123972.0
Rim7644,,0.0,126989.0,Atlanta,nkftfznscqodxukjlmjmztlnhvcaaxmcagvke,1-480-785-4021,0.0,S,90.0,R,Kindred Healthcare,3.0,112782.0
gnf7645,460.0,1.0,48144.0,Hayward,Qydqhbagvjtuivmefsuswajpijxzrnjxehoevanlkivlnnfncirniymupsrolidbsqjovm,1-443-132-4138,4.0,M,7.0,,Arch Coal,3.0,248311.0
Wxp7646,793.0,5.0,377787.0,Savannah,Mbxglsrssswfglfkjrjmedkyvtchipxrc,1-143-020-1234,4.0,,95.0,O,Whirlpool,8.0,3719851.0
Dxh7647,821.0,5.0,323782.0,Fullerton,Fincpjxbqwdfuluknajcaxdhgnkkcwwbfrdfbrqfqqsvmkhnw,1-475-304-3486,5.0,U,59.0,O,Arrow Electronics,8.0,1920385.0
Aqo7648,,3.0,31880.0,Overland Park,Ujullatqqlqdeavpcpzhhoscdnspvktckvmdjhdniiqn,1-677-882-6792,2.0,S,13.0,O,Rock-Tenn,6.0,576903.0
fen7649,643.0,5.0,390190.0,Alexandria,Eymghd,1-151-067-7411,3.0,D,58.0,O,R.H. Donnelley,8.0,1855037.0
CMQ7650,817.0,4.0,413821.0,Fort Collins,ZCSEIEDDDMOVRBHWWTUUMAROGAJCSMTYNASUNDOIDTZDWBVQQJBOMANTK,1-645-553-4591,1.0,U,67.0,O,Pall,2.0,2954046.0
Yhb7651,702.0,1.0,301451.0,Santa Fe,Vqdxskijczxliokh,1-670-793-5351,2.0,,68.0,O,Burlington Coat Factory,10.0,952096.0
mbw7652,409.0,1.0,5888.0,Simi Valley,Fclwsu,1-049-843-6473,0.0,D,17.0,O,Forest Laboratories,2.0,3382998.0
xas7653,617.0,2.0,254404.0,Mesa,HEAVOVI,1-739-185-6579,2.0,,44.0,O,Moody's,6.0,3772196.0
MKM7654,,3.0,290984.0,Simi Valley,Nuvildisqwrretporbklkkkuesaaenmfetzsxnsoengrbvzglsybgklzmkxvvelaj,1-215-295-5893,0.0,M,16.0,O,Fidelity National Financial,5.0,3180080.0
Jgi7655,756.0,5.0,441847.0,Charlotte,IMGLHWOQKASFDAROMYAMOPHMPBIOPSREIGWHGKFXOLVFEIKPZTCAHLBCNCB,,5.0,M,27.0,O,Amphenol,,3971412.0
Mwv7656,484.0,2.0,373240.0,St. Petersburg,Qyixsrnjoebdnlfllhogyogxucqdulld,1-515-341-8405,4.0,D,59.0,R,Int. Business Machines,5.0,1488210.0
YOY7657,589.0,1.0,461444.0,Washington,Ejtyvddwcwvmcqmbccdfdubrnjdkbdadbqlphphwpbrtvumnnmfhyqwakqipo,1-249-978-7278,4.0,S,8.0,O,Int. Flavors & Fragrances,9.0,2621373.0
Gja7658,380.0,1.0,255072.0,Tallahassee,Ukwllcghntgqugnsgvuipavrllepqrfbbf,1-471-716-6210,4.0,S,98.0,O,Gilead Sciences,0.0,1021949.0
rcx7659,541.0,1.0,255019.0,Mesa,njrfpmvtptmizvafxeryrnxywmkqmfdouwwnykwojclyoqrgvqgiowxysc,,1.0,S,35.0,R,United Rentals,10.0,2444319.0
IPA7660,474.0,1.0,330718.0,Portland,BPENSONZGIJMQPDRWDCT,1-982-617-1421,,M,57.0,,Convergys,7.0,362567.0
rbj7661,685.0,2.0,245130.0,Las Vegas,Heurrztnsuomwaqkjnhwctjjqeekmqiztwwsjnddugdnhjfufvqgsqhppdhpomfypdpxsv,1-068-568-6056,1.0,,69.0,O,Mueller Water Products,4.0,462234.0
ebw7662,363.0,4.0,19691.0,Sudbury,PHDGPCMZMTFIABDCHWTKJMFZGITTJBEINIOTRGSDQV,,3.0,M,33.0,R,Shaw Group,10.0,3936622.0
SQY7663,605.0,1.0,13490.0,Sunnyvale,lxoewulytrayksjjeixgmlwiuwfjhuegvdbgsuermwkz,1-772-155-4468,1.0,M,33.0,O,Energy Future Holdings,9.0,2116904.0
nqw7664,394.0,4.0,90333.0,Birmingham,IMQKDBOQQNUCBFYZXMVDENONHFIIOEXPTSFBYCEIFRTHPJQEVLILNNSWOG,1-551-833-6226,4.0,W,1.0,,PHH,6.0,63883.0
Fyz7665,812.0,0.0,210200.0,Orlando,ngmzxncjzvginqaixudbhgjqkwoxqjycqrefnmqcdrisoqfbknkmnmsrdhwgmqykyj,1-894-068-7775,2.0,U,19.0,R,Simon Property Group,6.0,2747738.0
Hds7666,688.0,3.0,195318.0,Albuquerque,Jtiwqtllu,,3.0,M,63.0,R,World Fuel Services,3.0,938329.0
ksz7667,808.0,5.0,486627.0,Nashville,,1-942-682-4165,5.0,M,27.0,O,Andersons,9.0,976093.0
Wzm7668,492.0,,142918.0,Akron,Vwhjqdpbsxgifvj,,4.0,,12.0,O,L-3 Communications,1.0,2031908.0
Xna7669,734.0,4.0,243364.0,Lubbock,PQRUFVKVMHAPJWFNTXVCPZTFOUGXJMKYVMFSIGYDUORCRJMI,1-316-836-0322,3.0,D,26.0,O,CACI International,6.0,660066.0
ugr7670,579.0,1.0,208343.0,St. Paul,Rbtvdcuzrdgkwxgntknutxckwnytguygdyjwrejuia,1-746-466-6593,5.0,M,2.0,O,M&T Bank Corp.,7.0,2777991.0
Qao7671,410.0,0.0,26787.0,Columbus,Oivxztihdxtiymll,1-306-508-0916,4.0,M,34.0,U,Family Dollar Stores,10.0,3148815.0
MXH7672,743.0,0.0,190609.0,Abilene,GRBTZCPWVAXIEDLFBP,1-049-405-9872,4.0,D,86.0,O,Medco Health Solutions,7.0,3714775.0
KQU7673,431.0,1.0,,Biloxi,yrwbeeazafrlhgevuujdmoayhrrtit,1-539-901-1797,,M,47.0,O,Crosstex Energy,9.0,2203195.0
bxn7674,805.0,0.0,,Cincinnati,ZYKFEACHPDHBFUOBGEOFPMZYSKWZGKCJSWSGUIKGNFYQDUNHKQRFLSOIDNGOQGSZBYFATGDAFXXALXTR,1-976-507-8347,0.0,M,73.0,O,Reynolds American,4.0,3708645.0
Opu7675,688.0,1.0,453308.0,Tulsa,KRQPTUJPRRCYHLEFKBCWUOAXGKRYBUTSHGOFAQEMQCWGXIWW,1-902-376-9596,0.0,U,83.0,O,PolyOne,9.0,2954852.0
Ceo7676,483.0,1.0,251108.0,Oakland,Gctrmgbnlmfrattklbjkwupgkxtscugwoybzjiqavnuiogkphnmoncsdbgcympwkqtukzmqxhyjtp,1-532-161-3458,,D,99.0,O,"Toys ""R"" Us",1.0,2421534.0
DZH7677,844.0,0.0,128853.0,McAllen,Nsmcvnmewdvkoyxccrpbtnbmgcreuikqnhcdpnzksidrxizgqe,1-943-745-8094,0.0,U,49.0,O,Sonoco Products,7.0,941243.0
Ocd7678,436.0,3.0,486933.0,Laredo,Cdfhriutpkdafvnqaknxfagsycyedqxsyrtsazbklpawywxjscoudkhdxwwzojcskidtubekfgfh,1-162-078-3859,3.0,M,96.0,O,Newfield Exploration,5.0,3133101.0
Uyj7679,336.0,5.0,306545.0,Fort Collins,Legbseyxfoglxjxwhgjzrgtwehtybppbbturfyjtw,1-881-265-1012,2.0,D,12.0,U,IAC/InterActiveCorp,3.0,2070834.0
mhz7680,688.0,1.0,7682.0,Sudbury,frxttcqtwmvcozbcgkzuhtqlxixybzxntwbuywlcvboycczpyxcp,1-781-682-4447,1.0,S,75.0,O,MGIC Investment,1.0,2617194.0
Sft7681,581.0,3.0,280763.0,Simi Valley,hkoyjtywhpdhr,1-716-288-6722,0.0,U,29.0,O,American International Group,9.0,2752340.0
gza7682,670.0,1.0,296945.0,Berkeley,Mcukytevbntbtojyvvwfhtehrjkmqxqkainho,1-407-712-3659,2.0,,4.0,R,Health Net,6.0,2611991.0
Rem7683,671.0,0.0,176399.0,Santa Rosa,Upjgbbciatadkkxsnnqbhrckqcwhvmrnixiwvfosomwpzipmndogviptcaejebeyto,1-747-143-2305,0.0,U,100.0,O,Mueller Industries,5.0,3965576.0
cko7684,352.0,3.0,97252.0,Mesquite,Jfwccnzmfbvapnjdqjthwagblnpiorcwdgqdewyr,1-522-074-1862,4.0,U,45.0,U,American National Insurance,10.0,3550405.0
RLN7685,317.0,3.0,320588.0,Regina,rjxzamoqpqhaaaxieysyexzcjsydrkljzlwqrahuyziejjjlrowthbvdeiyznzoauevkfgcwwdf,1-867-195-7669,2.0,S,63.0,O,Morgan Stanley,10.0,1566093.0
Qjl7686,809.0,4.0,18284.0,Worcester,Vcuqoxpqiagdsjlrlqdhdbwfvdyyehvbhxotjyaehcjzdxigaiwokkreeir,1-272-128-3403,2.0,,35.0,R,Halliburton,6.0,1944507.0
YNL7687,704.0,0.0,,Iqaluit,Lzqpctubshjhbonplyvbkpvwaiklmxnoxbvdthmysxujjhrsjhtpiqcgvewteibauxmteqkccfjetjcr,1-174-194-8365,2.0,S,61.0,,MGIC Investment,5.0,3250645.0
qpi7688,411.0,1.0,80228.0,Little Rock,dbbiipgceoxrelirr,1-067-296-1708,,S,43.0,O,United Services Automobile,2.0,2806218.0
Xxi7689,431.0,,39672.0,Santa Clarita,lwkuslewwpqlmqtkxlfnaaloqcougorfnnscaqzzobrargrnzztbcocqahhkqqf,1-688-092-7664,3.0,U,98.0,O,Spartan Stores,4.0,2826399.0
axi7690,362.0,3.0,225036.0,Chicago,Whwhamkhcfwxwwdzlfcnrqajwcfczohlpahjoykdulkwozthxvs,1-784-445-0301,3.0,M,84.0,O,Moog,4.0,91147.0
Wqd7691,532.0,2.0,224427.0,Irving,Ydjnahnxjekwwvlbedwtqekyuhomxxrwyjdcurodxdrpbqyicvnycoz,1-773-485-4247,3.0,M,,R,Century Aluminum,4.0,1036928.0
jur7692,442.0,5.0,123153.0,Ontario,Aphldmruwmbvrajtjkcnjadcaadjovfmwhcu,1-528-873-2585,4.0,U,18.0,O,Hayes Lemmerz,3.0,2406965.0
NBX7693,677.0,2.0,,Stamford,qroliyuwlwkuquhoobibbvfubyjkpbqxuszyintthawnjjmrll,1-952-933-5053,1.0,S,14.0,O,EOG Resources,10.0,3588199.0
Naf7694,565.0,4.0,353487.0,Victoria,Gygrsb,1-882-237-0765,2.0,M,22.0,O,Dresser-Rand Group,8.0,
bzc7695,365.0,3.0,145794.0,Brownsville,Yiaduiiz,1-762-453-2464,1.0,M,7.0,R,Sealed Air,5.0,2896930.0
Pmo7696,406.0,3.0,142515.0,Bellevue,Fudfpqtgptlrxzduhykgxruxmidsscscoxfjnhnmdatvmkeldfqaqyarmbiicwnkzenypfzwsurnn,1-129-593-2017,5.0,W,97.0,O,Blockbuster,5.0,312676.0
goh7697,774.0,0.0,414775.0,Baltimore,AKNKOVOODFQXYTMPKDDTGBXOVJMTLKQQLIZPTOKLZUVJGUZVADSDVAOIHDTP,1-779-145-2680,5.0,U,49.0,,Owens Corning,3.0,16279.0
Jfb7698,718.0,2.0,125271.0,Cedar Rapids,NXFOMKMOB,1-770-255-3860,5.0,S,25.0,R,Robert Half International,7.0,1536113.0
Hao7699,588.0,4.0,,Huntington Beach,Qadpqpabca,1-336-236-0201,,M,99.0,R,Wesco International,2.0,184474.0
Dwo7700,764.0,1.0,93761.0,Cedar Rapids,IVLIDMMKUPBUAMMTZKKODCMSJIQFPAGHZSCIITYLLMSFTLFFGFLMGYPUMES,1-185-085-5742,5.0,M,44.0,O,Dana Holding,5.0,2971869.0
RJA7701,,2.0,397902.0,Los Angeles,Usvdhflkxslnbtzzisdzvrtxahojfubansszmyjicqoxxv,1-957-033-0510,1.0,U,96.0,O,NBTY,2.0,2256728.0
Lph7702,657.0,4.0,123538.0,Milwaukee,Slztmsoqjhhpzvtlgmxdagfuspobctdtmqidtayndzcwufilvguwnazchjpowkypgjwlgoweuez,1-485-740-9640,3.0,M,88.0,O,Eastman Chemical,8.0,2127026.0
Rfk7703,769.0,3.0,118013.0,Detroit,,1-459-114-0867,2.0,M,33.0,U,Allergan,,3476485.0
RFU7704,776.0,2.0,45737.0,Nashua,Jeppnwgsxehnwtfwftgi,1-671-499-0522,5.0,M,8.0,O,Global Partners,7.0,908035.0
TQH7705,343.0,2.0,456999.0,Minneapolis,fqsptuwgigbkjzqlzpcavlfufvyayzyjxpkejyntcxx,1-817-903-4786,0.0,U,55.0,O,Fluor,4.0,
Bbc7706,568.0,3.0,326910.0,Columbia,proypfxamoqniedghhqcbhnoljrpkdejieltf,1-099-914-5598,4.0,W,43.0,U,FedEx,5.0,3054149.0
Yoj7707,830.0,2.0,166536.0,Garden Grove,Npryiyyucfjewtwffepmnkekuhubxqojvkpcglhfauktnjnttzprxagtflktxlasidrhsqjhwvlzaybx,1-102-019-9878,0.0,S,75.0,O,Polaris Industries,5.0,
lvh7708,812.0,3.0,337347.0,Norfolk,wdwypgswmghpomebfxyzdsvrrmzejobbmlnocvzpjtjngis,1-873-941-1147,4.0,,66.0,R,Torchmark,6.0,248269.0
Zpr7709,489.0,2.0,41345.0,Salem,Qbjvbdhukolhkvblzlpqvhoidbsxhjjidxewmpmeyviumfaknanhkawkqkicst,1-710-953-4977,4.0,U,58.0,U,Alliance Data Systems,6.0,1203267.0
LMG7710,845.0,5.0,370209.0,Saskatoon,Abgxbgumkxdgtfxdnipqahoppnvqtycloripcjpwav,1-789-825-2857,1.0,U,29.0,U,American International Group,9.0,3704743.0
WMF7711,735.0,0.0,343016.0,Boise,johelumobsdscjxtegwoqf,1-179-937-7265,4.0,U,28.0,R,Mohawk Industries,0.0,3673540.0
Qov7712,615.0,4.0,186990.0,Irvine,RVREJBODDAQMNNKSVFCRGEEGYRFCHGQKZIJAMSVQCZSQXIKMEHHFOVJHJQFGKIOHOUNFHENWBEATHG,1-596-337-6757,3.0,D,93.0,U,Vulcan Materials,4.0,982779.0
Vkp7713,,,46562.0,Washington,fviktddqlpzaihbnirmlzugjucssebcgjqwk,1-512-224-7078,4.0,W,17.0,U,OfficeMax,6.0,2778471.0
SST7714,769.0,5.0,98412.0,St. Petersburg,MHHPNLYPKALRGEU,1-552-735-4638,5.0,U,98.0,U,Michael Foods,,2585134.0
Fuk7715,406.0,5.0,436056.0,Torrance,Szdfmvhiydvlwhpmpetcnqcwscvrnbaih,1-127-805-3262,4.0,S,38.0,O,Vulcan Materials,10.0,3591627.0
Brz7716,586.0,3.0,36008.0,Warren,BTXEJWXBNTKNXZHXO,1-985-423-7255,1.0,U,44.0,O,,0.0,1819561.0
Faw7717,630.0,1.0,417402.0,Oakland,VJIXJQFCUTCUXUYATRICWNQEXFDOKVULJGBBLWBGAYQVJQEAREHYVLEKWJRBNN,,0.0,M,27.0,O,Unum Group,10.0,2857056.0
Jtn7718,533.0,1.0,273535.0,Hull,Lyljat,1-019-900-0927,1.0,U,94.0,O,Domtar,7.0,1393892.0
too7719,328.0,4.0,445562.0,Boston,Qabwlgqrbidnenyyuvbgrhhvvrgw,1-055-674-3126,2.0,M,,O,Sentry Insurance Group,,759096.0
Kcd7720,753.0,4.0,226333.0,Modesto,lqixcaatrhjqjovgxa,1-539-727-9817,2.0,M,60.0,O,Constellation Energy,9.0,2288668.0
Yhh7721,512.0,3.0,,Grand Prairie,Ekuhwjayuxqperlxnlmrymdmwtxaflbhscqyncomfhwbxhbgjolmyxmxwmnplizhomhjceuxbntzlxvn,1-125-903-5459,3.0,U,48.0,O,CSX,10.0,3580824.0
Adu7722,432.0,5.0,,Phoenix,BTVDHAKTATGCRSNLNJIMRNEKOCW,1-591-506-8069,3.0,D,36.0,R,W.W. Grainger,8.0,1681450.0
Kwx7723,323.0,5.0,271054.0,Lincoln,Rrzywqvopgjspxdxcvbavgnmfzwgrqwccgvekosmpedjjojxvpdennlhtb,1-131-877-8296,3.0,,67.0,O,Kimberly-Clark,2.0,1592047.0
uzl7724,714.0,3.0,64626.0,Shreveport,anaeppkooczdbqjqbkncsjyigtdewzxxmwdxwigprimlifrikliqaffedqqvcdfwmnzkfzavdkxa,1-716-805-3703,4.0,U,63.0,O,Henry Schein,10.0,3596545.0
UXY7725,730.0,5.0,463945.0,Warren,Stltlktrzkoxogdnbkblwqfmeakmysqhlfzqcfhvuizenxftt,1-506-286-3588,2.0,S,55.0,O,State Street Corp.,7.0,3093246.0
FRU7726,346.0,0.0,159731.0,Erie,Rerwaixnthnmubexctjvtjfcyxbgybbnktinjlsedjzli,1-427-982-9005,,M,4.0,O,Quanta Services,5.0,3867919.0
Bjx7727,,5.0,190805.0,Fargo,dwchwkksmytmabvhrtrjksknavvfiiipophpbzkcxcrkbvkylijdjyvteuurdprxb,1-669-946-1808,3.0,M,92.0,R,Marshall & Ilsley Corp.,1.0,3245961.0
zkp7728,818.0,1.0,43888.0,Wichita,bytlgbvuqbpxdyxtlsfiowxxcobig,1-936-581-5888,1.0,M,93.0,O,Oceaneering International,7.0,600366.0
Lbo7729,623.0,0.0,34137.0,Mount Pearl,Xfuwlnffqpdtapbkklpohkpwqsumdeulnwpwxhdzwchksififvwsrkhnsclnewjhp,1-740-256-2368,0.0,S,87.0,R,Raymond James Financial,4.0,1738979.0
TFP7730,742.0,4.0,196885.0,Mobile,QVCJYXTAFGUAOIOXDMBDBDERUGMAOIVLBVNVVWLXXETPF,1-559-799-0991,1.0,S,44.0,R,Valspar,5.0,454564.0
XKQ7731,378.0,0.0,206705.0,Phoenix,Ckzlfaxlugy,1-287-631-2055,1.0,M,95.0,O,Live Nation,9.0,3912268.0
DQY7732,323.0,3.0,337299.0,Fontana,Mzcgtsgenbpkvrvcivatdmlzrerricchgsjwfrwigwqccodqcirzbamczbgx,1-100-505-6436,3.0,D,61.0,,,8.0,1966788.0
Ydl7733,684.0,2.0,280247.0,Toledo,Faarhmxaisozfaflppncgzgseppmdvpaxwxrmnowds,1-167-261-7959,5.0,M,23.0,R,Health Management Associates,2.0,985098.0
VGT7734,390.0,4.0,286206.0,Raleigh,Iqimsnxoqjlznmibgvgfawhyldnbyekclcogi,1-653-504-0712,2.0,U,16.0,O,Wyndham Worldwide,6.0,
Wwi7735,707.0,4.0,153656.0,Lubbock,Hikomhxvajrtzayxgrsnkk,,1.0,M,58.0,O,Broadcom,8.0,1053231.0
OJF7736,368.0,1.0,379503.0,San Diego,jbhtombsbmqfattyurifuucsztlxwmevresb,1-388-567-1492,1.0,M,58.0,U,Aramark,2.0,
Czs7737,534.0,1.0,19124.0,Charleston,Ujdehjjsexrvbhfomsccrawxahwifviqraxdqkwrxctnsbjpalxnofkxaaucb,1-801-318-0082,2.0,M,21.0,O,Aventine Renewable Energy,5.0,3885299.0
Zpa7738,379.0,5.0,44001.0,Garland,oepshgdeoddc,1-280-292-5628,2.0,D,66.0,O,Humana,9.0,895008.0
Icx7739,305.0,3.0,461564.0,Nashua,ZXPOVKZTHDSOD,1-075-286-5992,3.0,,92.0,O,U.S. Bancorp,5.0,101325.0
jmm7740,417.0,3.0,313750.0,Fort Worth,,1-426-228-4128,5.0,M,38.0,O,Analog Devices,1.0,1279719.0
saz7741,536.0,2.0,78185.0,Sterling Heights,Ddwtyl,1-393-250-1404,4.0,D,,R,Superior Energy Services,9.0,3779634.0
Ybr7742,773.0,2.0,419102.0,Oklahoma City,qibrtlnduzqutxr,1-130-076-0722,4.0,W,66.0,O,Freddie Mac,10.0,742822.0
ncz7743,808.0,5.0,91366.0,Baton Rouge,,1-984-871-9500,0.0,S,55.0,O,Autodesk,10.0,2761827.0
WWO7744,660.0,3.0,433487.0,Rancho Cucamonga,Equkcsmqxxxwumxbxwwitywddorabylfivwqqwiqhhfddufmuvpgrqqhrf,,1.0,,55.0,R,Shaw Group,2.0,3749505.0
TKP7745,,2.0,394286.0,Kansas City,emdfadfnncrqvdbxpaourggzglvuzwihcttgmcpyphwyykhdoyjxnckulduebzfggrkslhohhwafkl,1-203-707-3229,0.0,W,83.0,O,Commercial Metals,4.0,391566.0
Mqz7746,346.0,1.0,189157.0,Long Beach,OCDRZHIRZHWUMOLKZSAUWWEFMXGRLXIDNSOLIKWFNXKNDCZVSKCPLXTJZVCVYEIPPTXPXEHP,1-297-038-0345,5.0,U,27.0,R,Laclede Group,7.0,2959021.0
Dqw7747,475.0,4.0,22483.0,Sydney,LLCYBWYMZAHHVNXDAZQHHIATPRTQTTODPADNLVQNFDJSFFNXCRNNBJXLFMOCPNMAEBDHYWLBPYZK,1-669-932-0648,5.0,M,11.0,O,Seaboard,4.0,2776296.0
seh7748,499.0,2.0,298307.0,Evansville,ikuyjikfbjxooeeyesiqbcuwliopqmapqfxibiwdsvnfjwlutqcwqpqqniucjloupoiadljagbcyfz,1-801-131-4681,4.0,M,56.0,O,General Mills,2.0,
Nii7749,346.0,1.0,353200.0,Lafayette,Xtnlcxyfosoplfrnnecugbgwglddk,1-340-993-5817,3.0,U,54.0,O,Family Insurance Group,2.0,864947.0
Szc7750,431.0,4.0,185208.0,St. Louis,Ujiqqwqfwtglgwzqdvagemvhylqgipmmwdnphwuijxkfxl,1-116-138-8621,5.0,M,50.0,O,Brink's,0.0,1146468.0
Mph7751,823.0,2.0,17790.0,Erie,Mqmfobaorinrwvshkrfyslaccjsmcmcwamxommcqtscnwnxzlynlwdmgdgewfd,1-094-843-5304,5.0,,93.0,O,Medtronic,2.0,1702447.0
Bvl7752,344.0,2.0,59420.0,Sandy,doalizpktnbwdftrawmjymfjkjapladoceyzrwowlxlmxcjelouwgbqjcdfblonhojlffbfexkrjseiw,1-741-266-4363,5.0,M,15.0,R,United Refining,5.0,2293642.0
Nbu7753,709.0,2.0,178200.0,Riverside,,1-961-736-5322,,S,92.0,O,Smithfield Foods,9.0,1529653.0
