gncd,wnrrntflg,frstnm,mrtlstts,pstlcd,ntwrth,phn,ncm,nmbrcrs,nmbrchldrn,g,crdtrtng,mplr,nmbrcrdtcrds
OUY11548,O,Jgyvgxdmpt,S,Kbebcn,1762835.0,1-165-440-9323,251389.0,3.0,3.0,45.0,,Cameron International,5.0
Nii11549,U,GPUOSHOCA,S,Cclymxajqbg,3523125.0,1-357-474-7155,360414.0,0.0,1.0,93.0,781.0,Southwest Gas,0.0
God11550,R,Qvsjcfborukmhuznvx,M,Ifqtvkt,1581397.0,1-587-962-9613,27696.0,1.0,4.0,91.0,647.0,Sally Beauty Holdings,5.0
uxn11551,R,hdefkmafcevoed,M,Dqmgog,2431542.0,1-505-580-1056,413374.0,5.0,4.0,23.0,528.0,Google,4.0
HKD11552,O,DAJTQBQPLMKZS,U,TJBPXRSV,299329.0,1-699-197-0653,286422.0,2.0,1.0,3.0,568.0,Baker Hughes,0.0
tgo11553,U,VECUBNSDHKJZOHEIJ,U,Bodluder,2791638.0,1-267-593-5472,260038.0,4.0,0.0,51.0,562.0,,3.0
kit11554,U,evwhppgojgqvms,U,DSIBQWVAKO,388781.0,1-937-573-2011,447447.0,4.0,0.0,20.0,511.0,Health Net,7.0
vsq11555,O,Ehnwgvwqopkbgtkqgqgbic,U,cmqznjktf,2668902.0,1-756-188-0150,57109.0,5.0,5.0,37.0,449.0,Danaher,3.0
ljc11556,O,Vobzztqjkevmifvql,W,Klhij,3190554.0,1-326-886-3011,,0.0,2.0,92.0,550.0,Wyndham Worldwide,0.0
Fxr11557,,Igjbgcrohfjykr,M,dfhyhxh,1293547.0,1-997-853-8154,43792.0,3.0,5.0,52.0,396.0,Brunswick,6.0
Iou11558,O,dpyhcesjopa,D,NCNPHKUPFV,2612244.0,1-640-725-0120,196969.0,3.0,5.0,93.0,589.0,Medco Health Solutions,7.0
Nqn11559,,Xrgwzdwxrbnndnxxwpx,S,WZBYTUHZX,2576027.0,,30861.0,0.0,0.0,23.0,487.0,Career Education,8.0
Act11560,,JNQUMGEUU,M,NDCIXLVHKADR,2578386.0,1-623-768-2392,185299.0,0.0,3.0,82.0,778.0,OM Group,
Rlg11561,O,Mnxirsuztqohsyrhdtzduip,M,OSOGY,2493050.0,1-146-532-8204,,3.0,2.0,86.0,381.0,Helix Energy Solutions Group,5.0
DYC11562,R,rduyxmjokbprrdzfoz,M,qtxmxuewn,2917975.0,1-743-496-6434,353880.0,5.0,1.0,19.0,525.0,Flowers Foods,3.0
Xjc11563,O,Bslaiokykqtvjbjmipnubjorvfbliv,M,Xandhegbrsbn,2906479.0,1-187-323-0258,154696.0,2.0,2.0,12.0,533.0,Tiffany & Co,0.0
eiw11564,O,Ifpaj,M,uypfozng,3587993.0,1-371-152-0530,440722.0,1.0,,43.0,441.0,Service Corp. International,10.0
vgp11565,O,NHVEFSWZEICVUIDO,U,pidalps,2923570.0,1-884-899-1189,95796.0,1.0,2.0,,654.0,Capital One Financial,10.0
Nmo11566,O,Cgvwxlwpyixjgoxbusvjrhqoij,,ANAPSK,1166317.0,1-540-617-3307,142024.0,,1.0,18.0,831.0,Enterprise GP Holdings,10.0
UWG11567,O,VGAVEZLMBPJAZHYWEG,M,yhbrsda,3809341.0,1-894-818-0552,325256.0,2.0,2.0,76.0,499.0,McDonald's,8.0
VRH11568,U,Zuezphltchhjc,M,,1993802.0,1-266-555-5621,412470.0,1.0,4.0,82.0,790.0,Dresser-Rand Group,10.0
STW11569,O,asbrgvvcjm,S,Dvarnhlxbd,2832224.0,1-252-297-7634,428497.0,4.0,2.0,31.0,320.0,Kinetic Concepts,7.0
ecd11570,O,Rpqfuhglmytscqjeovsandc,M,Mytwpycdbj,3143638.0,1-912-592-2039,252531.0,2.0,,86.0,477.0,United States Steel,0.0
Udf11571,U,Aselltrgtpltxsnrdivsxhezt,W,Gmnxunh,1115736.0,1-253-031-2004,458603.0,3.0,4.0,92.0,389.0,FMC,7.0
FVY11572,O,Odxnam,S,Kqtfruxjxs,3991069.0,1-185-457-2535,351558.0,4.0,2.0,78.0,668.0,Whirlpool,2.0
Cju11573,U,Afuswreqvmwdgngv,S,Wcwyxjxnzfk,2320948.0,1-210-485-9754,311263.0,4.0,5.0,85.0,618.0,Publix Super Markets,6.0
qom11574,O,Bnkqzfdkpvhpihioosgwgdklu,M,Rfqevimkzd,3216669.0,1-429-367-8419,376089.0,0.0,4.0,42.0,536.0,Visa,9.0
RXK11575,R,IJKENUMOWUZYX,M,ydspsato,234280.0,1-291-762-2339,186687.0,,5.0,72.0,821.0,Comcast,7.0
Ivl11576,R,Xvoxaxegqcixxsjkjjdmuurnlw,M,Pojjohfc,2356309.0,1-705-650-1719,,0.0,1.0,10.0,595.0,CB Richard Ellis Group,4.0
VUM11577,U,SLHUSTMNVMARUDMMQIPUWEDULTN,M,ltlavcbkfew,3116901.0,1-317-972-8376,387940.0,0.0,0.0,52.0,848.0,Weis Markets,7.0
gum11578,R,awjtwo,M,,3860310.0,1-169-322-6167,272661.0,0.0,4.0,35.0,649.0,Boyd Gaming,7.0
Vtn11579,O,TEANUA,M,qydawcck,1414386.0,1-493-228-4403,463572.0,3.0,0.0,14.0,471.0,Analog Devices,10.0
dpu11580,O,ksgoszhldybbtbfdemvsijzp,M,Qhwqkbdyuoh,2050421.0,1-728-016-5625,153465.0,4.0,,40.0,343.0,Coca-Cola Enterprises,8.0
JIX11581,R,Cekdovxjduiair,S,mapprhsxxrsm,140650.0,1-074-869-5600,496975.0,0.0,5.0,38.0,754.0,Unitrin,7.0
xso11582,O,xehcdxctuovot,M,KDRDGL,492927.0,,13374.0,2.0,2.0,100.0,789.0,Ameriprise Financial,1.0
UVJ11583,O,HDMYKBM,S,Umthsen,3840409.0,1-268-106-6566,190604.0,2.0,4.0,26.0,719.0,Perini,7.0
yop11584,O,Tygzwegqrbqhsrtyahf,M,,3456740.0,1-486-226-3687,133569.0,4.0,4.0,73.0,779.0,A.O. Smith,1.0
OOA11585,O,Ypiduarg,D,Nudbueunc,2741274.0,1-457-317-0889,209134.0,1.0,4.0,29.0,564.0,St. Jude Medical,1.0
DNN11586,O,Cyjsbhvxynczqyvvjtphumiw,W,UKUBOV,1910735.0,1-736-844-9351,109120.0,3.0,1.0,37.0,696.0,Berry Plastics,6.0
Eso11587,O,Kntdlxlvbgynuilepfmu,M,vtdviyae,2616785.0,1-934-945-3582,19826.0,0.0,5.0,86.0,803.0,Aon,8.0
Mry11588,O,gxoloh,U,hfprywgz,3033496.0,1-343-216-6768,77453.0,4.0,4.0,49.0,685.0,Borders Group,3.0
ygp11589,O,Chnipenxxevvtktlsm,M,Gddlxvo,2006707.0,,268861.0,3.0,1.0,25.0,307.0,Polo Ralph Lauren,5.0
FPW11590,U,Stkampcjcavuutdhllkolj,M,UHGOFME,1421589.0,1-814-231-5171,189690.0,5.0,0.0,100.0,561.0,Marathon Oil,0.0
Ipk11591,O,Bfjicqokywngfnrsdhnfjhnmrjsz,D,RZVABGUOK,490073.0,1-735-063-4369,400123.0,2.0,1.0,74.0,,Loews,1.0
Zqt11592,R,Iyrpcbrelzkwcajcomyj,U,Gvhppo,3720606.0,1-557-253-4661,226212.0,0.0,2.0,28.0,320.0,Spectrum Brands,8.0
Ows11593,O,Dkdttakao,,lkoipl,415111.0,1-381-612-1418,437305.0,0.0,5.0,26.0,562.0,Foot Locker,5.0
ejw11594,O,sylwswpcoxygaevjbbwqlodxte,M,kttgkxtprrk,2378099.0,1-685-117-8026,119322.0,5.0,1.0,93.0,677.0,Hanover Insurance Group,4.0
DEQ11595,U,Ljuptoyma,S,jdrqss,242686.0,1-658-460-2739,343047.0,4.0,1.0,12.0,345.0,Select Medical Holdings,5.0
qur11596,O,Maeokqbtrmbvosrvm,M,Dzqhwcxwtah,1402162.0,1-252-051-4326,36540.0,2.0,0.0,61.0,679.0,W.R. Grace,0.0
xab11597,O,fcdipdcqamvuib,D,Jdnqgbobtm,430652.0,1-555-766-3524,179381.0,2.0,,77.0,355.0,Warner Music Group,7.0
VIR11598,O,Gjlvho,S,Hpkmfwg,1101417.0,1-895-185-0746,465320.0,3.0,2.0,49.0,756.0,UAL,6.0
YVX11599,,Qfmjaggonjmpwcbquxtvcrql,U,KQJTAE,801294.0,,276536.0,5.0,0.0,23.0,655.0,,4.0
mbq11600,O,QVXYHKKSGDSSSGJTG,M,Fbkwfjknfnc,1803773.0,1-253-084-7064,122483.0,0.0,2.0,48.0,377.0,Kinetic Concepts,7.0
Rkw11601,U,Xhgjblzagilmr,M,Lycfz,2686713.0,1-749-001-6441,343719.0,0.0,0.0,48.0,802.0,Mutual Life Insurance,3.0
Aux11602,,Ciodet,D,kudimljhu,,1-277-123-8765,94100.0,5.0,1.0,20.0,485.0,Alpha Natural Resources,0.0
Lan11603,O,Knisqvadxopgesamnai,D,VBCEGTETCG,3147005.0,1-078-210-7995,266895.0,2.0,0.0,21.0,556.0,R.R. Donnelley & Sons,
cgt11604,O,Fiupafixfqtabgtsqrxyhqagqfg,M,Wahqlqjpjdc,92052.0,1-217-485-7826,494928.0,4.0,2.0,48.0,813.0,Leap Wireless International,9.0
Yhp11605,O,wxzezcrnppgplmaakkfyfyf,S,SOYXSN,3022187.0,1-203-837-8731,10974.0,1.0,4.0,81.0,403.0,Chubb,
ZCE11606,R,NXQGIYDOWWCXYHLFHKPGRANHOKIOZ,S,Ymwywbzohw,2728157.0,1-688-070-6264,317292.0,4.0,2.0,100.0,722.0,Expeditors International,
Yep11607,O,ojwqussnrscuoqwkxahdovzbjm,M,Omkslmpvky,2603581.0,1-736-129-6001,182329.0,3.0,2.0,85.0,496.0,Lender Processing Services,
Npf11608,O,etjaxwqq,S,Bhiuejex,866620.0,1-587-126-6624,322283.0,3.0,5.0,58.0,753.0,Gardner Denver,0.0
ovu11609,O,IHXMVABEFWNP,M,ciadlxhllq,607498.0,1-253-546-9150,308856.0,1.0,5.0,13.0,755.0,Consol Energy,8.0
sej11610,U,Ozprywornpunvfxkiqcnubmlwka,U,tftbg,2525236.0,1-528-415-4033,395339.0,1.0,2.0,46.0,730.0,General Dynamics,1.0
Uio11611,O,Idbghluxcqchoodklgzjidlgqith,M,Tjfreyiv,2105788.0,1-257-011-0683,232654.0,2.0,0.0,30.0,536.0,VF,7.0
mwk11612,,Bqdhlubzqt,W,Jwdkz,413838.0,1-673-858-7207,256877.0,4.0,,88.0,357.0,Pepsi Bottling,6.0
Mvl11613,O,Opxadcgdeghxmq,S,ETYAXUYWWP,1861550.0,1-082-692-3311,169787.0,2.0,5.0,83.0,498.0,,9.0
Hwk11614,O,Lhgkgkqzmgsrvsxwnrs,U,Trllsaoe,1690505.0,1-553-941-1814,230333.0,,2.0,75.0,411.0,Eastman Kodak,1.0
Smf11615,O,Ekengyhorcxbl,D,PPESHHDST,1490414.0,1-016-280-7954,216513.0,0.0,3.0,34.0,504.0,Volt Information Sciences,7.0
Bod11616,O,Zuapqqohsipnlabqzjnguvbmsj,S,Lccaeuxuzva,3093168.0,1-301-321-2634,324178.0,3.0,5.0,67.0,432.0,Whole Foods Market,7.0
QQN11617,R,CCAWGHO,,Jvivg,2095763.0,1-236-472-9787,148285.0,5.0,0.0,50.0,482.0,JohnsonDiversey,6.0
JLX11618,O,QXFUKXAVNAYPOW,W,dremkuit,131939.0,1-312-946-5675,239613.0,0.0,4.0,14.0,423.0,Sprint Nextel,2.0
Hkl11619,R,Tlglkisyik,M,cpalxrcbj,3039922.0,1-187-561-7284,205435.0,5.0,2.0,20.0,416.0,Hasbro,
ORN11620,O,SCXAZCEYYZ,D,,1463742.0,,285561.0,4.0,4.0,69.0,513.0,Mattel,4.0
Qzn11621,,ctietdmggsetwfvegzwqsbwygdti,M,hwuzrons,1049466.0,1-922-960-2529,184724.0,0.0,5.0,72.0,434.0,Cephalon,
Tlc11622,R,Hunonbpowk,M,zofrcgbizyn,138783.0,1-581-044-8354,475871.0,3.0,1.0,21.0,322.0,Brown Shoe,
WQU11623,O,FXRZLWUNVFFK,S,kxbowd,718651.0,1-136-361-8892,440579.0,3.0,3.0,77.0,382.0,,10.0
Ikn11624,,MQUTWSCIMHMCKFNVUEHBOQD,S,Rzcfizqmh,920521.0,1-781-190-0085,72779.0,0.0,5.0,40.0,328.0,Vishay Intertechnology,3.0
Htl11625,O,adgoqensqjsleekwszke,S,Evusov,549247.0,1-436-676-2052,48666.0,4.0,2.0,22.0,630.0,Brinker International,9.0
kih11626,U,Pajuqvxagoefgynodq,S,Svkwdds,2270678.0,1-201-291-2778,241031.0,1.0,0.0,64.0,646.0,Cenveo,5.0
Brw11627,O,Mcsnl,U,Jkbprogwbsyi,2339397.0,1-643-966-0709,76021.0,4.0,0.0,24.0,361.0,Universal Health Services,0.0
Cun11628,R,huahgtztyekcojzbhgsahwuenl,,FZBNXOLHE,2813423.0,1-168-329-5321,181204.0,0.0,3.0,100.0,772.0,Varian Medical Systems,1.0
Inp11629,R,Lkmua,S,otrpw,541808.0,1-680-249-0273,16220.0,1.0,5.0,22.0,562.0,Flowers Foods,9.0
JZS11630,R,Pbdccufjujzbamqrfofdskypxmhbmw,D,Vlaqrjno,722488.0,1-604-253-0064,469891.0,1.0,1.0,85.0,503.0,RSC Holdings,1.0
Gdk11631,O,Rulowacdpxvcemixfsvqas,M,Wsasfijj,86998.0,1-222-598-3527,268371.0,5.0,3.0,54.0,619.0,Laclede Group,6.0
Dpa11632,R,Wecpixvtjzcxg,S,Felbiiitiqz,2601068.0,1-004-675-5978,,5.0,1.0,33.0,417.0,US Airways Group,6.0
SCC11633,O,pnaltoouvictymzkydqvqrdpi,D,Iexvpwnil,2162095.0,1-068-035-4180,456501.0,4.0,4.0,60.0,662.0,Becton Dickinson,7.0
MPS11634,O,Eteakjxkjxbpz,M,Zxejvoxqjxlq,2155545.0,1-545-709-4927,394332.0,5.0,5.0,34.0,817.0,Liberty Mutual Insurance Group,0.0
pvw11635,O,Ueecixgiaxxvytqhjmmjesgokhz,U,RXWGGRMN,2660702.0,1-583-968-9273,166542.0,2.0,1.0,4.0,626.0,,7.0
Xmu11636,O,Joxqcoojrynuhxldqeapi,U,,2107157.0,1-421-704-2719,390981.0,4.0,2.0,92.0,801.0,Entergy,3.0
Djn11637,O,Gfxncft,D,Abqmpqcftcil,1802795.0,1-993-740-3718,168327.0,1.0,0.0,84.0,552.0,Albemarle,10.0
qrk11638,O,Hekfccxkwrqyyducfypnm,S,Fbbeqovmbapv,3821277.0,1-701-056-9214,137303.0,2.0,2.0,92.0,458.0,Cabela's,8.0
rgu11639,O,BIKYELRIQAKGNHAJ,D,Gpxfn,3456261.0,1-551-420-9404,492039.0,2.0,3.0,53.0,370.0,Goldman Sachs Group,7.0
azu11640,O,senzrdupqubjxijnarwcv,M,OPIATTGQTB,130608.0,1-490-114-3920,124926.0,,1.0,95.0,728.0,Philip Morris International,5.0
Jvu11641,O,Lzjdadrsnwugontofjihwjpbckrl,D,ptzfefif,,1-451-743-5761,471272.0,0.0,5.0,3.0,376.0,Foot Locker,9.0
MSO11642,R,foajkxopbsjeicrsk,S,filftafcf,605798.0,1-974-038-8222,3242.0,2.0,0.0,12.0,713.0,Parker Hannifin,7.0
qre11643,O,Dhmdl,M,nkcxl,2163263.0,1-159-949-1495,453844.0,2.0,1.0,32.0,604.0,AptarGroup,7.0
hko11644,R,FGLHIDLLZJAAQFYJGHNOT,,Afdiwc,2261388.0,1-390-895-9678,,1.0,1.0,98.0,460.0,CF Industries Holdings,1.0
UZV11645,O,SNQSYA,U,Pxkimmb,727051.0,1-192-449-0120,375815.0,1.0,,31.0,482.0,Securian Financial Group,9.0
BCS11646,O,Jvwmrhaqbuijfmvm,W,Tthlpu,3003110.0,1-134-780-5445,114122.0,0.0,3.0,73.0,807.0,Progressive,8.0
ZIJ11647,O,Pgvopamymou,M,ixqguckcm,1857713.0,1-075-096-9878,400657.0,4.0,5.0,62.0,509.0,HNI,1.0
GWP11648,O,VWNUOG,D,,3482902.0,1-080-387-3116,293804.0,4.0,2.0,48.0,303.0,Mueller Water Products,8.0
Hdx11649,R,Wfkmhhjfxkannoehibgjdlgrncoun,D,Fvcoege,2203791.0,1-066-671-2242,358678.0,1.0,2.0,40.0,412.0,Vectren,10.0
Iqv11650,O,pdryfzsydjfjmkgatftclrftwvj,M,OTNVKBMZFI,,1-634-467-4413,469668.0,2.0,0.0,20.0,788.0,Universal American,10.0
DLD11651,O,Dfqfswwjtebrdsbypo,M,dimplcv,3855669.0,1-151-525-8237,139149.0,4.0,5.0,16.0,399.0,Huntsman,5.0
fha11652,O,usjaevvi,U,Alaho,1429825.0,1-313-385-2020,219988.0,5.0,1.0,89.0,673.0,KAR Holdings,6.0
Csu11653,O,OAGUUQNMVSFNLANKWVWOUZSHXA,S,Rvziv,313635.0,1-215-637-7916,383717.0,,,81.0,770.0,Bank of New York Mellon Corp.,3.0
kbw11654,O,BTAQMGRILUXVJK,U,Lckktrmucvj,2868203.0,1-133-810-2568,318528.0,,1.0,23.0,737.0,Windstream,0.0
imf11655,U,Lmujzmwyjrsoyhxgbtpl,M,Elmvtsrrt,1383741.0,1-932-597-9589,,4.0,1.0,47.0,351.0,Coach,6.0
Yjl11656,,Kqqibtqlkyvltt,M,Kizpbsuy,574855.0,1-553-956-4532,457930.0,1.0,5.0,25.0,,Brinker International,0.0
Tgv11657,O,pcurhlmgjmdwuliuktzhlxfp,U,ZSIKSN,2325837.0,1-618-787-1072,413109.0,0.0,2.0,15.0,594.0,Cenveo,8.0
Bnz11658,O,exutdassepwdwgdsmkucveax,M,beggq,2689771.0,1-027-328-9740,375395.0,5.0,1.0,65.0,845.0,M&T Bank Corp.,5.0
Vvu11659,,PUBIUBIZURTBYSMPXQHSXKWOJGOLVF,M,Jonqqakeky,604936.0,1-826-459-0746,290984.0,4.0,0.0,88.0,431.0,Qualcomm,3.0
Ost11660,O,Mfrlaotwvrio,W,Rkbputtpeiij,3618949.0,,,1.0,0.0,58.0,633.0,GameStop,8.0
VDX11661,O,Dcschfixbdvndnx,U,Znbklkthj,2369853.0,1-328-464-4313,223262.0,5.0,4.0,66.0,621.0,Mutual of America Life,9.0
yyq11662,O,Ckqshysnrbfxdf,D,oevkjtln,1297224.0,1-870-853-1808,343355.0,1.0,4.0,94.0,631.0,Danaher,8.0
Pex11663,,brceajr,M,cmpquy,3650244.0,1-146-824-5307,443566.0,0.0,1.0,47.0,564.0,Dentsply International,5.0
gtn11664,O,Aldlslqhbqapmfdkwscsolfack,U,Uwdqaduy,3570231.0,1-966-130-5707,275864.0,4.0,,,533.0,Catalyst Health Solutions,3.0
ruf11665,R,ELHGEECYNM,M,Bqypxybnwmrd,15856.0,1-896-324-3922,,1.0,0.0,50.0,843.0,O'Reilly Automotive,8.0
Mby11666,O,AQSBHBBUCABRG,M,uetirum,900943.0,1-477-491-0942,461982.0,0.0,5.0,87.0,327.0,Universal Health Services,1.0
Rep11667,O,Mheemgmpamwfb,U,Afcmwnh,3217712.0,1-072-193-4446,403990.0,3.0,1.0,57.0,814.0,Valmont Industries,10.0
Udc11668,R,fxtijvvyu,M,Mvmuqc,2736819.0,,147029.0,1.0,1.0,48.0,447.0,PepsiCo,10.0
uzf11669,R,lhxlgn,M,KHDHAWAV,1464706.0,1-124-194-4990,443592.0,2.0,0.0,96.0,773.0,McCormick,2.0
Yeu11670,U,MSCPALXCILRKBVKAXOEMAXZBUODWCR,U,,2867175.0,1-555-537-9938,143837.0,2.0,3.0,30.0,640.0,Public Storage,4.0
ydp11671,O,OHCJCIJOETWWSWSDQZEVAIFZIYQOPY,U,IXCERZM,1579693.0,1-490-369-9735,297370.0,2.0,1.0,19.0,751.0,NCI Building Systems,
UKO11672,O,Shmjusxwqwwjciesvjp,,PUQEQRRMLEC,598721.0,1-412-804-3130,162761.0,5.0,2.0,63.0,,Vanguard Health Systems,1.0
SNC11673,R,GSKNABIDBBJSBHOMX,,Iksma,917643.0,1-825-309-6191,366179.0,3.0,3.0,,358.0,Equifax,3.0
xro11674,O,Vskvyo,M,Lhxey,1443469.0,1-793-326-1785,384392.0,5.0,0.0,17.0,747.0,Metals USA Holdings,5.0
css11675,O,SILPKHPIIOCO,U,DETQYCRCAX,2164502.0,1-264-132-6153,445223.0,1.0,2.0,88.0,392.0,Jacobs Engineering Group,3.0
urj11676,U,quxemkprnjndinuvurxgldfwnijm,M,Mhcopi,1197133.0,1-321-350-2259,375792.0,0.0,0.0,98.0,456.0,Questar,4.0
ett11677,O,Rdigykcpasqplpirvxhiwiritlhmd,U,Hlntnjhjflyo,1010441.0,1-926-221-5255,220949.0,2.0,4.0,23.0,806.0,DirecTV Group,10.0
Cdi11678,R,HZYKAXUCOSRON,U,LTGXSWLW,199216.0,1-953-155-8687,241942.0,4.0,3.0,5.0,509.0,Owens Corning,8.0
Ztw11679,U,Fifgeqwpgifjtsyyltndojo,M,Mwljzuxzv,3963144.0,1-176-162-5262,483010.0,5.0,,74.0,563.0,Jo Ann Stores,4.0
cil11680,O,Ulwcoq,U,Vgmmsbwacaif,2601194.0,1-410-981-0577,312551.0,4.0,1.0,19.0,745.0,Telephone & Data Systems,0.0
Xdr11681,O,GGENSYUBGEWQYWDUJOGQFUUCB,S,Irckndphmwr,1673953.0,1-594-359-0657,3571.0,2.0,1.0,65.0,723.0,Gap,0.0
Ctr11682,O,QGVDVZ,S,ZLPRV,270302.0,1-401-555-3070,200037.0,2.0,1.0,40.0,815.0,Paychex,2.0
SBH11683,O,OKRFIRAOFWKXJKLCLQLOXZHNL,M,QLLTTUCIMFTV,275543.0,,184904.0,5.0,,31.0,,Windstream,5.0
xla11684,O,LVOKODFHCPYOEJJHZDUBNLIM,U,rxombjznw,1537051.0,,264753.0,2.0,4.0,49.0,494.0,,7.0
TKM11685,R,lclgepexuygoebrxqvxnigzkh,M,Gtbqry,,1-753-130-8370,357753.0,5.0,0.0,64.0,502.0,Pentair,4.0
gme11686,O,Ilkkyfhbvylnoh,M,Mhoik,1738558.0,1-152-194-8209,119675.0,1.0,2.0,6.0,604.0,Securian Financial Group,1.0
Ohi11687,O,Xlcvzcaqzzcmdrwdemzvryggysa,M,rciclwp,2116401.0,1-191-951-7804,274993.0,3.0,0.0,45.0,627.0,Watson Wyatt Worldwide,9.0
Xpb11688,O,Aeaypvzvaseyxxjzjpsuprdgmpuxx,M,Sxxnfmmacxs,1678971.0,,,5.0,3.0,59.0,626.0,Mercury General,4.0
Vlg11689,O,Ywilvgponxgzovewagorroojtsu,U,clbiccuqjr,2669106.0,1-471-247-1746,419338.0,,,51.0,771.0,AnnTaylor Stores,5.0
Fzm11690,U,eobyslnvvawj,U,Cwtdnulw,1901664.0,1-114-745-7251,207435.0,1.0,2.0,35.0,309.0,Realogy,6.0
WDT11691,O,Irqofwmhoccse,S,Regwvlzcdtcl,3038656.0,1-477-243-2249,,3.0,3.0,71.0,504.0,Fifth Third Bancorp,0.0
HJM11692,U,Gryywzxqo,S,Vrfiiralkmd,2453031.0,1-452-030-9422,398542.0,0.0,4.0,87.0,329.0,EOG Resources,6.0
PEI11693,R,ftpszhtwyddfpref,D,Yxevhn,207536.0,1-442-354-3443,223669.0,0.0,4.0,49.0,423.0,L-3 Communications,9.0
RBT11694,O,LTQEKHKLFGQUEEKLUGBHZUOQAGHSH,U,ereqbtx,206639.0,1-098-984-1794,473319.0,1.0,2.0,58.0,607.0,Lowe's,6.0
Yka11695,O,UJMIUVSAVRVHMHEWTNFWGHVTPVSJ,D,Hahbba,2985447.0,1-794-059-4223,100209.0,3.0,1.0,28.0,606.0,Visa,7.0
WNT11696,O,Ubflbmhakslupfqo,M,hcerut,2053374.0,,319306.0,4.0,3.0,55.0,594.0,Occidental Petroleum,6.0
ywr11697,R,Wlldjbisephyunjeyhsvlnzlmm,D,Cowzlf,1408481.0,1-654-654-7304,8973.0,,5.0,65.0,357.0,O'Reilly Automotive,0.0
Jbb11698,O,AGGOVTVWHRU,M,Bxqjeyqcpjiw,2945555.0,1-744-200-7047,307477.0,3.0,2.0,23.0,827.0,Thomas & Betts,3.0
AXF11700,R,Ahfnusfjofqpkx,S,Pgnbslakx,2550827.0,1-866-638-9616,193836.0,4.0,,37.0,457.0,KeyCorp,2.0
Lys11701,R,Bhxejnedghahotadeggrznokwd,D,Sjituautbv,780037.0,1-196-498-0536,251277.0,5.0,2.0,21.0,607.0,Mercury General,6.0
swu11702,O,dqgaootgsavfrrtotzfsyjh,M,Krnlxqgvh,3909871.0,1-955-740-7729,59523.0,4.0,4.0,,373.0,Exxon Mobil,8.0
Zpg11703,U,Wqtqovajbcipjqqxtknudavuisans,U,Xdromjnfftg,2346962.0,1-834-052-1125,137795.0,4.0,3.0,15.0,675.0,Tesoro,9.0
OAW11704,O,BGSVWLEGLVEFUOADSHMZCBZEM,D,Oqtnallelblv,1250930.0,1-535-102-7352,399046.0,,1.0,63.0,363.0,Northern Trust Corp.,1.0
Lfx11705,O,Maviygwocwd,U,BSPLCUEHFPK,62707.0,1-963-878-6116,334031.0,3.0,1.0,54.0,614.0,Snap-On,9.0
Yft11706,,neireukqktr,W,Vntnhuubt,3294642.0,1-954-749-6275,315684.0,5.0,0.0,45.0,695.0,Metals USA Holdings,10.0
Who11707,O,Uggrtznkwvzvessnwglspzbushsnd,M,Zvcornlcgp,3171625.0,1-528-121-1449,429394.0,2.0,4.0,52.0,321.0,Williams,8.0
XWA11708,R,OVTWKXDMMMBKCZ,M,Sclpxnpmiclu,1424214.0,1-827-138-6252,192710.0,0.0,5.0,32.0,699.0,Berkshire Hathaway,2.0
RYC11709,O,Hgyicjwurbmhrgxqzpqtiegnrtbc,M,Hsxtbmjyrtx,191608.0,1-183-744-5645,166631.0,5.0,2.0,6.0,818.0,DuPont,4.0
zrz11710,,BBORTYXAPTEWNVQHFX,M,pokoc,3886497.0,1-285-006-1659,260879.0,3.0,5.0,16.0,427.0,Teradata,3.0
Qvq11711,,blkolicmozus,W,Uljca,2024945.0,1-056-201-3409,130173.0,1.0,,81.0,750.0,Rockwell Automation,2.0
Iqy11712,O,YTQQFKSMKC,D,HYQGBQ,931226.0,1-367-894-8849,,,4.0,93.0,,Symantec,5.0
meq11713,O,Oyxgxjjaxhmnoswfusibt,S,govbysnntupk,1158767.0,1-904-731-7573,241916.0,1.0,,63.0,780.0,Peabody Energy,9.0
Wda11714,O,Cptdqrqctsbxug,D,IMDKKSOMIENB,,1-351-524-3383,95911.0,4.0,3.0,86.0,639.0,Sonoco Products,5.0
Khj11715,U,QDHVIUASNOURKRVQBTCNZQSQ,M,Rhliqcqw,,1-627-826-7984,,2.0,4.0,95.0,724.0,Aramark,10.0
Hwu11716,O,KBETAIPSRXKTPWTDSLZKQL,M,FSCDNSS,665510.0,1-043-614-7259,367388.0,1.0,0.0,57.0,448.0,Watson Wyatt Worldwide,2.0
qpk11717,R,MDJCRN,U,YZLLQ,,1-537-995-0563,5139.0,5.0,2.0,27.0,731.0,,2.0
Lxu11718,R,Esmskvmlofiqg,M,Xofwwnkz,626986.0,1-535-499-8026,20040.0,3.0,5.0,96.0,846.0,Wyeth,5.0
BEJ11719,O,khubcmxvd,,Gugfwmhve,1376382.0,1-413-765-7306,459798.0,2.0,2.0,,370.0,Micron Technology,3.0
Ilz11720,R,Bkjdwomgnipfadgl,M,Izjacpd,3375753.0,1-363-033-1146,303758.0,0.0,4.0,19.0,733.0,ABM Industries,4.0
TUM11721,O,Vrjnrisdaauumyqcrypkffz,M,Srjfuixbkv,,1-262-324-9802,166207.0,1.0,0.0,37.0,545.0,Jack in the Box,7.0
RJF11722,O,Ocnxvbhjoxkomjbqbqbtpjt,U,Cxrdbasy,909889.0,1-293-545-4910,477916.0,2.0,4.0,47.0,793.0,Virgin Media,2.0
