NumberChildren,Phone,AddressLine2,MiddleInitial,NumberCreditCards,LastName,Income,FirstName,City,PostalCode,Country,Age,CreditRating,Gender,AgencyID,NumberCars,AddressLine1,OwnOrRentFlag,Employer,NetWorth,MaritalStatus,State
3.0,1-083-206-8001,Wyjtjlhlsfvfywdtcuntevqbtvaelqnzktuqgvqvpdoaz,,1.0,evardwwrnncfbxxviwhhr,31804.0,Mtjkbuqg,Washington,Vfcguvnqzym,United States of America,27.0,369.0,,eva9244,,Idrdfuwovurjijlhgdwraoviexscfvqmtvnaoxchukeruvj,O,Zions Bancorp.,3381930.0,U,VT
1.0,1-121-207-1806,criqjgvopckdkwfdjlwrahpbwlyeywlowixvefuihvrhnzpdewocqkukxdxabhhwp,,7.0,Dwxrhezpx,113650.0,Fueoadmilnehpvjvbh,Beaumont,Haoeirqcrbt,Canada,75.0,329.0,,Dwx9245,,rzlxasxxwjbkhdafdvnxasyjklaictldyppzgkkqpdjqorohrzrahtgdgnb,,Gilead Sciences,659165.0,U,MA
4.0,1-190-876-8598,PKSWBQTMKIEFXGWBOVXASJJVFMAXJMKJNPTJWMIRAVNJUVDNWUDRVWOGTQJLZFRGQXCQMTBSSVOEGW,,4.0,Qyvjtmifetoegablkfygnudzbb,47147.0,Tmbsoucxfya,Billings,,United States of America,68.0,439.0,M,Qyv9246,1.0,Jnapdwqn,O,Applied Materials,1496328.0,U,AZ
2.0,1-406-006-7635,Ajnbbttepkedfivssfevjzexcpvqkzfdrsasj,,4.0,Xqnfma,389952.0,RFAZQKTTUSIYOFTQPGHBBJVDEBA,Costa Mesa,LYUWCHLH,United States of America,49.0,669.0,m,Xqn9247,0.0,Ibxzatbfxkihb,O,Delta Air Lines,76649.0,U,Saskatchewan
,1-460-765-3876,Mzitnuztfwempooswmcady,f,7.0,Vlhxhbnmjvrluincmbpe,202459.0,QHKKAXIARNECUERBWYRWEDYGG,Berkeley,Ppvtn,United States of America,30.0,538.0,,Vlh9248,3.0,leitdpznllxcirwfgtxmgscuvtrovcuvshmbricgrhdplfkq,U,Blockbuster,2291150.0,U,OH
4.0,1-687-753-0503,fopzjnwkugycztovkcpulqbzpabarxzylpoqdpvbjmtoxotuakimrmwdulwexrfixwujiguzarysq,t,,uhbumnnqgythoezkacvdtjwhtudtln,396254.0,Dchnlnfxnhqjwuqwmt,Orange,flqdly,United States of America,44.0,486.0,,uhb9249,1.0,Osatesuslmvkdmkaawr,U,Regis,,U,Manitoba
5.0,1-045-600-2747,xblmwtiqjqipqbmlgdxlckhaxijlkdyuonqnybcttgisolcdycmfaffaklpmjmesyoo,B,1.0,Amsjn,304743.0,Hheviciawlzeuuymfva,Mesa,mkfatn,United States of America,61.0,314.0,,Ams9250,2.0,Qkljgmcvcnzsnuvivmavcnhvw,U,Auto-Owners Insurance,1862553.0,U,ND
5.0,1-572-237-2964,wjwvssezmljhxtbmhamexdbkuzinwdxfcfekewbzskisprrylzlaihbbpuuycdfzltqxkwvqnyns,K,3.0,ACBBWUKYQQECHEVJK,268291.0,WZZSMCVAHMCAXBE,North Las Vegas,IRPXAPGKLCSV,United States of America,94.0,335.0,,ACB9251,4.0,Bgswwhxkavgm,O,Ruddick,3422525.0,M,IL
0.0,1-101-877-7370,xurminprfh,,2.0,afhjpdmqsctdcjqegrjpmmz,413892.0,Yheahpkslgerciemwkrzwlxz,West Covina,Radqrl,United States of America,88.0,717.0,M,afh9252,0.0,Lmdfxuzbkvuwysjwnwlcssqyfsrqibjuahsnbrrwnguvbtbdlycsxwwptsgbuhrdob,O,Kla-Tencor,451385.0,S,NH
3.0,1-978-257-4310,Gqhflnfgvpsqgnjjikaonuzkpyvzerigkjnvpdetj,,0.0,pdtopzmcvqtcxzixftnjfbmq,50739.0,OZKMSRUHEELWBT,Sacramento,Lqzpj,United States of America,72.0,486.0,,pdt9253,0.0,Lsouyhndcdzsxchvfwtmmxxt,O,Gardner Denver,3234523.0,M,CO
0.0,1-285-220-4963,IWJVWEUMRFIQJZUOMVJEPHRJLMVLTJLBOTABOFKGAIOEX,f,2.0,UUPNZIWHDYHKPYAHBHUOFFDNC,80798.0,OLQIAKKTYR,Mount Pearl,ginwatk,Canada,40.0,404.0,,UUP9254,1.0,Dqacrawruy,O,Mosaic,2390840.0,W,Saskatchewan
1.0,1-929-454-9080,gcasadvtktvxytobjtqjhrucqfefkeaklvdyekoytodbjsomdjqes,l,10.0,ixseoty,,stmtgjgpnsbly,Buffalo,THRPUTV,Canada,61.0,650.0,,ixs9255,4.0,nuwocjzdujbpovrluicdlznguuucnzsnxeopah,O,CarMax,3164221.0,S,Newfoundland
0.0,1-573-046-0328,Wrxhllmqkcgnqyymxjrxqdqdcxtmlnxzzeiduduvcrswgaiengmtpipo,Q,1.0,Ftyiqwnaygdcozzp,402527.0,Hgwjjjycqtho,New York,yqxoo,United States of America,28.0,757.0,,Fty9256,3.0,EZMPOTTY,O,Sherwin-Williams,455909.0,U,KS
2.0,1-177-407-1347,CKXNMISONLMCHBHKJJKHMSCBBKTZHJUEZWFCAQXLOPMWLMSCXVNLEBQDAYNJAZAWQGSNCZUUGB,O,7.0,Dkktfl,344996.0,wrvibahnpkzhxtcvmysegarucvmpu,Vancouver,Kmvlj,,64.0,461.0,,Dkk9257,4.0,Sxbvbiemjjwuucqdunxazvbuzvckoptasuchjwbsltjjxddjqvteujrlduekpfkfoagffzncvwkzc,O,General Growth Properties,2269320.0,U,ID
3.0,1-035-398-3179,Nftqeyzafflivwivlphnesagktifokzqvelvimnndjlsvgiuhmzfggjnqfqsyxpjj,,2.0,EWZPJILFHQROA,27697.0,Pppsvtdphfmyqkdlkml,Providence,Mawtlavbq,United States of America,28.0,356.0,,EWZ9258,2.0,Lusjevhyyljmwnmgyfnepzbbfcdyxkpefqnwmxajasfrmphjceeeomuqzhhcujdup,R,Quest Diagnostics,,M,HI
1.0,1-112-898-0222,DUEFIJIUABV,,6.0,Iqnoqthi,61175.0,Tclgxtramnv,Lubbock,Rglypmjksoq,United States of America,,522.0,M,Iqn9259,2.0,Pmllxaodixguvdjtyuehhqneneczivhmllpsnmaxgfaoulsycnwbcedcbvcegqamfqe,O,Goldman Sachs Group,3460973.0,D,GA
1.0,,ciungsfgwbmxzjqdlkiqwn,O,2.0,ncoqc,470956.0,gunjawgjmsfjokkhrpvqq,Huntington Beach,Jjijpl,United States of America,13.0,536.0,F,nco9260,0.0,Wdlfqwjqmqhuqkhjclmafvlllxlwzqigbopsokelvajvzmrbffmwwurxteww,O,SunTrust Banks,158220.0,D,SD
5.0,1-981-187-3119,QAXZFNRXTALFYSOCGJTTZOJJLVGYDFIHUXGBFHQWCZIPVOLHIDKUGOFOPTLRNEMWOFEA,t,4.0,Mfddasyorwev,14329.0,Wajtsdextuevmfefytsgwmcbuxji,Provo,Bnmprs,United States of America,90.0,800.0,,Mfd9261,0.0,Teuaandqdjgdrujamwetpugcyltdrdcvdixihtiknefchdgpwelbpkbxrvppccwicrlrnzjqkqytgdl,O,Expedia,1236451.0,S,IA
0.0,1-602-182-5007,Ikxhmqrbpodulgrfkjlctfejpefgoxedwvoihctttlqwijn,y,10.0,iunifaexxv,340416.0,VIHNEBVTPFTALFXKI,St. Louis,MDPRRNMGV,Canada,45.0,429.0,,iun9262,0.0,THAXZXGNIIWZERVUXQREFJNZADHKFO,O,Plains Exploration,2050117.0,M,CT
,1-469-600-6858,Bdbdxichvrsjzplmwcoiiajgqngirffyzbaqmsjkkilvydktntkonlhekvnpckvdjswxuauobet,p,5.0,Jwyjoxgb,494896.0,QIHRKDEMFNWRXUV,Providence,ZTHLRCSUNXRI,Canada,90.0,485.0,,Jwy9263,2.0,pyukfuhlzqrlgkcqfgxkljlxatlzyfsvxsvkb,O,NSTAR,3132061.0,S,VT
0.0,1-102-636-6366,Jejfnyvektpgfdsgtblmuabzxleqahcghyrbegozstaspjfgmjbsbhlribhsyzjnpicfuk,J,7.0,OZUENEPHICAQWUSCTQBMQCFZUNTES,332331.0,ISYOOBVOXJGEFZ,Norfolk,Ovsjvyu,Canada,40.0,647.0,f,OZU9264,2.0,CQGOTQPAHDSLFJLOOKQXRHUWDMG,R,Tenneco,2096984.0,M,Newfoundland
0.0,1-294-034-4125,Xtxcpnyyhiavfaolgygsmtdrdpqpeomkaoishnokvvxqiqnwefornlvsj,,5.0,Vhhgrmkdenk,188310.0,Wvnnjxrehdaaopcsx,Fullerton,dliaww,Canada,23.0,302.0,x,Vhh9265,0.0,tzmozvqckhhzpvkefjrypcqsedtjsue,O,"Toys ""R"" Us",2604664.0,S,Alberta
2.0,1-797-828-2051,rnbdrqycpfsdaxjbfosrhktvofixyasclgdvuhoampsbqtejmvhdlgtekbxoauvyjmvnxafcgqyim,,8.0,kkkcsbwvwetlatpvpl,180615.0,WEIBIOH,Hollywood,Wadqtqnimtw,United States of America,39.0,350.0,M,kkk9266,2.0,MKTGBBVKHLIIDWPOJJAPANDZESYURAOZUKTXVCXHDSLMQAEGUUVHLNEJJS,O,Allegheny Energy,1842010.0,M,AK
0.0,1-071-343-3869,DEDZSBMSKZQRHWFLCRPCCJOQZVB,I,8.0,hcdyloziuyyaznjqmlpsiqrvttwkj,14461.0,Mdacvdkdvsjgihavsfrzwthofvfk,El Monte,WHPEYHMUAA,Canada,69.0,609.0,F,hcd9267,5.0,HXNVGPCZUDUZXOMUSFKASRFSDMHQNYNRACKNLMVRL,O,MEMC Electronic Materials,1094780.0,U,British Columbia
5.0,1-495-563-1627,Dnctrhkuervigrkxdoduk,,10.0,NVPHVLMUGJCQPJWULROJDD,395795.0,LJOEY,Nashville,qftsswso,United States of America,77.0,751.0,m,NVP9268,5.0,Ivtajljrsarvfmtgwtmayngniiabyytepsinwelhsraxf,R,New York Life Insurance,1398892.0,M,KY
2.0,1-163-355-4572,Lrcletatmofgkqsfnutzpwpvcvnkqmexogjqubukvgqyzqzcnjgrxmydbfmrkuxdsufdublqprtn,t,4.0,Hkkbpwelajnxdseapeclhzufve,341012.0,Eojqgbczxtgalqkuhwlg,Riverside,Xukaatfxbz,United States of America,37.0,410.0,m,Hkk9269,5.0,DCQUWAWCDLTSLMFJAMJFOJBWSLZEMCB,U,Sauer-Danfoss,1471913.0,M,TN
2.0,1-328-166-9769,Dhdvcrwtqtcuc,,4.0,Qwfexxxhvwcluqegmwya,,xrkclrvumuf,Orlando,Lvzjxcsoojnp,Canada,99.0,437.0,m,Qwf9270,3.0,Uhartoxxcnvgpdumhopwkkidodrspzoiblqhutrgiygexctpmxgti,R,Service Corp. International,40150.0,M,MD
0.0,1-560-210-6284,ednijlproavcctkxxiwgmbegrlaglbjpnfqxdfivbrvhc,,1.0,uzyaolbnuwf,33940.0,Bkjdjfjvrogmwgfu,Vancouver,Cpjhrrjvtiyk,United States of America,33.0,399.0,f,uzy9271,3.0,stzocozqlxstqvfflds,,Chubb,2455738.0,M,IL
1.0,1-331-171-6816,fecqyzclikmeuuinwowbikjbbruicknhrxajfhnzqltmlwlavjsinewznsnye,,3.0,Qerifijdfsccqnsq,4143.0,ohlidpaxszglvjlynxuciwsmqjoeya,Idaho Falls,Kxuvdas,Canada,38.0,844.0,,Qer9272,0.0,httouwdvateikzzw,U,Harsco,3823670.0,U,ND
2.0,1-779-855-6704,Bbpvxkcndtrsnwrln,J,1.0,Znukufazahthydrsbuvdemgacpks,167631.0,flcpwdexwrhggd,Nashua,pysjnd,United States of America,52.0,844.0,M,Znu9273,4.0,JZFCYNPQIOLTLEPESQVEXFWNAUOEQESOTVPKTAWOUJWFHJBZNWSTCDRISYJBJDTO,O,Big Lots,2749198.0,M,SD
5.0,1-202-354-1589,Bllspdht,k,9.0,cvgjccsq,354988.0,VKJHKTUTOJSNCIQTJMJAP,San Jose,RFPQT,,74.0,353.0,F,cvg9274,2.0,CCOFNPXGQVYN,R,Spectrum Brands,1091679.0,M,MO
3.0,1-950-104-6943,WPQJXNAMFX,p,10.0,Qqllnzdmqcqtfqeywmywkh,449820.0,mhlpjcgrrdhqrrzueglrtpag,Hartford,Rmxniyi,United States of America,94.0,448.0,f,Qql9275,3.0,CXZAGMCVFLWIAEWUVSRQJKEGMYWVXHSEDZNCSTHCDYITVMLPKAJUROSRDIFYICUHWTVIMKQTCZAGS,O,Ecolab,2150364.0,S,FL
4.0,1-275-718-2640,ibdhpckfvkkpwixmjfqykijqznovjtbxyikisgdllxgkkikanelwzribtm,,7.0,Sfphozwoskrtgldrmq,6411.0,Bbcwooktmcsowphiffewaxkran,Nashua,,Canada,61.0,550.0,,Sfp9276,3.0,oervjgaibwytmepfdonmevideifrngcxcampcujjrugmkunuplswb,O,Fiserv,1323751.0,M,AR
4.0,1-123-090-5633,BRPHSUDUUTGRLTJVWKXIHBZBP,,4.0,Gvgjgwo,452184.0,iqzfhrcoduahehwr,Columbia,pxwhx,United States of America,51.0,460.0,f,Gvg9277,0.0,opddvbchttgspgulwcvntwblrexdnvwwjtiqwfkpnkquoinjpkwjvzbcg,,Deere,3615431.0,M,GA
0.0,1-144-202-0200,Bugjdanuokiosmkphc,,0.0,Uhasmd,,DHIGLBOOXGGQYYZK,Santa Fe,eqlrbe,United States of America,92.0,448.0,,Uha9278,5.0,YWIDBDACNOEOCMOEWWMOGPBBLIKKKOTKSBTGTQMYUVM,O,Dominion Resources,1454327.0,S,ND
0.0,1-931-271-7927,Gzfdyyzmvbrgnkilgdjzesjclwfliaxhinlhebqlegmc,,10.0,QUUFSLBYDDTHIBVXZGZFUIRABC,174030.0,Gbyvkltwavaeiczs,Garden Grove,NBNBJJLVE,United States of America,47.0,503.0,M,QUU9279,3.0,KXLGBHVVQGJEBMY,O,NRG Energy,2994755.0,M,MO
0.0,1-454-876-2261,Lokkhepfkwzgfdcixhhutokfsnbtilnerf,,2.0,Qklresvwkwxaocjilzigyyj,151380.0,utecrvzrpjxogjytgsnp,Milwaukee,yzuynlhvmz,United States of America,34.0,697.0,,Qkl9280,0.0,kiumrgmgeezibnjqpsodzorrivbsxmwhnzt,O,Amkor Technology,3471416.0,M,Nova Scotia
1.0,1-056-699-8225,ecocbswqbffkecefiskuaoladignwhmnjkpfhsweiinlrhutughqhyfjapqg,d,0.0,Zmapnfoowjipky,491974.0,Eppnuv,Cincinnati,ravyrsrl,United States of America,93.0,831.0,F,Zma9281,0.0,Fvracepauyrpswkns,,Sempra Energy,1230647.0,M,Nova Scotia
5.0,1-961-866-6787,Elsltvsbvezfoxsffxfnnjlcqflahmpduxljhxhgvkgcakvipgpeacykj,l,0.0,azxvsqisiojdmjm,186620.0,Znsboolysnmpldan,Pueblo,Llzyw,United States of America,61.0,493.0,,azx9282,3.0,Adfjmtyqtkwsh,R,Smurfit-Stone Container,552886.0,M,ME
1.0,1-383-262-5550,tuwttnjccszutxoxlgofpzccmtsgojrqhwkohafjooohawdjprrclszhipeocjhetkbwqeho,v,8.0,Ipbzlojbvhacqccerowielllwqd,4011.0,Yrovgp,Thousand Oaks,nehurgpltfwj,United States of America,28.0,565.0,m,Ipb9283,4.0,HOSAUOMELHWAKCIFVFQGYKAUURRUPSFY,O,BJ Services,3241806.0,,KS
2.0,1-442-477-1954,Jkfzzkvoyzruqcoduxqlhcbcxy,W,2.0,SOOJTHL,161973.0,REJRTAMMEXPYLUKXL,Santa Fe,hafatin,United States of America,,344.0,,SOO9284,5.0,XEKSPNLHYTPKOYTTEEKKECCXANDIXD,O,PepsiAmericas,498520.0,M,PA
1.0,1-709-748-9824,Tnvdbsuvadjuhjnafrczpdvxbnfnatxlprakqmqhgidriobtbvsjskmyfgopgsfrpr,,6.0,Tmjensldwlktroejbxlak,79257.0,BIAFNRGXEEUJVLLAQOZFFTTX,Albuquerque,vwitbvqqibxs,United States of America,24.0,342.0,,Tmj9285,4.0,TXRZFBFKHKDQXGKHUQYMATPXVBSQWKAEFLLV,O,Graphic Packaging Holding,558126.0,M,VT
4.0,1-800-248-1863,ztzayqihedzdpdeoid,A,7.0,Inxssortmcsljzvnvuiwebpxt,350087.0,Whwnizkrwdrpkk,St. Catharines,ZIHQU,United States of America,70.0,444.0,,Inx9286,5.0,Wulknjymjwfssmwkyfatfoaqqz,O,Cardinal Health,,M,HI
3.0,1-902-199-4348,Eiqhmdykr,c,0.0,OWVQSHINCOKRQXKIXYXNIPAZAV,461393.0,ohpvwayijuxo,Peoria,Pvdgdmv,United States of America,23.0,840.0,,OWV9287,1.0,RREYGYIXWHPFQBIODYKPAPYCLUHZCZGWOSRFXIJBCZRSDQSUFMPVUBB,O,Abercrombie & Fitch,519396.0,S,NC
,1-303-389-8865,Sgltlbngahdyawacivbdbutpxbmfddbgkbnbvkezpzajyqjwgpsaqyvrj,N,1.0,Visilggvejmmoabn,358062.0,XAOPNMDCFEZXBJBRDFTPOGQKRDFQGI,El Monte,Efnykp,United States of America,25.0,803.0,,Vis9288,3.0,Tqbfzrnppvhnsbbejupfwgvymdlmtajv,O,Furniture Brands International,3639546.0,U,MO
0.0,1-327-455-9315,Vlrvxsvogecmitxfmemkabxzegbrkwnqlepkamdpfvtyntvlzymwtrzauipbhcxckvnykxfnehfdn,C,,YIZNBQQRZQXRW,322165.0,Agkusdsomfpiwoqfmft,Arlington,Nyebrtkch,United States of America,92.0,532.0,,YIZ9289,2.0,Odgjlhffsvfzitiyfsrflvucyjzdm,O,Enterprise GP Holdings,1137629.0,M,NJ
5.0,1-742-872-1218,TSLWYPFATLKVZXJUOESSFAKTYMSIGJDGRFKNPHOZFV,B,5.0,NDYUXTFFKQLOETG,418613.0,Oeuwqaowwndwwgjdzunou,Worcester,Hrvhby,United States of America,12.0,601.0,f,NDY9290,1.0,Zoevtvypndccfnnhxciwljjrskibrmcjxcxlblbkxghlvuhlnciblynvuhfobpnidnkcrkqvbbaiw,R,Priceline.com,2565674.0,S,WY
3.0,1-103-237-4616,Kjcaskyikbfqqffqtnigglwuedtbivlfiylyhrk,Z,4.0,Roclcmdkmtemcrapyyhhjmstd,107902.0,pgkuzhcqgzmffkjjmvojmkincbxn,Huntington Beach,Ajuirgwhh,United States of America,60.0,843.0,f,Roc9291,4.0,PSSIMPBBIJOYBVYXFSKLCAOUQSZWSOJZNAERJKYBAQJKEXPOZNMZLBVPKJAOBGKOANY,R,,493797.0,S,NJ
0.0,1-340-367-3066,vfqcntakkwtfpglgtnatejtkauphmggvgavjfknvwwqevbkj,V,0.0,KCTWQSYEVMBNLDFMQRQ,349077.0,Egpaen,Sterling Heights,Xaknnclovwq,United States of America,76.0,396.0,F,KCT9292,0.0,VMNKZNZQWFAKVQSWVAFLLTMAMQZNEAHRXCCWSSZVPESYVFCBHSVKNEAI,O,Valero Energy,717847.0,M,TX
5.0,1-036-228-3920,jtjswomanhgjcgnnuctxoamejilbfndrlmo,T,5.0,Edladrnlxinyozrqhrn,422984.0,Hdtzhharlbpigpvplvqcuezmq,Denver,qxozoctki,United States of America,82.0,324.0,f,Edl9293,4.0,Bspbmiztnbqvgrvcwjpyujic,O,StanCorp Financial,220373.0,M,CT
5.0,1-082-706-4664,Etqxbmqwcg,u,7.0,Nbrhyb,441805.0,Lzhgyjebytryjhlgibcbveabmptng,Detroit,,United States of America,51.0,417.0,,Nbr9294,0.0,cgignbmurpztdqglumddutziphxasvscmoz,U,Cincinnati Financial,2458485.0,D,Prince Edward Island
3.0,1-773-838-6362,Mvtlokjvurhzpjsreldoqawdvwcfxcsvvbdmirxejonzpuldisvuxotsbjevsvwfpdncfhvnitgtvnn,n,4.0,Xadmziwrjvkohghjnch,451605.0,JVUFBSPTGIAUYY,Thousand Oaks,MUJJYTCHREO,United States of America,29.0,,,Xad9295,2.0,Ajpmuxcqxriawphsifellkjwrgwxtonaquwpudfhdpcydvmviwqtswnu,O,Goodyear Tire & Rubber,,M,SC
1.0,1-763-470-0579,Sjnmbsrecxlltscbwwvxdraszhvicspbakrwndeamx,Q,9.0,njxaisspqrpsupj,262664.0,SOJNSMIW,Colorado Springs,Ejimkjtnjsq,United States of America,80.0,741.0,,njx9296,3.0,JJWXCLFRWVGWLSADRWHSJXSCWNJNWVDILDRWY,R,Dick's Sporting Goods,812824.0,M,NM
0.0,1-132-369-5017,ejvkpslzxyyst,,6.0,Vuntqtnirhycmjnffdowdbsqlqag,90056.0,Gpaabluxxfawxddcojdsuprej,Springfield,Xiegdxdb,United States of America,58.0,330.0,,Vun9297,4.0,PRSOICGRELBJVUQDRNGNDOSJANARVKCLCDIXCW,R,General Cable,2914214.0,D,VA
5.0,1-994-356-6533,Xuxnmypoupjdrblbtertgemzzmgospkdrkifbwiojspyawooilntcbvlvmbf,,0.0,PCREKZDISXJTJEXIPACHFBN,303070.0,wfsuikxyoywlxqqnprlhznuphxtq,Tempe,Ipjwakx,United States of America,,492.0,F,PCR9298,2.0,tlhvfxiijsvocpwgcmwyyjljvupwvtocmpxxtb,,Regis,2936891.0,M,NC
0.0,1-281-521-8414,Mxfrzovsbgrdjrggfdxwwhquhfbszofssgnoaczdhvhfijpdckukgmqibsfcennmoxzizcucflbi,,9.0,Gboqvchqobqmke,264157.0,Wqaul,Montpelier,NUQEWF,Canada,83.0,808.0,,Gbo9299,3.0,rugraczpdtouejqbyvimpiizbdgfwyppujnnqczspwtniibhnzrytbpehcjuiqhcmr,O,Apollo Group,2573727.0,W,VA
1.0,1-991-410-2680,dbdqke,,0.0,LXAWCDZVIYMBJDCOTDZCSWA,90133.0,Ovadotf,Aurora,Uibuzlym,United States of America,64.0,367.0,,LXA9300,1.0,qdkpduxsbmucndsdibwkyq,,Owens Corning,85554.0,M,SD
1.0,1-433-513-9740,Nyukdlsvgxlqdu,,2.0,Srovmfsxe,192710.0,UXZCNCCHTNJ,Fort Lauderdale,ijhchcovugi,United States of America,25.0,,,Sro9301,4.0,Avnbhkzdkcmmcnncafdztbtetbpnjhfwwkmnqqicqgvfatxiotwbhodxpigwocixdqcaewpggplf,R,Kindred Healthcare,333160.0,U,IA
4.0,1-834-107-7735,,,5.0,Fjmmirdtvjewtuxyvtsfqfzefqlgpc,247648.0,Rswdjsstifmlpnr,Fresno,,United States of America,58.0,718.0,f,Fjm9302,0.0,Doovfgyddvwpwmsegdjfohrkqvvwj,O,Monsanto,1964125.0,W,NH
4.0,1-766-430-1474,ydxqovdpvfdhibnbaipwzbhnboai,,3.0,Surumny,409256.0,Brafmvstgmxkoaxc,Livonia,Nafcmm,United States of America,82.0,447.0,,Sur9303,3.0,JKMWAQWGWAWTEBUPHUTAGCAVTWTKVBQFNYJONKYGCRMWGINELOAD,R,Maxim Integrated Products,2334579.0,M,NV
5.0,1-936-575-5788,Yzohenfewurtnomyldcjpnzkiugzhgrtbvejngisuugcnobhfalkreeqqxnazwcbxltmomluznbfkdd,,8.0,Haxzkyuvarhfvrojqerq,60268.0,pjvlmghfnypsormcm,Orange,Vmvfoqbppkve,United States of America,51.0,405.0,,Hax9304,1.0,Zfjjwdxmqsuinnthbtvuvulthhxognhcvdhznwayoixdu,O,BJ Services,114832.0,M,Manitoba
2.0,1-779-005-3408,gdfqiwqfreovwywdpwkxhnamgpvsznrwuzyfnabmzwnxaiaswlmzfzzbkvchgtq,I,4.0,zgxmchgcibwahtuqbwetcjdebjxo,299077.0,jifbzqajzi,Provo,NXGKVJWD,Canada,60.0,646.0,F,zgx9305,5.0,VLFKWILH,O,ON Semiconductor,2593495.0,D,MA
5.0,1-544-182-1503,chxntv,,8.0,Kmhvrbqnjgeqpaovmjchzxnd,265850.0,MBWLYSAE,Orange,Arvzcjdgi,United States of America,10.0,617.0,m,Kmh9306,2.0,Ohksijheoeierjbfujnicdicbgdwzrrzwie,R,Polaris Industries,1731732.0,U,Manitoba
3.0,1-485-053-4961,Txznnkwnwbhesvfylsachhhmeziwvzrchkkjpqdcllhwscktnppcqczeeupwqjp,,9.0,tecxyzdmc,448020.0,Ooomeumwnkjrwbvgmdi,Salem,Kymuormq,Canada,11.0,346.0,,tec9307,3.0,CDUEVDMMLBWDDSDYENHRZQNJFWLNOVQBQHTANDTUJTQHXWJSTNR,O,Varian Medical Systems,,U,AR
0.0,1-434-184-5650,HOXXQNCQSDYORUKFRDJAAYNYOPKHVURBZAHDFF,c,5.0,Xsbucvojvnycqwsglin,205923.0,Btjxbxiusovm,Charlotte,Cahdunqytzw,Canada,42.0,784.0,,Xsb9308,1.0,efajzhcmjwlgogjcraenqyemdeiukqlzopmubqzpdkngiwijhahbaccfokpvlgpbwbalnm,O,YRC Worldwide,,M,WI
3.0,1-444-992-9218,SXELGOJMTRROD,,,RJBJIFLRSJNQZBPXYPKXCNKU,457110.0,smtrflmqrnwve,Frederick,NTXJNIOWALG,United States of America,73.0,345.0,,RJB9309,2.0,Wnqcoqixkld,O,Terra Industries,1137816.0,U,HI
4.0,1-182-939-2795,yqueoiywzzttegytqbzqojzuwhjbasmhndjybobddgksdyjmmkjvclafbtefpbzquxwnqnfypcl,,8.0,Ttwll,,qbncfpqaqljcevrsi,Scottsdale,,United States of America,30.0,816.0,,Ttw9310,,Cnbmncbypygewtxakmjxyrlfvxzjbadd,O,Walgreen,2948275.0,S,Prince Edward Island
4.0,1-544-562-4582,papqrxddcqfkgbvsfasnzekveqpowrxinou,i,2.0,Goxfyxkivmh,25537.0,Xnliajjqurqe,Orange,,United States of America,71.0,,f,Gox9311,1.0,Tkmgbuhkivgcobgjqsoxhnk,O,Protective Life,1018827.0,S,VT
3.0,1-656-542-3365,Fawdnkypxomwfpdrvdqcmvhruuxfmeqfgpzafgcwfqanpojnobvk,E,2.0,zxxjajcsbzdypbvt,243425.0,Qgxutpoumkrpmatennp,Columbia,DTIINLFR,Canada,73.0,479.0,f,zxx9312,1.0,Apwdrtidfbhfpqvsicnkrarriorylrthjqbfwcivxftgewqnkvnbmvwqubjlxvmqrnwvrxlb,R,AGL Resources,3670831.0,S,SC
3.0,1-155-740-9974,Opulebrytghkfxplwrapmpkhfrxrthpprqyukajbzgybddvjwnxqzviqnhzwhlgdmmnqc,Q,,Oikbnitywbnqvgycfuajqrvtfmuys,456113.0,AZMNKHHZPQBNQXASKUOKJJQGWUOC,Augusta,JURUW,United States of America,,840.0,f,Oik9313,5.0,Iwxbhfqalqdppbgsmerhphrzgdjnmwiujxvuxfunnuruoyctorn,O,Manpower,1101433.0,D,IL
1.0,1-365-387-3031,Pgikpnaekazewzwfdhpuluahsbvccoqavdqxwqymdhixwzndljkuykhfuyajqy,,5.0,Fdutbsmhsdlvlprypt,,NJYKUNBYYAWWO,Hollywood,wgbyllvqa,United States of America,92.0,765.0,F,Fdu9314,3.0,,R,Chevron,1520350.0,D,TN
2.0,1-699-774-1254,VLCJYGFBAISHEPUUQWLIEQTGOLJOJSASOQZWTA,e,10.0,BSVKTAAYQLBVKEPARMYOGGGK,151157.0,cfdnwicklpka,Madison,Kbxrynbkidr,United States of America,97.0,490.0,,BSV9315,2.0,Wichk,R,Nasdaq OMX Group,1705062.0,U,HI
0.0,1-111-491-8558,WSILFCMSYVVPQHPKTUPEVFFFWJFBV,,10.0,qytpqwqyfthgmw,359574.0,PYQGPSFRHUQEHB,Las Cruces,Kjdjjhyquzix,United States of America,70.0,650.0,,qyt9316,5.0,Vkdlnwlxhoyikmvjvznwjulowopjnekcnitxgwhoshduoo,O,Assurant,1648906.0,S,CA
,1-204-025-6092,Zisyadnpflpbljwqtljdsntymrxcxllentwcsnyathtgoojvcrxwmsqeqepl,,0.0,Uapgrvpwycjpjbnsxqdozq,162420.0,FKJASEIGPATSLUBLCOLATFDEDAMTSV,Concord,YIARXL,United States of America,10.0,318.0,f,Uap9317,3.0,,O,Michaels Stores,3534957.0,W,AZ
