prospect_nmbrcrdtcrds,prospect_ncm,prospect_wnrrntflg,prospect_ntwrth,prospect_gndr,prospect_ddrssln1,prospect_nmbrchldrn,prospect_gncd,prospect_frstnm,prospect_nmbrcrs,prospect_g,prospect_mrtlstts,prospect_cntr,prospect_pstlcd,prospect_lstnm,prospect_ddrssln2,prospect_ct,prospect_mddlntl,prospect_mplr,prospect_crdtrtng,prospect_stt,prospect_phn
9.0,408026.0,O,1414682.0,,,0.0,WIP12206,TJALDBWUFDFHXFO,5.0,77.0,M,United States of America,Dqqltigow,WIPMTMX,Qjubgrhm,Saskatoon,V,Humana,423.0,WY,1-743-909-0960
7.0,72785.0,R,761024.0,,zohmhlqxfptgzzdcaqmzhikndiupxdmqgsukojkwxacupxfclosgmhvmnxlnzbbckqpsitndxc,2.0,veq12207,NBTCTUSJXF,2.0,66.0,W,United States of America,,veqdhdpkmotw,,Lansing,,Moog,699.0,British Columbia,1-790-995-2210
5.0,344200.0,R,3529716.0,F,Entbluekmbqunrwecwgcahhwwmascogprykprqbcoueatjonlselfbsupkvb,3.0,Eub12208,ellwgaceavr,0.0,57.0,U,United States of America,VXSJIZDX,Eubdytwdwnvvlnnkiglruwnvmxtyse,,Lincoln,,Coca-Cola Enterprises,793.0,LA,1-424-029-3950
5.0,163287.0,O,402551.0,M,,3.0,xau12209,Mjbjxtjsqkhzxalegpvwjlhegirrl,1.0,39.0,S,United States of America,qjfxg,xaugg,Lxjlidmpgzxqoscdpkvfxpledwgivnpcjbdnqlrttxpzrkh,Hilo,,Fannie Mae,708.0,WI,1-663-737-8437
3.0,476546.0,O,2383975.0,,GSXUESRXRQADIEOKIYRAXBKCZURDVPZEULGGDYROBHJJGAHFUZRY,2.0,Ezk12210,Xptypqejrmtucyosirsqfkcnivlkf,2.0,66.0,S,United States of America,bujmjyvyxs,Ezkvaobakwvl,Gixyblybgzgvxeygujszikycvvxntuhbjjfsldaadnssnspkyoyvmctzzlzhrpsmmhfd,Fairbanks,,Noble Energy,524.0,AK,1-284-847-8516
5.0,351197.0,R,156372.0,,Qvddbiywvilmffawahrrqzzmjcadycrlslkgdnth,3.0,Rwz12211,Xbmlfslnunehiwlkcwhf,1.0,6.0,S,United States of America,Ugicmuoap,Rwzqyaiekfeqlgzfz,Dgsvbayeojpurvcmwpdsqsjgxdjvnhdhwhxzxghxmg,Grand Rapids,Y,,475.0,OR,1-932-002-4006
3.0,410685.0,,1925871.0,,Wpdpigakjxnlenwouhvmmjjsqcvuhwfworkwzwdlryhzrd,4.0,Jqi12212,kncgvlyixgdt,5.0,47.0,U,United States of America,UZTFYGVSK,Jqiexkrqyoyopkolqozlarvosh,Rhgsxhfzejmkszrnlppompayqusyhhmjuwmeeuntkjqpxjzfvciqcjbam,Bakersfield,,Watson Wyatt Worldwide,621.0,WY,1-458-552-3785
0.0,163033.0,O,1200732.0,F,LLVQCWVJNTNZSUFYRUDAPTKAKUOVVYOVNCKRMPMGQWMGOTRPFLWOFMNQCIGSLLTNILXCIMDPV,5.0,Fqk12213,Afryeczsdk,0.0,27.0,S,United States of America,KXIETWXJASCX,Fqkjjygvoknkkdgnjqnzwoujui,apinjbpyjaadtihhcrtvriqwjazpjkaultxrjvsmohwtveypozklzsbmsijgfdtiseqvaccmpiw,Erie,,Goldman Sachs Group,364.0,NV,1-573-635-0257
1.0,383409.0,O,580859.0,F,Rfhancjygpwraccchitrtxjtniibdhdrafnbsiawqnfvmayltbgwhso,3.0,OYA12214,DLBDUEZBFAYQULJDODDZRNGRKKW,2.0,65.0,M,United States of America,sulqmbipsyg,OYAWT,mwayzhwiekzkjmnkljzjetgbhrfjkoljujowsihzlislwjirxzmeyxouysdrkywvuchryulopb,Gary,,Alcoa,406.0,KY,1-845-177-6270
6.0,443283.0,U,3584219.0,f,Ucrckqdffnvrsxpbuu,5.0,Mua12215,Bivgrgyovfudytonqaihxorxtau,2.0,5.0,U,United States of America,Awbauazogvli,Muajirmsbtvvnzszxzt,Jrthfuqhgppoimspfqrakwvbceg,Scottsdale,,Boston Scientific,829.0,UT,1-526-761-6481
8.0,,O,1945249.0,,Bkuqbzdyrvquefusoredmfj,2.0,HPT12216,Vfukciddzwverhamtz,1.0,23.0,D,United States of America,Whoyja,HPTYNKPDWRFUI,Iqqfeogweplvropsddjuztvuekyxwogawaxvxibecbf,Iqaluit,,CBS,643.0,WV,1-425-424-9711
0.0,,O,,,Whqwbyjnztxmnlnzkmdwtdsvpahulcqkciwg,5.0,QIA12217,ipdyrij,5.0,68.0,M,United States of America,Eihnsymvzup,QIATRSTDJEKXT,ykujaanratjntjkrycsolfkbeetxrbsrtojbqadpakibvnpcddbhtet,Nashville,,Ingram Micro,416.0,MT,1-974-606-8078
5.0,66752.0,U,2796483.0,,Kbvah,3.0,Wti12218,swafsqogrwdzqoaoaatqmhqxlfykwy,3.0,31.0,M,United States of America,XCLLQBGWG,Wtiqpwzxp,Sqaygbagrgmkypolwqiwdmjphwkdkxqgolzvbirbkfifkldkvxaejtd,Charlotte,i,Expedia,473.0,WY,1-308-988-8179
10.0,332456.0,O,,,BBWGYORLAWXXIFADMLWFXHYLLBGMAOUCDASKMVWFUQPITRBCFUSZ,5.0,NMV12219,SZIGDVVGAATQOVFIGKSAVW,5.0,33.0,M,United States of America,Wrokdatdch,NMVOSEIQAFUQPMCVPAMIODFGBL,Mqgjbzgzrseprrqwqdnvsexoowrvpcdoyroogwvhkurjmggjfzdq,Escondido,,OfficeMax,591.0,NV,1-864-604-8548
8.0,473033.0,O,775100.0,F,AEXHCAMUAAZUMTGWCPNTH,4.0,Yxd12220,drfzwjgcncpwprymyqndooc,3.0,97.0,D,Canada,WCONQVO,Yxdeh,Owrmjxjbdemllauzenjkvyogfsabjwbqaqebhxisbkyvzqvapsszvtrxjrpjvhonlzkosqmnij,Irvine,,Loews,804.0,IL,1-421-065-9548
0.0,324615.0,U,2367113.0,f,wrfwtelpoxjljrdtfbamwolgwcyfxfcilcsxduziyk,0.0,Fve12221,Oyywxjqcnfxsrkrdt,5.0,38.0,W,Canada,fspqxfedlcpt,Fverfw,Owlfmvcrengfqyhefpqpzpwivuevbcnhihgmbbzmoa,Fullerton,,Conseco,,Alberta,1-012-750-3367
4.0,118303.0,O,1302714.0,m,Styyiudyqitldbsvihgeqtoepfzgcbcnbwkavabqwj,5.0,bqo12222,ELGZIRW,1.0,78.0,M,United States of America,pdbdgkvii,bqoovaipsgsdhtuopesdcgvqlrlawv,,Huntington Beach,,Schering-Plough,685.0,VT,1-416-154-8007
7.0,164382.0,R,2084749.0,,Htwpfhubc,1.0,isg12223,Zadbfnijltnxscltrrsllrd,3.0,88.0,D,Canada,Rdvfopdhhv,isgejynhv,Zzeacanjlylkqcgyihxwtlqcefcxfbycrdfvltggknkpblgonfumjiftwtbn,Warren,Y,Alliance Data Systems,499.0,MA,1-571-624-5476
8.0,248149.0,R,923312.0,,Uabwejacqzsvsiwnxblgdqtpuosuifjfzfamcimupzrwcyaaruycbpiamdmnvobnkrcjcnfojfhp,5.0,Sii12224,qkjimnwokakcgeoszhcx,4.0,91.0,D,United States of America,MNEXMWSSPSO,Siitbcjnm,jptxqaspeftjmvhjnjznoajnxscnaazsudsnpoahcofkuaguohhfiytfrkgevvvfnyuwmgxsworcgc,North Las Vegas,,Polo Ralph Lauren,417.0,IL,1-686-563-1927
6.0,45831.0,O,2432430.0,,Jdlvbnsokoacpwrqekciiddvupaxnknsjumqg,5.0,Jca12225,Vgdixkoawacfg,1.0,50.0,,Canada,Tcwzfqvon,Jcaulatortabrovmsvlrmhuixd,Shtttjfyzshsqtkzgfctzwkdxckzuqhvigdhaqbvyvvefxvcmegmlpswppnbccuhuufb,Sandy,F,Best Buy,714.0,MI,1-725-337-9751
4.0,317525.0,R,507864.0,F,Rltiksskkaehaitlkzzjhnvliyntj,2.0,joa12226,IUOEVNLOZCBPIDKCOECFBNPVWOZTD,4.0,4.0,S,United States of America,Btljvsrgvpg,joawhooyicwafxdtxrk,uvcqxmuuttkblgrkotbqfgaftdnzcaplq,Laredo,g,BlackRock,336.0,AR,1-944-556-7766
10.0,422793.0,,3519269.0,,Djhox,5.0,Mvh12227,IBBOAPI,1.0,39.0,D,United States of America,Opsouzs,Mvhxxharnkntwxxkacutr,UWVWRYOHJRSAQBMUCXLTYQZRZWTLNEJPQUPIVOVJSXCJUIEFDSOFF,Augusta,S,Jones Financial,,NM,1-637-305-5361
3.0,244919.0,O,1883644.0,F,JCOHVUIMYJIYTDXQFEJSKLXNPGNYPHASBQXNQHJGVRHQEQGWGQ,0.0,Hcg12228,KYSQVPSPAVFWUEMCJEQDBNL,4.0,40.0,S,,Amrxjhpfozic,Hcgrvn,gglxxaisxweywvemqedadltadwywbifndxndxokwp,Santa Ana,A,Regis,784.0,MN,1-790-693-7865
9.0,175758.0,O,3071518.0,,WUCCYYJIJGTTCLWLAAXPFDWPPUJ,5.0,Chx12229,Dycnthikqdjxqtbwg,0.0,50.0,M,United States of America,wmzeuo,Chxnylopw,Lezcabu,Berkeley,,DST Systems,475.0,MD,1-085-597-7614
0.0,158835.0,R,1416770.0,F,Qdsvmzqscxaxhlqjwxrscigounhzjpoghavcwxclctyzqdblsgyhiemeymfcrwoabstwunmqgwkqewnt,3.0,XCN12230,Vpumeba,2.0,42.0,M,Canada,WVOTPWVTAC,XCNNFJNBSYCEVPCUDGWHGHGS,,Seattle,,Radian Group,847.0,HI,1-735-425-1545
6.0,111717.0,O,2552930.0,,Anljuglptbvmfowuickluhsxgkf,0.0,Mly12231,Umqoetmup,,86.0,U,United States of America,rjegpgkppvek,Mlyasqdtlxsqnxowtxekvezmzi,Kkwdwlhjzzsgqywiiqopbxmizazzihjgwvkxxnmqubrwymglinqdriedjrjibiughjchimlxqnvb,Rancho Cucamonga,V,Simon Property Group,634.0,DC,
7.0,,R,2734980.0,,Viuinaunavhvstswnlwbgstjoesooubwqgxkqeepomjyhgwglplj,0.0,ZIC12232,Nonfcxrwebytwxqdhwfek,3.0,27.0,S,United States of America,Rqlwowunqxww,ZICAULELSXWFUZVTSPRXMJ,LBRBOFPIXORTBOCPFMVUWRIRGQXPBIMN,Reno,,Constellation Brands,759.0,AR,1-321-399-0166
1.0,156323.0,O,3392989.0,F,zvunpcyfkhcnroxjiibawfyczmwiwfovueuytflrqzdhydecmxjsaeazl,0.0,Tsr12233,Zjsmnkh,5.0,57.0,D,United States of America,ghjsmmjmmmnp,Tsruzliwtpoqwnjouscrjiegn,Mvjeoxixdtljqexaatgccnzsczrombpzibsgwvcgvqiyqvsycewgcvlgjb,Omaha,H,Express Scripts,573.0,NC,1-332-456-2627
7.0,470202.0,O,618606.0,F,Rioycenoairrrvi,,IXD12234,RCNDQVKLRTX,4.0,14.0,M,United States of America,Pwbdpxngcboo,IXDLEGGSX,hsnnnmr,Colorado Springs,J,Auto-Owners Insurance,669.0,NC,1-376-495-5558
3.0,69973.0,,2543097.0,f,Pvbomhfktwoaddavflbfufagommppwbjjlwwbyitmtnoxhglxdqewvihfqdjnpzfczhqrxgw,2.0,GUY12235,Urwvnwtwmzsapohlhysvxw,2.0,83.0,U,United States of America,Xrjbdbtkcjg,GUYJSROEQIYSZXPLJBLPT,Iqltkvajrnvwbgmbcoceezjhxwcypnojxpldplvbxoozmhel,Amarillo,,Brown Shoe,515.0,CA,1-840-836-8511
6.0,48247.0,O,3687736.0,,BGTCDJDEIONTGQUQGUDTIKOPNWLVKKEYAYQWBWOQBBBGUYSE,,KVS12236,Yvpztajfquftnosyouqhibjf,1.0,3.0,W,United States of America,Ujiescuki,KVSSGR,YTDWIJMWLKUYAX,Las Cruces,,Hayes Lemmerz,332.0,IN,1-840-301-1739
7.0,117817.0,R,,M,Neibaijistjpmeexwtcrmpqtlrhyjgdjalouqsxvjal,2.0,LWQ12237,UYVKGLGDTYAKXEEBPQKB,0.0,61.0,S,United States of America,GQAJUS,LWQHL,DHUOZTEOBYHKYLQLQIRUAGDZPTPUTGQUKMYQ,Regina,u,Walgreen,762.0,British Columbia,1-699-267-0354
1.0,297746.0,O,1434088.0,F,ycjldkiqdegmmyioqhuqvlgbusodlolyuebuvmscphnmpwr,1.0,Lqf12238,Chalpkggqxvairvj,1.0,6.0,U,United States of America,HIQRCAMXOTW,Lqfov,Pikgobccoerotmzptfdrnekqskiidiqblhshtdnnquqjmiehupwiynocyiepiymadulseljomtrtfr,Gary,,MSC Industrial Direct,,British Columbia,1-614-704-6730
2.0,489458.0,U,3615499.0,M,Knvfdpmgtgfvtvqscmtlpuvxztwsnbexvmi,2.0,Rpt12239,Dxwoqvyp,4.0,12.0,M,United States of America,Spkuucn,Rptwgjjzjwmqjcypkihsedbf,Fixkfqfmoex,Abilene,,Avnet,398.0,KS,1-762-816-9121
7.0,463947.0,O,3583755.0,,Ylwdmifqjrcjbgdeshbsvxiihavndukvqzsnsjnqfkosfwpeoggjdxxjnpiychlcmyhdgmanpxuilqsv,3.0,coj12240,Ngwusqdv,4.0,52.0,M,United States of America,ZVBYJWL,cojkjfrufibfwcnkh,Zvxsbmasgn,Stamford,,PNM Resources,539.0,UT,1-460-072-2169
10.0,305738.0,O,2805623.0,,Asdpkzzjdevskyvkmjgbkitgmvlfndcdpkircgnlxmqymdwwajaxwlreyleh,5.0,Czh12241,ENWSGVXBOUHXERZNFDSLIBK,5.0,18.0,M,United States of America,Umbmhhlmohtw,Czhuwuwjv,KKKPQREENDUSSAIDZTFVUFGBPAVRBFSUMVCERLRGBEBDSVWXLXQGIPUZDWPMATOZMCLOPZ,Little Rock,,Corn Products International,708.0,AR,1-172-236-5042
0.0,394713.0,O,2125833.0,M,Uscsjcquyiyeqstmemunwuydvtugbi,4.0,Jbs12242,Pmfmnhszhgo,5.0,23.0,U,United States of America,Bpalltakzs,Jbsmwpypiwwdxhconcupxogynnk,CTHAAFEUAWVMFUNHURQGZDMSTPQVYF,Providence,,Guardian Life Ins. Co.,564.0,PA,1-976-748-9268
8.0,,O,717520.0,m,Cfkzajouyfarjfuaqyyivqjsp,0.0,Igf12243,uoentejuzzjmjpb,5.0,24.0,M,United States of America,AOQPUJRZBW,Igffthiofacpkdowzpvxplx,Fmxwnunictspflalomuqqmezihupkjkftlviyrzqugkligwzxxagrncoquzy,Santa Fe,A,Radian Group,837.0,New Brunswick,
6.0,257468.0,O,2051903.0,,Pmukcddlmurkzepemcloncmk,2.0,fqj12244,EKJSPPTZNHTNNEYZYGXFMZBZMCJDVO,1.0,1.0,D,United States of America,Wnhvwxhbjwm,fqjplsmokuqssk,zthrvlouveqolkauuyvxopch,Indianapolis,i,Annaly Capital Management,,MN,1-918-403-1338
1.0,295961.0,O,1970370.0,m,Vuqqruunkjxevykvoeoikamhycfgqqnndkyhymyrzctqecyfbnlcwhsiubwwlkunnwxn,0.0,Qhr12245,Elvzaunxyjmhfidbzpiqocimitdzd,3.0,68.0,M,United States of America,vwhxwfatcswl,Qhrknmeoa,MHJVFNJK,North Las Vegas,,,544.0,NH,1-118-224-3667
9.0,102029.0,O,1668674.0,,KFJGQZQYXCAPSYDXAONUZFPQHQNHJFFNWFMUFPBHTTVYQTWZOYXKCXRMQADFRSCGROB,4.0,FAA12246,Lgquptcvskormkmeaaievkzvdea,2.0,65.0,U,United States of America,Ibinopmik,FAAMEOFBOVYRLMVSHEETEP,ESZDJVVOEDRFMUOOYIMVERDFVUSJIELWTPMBPWYWGSWATJZTMZMURQNGDMFNRJWV,Sherbrooke,N,Staples,601.0,DC,1-784-800-4442
3.0,247652.0,O,2393174.0,f,Dyjcaieneredkgksniitquexesjhkncvpjchmccbtqlrqqafqoo,4.0,Nef12247,aeuosyvrlwlqtwguumsfa,5.0,55.0,M,United States of America,CDCSUULE,Nefvcaobfa,Biuhukjqgnbamhgkegesvmytr,Naperville,A,Unisys,622.0,TN,1-344-096-2698
10.0,186555.0,,3148089.0,m,Wllqtrgyysmqfbuhmigvatrluskvmsxrvkqiesyzmlxyzbrkfmmwbubvbpvczibbhaqhv,2.0,meb12248,menksknkxjawmoofealguhhqz,2.0,19.0,S,United States of America,stssuzl,mebafwrfe,SULYAMRCLYIERZLT,Moncton,,Wyeth,795.0,MT,1-904-085-4794
0.0,151602.0,O,880419.0,,wpfwzfthzykbmoqunrjlbxuqiafcvipksdfubufccvcxmbmkzplvbcxnqtew,0.0,rkm12249,Gpcjjkpsinpixjv,0.0,70.0,M,Canada,Ovrtpelmsrwl,rkmlw,Sgzyqwaidgwifvbzfxqbjzwvgvgcohxgyovbigtnmystivfhx,San Bernardino,,Mutual Life Insurance,484.0,IL,1-911-754-0827
6.0,260323.0,O,2027217.0,,Odsdtserggoegndvemdxweegxmctsjpxjkximulmbtfgjfy,3.0,ypd12250,TCBFCOYZYRITNTNRSBGKP,2.0,96.0,M,United States of America,WCBAWVULBQET,ypdxa,,Elizabeth,,Assurant,,WY,1-130-181-5617
1.0,46789.0,O,2989768.0,,mfqrezpstyaqifimfqzfsowezikkmbiombeeszeuuikgyvkdtjartskupjnx,1.0,Gcr12251,Ytayazsocgxipvgzrnbrhxh,1.0,,U,United States of America,Nraddpsfkov,Gcrkayxcwznojhnig,uzzwifdfikhfyhxalpmoecxrbkcgfesoextwncsqrjm,Colorado Springs,,Ingram Micro,791.0,AL,1-367-300-4355
6.0,360248.0,O,1643977.0,,Omlfigduxktzpzcuavrdltjfpyvepvlujl,0.0,Ham12252,Znxprouemhtv,1.0,56.0,W,United States of America,Kadbewtmg,Hamjuk,UCWCXRBKFPWVGWHLOSMNHNMAUHBJWFZJYXKZHAOHRAQHANAVOFEBZPYRDVXE,Irvine,c,Lexmark International,303.0,OH,1-160-772-9584
7.0,361464.0,O,2081414.0,F,,0.0,Fpv12253,Lwubgzeqwbiehgaht,1.0,79.0,S,United States of America,NENIOFQK,Fpvwvlhsenseweimgmvsiaudbq,gopzcc,Hollywood,,Dentsply International,395.0,AK,1-830-350-0801
10.0,131165.0,O,2582386.0,F,WQETAABBJGFBTHNDLSHMGML,0.0,qgd12254,EYZKNXEZPCTNJZKEQIUXWVTCWJSKB,3.0,45.0,S,United States of America,DZNPER,qgdxlokeudkmqetauhonx,Kcavlwvtrseaqrmiqdxrnyvcsyjzlcrp,Mobile,,Country Financial Services,686.0,OK,1-172-219-9219
8.0,468222.0,O,745540.0,m,Rsdzuuhfzutworeskdcqzmgmgcdkmlkxzrzvtlpqwjvbtbbukqukvnbfkktysbraxslbqlojofrl,0.0,Mmf12255,Ipucdnpjzxpinkskkuujhqa,0.0,34.0,S,United States of America,Tdmzrwqrw,Mmfelestsrwkbpoaorpwc,Nrjkffkaysphzemhwstdebvpa,West Covina,u,Humana,611.0,Ontario,1-863-514-4059
3.0,69986.0,R,1556754.0,,Qixezehwymwmpoxjwbvxfodjdhopchxsmheifxotzljmhkscaxcndsmxlgopsiapa,4.0,cch12256,srsvttriphhusfwi,0.0,63.0,D,United States of America,gsrnogwtayr,cchfcocrcelhes,yujiykbkzeecjlgdcctxjwubdiqlnyovmpgxvjzxhujkhwzleqnurszflruy,Savannah,P,General Motors,605.0,GA,1-294-746-4175
1.0,133905.0,R,3619771.0,,Jnibuzpzincqexkplgbjivdqvanaaxocxipzarwboshuauoenxtbrxwzldxrfxox,2.0,Mkl12257,Theupsokjmtfbalixemfxe,2.0,11.0,U,United States of America,OXCNZSVORJMG,Mklpeqcffvzospfvabepqoicfvou,QPTATPOWDUXSREDIKWWKVMSIFFNJSNTUMJORIRUBLVCSMVKL,Thousand Oaks,,Express Scripts,446.0,MA,1-660-731-4243
10.0,125591.0,O,2476699.0,O,Loxjhephcidtqqmkowfsrnruevuizrhutxr,5.0,Cuu12258,Jpibxvfbwyhtx,4.0,28.0,S,,Wlxanqiqfl,Cuuqofdxlkxcxbetiaovvkdgot,fszztqvrpxubxiewhwpbwqchwzmacokjxpfglcfxfbttppitdysxmbrtoaqjfv,Buffalo,,ON Semiconductor,521.0,NH,1-737-028-3170
7.0,329007.0,O,384979.0,,Wxslnqsepbjds,2.0,SGI12259,Wulkxrerjncgwjhnb,0.0,80.0,M,Canada,Dzcaosu,SGISB,DEHOGFLEVENBOCVPVOCOFAIPCTRKJPSAQEUZQVYLXKWJRJIDGCQHLNDTTU,Mount Pearl,D,Interactive Brokers Group,561.0,ND,1-032-901-2864
2.0,72809.0,,3355184.0,f,ylfgykmbzgwdficdhvivfhdknugejfbxfhkbscbjqbaumsz,1.0,Dji12260,Hjhelx,0.0,64.0,,United States of America,huuqds,Djirjxhojhhatxgt,Ntidizvjibpjhuomtzxeidfuxrgar,Simi Valley,,Phoenix,348.0,VA,1-711-729-3213
5.0,157097.0,O,921503.0,,Ryvdjtzumvrbvirisjqypsmdjuwrdfp,,Zfm12261,Fhiptxsukxb,0.0,8.0,S,United States of America,,Zfmvukwvhoh,Cczgfjrdxkmxhggskcavhrawdoedllvbxapifjzismfzlhkmklseosaobxvsphptowrsnnelne,Louisville,,Cephalon,743.0,NH,1-942-080-0051
8.0,306932.0,O,517122.0,M,Dricktksnneexehkgfxqntimhfwhxszvwnoynwhwlrxtlmfzdhzqhmdifzsmljpvwi,2.0,HHH12262,jbsjzf,0.0,,M,United States of America,Xivabp,HHHCPUTRAFKVRYQKBBTGGO,Ucsyvxcevquvsbkbxuuebljbtqtgyjmgwaaqlhgmvmrpqhgcwkkctmhftogmuebecddmkjm,Santa Clara,T,Laclede Group,524.0,OK,1-447-426-0512
8.0,146058.0,,3961463.0,f,aduxfpmmnfefkilavgwstjrwe,4.0,Vns12263,Dnaoisntnzimrkjhnhcffmiutsws,4.0,45.0,M,United States of America,Hcpqxxazwlk,Vnsfncs,Woyfyifinlgishjqstoonucetiebyovckbiqjrqzrrehww,New Haven,,General Growth Properties,761.0,MD,1-458-424-3020
0.0,129028.0,O,2804105.0,,Amllretponzoijorbqdblwplehydz,0.0,Dno12264,plpglinchhjmgcprn,3.0,,U,United States of America,Sqixebddwws,Dnosusenygfhvntfczmwnedo,Xqbnewlsqchkohqlupahbwmekf,Santa Fe,,Monsanto,382.0,PA,
6.0,48169.0,U,3277048.0,,fbvtuvxkdjrqmyehy,0.0,SJR12265,SWPLPVWXYAZZJMWURWIBCOVDFQLX,0.0,46.0,U,United States of America,Ybkwyrqqylc,SJRMMXRXJUQLPE,Rrwiliwjbcobvosgmhaseuubamc,Fort Lauderdale,,Solo Cup,435.0,IA,1-790-473-6022
4.0,491094.0,O,2971203.0,,RKREBLQKJFHPACVZWDQWBXYIVVOGAXVSFKAHADGBMRTQUOIUGC,3.0,VTJ12266,MMKOFNVYPCZYB,2.0,68.0,M,United States of America,Ukqlswgvpi,VTJEGMQISJTL,jazxsfeoo,Mobile,,MEMC Electronic Materials,402.0,WI,1-505-924-5709
7.0,156190.0,O,923080.0,F,QGTLJRMZVRRCQXRIAVYPCQQQTKQBAGDE,1.0,Gsr12267,Jehrprtswwctufkbyit,3.0,30.0,U,United States of America,Wtpaszitc,Gsrugdz,Oldcakeijsdtunrslrrabglbookbatrnoidjlwbvorioorzkuzlkfngeqqianfskbfswiskbclrqrs,Boston,g,Gannett,669.0,AK,1-551-149-8734
4.0,210500.0,,1005552.0,f,oxtjqjikrgqobcsgnhadlmjjprftepefqreqodcxxkak,4.0,Uyk12268,ELFPFILXHNKACPYXBG,,92.0,D,,Zoyhxqdwj,Uykrwwxekne,Dteeelfmasxlietzkianqtxiwqutlnsgfzjv,El Monte,,,438.0,RI,1-829-531-2121
5.0,253563.0,O,1851067.0,f,mgxjewmpsjgkpiobgkcscupi,2.0,SXM12269,Tclaovmtpraof,5.0,16.0,U,United States of America,mjuol,SXMCBHDQNLGRMUVTYUCHFFEBND,Qtnntsnmoxfobzugqmwrkzfitlemyhadcw,Fargo,m,Ball,826.0,AL,1-621-209-7389
10.0,38683.0,O,3168123.0,,DCEJFSRPSHDLJRFCGOR,3.0,ZQD12270,Xdwkkzxmv,1.0,22.0,W,United States of America,yssexxqks,ZQDNLQCUSKIZDO,WIXCWKMPNTHGFXIWSSOXGMHDSNWKGFUZJRVQFTEKYOF,Iqaluit,D,Charles Schwab,556.0,WV,1-150-322-9590
3.0,398600.0,O,475083.0,,uyeuoumlb,4.0,ELB12271,Kczopdfsrvey,3.0,24.0,S,,Ujppw,ELBTIKLFNWUROCWAMCQCWOFZWMD,jftomtiinxztofkoaytwqtoamggpdvcafmaxkfvfantnsxrnwrbgxe,Pembroke Pines,B,Int. Business Machines,440.0,CO,1-629-868-1988
1.0,33993.0,R,1610658.0,,Ehptbbnknophslkedfowxevjkiwbazxmsjx,3.0,MQH12272,Bfqqdgx,4.0,38.0,W,,jagfgcgv,MQHRMPHIQM,iqmkeoueimpgptvmghswbwtnibavnopicgbhjgfmgfoiyhnsxqcgruacydzd,Philadelphia,F,Lennar,365.0,AZ,
7.0,50976.0,R,359942.0,,wqubwqncdgpynrjqdawudkxvdpnyxsiagzci,1.0,wdu12273,QGHMNRNALUXWRJ,1.0,29.0,S,United States of America,Mknkcfdxtvxx,wduqelrzmerd,rawlpmhteibajpjrvbdqegnlmeomxlrkngdehpwfduqwhatxwns,Las Cruces,J,Iasis Healthcare,446.0,IN,
4.0,187595.0,O,1436315.0,,Kjjxjnhgjqszceadnbbasfvqphamohnnetkqh,2.0,Vmo12274,RKWAAZOIBMRLMJXHXR,3.0,97.0,M,United States of America,Zkkdjcrrfv,Vmouirxzvcytoqh,FSWPEEUPCMAUJOGDSXMBPIYGABCCSXOCZDVVO,Springfield,X,Embarq,369.0,VA,1-708-876-4578
6.0,237527.0,O,3850672.0,,Ivlnpkijthfmvhjudntkuxzbhwplizvmigzbknqfewxfehvwdswihqaeft,0.0,Vue12275,iicobahpngbmvigg,1.0,64.0,U,United States of America,Npvabn,Vueihgieakfhsgsyszmfevt,cbhwmcmqlorbkzlg,Edmonton,,Cigna,436.0,IL,
4.0,408665.0,O,93264.0,,Qhasvarxjhvwqfktvfeqhuzmhyerinxuulafrcbjwyfehtcqocipuqvzmqox,5.0,aql12276,QFASLQDLVIUKZWT,4.0,40.0,M,Canada,AMAZPV,aqloptzxvpzvvmpjsp,xpvemqugekunrtkvabxdlojorjrjqskbdpf,Bridgeport,S,PepsiAmericas,358.0,NJ,
9.0,496385.0,,3972112.0,F,pluwlqzeoaslmxpotxhssrcqqcecqrfdvxldpag,4.0,Oyt12277,Iqraukkvbivlawfb,2.0,2.0,S,United States of America,TVIEXI,Oytoqmadzkkxptbgeebajh,,Moreno Valley,V,Tellabs,778.0,TN,1-558-144-1963
2.0,450003.0,O,1783132.0,f,Bndrbpbycsimspxdvulbdlehqpeitiyqwotpdzptucvoejdeldkrisvfjchrvqoaxxfgatth,0.0,oot12278,XMVJQUVMMVGCFLYFRS,2.0,86.0,U,United States of America,hdxwbvjb,oothnsvbyjz,abynfubhlpepxpywqpnjbthmhbzslpfjiegadcuazvh,Peoria,r,PolyOne,456.0,Ontario,1-852-976-8737
4.0,467959.0,O,2990001.0, ,Moaqycsrfernzbudodqrekqzsntivsksgofpexqthcapjobuogtamiy,5.0,gqp12279,Krtbsgv,4.0,43.0,M,United States of America,Mcikfpfjzj,gqplc,Drgttcpe,Riverside,,General Cable,588.0,WA,1-409-332-6355
8.0,320766.0,O,730252.0,M,Qaneoiwfbqzzfowmgzunmrseglselwhjzohn,1.0,SGD12280,frmuslfvamijwhfnfpzapmsycq,1.0,80.0,M,United States of America,cjjvfezoq,SGDFJTQM,BECGOSESQNQJMZALGBCCCDPPDNCJJFECRXERIPMILGFDRMWTCTE,Charleston,,Google,542.0,NC,1-622-439-0390
