prospect_OwORF,prospect_NuCh,prospect_MarSta,prospect_AgID,prospect_Empl,prospect_Ge,prospect_NumCreCa,prospect_CrRat,prospect_FiN,prospect_Cou,prospect_AdL2,prospect_A,prospect_NuC,prospect_Ph,prospect_Ci,prospect_MidIni,prospect_PosC,prospect_AddrL1,prospect_LNa,prospect_St,prospect_NWor,prospect_Inc
O,4.0,M,akn10805,Hewlett-Packard,,5.0,698.0,PUYKTESWVVA,United States of America,Oirfzlhjhasvhivporeskhsfdfldoaprrsidddfpdyzgplqmmkfzzotypeqcxtakozqhew,96.0,0.0,1-630-602-4901,San Antonio,,Kvepq,WZJZXHJTDXVUMSSOLIGWZICC,aknqpbwm,AZ,629264.0,123343.0
O,2.0,M,wpa10806,Toll Brothers,m,6.0,804.0,Abyjaygiuvbpircurqmdaslwunt,United States of America,mpmaxtridbkphrheiigbhslgiqrmpukcbtpfolowdholuvbrcniiqsyllrppfyjt,59.0,4.0,1-031-973-6966,Durham,,MANUWXW,MFSEHAFIHVKBXXWISWOQNFJI,wpafz,ME,2853478.0,56475.0
U,3.0,W,Awj10807,Kraft Foods,F,10.0,,Dwglcgqwgoxvcpwaxmcqfjwtxb,,ubqvjjevyrvobyorcllxipcpvuvreaew,88.0,1.0,1-583-912-3027,Lancaster,L,fsrbt,Hkdaqhvbmyvnkogvxyfpuerqxyktbkfonymgmoiiigdhvkodjshguhcsssbawiozh,Awjylfftbvovvxqq,New Brunswick,1340666.0,395447.0
,0.0,S,rgg10808,American Axle & Manufacturing,,3.0,352.0,Ktxbwvepalcalct,Canada,Thwrczaosqqpteuxmbafagixvbgykjwrssgobnvmgqiufxupeywrklljjr,81.0,3.0,1-256-320-9686,Thousand Oaks,,dzhtpv,dackmzkvkhisaihyszsfwaffnldpaqkvrluuukqukrtjtjsunqdhqhh,rgghpxowsfpplmirdxzjsgkesm,OH,3597465.0,424197.0
O,1.0,M,Zdq10809,Superior Energy Services,,6.0,816.0,SSEZYVLGVVXTOQ,United States of America,Dlvzukdnvodeswfakrwsihtjaafgcpqlfgowcoxknnaghnutsdfytroxrbucftortmpevbhmbejtikjc,78.0,4.0,1-286-252-0305,Mobile,E,utsaerikk,Wyifwecvxwedmvixwrgivvjgxjgwjknspcvzpimtcxtkxbzlprbztcuu,Zdqnnnmvdgicbhgwy,DE,2367827.0,151018.0
O,3.0,M,Uzl10810,Lear,f,2.0,510.0,Jiseyotqnndheh,United States of America,evlbomlwhsrskdidrzfdxiebdlyjqyo,20.0,0.0,1-486-740-1322,West Covina,,Higweliz,vcgxdgozyhycxcmpxkxavhbsukyhlsqojcwf,Uzlchjqvbyhwckrxbaa,ID,,218453.0
O,5.0,M,YQB10811,Graybar Electric,F,6.0,417.0,QYZYKFV,Canada,Ehtspwandbexymwcrmssklundscr,61.0,5.0,1-818-769-6521,Kitchener,,Kykersxoc,Iygrvzxipyzrongcciorcjqogyvctxxwxxyawperfoucyuusfjaueztwcry,YQBFWEYCEMXY,HI,1233055.0,432197.0
O,3.0,S,xwt10812,Cincinnati Financial,,4.0,850.0,Psdmzxjdwwmjsiouzifh,Canada,Rzgcnhbzwtfgnwpvshhchjfpumlzurawzknpgffektdrkavsbquozkefaxtpnabrbuwsqyfmliwz,37.0,4.0,1-699-921-4663,Orange,w,VQKMII,Cwonxauxutlmbmhiffxnhlr,xwtrwsyskjjjuddxjiqslmiwgslmr,UT,102427.0,116570.0
O,4.0,S,Dew10813,Mirant,,0.0,835.0,Ooilbfiuamcdzxawjzevuiweaal,United States of America,KKJEC,,5.0,,Salt Lake City,F,qdniosrtean,Shesiyqzipf,Dewrj,Quebec,2786005.0,115948.0
U,1.0,D,cjg10814,SPX,,,474.0,unwqeeadbjxifgsftowdwvd,Canada,ajhcfgetjvqmvgbsjbekkddcfdkukqgvinigeaovcikrncocxvdvckwbrtmpunyeonsi,94.0,1.0,1-137-836-6758,Minneapolis,I,Sgaiwfippyhc,Hbtrihvdypekgytwsmjvocnosauaqtbufzmmmqprcsdeckcgutleddmnjlmvp,cjgpizkuoo,IN,,434788.0
O,0.0,U,HXK10815,Cummins,M,9.0,609.0,CVJSURRGJOEJJFRZTKFNOPENLIA,United States of America,rdtijtkeempvnxokvjuotrcfiwodtuiwdnauqbqtgqreevd,9.0,1.0,1-493-659-3964,Santa Rosa,C,ZSYBP,Jrgfyvnyegalajvjkpaigdyw,HXKDXQAWDOFQGUSGKKQLBCPEOD,MI,1503007.0,287531.0
U,0.0,M,Glj10816,Graphic Packaging Holding,,3.0,375.0,Izvvvltpefsnycyojkccylcvzldmx,United States of America,agfrcvdmhfwxjzwomxlmkdyawkx,82.0,2.0,1-548-072-1931,Toronto,H,xfoiag,Lasxbipcsnyauaqlgwhmjenrybblsmuehvgixjwhsctt,Gljcpav,DC,2123212.0,221614.0
O,3.0,S,aob10817,Discover Financial Services,,9.0,309.0,Lclypfhzebkqcqvkdnh,United States of America,aawiydruukxaoiyrzbkchqavkrpblmfxzuvukmmhijwkxmvxdsqlxxxefebuoex,,3.0,1-027-420-1686,Fairbanks,N,Nkekafewbtu,vfpkhppjaorvhabbxu,aobtsr,NY,1744147.0,324232.0
O,5.0,D,AHT10818,Group 1 Automotive,f,9.0,516.0,Saplqvoixs,United States of America,Eszcttowvwdhucobwdxfcznejxclzifsksphepgpnskjawcoyeywir,99.0,2.0,1-794-212-6452,Indianapolis,L,lmqgpxpwhl,Ayavtquxdqclsksiqibenruoqpgxkepdvzrjwqdnwpxvkwvdaoipkusidslifxmbpgqicqpswwo,AHTDNQPBZUVQLIUDJKHKMTAQW,AL,3427871.0,239547.0
R,1.0,M,Lxz10819,MasterCard,f,0.0,319.0,RKOJBKAMIMNVDPNXLG,United States of America,Hjlhi,38.0,4.0,1-076-584-7269,McAllen,,wnegcp,Buzmvjomgnqtvkvhcjgudtigxxkqcqucqgilmhb,Lxzwsd,MD,2713771.0,243053.0
R,0.0,M,Ufu10820,Crane,f,8.0,673.0,Sxacqxdrbiunytzehoiojniok,United States of America,Vhptzhmqgjrklpyzafarapepcvwravcidwozuuggkmjm,74.0,2.0,1-465-838-4956,Scottsdale,D,VDZJDDHDP,YBZLXSZENQSVYIEVPCCMYZOD,Ufupenbvjilkczqhhnwgzckh,ND,3526256.0,101473.0
O,3.0,S,aby10821,Scholastic,,,472.0,Jysjk,United States of America,,,5.0,1-193-589-4253,Moreno Valley,z,Pwbwqqkyyqc,Ylorsbymzfhyqnnqvrztttmrhqrjhc,abywbsg,NM,2956251.0,392902.0
O,4.0,M,YVQ10822,Steelcase,,1.0,707.0,Axvjgavxlkz,United States of America,Jusuoeinwqgvcjaseapxzvyagvgakerdpitybjxselufkkeivbcxbccg,16.0,3.0,1-482-726-1707,Frederick,,APFEKZVM,NRPCPDILEYTWBDQEBREOEOWDROZMMMTJDVGPLYIOADDRTCUHXDFUXWJ,YVQVTFLBEMRJY,SD,3263403.0,52496.0
O,1.0,M,qmw10823,D.R. Horton,M,4.0,709.0,vusixvpqhqnbs,Canada,Pqupqtpfbljqsjqaxulzxalspqx,25.0,3.0,1-855-121-2990,Richmond,,jiqajkwdq,KOUAANXGQJGGOIKKBJGLYWAOQXGUNGDFQCUDKGCNVMZHJQFEMOLJOQAFFZOOBODOQ,qmwtaarjrjciemukgmpnv,ME,1695466.0,395022.0
O,2.0,S,XKC10824,Weyerhaeuser,,6.0,775.0,Podbblpeekkcnhuuqi,,Egfjghhwahsdowwqzayecyagxnacmfpgorztutnhxmderamnrluyhhutpdifeljgzygh,99.0,3.0,1-950-765-0467,Sherbrooke,S,tyffitgkz,Goteiod,XKCGNQQEVQNNKXFFUAPS,HI,1095754.0,98274.0
O,1.0,D,Ryp10825,HealthSouth,,10.0,830.0,QQQGYYXS,United States of America,DDTMORCAMGTELEUB,6.0,0.0,1-224-009-1614,Philadelphia,,MVNGPS,Pkslwhobasrjfzitskwdtrefmdvojjlxpuaylxrpaiprcqvwtbdujgiedraiclwjol,Rypqdcfksupmtckaboq,SD,1938297.0,382055.0
O,3.0,M,SMO10826,Energy Future Holdings,g,0.0,529.0,Gjfagv,United States of America,Rhqwbfatpuiesttdafnvekksssygqtyvxrmoxjofzjfrpodbmxvpntxlarcudpfnfszzkczthmii,25.0,0.0,1-552-379-3968,Sandy,,jtpizp,Ctihhyoqflljslcrqawpdgemrkjjkqqsighwgcsjtynynrwqrqbjcmnxxtlprwgrkqzs,SMOKLS,ID,1248307.0,123754.0
O,2.0,S,LGK10827,Noble Energy,,,690.0,Bamrgpkoasmlmciz,United States of America,Ofintdspdgnprwydzsedihglsqkdluclrbjpwltibfkcsgahbailenuxguadqimgdcqnndwiscrew,100.0,3.0,1-357-429-3968,Norfolk,,bwxyyrukarkc,crfwnnpjipcjrvguzcmirrruywrcpoqbuforukfppeyxulcucvhadjwuphufo,LGKDQGJOOKVKCARVIXIG,HI,2326670.0,1969.0
U,5.0,D,kwc10828,Dr Pepper Snapple Group,,,441.0,mdilwgskicewwhbqhowly,Canada,Dddeqrodwmomjjirpcbieomexo,56.0,1.0,,Pittsburgh,Z,hdgqq,Rusttlpm,kwcezkvxpkiwrenle,TN,,456860.0
O,4.0,U,Fzp10829,CH2M Hill,f,2.0,554.0,Gwfsgndwhwkosg,United States of America,AHMADWDHKKDWMRRGQKGBKOLXJBDUYBJVRRGUWHQRALEAGTQNSPNOERPKPGMYQLEPSDYOYPJFYJDEE,12.0,5.0,1-840-869-8952,Grand Rapids,s,Emkqheim,hdweeqdprjuauwfsudglhpqsujfhrjaqeynfvekxfaadymadqoesvzfvepenmxsbossftbblfcecshto,Fzpetvkyjrnxjgcv,NJ,577606.0,317619.0
O,1.0,S,dms10830,Sysco,F,10.0,526.0,xalqvi,United States of America,Wmflmjgxfosm,94.0,5.0,1-446-378-7818,Sherbrooke,,Miobkfrzxpm,Cqirxrjzndxgnweuu,dmslqndytifps,NE,2986027.0,27254.0
O,2.0,M,Avz10831,AK Steel Holding,m,5.0,457.0,Nvzviismjrhb,United States of America,Towteqtnfqwwudm,83.0,5.0,,New Haven,k,Qdrhcdp,EAYUIOS,Avznkmtdj,GA,2498795.0,468777.0
O,0.0,M,Nyf10832,PNM Resources,,8.0,424.0,qphzahx,United States of America,Okdmzpywjclvlcbjfqxnecei,67.0,4.0,,Brownsville,V,MFMJQACH,Siajetehapqzljzfufwftjwvrrlnufdglozd,Nyffigvltnowfogvjbjappvauov,WV,2765571.0,362991.0
R,4.0,,JTF10833,Brinker International,m,4.0,559.0,Xalmrijvphtsbxkikzvqsvss,United States of America,ncxccvozujtijhrzrfwsdgfzcazlwnnqzhygdjtwsvepwjrqjimpbzcaixjtcmxbapfftmmgkh,61.0,0.0,1-187-894-9565,Miami,,Waqlgrhivrqf,Rbrie,JTFPZAGPQIPJULIYDMTIFYIUPF,MT,3933394.0,119200.0
O,5.0,D,Ukd10834,Snap-On,,9.0,544.0,Xbxkpntvrvabkraywfbxx,United States of America,Jvkpabpigqvlciefaqsqvzaojygrpubpy,37.0,3.0,1-259-561-7057,Torrance,S,Kdejrgtw,AMZFEXDVGHNFZMJUXZIXCQBSIWDAGW,Ukdgxisjjt,NC,3830057.0,58102.0
O,3.0,M,OGB10835,Allegheny Technologies,,8.0,525.0,Pgyaipazqcfgndwllolxhoxtmo,United States of America,JLFLOSRBWJUUNSYWFEPIBUTTYDDAWXTQR,39.0,3.0,1-450-253-0327,Hampton,B,Tefusgljdgas,Csfuribafjohohuztnyxffpznrokmqwhtswvvxxzdgvffeygcpav,OGBQVR,Nova Scotia,1373200.0,428624.0
O,2.0,M,ceo10836,,,3.0,830.0,TUPPUBRUBXLTATSDXXFJLDTUDT,United States of America,Ezbuzuyhlxfqsvbxnldhjytnsrfscgwampajyldxhsnl,81.0,1.0,1-773-783-5611,Colorado Springs,,avkxeci,zwmajofteuhuqyhveulxku,ceodavfufblagaurvaxijrpcyubuq,NC,158582.0,465832.0
R,2.0,U,Hrz10837,Ralcorp Holdings,,9.0,752.0,BMQBFVAEKMYLXXLXZLLIV,Canada,Slkooftwzehlkfkyknubeklohldthwqhudvwiqcavfivlpinavyuupuqadlmstmezqc,71.0,1.0,1-965-493-0349,Concord,n,Zgnsrkyxu,Vfqmeybxomwgbwavrfddopitxkcqripmpfqbsaiccdbsyuspwgvtsiqsidhytg,Hrzdmqeyvdwzgwjnwjpluweny,MA,189255.0,119885.0
O,1.0,M,jeb10838,Nicor,f,,846.0,Fognkom,United States of America,Rmfctnoljrb,95.0,1.0,1-155-049-8081,Salt Lake City,,,Jzciffclpncfjnerspxkjnggcopwrliyhmqqrgxwliuplatbmmkkwcpisgbmfazmvpmmuje,jebtmweywvdrqtfqhvwfitqdyn,OH,1109218.0,174669.0
O,0.0,S,fkd10839,Bed Bath & Beyond,M,3.0,558.0,Qrqms,United States of America,JILHWPEMQSZTQILOOWNDANYER,47.0,2.0,1-452-868-7167,Augusta,,ZUVNKO,Oasuzotwibzahlaofygtuopstzuntnphytnvesodopmmgaqawodghezwpthe,fkdfrptmhhs,MD,3656088.0,156656.0
O,5.0,M,Res10840,HNI,M,9.0,850.0,vjkaqcy,United States of America,Ehtuxyfkwdjhpvrcbsnqqkbmnigilibvfuoxsytqqmbxdmzlx,,2.0,1-574-507-3746,Toledo,,bjizlitmqq,rzxqt,Resoanfvodgzl,IN,473417.0,357920.0
O,0.0,M,REC10841,Lowe's,,3.0,323.0,pfwxrzxibirffzqsfqbbpntpv,Canada,IEDLDQPXTVKRJVONJTAVTXXMIKLQUXJGWQCCANPSSCNJONNHROEBG,76.0,1.0,1-354-477-6595,Fort Collins,,Cisbrxwvbff,Uwmakjjvigvigbzvoxdinerrtpzwjnbsmrawnilzrjuadztfpnbqvfhvhcmlgforblum,RECJBMFBNFGPIHKSMHHQEMERREGTKR,HI,3434751.0,359633.0
O,4.0,U,Yst10842,Donaldson,,3.0,842.0,REYMLXWHPRPA,United States of America,Fwgwvtcpjseyauqxehzduzotzxddoesbdjnhtwjcjjixuxmtohfjmqnphroxrrd,26.0,1.0,1-924-365-0863,Kansas City,b,Zpvgpq,roaabwarrozvqwuuimvmofpkymrby,Ystxinmbosmjya,GA,3180166.0,202099.0
O,3.0,M,Nvs10843,Ingram Micro,M,8.0,718.0,errdwiqvrzqmofuussocph,United States of America,Ndbzqthzogguqecn,99.0,4.0,1-343-557-5744,Hartford,V,Vywik,FLCKJNHJOSPHCVTNLWLUV,Nvsugujddappzaqxzilvxfgl,British Columbia,356321.0,
O,2.0,M,Krm10844,Northrop Grumman,,9.0,529.0,ETQSMUPXWOTVMAMFLSSLUOWK,United States of America,fkbwvaldyygcqqggueauxestjqottuqundnnuklgvgtvxskcnomazupxjavgy,58.0,4.0,,Hollywood,L,Xrwldqqriv,,Krmzape,KS,3992021.0,265342.0
R,0.0,U,qps10845,Lender Processing Services,f,3.0,609.0,kzdhotmopfxgdoxirbjqnthgx,United States of America,Kexuaoejtkbjimxzweukzbkqfxn,94.0,3.0,1-066-884-8895,Concord,N,Btwwioiocm,Hzhrnaajlepoaqxddwlgmbbwywxjwrhsdvqecvkjqysjbmfkueivccliuyypsswyrveblaprcdeatqr,qpsaeqqfzxfeqd,AL,1750937.0,337164.0
O,4.0,D,Fyr10846,Bank of America Corp.,,0.0,772.0,DRQQOLZKIXVHKYQRLRVRPYLLHOT,Canada,KNUTGWQJXRDJNRT,45.0,3.0,1-091-698-4789,Saint John,,,,Fyrkhzenbfqbraoi,Ontario,3548008.0,350915.0
O,4.0,M,hkj10847,,,0.0,633.0,Jmfmuynmblfotbwhx,United States of America,Xkaufgligad,57.0,1.0,,Norfolk,j,ahstukmzpjed,qtdgpshhufcgjbxvvtmlkjcqrdsfqinukouogujntfvfkggvtkuqlqobsejrzuwdo,hkjhrnevmbfd,NE,414056.0,358327.0
O,5.0,M,smw10848,Leap Wireless International,,10.0,494.0,Wnqkqfqj,United States of America,SALNXXGQQHARVJIBPVHRWKHBAFDPKQHUNXMO,62.0,4.0,1-109-569-5507,Santa Clara,,Xvala,Ajvngvvpfobkf,smwubpizbyjxafpdz,KY,613222.0,28279.0
O,2.0,M,Urq10849,Nicor,f,,592.0,OWKFKMEQGHFLZAGULSFBBABKYMK,United States of America,Ekwgwmtcewkfoewhkxurpuvejbvo,34.0,,1-343-259-7805,Sherbrooke,M,MFMYSGDXL,QCGYHBFBPVUWPWGPUPQUHIEZBJBWMCQBGSIUXPJMJTGGASHLVTJXMTEBUMBCCZOU,Urqptvcobrtyptmutchgv,MN,2416300.0,491167.0
R,,M,Cbl10850,Source Interlink Cos.,m,1.0,455.0,MPAOILRIKXM,United States of America,Gxqovsqetprgzmpqotcm,31.0,3.0,1-453-392-7885,Bridgeport,,WIPHKYRNPDN,GFTHGSZCFDBUPRGFNEFMHKH,Cblpcibrxireyodca,WA,2676453.0,367346.0
O,4.0,U,IJX10851,Xilinx,F,0.0,446.0,Oddqcnxanuay,United States of America,,66.0,5.0,1-213-684-9283,Oklahoma City,,Acwdwhvhvu,tcjzrnkdnynjkiewdkptjzedjrinvbevexlghvmbegvwmjpxjatthockdtvzpaguyjkimjmnqwfgu,IJXUCUTVOHZ,DC,2306581.0,420057.0
O,4.0,M,qpm10852,Cameron International,m,10.0,,zbotsgkpa,United States of America,LHXLSYSUCYBQXLOQRHMSGVZPZA,58.0,3.0,1-237-664-0583,Miami,,GKHHOBFTCB,fvisbwgzkgklvrzmnqpfkcvllnclacmtgqthjwywgpya,qpmqerpr,Saskatchewan,2251896.0,410305.0
O,4.0,M,Hfr10853,Buildings Materials Corp.,m,1.0,371.0,bjyaomxgwd,United States of America,Gmnwrujfvsenmksmzcausqrfmjqevfmfrviffelklplpthcv,40.0,3.0,1-689-879-3736,Tampa,H,Tznmgvliz,TSDFZSQXZEKVCNLUNZHQDOQQCKIMWBPLJQQQFMUZJILDIAGBWPBVO,Hfrdkprikfrymhtfmopxb,NY,3052538.0,326726.0
,,M,gob10854,Levi Strauss,,8.0,308.0,FWTYXVTYK,Canada,Onkaftcksdfjvgmgpwvctaigtjcajuez,63.0,4.0,1-953-647-7827,Chicago,F,RIXDDDVHT,Vnchpkxbpfxtykanqupfvgoxjzggxbvfwoxqobnqielzjbxdhrgkalwaohyajeodcxurre,gobkryxwljkhffqdxtg,DC,3739890.0,418631.0
U,,M,Kta10855,Superior Energy Services,,7.0,520.0,GBOUAHXGREH,United States of America,Drxhxdorewjfiplyevhvbgnnoadmhmndhxnhvhxckbkgpp,39.0,0.0,1-002-821-0001,Concord,,PRRXV,Whedmnkdjlpigchluhdkfl,Ktahh,AR,1436877.0,323616.0
O,3.0,M,Icr10856,Murphy Oil,,6.0,612.0,QDIFL,United States of America,kkfdcwtxsavmolwejlhuknvvivjvzefjszxrcrqbxlgbgjjj,49.0,3.0,1-932-555-0987,New Orleans,,Roofxolqbvkq,Necdnjtpfhsqgnvnxyjiyhkoqntggznydwudkntgremgbybkqkoupvjmi,Icrtnwtuufg,OH,1560760.0,376508.0
O,5.0,M,tpm10857,Jabil Circuit,f,6.0,808.0,Zarlfoieh,United States of America,Czocvrbyhllrvwjrbcqypjfvayqtbaueubxfefjpkarkfjhkqywr,100.0,0.0,1-646-016-4503,Evansville,,Cyxgmhc,oivwpdtdneemectxctlhdzxdhxioqcxhoftoahdsfsbtbruystdu,tpmtemjgc,Quebec,,476120.0
U,3.0,U,LRI10858,Mosaic,,6.0,614.0,XUFZEUCPIEBIWSLKWCEDCXPEJDI,United States of America,Otemvdoprjndgnw,50.0,3.0,1-821-883-5682,Worcester,J,Ihhzsjqfa,Ercwgmjkfajuvninsggcuhpau,LRIATXPHUWZWEMBHEN,AK,2845352.0,40122.0
O,5.0,M,ebc10859,,f,4.0,577.0,Yserkqx,United States of America,Ucqnpwkux,40.0,2.0,1-496-563-6016,Baltimore,,CINKBYR,EMHMWWKPRIZKNCPIF,ebcsatz,MN,2857909.0,161189.0
O,0.0,D,Fbi10860,Securian Financial Group,R,3.0,318.0,Crogwzvifgssseiwhddkxkmvt,United States of America,mpyltemhsezuzdcaddmyxypnppfuykgpofnqktdrpnfnpswogxanemfonenynrxi,76.0,4.0,1-055-051-9146,Vallejo,,Mvsxgyhp,wifzvndqpakojptiptrifwznrcxosqmomiozcoltowrvfpritapquwhih,Fbidtzyduxszwkjjfhggbrpegbukd,MD,1069521.0,400468.0
O,5.0,M,ICR10861,Caterpillar,M,1.0,604.0,Jbmgtkmaxzxfkxft,United States of America,TOMVPMJBJTEBTZMCQLTORXNZLQAIUHJ,55.0,3.0,1-388-554-0277,Durham,M,,nuzqtgwjsbneiyhafnqlgxtxilkfekdowzbjn,ICRACNKCVFRSOBI,KY,,194902.0
O,4.0,M,tee10862,Southwest Airlines,,3.0,847.0,wbqkqbjrgcijwywqvohjiktctdf,United States of America,IAXGWOBVNDRHIXHSYTRGDMRDTPOGWOUPRBMNVANBMVPTMSVFFBMT,88.0,0.0,1-727-292-8078,Tulsa,,amskt,Doftzhwlgaquqnbjtmxjnlelqjflqsdcjjkuhgbjycdtaxcbmpm,teezckyunhqtkzypdc,WV,3917628.0,13152.0
O,5.0,U,Tin10863,Flowserve,f,1.0,363.0,MVSVSSAFEEVRUUTNTRENWLSU,United States of America,OBHUMEABXDBJANDVHACDCHBAPPZODMFZAKWTKJSIYPOZDBIVKUTFDGTEHXWJAMTHXIMMZJGGKTEDLI,35.0,0.0,1-334-525-9861,Winnipeg,N,XORAF,kcgvlsjgzukaxiygqumazegwdpdnzumghjcpshsttlxuyyjlebtfhpstr,Tinxturhedipszsmvqhsj,CA,761443.0,436025.0
O,1.0,M,Vch10865,Invacare,m,3.0,326.0,Lqauooyw,United States of America,upglecdcuuwlirw,,,1-990-107-5564,Corona,r,lczgiqdhaf,WEZBXYOGFQTGTTGKFJINGNFZZEIEDWW,Vchcqkeweozrkquddtgjg,NJ,1771800.0,257165.0
R,5.0,M,Pjx10866,BB&T Corp.,M,4.0,668.0,Mcmnssylambbbnqykyfjg,United States of America,NTYSJXAFUEOXLZFLJWBVRXUKCEAUIAZCDHSKVKVYSCLIDHHXZEK,48.0,,,Sacramento,,BECMHMKSL,FXLIBKRYMQPXVGOVFFZRDHWYAXPHTQUCAOUHQNXKG,Pjxwmmulsmdqialjttzpusktt,GA,3022542.0,337894.0
U,0.0,M,Vpf10867,,F,5.0,825.0,LPWPPARUBHLXIZOUGOHDAMMHGRVF,United States of America,zksekmnvkigpunpuolainpvakplvvatkvxa,52.0,4.0,1-716-166-9366,San Antonio,,Snxtdgp,PUIFBOFFIWGCHLHGIEBOSTVEFVWNXBGACOTRCRCFZOIYHJGSQFWLYOMULNVLAAAMGCVZEVFELRW,Vpfkhzmddeygmadhtv,KS,1383399.0,356799.0
O,0.0,M,Gvj10868,Genworth Financial,,2.0,786.0,Rqbbvryykhv,United States of America,ZHMMBKNCOGNYU,99.0,1.0,1-688-045-4901,Brownsville,g,GIEZNTUI,Pvwopybwrknqsllpcxyms,Gvjknsuprukdqtgvmrkc,WA,3990771.0,270117.0
O,1.0,M,Xuc10869,Health Management Associates,,4.0,481.0,WOAAKWSRVVXELTLXDAVGNLNCW,United States of America,rlfczysmudmcplwontlmzaccksg,5.0,1.0,1-273-772-0860,Charleston,,RGSKKJEKNRF,Jwjwsjcnrybugmdiwtdguaqgxajck,Xucjztzoluqzirxiltrpwtmw,MO,2450042.0,494908.0
R,2.0,M,IVN10870,International Assets Holding,f,10.0,313.0,Brvyvblnoemya,,BHXUESVN,23.0,2.0,1-131-027-9958,St. Petersburg,T,ZMGJQBO,Jgvkbaqhsjluthmvgybamcprljfkqrcvkmuhzj,IVNBKKRTKKCHCDXOIPNNB,WI,3331943.0,
,4.0,U,Rgl10871,CACI International,M,5.0,797.0,motuzfbazslzeopv,Canada,Arkrhxcebkrgxnamxdyhiqihakagyxvcoczvkptnhrjdpuluwrdpdhrfdwdxdnwrndmps,74.0,4.0,1-687-841-5725,Durham,q,Fjeoqccpv,Jykljxiwemgbbbdhfnneechmw,Rglursqhjesrwowip,ID,2700892.0,72631.0
O,4.0,M,Zin10872,First Data,,4.0,655.0,Mnbmlpugpjkp,United States of America,Rqmttdgdgktdkbsajklsktwphlwvzmkqrvyzchuaernotfmeaas,80.0,0.0,1-049-141-1702,Hilo,,Jyauewguk,Jrkwtdarqqipdxyyulonxxpecfe,Zinqwhhlclsffrmyeihjjjivnoel,WI,1988778.0,
U,4.0,,Adu10873,SunGard Data Systems,,8.0,735.0,Qqsqimjxnjdpaipmvdmy,Canada,XVWBCXLXOAHLSGF,28.0,0.0,1-905-415-3583,Anaheim,,Rifetwv,gcnwhpornjxchcxlckiltwwpbucakcgdqrflkoxbxbnxkgac,Adudjquv,CO,726681.0,91926.0
O,3.0,D,Csc10874,Group 1 Automotive,,4.0,459.0,Whkkfp,United States of America,,5.0,1.0,1-540-914-4756,Livonia,g,Hmsgoe,qntnvkczaxvoeljiprixoafrhpmmjxjdgqqoafadsgepkjsbvxjbunwyszoprbjyrkfnqajeyrbcr,Cscluuawlffbnbmkhnp,Prince Edward Island,2337460.0,234038.0
O,4.0,U,Ekn10875,Capital One Financial,,2.0,664.0,HUZQCZHOCUAFZNNBXVLRVVLPTGOKKO,United States of America,PYRCXDN,49.0,1.0,1-191-268-1646,El Monte,,XYMLJBJ,xgxkrfobkkennyedpefvywwnwsmhwptpzlpm,Eknsmytegohebvtvm,MT,736224.0,13154.0
O,3.0,M,Sql10876,Adams Resources & Energy,,3.0,817.0,Agceuysxggsksus,United States of America,Xqrowckngeqxwdlzgqgixl,24.0,5.0,1-419-978-5211,Overland Park,I,kiuikoxcc,vmvgapslswmqlzjjrrmsgyosqicomgplfzwbpwyriqm,Sqlkovsnzgtdshluvfvuds,HI,608007.0,489679.0
U,4.0,U,GPG10877,MeadWestvaco,M,8.0,,CIHDVPYONELIITEXLQQQVIQYGOZFF,United States of America,FIECIYODQJYKHPGKEJOTGDXXFVTXYXYIZRRJCNWNDDMRBOFTKVLBPCLFFVVKYXGZIJRURLUU,9.0,0.0,1-559-928-3346,Kitchener,,Uzhepxd,gknohzlvkkggmfzcvojoqrwtwebgaddicyjuelosnbleiyvomkfibxypetswzbilk,GPGBBHCVSYQIKLSIMIS,IL,3246504.0,134587.0
O,2.0,M,YFJ10878,Dell,m,6.0,753.0,cnoxmttjqnqgylig,United States of America,VVVIBJJOHJMLVQFGWOONZCQGSKLXEMHLOMDTNJAFFMDDGQDQKXCBEEVDIXV,62.0,2.0,1-052-414-7792,Tacoma,n,nbhnma,,YFJDCDMGRPZNFHAWVEKABNATLY,RI,2086761.0,127730.0
O,3.0,M,Jqw10879,,f,1.0,582.0,Xdxsrgvkfjhtjuqwscksn,United States of America,,71.0,0.0,1-165-465-6251,Charleston,,,tasguijicdgeenb,Jqwicclqozilgaswlmtzyljnoltog,DC,3868264.0,34247.0
R,4.0,,Dep10880,Jabil Circuit,,5.0,625.0,cfuty,United States of America,,53.0,2.0,1-394-137-7064,Wichita,D,Ivdchhk,oiejwoaxuqnffkwrphftyveftbdjaawiiiyawxlrrg,Depdlksempihuoqecwzor,MT,25224.0,315589.0
O,2.0,W,Zzq10881,Abercrombie & Fitch,,6.0,619.0,Ettexaiuoj,United States of America,DCGVLSYVYAFAXRRFYLIXOBHWGJXTDBHFHVDWA,11.0,2.0,1-095-184-2788,Iqaluit,W,Rftjrrhxre,Hynackuhkubxtyfgfccsdekxdsymgvvhimjquymhxqsqj,Zzqjbxluzwjveal,British Columbia,2099888.0,377153.0
