prospect_AddrL1,prospect_MaSt,prospect_Co,prospect_MidIn,prospect_OwOReF,prospect_Em,prospect_NumC,prospect_PoCo,prospect_NumChi,prospect_In,prospect_LaNa,prospect_A,prospect_AgeID,prospect_AdLi2,prospect_C,prospect_St,prospect_FiN,prospect_NeWo,prospect_CreRat,prospect_NuCreCar,prospect_Gen,prospect_Ph
impeokpwnelguedwkxvloq,U,Canada,v,O,PHH,4.0,agdkewyusoe,1.0,414089.0,KBPGTSB,85.0,KBP11137,WPVGKTQZVWSMBWHOZFTGYELNIFQGHYMTZNOPGVHFGQIKZCJOGXXCOTIPYZLKVMSTDERGQH,London,ID,qnewwwgrnemmb,3995280.0,554.0,,M,1-018-762-8415
Xzvkmmvudewrjfwixvuicypcxnsumlwlggisvihgczmojydgjknlyrmqissvcw,D,United States of America,,O,Berkshire Hathaway,0.0,OZHKONEGE,3.0,471238.0,YMBFYQKDVTRQB,17.0,YMB11138,SNBYDYPDGUECULXBAL,Milwaukee,ND,ilwowazvzovams,625139.0,807.0,2.0,,1-871-929-7228
Pawylynknvsqgbzcefxixbdsbmwpbkbwycvzdvlrzmh,M,United States of America,H,R,Mattel,5.0,kzxygsxvgvb,0.0,94103.0,Hphhbjnkcxwpcaba,16.0,Hph11139,eahbnhvefxnethyxjjstnsbcfrkuzjeayiukhzlthhjlqylambqas,Oxnard,WV,Powikigpmzi,2833410.0,357.0,8.0,,1-276-126-1453
QGGPYAPOPDAPSMHBNIARUAZYIOLHXBYOHVEKKWIZVTR,M,Canada,y,O,Flowserve,2.0,Lxustjho,0.0,424349.0,Uahdgmetexdalsctnxtefwzmiuqi,94.0,Uah11140,zntmmgbqjndpfwcausseebjzcukwtpcdmvddmgulzn,Victoria,Prince Edward Island,FBDXRBUFDSPTJWZXFDUXV,1656365.0,577.0,7.0,,1-714-737-4687
Tozmewreywuonpmu,M,United States of America,Q,O,ArvinMeritor,,RPASTKKAI,,433663.0,QVGQFXXQNLNYZYELLBNBELRE,85.0,QVG11141,Qvqkrfvmkxpnkljqmfdcjxskvoovvvpduwpzlxoonkj,Warren,GA,Xdkwjrcdyfoc,2377665.0,,10.0,,1-917-113-8529
Ikbflhkzv,U,Canada,,,BlackRock,5.0,Rlgdvrxa,0.0,233605.0,MTXGRQNFQIUCP,48.0,MTX11142,tlugnthmeqfqolgbxgkhcdxdwayqdawwhpeghfnrgemevoittfnssp,Cheyenne,AZ,HDPDDCLDYR,1238464.0,639.0,0.0,f,1-501-406-1681
Qfapfftdilqmfxkivfhmuflfulcyodbwxtsljootppgnfuxwzkowfrsuk,U,United States of America,,R,Emerson Electric,5.0,vdrwcjbvvyhz,2.0,227596.0,Twpqlrayqspaevctznbmqzjkpe,26.0,Twp11143,yvyohumnpraajrw,Sunnyvale,AL,Gcnxgxcalifccznzdy,1627161.0,620.0,9.0,F,1-605-487-8920
Lljdlldqonxagkayomdxkocqwohonrhkdqobirxpectvrqqeczpwgfqdprb,S,,,R,Aramark,4.0,VLAEBKBA,3.0,8426.0,Rfjhsihwolxzuvinqnpf,68.0,Rfj11144,Civygzajrdlrh,Eugene,CT,Iljbxhbziqlyxjufhtctkrugfqhhh,52805.0,690.0,4.0,F,1-469-765-2896
AYXIMTXCHMYLYLXXAUWXWXGLZYKXFKDJCBSSJJMBVKJKTPRRCGQFDNWMWNMIMWZTWVVYLHE,M,United States of America,,O,Ashland,0.0,Visftl,,493298.0,Sdlcnxufpralccfvt,66.0,Sdl11145,YZQCSHASVPTTLLANODFZUDBFHHPWGJNCUV,Salem,Alberta,FQATEFAFUNBWXKOZRXKP,2942915.0,375.0,0.0,,1-032-636-1468
ltvlrvwomwwplnoknavudkfkeksowzimeuphvxgfmyxdmbpjtpjccgyasqmgfkui,U,United States of America,,O,3M,0.0,Hbtnvbzyuep,4.0,224667.0,Teoaowodkinqbpqnfhsyxtce,5.0,Teo11146,Drfjctlnwxswlatzpeawkfgeikaatmmlhvkfjqxgelmrgfscbavbrkiygv,Denver,Ontario,Avkhumpcbfbkhjeddcixqmhq,99902.0,365.0,9.0,,1-953-691-9317
USXSEQCKRYTNILQAOULAEQURPMNHUNKBAPECEUCFRLVSBZJXULAXLWFRHRHFDWSJMBZKIDBIAVWEM,D,United States of America,,O,,5.0,crhepouslmt,3.0,389774.0,Nitdkbpuplemxtkqauzey,,Nit11147,xjvjbkppikwualixdlsyjidaubvadsipegcm,St. Petersburg,OR,GCEUPTLOHVITYAWDLSZKJDYQTGN,347527.0,321.0,10.0,,1-776-725-3446
KKCUSTLGFLGJKYKIUVARENRAXEPF,D,Canada,,O,Shaw Group,0.0,Myvxtjg,,90681.0,Ffmgepdsxvm,78.0,Ffm11148,HWGZYEHJDCGSIYRZMXYWXGFLVKXALQRROLRSVJFCWCUYNDAYEECADNBY,Cheyenne,AZ,RYAPPBRM,2938993.0,737.0,5.0,,1-292-318-0400
Zhshiivlxfsswzzeqtpjipaknzcwcsodb,,Canada,,O,Northrop Grumman,2.0,mjezhevlc,2.0,391271.0,XGAFREVJCNQODUAFTYSEXRU,88.0,XGA11149,YVTSUSZOFGVSAAUV,Miami,WA,ubzaskifxaathvuv,3508797.0,424.0,1.0,,1-723-289-3585
Zyuvbisksccnozbjhkbk,W,United States of America,,O,Principal Financial,3.0,Rjfdmtdegu,0.0,326600.0,Rlpfqnznma,21.0,Rlp11150,HQORTUGTOWWONTGATLBROVLEULOHJWATNYCZXNHSKLTUYNNVDDTOGZAMIQZCHDVCBTZQ,San Antonio,ND,Olmscajwrpnfugz,1753916.0,558.0,2.0,,1-656-754-8115
TABFGTICEXNMVXVOAKCLIYTCSENWAPQHPYKNBXKMMOFQWLBPGAKNESLZQGAIADDRSPVBXGXZGW,M,United States of America,D,O,Atmos Energy,0.0,Kmuxwxcn,3.0,300707.0,Srhnhgjpvcbv,94.0,Srh11151,Hysmlvhymupjnmxjbujqpwbvirdaoksnwhndeodjhjchmgkjtcjgegtjfsbqkielwdyxsmpbtftoau,Waco,Ontario,GPVWNUKAHTOIKUBFNJN,1126659.0,784.0,7.0,,1-258-946-1316
Aiigymbqgqix,M,United States of America,,O,SkyWest,2.0,idaegspqxph,4.0,4644.0,Gwinfwjellujzltwxapemhsu,27.0,Gwi11152,UXTACOQCHIVPLCDQCFPCLXZTDJUCCSXKNQXHZXPBZUMVMROGWMOV,Arlington,NV,Zdnjzosidvnaorrvjvezsww,2743465.0,685.0,1.0,,1-517-276-5758
Mcvcpdkifoxvsbkmiamrdkpkbcs,M,United States of America,,U,Cracker Barrel Old Country,4.0,Rlvxnkojz,3.0,172476.0,vijkfuxyinng,50.0,vij11153,Mqxjqvdqdeemeusxbooquqzbymsfzikit,Cheyenne,OR,ndkgss,3074514.0,761.0,6.0,,1-549-697-9256
,W,United States of America,J,O,Brightpoint,0.0,owbzfwa,4.0,452117.0,Zmdxiukfhfgkalxcomcboufrumirm,53.0,Zmd11154,Qozkpggevqihsrt,Portland,SC,Uwtffcptbiockkrdpxnqnx,3134876.0,506.0,0.0,F,1-052-043-7511
Drchvtgigxleqvrshcsbtsrszxjuyfybrjgmbwhgex,M,,,O,Health Net,0.0,fwwxvcgbup,2.0,326880.0,Rqomvugellhwexznhfid,23.0,Rqo11155,Xyponfnim,Saint John,NE,Skympmabeqlxpltlxrhvqfbggw,2214185.0,471.0,9.0,,1-131-650-8974
Lwtvcqprxjvrecwqiihahtop,U,United States of America,,R,W.R. Berkley,3.0,indubf,5.0,419937.0,VEWSMZFCF,27.0,VEW11156,Dfxzdbfscsjzqczzigjikg,Burlington,OH,Aowipvuskdtxkndv,3278947.0,816.0,2.0,F,1-921-938-3921
MOGSABPW,M,United States of America,,U,Occidental Petroleum,4.0,,3.0,230134.0,Sifdzxyrsoqksuljxbky,5.0,Sif11157,NMRVUWIJHLQAGTNDQIUTGKYBIVCBAMUNHYZZMOOGAINHWSUOCKCQZMJMRUOFLGODJUUVDP,Pittsburgh,SD,JRTXFZ,1462393.0,341.0,4.0,m,1-632-075-2060
Rirkztajkcvkaffehkwgadnimxcwmuhvvllgvxcxayfzxfgnnxargkcqdinmxz,U,Canada,,O,Wyndham Worldwide,0.0,Rupdl,5.0,493355.0,Znwcyzsskoidpwltdrnrsckx,97.0,Znw11158,UCNCFJZQEAZA,Worcester,Saskatchewan,TNJVSMBCDRJKJFP,2370101.0,422.0,9.0,,1-388-656-6832
VGKLSCPANYCRMOUHCMIQNLKJELFKRTESVTCBUSRAZCXPOFDNNSK,M,Canada,T,R,Aon,2.0,Tkcwnhxaul,4.0,425574.0,mswhhdielberciprrfaqqcefu,6.0,msw11159,Pnankekkqsrczshebvxsowjvkntgi,Durham,IL,Rzokiaekslypogjylwrajnnuoo,591620.0,762.0,5.0,,1-344-834-6553
odxsaffsuhbmhoxxjcdpxbmwnbemwh,M,United States of America,,U,JetBlue Airways,0.0,Thpgfqwkjd,5.0,60453.0,bftgcglwcaex,97.0,bft11160,QTYEPETFBNEGEPJNBKRAEKWJYVAVIYJKCE,Santa Rosa,UT,PALLWINHLAUJIES,3537831.0,316.0,5.0,M,1-720-836-7519
fldprcqzgzmgujffkajtkerqfptvqhubfqnqwogncutttdzehruzwlgdnijilcsdjeg,S,United States of America,G,O,Belden,0.0,Wsuhhjogx,2.0,9498.0,Lsjvxbgpecbguabvmicuood,23.0,Lsj11161,Gettnhirdeklzcxwegvibyncrvxjghovveeitozgagkeseitquualjeghdh,Winnipeg,Ontario,Atoncsjv,2153327.0,,2.0,,1-752-288-0394
QMVUTKTPFGKMDWHBDVPGBYYLERBCSHM,U,United States of America,h,R,Warnaco Group,0.0,Babkxvui,5.0,316948.0,Wxnuqoedp,59.0,Wxn11162,bfzsvhaabstiqxngvhpugkbzolfojiezeldvaurovxhewywrxexhjhq,Jacksonville,IL,Fesuvnua,3293783.0,451.0,4.0,F,1-188-114-6634
GETWWAWFEIJLVWXHBMAEBQLQIOFVFCHYS,W,United States of America,G,O,Cabela's,4.0,edzfxxuvf,0.0,104473.0,szzwlfkzmzbagjnbnduoyfrxbjlcsr,13.0,szz11163,Qtnszjsbbsuascnxkfzjdyitobgy,Warwick,IA,Iqprorvphujwdmt,1360085.0,745.0,1.0,m,1-701-450-5175
BLFEORQEJQVEODHCUPINRQKVFPPPQM,S,United States of America,,O,United Parcel Service,4.0,akjarfnjchv,2.0,16214.0,munndvsan,25.0,mun11164,Zsiquqbwslxbrkvurkhaqelryfjmnmnrxlxdczibgqztdixhbdwvrtfvatsnjtjmkouibmytwflt,Pueblo,UT,GTWJXOEMJ,2941247.0,731.0,6.0,M,1-065-360-5910
PUHLMWFXM,M,United States of America,U,O,Graybar Electric,5.0,Vrwcfsdlojbs,3.0,337480.0,ZMTNLKJJ,16.0,ZMT11165,SKKSJYWZTSGBSMSWAXQZANQRZFLZKVGETXMMZDXU,Lansing,ID,Hikffxmayixnswoouoypdfeot,,,8.0,,1-185-997-5812
,M,United States of America,,O,Worthington Industries,3.0,nwcpiz,0.0,346642.0,Epjsszvjttnxtoggbblhkzkwwamw,56.0,Epj11166,Dbutbxgyuuqxbmyhxxrmwqdavpmt,Nashville,LA,EKUJASFTYIEUCLDRZ,2994734.0,,9.0,f,1-497-406-2487
QGFNONDABOVKCBAFUGSPCOJAYLRQVZJUNTASEXUXCASAGHTUVF,D,United States of America,,O,C.H. Robinson Worldwide,3.0,HWGPGWJ,3.0,3145.0,lenzodqc,53.0,len11167,Qntqcdlsfppqqstebawxukrxrdrmb,Sacramento,WI,Gotuzxubljawdhsrhvpjeg,2149112.0,687.0,6.0,M,1-164-698-3450
EVIFCLKQQSDBURHZMJCFLYMJVPUYGJKJIHGHIDAPJAZWEQZEGBBAJZQWFSBRLDFZG,W,United States of America,G,O,Fidelity National Financial,1.0,Kkhdogoj,5.0,237898.0,BBSCHGXWLZB,71.0,BBS11168,hgizfiaoedkohbcotwrllqtistvoisvgbrlmpqnlm,Berkeley,RI,Pleeqemchwlfmhksjrtbpmcl,1092354.0,559.0,9.0,,1-894-933-3013
Ztefxloupbhfnbtyrmgfjjtjfpvvkfogenhwijlvplzkpxcjw,U,United States of America,B,R,Bucyrus International,0.0,swjjs,1.0,174682.0,QGXOVQSZTRLDBIQBLSJWZEBTINDST,30.0,QGX11169,tmxfjdqlokgaglnttvgiyoclwqmtcbpmmvmlonlksirrczppmjozelmde,Lubbock,ND,yswewgtdlmwooilougzc,2972793.0,427.0,1.0,,1-943-216-4595
Jddbkxuwogaervlqiudckdrihqjldskpkpwe,,United States of America,V,O,Mueller Water Products,1.0,Obtuki,1.0,256354.0,ysyxjvxdojhtaojvkxwyr,89.0,ysy11170,OYLKESRDIYSRUFAAFSIJUJPCBXDBLLYNAJHERRUWBWLTXPBSYMSGNCHEMKWIOIFOS,Pittsburgh,TN,wytatppfqnhqoyyiymvkrdw,254517.0,718.0,9.0,m,1-329-309-2920
qohonclgrtvknuqcbuithficcyjpvxrdtzsbzuwhdvmhbfuzscdk,M,United States of America,,O,,3.0,Xshwlugsnej,5.0,352546.0,PAHOAJTQQBZOLAPOLRGFIJS,89.0,PAH11171,KJMHELSYALNSQJSQPBQFSMPWKUZGKHTDOBKRMKLKPXZGGEJLTDWRMBNVSEIOEWY,Aurora,HI,EWUOBHWLUSTUG,3232905.0,415.0,2.0,,1-567-224-1134
Itgtfjwmwnwsexnevraagbrsfbyzocbvkrptimbpvbnxheioxeactzkzoyles,M,United States of America,V,O,Magellan Health Services,3.0,Lpllwni,4.0,115604.0,uomhohtwjsvsqvtukrblycjwcccx,32.0,uom11172,Svkmvdwmdepicegeacrylbjhkwnnemqnorzultbqrrmakzawujbuddwjlxupaoqtkvvvdnmrpmudr,Fargo,AL,Tpqhanmpiau,1600993.0,,1.0,F,1-393-232-1288
FPSZJPHTJLVFBUCNVXCAQSROSMKPBNXNUUQXAJMQHENXWLHIXWDFSJGVSJRPKRNZIHISZXKSVDIJ,,United States of America,S,O,Delphi,3.0,Jbueoha,1.0,122517.0,sjcbgmbopxsaizqcwqojcsjjiwjp,,sjc11173,Fnowwrnxkmqqvclyvvxghvmmnxocpxcobgvc,Tacoma,Manitoba,Dirotroocybjeyxqktoftlc,2990822.0,513.0,0.0,m,1-234-880-6992
Newuixxpvktgkyaszvlwpjlnftnwagawchaihbeczifokmzlmrtjjgstbrnrmrhcwyotekfnwwbqmw,M,,,O,Nordstrom,1.0,HLDCAYXBPUW,4.0,,rlnrfpnxtjdrkxnwnqcoctx,61.0,rln11174,rxvsrywlwscplhaqbwnutwwjgpjfwytxbssxabqlsuuorpchtkgyl,Sioux Falls,NV,TMKDIRCMWNVZLWAMXUVFWGUXQODX,182737.0,355.0,2.0,M,1-274-443-1820
jqcqi,M,Canada,,U,Juniper Networks,0.0,AUFYE,3.0,81016.0,jfaubts,94.0,jfa11175,FAXICLTVTRABXVRGJGJDQXWDOJZVFGTDPOOIFTEEONRTDEVBRJPLXVAZUCDMDBDIWUIOWFAOOPWUSN,Livonia,NC,Nfeynxtmwilsbfjxuhohpgghnwglc,1336995.0,641.0,1.0,,1-062-362-7185
Boeyyeqdjvednnlasrzujquhcrtqggjcgfmexgdzlcotpfjpkvulehhwv,W,United States of America,n,R,Genzyme,1.0,,2.0,161122.0,DBUHIBJB,16.0,DBU11176,lzibncalsxjpufinlvlbxdnjtcegmxzzcbelbrj,Hollywood,CO,Ygxuhrpuwurpjvzqnm,2273609.0,407.0,1.0,,1-112-704-6386
IPXKXUIIJPP,S,United States of America,,O,NiSource,4.0,Rhafxpalo,1.0,435693.0,ruttgegnqsfxdrlng,42.0,rut11177,grlltuylxfdibzwvspjusnmnlaqrt,Eugene,New Brunswick,Pvaxpmyvlffcgawomcjgqllkxf,362348.0,506.0,5.0,M,1-651-034-7223
Sdtesnnuloiyxeplsodmcrnlawbvsdkvnktlbujrgtwharhd,W,United States of America,f,O,DTE Energy,0.0,Shmxek,2.0,398338.0,Lmpqryoh,92.0,Lmp11178,Eqrwdceanzmryanlegomqobtgcaauwzyduqrtmimzaojwfp,Aurora,SD,MEGLLVCASBCQA,1681106.0,729.0,8.0,,1-704-918-9418
Wlrkcnasvvrhpndvxoachtmxtaorrklmyjnxdqlgkocaqdyplzteagppatmulhnedegxxok,M,Canada,,,Hayes Lemmerz,4.0,Hnvifgfx,0.0,488768.0,bskvpezhpqu,7.0,bsk11179,Vvlkobjahhruvcqxvtbnjnvusdjeistllcrojdwximakzviuwg,Fort Smith,LA,Hpptgfuccgdkwkgumlqcccs,3920130.0,600.0,6.0,,1-337-824-2522
jedgrkhqwmuagxvwiafwhetbxrkwmwvbvpek,U,United States of America,G,O,Warnaco Group,3.0,cxfpgv,4.0,,cbgeqgwtewidbfygawizibdfdauc,70.0,cbg11180,,Irvine,Newfoundland,Ewienyfbdjvivdezwfshuxprizjltg,529892.0,632.0,3.0,F,1-752-818-7537
EQKVQXBONXVSKNLRXUOSTYVCLUFQRCJNMXAFCBGML,M,United States of America,s,R,Qwest Communications,,Zjhaquijmp,5.0,9811.0,obohyevrzqvnxdmywgludoiaaubnp,88.0,obo11181,Cfoolieixcudwumnandpxamkjkfknowvn,Warren,NE,Sqowirshrqetcsntv,1316910.0,569.0,5.0,F,1-889-003-1757
ojmpxdifwusnurndgrnqaidhhvysufdfciishoxezlph,U,United States of America,Z,R,YRC Worldwide,0.0,ETJXFPYEZBC,5.0,150917.0,Iuowqfv,31.0,Iuo11182,Gmociatonrfcqzkek,New Haven,MD,rwzbcdqbgudtnjvgzp,3993266.0,714.0,10.0,F,1-706-238-1831
Hkjapycxiwprgbdskajsbfbroyqsucnvbfktpmqvm,D,United States of America,p,R,Kellogg,5.0,iprcibuvcln,2.0,215046.0,ALFNDK,90.0,ALF11183,brkxdnrwnacknnuspestrwffaxualffyxoeugnpmycmwfedqkmyjntdjnljfgvlcpygtbregiseryc,Lowell,NH,Gcjhkcacfccrpve,3366626.0,755.0,,,1-046-423-6348
Bfpzptasjrigkfd,S,United States of America,W,O,Henry Schein,3.0,jctintjx,5.0,261654.0,ritqiqiu,17.0,rit11184,SMPLQILURVDNECONNNBDCSNZBAURPJPGIKHUOWCUDPXLJJSXVUZQ,Newport News,OR,ngfbynzktdjqvyatcomrwznvrrj,1171645.0,393.0,2.0,m,1-491-242-3165
Tjoacsmxfjywdjskdhfdfghtoimdgvtbcbjuzbvkj,D,,o,R,Jo Ann Stores,3.0,VKXHG,2.0,77193.0,Pyouewixxsqmfgmcoafjpnpihrwyt,9.0,Pyo11185,xxssvtjhrmdfqqkemjskqokxyetomjkrnbpjopfhrlafknyqlxkwilmequbv,El Paso,CA,kgdcdxnjhxpnifozuxxnojdufi,2323435.0,509.0,3.0,M,1-541-477-9380
ZLGTQWQKOQPKTTUAMFXYNHKDYWONERZNXI,S,United States of America,,O,McKesson,0.0,Xblegmm,3.0,43073.0,Lpwfeagehs,44.0,Lpw11186,Jdhxmjwuacslxejveeatixdggimnbsfmjoiknkisexkgictqftcelxpyzjtwhgtsdvkcklmkskvpfi,Nashua,NC,vednpxxqigyggalikckbsblttbaf,1865281.0,394.0,4.0,F,1-172-369-1071
Nolmpyyezjmwvqfbotdpbcrxzyfsmzkewfovqxkjwgebmnsdwkdgkgphmivrwixotrxvw,M,United States of America,,R,Duke Energy,5.0,ndthbk,,299466.0,kafckxugxnbmxjv,,kaf11187,uieobjgnblwwhpfrojyewlck,Minneapolis,Manitoba,Zjfffntpwzpajjpf,2256107.0,469.0,5.0,,1-345-079-2973
,S,United States of America,r,O,Iasis Healthcare,5.0,krnlvhoomtr,0.0,326132.0,hfaqcqrnkkugoeomiksrisimli,1.0,hfa11188,rmvsomcctjewneiiezgxpajpdynpxzhfhtikwqxfwjxiipiohuvrcwevdnphcrcsdxaoqoh,Toronto,WA,JWSJTXXE,239712.0,543.0,2.0,m,1-313-392-8834
Sgticznzifwkvbhdykexaarrxowuoyxvjioqhcoehs,M,United States of America,Z,R,Jack in the Box,3.0,Kewhsjqtard,0.0,8576.0,VKJYEWAXVIQJPQATRJ,43.0,VKJ11189,EVQRXDGZEFCDSRKRYUZBNLQJPGOMMHQUELZ,Denver,CT,CNWWINJDEEWPPCWRQRDUOPQJIJM,3703928.0,411.0,5.0,m,1-247-836-1176
,,Canada,N,U,St. Jude Medical,4.0,lbtbkvfmqm,4.0,474322.0,Yprghaimogfrgmjdmigzpunfmkeex,85.0,Ypr11190,Okakletrviobgugtwqudffvslvduqnzkreookc,Irving,NY,qtfwvxzcxtpezual,1949025.0,442.0,,,1-063-237-6978
Wmvalsvlyzcobnbxkouwcktwxqcwxefrotlcvlovuwiukartaowbuc,M,United States of America,i,O,Questar,4.0,Ymakqtei,2.0,470593.0,Zntjyxesuepvrrfxxjkpj,27.0,Znt11191,YZGEJZY,Salem,ME,Wssnxvhuzovbjcvowtumbujzbeta,2159875.0,431.0,1.0,F,1-973-100-8690
Rbhjptqziqvhqxleyuibiunpidswomdihjqtkrclbkrzsf,S,United States of America,,U,Staples,0.0,MOJIJHMPRT,2.0,427824.0,Vsdlowryegrjtwrldlukzexwtv,75.0,Vsd11192,Djjmlqsnajrhuhrqrmrmlzrjaqeplfgqyimewtdcclvsrmm,Alexandria,DE,SEDCYSZNGPQESJ,1283011.0,388.0,8.0,,1-954-797-1843
pgftkeymm,M,United States of America,W,U,Owens Corning,,DGASKWTEG,1.0,254388.0,Jcmpxcdqizsdgwyjluqrbn,89.0,Jcm11193,udlawxvhbbfbwflyobfeabttpcrrmoyajvbshbynrqidcduuqzsfkncmo,Saskatoon,ID,WISXIUF,3212581.0,314.0,1.0,F,1-775-847-1133
Skyajkrofkyfhyqowddyojqlsozlalxbexbjletozzmmfqppjgotgazwnaobiprksozne,U,Canada,,O,MSC Industrial Direct,1.0,tjxqcmxspl,,66442.0,Dtxolpbstspaatucdawkrm,69.0,Dtx11194,Wohzanxecajziehgfljyfgtgttwkaajmeemooxjtgtacuecletr,Virginia Beach,HI,Vtzxrwglqvovvftehfwewgpbecurgr,2425038.0,783.0,,,
GQPWCFFRJYYRZDINHZGIWMG,,,e,O,Flowers Foods,4.0,Swqxmuzv,0.0,43721.0,fbqvttjrdpqmloobygkavgxoupjz,,fbq11195,Qbggnkwqojqlrirbbqes,Abilene,OR,WRCESRMKMODC,430774.0,,2.0,,1-924-595-1909
Nzfjnczeaxjbbpvj,M,United States of America,,,Best Buy,4.0,Cnmpkarc,2.0,150100.0,easiqz,23.0,eas11196,Luihcgdwkabghek,Winnipeg,WV,knfzdnsdflpanokmdtxdsb,3500049.0,678.0,2.0,M,1-079-537-8338
Niknvrphtqqbyssiqoepydqwpnnqyhbwukbthouopxgrwdsnaxualhkujgssindxnabzvbzrpl,W,United States of America,u,R,Circuit City Stores,,GPRZXTWJIA,0.0,39659.0,BFDQLJNCKLJRSXMVQJHIKO,67.0,BFD11197,RMHOEKMDSSMZBCSVVJLIGMQQODKLJLOFMDEZHBGGWWFREUPPRFKHLZKIENMVAXWS,Las Vegas,NM,Vvnvbhumprdnhunxnlzzvzxs,1507535.0,583.0,1.0,,1-142-172-5921
Nexwbveupvtmtwfqjawschquajgldriuhnrdgesxtpbpzpradqdslsrhxgrupgrsretco,U,Canada,I,R,Praxair,5.0,lhqseqytnmtq,3.0,,Qeadqqqvkqyywfdrhdrwi,2.0,Qea11198,Nnqctitcnvaucsiswwflzlchgruprtrthdlncwzixyqonkpcodyajctaqhjxwnatdxiahqdniavjrjb,Reno,NY,nhvfdsiiplpgyatvcvuhzwutmx,3839806.0,330.0,8.0,,1-775-537-0924
Xpwygpsvonhosszvtofovgnnmpmxyndyvjdluptcagibnnlszmaqp,M,Canada,Q,,Assurant,3.0,Uktpjak,1.0,433397.0,Stnptady,31.0,Stn11199,Oeuqxeybfmjowttgraikguyeuqcfszpuurvsserntrwaobkdvfatv,Milwaukee,DE,Cwvsrhwcgep,1613720.0,465.0,3.0,F,
,D,United States of America,,R,Circuit City Stores,0.0,MWYSRM,2.0,45905.0,LIDMVGNGIBTCKMHG,54.0,LID11200,nwmmsrpnduljaontqpaogiyxvwisqhlxlwokgztytxnracejvaxbkmpldrgvdpnktdzuyhtf,Toronto,IA,Xkugdlndsnfscrbcqelvnfe,2208199.0,506.0,5.0,,1-683-376-6579
rgbemitvsxcpswrstuxj,M,United States of America,,U,,,WFEGXLOMB,5.0,381845.0,Iiidaxlvhayepro,1.0,Iii11201,SMZWWWQHOAKOB,London,MO,ONLKGPKGDANIUSVIEAIVV,47984.0,617.0,9.0,,1-032-437-0439
CZAJBCLVTJFWDDIHAJKBKURUEFWPGIBOFVCMDXD,S,United States of America,v,O,Core-Mark Holding,5.0,nzimzlhwe,0.0,425314.0,Okwewclbh,68.0,Okw11202,GUBBAWODLDJCGTOCTXKTSKLHNCDBQUILSCNTGXYFYVAKPBFGVJNFRM,Rockford,CO,HXFWBWQKEMKKRFZ,1625682.0,436.0,2.0,,1-178-957-4071
Giwqnrhfgvulacklnfptrjtjyeiqgrftpzzbgmfrsujhj,U,United States of America,t,O,Pactiv,4.0,,0.0,274796.0,fsdmpdtwdhjtouwc,86.0,fsd11203,Nsxtcotcavfizbcssspeleaaxrxqes,Yonkers,VT,Isuxfameyhxdzjcddc,3395337.0,713.0,8.0,m,1-441-162-0385
MOAMSWNZSXMMFUDBXWNRVRSACZNXRMOYQMBR,M,United States of America,P,U,,1.0,ukbtnjkf,1.0,1202.0,pdcphkfzqcjiytcyvrmwr,71.0,pdc11204,Nkkmeyjokrkivtwhffntglegzxiiclnaumgsxqiowwlrjjdjykqfobmexnqxlhgng,Austin,CT,Rskjkzfsqroptrsxxzomtbhu,2529321.0,788.0,4.0,F,1-241-316-8405
Entwwrcmxguuqivkiuc,U,Canada,,O,Spectra Energy,5.0,NUAAPCSKOYK,,154314.0,mfqqucm,43.0,mfq11205,Ezkwmzbdpcqiycnlmdgcwiqq,Fullerton,MN,Tjnddvjklmfk,3453996.0,415.0,,f,1-162-004-4005
HYRSJEGUULLIVOXLRIHUWVACAZNVMPSE,S,United States of America,,O,Monsanto,0.0,rcjmspo,1.0,483330.0,NMRUTEPNDQQCJBLE,60.0,NMR11206,peicxsrhcrdxlneledjnefqkzuyjqkmnrkuapdbpfhphoopjkvwrndgjenwcstamwa,Garland,MN,GCFOQWO,2225319.0,637.0,7.0,f,1-499-031-0004
Zeyhtfqoxbugdijfsfvaciazcfubvqtodrrgmlsgttzyphaqrttoaqxregfvbyephjcxfhpcpwgolfig,U,United States of America,W,O,Integrys Energy Group,5.0,Zghtl,5.0,65875.0,Rpmcfdsnpfvbmvcfflspjvkalp,69.0,Rpm11207,Zxduinrlmawnepevlzdfmizsmmifnmikvmwotxevcnscokqefejbwiivsiabglnyhnwiej,Lancaster,OK,Hrvelhedfxcjkssyzr,544083.0,353.0,,,1-082-082-3348
Dqeshmbjpudorasvipsbfuuiwwartrfcfumbvngcjtyvuaqzfuphjhtp,U,Canada,,O,Laclede Group,4.0,wvgemxjme,5.0,305998.0,Phgsibthajlnhzc,25.0,Phg11208,fctbemofeueha,Fontana,Alberta,Qehglvupongcegqvbtpx,1682799.0,569.0,2.0,m,1-842-255-9689
kubwycssjofdcmfvs,U,United States of America,J,R,Health Management Associates,0.0,RQVFCQEX,4.0,84172.0,Bwnqephfapjtjngslvfwzx,21.0,Bwn11209,hbfahnupyuqjkwvznsxsjhlntxpfhxmfvpxjnydb,Nashville,UT,klqkthv,1380864.0,365.0,2.0,f,1-327-131-8875
Zeahnxoqosyuhuwuvalrywwdqoaxwgvdrtnzobfpsqxhsdkkbqxpclrusagytcjafieziiyjqtrdeyng,U,Canada,,R,Juniper Networks,2.0,Awsimvr,4.0,228745.0,HGVPSBC,38.0,HGV11210,oambcnhdibjd,Washington,MN,SBMFOBHRUMIPMURIVCVPF,1068218.0,348.0,2.0,M,1-586-518-6942
