gncd,crdtrtng,ct,gndr,pstlcd,phn,nmbrchldrn,wnrrntflg,ncm,ddrssln1,lstnm,mddlntl,mplr,cntr,ntwrth,nmbrcrs,mrtlstts,g,nmbrcrdtcrds
Aie12047,366.0,Allentown,,Bzsxqplc,1-310-451-7840,4.0,O,471643.0,RLCVUDBLOTZSXJ,Aieocldg,,Delta Air Lines,Canada,239484.0,3.0,S,85.0,3.0
BWS12048,824.0,Las Vegas,,Rfmck,1-949-154-7756,2.0,O,44329.0,KRBSOIZDETINIKWOGLQD,BWSKGWPQTNIMMMTPOBMUSRWGMFXS,,Bob Evans Farms,United States of America,1558005.0,3.0,S,96.0,5.0
Iar12049,451.0,Hilo,,Hegaeqrbxkls,1-820-487-8871,4.0,U,363015.0,Ycnjxtyipwazeabfudiyuyggytybqqphlewruogfvrwxjcjmsvhjbbviwbjuihfyzqblxx,Iargipoonbpqjjs,,Ryland Group,United States of America,2104971.0,0.0,S,75.0,8.0
ESU12050,849.0,Detroit,F,qfdmc,1-611-619-6071,0.0,,356900.0,,ESUDXMKXLUIYGOBQVAICTBK,,Discover Financial Services,Canada,1624018.0,2.0,M,57.0,6.0
Cyj12051,302.0,San Francisco,,buoacdsjjmv,1-706-840-8123,1.0,U,333666.0,Kanycjlnlaikjhcyhaooigqoknxcmlvik,Cyjrxrgnfruftyaydmpuar,s,Live Nation,United States of America,1160591.0,1.0,W,9.0,1.0
phf12052,,Scottsdale,,Dwbbbajum,1-184-656-2277,5.0,U,81635.0,KAMLBOLSRUMPHFKREZARVBDGCDZMHDRUMWPHOQFJUPMUDVTHXPPIUWZXMDQQWWBVXRHFKDSEQWONNK,phfuwsaxcauqeayvlt,G,Asbury Automotive Group,,988729.0,0.0,U,29.0,1.0
AXR12053,682.0,West Valley,,UCJSOJCTJEGB,1-658-789-9886,4.0,O,135773.0,eqteenbnjmegfoizprdtxadjxcqdtcjs,AXRXVUZRKDZRGLHWVBAUELZGQZHR,m,Service Corp. International,Canada,261755.0,5.0,M,61.0,0.0
Tnk12054,593.0,Winnipeg,,ERJMVPQE,1-467-565-4941,4.0,O,285579.0,Rcthirrzjhmvrxgcjmyksirqzhfocfu,Tnkzpnpcqiiuhqconpgtvmcmq,z,,United States of America,,,W,48.0,7.0
Aee12055,548.0,Costa Mesa,F,Bqbvcwcu,1-504-948-8194,0.0,O,401853.0,lszjubidjovaazacdniavillmundulwtjzeyowybudqptf,Aeevcfcshrsuabfyuzzcr,,ProLogis,United States of America,3262417.0,2.0,U,70.0,10.0
doo12056,790.0,Peoria,F,Fldeqislue,1-136-518-9570,4.0,O,381580.0,Bisolpyq,dooymtspzfegcrggsaictysqxiwe,,Ralcorp Holdings,United States of America,1380653.0,0.0,M,56.0,9.0
Xiy12057,465.0,Independence,,nwktfgfalay,1-927-581-3485,5.0,O,28479.0,Wxcuhyafsuastfuuvsosmalyuzpbsrifsvwjhswrqkazthntxnrcvkekaurserlrtunzn,Xiyhhojwiuvyokxkq,S,MGM Mirage,Canada,2817481.0,2.0,W,52.0,10.0
Vds12058,675.0,San Diego,M,bttoubqkfn,1-675-504-1420,3.0,O,410941.0,Cugpxuoogbbqlxzkkiiubnftjguwjevfca,Vdsupgtgmutjgqgvvsxydbkil,,Big Lots,United States of America,1253639.0,1.0,U,,1.0
rpz12059,667.0,Grand Prairie,F,ZAZBR,1-307-424-8849,4.0,O,57126.0,jugsy,rpzouldmdb,x,Levi Strauss,United States of America,631951.0,4.0,,64.0,4.0
Bpa12060,792.0,Sandy,,bmidq,1-047-161-8547,3.0,O,445132.0,Wohablpcsogwlbyyimguhrjivvtcdgkipwnjcgfuktnznhhfjprtc,Bpaaacvjvvqcduiaeubcevzbw,X,Nike,United States of America,495569.0,3.0,S,3.0,5.0
Jky12061,554.0,Jacksonville,m,Jdmgcul,1-725-622-4835,4.0,O,187594.0,Hozrhpvxapsimktbxsclmkiqmteh,Jkyrbjojxgrna,t,,Canada,2619727.0,0.0,U,76.0,3.0
KPD12062,708.0,Nashua,,flzjejwsgjd,1-028-332-0434,3.0,O,169520.0,PDBFNZEFUTKNPFDNXPUVRDQWUVSHGZCV,KPDANSDHYQAEHGSMNXM,,Curtiss-Wright,Canada,2501519.0,1.0,M,,0.0
qvk12063,420.0,San Jose,m,DVYSMVAO,1-021-232-3640,2.0,O,200022.0,Zfgvavgwqibqodqbgafjjkxouwbfwjzejsiydhqepgoaqx,qvkeknjoqtpvcsyvskjubldncghkb,,Oceaneering International,Canada,,0.0,U,89.0,7.0
FNU12064,398.0,Las Vegas,,rpaibakqcm,1-212-508-0427,1.0,O,490698.0,Uqwshjiibntzuzeukhjtlhwsfuvndbngcrsobldbyabxvvibewwotryixptotjwvelmaxcxozqzimxj,FNUTKOWDPJVUBQSFANPSWCMBTSES,l,WGL Holdings,United States of America,2023978.0,1.0,U,25.0,4.0
Pqj12065,301.0,Warwick,m,odcrp,1-056-263-7953,1.0,O,334103.0,xjblmpoktebeqvymrdsengbrkevmygmkngrxhmpwcyigaao,Pqjtjmxjpo,R,Boise Cascade Holdings,United States of America,1503555.0,1.0,D,61.0,9.0
juy12066,443.0,San Buenaventura,m,PAUCBKFCRRJQ,1-491-836-1364,0.0,O,385296.0,psustbhronqwxbuebjffunwvnmmwg,juyricjagiyfdoivloqpigyy,H,EOG Resources,United States of America,1329024.0,0.0,M,42.0,4.0
cro12067,733.0,Wilmington,f,Howrcuo,1-503-817-3096,0.0,O,489055.0,ZVPVRNQEFETRQCPHCUZUVLPPZLVVISBJFOCYCQLLFJZVEHA,crohtmthexysqbmdnerleraclp,T,Merrill Lynch,United States of America,2147019.0,2.0,S,89.0,7.0
Bec12068,630.0,San Diego,M,,1-137-491-5586,0.0,R,49735.0,qjtnmkolwmaftcerenewwwnrtfjkgmhuewdhlcrcjolrssvzszlxqsinrcqcverlz,Becngwvcqhmkbckyskbk,,Jones Financial,United States of America,116480.0,2.0,M,,0.0
Avp12069,519.0,Lancaster,f,Vkklqrg,1-179-146-6448,0.0,O,63600.0,khvdwbwcltzfwcqgzmngrqvinsygvebiajbxzckrukrnhozvtmlhkqqtcgxfvvlqvowdvjmwez,Avpcewqilscdtzyllzpxhvxlasfdh,U,Costco Wholesale,United States of America,198527.0,5.0,S,98.0,10.0
Sze12070,591.0,Sandy,,qhhlpfbmsw,1-688-823-3753,0.0,R,378245.0,EUHNZWQQNACAWSCUKNCHPFJYDMMIWPWSISISSFSPQTILCX,Szesqsknrlypcatug,d,Paychex,United States of America,1446183.0,1.0,M,80.0,
DXI12071,600.0,Baltimore,,WZAPEKFCWJTJ,1-209-609-1759,5.0,U,403840.0,ILWJAUEWFOPKY,DXIXPVBWOPJU,u,Fidelity National Financial,United States of America,,2.0,S,93.0,5.0
MQS12072,637.0,Arlington,,svtahjdo,1-462-951-3356,3.0,U,8510.0,Tyqwwanvojwwmwqck,MQSTQHIFBUOGEZSGYAMCDAKIAPG,,,United States of America,3103831.0,2.0,W,44.0,1.0
Sud12073,835.0,Worcester,,RMTSF,1-249-169-9143,3.0,O,104929.0,Oxfnxbpkjkpynbjoywjnhhcarqifw,Sudpfupe,,LandAmerica Financial Group,United States of America,831140.0,1.0,U,60.0,2.0
hxg12074,762.0,Baltimore,m,Lxmgcb,1-966-521-6366,3.0,O,491771.0,Qphpg,hxgwv,G,Raymond James Financial,United States of America,2890900.0,0.0,M,46.0,10.0
SAX12075,323.0,Oshawa,,ITFOFUHJPBW,1-313-166-5744,5.0,O,235726.0,Detigjysjcxfipnifkjthwlpeteufasqgmhawwobjnbxiayhkgtyecaiclyzronfizy,SAXEYZCMPBJWWFNXAKLPQAQZ,e,Graham Packaging,Canada,741554.0,1.0,W,77.0,6.0
BLN12076,683.0,Amarillo,,prqrnho,1-239-812-0303,5.0,R,366650.0,Fbqaxnwuocyvmorielszk,BLNDXHXETNCKIESVXYOUCIYHU,C,Liberty Media,United States of America,273741.0,2.0,S,93.0,4.0
jue12077,,Baltimore,,Wgkvkxyjbg,1-772-321-8838,5.0,O,458446.0,Almrcqtvlopcyhttxaaxkuteyuomhfmpaxsismrrlbcatgmtrk,jueodhktwqfzwywixqwb,i,Domtar,Canada,3633526.0,4.0,W,89.0,9.0
Tmv12078,409.0,Hilo,F,lmjpypp,1-568-809-0178,,U,434031.0,Xmdhjsyvsjqhbwnmrcwhsgfsetwxtntdrqipyknojdprdm,Tmvnkcdqjlkjia,,BE Aerospace,,506109.0,0.0,M,25.0,0.0
Jfx12079,421.0,Newark,,Hnvcuth,1-245-092-4078,4.0,R,27855.0,RPBCEDXNYWZHTCWQAQFQWLFJXUDQNLGNBHSBHMTJIIKPDIJBRUDDFEIOXBOTGQXCBEWJCJ,Jfxdhzndldpgohyxxqutdxdpi,,Virgin Media,United States of America,3177405.0,2.0,U,1.0,8.0
Nbv12080,729.0,Rapid City,m,Ucfmvxrxnk,1-608-429-0753,3.0,,49003.0,TQOAYSGVWIDPOYJIVRMSPRWRYFMPMVBWLNR,Nbvewpq,y,Southwestern Energy,United States of America,174388.0,5.0,U,88.0,6.0
VIV12081,738.0,Little Rock,m,uixreodgdjuj,1-353-448-9364,3.0,O,220550.0,IMMPAQ,VIVKBVWII,,Principal Financial,,523385.0,4.0,M,30.0,9.0
DAO12082,444.0,Mount Pearl,M,Zrexhengnl,1-137-656-6427,5.0,O,148165.0,Fgpfvywcheinqdkmi,DAOHMPNUXJNLHS,,AT&T,United States of America,619283.0,3.0,W,34.0,2.0
Mqn12083,842.0,Biloxi,M,UYIESO,1-525-978-4300,1.0,O,327660.0,Kngponjerjhbndyyjycsljaqwjheeicectfhlndbvzvasbligbfqtnknxcgjrloofok,Mqnwevzxaahmdrzlaazrmtsjleo,,Electronic Arts,United States of America,3738211.0,0.0,U,20.0,1.0
Mob12084,681.0,Anchorage,,FRIPFKIYAK,1-153-127-0903,0.0,,376394.0,,Mobfeuhybhrgq,,Newell Rubbermaid,Canada,684762.0,4.0,D,16.0,5.0
Btc12085,803.0,Lancaster,M,,1-362-147-5413,2.0,R,422639.0,LMQTAGPLMNHGIKYRZLQNJDWKVHARNSKWVDUWEJJHLMVNZUVXGXFFDRSWJXHBMNZBXB,Btcmxpxbgnskmiggjpuxjcscast,C,Neiman Marcus,United States of America,3692092.0,0.0,D,44.0,0.0
IOF12086,775.0,Anchorage,F,Ycevvpa,1-662-798-2166,4.0,O,442900.0,Lfxedinkderwyufnkrskqmpncpovpwjadhluhms,IOFBPFPSMKZNUSIIBBRXASFUIH,,Scholastic,United States of America,2079207.0,2.0,S,49.0,5.0
ylu12087,365.0,Oklahoma City,m,hrkaoqi,1-343-351-4694,1.0,O,,naqsyngbetdyaqabefkgjucimmxcmbkxrkruucnkyeivgutkoi,yluujmwbtr,,AT&T,United States of America,615147.0,1.0,M,90.0,3.0
Rho12088,315.0,Fort Worth,,SKPATNJSOGC,1-153-729-2311,4.0,O,60340.0,JNYQRTLJVVFEYBGGUUAMVESOJDBBHINLLKJFGNSUXSO,Rhoslh,T,Brink's,United States of America,1531950.0,,M,69.0,7.0
Rnr12089,537.0,Oklahoma City,,,1-287-738-4807,1.0,R,368066.0,Qihqpxgdagcvpdvpkjtbeoatdbgamaznwfcsgfgrbniyssxixqtoarecevslqomegqpffrkat,Rnrrtn,H,AnnTaylor Stores,United States of America,1202261.0,2.0,M,27.0,5.0
DEU12090,771.0,Newark,f,Iqpwxawzl,1-819-383-4438,1.0,O,261456.0,efslccdsxuhjxzagkwjkvwjbuzp,DEUWBGYMGSGUALGWR,,Coca-Cola,United States of America,1398254.0,0.0,M,43.0,3.0
Bhe12091,525.0,Washington,,Exvpzsxa,1-114-304-8619,3.0,O,357972.0,Mxzvyiuztheozztqkgvfzuvzmtyodbfsyqrkcljfrbcrlc,Bhegcjwuvumgtrgxh,,Mutual of America Life,United States of America,2454984.0,2.0,M,55.0,5.0
hnu12092,552.0,Mesa,,Elapnu,,0.0,O,211181.0,Oxgpftuxrwkpwhjrtqaklhanewdzbtlejofmtjrrryabtnkkdzyttatqgeftdntktewxniky,hnuaqemmoowdkmmxc,,W.R. Berkley,United States of America,3461953.0,0.0,U,4.0,8.0
Mnx12093,652.0,Orlando,F,OXIVVQZNITBW,1-159-204-4586,3.0,O,102110.0,IJAMB,Mnxynkmqhqxtubxoyrgblauqcjncaj,S,W.W. Grainger,United States of America,336115.0,3.0,M,82.0,
XYY12094,750.0,Warwick,,Aoevz,1-151-194-1253,5.0,O,402797.0,Eoigakvtfpkphpsmervszlenqsqscuptjhfgoxxcbyjwpywvufvfvrtjragcaxztggyhnwlwz,XYYXNSAEJCVXFCYJOXAKUNVBUJE,,Qwest Communications,United States of America,3734590.0,1.0,S,33.0,8.0
Bop12095,,Arlington,,Rzxerudsaks,,2.0,O,486476.0,Pfpymigwerznjxkucwciwkekjn,Bopjfgbnagwvatzdbkgwlmvdbj,P,Micron Technology,United States of America,3789038.0,2.0,D,,2.0
Dln12096,695.0,Fresno,,keiusxh,1-162-098-2835,4.0,R,211187.0,Rojdq,Dlnywuiv,V,Brookdale Senior Living,United States of America,193781.0,3.0,D,70.0,6.0
Rlc12097,488.0,Iqaluit,F,Yyzavjjv,1-095-165-7442,2.0,O,295048.0,gwdcxzckozsghcuzvaduvpgxoukiebrtnvvaxpcswynkqaucasdp,Rlcggicfglmrhsptowbq,d,Ashland,United States of America,3203688.0,4.0,U,44.0,3.0
hyt12098,656.0,Charlottetown,f,qdaxqpmbik,1-652-059-0375,1.0,O,465011.0,RFRBNGUFMYDHLTMFPQOGZNYNWHMVTQGTBCBLKSTBIFQVLTNEJJKIKNF,hytvcbts,,Total System Services,United States of America,2644563.0,0.0,U,72.0,1.0
nda12099,517.0,Lancaster,,zryuv,1-270-447-1090,2.0,O,19853.0,Dnzuvwzemeokqqeakopeibyxdbmrxgjojhggzdvhiujpxjkpuvnyholjqye,ndaqrurczpubu,,Graham Packaging,United States of America,1103882.0,2.0,,76.0,
Bsj12100,619.0,Glendale,m,MRNLVRQFKLM,1-422-242-3518,0.0,O,377472.0,PIOMBCBDEM,Bsjlytnhibvn,,JohnsonDiversey,United States of America,3947062.0,3.0,D,74.0,0.0
Mep12101,806.0,Nashua,,Lmaksdhym,1-436-447-4751,5.0,O,87006.0,Xloxkvlorsosuwkvigkivprbgotqhpgknpcqsxsbhwnazscixoxtezuxwtdmyvuyzqtndvafkct,Mepxndfmjxeyob,Q,Aventine Renewable Energy,United States of America,3589946.0,2.0,D,94.0,9.0
lyi12102,662.0,West Covina,f,GHWDBL,1-418-331-8748,3.0,,108596.0,Eimjvnekvuiabrlsy,lyigmrbqafwudqsipruowpnlllf,p,Fastenal,United States of America,737458.0,5.0,D,69.0,2.0
Eme12103,592.0,Lubbock,,WEZIT,1-885-396-6080,0.0,O,469487.0,Sxgbqypbrukzulhwobgcfhsjdqcoaebuedryttucmjjpgdvyepercfyppaifvbzogekdgwpqler,Emecspbslnvtthedzwfpgycxjkox,I,J.C. Penney,United States of America,30680.0,4.0,U,73.0,3.0
Ail12104,728.0,Grand Rapids,,GFWVMBSUEV,1-990-933-7493,0.0,O,208073.0,Udghgezpgvugiptesieayyknkvwruunprtvxuqydwv,Ailkkrwczdgzvviepnokataflzkw,,Calpine,United States of America,907610.0,5.0,D,43.0,1.0
BCM12105,723.0,Syracuse,,NNYJOABGYCS,1-818-476-1021,3.0,O,91193.0,Jpaxcxkvjm,BCMZYNTUPGGQYKHG,,Bank of New York Mellon Corp.,United States of America,1478950.0,3.0,D,16.0,4.0
Qij12106,731.0,Iqaluit,,IEYSLUHVRPD,1-202-792-7846,5.0,O,211527.0,CREBMIXUSDUUKUCHVDNZFAGQKNVVNGLPVCRCRVQS,Qijyldulktpmamfeieoeiify,,Burlington Northern Santa Fe,United States of America,1690810.0,0.0,S,80.0,3.0
Sgf12107,730.0,Bismarck,F,ewfrfxrq,1-514-726-0237,1.0,O,235753.0,Zjzdcdvpkvvnbzsudfvibzbopporetzund,Sgfkemdnkfeimwrcfnmdruimnqbrcf,x,WellPoint,,1038993.0,5.0,M,41.0,4.0
DXP12108,596.0,Washington,,Yhqvad,1-340-944-1412,3.0,R,170455.0,riehiaikhldahpzutrxekzstqgtedrnipfevhrqgdykvoekdiumkidrqkptlnu,DXPOODNOQPFSJWDKAIJL,x,Northeast Utilities,United States of America,3752227.0,5.0,M,20.0,4.0
XLV12109,399.0,Lexington,F,vmrzritmqirv,1-218-687-1024,2.0,O,145029.0,Kfknxvsczzkwyuknarjyknl,XLVMXVOSMOJB,,Armstrong World Industries,United States of America,2908703.0,2.0,M,34.0,2.0
SZT12110,596.0,Hartford,f,Wydap,1-462-254-7430,5.0,O,376036.0,jvyekgvrfesamaraasuixrtoxcilskxiiustpoigcfuovkhqmszu,SZTCCWMTM,,Pool,,1970886.0,,D,80.0,0.0
SOP12111,391.0,Richmond,F,Eywjuqicgy,1-574-952-0150,,R,148327.0,Tujquohzfjiiayacd,SOPUPTMEE,,DRS Technologies,United States of America,2432203.0,3.0,M,68.0,5.0
Mkg12112,534.0,Plano,F,CCIRO,1-631-620-6420,5.0,R,37769.0,Kbvbmuxtvonznxoxzyborbdccdzhhyg,Mkggnasflhqnggamehpzlmpksnu,,Bon-Ton Stores,United States of America,2842485.0,1.0,M,14.0,4.0
Gvy12113,617.0,Knoxville,f,REVGDCJ,1-740-703-9223,5.0,R,283863.0,Ycwrfailupagsaxqkflkzzahhfhnbjaexzxeycrzbfruvfwndxqkxamighkidtiimszgcanhuxlb,Gvybqbjabashoujhptsbxtci,h,Leggett & Platt,Canada,2546571.0,1.0,M,72.0,2.0
SIW12114,328.0,Macon,,Mghfzmkyqia,1-206-874-4326,4.0,O,337519.0,Niniscwzedzbavfdxxlcbfsqjnyshxjbxbpcrrozoyuziybotplotjjqygxquffxrwst,SIWBKIGWIHWTWSTIHHWRSLEBWZGPMG,,Brightpoint,United States of America,3261879.0,2.0,M,78.0,6.0
QWG12115,833.0,Wichita,,,1-735-773-9256,4.0,O,467014.0,,QWGRXNPIBPNEZLEJS,,CA,United States of America,322556.0,1.0,M,3.0,7.0
OJM12116,645.0,Naperville,f,Bcsmcx,1-137-831-3062,1.0,R,103375.0,DQXAQLXWNVIAFHFBQTIWRYUURRQVTCEUOPMFBNKMDRIPZLUSSEBTFGNVBPDTNPIQEMDEZ,OJMOHJMZTEUPIPKLTIYLSUVHTDXA,,Alpha Natural Resources,United States of America,1610620.0,2.0,S,12.0,3.0
Yoj12117,844.0,Greensboro,,,1-810-342-0216,4.0,O,247670.0,Rwyfyoxdirokbmbkgailxwtkzznucbequnavehecxljxjzywcckgapatrsjaisockhhx,Yojlimkemmrjgjcb,Q,First Data,United States of America,2681291.0,0.0,M,10.0,3.0
HBT12118,671.0,Garden Grove,,Eqohfirzkin,1-833-369-1083,2.0,R,392781.0,Ieuriiawbijctaotlmuxjlbkjycblgjcmulmmbsliwtrejcrhgfitsdtsybschmirdvzennyjs,HBTCSVCULOI,,Liberty Global,Canada,2353329.0,5.0,S,59.0,10.0
kia12119,817.0,Provo,f,nsopzt,1-235-004-5395,3.0,R,480434.0,LILVDOROQDSAFQPFCATPAJBTURRBOYVWNMAMZVVJOBURQJQECVBPYEU,kiazcuwgfjdaptwp,,Cabela's,United States of America,2725811.0,1.0,M,,5.0
Rtv12120,620.0,Vallejo,,Wuawjup,1-594-896-3131,5.0,O,86199.0,,Rtvcuxpidpetbqfmptioofoe,,Pinnacle West Capital,United States of America,2668471.0,2.0,W,9.0,4.0
Hpl12121,429.0,Ann Arbor,F,jsksxbykmn,1-995-032-1896,3.0,O,222806.0,Nnroeipcjis,Hplccjueiaolzndujhchg,T,Genzyme,United States of America,3682098.0,2.0,M,94.0,2.0
QZL12122,825.0,Salt Lake City,M,Nhodrkdc,,2.0,U,244544.0,Omszwbebgtxswhdqxcscxqjcxqcrbycuvlimql,QZLLFGJ,,Urban Outfitters,Canada,3516986.0,3.0,M,4.0,5.0
Otq12123,640.0,Fremont,M,Ldolxuu,1-020-568-9790,1.0,O,139979.0,heovrilicrmqcjjkviwupfnxvgijmlpudmimbhktwaeys,Otqgcahkkigxxadphaeqbwopq,T,EMC,United States of America,3838476.0,3.0,M,48.0,8.0
Nxf12124,811.0,Sydney,,KRWMJRIS,1-542-921-5852,0.0,O,346354.0,Lpzttpmfaldbcswvtgwwsyknhhuwvwjjtzdemxfdilbwmp,Nxfpunjuwnyuiwtblcywnrdammuo,E,,United States of America,2455264.0,3.0,U,28.0,7.0
ctv12125,800.0,Jacksonville,,FAMOKFKU,1-935-866-0238,1.0,O,206774.0,ZODBNFCIMCJQUNNRRSKNL,ctvmhenfxnjiqwumicvadddk,k,Granite Construction,United States of America,2182834.0,3.0,D,,2.0
YPJ12126,729.0,Abilene,,Acouckuguxb,1-811-057-5137,1.0,,130172.0,Gmsftdturfycrrgmaabulgdsvufrybbcigerhtqtobbjldpcphmsdxxkzivvgnldprvpv,YPJTNZIBVGBNRQXKESXBHS,U,Spartan Stores,,,5.0,W,72.0,1.0
Bgt12127,307.0,Simi Valley,,FACVIMNCK,1-221-123-3996,4.0,O,280226.0,mbflrtkpymquafznxbgjfxcbupxit,Bgtbaxdernanksuhvjgyijinbogx,,BJ Services,United States of America,3884284.0,3.0,W,44.0,0.0
Fnh12128,,Waco,f,,1-197-827-8106,1.0,O,63475.0,imiblpamudntfltmrnzuesoubfrbcgzqudqrfrvjgmrdtvccsfzjobnqpvlqeqadcwmsixkrwupqrj,Fnhhksdjchymzpbfrmabpz,S,Mercury General,United States of America,2209434.0,2.0,S,72.0,4.0
Unr12129,373.0,Kitchener,,Itnktlsi,,,O,311880.0,xubasykvuaktnjyxixdasuvmkgzstqxbnenrgywfsfdnkfthvpxtjokahlmxovxtaceukbcjojoqya,Unrhltsdzdslvhptigedpvrrna,x,Spartan Stores,,2414926.0,2.0,M,99.0,4.0
WKI12130,398.0,Ottawa,,Njlxlqgbkk,1-401-861-1239,0.0,,315343.0,MBKUCKMRSHAWAKDRKKJJCFEL,WKIIUQE,A,eBay,United States of America,2907681.0,3.0,W,78.0,3.0
nwp12131,339.0,Dawson City,,Hswngvdpqkm,1-381-289-0385,4.0,O,259887.0,LALVDMCIGKRLCJNNSKMGNBZQWT,nwpoalnckawoxgzmhjvq,,Smurfit-Stone Container,United States of America,1291166.0,5.0,U,54.0,8.0
Rlg12132,405.0,Ontario,f,dhkts,,4.0,O,325001.0,ZHLDHWLDLIWMKPOGMC,Rlgsziboovurnzijsypuwqtctx,K,Owens & Minor,United States of America,2484005.0,3.0,U,83.0,7.0
Zrw12133,816.0,Columbus,m,qmexomzuidv,1-260-986-8550,5.0,O,247507.0,,Zrwgcefvhxvoslalavteyotg,,Public Storage,United States of America,2396834.0,5.0,M,6.0,9.0
Pph12134,476.0,Dallas,,Xewaxmnqv,1-434-971-1193,3.0,R,253224.0,jsypzxvrctrboqoulhqf,Pphpifnasujipyilvmiewnqimg,,Enterprise GP Holdings,United States of America,2652096.0,4.0,M,100.0,9.0
alj12135,363.0,Santa Clara,,XKJVCPO,1-517-900-6192,4.0,O,177585.0,OUEBSFLENIAICKFZOFFKLBEOBQTUKXHUQNGJRHIPZWHRXH,aljjpqzsxywqywtljxtsnxpcjhsl,,Mosaic,United States of America,1125088.0,0.0,D,44.0,6.0
Fyi12136,671.0,Springfield,,Jcsokcqg,1-964-437-1901,2.0,O,463742.0,tecbxggwmsdsqzyspozdwopjvvlmalwqvpctmepwxhtsibqsszvoajbtbcyomrhpnncxpwfzda,Fyigvkthasqpsftuhv,b,StanCorp Financial,United States of America,854877.0,4.0,D,52.0,6.0
Fkw12137,583.0,Grand Rapids,f,Lwijvbekuy,1-982-643-5269,1.0,O,164698.0,Ibnclapsbtlzqcdfowdadzowmdbl,Fkwxmroqaknfifisdimlose,,Sun Healthcare Group,United States of America,862001.0,5.0,M,64.0,2.0
TFX12138,300.0,Victoria,,Zhbrypaqnjt,1-420-731-9523,3.0,O,228318.0,wbstwxpawktbhnhuzjniarhnctkobgvicouwhybndivcjvofkpfcoobridafbyjr,TFXJUDHJETFGITJOOHB,a,CME Group,United States of America,2588680.0,3.0,W,7.0,9.0
Adm12139,474.0,Colorado Springs,,Miivmiobnvvb,1-781-250-1042,0.0,O,169050.0,Icjuirjujzxjqsjigdgttftuqlslxnqiptjmwkihjxuniz,Admzfahbpyfe,d,Illinois Tool Works,United States of America,1892012.0,3.0,D,71.0,
uuo12140,538.0,Fort Lauderdale,F,CUBAPC,,3.0,O,292150.0,TUWSA,uuokpalmjnk,,Airtran Holdings,United States of America,801567.0,0.0,M,47.0,4.0
sgm12141,436.0,Las Cruces,M,Ipnmdmyrd,1-842-162-6896,2.0,O,151913.0,ryisbrsfankaynypwqqfsqhgmsrhignadsjkpnrjwhixwmgchjmedxtyuyggqwzbukqiiabgvnqpi,sgmonwkhjiyjxut,,Quest Diagnostics,United States of America,3287721.0,,W,88.0,4.0
Kjm12142,748.0,Livonia,,Kiagizkscx,1-719-706-9782,4.0,O,364796.0,GJELJZFQVFEPLCBFQNPBNMWHPRHYCXACCSQQFLCPVFCDTXROMDWXX,Kjmvfcmwfcnvrnzpz,N,Cytec Industries,United States of America,88021.0,4.0,D,94.0,5.0
GXG12143,565.0,Lincoln,,abrytw,1-352-053-7203,4.0,O,429821.0,BQSRXXALMRNZXZOQTGNFNADRDTJCAHASLKPGCPSMIP,GXGRHDDHZRMXAFV,t,Office Depot,United States of America,568032.0,5.0,M,18.0,6.0
Sdj12144,705.0,Erie,,Tnjcczcu,1-855-550-0447,3.0,O,449214.0,JVZFMYFCEAOGQLXKBDFKAVYKORCLUHUUTARTKPJHUOESCOIKREOOUPJANNMDGFPRSSQWSFVHWXB,Sdjhfmhrrte,G,UGI,United States of America,2735974.0,5.0,U,46.0,10.0
Loz12145,380.0,San Francisco,f,Dszixjhxodl,1-137-299-0371,4.0,R,339610.0,Ezjlxapquuobwpjhxudlaxmqdcnhwfzikcxadjfjebykg,Lozfphovlbngxpgmusedbftxwy,i,Western Digital,Canada,696134.0,5.0,W,20.0,5.0
Nac12146,345.0,Baltimore,,,1-427-546-9288,5.0,O,237377.0,TCOAVGYGKILXGFMTTUTSQTTRXPLXJFYIDWQDLSKJCSRR,Nacvibuh,,Harsco,Canada,88412.0,4.0,S,,9.0
Fqi12147,645.0,Memphis,,uvooegn,1-504-699-8459,4.0,O,475686.0,Xjxdsvvicbfkiudleuqymtrwstnkoewiwilccehloojkgrowwofnzhbgpewtrvygxczifqcnkttmd,Fqizqub,,JohnsonDiversey,Canada,1454138.0,1.0,S,,5.0
CRQ12148,352.0,Chattanooga,F,DTWYTA,1-388-829-8256,3.0,R,191091.0,Upfvayisiskatkdqftnmelcmjnhruhzovdtdqlgaolfplfiftqrvgsgelbgnjbezfmpertye,CRQULGFVWWYLL,R,Tenet Healthcare,United States of America,1428639.0,,M,,8.0
Tzc12149,567.0,Raleigh,M,OENEYJMR,1-141-692-3611,3.0,O,220348.0,Kvsyvgshrhojzrcmmtfthxvcpbgqdjfwlheetvgnxyisja,Tzcapczg,m,Expeditors International,United States of America,2304481.0,3.0,S,,
Jak12150,313.0,Wichita,,Drtovw,1-026-287-3810,1.0,O,435505.0,Jfwogktgwqajtbxclawp,Jakckjdqlssxoxwlq,C,National Fuel Gas,United States of America,3893183.0,2.0,,17.0,10.0
Jgd12151,807.0,Moncton,,Enhcrowjricj,1-306-925-6057,4.0,R,280932.0,Wbtxlnbzrxydmwtiaoxvbsroqwxrhlvmmvyrus,Jgddqrrtqh,,Weis Markets,United States of America,1607865.0,1.0,U,68.0,5.0
