prospect_mddlntl,prospect_frstnm,prospect_g,prospect_ct,prospect_ntwrth,prospect_pstlcd,prospect_gndr,prospect_lstnm,prospect_mrtlstts,prospect_ddrssln1,prospect_nmbrcrs,prospect_nmbrcrdtcrds,prospect_mplr,prospect_nmbrchldrn,prospect_ncm,prospect_crdtrtng,prospect_ddrssln2,prospect_gncd,prospect_phn,prospect_stt,prospect_wnrrntflg,prospect_cntr
,USRIAQVLF,38.0,Durham,816756.0,tosfsaiznlo,,qycbkdik,D,aeybklrjtgvopqsmomfkcmlljwpmzntzmutwmdebuzlqbesotnmbnmdhkoiwrgeqbcpehexsg,2.0,7.0,WGL Holdings,5.0,329372.0,395.0,RCQGKBEURJAHZDSMHDSTQKWASZJIERYAFEKGGFQTVEJQXGYSVFSEFTJLWGWMWUSEZLMPSCAPVRHQ,qyc12038,1-172-445-2106,CA,O,Canada
M,bgnilycstofwbmtq,89.0,Biloxi,3828649.0,Jwchgxm,,Werdde,U,Mnfusircfloglduopttkxpqpxfzuuwlqmbmpotdtlrhukhjpdahhgvinjeamnjkqpwqwrufwkmttu,4.0,3.0,CHS,,,631.0,LHAVLMZUQBXFVMBXPOXFDGAHSOCZRJLMTHOWGNJDTRSLTOPRTWVVGCPCVJLUBHWMIGTXF,Wer12039,1-799-491-3807,CO,U,United States of America
,YWDODUKJPE,,Chesapeake,,YMXMJUE,F,HSHJNVBVSENFKBBQO,U,Xknqqylvgwsngovbloplcrsipovncrjhawlffws,5.0,0.0,Cameron International,3.0,116273.0,560.0,Nbsauzndvnhsnwbibdsvnzmdezwilkxyltnblxmmxiyxsr,HSH12040,1-964-612-4871,UT,O,United States of America
,Frmqhggomwckcazjdkbmw,,St. Paul,2867821.0,Pimfjtphpxki,,Cfklyyjkznrjhnfcngqnoivj,S,qhjuqwrfkorvhjxekzsjwadoaghhdhospdpfxyyaolhhqkjaunl,0.0,,Pentair,1.0,143180.0,518.0,Fspnnapjackialwxpwqhnrzxmvoxfxtqgcuylxddgngdjowlrmxizwmeulgh,Cfk12041,1-599-011-2388,Quebec,R,United States of America
,reaqzcvypr,36.0,Toronto,2538298.0,OAVZYYSPJ,,Ffvlebslovtqlwahxghchghtokbqob,S,hnhdlesakifakwqrnvpytwoidbvsjxhbyprkhoipaqxrkytbxf,4.0,8.0,Oil States International,1.0,37801.0,716.0,Rymeblgfvqekmpnmguvwgowrpwt,Ffv12042,1-925-593-3862,DC,O,United States of America
G,Fhsqeoukgnjmmkuuxkzlzsgtyymaem,12.0,Tempe,2717831.0,zhdpawrv,m,VWIUFIKAWZEWRUUUQQFTIDSKSEJWLX,W,Uosrbevfdtcoigamofkjgqyrwasrnoow,,10.0,DISH Network,3.0,78377.0,395.0,Rhejutrexbmsoimzgxonsszpiw,VWI12043,1-734-332-5233,Manitoba,R,United States of America
,Iqhavu,21.0,Milwaukee,371835.0,derfvwcuyqsq,F,Kjnuwvdlnednrcllwtgnljulywqq,M,Jfguhombejsorwennhuchnhuutkbqbfxtfvueexxsksnhbslnbggbgd,4.0,9.0,Dollar Tree,1.0,368445.0,311.0,XJNMWPXBSYLJJZPQQMVCYLWB,Kjn12044,1-761-061-0287,MS,O,Canada
,iltnvrgpnlvuxitikkpxgrmgiw,0.0,Austin,3137486.0,ZNJXPM,,Jatvvrrx,W,Jlixufgnyjrrwxkiryugnumgamnvdfmrrusoxehdqruepdihmwfetykkhnufhggsrbqodixjqctp,4.0,6.0,Celanese,3.0,319955.0,403.0,VXPHHZCPHPQZGURQ,Jat12045,1-489-188-0744,IL,O,United States of America
,Szmqvamxgjrfdgnfttsbiuwotzhusu,99.0,Lexington,3639841.0,Lryousevldi,,CWUXUMALQQMUJTKCYHPXBRKPSH,U,awwdclueelnqdavzhrxmzswuhdgyfttngkwtjphdxecwnjywysqmahagjijbeamiswzepqdovxsxxue,1.0,6.0,Air Products & Chemicals,1.0,210046.0,416.0,Npdvdjcczlumjnckojspsysakgindehmhviflolkpnzspdpcixamjipddxiiry,CWU12046,1-820-145-2032,AR,O,United States of America
,Sjwibne,85.0,Allentown,239484.0,Bzsxqplc,,Aieocldg,S,RLCVUDBLOTZSXJ,3.0,3.0,Delta Air Lines,4.0,471643.0,366.0,,Aie12047,1-310-451-7840,FL,O,Canada
,Xedhydibkljjzkxhmldmcyfah,96.0,Las Vegas,1558005.0,Rfmck,,BWSKGWPQTNIMMMTPOBMUSRWGMFXS,S,KRBSOIZDETINIKWOGLQD,3.0,5.0,Bob Evans Farms,2.0,44329.0,824.0,Jhssqyreahlbeccbbrrviuawwicxftfdhqipudajcohokxylddnshvbiuhcdzyvzltxarzmxiqahy,BWS12048,1-949-154-7756,NV,O,United States of America
,DGFKYXDAEWKLYRRIJQ,75.0,Hilo,2104971.0,Hegaeqrbxkls,,Iargipoonbpqjjs,S,Ycnjxtyipwazeabfudiyuyggytybqqphlewruogfvrwxjcjmsvhjbbviwbjuihfyzqblxx,0.0,8.0,Ryland Group,4.0,363015.0,451.0,Lseyzhdaqoxwxxfvmgpzvscqxwqa,Iar12049,1-820-487-8871,UT,U,United States of America
,Vrkolwddodixptfzfh,57.0,Detroit,1624018.0,qfdmc,F,ESUDXMKXLUIYGOBQVAICTBK,M,,2.0,6.0,Discover Financial Services,0.0,356900.0,849.0,Kqsfwijoolukembkpgloicmqvohdexleiqemysevqsiuhofyrmxuoicnuaacyuckyj,ESU12050,1-611-619-6071,CT,,Canada
s,Tefjrotzakfdezewubejhzudulxi,9.0,San Francisco,1160591.0,buoacdsjjmv,,Cyjrxrgnfruftyaydmpuar,W,Kanycjlnlaikjhcyhaooigqoknxcmlvik,1.0,1.0,Live Nation,1.0,333666.0,302.0,Erdbo,Cyj12051,1-706-840-8123,ID,U,United States of America
G,OBMUFLTUQEWPBSWPSQPIKDTQKDLXY,29.0,Scottsdale,988729.0,Dwbbbajum,,phfuwsaxcauqeayvlt,U,KAMLBOLSRUMPHFKREZARVBDGCDZMHDRUMWPHOQFJUPMUDVTHXPPIUWZXMDQQWWBVXRHFKDSEQWONNK,0.0,1.0,Asbury Automotive Group,5.0,81635.0,,Jhjnjymxdoidjacwvfuzv,phf12052,1-184-656-2277,Alberta,U,
m,Lctteuowrrwdh,61.0,West Valley,261755.0,UCJSOJCTJEGB,,AXRXVUZRKDZRGLHWVBAUELZGQZHR,M,eqteenbnjmegfoizprdtxadjxcqdtcjs,5.0,0.0,Service Corp. International,4.0,135773.0,682.0,KKUJBQHWRWCKFRCRMACSILTRFZFBAKIAESBOWHTADURSOTFGTCJBRZLYOBSWEBWAAIDGVKTIFCAJZWAH,AXR12053,1-658-789-9886,WA,O,Canada
z,Bxogmagthyfsh,48.0,Winnipeg,,ERJMVPQE,,Tnkzpnpcqiiuhqconpgtvmcmq,W,Rcthirrzjhmvrxgcjmyksirqzhfocfu,,7.0,,4.0,285579.0,593.0,zrycbwujesrjaddmloueqiwwpmpaaq,Tnk12054,1-467-565-4941,Manitoba,O,United States of America
,Wiqcoweldrdidknfkzholpvucm,70.0,Costa Mesa,3262417.0,Bqbvcwcu,F,Aeevcfcshrsuabfyuzzcr,U,lszjubidjovaazacdniavillmundulwtjzeyowybudqptf,2.0,10.0,ProLogis,0.0,401853.0,548.0,Oieggiqeccpikhgitmytnzfiupnzbbyuazkq,Aee12055,1-504-948-8194,AZ,O,United States of America
,hbpvaqidnhdvbxfpwnaunrauo,56.0,Peoria,1380653.0,Fldeqislue,F,dooymtspzfegcrggsaictysqxiwe,M,Bisolpyq,0.0,9.0,Ralcorp Holdings,4.0,381580.0,790.0,Hugnjwnqaruvhncxrmejvlbxgfebbjmbbnvkspsrhbpcagmvjkwxcnkwaccek,doo12056,1-136-518-9570,SD,O,United States of America
S,Crlyqolmbxvybxyduphx,52.0,Independence,2817481.0,nwktfgfalay,,Xiyhhojwiuvyokxkq,W,Wxcuhyafsuastfuuvsosmalyuzpbsrifsvwjhswrqkazthntxnrcvkekaurserlrtunzn,2.0,10.0,MGM Mirage,5.0,28479.0,465.0,Qhjzvmopmqrzcxpuojxdssdbzfewndrnhvsascroxhcyapobofqssswckdtwzqfivosr,Xiy12057,1-927-581-3485,VT,O,Canada
,fgppzmbcfxcsbimwodsgessvln,,San Diego,1253639.0,bttoubqkfn,M,Vdsupgtgmutjgqgvvsxydbkil,U,Cugpxuoogbbqlxzkkiiubnftjguwjevfca,1.0,1.0,Big Lots,3.0,410941.0,675.0,HMBSLYKQLIRKUHMRTHRVISVUQOEAWFXJCQJDLDAFGFHDJY,Vds12058,1-675-504-1420,NM,O,United States of America
x,xzeezjpwslq,64.0,Grand Prairie,631951.0,ZAZBR,F,rpzouldmdb,,jugsy,4.0,4.0,Levi Strauss,4.0,57126.0,667.0,Gpkcosqudabbvzfixvagwutlxyeg,rpz12059,1-307-424-8849,PA,O,United States of America
X,Pxvncuucqccexkxduplxivqhkpts,3.0,Sandy,495569.0,bmidq,,Bpaaacvjvvqcduiaeubcevzbw,S,Wohablpcsogwlbyyimguhrjivvtcdgkipwnjcgfuktnznhhfjprtc,3.0,5.0,Nike,3.0,445132.0,792.0,Degenbwp,Bpa12060,1-047-161-8547,ID,O,United States of America
t,AEGFFCI,76.0,Jacksonville,2619727.0,Jdmgcul,m,Jkyrbjojxgrna,U,Hozrhpvxapsimktbxsclmkiqmteh,0.0,3.0,,4.0,187594.0,554.0,jjbnewotytziwyhnxvgxfozygpvkmiqfnxcljepdsoicklwkpccpze,Jky12061,1-725-622-4835,RI,O,Canada
,Syskggxiucikfpcbjvgwyywk,,Nashua,2501519.0,flzjejwsgjd,,KPDANSDHYQAEHGSMNXM,M,PDBFNZEFUTKNPFDNXPUVRDQWUVSHGZCV,1.0,0.0,Curtiss-Wright,3.0,169520.0,708.0,wurukfgmlybtqzcoetnxdhxkoievublmqursipxgnkgdzqpowbkqonopkl,KPD12062,1-028-332-0434,Ontario,O,Canada
,Flkqyipikoulssyxxgerwy,89.0,San Jose,,DVYSMVAO,m,qvkeknjoqtpvcsyvskjubldncghkb,U,Zfgvavgwqibqodqbgafjjkxouwbfwjzejsiydhqepgoaqx,0.0,7.0,Oceaneering International,2.0,200022.0,420.0,Kadsfgtdfavcevbfqdxfifdldivcdyewkemgnkunlknhys,qvk12063,1-021-232-3640,MO,O,Canada
l,Qgxwbcoyalukxiuqwcdwx,25.0,Las Vegas,2023978.0,rpaibakqcm,,FNUTKOWDPJVUBQSFANPSWCMBTSES,U,Uqwshjiibntzuzeukhjtlhwsfuvndbngcrsobldbyabxvvibewwotryixptotjwvelmaxcxozqzimxj,1.0,4.0,WGL Holdings,1.0,490698.0,398.0,ANWQKERLHDBLUHUKJHKNRUOHTVCKZOTYUDPTUAXFUMPSMRTJXNSOSPZDHUSJUKKD,FNU12064,1-212-508-0427,MN,O,United States of America
R,Btnautxihoxcuaanmifgt,61.0,Warwick,1503555.0,odcrp,m,Pqjtjmxjpo,D,xjblmpoktebeqvymrdsengbrkevmygmkngrxhmpwcyigaao,1.0,9.0,Boise Cascade Holdings,1.0,334103.0,301.0,sjinvpmmfplmprcxvjrctheg,Pqj12065,1-056-263-7953,Quebec,O,United States of America
H,ALBHVMM,42.0,San Buenaventura,1329024.0,PAUCBKFCRRJQ,m,juyricjagiyfdoivloqpigyy,M,psustbhronqwxbuebjffunwvnmmwg,0.0,4.0,EOG Resources,0.0,385296.0,443.0,eirqjvrjrlguftawwpmxcalamcbwpxvskqofjttmblhbrpvuupboqsxrgqufhbwctws,juy12066,1-491-836-1364,CO,O,United States of America
T,fjlsc,89.0,Wilmington,2147019.0,Howrcuo,f,crohtmthexysqbmdnerleraclp,S,ZVPVRNQEFETRQCPHCUZUVLPPZLVVISBJFOCYCQLLFJZVEHA,2.0,7.0,Merrill Lynch,0.0,489055.0,733.0,oshhhpbdomvovcnhvefombprmynmecnqkzqtratpsrtgrcxivvdtbldvveaslff,cro12067,1-503-817-3096,British Columbia,O,United States of America
,bhjocilqbjcnsfvnaqzlcp,,San Diego,116480.0,,M,Becngwvcqhmkbckyskbk,M,qjtnmkolwmaftcerenewwwnrtfjkgmhuewdhlcrcjolrssvzszlxqsinrcqcverlz,2.0,0.0,Jones Financial,0.0,49735.0,630.0,kwcwpylvfwlpiktivarmoasb,Bec12068,1-137-491-5586,NH,R,United States of America
U,xilkvfmmyoshwlgmyxnkg,98.0,Lancaster,198527.0,Vkklqrg,f,Avpcewqilscdtzyllzpxhvxlasfdh,S,khvdwbwcltzfwcqgzmngrqvinsygvebiajbxzckrukrnhozvtmlhkqqtcgxfvvlqvowdvjmwez,5.0,10.0,Costco Wholesale,0.0,63600.0,519.0,rosrlfwdoedrhcyylfjcebrhipqr,Avp12069,1-179-146-6448,NM,O,United States of America
d,Byogwgxbkzuepdkgiecefihugste,80.0,Sandy,1446183.0,qhhlpfbmsw,,Szesqsknrlypcatug,M,EUHNZWQQNACAWSCUKNCHPFJYDMMIWPWSISISSFSPQTILCX,1.0,,Paychex,0.0,378245.0,591.0,Tpleyelkaba,Sze12070,1-688-823-3753,Newfoundland,R,United States of America
u,Vzdnsjnzquvtkcxjxndk,93.0,Baltimore,,WZAPEKFCWJTJ,,DXIXPVBWOPJU,S,ILWJAUEWFOPKY,2.0,5.0,Fidelity National Financial,5.0,403840.0,600.0,Bplvsbjzioglaboshzokvbxogequpibupjf,DXI12071,1-209-609-1759,SD,U,United States of America
,Lqvrhmldpjm,44.0,Arlington,3103831.0,svtahjdo,,MQSTQHIFBUOGEZSGYAMCDAKIAPG,W,Tyqwwanvojwwmwqck,2.0,1.0,,3.0,8510.0,637.0,kaanmewuavhvjjwqdnhjfrwiuyubllzhafmtgzknhgdkxwtfltiknstdu,MQS12072,1-462-951-3356,GA,U,United States of America
,fdhyimqojwlr,60.0,Worcester,831140.0,RMTSF,,Sudpfupe,U,Oxfnxbpkjkpynbjoywjnhhcarqifw,1.0,2.0,LandAmerica Financial Group,3.0,104929.0,835.0,ZUFROOBYSTSVFTNSDTXVFIPOYXCEDCSJFJSLOKFS,Sud12073,1-249-169-9143,Newfoundland,O,United States of America
G,Qxyvywmsviwinwoqna,46.0,Baltimore,2890900.0,Lxmgcb,m,hxgwv,M,Qphpg,0.0,10.0,Raymond James Financial,3.0,491771.0,762.0,DJSGHICEJLCXREKGXNHQTMNUYZCS,hxg12074,1-966-521-6366,Newfoundland,O,United States of America
e,ekqatxaj,77.0,Oshawa,741554.0,ITFOFUHJPBW,,SAXEYZCMPBJWWFNXAKLPQAQZ,W,Detigjysjcxfipnifkjthwlpeteufasqgmhawwobjnbxiayhkgtyecaiclyzronfizy,1.0,6.0,Graham Packaging,5.0,235726.0,323.0,Tvezccfxwdleptmzbrzykgcmilbslr,SAX12075,1-313-166-5744,NJ,O,Canada
C,vmuqsvpjqteujerenmmzd,93.0,Amarillo,273741.0,prqrnho,,BLNDXHXETNCKIESVXYOUCIYHU,S,Fbqaxnwuocyvmorielszk,2.0,4.0,Liberty Media,5.0,366650.0,683.0,Jnllbmiuvhykuwkweldhlcwufcjxtov,BLN12076,1-239-812-0303,OH,R,United States of America
i,lntodokitjheewimy,89.0,Baltimore,3633526.0,Wgkvkxyjbg,,jueodhktwqfzwywixqwb,W,Almrcqtvlopcyhttxaaxkuteyuomhfmpaxsismrrlbcatgmtrk,4.0,9.0,Domtar,5.0,458446.0,,Ladcrvvowmddjsjujhoensukoecnfpyhtxzgbbiysxcuivyz,jue12077,1-772-321-8838,MO,O,Canada
,ybtmwhqeadgvgjwwzrhqz,25.0,Hilo,506109.0,lmjpypp,F,Tmvnkcdqjlkjia,M,Xmdhjsyvsjqhbwnmrcwhsgfsetwxtntdrqipyknojdprdm,0.0,0.0,BE Aerospace,,434031.0,409.0,Dcasnazcoqtxoagtzgmhoselqahkwnfnfhkzzekdbcisguwawonkxpeb,Tmv12078,1-568-809-0178,IN,U,
,wbovfomumtdj,1.0,Newark,3177405.0,Hnvcuth,,Jfxdhzndldpgohyxxqutdxdpi,U,RPBCEDXNYWZHTCWQAQFQWLFJXUDQNLGNBHSBHMTJIIKPDIJBRUDDFEIOXBOTGQXCBEWJCJ,2.0,8.0,Virgin Media,4.0,27855.0,421.0,YFEQKGVNDCTWLFWGBZUOYPADDRXLGHCYUQWBMCISTEINXJDKIZXFO,Jfx12079,1-245-092-4078,CT,R,United States of America
y,Fdookivaqxk,88.0,Rapid City,174388.0,Ucfmvxrxnk,m,Nbvewpq,U,TQOAYSGVWIDPOYJIVRMSPRWRYFMPMVBWLNR,5.0,6.0,Southwestern Energy,3.0,49003.0,729.0,Spemcrspbghimdqjsxtenpuaqcjvjexpzhwnuawdynpx,Nbv12080,1-608-429-0753,DC,,United States of America
,Qvicswzeiqtzqmlnbscjiygrjezqwy,30.0,Little Rock,523385.0,uixreodgdjuj,m,VIVKBVWII,M,IMMPAQ,4.0,9.0,Principal Financial,3.0,220550.0,738.0,Hgyloizsgonuonxlnlldeibuposkhjrtjvasmxhfowcbexobg,VIV12081,1-353-448-9364,NE,O,
,Ghwrmqiaeusuoiezeo,34.0,Mount Pearl,619283.0,Zrexhengnl,M,DAOHMPNUXJNLHS,W,Fgpfvywcheinqdkmi,3.0,2.0,AT&T,5.0,148165.0,444.0,qplhfxpomghtlpbfjpfxzvezdjsmataynclapygwggwqmxkvh,DAO12082,1-137-656-6427,NM,O,United States of America
,pnhpfujw,20.0,Biloxi,3738211.0,UYIESO,M,Mqnwevzxaahmdrzlaazrmtsjleo,U,Kngponjerjhbndyyjycsljaqwjheeicectfhlndbvzvasbligbfqtnknxcgjrloofok,0.0,1.0,Electronic Arts,1.0,327660.0,842.0,HFOBIKLXQSHPQTSNXQCROSTCYIFBKVI,Mqn12083,1-525-978-4300,CO,O,United States of America
,Kmjvtmi,16.0,Anchorage,684762.0,FRIPFKIYAK,,Mobfeuhybhrgq,D,,4.0,5.0,Newell Rubbermaid,0.0,376394.0,681.0,Scuybhxoopnafzpyjjepqcreeuxwkjktxflofdopyaqbpvvpvfsyskbtvlsxghwfjwjkfoavnmefox,Mob12084,1-153-127-0903,KY,,Canada
C,Hafuei,44.0,Lancaster,3692092.0,,M,Btcmxpxbgnskmiggjpuxjcscast,D,LMQTAGPLMNHGIKYRZLQNJDWKVHARNSKWVDUWEJJHLMVNZUVXGXFFDRSWJXHBMNZBXB,0.0,0.0,Neiman Marcus,2.0,422639.0,803.0,VQYZLABNOXUFLRLJKMYQGXSEZPEE,Btc12085,1-362-147-5413,New Brunswick,R,United States of America
,Wgzphfgpdnpoao,49.0,Anchorage,2079207.0,Ycevvpa,F,IOFBPFPSMKZNUSIIBBRXASFUIH,S,Lfxedinkderwyufnkrskqmpncpovpwjadhluhms,2.0,5.0,Scholastic,4.0,442900.0,775.0,GBYGXXJYREQOVCGBM,IOF12086,1-662-798-2166,AR,O,United States of America
,Fdkyoapowjkkcv,90.0,Oklahoma City,615147.0,hrkaoqi,m,yluujmwbtr,M,naqsyngbetdyaqabefkgjucimmxcmbkxrkruucnkyeivgutkoi,1.0,3.0,AT&T,1.0,,365.0,uandyursxtksjtcycngnidefiqvxh,ylu12087,1-343-351-4694,MO,O,United States of America
T,Lrtgcwitaztdkdbkr,69.0,Fort Worth,1531950.0,SKPATNJSOGC,,Rhoslh,M,JNYQRTLJVVFEYBGGUUAMVESOJDBBHINLLKJFGNSUXSO,,7.0,Brink's,4.0,60340.0,315.0,ernjoafvhsuikvilszxzforasipnbevfyfkieiivbjuqwqtpwpnapjoiqoxzvkaecjuawynrf,Rho12088,1-153-729-2311,UT,O,United States of America
H,Zuvvozwfcgqm,27.0,Oklahoma City,1202261.0,,,Rnrrtn,M,Qihqpxgdagcvpdvpkjtbeoatdbgamaznwfcsgfgrbniyssxixqtoarecevslqomegqpffrkat,2.0,5.0,AnnTaylor Stores,1.0,368066.0,537.0,Beyrg,Rnr12089,1-287-738-4807,MD,R,United States of America
,NYYXDUC,43.0,Newark,1398254.0,Iqpwxawzl,f,DEUWBGYMGSGUALGWR,M,efslccdsxuhjxzagkwjkvwjbuzp,0.0,3.0,Coca-Cola,1.0,261456.0,771.0,WIZGVQMQTXMSAONWRSTPVWWKIFGA,DEU12090,1-819-383-4438,GA,O,United States of America
,PQQEOBUDQPZIVAIFPYRRTGCZCVGXW,55.0,Washington,2454984.0,Exvpzsxa,,Bhegcjwuvumgtrgxh,M,Mxzvyiuztheozztqkgvfzuvzmtyodbfsyqrkcljfrbcrlc,2.0,5.0,Mutual of America Life,3.0,357972.0,525.0,Kqawhgwncwaoszlxpygdvfkja,Bhe12091,1-114-304-8619,CT,O,United States of America
,Wgevdsiajphyz,4.0,Mesa,3461953.0,Elapnu,,hnuaqemmoowdkmmxc,U,Oxgpftuxrwkpwhjrtqaklhanewdzbtlejofmtjrrryabtnkkdzyttatqgeftdntktewxniky,0.0,8.0,W.R. Berkley,0.0,211181.0,552.0,Wlngrfxz,hnu12092,,MA,O,United States of America
S,ekhacbfspnzlqjhvhsbh,82.0,Orlando,336115.0,OXIVVQZNITBW,F,Mnxynkmqhqxtubxoyrgblauqcjncaj,M,IJAMB,3.0,,W.W. Grainger,3.0,102110.0,652.0,QDGEZKELREJMCNLOAUETERVKDCEJODHCEFAEKFJABETXAZZPHMNIYIFKNMAXBMFG,Mnx12093,1-159-204-4586,MD,O,United States of America
,WSQQDYYAQRIZCHBOTPLNKUM,33.0,Warwick,3734590.0,Aoevz,,XYYXNSAEJCVXFCYJOXAKUNVBUJE,S,Eoigakvtfpkphpsmervszlenqsqscuptjhfgoxxcbyjwpywvufvfvrtjragcaxztggyhnwlwz,1.0,8.0,Qwest Communications,5.0,402797.0,750.0,Ctwbjpggdkvywrgitjzwrysvmodnoifnlecfgphtngwsgrqpiqwgsfwrync,XYY12094,1-151-194-1253,NY,O,United States of America
P,YDQUDSEQCKXYKHOULWWXXDMVSVLW,,Arlington,3789038.0,Rzxerudsaks,,Bopjfgbnagwvatzdbkgwlmvdbj,D,Pfpymigwerznjxkucwciwkekjn,2.0,2.0,Micron Technology,2.0,486476.0,,AXOENJSSVSIRMDHGFUWNCNWQMPSSCAYISUAZUFJWYMRQCH,Bop12095,,WA,O,United States of America
V,VIPMCMY,70.0,Fresno,193781.0,keiusxh,,Dlnywuiv,D,Rojdq,3.0,6.0,Brookdale Senior Living,4.0,211187.0,695.0,VLVHCAEFTLRIGZGHRBEXMXGVMUUFZMBFATDAK,Dln12096,1-162-098-2835,HI,R,United States of America
d,wqkonw,44.0,Iqaluit,3203688.0,Yyzavjjv,F,Rlcggicfglmrhsptowbq,U,gwdcxzckozsghcuzvaduvpgxoukiebrtnvvaxpcswynkqaucasdp,4.0,3.0,Ashland,2.0,295048.0,488.0,Dteiyjrymjobtdqsgranjnifjmlfqz,Rlc12097,1-095-165-7442,VT,O,United States of America
,Kfgte,72.0,Charlottetown,2644563.0,qdaxqpmbik,f,hytvcbts,U,RFRBNGUFMYDHLTMFPQOGZNYNWHMVTQGTBCBLKSTBIFQVLTNEJJKIKNF,0.0,1.0,Total System Services,1.0,465011.0,656.0,llotwoamwchmiyqonatagnelisgpaowavjknuxziqrtinxqawat,hyt12098,1-652-059-0375,TX,O,United States of America
,Yscsztcnxwe,76.0,Lancaster,1103882.0,zryuv,,ndaqrurczpubu,,Dnzuvwzemeokqqeakopeibyxdbmrxgjojhggzdvhiujpxjkpuvnyholjqye,2.0,,Graham Packaging,2.0,19853.0,517.0,Ukcejmnxnsshbj,nda12099,1-270-447-1090,NY,O,United States of America
,nygjorjvdifrdplelsmbmkbwo,74.0,Glendale,3947062.0,MRNLVRQFKLM,m,Bsjlytnhibvn,D,PIOMBCBDEM,3.0,0.0,JohnsonDiversey,0.0,377472.0,619.0,Ofmhcpvqohqkuuhwtbovsowkhexwppitwahwqwemgxnvgfizbzyiakhokrnsjrzqtjxmmysyu,Bsj12100,1-422-242-3518,AL,O,United States of America
Q,ZJOPPEMUBERYNOTSMGOCZOJLWIUWTU,94.0,Nashua,3589946.0,Lmaksdhym,,Mepxndfmjxeyob,D,Xloxkvlorsosuwkvigkivprbgotqhpgknpcqsxsbhwnazscixoxtezuxwtdmyvuyzqtndvafkct,2.0,9.0,Aventine Renewable Energy,5.0,87006.0,806.0,Jhxzfeiyiffjcgfohsrgktuukaqdjt,Mep12101,1-436-447-4751,SD,O,United States of America
p,Fpulupmrbmplfxqjxkos,69.0,West Covina,737458.0,GHWDBL,f,lyigmrbqafwudqsipruowpnlllf,D,Eimjvnekvuiabrlsy,5.0,2.0,Fastenal,3.0,108596.0,662.0,YSCDVFAWT,lyi12102,1-418-331-8748,British Columbia,,United States of America
I,Gziuauvqyaoduje,73.0,Lubbock,30680.0,WEZIT,,Emecspbslnvtthedzwfpgycxjkox,U,Sxgbqypbrukzulhwobgcfhsjdqcoaebuedryttucmjjpgdvyepercfyppaifvbzogekdgwpqler,4.0,3.0,J.C. Penney,0.0,469487.0,592.0,cvawoddlmcuibjkly,Eme12103,1-885-396-6080,KY,O,United States of America
,ooktddvuaxdwcya,43.0,Grand Rapids,907610.0,GFWVMBSUEV,,Ailkkrwczdgzvviepnokataflzkw,D,Udghgezpgvugiptesieayyknkvwruunprtvxuqydwv,5.0,1.0,Calpine,0.0,208073.0,728.0,hnphebxfkpreygkkxbebwbrgakcxpiortpm,Ail12104,1-990-933-7493,AR,O,United States of America
,Oddjwpkugtasezynmkz,16.0,Syracuse,1478950.0,NNYJOABGYCS,,BCMZYNTUPGGQYKHG,D,Jpaxcxkvjm,3.0,4.0,Bank of New York Mellon Corp.,3.0,91193.0,723.0,Sdqjuaaeouzohuuuprhqabarbxlrryqvwilzifqvwpsuuuyovibizuusmvigcgwgfhijjlmiwvhhaqr,BCM12105,1-818-476-1021,TN,O,United States of America
,Mgxgjxmxtfp,80.0,Iqaluit,1690810.0,IEYSLUHVRPD,,Qijyldulktpmamfeieoeiify,S,CREBMIXUSDUUKUCHVDNZFAGQKNVVNGLPVCRCRVQS,0.0,3.0,Burlington Northern Santa Fe,5.0,211527.0,731.0,YIZPPSXDJIPALKYXTQOIVTMAJZJZALNSIOWDNCDMMKCDCHIFXOYALDVMKXDBKLGECELQURCO,Qij12106,1-202-792-7846,CA,O,United States of America
x,MXJTDLDTJFROGXXCDOUHKMH,41.0,Bismarck,1038993.0,ewfrfxrq,F,Sgfkemdnkfeimwrcfnmdruimnqbrcf,M,Zjzdcdvpkvvnbzsudfvibzbopporetzund,5.0,4.0,WellPoint,1.0,235753.0,730.0,WANFCGL,Sgf12107,1-514-726-0237,CT,O,
x,Dwfsjvnmdxntbpksjgwvfxofjiupgu,20.0,Washington,3752227.0,Yhqvad,,DXPOODNOQPFSJWDKAIJL,M,riehiaikhldahpzutrxekzstqgtedrnipfevhrqgdykvoekdiumkidrqkptlnu,5.0,4.0,Northeast Utilities,3.0,170455.0,596.0,CHPQFNSROQPIYSCIXEQNWKKUYBYUEUPJRVBZKBHIQPYEO,DXP12108,1-340-944-1412,TX,R,United States of America
,OZUSPESUSMTZIPTXSXQINKXLKOZBA,34.0,Lexington,2908703.0,vmrzritmqirv,F,XLVMXVOSMOJB,M,Kfknxvsczzkwyuknarjyknl,2.0,2.0,Armstrong World Industries,2.0,145029.0,399.0,,XLV12109,1-218-687-1024,WA,O,United States of America
,amsdsltylxikmedybz,80.0,Hartford,1970886.0,Wydap,f,SZTCCWMTM,D,jvyekgvrfesamaraasuixrtoxcilskxiiustpoigcfuovkhqmszu,,0.0,Pool,5.0,376036.0,596.0,Ztgfjkfjnefncdxdflnnzrmlafpwsmz,SZT12110,1-462-254-7430,British Columbia,O,
