prospect_gncd,prospect_nmbrcrdtcrds,prospect_nmbrcrs,prospect_stt,prospect_frstnm,prospect_g,prospect_phn,prospect_ncm,prospect_nmbrchldrn,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_ntwrth
VTJ12266,4.0,2.0,WI,MMKOFNVYPCZYB,68.0,1-505-924-5709,491094.0,3.0,M,402.0,O,MEMC Electronic Materials,2971203.0
Gsr12267,7.0,3.0,AK,Jehrprtswwctufkbyit,30.0,1-551-149-8734,156190.0,1.0,U,669.0,O,Gannett,923080.0
Uyk12268,4.0,,RI,ELFPFILXHNKACPYXBG,92.0,1-829-531-2121,210500.0,4.0,D,438.0,,,1005552.0
SXM12269,5.0,5.0,AL,Tclaovmtpraof,16.0,1-621-209-7389,253563.0,2.0,U,826.0,O,Ball,1851067.0
ZQD12270,10.0,1.0,WV,Xdwkkzxmv,22.0,1-150-322-9590,38683.0,3.0,W,556.0,O,Charles Schwab,3168123.0
ELB12271,3.0,3.0,CO,Kczopdfsrvey,24.0,1-629-868-1988,398600.0,4.0,S,440.0,O,Int. Business Machines,475083.0
MQH12272,1.0,4.0,AZ,Bfqqdgx,38.0,,33993.0,3.0,W,365.0,R,Lennar,1610658.0
wdu12273,7.0,1.0,IN,QGHMNRNALUXWRJ,29.0,,50976.0,1.0,S,446.0,R,Iasis Healthcare,359942.0
Vmo12274,4.0,3.0,VA,RKWAAZOIBMRLMJXHXR,97.0,1-708-876-4578,187595.0,2.0,M,369.0,O,Embarq,1436315.0
Vue12275,6.0,1.0,IL,iicobahpngbmvigg,64.0,,237527.0,0.0,U,436.0,O,Cigna,3850672.0
aql12276,4.0,4.0,NJ,QFASLQDLVIUKZWT,40.0,,408665.0,5.0,M,358.0,O,PepsiAmericas,93264.0
Oyt12277,9.0,2.0,TN,Iqraukkvbivlawfb,2.0,1-558-144-1963,496385.0,4.0,S,778.0,,Tellabs,3972112.0
oot12278,2.0,2.0,Ontario,XMVJQUVMMVGCFLYFRS,86.0,1-852-976-8737,450003.0,0.0,U,456.0,O,PolyOne,1783132.0
gqp12279,4.0,4.0,WA,Krtbsgv,43.0,1-409-332-6355,467959.0,5.0,M,588.0,O,General Cable,2990001.0
SGD12280,8.0,1.0,NC,frmuslfvamijwhfnfpzapmsycq,80.0,1-622-439-0390,320766.0,1.0,M,542.0,O,Google,730252.0
Amp12281,2.0,3.0,GA,VHDBHTMRWPUXHQZQJOH,85.0,1-069-057-9363,311474.0,1.0,M,806.0,U,Fidelity National Financial,
CFY12282,5.0,1.0,CT,kfsmwwcmuapugsrqfvid,73.0,1-226-605-4270,244212.0,3.0,M,394.0,O,,3371755.0
ERL12283,3.0,,WY,Vtgsjn,84.0,1-257-713-9986,,5.0,S,550.0,O,United Refining,488022.0
ucr12284,3.0,0.0,WI,cyhbwndslrqwfeogugi,76.0,1-934-487-7602,115930.0,4.0,,592.0,,Crane,1188396.0
Fkp12285,9.0,5.0,MA,ONVEC,25.0,1-513-685-0381,328375.0,2.0,S,537.0,R,Verizon Communications,
Bkp12286,3.0,5.0,SD,itplaccxdlutoogkvok,60.0,1-961-222-9395,253711.0,,M,707.0,O,Public Storage,2185517.0
Ntq12287,10.0,4.0,IA,Djzainbfyxesjs,65.0,1-619-448-5673,92046.0,1.0,U,579.0,R,U.S. Bancorp,1883164.0
hlh12288,4.0,4.0,AK,HBWOFOMYEOPGTAVKR,5.0,1-533-282-8485,454454.0,0.0,W,589.0,R,ON Semiconductor,3082174.0
Cwm12289,8.0,5.0,DC,Orsfdpftdvhxzeyx,43.0,1-584-689-8226,166188.0,3.0,S,845.0,O,URS,2084740.0
Pgv12290,3.0,5.0,OK,Rfepwfcpvsdjxwjitzctstt,42.0,1-393-407-2621,282983.0,0.0,M,314.0,O,CC Media Holdings,305790.0
Ijl12291,5.0,3.0,WA,DRCPTQWLVKEOOMSZ,6.0,1-564-152-2837,140876.0,,M,456.0,R,Avnet,2251427.0
FSX12292,3.0,4.0,MI,enmunefhqoqq,4.0,1-261-694-5138,241059.0,0.0,M,661.0,O,Kimberly-Clark,842057.0
QHJ12293,5.0,5.0,NY,Aexqopkhzhbvanvnutstjmhczzw,96.0,1-919-832-5314,,4.0,M,507.0,O,Precision Castparts,
KEU12294,5.0,,KY,Flebqcdiimoymzb,6.0,1-151-045-9104,194589.0,3.0,S,758.0,O,LKQ,2348382.0
Yiw12295,4.0,4.0,AL,Ktbaxnxggq,90.0,1-718-904-3454,55077.0,3.0,M,849.0,O,,303969.0
Lur12296,9.0,0.0,MO,Jxocswvadrlshpskdhgv,82.0,1-444-549-7034,162651.0,3.0,M,454.0,R,J.C. Penney,426121.0
ocg12297,6.0,0.0,CO,RJUXBWWBWSKJMUWYFESYSYPLYAJVDW,58.0,1-940-403-4707,162804.0,4.0,M,465.0,R,Airgas,739970.0
Mis12298,,3.0,KY,Vshzpqzer,75.0,1-888-022-5606,179308.0,1.0,U,640.0,O,Host Hotels & Resorts,944292.0
kvi12299,1.0,5.0,MS,SDEIK,92.0,1-506-023-3346,210158.0,0.0,U,304.0,O,Patterson-UTI Energy,2697249.0
Jbm12300,5.0,,Alberta,MTISJKRNLZ,86.0,1-021-542-4665,415363.0,4.0,U,346.0,O,Dover,2222649.0
ZER12301,5.0,5.0,Prince Edward Island,Wzvcttxbf,6.0,1-396-239-9090,420836.0,0.0,U,627.0,O,Advance Auto Parts,468140.0
Ljd12302,5.0,,Alberta,Wntdrpiyiwvlnauphmrnuitg,86.0,1-471-782-7121,485904.0,1.0,S,589.0,O,AGL Resources,1950276.0
MHH12303,4.0,1.0,RI,krumuubufpnecymvhdphbytbmngxq,40.0,1-792-206-3227,98539.0,0.0,U,809.0,O,Southern Union,1588249.0
Rfb12304,,0.0,New Brunswick,Iesuziijvhoagkoayb,76.0,1-664-659-5033,407049.0,3.0,,531.0,O,Flowers Foods,3853200.0
Xwx12305,2.0,4.0,MO,DQCGDHFWOAVAWTMMMQMJB,41.0,1-370-183-3719,290262.0,0.0,S,400.0,R,Psychiatric Solutions,3906037.0
ehn12306,10.0,1.0,VA,pcxhjbzsakgdyi,83.0,1-331-127-0336,280984.0,5.0,M,324.0,O,Cenveo,
QQH12307,1.0,5.0,OR,Jhesnpwowlkq,100.0,1-006-924-9297,408050.0,4.0,M,709.0,,AbitibiBowater,203616.0
Dmi12308,2.0,5.0,ND,ymlkppdqzisibfhufxdmuqsiv,30.0,1-206-843-3630,405529.0,2.0,W,580.0,U,First Horizon National Corp.,126249.0
avn12309,7.0,0.0,Prince Edward Island,Yyogeqf,43.0,1-763-778-6828,126262.0,0.0,U,704.0,O,Arkansas Best,2622290.0
Mrz12310,4.0,4.0,Newfoundland,Npmpmuttydafovajeuofypp,4.0,1-004-494-1059,98860.0,5.0,M,502.0,O,Ecolab,2529787.0
Yto12311,9.0,1.0,DE,jgtpjgjowumxzkh,21.0,1-030-182-9671,37350.0,4.0,U,457.0,R,,64952.0
WYB12312,3.0,4.0,CA,Sfslbqkbeiwoh,50.0,1-758-089-6196,230290.0,4.0,S,508.0,O,News Corp.,3764339.0
TQA12313,7.0,1.0,ID,uzegaonaehcldsblqykjdnafw,20.0,1-013-070-2029,119956.0,0.0,,531.0,O,Publix Super Markets,
Mpa12314,3.0,5.0,KS,Xmwgpzpzjmoquzbevf,56.0,1-632-661-7161,164589.0,3.0,U,,O,Land O'Lakes,3880644.0
qow12315,10.0,2.0,MD,aouaqoaryufczdc,76.0,1-370-978-8638,182678.0,0.0,D,,O,Delphi,3926126.0
Oxj12316,10.0,0.0,RI,LJZIUSEBTTJILMCCL,92.0,1-138-404-1013,351317.0,,M,304.0,O,Lithia Motors,3417605.0
ckl12317,2.0,1.0,CA,LJIWRMBMHUXG,26.0,1-248-361-8642,160175.0,2.0,S,817.0,O,Buckeye GP Holdings,457926.0
Prl12318,7.0,4.0,WA,PMNNOMSTLFCNRQUDGIVOAOAHUQCTS,12.0,1-671-685-3427,294533.0,5.0,M,353.0,R,,2935217.0
CUV12319,,4.0,ID,Zcdimmpyudwvnbbssucydpxmrdpq,74.0,1-394-717-9998,97846.0,0.0,U,741.0,O,International Paper,934777.0
Ysp12320,,4.0,KS,hifwjcuyafkwralv,25.0,1-145-829-9708,335004.0,3.0,M,655.0,O,Freddie Mac,3701481.0
Fks12321,5.0,,Prince Edward Island,ITHURFPAGAIBGAAPDK,8.0,1-357-287-8080,146440.0,5.0,S,769.0,,Priceline.com,1637670.0
Ghd12322,,4.0,VA,Kvjrpkkibkbhofchuzefehqor,23.0,1-284-247-9149,316315.0,2.0,M,633.0,O,,2335832.0
Qlo12323,0.0,5.0,WI,Kesnujgzhvfijhgiboldqilscau,43.0,1-413-399-2535,329949.0,2.0,U,,O,Boston Scientific,3956551.0
JQG12324,2.0,5.0,MD,QLMPOEVZBASCVVTWHOBBV,33.0,1-823-570-8842,449560.0,5.0,U,626.0,R,Guardian Life Ins. Co.,3483920.0
Qmw12325,1.0,1.0,AL,PMKLTBSNEWSOOUROUAWNYTGXTQTRB,69.0,1-591-654-1502,12309.0,2.0,U,770.0,O,New York Times,1518520.0
Jol12326,3.0,4.0,VA,nkrienwtmhzxxs,60.0,1-404-280-1115,212767.0,5.0,W,361.0,O,ENSCO International,3226297.0
Txg12327,4.0,2.0,AK,korotn,27.0,1-688-267-9579,67204.0,1.0,M,640.0,O,Norfolk Southern,641413.0
Jnx12328,1.0,0.0,FL,KZEFOWHAO,21.0,1-532-620-4621,89239.0,3.0,S,775.0,,Yum Brands,1189583.0
Ktf12329,10.0,0.0,UT,Okcautpfalcksjcpwtedma,73.0,1-088-509-5188,232462.0,2.0,U,549.0,O,Crosstex Energy,2637883.0
rwt12330,9.0,3.0,KS,HAYSOANHSDRNTCVSMLCPSONBAMVR,99.0,1-102-532-7926,144710.0,0.0,M,818.0,O,Apollo Group,2987017.0
Dwn12331,1.0,,MD,AZYZDHRDCZGXVBWVBM,100.0,1-526-411-8040,276109.0,4.0,U,720.0,O,FedEx,623033.0
FEQ12332,10.0,5.0,CT,Tdsoerao,13.0,1-606-362-0155,102687.0,4.0,U,486.0,O,Icahn Enterprises,1763040.0
kfq12333,6.0,5.0,SC,MRPIUYTIJVZIUTHDSSLPWTCQ,9.0,1-376-354-6327,286230.0,1.0,S,614.0,O,Source Interlink Cos.,2412526.0
WAQ12334,5.0,1.0,NC,Kqmdbwlivxbfoadttnxz,40.0,1-994-456-3763,374311.0,5.0,S,616.0,O,Sun Healthcare Group,1967771.0
Yyq12335,2.0,4.0,CA,Ppxjcmbsundhyjvexf,11.0,1-451-246-5046,340354.0,,S,581.0,O,FMC Technologies,3926121.0
jpi12336,4.0,5.0,SC,Anejs,59.0,1-071-040-9433,391742.0,4.0,,592.0,O,Northwestern Mutual,3507757.0
TXS12337,9.0,3.0,VA,Qxrdpgnoutlnkadeq,65.0,1-777-537-6703,234033.0,0.0,S,532.0,R,Dick's Sporting Goods,1189997.0
Wzq12338,3.0,0.0,Nova Scotia,Gdipizcexjtbmenpvtehebtwltsjhj,16.0,1-456-828-2283,77427.0,4.0,M,367.0,O,Cracker Barrel Old Country,
Zoq12339,3.0,0.0,MS,Vjpsmdxcfdgyejzgrq,4.0,1-376-399-5665,172000.0,0.0,D,429.0,U,D.R. Horton,1118649.0
YBB12340,5.0,,NH,uirvtpykxpstnuybrnmd,66.0,1-368-057-7078,91479.0,0.0,M,384.0,U,State Street Corp.,1333706.0
Qoi12341,2.0,1.0,RI,Vsaahurlpmhuegssyojhxlpyrpzm,94.0,1-860-372-0824,465301.0,0.0,W,561.0,O,Equifax,
Seu12342,2.0,3.0,KS,WILPKGVKWSS,33.0,1-021-429-1355,187951.0,,M,777.0,,Urban Outfitters,2710824.0
Amj12343,1.0,4.0,OH,Uczdmjjet,0.0,1-065-885-3472,329347.0,0.0,S,,O,Oneok,219055.0
Udk12344,9.0,2.0,DC,Uzagiyuprdsdvxobkrli,78.0,1-064-681-3668,395829.0,1.0,M,619.0,O,Avnet,1564393.0
xax12345,2.0,2.0,DC,UPNXMAPJZSMASMMOOODPUEJPJTOHDU,18.0,1-156-133-8390,182499.0,0.0,S,720.0,R,Hanesbrands,372900.0
Reh12346,2.0,2.0,IA,Doymbabesfhkmedvr,7.0,1-033-843-1781,390516.0,4.0,W,785.0,R,Terra Industries,475767.0
Biz12347,6.0,0.0,WY,Oqhddebvprlpbohvsq,58.0,1-658-506-7867,219352.0,3.0,,830.0,O,Guess,2231232.0
HLG12348,10.0,1.0,CT,Hwqbwwgtshddjikufplhptsnasq,52.0,1-564-816-7458,201633.0,2.0,M,599.0,,Arrow Electronics,1876944.0
Hht12349,3.0,5.0,MD,PFSCRXQKVMRHW,25.0,1-271-319-4927,265623.0,4.0,M,367.0,R,Verizon Communications,3644601.0
Nbw12350,2.0,,AL,Dirzdsvn,2.0,1-689-967-3402,273768.0,0.0,M,468.0,O,XTO Energy,3532868.0
Kcr12351,8.0,5.0,IN,vxqnbofycgkiaj,6.0,1-627-690-5332,349125.0,4.0,S,,O,Live Nation,943201.0
nfn12352,6.0,,KY,Nqpezukmhpqfvxesm,14.0,1-078-269-4827,49634.0,0.0,M,559.0,,BlueLinx Holdings,3621543.0
lej12353,7.0,5.0,UT,WVTKPSQ,85.0,1-981-819-0226,397349.0,3.0,M,438.0,O,E.W. Scripps,1437447.0
Dkh12354,2.0,2.0,RI,zigzdeydgaxsawftuu,88.0,,487256.0,4.0,U,673.0,O,Kimberly-Clark,1855555.0
Jmu12355,6.0,3.0,CO,zroxxdfin,89.0,1-869-240-7368,134758.0,1.0,U,515.0,O,Alliance One International,608023.0
UET12356,2.0,3.0,WV,Nhtbcugpiktuzrqcfl,85.0,1-005-825-0378,138928.0,4.0,M,622.0,O,Marshall & Ilsley Corp.,3844035.0
HBD12357,5.0,5.0,MD,athixgspqttjeotrukxbghvasedrtx,28.0,1-550-232-7095,468204.0,2.0,M,450.0,O,Weyerhaeuser,760980.0
CVP12358,4.0,4.0,NC,Lipngrhxiaptwsnsryzbobfdxg,50.0,1-441-183-0203,366485.0,2.0,U,322.0,O,Total System Services,1447499.0
Crt12359,3.0,1.0,PA,XZDFDACNBEPXVNXFTUUGVB,38.0,1-722-499-0904,421887.0,4.0,M,320.0,R,Catalyst Health Solutions,3638596.0
Wpb12360,6.0,0.0,TN,Xvrvokyj,95.0,1-053-812-0000,303550.0,4.0,M,517.0,O,Bucyrus International,
Rxl12361,1.0,1.0,WY,Uizoeqlhvoyputpyxtugkhc,43.0,1-342-699-7081,385748.0,2.0,S,847.0,O,,1948905.0
Lrr12362,6.0,4.0,WI,gtcmkmtoxzpnhlnfo,25.0,1-229-296-6636,275089.0,0.0,M,377.0,R,Goodrich,304815.0
Bfb12363,5.0,5.0,NM,JIGRDOPOXTCYBTTEWWWYBJ,15.0,1-343-075-0765,,0.0,U,640.0,,Patterson,558307.0
gpu12364,4.0,4.0,OK,Hpvtxskyyewoltlhiiyepgohfmkru,48.0,1-895-511-6738,79502.0,1.0,U,562.0,O,National Semiconductor,3234886.0
Ymp12365,7.0,2.0,MO,Cmhsyjkkyv,60.0,1-014-076-7861,184945.0,2.0,M,795.0,O,Macy's,
qxf12366,10.0,4.0,Quebec,QUWKWIRORCPWCULFCGBXBMLIXSNMWM,27.0,1-957-233-0645,232156.0,1.0,S,786.0,O,Amerigroup,2773715.0
MIT12367,3.0,2.0,AK,Hnjvph,69.0,1-149-424-0447,89307.0,2.0,,755.0,O,PharMerica,1110617.0
Tjw12368,,1.0,UT,EREZORHSQMWIQ,,1-352-408-0065,135666.0,3.0,U,343.0,O,ArvinMeritor,621973.0
Noh12369,,0.0,CO,Sivkkweqpyiuptazbejoymciqlsswr,68.0,1-739-817-4187,323531.0,5.0,M,602.0,O,ServiceMaster,1623310.0
Spc12370,6.0,2.0,NH,Qauyrruvaszarsm,46.0,1-324-156-5529,339361.0,1.0,,821.0,O,Hasbro,776607.0
igo12371,5.0,,AZ,Xjkomktkvfnlmbpegvsmozorx,93.0,1-266-320-6902,423104.0,3.0,D,459.0,R,American Express,2625256.0
uzz12372,6.0,2.0,KS,jjoejmnjciqphogemuqzgfxlyix,46.0,1-357-350-5117,44160.0,5.0,S,381.0,O,Verso Paper,3043190.0
owt12373,,4.0,IN,crdxqblkslqcjulzfrejfcw,,1-802-031-7820,70979.0,1.0,S,590.0,U,,99348.0
Ild12374,3.0,0.0,HI,Cbakfkatjqwpnl,62.0,1-541-114-9961,277820.0,5.0,U,791.0,O,Assurant,3510081.0
PFB12375,6.0,1.0,AL,Zettvip,24.0,1-279-756-7413,86177.0,0.0,M,478.0,O,LandAmerica Financial Group,853025.0
blg12376,8.0,5.0,KY,IMOJWHIRQAWBL,9.0,1-403-537-6350,205337.0,4.0,M,676.0,U,"Toys ""R"" Us",2285622.0
Bnr12377,1.0,0.0,AR,PZLFZRIBEGIMBZPUDMFZLD,74.0,1-636-886-1002,,5.0,W,807.0,R,Enbridge Energy Partners,549301.0
SLS12378,5.0,3.0,ND,Glniufudp,23.0,1-666-885-8284,155551.0,4.0,M,546.0,R,Clorox,3029297.0
ELV12379,2.0,2.0,Saskatchewan,Hdjhjpmjpdvbbngefbuvi,98.0,,,,M,842.0,,Pacer International,3389391.0
WHJ12380,6.0,3.0,AK,APBHBMURWBRCDXAKLDC,1.0,1-531-384-7290,,3.0,S,337.0,O,Deere,
Ezu12381,6.0,5.0,ND,igbnale,34.0,,372517.0,5.0,U,374.0,O,General Dynamics,446365.0
Fdz12382,1.0,1.0,MA,Qrkqvpeblmjvcjtqcjfzto,99.0,1-751-601-1791,270701.0,3.0,S,497.0,O,Apple,3767300.0
BOZ12383,2.0,1.0,MN,OZWYWXG,87.0,1-596-454-7271,322871.0,0.0,D,728.0,O,Fastenal,752869.0
ula12384,1.0,1.0,HI,LYOBFKWYNWHSSGIGNCUN,38.0,1-464-722-1476,193123.0,5.0,M,446.0,O,Regal-Beloit,3299323.0
Eio12385,4.0,2.0,Ontario,JUTTNYQTPDWHGCRI,47.0,1-260-886-5844,139131.0,2.0,M,362.0,,Commercial Metals,1687635.0
RNW12386,5.0,1.0,NH,Pcnevmpjccvjjaywpkkbjnhufabs,33.0,1-126-576-6517,389575.0,4.0,D,558.0,O,RSC Holdings,493499.0
iqc12387,0.0,5.0,CO,Vyutrlsflfugf,18.0,1-310-382-7239,124757.0,0.0,M,737.0,O,Acuity Brands,1524819.0
Uvu12388,2.0,5.0,IA,Jgguaomvqonqunkeworeobwsdc,54.0,1-973-649-2770,187241.0,3.0,M,423.0,O,Franklin Resources,799865.0
RMU12389,2.0,1.0,Saskatchewan,Qpsvcgfmrdfxnehjqdupbfxiae,92.0,1-603-254-1193,412946.0,0.0,M,437.0,O,Toll Brothers,137128.0
Qol12390,10.0,2.0,TX,Nsgyddxaxwyncl,46.0,1-738-319-9493,231999.0,4.0,U,,O,State Farm Insurance Cos.,
Amf12391,,5.0,FL,Hszniywtjimdlbtflwntoxoeq,35.0,1-913-322-1646,329973.0,0.0,U,431.0,R,Applied Industrial Tech,3002992.0
Pjr12392,5.0,0.0,FL,GHQTAGTBNWRUYJHHGQQE,40.0,1-613-013-5722,83777.0,2.0,S,,O,Rockwood Holdings,2854988.0
RXQ12393,7.0,2.0,AL,trperwisdvnfoq,33.0,1-994-822-8114,360115.0,2.0,W,571.0,O,American Express,728117.0
Ayv12394,7.0,5.0,Quebec,Zgqtpdknjdthxsvurngaobfyymm,12.0,,393739.0,3.0,U,673.0,R,,2977729.0
Qvq12395,0.0,4.0,FL,VAXWVJQ,44.0,1-564-974-0346,213439.0,2.0,S,651.0,O,SPX,2974231.0
Msc12396,3.0,2.0,British Columbia,Wstslmngmhsw,86.0,1-320-612-8246,215466.0,1.0,M,477.0,O,National Fuel Gas,1781654.0
AAD12397,7.0,3.0,UT,LGCGLROSLUZCPXABGELP,84.0,1-033-327-5291,367039.0,3.0,S,574.0,O,Legg Mason,3947222.0
Ksd12398,3.0,4.0,UT,CTRGPOP,35.0,1-251-092-1822,414092.0,4.0,S,598.0,O,NiSource,789121.0
wje12399,2.0,1.0,KS,AVSWHRB,66.0,1-817-953-2568,488857.0,1.0,W,696.0,O,Superior Energy Services,1694479.0
Toj12400,4.0,2.0,VA,YCSSCDJMGVTURSAMHNEROPQM,14.0,1-717-243-4473,,1.0,W,680.0,O,Amgen,1826295.0
LLM12401,,5.0,NJ,Cwabjq,54.0,1-995-136-3052,430729.0,2.0,S,439.0,O,,713387.0
emz12402,6.0,,Saskatchewan,ARDURAOGWJCXMLRQHAOEZGL,70.0,1-456-742-3894,344388.0,,M,376.0,O,Colgate-Palmolive,702411.0
Kax12403,1.0,2.0,DC,Fgckfpdstupzcnziibmahpswos,60.0,1-841-417-3688,353243.0,0.0,W,620.0,U,MPS Group,3262570.0
LCR12404,9.0,5.0,CO,Olbktovupclzolfssmrzyknlxpskt,29.0,1-827-234-7172,482367.0,2.0,U,322.0,O,PepsiCo,1674162.0
Xvw12405,7.0,0.0,KY,SPNLKGFSEHENALD,29.0,1-346-974-4455,111328.0,5.0,U,404.0,O,Enersys,2749267.0
KLS12406,4.0,5.0,HI,PFVKVOHWOBBJNDBTIES,88.0,1-092-864-9544,258347.0,2.0,S,615.0,O,ConocoPhillips,2044557.0
ymw12407,3.0,5.0,WV,Acwlaixpvgbqvfrdf,48.0,1-201-722-8658,213457.0,2.0,S,311.0,O,Exide Technologies,3648336.0
Qlz12408,10.0,2.0,TN,Fcffkxvirdgoi,50.0,1-587-542-6495,279946.0,2.0,U,,O,Dow Chemical,1619437.0
Ron12409,4.0,,ID,Hnvzpfjucosdgthlns,98.0,1-883-450-0305,278730.0,2.0,D,454.0,R,Knight,
Pak12410,7.0,0.0,MO,Urxtwhbehdzo,2.0,1-166-112-8083,345862.0,5.0,M,726.0,R,General Growth Properties,3103571.0
zru12411,8.0,4.0,MI,Yohcetucnpg,32.0,1-030-060-2840,80008.0,0.0,,630.0,O,Hewitt Associates,3082143.0
SPF12412,4.0,0.0,MS,Vmacpuftsjwee,20.0,1-443-628-4342,112907.0,,M,568.0,R,Inergy Holdings,2350906.0
Jkv12413,8.0,3.0,AZ,Ptxfhdswhjwpevvia,72.0,1-661-029-8310,456503.0,3.0,U,661.0,O,Rockwell Automation,2329279.0
KTR12414,3.0,0.0,New Brunswick,Nfdwnngbq,,1-698-663-8884,357698.0,0.0,M,427.0,R,SkyWest,3979805.0
WJW12415,7.0,1.0,ID,Pnloulfskkkxlgoug,19.0,1-726-842-9666,161512.0,0.0,U,381.0,R,Aramark,1523307.0
AXC12416,7.0,1.0,MN,njaxixescgnir,20.0,1-099-891-4141,227873.0,5.0,D,372.0,O,Mutual of America Life,2238235.0
Bed12417,3.0,5.0,PA,WASZCX,90.0,1-474-949-0000,325506.0,0.0,S,346.0,R,,1277080.0
xuc12418,,4.0,KY,STGQZC,68.0,1-184-973-3783,137062.0,4.0,M,583.0,O,PNC Financial Services Group,1193309.0
tcx12419,7.0,5.0,LA,TYFRFKPAAILOFWRGVCLSLLCMSMPSM,18.0,1-673-342-0803,119234.0,2.0,D,394.0,U,First American Corp.,1256050.0
HAZ12420,1.0,3.0,UT,GOUIQRAUFDINMRYXHYAOTZJBNO,40.0,1-735-043-9322,85840.0,1.0,U,409.0,R,Universal Forest Products,3440147.0
Ryx12421,0.0,1.0,IA,Oaaog,,1-964-240-8322,415986.0,5.0,M,655.0,O,Capital One Financial,3989521.0
Vdl12422,9.0,1.0,AZ,Spvjiycdrqttjqinfmsozchqjykvwt,46.0,,93177.0,5.0,M,618.0,O,Regis,87565.0
Bcw12423,5.0,2.0,ID,nrchqyskvcpoowmtzratdb,35.0,1-222-507-8002,387754.0,3.0,W,318.0,O,IMS Health,666818.0
GOD12424,5.0,5.0,OR,OCDIXRUSZEDUYEMKWURLLJVP,72.0,,222277.0,1.0,M,698.0,U,Automatic Data Processing,1224779.0
dcq12425,2.0,,AL,Ivzhthl,69.0,1-886-101-3767,499204.0,1.0,M,804.0,O,Brink's,1693605.0
Tyy12426,2.0,0.0,RI,Oydhpvcyyxxin,35.0,1-138-175-4136,466116.0,,M,780.0,R,Halliburton,26450.0
Dqn12427,1.0,2.0,PA,Gxbxvjnwjxsfkaswotuqjrcqsdf,63.0,1-116-320-2545,101915.0,2.0,W,785.0,O,Commercial Metals,1882813.0
xjo12428,9.0,0.0,Newfoundland,Bstynfebhyxfbwivzbjrsy,72.0,1-775-067-8160,474135.0,0.0,D,811.0,O,Cameron International,2710179.0
ONE12429,3.0,3.0,MD,WXJVBLHYWWXS,,1-709-001-8747,180533.0,0.0,M,628.0,U,United States Steel,449416.0
ium12430,9.0,5.0,GA,Bmhulzcjtwhepjy,85.0,1-742-438-3289,185369.0,3.0,U,814.0,O,Windstream,632566.0
qbv12431,9.0,3.0,IN,Gcwsdizyslozysedbwqueenjbhu,93.0,1-632-171-5767,188850.0,1.0,M,617.0,U,ConAgra Foods,672540.0
uap12432,6.0,4.0,IL,fqaeqyhzc,54.0,1-523-392-6348,367264.0,,,344.0,O,Jones Apparel Group,131613.0
KWY12433,,4.0,British Columbia,DVFSEJPDRRUFTUYXYGPDP,23.0,1-849-942-8931,50713.0,4.0,W,843.0,O,Vanguard Health Systems,3425795.0
Qph12434,3.0,,DE,Arqyinoq,82.0,1-562-382-9482,274112.0,2.0,W,628.0,O,Ross Stores,1354073.0
LKC12435,5.0,,Nova Scotia,Oluwtwbalmdytdwjokjgszltndpxm,56.0,1-426-755-9487,15485.0,2.0,D,344.0,R,Lockheed Martin,2362576.0
AYT12436,2.0,5.0,Alberta,Qqrdbmrucqtljazgqq,93.0,1-927-383-4329,254665.0,1.0,M,516.0,U,Smithfield Foods,2656479.0
KVE12437,1.0,4.0,NY,Ijuyqvkgyskxiegluy,54.0,1-322-181-5121,33699.0,4.0,M,382.0,O,Herman Miller,3771914.0
NHC12438,9.0,5.0,New Brunswick,uqwfypvwaxdgmaptnoynvkft,50.0,1-957-447-9049,194510.0,2.0,S,489.0,O,Great Plains Energy,410340.0
Mim12439,1.0,0.0,CA,AFBNJJIBGVQXALKUMMNXTNPVVHXO,96.0,1-264-614-1727,439923.0,1.0,M,544.0,R,Commercial Metals,3343842.0
JDU12440,3.0,2.0,IN,FPTEJDWZWEHDFAEUZBKJEMID,82.0,1-502-235-9420,379217.0,0.0,D,769.0,R,First Horizon National Corp.,3939423.0
ugf12441,3.0,4.0,IL,zqegsyfculpappxs,21.0,1-031-389-2989,,3.0,S,525.0,O,"Toys ""R"" Us",2814442.0
Cir12442,3.0,3.0,NY,Tppegsjjhyfnthl,55.0,1-047-995-6407,478841.0,4.0,M,599.0,O,Crown Holdings,3853170.0
Bpd12443,3.0,5.0,NY,SMLEPVUYPRBAOMWGDBKZVWQGN,88.0,1-080-723-1466,331912.0,5.0,M,725.0,U,Newmont Mining,2017205.0
CXN12444,,,Manitoba,Hcjrxhaogzvdmvsgchss,88.0,1-273-670-6736,188675.0,3.0,M,430.0,O,Plains Exploration,1521933.0
Qrn12445,6.0,4.0,AZ,WWGAIFRPLXNRXLBRGLJTVIGF,56.0,1-804-070-2908,250216.0,1.0,U,702.0,R,Leap Wireless International,535441.0
Zqf12446,8.0,2.0,NV,Epwgengvbvehdwpavwmmp,32.0,1-197-060-7227,166983.0,5.0,M,701.0,O,AMC Entertainment,3693277.0
Geo12447,1.0,5.0,Ontario,Wwvslueanbtgzplsikqwuilipaitp,49.0,1-726-767-0135,236012.0,5.0,M,535.0,O,Computer Sciences,1396132.0
RSD12448,7.0,4.0,Saskatchewan,yfpxcfdorfmarxjjmspx,63.0,1-847-435-4108,298487.0,4.0,M,686.0,O,Varian Medical Systems,3324359.0
