gndr,ddrssln1,cntr,mddlntl,ncm,lstnm,nmbrcrdtcrds,phn,stt,wnrrntflg,ct,g,frstnm,mplr,pstlcd,nmbrchldrn,ddrssln2,crdtrtng,ntwrth,gncd,nmbrcrs,mrtlstts
,PMIXZPXFXCPIWUBEQXBNLQRWEIV,Canada,q,114383.0,jfxenadkdneaho,3.0,1-513-076-6324,AK,O,Washington,10.0,rhprwzrtiaz,RBS Global,Egjipdnef,3.0,Omfykdhesjjhcfeegvrt,522.0,1118892.0,jfx11477,3.0,M
m,GHZGSWCKDUXDKEGKUQKZEBSQPTWJUDUHEXXLTOJHNEDTWMXKACENFGISLIOXVPT,Canada,,301368.0,Ublubdbkwehkyxuskmsoio,2.0,1-049-834-0372,AZ,R,Providence,56.0,divzpfyprgxcdes,U.S. Bancorp,Ikmfspugfam,2.0,Liilqqssqzobpseimlbpccsqynjsdeixlrokkkgxqinbzkoazogvytcbwalc,632.0,669041.0,Ubl11478,0.0,S
F,tnyjecddekaqw,Canada,w,195991.0,eqngqrdoxurdbasxpvfdu,7.0,1-814-417-0946,AR,,Sacramento,44.0,Ohleqtlzbsqcgoxtpbfo,State Street Corp.,Zdqvsjhwdx,2.0,Utzmaemtidgvigadwtrqhhdgnplooktokkcrjc,834.0,2138747.0,eqn11479,,U
u,Hljqkrgjchbbqtqhimhdulkoog,Canada,o,168558.0,Bcuxolqlquxvronugzkciktr,8.0,1-164-969-6909,DC,O,Garden Grove,11.0,lzlgllsn,Aetna,OHQWODRK,1.0,Eflggcearppxefjtentxsuednlaoexrveypkaphtldgmodcmysyrkkxbafvwetabiqonirnvbnz,662.0,2602673.0,Bcu11480,1.0,S
,Evbuxmukafjemrvmqbnximkmtfbckejjhobtoloviyodvotcfwoyralcmjfqlzisdknpvbb,United States of America,,6392.0,RVKSDEAVJOFDDMEGQOHCWQAFNHUBIY,4.0,1-565-921-4884,SC,O,Oxnard,32.0,Zefisqxeqvmzttwyb,Ferrellgas Partners,NSOJHHWQVYJF,5.0,Uegxfhuzzajqphjydeloatgsdxukpwclqo,500.0,234019.0,RVK11481,5.0,M
F,Wbtdhqtefilhyswvcsgxvfbgldjestfkuwrekfaxksknfaqratjtwaxavqiuuezjsna,United States of America,z,378207.0,khciv,9.0,1-588-279-4796,Ontario,O,Denver,15.0,ugmazmghebweffuualuhx,Reliant Energy,Fcjauubbq,4.0,Hqknrogkklejgewqyrodgtgywfnysoiqdskjvolbkifemuiiqhakqmcrieclvtemdbfaqtzrdjvrvnm,652.0,1092435.0,khc11482,4.0,S
,sttfjawxtdeplzdtkkaghxcmvthmuvgyrvxegqhzzfurmezfcmuvrsanwfulsueiyvdjjtvoh,United States of America,,84429.0,Jojqgwquaosbrzwmlcyy,5.0,1-788-736-9362,DC,R,Fullerton,90.0,Lovcmd,Southern,Dpdobh,1.0,qzhqvsklvgqvoxfzwukmcrlkzjtakimpieqoxolirwbhphosdxecitbfxcbscb,614.0,393268.0,Joj11483,4.0,S
F,,United States of America,,16398.0,RLQDDJMEMYTNSL,2.0,1-766-394-1434,DE,O,Knoxville,7.0,Vxjfrczgquwbcumsmw,Cimarex Energy,Rwbhdki,4.0,xpxleonskumxolsebafzprdhnvamxanjgwjfhrilllpxkkzduefqvnnmncxucbmupnfbsg,603.0,3977529.0,RLQ11484,3.0,M
,Mcsqszililfdlzbqjhsyrcftufrrswaafzopv,,d,32912.0,Ztdwqm,9.0,1-875-123-9996,NV,,Denver,61.0,Ufbmlcckvbkfizjsfwhjlbsnmlovfi,BearingPoint,Pzwvpn,4.0,CHZOKXYAWDJXGCELCXXPEELWWPCKJFPQZJJCCPHRUXGUQT,704.0,1872542.0,Ztd11485,5.0,U
f,Divgkcgtwdjybgfzivzabczwcnpkyoaondmfuhakcxuwatpvprekozhjaqomatastxlejtulrkxqn,United States of America,,381878.0,fvkitcljwipetwlttoep,9.0,1-156-295-7654,TN,O,Cheyenne,22.0,KPDQT,Dun & Bradstreet,Bxfor,5.0,PMJWCIAVEPNPUPXRONJUXRWFQUWGONCULVWMOJUDEIVHG,650.0,655854.0,fvk11486,3.0,M
,Xllytwtweft,United States of America,,252843.0,xhdwrhoofgvhmslnfqpwgdihzjk,,1-061-171-9552,IN,U,Biloxi,68.0,dfjehdrlqujrnviznmugiljymgae,Cooper-Standard Holdings,Mioamrbwn,2.0,Zylrdctpdazjuvlawnvszypniaocdjrgasanrahbhwqeuoejmmcbugdtdatktscobuoga,726.0,18987.0,xhd11487,2.0,S
,Ouweiqrohwrmttxhcoaebhawfsikjrmumjtcbwgzlkciiwgisdwkusdultbmcxgio,United States of America,,407372.0,Hoexgqkqnzhkrjqktwh,0.0,,TX,O,Santa Fe,52.0,ALMHDJDSRBAZMKAURA,Rohm & Haas,Gbzqknxk,5.0,NHCHFAEKGFULSQMPSZIKRIFSUYASOFYCLTQBHZFVLSMXOVRFOCFPRXRSWSWYL,711.0,819805.0,Hoe11488,5.0,U
,,Canada,,398663.0,Olhmkzalhagjxkwqhd,6.0,1-642-017-8563,HI,O,Overland Park,56.0,Fxwkuzlfvpgtxxgvfkbnh,Complete Production Services,xocpgddo,5.0,WIYLSKWCEHEONTLSPMMINQVOOFPRANGVXIKNQAAFFYPPNVOAGCZAADZOOJYEEPHGIK,315.0,2771504.0,Olh11489,5.0,S
F,iibhorcgbnwjdeqfqwfrebzuvlwlnwjubtnmqwwbkmibbaudxwvyfwpswgoqqefadinzipvkqhchb,United States of America,,90907.0,fdcwqbyikacjorqanyfrcgdqtirdk,4.0,1-912-071-6895,NH,,Carrollton,33.0,zespccnbjkh,Ralcorp Holdings,Zsjkdwzxn,0.0,Fcnsfapwlsrpprzf,582.0,193469.0,fdc11490,2.0,U
,,United States of America,h,273569.0,Srwdwmbydyjhiweuvdhi,7.0,1-365-866-5561,IL,O,Miami,62.0,Xosvzipyemjqokpupmqymmkmuhves,Church & Dwight,Oxbashg,1.0,Xfzesdmmcmbbpxubtikohkmoimcqaveurmxodgfkujpoqatnaisngnojzrdcsxddbddmsqyoqodthwr,763.0,1886599.0,Srw11491,0.0,M
m,Iafhvwwfeguxprukobtygftudjmuvarjglsgkfzqh,United States of America,n,164972.0,EDWJWMIZZMLMAAE,1.0,1-659-821-2440,NJ,O,Wichita,74.0,fhkgoajlixxdzu,LifePoint Hospitals,Nymyp,5.0,Fdagqxaqmktbqebrclxtttwcfcwtcptnnlsahilidveeokekavktqei,400.0,434097.0,EDW11492,4.0,U
F,Oisaeqfegtbkcjxhelpvovaspqvxtntvyxhwsguiurausvjfqwtkdehknrj,United States of America,,396722.0,rigbrtppucytl,0.0,1-878-752-8108,WI,O,Lincoln,88.0,wweeriyktylzpmpjuuwk,Consol Energy,RWPZKBODKW,0.0,dgxvaanpvsyymvggyqfoxxrgcmnxyzfvvcozhgbhdgygndkps,475.0,3862408.0,rig11493,2.0,M
m,Ywgqxrjbyqpseycinjamzekdpen,United States of America,O,148398.0,BMQRQEVDROTVRSPMIUYIPZXP,9.0,1-613-399-7550,KS,O,Oklahoma City,32.0,jlhokglpsuryl,General Motors,Sumqay,0.0,GIYGYIXWGFKDFBQHJJXLQOCYAR,490.0,3776397.0,BMQ11494,0.0,M
,kfvkcixtamcjxfbjnigpvpmuylgdmoabxgkxutoxijvvtnrkusrnbb,United States of America,B,424682.0,Xkxzidrik,10.0,1-941-270-7615,MN,R,Hull,73.0,surnpueyvpez,Mueller Industries,dijomafwxkv,1.0,Mlmwrupvxubojmmppebdxltrgczydhytgogtc,469.0,845953.0,Xkx11495,0.0,S
m,Xnqyjitsylcbbvuvgudhqatdmfutsjzkdcfhaashaajaqjscrtwerxpypctrvd,United States of America,,104907.0,ALXBYKTZCQPXBGWYHBWCKTZVURSPSB,2.0,,PA,O,Inglewood,70.0,uowxpugmnnuxva,MEMC Electronic Materials,EYMTKQPJDRJ,4.0,Itgsnomvhpgjkzvswxjwftnvhmkwfcpktnlndjvjwcoahzctlsselaxioxdqrmg,665.0,3146493.0,ALX11496,3.0,M
F,DMUSEJBKSJOSVWIAVXVFEHVWGSZCNBWFXKKFNFFNPGXPINPQUWLIFRXWVUXAZI,Canada,,123667.0,XGJILVPFSSCCD,7.0,1-091-240-1003,AZ,U,Nashville,73.0,ltirjvlwvhvrloemcmysodhyvh,State Street Corp.,Jtvxtmvplekw,1.0,jvnnbflminvbaiaklydhirjoufcvkwevoto,745.0,3655922.0,XGJ11497,2.0,M
M,uwbbggrcaracobartvaljlembvlfiunvbosfkvfuqhxkdil,United States of America,y,126335.0,bqomi,3.0,1-484-183-5682,British Columbia,O,Toronto,70.0,Qympovnrzflbivbglif,LSI,Zemosw,5.0,Nsadexrhdkjzezoygicmxpknhiwjaxawzyg,567.0,1701758.0,bqo11498,1.0,M
,QTPWJNSVVTOEEQWTQCSPLXWYPUKVNUF,United States of America,n,444780.0,Yoiulcsoqtrd,6.0,1-172-239-2338,IN,O,Waco,,Qvlfuzsyske,D.R. Horton,SBCAKCPD,0.0,Obidyvpwnmhijfwlunwkhspmiasxjwnzaczrfqvzredrbmycahaghk,807.0,3130656.0,Yoi11499,5.0,M
m,cdhhlfcsexlfvtfxbokiyipcdkupaawbwywcspzkgw,Canada,f,483924.0,Xuzvjfsgobdowzbfc,7.0,1-715-088-6861,Prince Edward Island,O,Victoria,9.0,Ptsdcei,Energy Transfer Equity,Hnsbraq,4.0,wblzufjivpdztysturyvhwnzilydpkaderdfsugt,507.0,2604263.0,Xuz11500,1.0,
m,Dlnanaqnnlaywkthugnzmnopbkthlxegagzgzhclngzpifnpsbrhwenflbglrlryyhg,United States of America,,50503.0,sihwnydoosaazxaczfge,8.0,1-088-114-5997,WI,O,Lubbock,14.0,Bydsfshmfpkssrscplvrjxb,Asbury Automotive Group,oeusecf,1.0,Dxxwsnhylyibcdrwyxhhfvxbgjkkpsnfksqqgdmmrgmwufesttfyyucpgmcty,305.0,2245593.0,sih11501,3.0,W
F,Surcgjsulzertvsbeujkhbtrbckcqwdemmxswsdztogkj,United States of America,S,213058.0,HIFIDZQRYQZWLVHZIEEUAKDNIQDM,10.0,1-988-423-9344,Ontario,O,Costa Mesa,41.0,TSJIBGSFMNTUCNILEKCOHWJP,Williams-Sonoma,Glwxogchzxmy,5.0,Xycdbpwnjbcjivpfokxyob,544.0,3087235.0,HIF11502,3.0,M
m,PDBRAFISRNEZKBBHQMOYRKVJBCTVDWWHVCTPMXOXQFENZUFTZCEGYBFCLWJVSQEHJSEAMHTSWMTQEYXH,United States of America,,,Thhbqmgdozwkalkfvracbsgdtoyupn,6.0,1-055-708-0614,NJ,O,Pomona,91.0,UJJUKWVGNUCCLH,Western & Southern Financial,hmntchnwzbrs,1.0,Hrwiquqvctecpgiilvtlrivkiscgvknihnodsrdcsrextpttldquzxawcirnxnrzrvevfznksrhjpf,802.0,2142510.0,Thh11503,,W
,Lbxijbxtcwrdzkonxerjmvsnmcndorhyjojrbr,United States of America,,117515.0,fjshrigbpcgxspbctlfceydha,9.0,1-803-159-6616,HI,O,Great Falls,,Ocrjqbxcrzrhhmrotdrtgjzxcn,Carlisle,GNEMMHDHAAF,3.0,Qwasqnlgnjunwghmoywngppnavchzdvsqbngsjqhrrrtlytzeqdfovhmo,359.0,29043.0,fjs11504,0.0,D
,Owifqpkfjkyxsqdpgthhikjeismfjiqdehobjoggltmpcabhnvbiknpgyvwlhetgwleaepwrmykcckc,United States of America,R,381308.0,ukavptukybkamcu,6.0,1-585-809-3747,SD,O,Overland Park,98.0,convumfoxmeiaiuv,Fiserv,Rrjjd,0.0,Aecuvyvpxqsaallvehs,691.0,1956217.0,uka11505,5.0,M
F,rcumrwq,United States of America,h,279211.0,Zfgzchcosuftrlibrqgrwt,8.0,1-565-568-1409,Prince Edward Island,U,Pueblo,33.0,Hevgxeukbicflpliamgezkyraks,Bio-Rad Laboratories,Pgalcytcn,0.0,MRIUEFBKRUDIWPCRDPMXJLNHOCVWSVIAIJJTHVDIERBGUULNHDFZFMYEMPMN,483.0,1229024.0,Zfg11506,1.0,U
,,United States of America,d,395264.0,oyapnhclfwaphue,5.0,1-639-058-1250,SC,O,Boston,28.0,htulyxbqmchwjoukna,Markel,Stanmkrhzct,4.0,UJJTQOPAPFRYOYHWOFYCJVDBMJKLUKYYJEDWZ,376.0,3650201.0,oya11507,3.0,M
,ISXBJCKTJGNREOWERINLVLKBDTJCLVMWGVHLVDHE,,,45730.0,Vbshgpameuxaivim,1.0,1-917-084-5824,RI,R,Alexandria,81.0,QXHBQIUFMUUDKLTDTDRVKFEL,Avnet,Gbvlpdbxj,3.0,Hsmnwikjjcaxkuuesbfcbmkqcdtommeybqftysqvxccjwbaywhypybzmbanluidwvolcg,435.0,3063906.0,Vbs11508,3.0,D
m,uaevcgfiamduyahdieedjmjirk,United States of America,B,143688.0,Pctakuieaqjubag,9.0,1-335-415-3432,SC,R,Mesquite,1.0,Ybgddiscqlddoqbvthfpkqwe,Philip Morris International,AAEQJQOUKUL,4.0,Whjjqwqflhjbtqqiixlvqvkbpoxamwquinpqupwkbhfstkpjhnrwwdvewd,500.0,3641742.0,Pct11509,1.0,S
m,VQASDSZUEVIOLTXNTDEPIKBQTZHCWRLHGOQ,United States of America,z,84182.0,Ijchxsimvpyitmfnwadntiglgvoh,8.0,1-761-782-9434,IN,O,Colorado Springs,60.0,vxexwvknbwpovlwtacloubxtoa,H&R Block,Eejdzoegse,5.0,,588.0,121946.0,Ijc11510,3.0,W
,egrxpyihxblxpxkigoiqkefzbxwevgyuszskyfnwnjbkpo,United States of America,,478671.0,Pjgmdngwecwxwipcctkdylc,10.0,1-627-199-1158,VT,O,Idaho Falls,97.0,catffpgjiixpgntv,,sgjihzmguij,3.0,Mifeqdbdhjnkmuswmaukfwrrbwxbiopmmecubiooxzojufcvtecfiskii,,348644.0,Pjg11511,4.0,M
,Ojbdpidwkszhxvcntswob,United States of America,,,Kvunxgtidhdsqrpycspkuewew,8.0,1-062-434-6774,IA,U,Madison,7.0,LJMWBWWHSM,Praxair,KPYWP,2.0,MBPFOLXCHNDDCTZQDJYHLWOFBODQIJDNIPUSBBPDGBIFANZDXXM,681.0,405674.0,Kvu11512,2.0,U
,,Canada,j,277540.0,ljyqhevjbu,3.0,1-109-110-9177,CT,,Sandy,69.0,KYNCEZDLSPEPWYMDXS,United Stationers,opyvffukybou,4.0,Dddzgjdbogkgeyftfgophwkryprooghyvbtnvdntujncoaidphsgttganbdfrrd,428.0,1693682.0,ljy11513,2.0,M
,Qjutszyvhjpqbojrkfamfboaze,Canada,,484421.0,KHVXPHNG,9.0,1-315-009-9882,NH,R,Fort Worth,75.0,Ssohhwoqymktqdgtwzroxfpzr,D.R. Horton,Uovbny,0.0,Zzhrcppynluphulw,505.0,2025986.0,KHV11514,2.0,M
,ZVHTWXMEDCOLDNFOUWWLQKREOBXIUDJDSBKNHAFBAUGQBQNFFOALVWISQQTVFCJMGKTNZ,United States of America,e,197554.0,Iegoxfqvricdnfpvkglbundfkikao,5.0,1-893-373-3312,LA,R,El Paso,86.0,DORSQGDNMPEKYBAKFPGGF,BorgWarner,WHLMMSRAUQ,2.0,Nhrylircchnrt,373.0,2444161.0,Ieg11515,3.0,M
m,Ufwtrpgjtbboqxijqkrswpktvwztirauqitaoegjfeofvnlgszwnrgxmk,United States of America,,306795.0,Cbamsuyeiw,0.0,1-577-012-7043,ND,O,San Antonio,10.0,Riigmtvsqyxttrqdnezedygcr,Source Interlink Cos.,rzhjo,3.0,pteeihentnrlcavomquhzjtxomiebs,634.0,1572804.0,Cba11516,0.0,D
,KGBIJTHBJRFJMLBQQKEUWBJVVV,United States of America,I,423496.0,ioityktbbmyuao,9.0,1-129-519-4916,PA,O,San Francisco,25.0,Hnhqvbrnadkuvvpgrx,United Natural Foods,Vimuhonx,4.0,Tzvqodkvufgwphpngupvfyxejefcwzjesgyhiaciwcgffwyanukbkjyduqrjuhss,645.0,3975018.0,ioi11517,,M
F,Cfhficzpjjtjuobriqwiqpblysqagmtzglvgbeiszhlghcktnjtdgwlwyhk,United States of America,,315394.0,YAFJBMCZRXDVGPCJG,10.0,1-530-386-1765,Manitoba,O,Nashville,85.0,OWLYOPL,Brightpoint,nhdpvvta,4.0,Vthasvghssmuxzoasfbjejqaorhcnjfarytobhbaudkggtldxueoqcfamnsuctyj,746.0,499689.0,YAF11518,5.0,S
,Caalaixxcqmnkxpkhnsmnbaaeqaleonvdjjsdnj,United States of America,y,257953.0,HOGLUCMYZDQKNEGQGOWPNVBIAOKC,10.0,1-754-326-0563,Quebec,O,Henderson,43.0,ARFQEETQMIEQOXWWFMMHMWHGPALY,Biogen Idec,Gyvphfdjduzd,5.0,Ppcasfmnsnpclbecocfwolfhyzwsvinbtbbblzuawckjtnigvefadkmijqjmffotrdisbvqwhrbfqsu,560.0,883778.0,HOG11519,0.0,W
,Mfaqcyszhtixngxunewqrfjfjywymkhnwmubtgiyurvnndcysiqljzbugraol,United States of America,Q,81967.0,ISRTITTXSIHRYDS,,1-945-691-6202,MI,O,Louisville,65.0,Qiwgvacwryndaocmqlhdhxc,Curtiss-Wright,Jmxujkzb,4.0,,421.0,3584233.0,ISR11520,5.0,M
M,yxikekljfagiffeyeaapzzsrlgnofqklcbvbgkohiguidga,United States of America,d,,HSKHFOHAIAIXABR,8.0,1-888-782-9978,Manitoba,O,Jacksonville,88.0,cjjbifghyerrjakhmvezs,Priceline.com,Elfftybbvtu,5.0,fbimeulgarmxrjggngcxemccyfwcxoiqhonolqyflkglifafaaebjcvmjbxkzn,490.0,2210616.0,HSK11521,4.0,S
F,Ldcpgtygyushro,United States of America,,428765.0,Qrxpcryur,10.0,1-865-906-2751,MD,O,Biloxi,95.0,Luzkeslttcjrwvtfoydmfzfnfjhmig,SunGard Data Systems,CLMMC,4.0,GMNIRNJAZVDFFEPIOQI,547.0,2051831.0,Qrx11522,3.0,U
F,lafzrgmiqgxqhknquovxaikcrtxnlgbadaypfodim,United States of America,,224447.0,Xireoonihvttrywftrn,8.0,1-271-624-0698,MI,R,St. Petersburg,23.0,mfqxqvgttgdhyaphbtcwigz,American International Group,pbvqocvbh,1.0,AWQPUZVGWDPIDXSGXVYIRCOGIE,652.0,3390660.0,Xir11523,5.0,M
m,yetyjxkocbznudez,United States of America,,206839.0,BMRLSMADKW,8.0,1-108-141-3593,OH,R,Salt Lake City,95.0,uipsaiwfwhiljvpwdkumwcfcd,Arch Coal,QHATTTF,0.0,ijadfhkavhfcbivuvqbdlkoyefyginpseyirubdglrpfsqgbdcrcdfvouldupjibezsqbokk,748.0,3701575.0,BMR11524,2.0,M
,ecotrnojdnhvdzljfeqzfcxqozqwwfwsdrqpohkhsrfwjsgwtizsj,Canada,,271582.0,pbdcseqnvrfbtgon,4.0,1-523-707-0480,WA,O,Dawson City,54.0,Xblsncjzcdmgzwiplftucfkujopwm,HealthSpring,weuncfmvwzt,1.0,iswqrnupivxvxiyrfffwahcmckpezxcqajrgijigwlwnhamovcirwg,423.0,1403626.0,pbd11525,2.0,M
M,Kcblwyfsuswyhiobxbsmbjnfsdmtmxeebmcpczldwtrgbiavldelmqmqqutkuosvdxhnog,United States of America,i,232001.0,wkmklhwrxtadqqnthwkubaync,9.0,1-267-998-2897,NM,O,Colorado Springs,23.0,Vosdkdlxqbyhvqujugekmjjdpqvmiu,Ecolab,SOBGLJAFKC,3.0,Bfvvdukbsvmrwxyrrookvixgeuotlvtjmwmnftzumvunsxwmhouxnamrkjz,437.0,187912.0,wkm11526,5.0,M
,Udwhhvzjpisjmcajzhxmcdevcpbcokfazkubbhti,Canada,S,455887.0,tzjlizvxkprejjzt,5.0,1-457-658-0617,DC,O,St. Catharines,31.0,Bllpmvmtznlmyttqb,,,3.0,ipbvxavmzhzceugcrsttdhapriofcmslkqcgnideldtmatoyyfivwmtpkqkim,673.0,3874696.0,tzj11527,2.0,
F,Jhiymhevoqd,United States of America,,272509.0,neahpkcvqnexcupxztl,1.0,1-948-486-2292,MS,R,Windsor,25.0,PGYVBNGUASQQAHHAWRPIPXTQIMWBD,Amerigroup,crrkzu,,,536.0,1689525.0,nea11528,5.0,M
,,United States of America,,123378.0,gthixgianvzhebpnwgx,0.0,,SC,O,Overland Park,71.0,Vjyvvzueowwv,Kraft Foods,WEEBTXM,,FIVMLFXLHDGNHITA,516.0,3397841.0,gth11529,1.0,W
F,GHANZZQJTTNESSSIADYOPCCHXRIXYDDYCUEDTKJKUWHBXUIYEAJUHWYLNZIFQZNKEGVQIDUBWRUIAPT,United States of America,W,2706.0,hwajlxtqunqhspecghtdrcqqnytxeh,9.0,1-292-986-0278,ND,O,Montreal,44.0,Jfupbevdirblziwkrcovakhqrdf,Amgen,Pampfufdemz,2.0,EKBDBIOSBAZLRUDLBOTKUMOXZVSNNIZKOLSZZTMFBHMTFUAC,729.0,,hwa11530,4.0,W
,FTPMFVJLCQUWPIOVBOYOLZGHTOUHOOQAZXZTBMRNEIUVM,United States of America,F,,Nzlxgqeysmvxpqcrjvhwwebqcor,6.0,1-927-222-4298,MD,O,Chesapeake,17.0,Lwdqgclbtxu,Dynegy,Npwioef,0.0,Etufcuvuyerkuhpfbelauddaeelfdgwierotlcavpbnhtbefvddabejicfrktutpggwemlhejyvghem,471.0,,Nzl11531,3.0,D
M,idcctqgxlrafgcpcafkhoxrtmovjhlgpasnayvszbmwbsxkfedkbvgbauueenbcwdgaohnnagwn,United States of America,F,90397.0,KLOGOTRYLQTJFGUYBKEVFGO,10.0,1-596-806-1448,WA,O,Bridgeport,71.0,lkzjjofsqjlyqrblrbkfduzmceskrm,Brightpoint,Jpgtxyzxzi,1.0,Gzoaiwjorimvjrexeatjhkv,639.0,1522259.0,KLO11532,5.0,U
F,Kwcbctjfzcmwhxsfytqtjskydsauguzyeblisodchbyyjugukbsb,United States of America,,82058.0,Rmjajcbvnfscvjmdctsmqlqiixkftk,3.0,1-874-012-1985,MO,U,Lansing,98.0,Lvbmcsthctm,Perot Systems,gkdlmgameveg,3.0,Uxbqayyalgmknisjtkphwdapiraohrpcsgyjepnohbvphvdtonbjxmpwtpilj,673.0,2328821.0,Rmj11533,0.0,W
,Dwiwvfoacsvzlcfqzjwbmsov,United States of America,,212697.0,Oiwlhiexpjjfndkn,9.0,1-256-442-2059,Saskatchewan,O,Costa Mesa,33.0,RYDHDXGZWRDYGASVFRGN,Regions Financial,Rryuotuift,0.0,Dpzjumyirfmxsczupatnvcyy,799.0,654662.0,Oiw11534,0.0,M
,Vcfjcucxzdmw,United States of America,,167386.0,HDQCVHOII,9.0,1-335-264-7696,SC,O,St. Johns,77.0,Fubsrgkqfbkgdxx,Furniture Brands International,XLADI,5.0,,796.0,907742.0,HDQ11535,3.0,U
m,uyljrfdybojtasikneqluedvsmajjhvwoaraklnuyzeagohfaq,United States of America,V,41458.0,RUVQGLNL,8.0,,Manitoba,R,London,23.0,ncluhqvoonxqetpyvpqgz,Tellabs,Vgbagzxp,0.0,Tlbjwjwvczzjpvrdxzlssfeqlecirxibbminwwczqtsdwzumfuxfxhyc,840.0,2716450.0,RUV11536,0.0,M
,nuhatmircwaalxnctaayrsixgqnrahcmzykwpdtgkgdfocbeiojbegf,United States of America,,36417.0,Ywlmycjajogsptyemkbzd,1.0,1-438-727-7065,NC,O,Flint,61.0,Ogxidldqpgohhnnogsv,Stater Bros. Holdings,WEESBIJATUKN,0.0,Fpzintveavgtezvqpmocallovvsdinewmsswbsmyvalpqwdfgcqvbv,847.0,1647669.0,Ywl11537,1.0,U
M,Thbtknxmxvgwottqsqcy,United States of America,,193859.0,Dbobvilaojkts,,1-764-564-5161,TX,O,Lowell,28.0,Nucymirhyeubczrnf,Jones Financial,Xfurfxm,5.0,Xlbszihmmhzxotcteyhpfjoyttmlhhlevj,343.0,3033100.0,Dbo11538,0.0,U
m,nfucoxdjsrxliwdbpzoszrgxuuqhmjcgjxsgxjnkplicyxbbmmvkbwrjmttrlwdf,United States of America,q,102753.0,Gfiqugnufzheeqekun,10.0,1-127-828-5452,AL,O,Evansville,17.0,gcdpxkmivo,Verso Paper,Dfhfhun,1.0,Essldrypnjtro,353.0,1557755.0,Gfi11539,,U
,ifgzbwrgrrquwrqqdyychpedgceqbqbfjyiyrtgoeutkyzlwlnvhkrrpuhrfsmcofxwws,United States of America,f,173965.0,cgvcghbrbgwbnqxtxhprmh,6.0,1-920-233-7427,FL,O,Grand Rapids,25.0,GKTOSAQTSYHZKUNAWATJVCPVOQUHT,Lithia Motors,QAADZLH,0.0,,697.0,1999215.0,cgv11540,2.0,M
m,Wfeqiqyzb,,,201467.0,shnepmfxuw,7.0,1-177-323-7392,SC,R,Hay River,8.0,Lrnvycrvfiooltcej,American Axle & Manufacturing,Fcbhlsayyhkh,4.0,Unwzmxloinasctnmfjbqpjksgbxpwapllvv,516.0,2874861.0,shn11541,2.0,U
,,United States of America,,,retgktjjdvbxcjqyqifzy,3.0,1-490-155-4253,Alberta,O,Salinas,58.0,Capsdvwato,Marriott International,Kayqze,4.0,Wbupsyzyteptxdoxiqtovyldhtatcpzb,438.0,,ret11542,4.0,M
,PWFKKSMDOIUJXHEGWBCXYUOOUIVFKGWIZJLXVBVGSDUAMTMMPNRVXNXOPEKS,Canada,a,28969.0,Otakduk,6.0,1-838-612-7853,NE,O,Orlando,72.0,IBEWB,Brinker International,Ijcauieudwmx,2.0,arvqrcitszveffpxfzzwjunyutgteaalrxpcxjzuuveswedellsdjd,363.0,2871608.0,Ota11543,2.0,M
,Qpdhqegulxwcvgupwodloamzorxpyg,United States of America,,313942.0,ZXKXEGEK,6.0,1-964-006-9835,NH,,Anaheim,6.0,Wrkrmbfrlqa,Laboratory Corp. of America,GIBXJTC,2.0,rpmupmivenddo,,3310218.0,ZXK11544,1.0,M
,Diburmxmyzvvedwu,United States of America,,65994.0,Plpovuhwuhjbyhbvkfkbky,,1-097-415-0952,Newfoundland,O,Sandy,83.0,LBVJTCREOWF,Motorola,axnsf,2.0,WZWMMUJMVCNCUKPUROFHWDIAZBWHLRDSXPE,666.0,403830.0,Plp11545,2.0,U
,TRHDKKFWQXMWWPQXEZHUSOCUZVQAY,United States of America,,330590.0,zwdmpzxizk,6.0,1-077-313-2992,WI,U,Lincoln,23.0,HJGLSOWMIMLJKBKVFZASXZJULFXSC,Lexmark International,ZGNGBV,5.0,zkszgznvcjvncvwyejlyrqsgkxluilmgnhjifhlyotofpfwlvptyhiw,450.0,655164.0,zwd11546,1.0,S
,NJXVFNMAIJQVYOANOIVTDFXJRGJTGYWRKGBHQJWFRARXKJUTYOOCNPYCVHDJOFTURWOBOHKINIBOHIT,Canada,g,44060.0,Nczfjuwbvimvxu,9.0,1-768-923-7360,TN,R,Winston-Salem,,LUXAAKFGOORBHFJWFMULQSLWZNDIK,Entergy,Aakhsvfij,1.0,Uojkksoubvftmqkoywexzbfnyzokfnlnucjmhkzojxnfhrooknxc,697.0,119583.0,Ncz11547,1.0,D
M,qugnosvssiwhfxrpvdegcjfhgeifmhaejbabkhipurbpx,Canada,,251389.0,OUYCYSTSIMGKISDWH,5.0,1-165-440-9323,KY,O,San Bernardino,45.0,Jgyvgxdmpt,Cameron International,Kbebcn,3.0,Quevorfsaegxouurqdwuanazhifroscsuzekkt,,1762835.0,OUY11548,3.0,S
m,aebgprpnpetspdugkmkgmjojxbqvb,United States of America,i,360414.0,Niioa,0.0,1-357-474-7155,MN,U,Lewiston,93.0,GPUOSHOCA,Southwest Gas,Cclymxajqbg,1.0,Toyzmucdjocoectveqebeztiybzcbvupnewn,781.0,3523125.0,Nii11549,0.0,S
