prospect_gncd,prospect_frstnm,prospect_ntwrth,prospect_mplr,prospect_nmbrcrdtcrds,prospect_lstnm,prospect_ddrssln2,prospect_mrtlstts,prospect_gndr,prospect_phn,prospect_nmbrchldrn,prospect_g,prospect_ct,prospect_cntr,prospect_nmbrcrs,prospect_stt,prospect_ncm,prospect_crdtrtng,prospect_wnrrntflg
AYO13727,YTZBVRDMIEYQBKXWJI,430920.0,Corn Products International,7.0,AYOWBUBVPUNU,Knpmonddppogdlbxqukmgahlttyilppwfukahiciovabsqsuwmqiovltqppi,D,,1-538-565-4671,5.0,20.0,St. Catharines,United States of America,2.0,PA,464015.0,549.0,O
Slc13728,lsgfcsbquignglodjcv,2265091.0,Buckeye GP Holdings,2.0,Slcnhroitwfimxbsmoxnwjvoc,Tlgmseplucbakknxittidv,U,,1-865-497-8774,5.0,20.0,Austin,United States of America,0.0,MD,411225.0,314.0,U
Mhq13729,stnogojvxplhqciqudmwinh,2804089.0,E.W. Scripps,7.0,Mhqibegijpzkbkjh,ENIFPAI,D,A,1-599-556-5134,1.0,64.0,Milwaukee,United States of America,0.0,FL,318385.0,635.0,U
Gga13730,YQRUFPLRGOSTA,2287522.0,,3.0,Ggawtaejyywkm,hysnnxlfumgbeubhiptcgwf,M,f,1-954-849-9538,1.0,68.0,West Covina,Canada,4.0,Saskatchewan,484884.0,665.0,R
Pxd13731,Fwcvusss,1265082.0,Entergy,0.0,Pxdajyvpdokfn,uqticgaoskpfhpbkczhzgewsfhiwwzbasdkcukxgxokvusdrkwwktqacnxfhposeskfqxqqqjjjr,M,F,1-786-777-8660,2.0,98.0,Las Vegas,United States of America,3.0,AZ,449492.0,551.0,O
Jqb13732,ahfzfpev,112369.0,National Oilwell Varco,5.0,Jqbstgntwfdcckfjpwpnfkxjklbl,SOGCZAYSBNEEUJLXSYXZGYRQFIJMTBPLGPTSZRUTCIZTQUBMGRQJE,S,,1-852-132-8864,1.0,6.0,Tucson,United States of America,3.0,KY,354548.0,544.0,R
Lqj13733,cuxaygopmhokfdpkjgcouzrjatzzem,1985713.0,Hasbro,,Lqjxdbifheuvwuwlpfifsqmycwlj,wlxkmozlnqslzhwuhtvdtjtwczue,S,F,1-544-887-9062,4.0,28.0,Yonkers,Canada,4.0,DC,97936.0,681.0,O
srq13734,uryvwhnrhpfupgwisizsrhhlgxz,3582449.0,Public Storage,2.0,srqlnbb,BPJYWMSOQHPFHYWQQZSJESNBYYSLTGRCVWFLMZBHJDGDEXVSMJRXBYJFFMFZHTEEOENNQLRER,W,,1-807-397-7626,,,Toronto,United States of America,2.0,IA,384151.0,520.0,O
Gxi13735,AAZSFIKCXTAARXELLMPGJ,2000712.0,McClatchy,3.0,Gxiaoelcpkvdvzwe,FWSASPZTHAJMQKOVJHUSSZDEKAAYGQIZONAPCGHCQXOOFBEUTVJFYWBKLLROOKHISUIRGDQVFFF,M,,1-173-450-8902,4.0,19.0,Chandler,Canada,2.0,MD,331712.0,649.0,O
Mad13736,tpdvyh,,M&F Worldwide,4.0,Madrokmegkko,Vqligwtwaqgcuddb,W,,1-135-225-1718,2.0,92.0,Philadelphia,United States of America,5.0,VT,5296.0,613.0,O
Vcg13737,WCGNQUFFAI,2637224.0,Honeywell International,1.0,Vcgbyxfrwuxdcaokiozkshjz,Jrubcmfjifacwhqsgex,M,,1-699-421-2418,0.0,42.0,Plano,United States of America,1.0,CA,377357.0,382.0,O
Trq13738,Fedaufcdnerppnmkac,177026.0,Bob Evans Farms,2.0,Trqjyokrcug,Jlvghnzhuayadifigkziznfawwnssjlzzlthvqrxmmrursunzxihawksu,U,,1-135-472-0590,0.0,91.0,Sacramento,United States of America,3.0,GA,257310.0,,O
Itd13739,vwsezckwshlicognnil,2914749.0,Honeywell International,9.0,Itdmpse,EUIYYQCCHNYTCRJQUNPEFAGUWPTMWOKZARPSKNUBPWOMBOPEPN,M,,1-720-143-1712,4.0,32.0,Anchorage,,2.0,British Columbia,199354.0,725.0,R
Aje13740,TCKEPJLPUD,2090382.0,Hospira,5.0,Ajeqkzfrqlloxch,ipqootxyxlfkwqypwxfmovjwempyxfvxvqpxvsziz,W,,1-016-811-8275,4.0,36.0,Yonkers,Canada,0.0,NM,352212.0,748.0,O
Pup13741,Mknirvgjsummnmwshbnonpltzwq,3018111.0,Rowan Cos.,10.0,Pupscmgecjrruwimhvigtsgwu,Zguxdgjvuunytqsaskbxedra,M,m,1-495-417-0660,0.0,17.0,Whitehorse,United States of America,5.0,New Brunswick,414017.0,560.0,O
Orz13742,hoalipkibalduangfxycrvbjpzxsr,1872872.0,Family Dollar Stores,6.0,Orzbjdha,Nrtrkrwfsdzqqzrhpiuitltickdiwekantyuhaofiqj,U,,1-225-064-8158,0.0,16.0,Houston,United States of America,4.0,NH,197659.0,674.0,O
Xym13743,YOOIV,209567.0,Marsh & McLennan,6.0,Xymtgrwxkffgqizmjraxdrd,vhdluxmcsnsegfizfunikzinktd,M,A,1-660-593-0481,1.0,47.0,Virginia Beach,United States of America,5.0,OK,49832.0,531.0,O
Ywb13744,Rjxjbxuh,1030476.0,Olin,3.0,Ywbbbikcryxsvp,Ytcvvpxwzvgpqzssoavgvtnjhhxzmdtldqgcdqptahwuwgwzqmsbi,U,m,1-474-255-4741,1.0,64.0,Washington,United States of America,0.0,PA,,681.0,O
Itg13745,EAPJEELKD,3817291.0,Markel,4.0,Itgmrqpdmznyjvolyddbspiqrbfsnb,sfuzcrdllrplhg,M,f,1-391-575-8612,,35.0,Pembroke Pines,,3.0,Ontario,195494.0,712.0,O
Qxu13746,Juzezyygcscwbjcfhmsoigd,2316418.0,CHS,2.0,Qxugfmlsidqrezx,Htwyfapdyqwhjoqisfkfnlczgztbpduecd,M,,1-656-854-6570,0.0,69.0,Irvine,Canada,5.0,NV,306382.0,,O
Mig13747,Wtjdzjubogiovztmawokqvoe,1131067.0,Merrill Lynch,7.0,Migbodalgsnbgjnyeeked,Uzpnktwrnyx,S,,1-497-414-7815,4.0,64.0,Oxnard,United States of America,5.0,AL,484360.0,344.0,
Sid13748,wdwnqgxolnjmsfludfrlbwnx,127489.0,Equity Residential,10.0,Sidjernvkkmehkkckw,TDKEYTTZUYCBDQRQCLLUPDTCBZBYEDYCNTLTONOLYISJRG,U,,1-177-904-7037,2.0,35.0,Boise,United States of America,0.0,Prince Edward Island,196241.0,391.0,O
hvk13749,xzgwguohsxvokwssxlqm,2531303.0,Fannie Mae,1.0,hvkvcbtkzmegisupaur,Xemzulpqmstlrogwvuzsqshmqkizg,S,,1-480-130-7578,2.0,4.0,Alexandria,,3.0,CA,420630.0,618.0,R
Qev13750,Wghluctyflnrwkusknqp,1949100.0,Pfizer,0.0,Qevkredidwax,ckrwcbxiwoepvuiucfaejmitotlqapwrlrdlpfgotznawmvxzivdk,M,,1-269-429-3803,2.0,3.0,Santa Ana,United States of America,,LA,416183.0,517.0,O
Ypo13751,TFAKAAFGAXUBIGOAJGT,2065718.0,RBS Global,6.0,Ypowpnwbhchlbe,Kidknngxtivpzavqzwddpvsbdezbbkp,,,1-233-929-5349,1.0,71.0,Chula Vista,United States of America,5.0,Nova Scotia,497832.0,,O
mht13752,EHCLHLPYPEPKWIHJWDVFEDGROHT,2984018.0,Consol Energy,2.0,mhtmw,Qraproghmdcnmknibkpaefvtvxqjdejjilmjgigxgpbezuvgwcbwmc,D,F,1-371-929-1442,,39.0,Newark,United States of America,5.0,WV,396478.0,779.0,O
Lcd13753,SZNSEDDPOQAEZXMQDSRPYLOFFJRFT,2458908.0,SAIC,8.0,Lcduhpylri,Zfpzsbsgsfbufvqctwsohpjscinfutawffgaixoygnzbbgwqxxsedvsasnakkgttvnhnbosmaqxdbu,M,f,1-451-600-0401,2.0,79.0,El Paso,United States of America,0.0,New Brunswick,305111.0,719.0,R
QWL13754,RQHMCOLNILIDVSTNHMPZS,502081.0,Administaff,9.0,QWLVTTK,tfwjpkqaebueytsrwsrcssdfutidixqzmhawjmdppokikmvrcnspjtiujewrakobcmigw,M,,1-879-982-1478,2.0,8.0,Moreno Valley,United States of America,3.0,NJ,79098.0,767.0,O
Sek13755,vvwdinhfwtjlxh,1198211.0,AbitibiBowater,6.0,Sekdnddbooqunbpjlaocwzvuikabu,Phxglpjvjjmszwfbounhxa,M,m,1-887-388-4385,0.0,19.0,Phoenix,Canada,0.0,CO,435158.0,551.0,U
Vhe13756,ZHSRKLEEN,557925.0,Cimarex Energy,5.0,Vhemoy,zvfhoxqlvyfkdkqemvwefkphdeohhanzzzenxmlgvnkgvkyhjhyfhbjhwxtxunewioduhjcakuuwgur,S,f,1-931-641-8473,4.0,59.0,St. Paul,United States of America,2.0,HI,248127.0,396.0,O
fid13757,fnytdgouxolybzhp,1099807.0,Warnaco Group,0.0,fidlyajxdbvboiotcplwaks,Xsnojthzgxkpixjearhkadsocxwklanotltzcbeavtwgprqfqjsscfrdgkgnjbdlwzllskbkrorsonre,M,,1-758-403-8351,0.0,26.0,Austin,United States of America,5.0,WY,27905.0,595.0,R
wle13758,AJJVWQTTHJFOAC,3136316.0,Pacer International,3.0,wlepssrzadwwhqaddumowdolgiki,Fwwwteoquovuaweezlzjivejiqsn,M,,1-481-337-0912,0.0,43.0,Laredo,United States of America,4.0,RI,449215.0,431.0,R
flp13759,Ygshnaonzhuvxmdbkbll,728714.0,TIAA-CREF,7.0,flpuakifecaekcvgfwqjiud,VEPQCCSUSCMETBDF,M,,1-606-686-5015,3.0,60.0,Vallejo,Canada,1.0,OR,423923.0,783.0,O
rui13760,Uoqzfnlqckmavck,1571778.0,Sysco,6.0,ruicalydslzjyxo,Fcekoljchzinmawdacacvjikukkmsfhzhosgmjgftrtswbdqpqfithvpobpxrtfmrbxipdwtrvrdncvh,M,m,1-652-254-3647,2.0,46.0,Milwaukee,United States of America,0.0,ND,210012.0,433.0,O
SFY13761,Drrpotxidmwjppjlepp,545541.0,CC Media Holdings,8.0,SFYPTDXEHXMWHGHYMKWMGBDKSG,Njodwlgpxgbzfnuriy,M,m,1-023-145-6817,0.0,88.0,Halifax,United States of America,3.0,AL,425358.0,435.0,O
CPW13762,PUJRER,1511908.0,Johnson & Johnson,7.0,CPWMMKZT,Orsgqnlqoohbypgbcflimyydxrpyzwgkiqgdiwyoudqgpmtqowoqndyvzugctdojpuc,S,,1-151-692-6945,5.0,78.0,Saskatoon,United States of America,2.0,Manitoba,438498.0,796.0,O
Vox13763,Vbyzawowehtxnyir,3632895.0,Popular,4.0,Voxyhkijqkrjnjwguygmzdof,ATMUNKUBMXHFWZEFAWKIKYVTLGIPMVJVSDIAOXGFLORJKLGLCLPGLDT,U,,1-677-484-7773,2.0,83.0,Las Cruces,United States of America,2.0,OK,125217.0,456.0,U
UOA13764,Gctibh,172690.0,Family Dollar Stores,5.0,UOAZXWFWJEXOVMVYJOLP,cfuefcefeuxotpjkj,U,,1-821-630-1765,3.0,35.0,Topeka,Canada,4.0,CA,463486.0,373.0,O
ZQQ13765,Ykhtroon,355037.0,Whirlpool,1.0,ZQQLYZMNOXL,Xnwardooiejozrqkdhrqumojrlcerytebh,U,M,1-080-328-0658,4.0,,Frederick,United States of America,0.0,HI,189628.0,464.0,R
PIZ13766,EXVPSJRGAPJNNZXEVHPV,634764.0,Metals USA Holdings,4.0,PIZWLFQEAYFSOHYXVQBS,PWGXEWUARALJFECPAJCVBXQQQJWOUCKJMYBCNUODFBULUKWSVRWHKTBFRQPMWIPFSTYMPYCT,U,F,1-343-113-0964,1.0,94.0,Beaumont,United States of America,5.0,WI,403506.0,346.0,O
Ort13767,srusgjliyhcwphrw,2182142.0,Warnaco Group,5.0,Orteyllzdq,Ggihjygemod,M,f,1-163-860-5623,1.0,52.0,Tempe,United States of America,2.0,WA,45514.0,692.0,R
QDF13768,Ayjpebbuuxgyallvwwbkhozh,3773350.0,First Horizon National Corp.,0.0,QDFRDNRNDUENBLY,Bzvjrtp,M,,1-266-475-2011,5.0,47.0,Gary,United States of America,3.0,VT,489482.0,,O
EBM13769,Aqohnkgaltglffnrsyhkpxtjugzdi,771899.0,Marathon Oil,10.0,EBMJFWHQFAEXQTMJINRRDTKOOQS,leczkjwpastqlher,M,,1-429-830-4258,0.0,21.0,Saskatoon,,4.0,MS,154735.0,787.0,O
Wmz13770,XCFUNCNK,2842423.0,,1.0,Wmzhq,Ldhgbeucxwlormcvglpeavdwhhgsuyuotsozxvdtpplzjkzpwdojxfflss,,,1-978-194-8030,2.0,66.0,Anchorage,United States of America,0.0,CA,352530.0,704.0,
Pez13771,odxkf,1139016.0,Itron,9.0,Peznrt,EYIBSXBOBUGDEURJEM,W,F,1-828-143-0666,4.0,22.0,Savannah,United States of America,4.0,CA,61678.0,544.0,O
JCG13772,Nkczcjpcupq,1027740.0,Aramark,4.0,JCGCWVHOQCQEKQNYWQOWCPENNY,Uifwjzgoakuzriguphuzzkscpncpxoercfsq,U,f,1-218-604-7948,1.0,31.0,Syracuse,United States of America,1.0,TN,334355.0,697.0,U
XBV13773,NGLOYVYTN,1998272.0,Clorox,2.0,XBVHKNLFYNV,BYOCCTKWWEEEASUFWBZBVWSSIOYGQMLCRBFIEENPKWNAWZUWUEHTAEYTBJPNDPGMJ,,,1-377-529-3325,2.0,62.0,Pasadena,Canada,0.0,New Brunswick,394497.0,345.0,O
Els13774,INLFMTAGXSSPJ,873037.0,Con-way,,Elsamkoobqlaopsiwmklluex,teftic,M,,1-954-369-3310,4.0,53.0,Sterling Heights,United States of America,2.0,GA,141962.0,553.0,
JAU13775,puoaydmcgixgpplmkssg,2952360.0,Werner Enterprises,8.0,JAUPYUXUFCZBQMNP,Kesiemhlhyhmogsvuqtoegjtfdtrpqvyedppyuhdjkanfelffmdndtzmverxui,M,,1-180-703-5329,3.0,51.0,Cedar Rapids,United States of America,5.0,KS,311236.0,826.0,O
Lyx13776,FDJBVTAXUOQMVHZ,97482.0,CBS,0.0,Lyxtkhdceqspdducggksv,Knonudmpvqchddhecdkxlgzulnqmjyemweaeaabzplzflimsbtmiwrpkrjmjpvauyhoncqcdv,U,M,1-527-757-5479,1.0,83.0,Washington,United States of America,2.0,ME,250483.0,635.0,R
Cdh13777,ibvoduvgppdnmsmbmespasxkh,3711233.0,El Paso,2.0,Cdhuqs,Zaptcxwi,M,,1-902-186-4094,2.0,40.0,Boston,Canada,4.0,Saskatchewan,103246.0,616.0,U
pig13778,Jyryy,14331.0,Hartford Financial Services,4.0,pigcvgzlivujkjkyun,jldrmboukivromsurybrsnaquxcyirefyaphruqduxzkmesqbpkilovhwedjbw,D,f,1-724-204-7272,3.0,70.0,Modesto,Canada,4.0,VT,208301.0,630.0,R
tji13779,MCLFYKEMHPRHTAFNBQNKQNETBXAPRM,2828228.0,St. Jude Medical,5.0,tjixqsaelhbstk,,M,,1-634-438-6701,5.0,100.0,El Monte,United States of America,0.0,RI,491708.0,376.0,O
Kpf13780,Rhvfefjxsjqnqdypenzg,,Honeywell International,8.0,Kpfpdkkrtvggjpvgmfqtesfi,qntqyansomtjceqykaxpdkqzidgetqikdginrqxxzfvywixgfutwiedcfjoq,D,,,5.0,89.0,Las Cruces,United States of America,1.0,DC,488999.0,828.0,
wkl13781,lcotwbwawwjpcmdrfxqyfj,486141.0,Target,4.0,wklhimexoo,Jviqfrxtfkwtrfjhvlhbdelicgixwyxplafhaxzxmpffgqoidyametwngrxksfveqwhanwikelyirwrb,U,F,1-503-676-8492,3.0,64.0,Scottsdale,United States of America,1.0,NY,492638.0,467.0,O
Xik13782,kxzzviplagcartincqmyniyiwsodst,1760259.0,Energizer Holdings,4.0,Xikbsymgslctaa,Vecgaxcoghcdyddiaabveimneebhbfcrpkonykvrncpcdykoc,W,,1-706-606-1911,2.0,,Pomona,United States of America,3.0,OH,20329.0,481.0,O
Atc13783,xtviuxjnzumqbclgwhtrtdgbfnt,855891.0,Cytec Industries,1.0,Atczaqi,rfzrwajccltkbdhrmseavacljibsducrvyjvwxxbywqxeyosmrsbbbhdulqyzhpj,U,,1-820-593-1409,3.0,90.0,Knoxville,Canada,2.0,WI,,308.0,O
Rjs13784,ovwxioildaocgyhrnqkyj,127685.0,CarMax,0.0,Rjsftvdtzjpvbahfezmxmflelurlga,LRQBUVHOZJNADDQMOLORIYALISBFYWYWPHLRRXFZQLLFOHBRHHTXLBKZCYGGTMDMZHRHXVPAXWTM,U,f,1-134-061-4963,3.0,85.0,Evansville,United States of America,0.0,NM,55015.0,671.0,O
QHL13785,Ahrwfeitpvoqvdluawmtiyqie,3863766.0,Consolidated Edison,6.0,QHLAMUUHJPKQEUWTRCSEOROFEFOO,Qrbuysppzmgnfrcmbnkqoafbegffwuwpstwnwnqhhnxuzdmnbzrilipdofutkqslwohiqnmbup,M,,1-211-051-7342,1.0,80.0,Torrance,United States of America,5.0,Prince Edward Island,44621.0,762.0,R
Aom13786,Kttmsxvpgqexsg,830470.0,Synnex,8.0,Aomyhgnaqsoyn,Nmksgvyekksxvmhykr,S,M,1-644-484-6346,2.0,71.0,Warwick,United States of America,5.0,FL,207270.0,444.0,O
Sje13787,ewfryllqfmemzuzcl,3715827.0,Ford Motor,3.0,Sjednvzsngtcxavshcnd,Oysqvugrqtxoaxgnztyb,M,M,1-054-472-9826,0.0,26.0,Louisville,United States of America,0.0,SD,102903.0,415.0,O
pag13788,DPZWUTUMTURLSANWOVAFLILLUV,2079456.0,Clorox,,pageinhwgfgcddbdsjbrczqik,,U,F,1-736-676-8711,0.0,10.0,Grand Rapids,United States of America,,OH,253012.0,422.0,O
Ckb13789,SVOUGPBEJZJUUZPWEVGCCSXMXNR,2604476.0,Telephone & Data Systems,8.0,Ckbrqpptcjopetftaoeesccqe,Whlyrlolbxxqufxeqqbvzbqbogsnqyjseozfhsxwvkvgzkecwwoohqjl,U,,1-636-962-6329,4.0,81.0,Winnipeg,Canada,3.0,LA,30409.0,440.0,O
Mms13790,Oiranyj,3104406.0,AmerisourceBergen,9.0,Mmslpufjtlcuivlkiucilsnujukn,Bagsguwpecdconrvkvjkgywqbcfdfnwzzrhcgvvuncdixprpojedmhwnbpddchduzv,M,f,1-486-252-0219,3.0,45.0,Henderson,United States of America,5.0,AZ,219732.0,713.0,O
nfj13791,Adaobt,3881905.0,Laboratory Corp. of America,5.0,nfjvvq,DXCHEHZVOUKUAZCXFUYCXCLQNUADDROLTN,D,,1-983-460-2184,2.0,61.0,St. Catharines,United States of America,5.0,TX,77711.0,368.0,O
Roj13792,Nphajdbrqrfdrobgfxh,777746.0,Schering-Plough,6.0,Rojiybjamlitdzsvdjgk,,S,m,1-069-956-7581,1.0,3.0,El Monte,,3.0,MS,,355.0,O
Gni13793,Gidyilskfolteinud,3162422.0,Advanced Micro Devices,4.0,Gnisahntwgtaevsqhcjfzgbeih,,D,,1-323-061-3442,2.0,50.0,Pueblo,United States of America,3.0,ME,249773.0,632.0,O
KQH13794,BQOUGKMUENHXLLPQB,2408368.0,BJ Services,8.0,KQHQRJ,BQCIVJVECANEWECRL,U,G,1-219-960-5106,5.0,94.0,Brownsville,United States of America,4.0,Manitoba,281314.0,315.0,R
HCA13795,frzytfasktzugs,3554911.0,Ferro,8.0,HCAGDKAFADCYOCHNDOOHJKW,Nvwycuxfuxfvswaztksgravfihvbfjyixocyehriyxqofifyulczzoaowfctxvnhj,,,1-523-492-9177,1.0,99.0,Hartford,United States of America,2.0,ND,257328.0,712.0,O
zut13796,Zksojsunadbmwjczcqubxdl,1257335.0,Hubbell,0.0,zutjzwqfc,mdlgwqzjortklmzpzbvdifjtjxoiioudofb,U,f,1-751-026-8148,0.0,,Bellevue,United States of America,4.0,Newfoundland,374668.0,453.0,O
kmk13797,ezwnkgjmrpvmnhrxfp,3144867.0,McGraw-Hill,7.0,kmkdccvrprpzwoehfutvt,Qwmmgkmunbmfuoojdofxwupgevvsbcusoxdvchfzjkzpakghbezmfsbmqqeozpulvjjzvpxuleejy,S,I,1-584-422-5781,0.0,34.0,St. Paul,United States of America,1.0,HI,140052.0,608.0,R
nqt13798,Gejjlgqebj,1812238.0,Barnes & Noble,6.0,nqtobiqfpdzxrfuxpfr,,M,m,1-131-682-3552,1.0,74.0,Fargo,United States of America,2.0,DC,435817.0,709.0,U
Iss13799,xrurawna,1194106.0,FreeportMcMoRan Copper & Gold,7.0,Issyaougkqqszgtut,hlmneoltgrnkyar,M,M,1-085-091-3540,1.0,57.0,Cincinnati,United States of America,3.0,Nova Scotia,201019.0,,O
Hit13800,vwtvdbstyqwsdpokg,615485.0,Reliance Steel & Aluminum,6.0,Hitmuaxqjxdhxgprwewmzn,,S,f,1-724-632-5838,4.0,,San Bernardino,Canada,3.0,NM,152803.0,758.0,O
leb13801,qtbimtubxmftabuqgz,3117125.0,OfficeMax,5.0,lebsgmejvxglmaiv,Vobxjeefcatbqvcrxhvfxvxkupfpahfvfvduvcpssldkyn,S,m,1-387-973-8002,0.0,86.0,Fayetteville,United States of America,2.0,WA,213023.0,369.0,R
Ncq13802,Zrvgmq,1810673.0,McDonald's,1.0,Ncqux,Anrzcorequitdbiuefsrso,W,,1-369-851-9584,0.0,32.0,Billings,United States of America,4.0,VA,118402.0,662.0,O
Wwo13803,kwbmrytpfbubgnpqwuuop,1255842.0,NCR,8.0,Wwoqwhmhpcadzbvidaavhjoe,PVYFUEXWTNLKQXQPSFQCJJYFBLXSXUUJJHTLHFZUFSARKWPCWGEZCHX,D,,1-960-129-9068,2.0,83.0,Knoxville,Canada,1.0,UT,347602.0,827.0,U
Hce13804,IOKTEKTYFDDP,1518306.0,Sonoco Products,3.0,Hcexcutk,Yzgvuqdukfsetcyupzkeuhshvvbvrskjuygnlqtqxgwnmezqkmehhgk,U,m,1-004-035-6453,0.0,59.0,Tucson,United States of America,2.0,MN,,476.0,R
Pkp13805,tnwhtj,462636.0,SunTrust Banks,5.0,Pkpqiurbglluioicvgvtxve,Dpnxorgib,M,M,1-757-450-8457,4.0,5.0,Oshawa,Canada,1.0,PA,8517.0,775.0,R
Rry13806,ejkmdkoxmhblhux,3000163.0,OM Group,4.0,Rryvhxmnvswojxbvois,Vdlqxdqcopxmprwds,S,m,1-667-444-3163,3.0,54.0,Fort Wayne,United States of America,5.0,VA,495074.0,816.0,O
Voo13807,AORYVLAHJJNYLC,3671802.0,Progress Energy,6.0,Vooreffkwdsxyja,Frhrmqbrqtcjlkthleodwhtxcigxakmljxcjmaylddzosrkztuespkbyvbcqixtm,M,,1-228-749-2119,4.0,77.0,Savannah,United States of America,1.0,British Columbia,480023.0,531.0,O
Ijm13808,pkbwxfzuwfzcnnjxpgxghyvb,517800.0,Precision Castparts,,Ijmdi,Khkizbphhkfihgfdlyotwellwxn,S,,,1.0,14.0,Winnipeg,United States of America,1.0,FL,143871.0,836.0,O
WXY13809,sttgzmpdus,784444.0,Alcoa,6.0,WXYJYJRRVVKXYTJCZWKMEHVIOO,Jtlztgkmqqnfbpusvoxzbovmukkenbdebexboavsmjb,,,1-921-878-7559,2.0,31.0,Fontana,United States of America,1.0,RI,359569.0,616.0,O
Lgb13810,Fjmkxohrcgjbodqft,983041.0,Packaging Corp. of America,7.0,Lgbrc,ntxdblzxpokuxswkwzovoknprmkbzfnxdphsxabpholmofvdgjzrnzcyuieupigzngoa,M,f,1-051-125-4763,2.0,10.0,New York,,0.0,MS,229296.0,831.0,O
Drp13811,Uaeofcnq,1730375.0,Barnes & Noble,,Drpcik,Wqqndzvrmwheiceuptglsddvh,S,,1-613-691-5568,0.0,0.0,Newport News,United States of America,4.0,British Columbia,412285.0,738.0,O
Lhr13812,Ommhaodvisoxiawxxgplmks,747630.0,AmerisourceBergen,3.0,Lhrnyhheqftvazonbmttvgukodtcns,DOFEYGYNJTVVXBIIGVIYMDYRUJGMCQEUAKYTLLWTJIPM,S,,1-442-899-4570,4.0,53.0,Buffalo,United States of America,1.0,WI,86250.0,807.0,O
sro13813,Efnioemgvmosuudmyzc,3291436.0,Vornado Realty Trust,6.0,srohhcxjjzlaeuguctoxfmsgpwreoi,SNNWPSAVWRLMPIBDJNKHZYQTMWJORMMUUDGHQGEJAVTATSQSHPUKWPIWA,,M,1-809-795-2114,4.0,74.0,Shreveport,United States of America,4.0,Newfoundland,357693.0,817.0,O
Dho13814,VGFRL,1341884.0,Sovereign Bancorp,7.0,Dhobtmfnspndtak,Gcptkgmvljhgmcxyjmqwctrclgxwidh,U,,1-012-421-1451,1.0,86.0,Halifax,,0.0,NM,205571.0,713.0,O
YUD13815,YLWRFAFGOVLYQTEVRYZATAQYMJU,111181.0,Dollar Tree,10.0,YUDVZGQRVD,awdsajowlvfifsbigumsiqtzlhpldafgyqqqnadkgwbdjddbntphjmqmdarntybnjhlpysctd,W,M,1-797-588-5147,,70.0,Omaha,United States of America,1.0,OH,453535.0,771.0,
Xvh13816,JETUUBIIWMTGRLGJDZQCLLCMSC,494609.0,StanCorp Financial,6.0,Xvhsvpqxcygqcdvj,zeidkjhhmkafcrfprlrltbniwvhsvjfowrzvjopchyx,M,,1-065-251-9032,0.0,,Mount Pearl,United States of America,3.0,AK,470332.0,395.0,O
Aaf13817,Efaykcnijelzlmucimahyzuqxgp,2620601.0,Clorox,6.0,Aafxpkxdvpweqn,vxdxqkiwvuymcokgygexnroqwxvjamnoty,U,F,1-101-725-4003,0.0,97.0,Palmdale,United States of America,4.0,New Brunswick,311357.0,553.0,O
Xsr13818,ohwtxndlrhcswmmlakwrfhwqa,3310610.0,Prudential Financial,4.0,Xsrthicj,,M,,1-351-312-0393,5.0,6.0,Saint John,United States of America,,Ontario,105775.0,712.0,O
yli13819,Kuscchckb,2624096.0,Crosstex Energy,8.0,ylijzaxxod,Csmnapxswgyodjdapdiaxwsjnqszucvxbqfqfg,S,M,1-370-172-1130,4.0,61.0,West Covina,United States of America,0.0,FL,368239.0,,O
plm13820,QVUVPMHJHPSTUOEI,764650.0,Pulte Homes,6.0,plmweahxaooonumajtenfojs,ovwkktknfzupmvnjaurgwgudxledrjogejyeamyjwjkhlihkpjtftnndnkgbajgofeqhuagmjfxo,M,F,1-422-073-4722,2.0,38.0,Corpus Christi,United States of America,0.0,Saskatchewan,304571.0,640.0,O
gnp13821,GLFNFTWS,2395430.0,CenterPoint Energy,8.0,gnpuvraddvwlxfxzx,djwtayphjldimzrnjyazrmwfaxmyhdryxbfnjhksrulztsgtmuhq,M,m,1-188-126-1267,2.0,0.0,Vancouver,Canada,3.0,OR,386292.0,578.0,O
gee13822,Ksttbrfhvvjinynfvlovspbqcdooa,3747210.0,FPL Group,0.0,geeehcnfnkprrbihtlz,Fnyqrbtdyuqdxcmdflwpsyteoiryvwizrygxxwgfkphmsvkccxuqukazudwvyo,S,M,1-051-243-4986,3.0,84.0,Thousand Oaks,United States of America,1.0,AK,135621.0,372.0,R
Nyt13823,ACSLFVWJANRNEFPDLI,717020.0,Ameren,2.0,Nyttrmyxxpplodizabrogbhvbrdv,knbzjqdofdecaqyittcpsgifcuuqiibchqslcugkxbqywsgxhzsbmqjcsbnxxuaphxffi,U,,1-061-919-7471,,30.0,Evansville,United States of America,4.0,ND,367167.0,709.0,O
Guw13824,DQKEJCVDRFVNEUBB,1060777.0,Regions Financial,9.0,Guwfiqhyahvpgpoyncziap,dpqiptgwqtlporzvcjjksxumstxtubkljpvum,S,,1-638-160-3547,3.0,51.0,Newport News,United States of America,4.0,OR,265668.0,338.0,O
Rsc13825,Afrzmasvhdn,2252866.0,Universal Forest Products,10.0,Rsczsdqxob,rchbxxmlrjqlmdihudhqxofafwyxkiqpaxuyptiyhhnpjbubohkoyvvwospriifoxgagdvjgo,M,,1-046-464-0732,2.0,46.0,Denver,United States of America,4.0,NH,441990.0,414.0,O
