St,NumCreCa,LaNa,AgID,Co,Ge,NWo,MaSta,Ag,CreRa,Ci,Em,MiIn,NumCh,FirN,PoCo,AddrLi1,Inc,AddLi2,NuCa,OORFl,Pho
SC,5.0,oyapnhclfwaphue,oya11507,United States of America,,3650201.0,M,28.0,376.0,Boston,Markel,d,4.0,htulyxbqmchwjoukna,Stanmkrhzct,,395264.0,UJJTQOPAPFRYOYHWOFYCJVDBMJKLUKYYJEDWZ,3.0,O,1-639-058-1250
RI,1.0,Vbshgpameuxaivim,Vbs11508,,,3063906.0,D,81.0,435.0,Alexandria,Avnet,,3.0,QXHBQIUFMUUDKLTDTDRVKFEL,Gbvlpdbxj,ISXBJCKTJGNREOWERINLVLKBDTJCLVMWGVHLVDHE,45730.0,Hsmnwikjjcaxkuuesbfcbmkqcdtommeybqftysqvxccjwbaywhypybzmbanluidwvolcg,3.0,R,1-917-084-5824
SC,9.0,Pctakuieaqjubag,Pct11509,United States of America,m,3641742.0,S,1.0,500.0,Mesquite,Philip Morris International,B,4.0,Ybgddiscqlddoqbvthfpkqwe,AAEQJQOUKUL,uaevcgfiamduyahdieedjmjirk,143688.0,Whjjqwqflhjbtqqiixlvqvkbpoxamwquinpqupwkbhfstkpjhnrwwdvewd,1.0,R,1-335-415-3432
IN,8.0,Ijchxsimvpyitmfnwadntiglgvoh,Ijc11510,United States of America,m,121946.0,W,60.0,588.0,Colorado Springs,H&R Block,z,5.0,vxexwvknbwpovlwtacloubxtoa,Eejdzoegse,VQASDSZUEVIOLTXNTDEPIKBQTZHCWRLHGOQ,84182.0,,3.0,O,1-761-782-9434
VT,10.0,Pjgmdngwecwxwipcctkdylc,Pjg11511,United States of America,,348644.0,M,97.0,,Idaho Falls,,,3.0,catffpgjiixpgntv,sgjihzmguij,egrxpyihxblxpxkigoiqkefzbxwevgyuszskyfnwnjbkpo,478671.0,Mifeqdbdhjnkmuswmaukfwrrbwxbiopmmecubiooxzojufcvtecfiskii,4.0,O,1-627-199-1158
IA,8.0,Kvunxgtidhdsqrpycspkuewew,Kvu11512,United States of America,,405674.0,U,7.0,681.0,Madison,Praxair,,2.0,LJMWBWWHSM,KPYWP,Ojbdpidwkszhxvcntswob,,MBPFOLXCHNDDCTZQDJYHLWOFBODQIJDNIPUSBBPDGBIFANZDXXM,2.0,U,1-062-434-6774
CT,3.0,ljyqhevjbu,ljy11513,Canada,,1693682.0,M,69.0,428.0,Sandy,United Stationers,j,4.0,KYNCEZDLSPEPWYMDXS,opyvffukybou,,277540.0,Dddzgjdbogkgeyftfgophwkryprooghyvbtnvdntujncoaidphsgttganbdfrrd,2.0,,1-109-110-9177
NH,9.0,KHVXPHNG,KHV11514,Canada,,2025986.0,M,75.0,505.0,Fort Worth,D.R. Horton,,0.0,Ssohhwoqymktqdgtwzroxfpzr,Uovbny,Qjutszyvhjpqbojrkfamfboaze,484421.0,Zzhrcppynluphulw,2.0,R,1-315-009-9882
LA,5.0,Iegoxfqvricdnfpvkglbundfkikao,Ieg11515,United States of America,,2444161.0,M,86.0,373.0,El Paso,BorgWarner,e,2.0,DORSQGDNMPEKYBAKFPGGF,WHLMMSRAUQ,ZVHTWXMEDCOLDNFOUWWLQKREOBXIUDJDSBKNHAFBAUGQBQNFFOALVWISQQTVFCJMGKTNZ,197554.0,Nhrylircchnrt,3.0,R,1-893-373-3312
ND,0.0,Cbamsuyeiw,Cba11516,United States of America,m,1572804.0,D,10.0,634.0,San Antonio,Source Interlink Cos.,,3.0,Riigmtvsqyxttrqdnezedygcr,rzhjo,Ufwtrpgjtbboqxijqkrswpktvwztirauqitaoegjfeofvnlgszwnrgxmk,306795.0,pteeihentnrlcavomquhzjtxomiebs,0.0,O,1-577-012-7043
PA,9.0,ioityktbbmyuao,ioi11517,United States of America,,3975018.0,M,25.0,645.0,San Francisco,United Natural Foods,I,4.0,Hnhqvbrnadkuvvpgrx,Vimuhonx,KGBIJTHBJRFJMLBQQKEUWBJVVV,423496.0,Tzvqodkvufgwphpngupvfyxejefcwzjesgyhiaciwcgffwyanukbkjyduqrjuhss,,O,1-129-519-4916
Manitoba,10.0,YAFJBMCZRXDVGPCJG,YAF11518,United States of America,F,499689.0,S,85.0,746.0,Nashville,Brightpoint,,4.0,OWLYOPL,nhdpvvta,Cfhficzpjjtjuobriqwiqpblysqagmtzglvgbeiszhlghcktnjtdgwlwyhk,315394.0,Vthasvghssmuxzoasfbjejqaorhcnjfarytobhbaudkggtldxueoqcfamnsuctyj,5.0,O,1-530-386-1765
Quebec,10.0,HOGLUCMYZDQKNEGQGOWPNVBIAOKC,HOG11519,United States of America,,883778.0,W,43.0,560.0,Henderson,Biogen Idec,y,5.0,ARFQEETQMIEQOXWWFMMHMWHGPALY,Gyvphfdjduzd,Caalaixxcqmnkxpkhnsmnbaaeqaleonvdjjsdnj,257953.0,Ppcasfmnsnpclbecocfwolfhyzwsvinbtbbblzuawckjtnigvefadkmijqjmffotrdisbvqwhrbfqsu,0.0,O,1-754-326-0563
MI,,ISRTITTXSIHRYDS,ISR11520,United States of America,,3584233.0,M,65.0,421.0,Louisville,Curtiss-Wright,Q,4.0,Qiwgvacwryndaocmqlhdhxc,Jmxujkzb,Mfaqcyszhtixngxunewqrfjfjywymkhnwmubtgiyurvnndcysiqljzbugraol,81967.0,,5.0,O,1-945-691-6202
Manitoba,8.0,HSKHFOHAIAIXABR,HSK11521,United States of America,M,2210616.0,S,88.0,490.0,Jacksonville,Priceline.com,d,5.0,cjjbifghyerrjakhmvezs,Elfftybbvtu,yxikekljfagiffeyeaapzzsrlgnofqklcbvbgkohiguidga,,fbimeulgarmxrjggngcxemccyfwcxoiqhonolqyflkglifafaaebjcvmjbxkzn,4.0,O,1-888-782-9978
MD,10.0,Qrxpcryur,Qrx11522,United States of America,F,2051831.0,U,95.0,547.0,Biloxi,SunGard Data Systems,,4.0,Luzkeslttcjrwvtfoydmfzfnfjhmig,CLMMC,Ldcpgtygyushro,428765.0,GMNIRNJAZVDFFEPIOQI,3.0,O,1-865-906-2751
MI,8.0,Xireoonihvttrywftrn,Xir11523,United States of America,F,3390660.0,M,23.0,652.0,St. Petersburg,American International Group,,1.0,mfqxqvgttgdhyaphbtcwigz,pbvqocvbh,lafzrgmiqgxqhknquovxaikcrtxnlgbadaypfodim,224447.0,AWQPUZVGWDPIDXSGXVYIRCOGIE,5.0,R,1-271-624-0698
OH,8.0,BMRLSMADKW,BMR11524,United States of America,m,3701575.0,M,95.0,748.0,Salt Lake City,Arch Coal,,0.0,uipsaiwfwhiljvpwdkumwcfcd,QHATTTF,yetyjxkocbznudez,206839.0,ijadfhkavhfcbivuvqbdlkoyefyginpseyirubdglrpfsqgbdcrcdfvouldupjibezsqbokk,2.0,R,1-108-141-3593
WA,4.0,pbdcseqnvrfbtgon,pbd11525,Canada,,1403626.0,M,54.0,423.0,Dawson City,HealthSpring,,1.0,Xblsncjzcdmgzwiplftucfkujopwm,weuncfmvwzt,ecotrnojdnhvdzljfeqzfcxqozqwwfwsdrqpohkhsrfwjsgwtizsj,271582.0,iswqrnupivxvxiyrfffwahcmckpezxcqajrgijigwlwnhamovcirwg,2.0,O,1-523-707-0480
NM,9.0,wkmklhwrxtadqqnthwkubaync,wkm11526,United States of America,M,187912.0,M,23.0,437.0,Colorado Springs,Ecolab,i,3.0,Vosdkdlxqbyhvqujugekmjjdpqvmiu,SOBGLJAFKC,Kcblwyfsuswyhiobxbsmbjnfsdmtmxeebmcpczldwtrgbiavldelmqmqqutkuosvdxhnog,232001.0,Bfvvdukbsvmrwxyrrookvixgeuotlvtjmwmnftzumvunsxwmhouxnamrkjz,5.0,O,1-267-998-2897
DC,5.0,tzjlizvxkprejjzt,tzj11527,Canada,,3874696.0,,31.0,673.0,St. Catharines,,S,3.0,Bllpmvmtznlmyttqb,,Udwhhvzjpisjmcajzhxmcdevcpbcokfazkubbhti,455887.0,ipbvxavmzhzceugcrsttdhapriofcmslkqcgnideldtmatoyyfivwmtpkqkim,2.0,O,1-457-658-0617
MS,1.0,neahpkcvqnexcupxztl,nea11528,United States of America,F,1689525.0,M,25.0,536.0,Windsor,Amerigroup,,,PGYVBNGUASQQAHHAWRPIPXTQIMWBD,crrkzu,Jhiymhevoqd,272509.0,,5.0,R,1-948-486-2292
SC,0.0,gthixgianvzhebpnwgx,gth11529,United States of America,,3397841.0,W,71.0,516.0,Overland Park,Kraft Foods,,,Vjyvvzueowwv,WEEBTXM,,123378.0,FIVMLFXLHDGNHITA,1.0,O,
ND,9.0,hwajlxtqunqhspecghtdrcqqnytxeh,hwa11530,United States of America,F,,W,44.0,729.0,Montreal,Amgen,W,2.0,Jfupbevdirblziwkrcovakhqrdf,Pampfufdemz,GHANZZQJTTNESSSIADYOPCCHXRIXYDDYCUEDTKJKUWHBXUIYEAJUHWYLNZIFQZNKEGVQIDUBWRUIAPT,2706.0,EKBDBIOSBAZLRUDLBOTKUMOXZVSNNIZKOLSZZTMFBHMTFUAC,4.0,O,1-292-986-0278
MD,6.0,Nzlxgqeysmvxpqcrjvhwwebqcor,Nzl11531,United States of America,,,D,17.0,471.0,Chesapeake,Dynegy,F,0.0,Lwdqgclbtxu,Npwioef,FTPMFVJLCQUWPIOVBOYOLZGHTOUHOOQAZXZTBMRNEIUVM,,Etufcuvuyerkuhpfbelauddaeelfdgwierotlcavpbnhtbefvddabejicfrktutpggwemlhejyvghem,3.0,O,1-927-222-4298
WA,10.0,KLOGOTRYLQTJFGUYBKEVFGO,KLO11532,United States of America,M,1522259.0,U,71.0,639.0,Bridgeport,Brightpoint,F,1.0,lkzjjofsqjlyqrblrbkfduzmceskrm,Jpgtxyzxzi,idcctqgxlrafgcpcafkhoxrtmovjhlgpasnayvszbmwbsxkfedkbvgbauueenbcwdgaohnnagwn,90397.0,Gzoaiwjorimvjrexeatjhkv,5.0,O,1-596-806-1448
MO,3.0,Rmjajcbvnfscvjmdctsmqlqiixkftk,Rmj11533,United States of America,F,2328821.0,W,98.0,673.0,Lansing,Perot Systems,,3.0,Lvbmcsthctm,gkdlmgameveg,Kwcbctjfzcmwhxsfytqtjskydsauguzyeblisodchbyyjugukbsb,82058.0,Uxbqayyalgmknisjtkphwdapiraohrpcsgyjepnohbvphvdtonbjxmpwtpilj,0.0,U,1-874-012-1985
Saskatchewan,9.0,Oiwlhiexpjjfndkn,Oiw11534,United States of America,,654662.0,M,33.0,799.0,Costa Mesa,Regions Financial,,0.0,RYDHDXGZWRDYGASVFRGN,Rryuotuift,Dwiwvfoacsvzlcfqzjwbmsov,212697.0,Dpzjumyirfmxsczupatnvcyy,0.0,O,1-256-442-2059
SC,9.0,HDQCVHOII,HDQ11535,United States of America,,907742.0,U,77.0,796.0,St. Johns,Furniture Brands International,,5.0,Fubsrgkqfbkgdxx,XLADI,Vcfjcucxzdmw,167386.0,,3.0,O,1-335-264-7696
Manitoba,8.0,RUVQGLNL,RUV11536,United States of America,m,2716450.0,M,23.0,840.0,London,Tellabs,V,0.0,ncluhqvoonxqetpyvpqgz,Vgbagzxp,uyljrfdybojtasikneqluedvsmajjhvwoaraklnuyzeagohfaq,41458.0,Tlbjwjwvczzjpvrdxzlssfeqlecirxibbminwwczqtsdwzumfuxfxhyc,0.0,R,
NC,1.0,Ywlmycjajogsptyemkbzd,Ywl11537,United States of America,,1647669.0,U,61.0,847.0,Flint,Stater Bros. Holdings,,0.0,Ogxidldqpgohhnnogsv,WEESBIJATUKN,nuhatmircwaalxnctaayrsixgqnrahcmzykwpdtgkgdfocbeiojbegf,36417.0,Fpzintveavgtezvqpmocallovvsdinewmsswbsmyvalpqwdfgcqvbv,1.0,O,1-438-727-7065
TX,,Dbobvilaojkts,Dbo11538,United States of America,M,3033100.0,U,28.0,343.0,Lowell,Jones Financial,,5.0,Nucymirhyeubczrnf,Xfurfxm,Thbtknxmxvgwottqsqcy,193859.0,Xlbszihmmhzxotcteyhpfjoyttmlhhlevj,0.0,O,1-764-564-5161
AL,10.0,Gfiqugnufzheeqekun,Gfi11539,United States of America,m,1557755.0,U,17.0,353.0,Evansville,Verso Paper,q,1.0,gcdpxkmivo,Dfhfhun,nfucoxdjsrxliwdbpzoszrgxuuqhmjcgjxsgxjnkplicyxbbmmvkbwrjmttrlwdf,102753.0,Essldrypnjtro,,O,1-127-828-5452
FL,6.0,cgvcghbrbgwbnqxtxhprmh,cgv11540,United States of America,,1999215.0,M,25.0,697.0,Grand Rapids,Lithia Motors,f,0.0,GKTOSAQTSYHZKUNAWATJVCPVOQUHT,QAADZLH,ifgzbwrgrrquwrqqdyychpedgceqbqbfjyiyrtgoeutkyzlwlnvhkrrpuhrfsmcofxwws,173965.0,,2.0,O,1-920-233-7427
SC,7.0,shnepmfxuw,shn11541,,m,2874861.0,U,8.0,516.0,Hay River,American Axle & Manufacturing,,4.0,Lrnvycrvfiooltcej,Fcbhlsayyhkh,Wfeqiqyzb,201467.0,Unwzmxloinasctnmfjbqpjksgbxpwapllvv,2.0,R,1-177-323-7392
Alberta,3.0,retgktjjdvbxcjqyqifzy,ret11542,United States of America,,,M,58.0,438.0,Salinas,Marriott International,,4.0,Capsdvwato,Kayqze,,,Wbupsyzyteptxdoxiqtovyldhtatcpzb,4.0,O,1-490-155-4253
NE,6.0,Otakduk,Ota11543,Canada,,2871608.0,M,72.0,363.0,Orlando,Brinker International,a,2.0,IBEWB,Ijcauieudwmx,PWFKKSMDOIUJXHEGWBCXYUOOUIVFKGWIZJLXVBVGSDUAMTMMPNRVXNXOPEKS,28969.0,arvqrcitszveffpxfzzwjunyutgteaalrxpcxjzuuveswedellsdjd,2.0,O,1-838-612-7853
NH,6.0,ZXKXEGEK,ZXK11544,United States of America,,3310218.0,M,6.0,,Anaheim,Laboratory Corp. of America,,2.0,Wrkrmbfrlqa,GIBXJTC,Qpdhqegulxwcvgupwodloamzorxpyg,313942.0,rpmupmivenddo,1.0,,1-964-006-9835
Newfoundland,,Plpovuhwuhjbyhbvkfkbky,Plp11545,United States of America,,403830.0,U,83.0,666.0,Sandy,Motorola,,2.0,LBVJTCREOWF,axnsf,Diburmxmyzvvedwu,65994.0,WZWMMUJMVCNCUKPUROFHWDIAZBWHLRDSXPE,2.0,O,1-097-415-0952
WI,6.0,zwdmpzxizk,zwd11546,United States of America,,655164.0,S,23.0,450.0,Lincoln,Lexmark International,,5.0,HJGLSOWMIMLJKBKVFZASXZJULFXSC,ZGNGBV,TRHDKKFWQXMWWPQXEZHUSOCUZVQAY,330590.0,zkszgznvcjvncvwyejlyrqsgkxluilmgnhjifhlyotofpfwlvptyhiw,1.0,U,1-077-313-2992
TN,9.0,Nczfjuwbvimvxu,Ncz11547,Canada,,119583.0,D,,697.0,Winston-Salem,Entergy,g,1.0,LUXAAKFGOORBHFJWFMULQSLWZNDIK,Aakhsvfij,NJXVFNMAIJQVYOANOIVTDFXJRGJTGYWRKGBHQJWFRARXKJUTYOOCNPYCVHDJOFTURWOBOHKINIBOHIT,44060.0,Uojkksoubvftmqkoywexzbfnyzokfnlnucjmhkzojxnfhrooknxc,1.0,R,1-768-923-7360
KY,5.0,OUYCYSTSIMGKISDWH,OUY11548,Canada,M,1762835.0,S,45.0,,San Bernardino,Cameron International,,3.0,Jgyvgxdmpt,Kbebcn,qugnosvssiwhfxrpvdegcjfhgeifmhaejbabkhipurbpx,251389.0,Quevorfsaegxouurqdwuanazhifroscsuzekkt,3.0,O,1-165-440-9323
MN,0.0,Niioa,Nii11549,United States of America,m,3523125.0,S,93.0,781.0,Lewiston,Southwest Gas,i,1.0,GPUOSHOCA,Cclymxajqbg,aebgprpnpetspdugkmkgmjojxbqvb,360414.0,Toyzmucdjocoectveqebeztiybzcbvupnewn,0.0,U,1-357-474-7155
AZ,5.0,Godpsfflj,God11550,United States of America,,1581397.0,M,91.0,647.0,Tacoma,Sally Beauty Holdings,x,4.0,Qvsjcfborukmhuznvx,Ifqtvkt,azbsojiehib,27696.0,QUFUNULKGYWOQDYOFWVTGNKIYCGFZXGMC,1.0,R,1-587-962-9613
VT,4.0,uxnpbqzsfo,uxn11551,Canada,,2431542.0,M,23.0,528.0,Durham,Google,k,4.0,hdefkmafcevoed,Dqmgog,Pnhmz,413374.0,Ddlumrrjqwfbtbgldudhudl,5.0,R,1-505-580-1056
TN,0.0,HKDZKDZM,HKD11552,United States of America,,299329.0,U,3.0,568.0,Saint John,Baker Hughes,,1.0,DAJTQBQPLMKZS,TJBPXRSV,Dxjtkmtpitaygxumeeafoppxksnbjcdktzatknekrzbjz,286422.0,OJQJXYGYVLNCHPFGPHVWH,2.0,O,1-699-197-0653
WI,3.0,tgovkzsanbhvmdobdlwsctkzbprb,tgo11553,United States of America,m,2791638.0,U,51.0,562.0,Dawson City,,F,0.0,VECUBNSDHKJZOHEIJ,Bodluder,gdhvwhfnparluibd,260038.0,JAEKOBXKZCKTXJIAHTWPNWAAPYIFESFAWVNTVJWCBMAILGITHFJGSBFQVJPEJJZEMBATWW,4.0,U,1-267-593-5472
Newfoundland,7.0,kitknukmqah,kit11554,Canada,F,388781.0,U,20.0,511.0,Tallahassee,Health Net,Y,0.0,evwhppgojgqvms,DSIBQWVAKO,Psggywpxmudgsadqaszwayiojwzay,447447.0,Dttskosvwjftrvqq,4.0,U,1-937-573-2011
OR,3.0,vsqrwwjo,vsq11555,United States of America,M,2668902.0,U,37.0,449.0,Huntsville,Danaher,,5.0,Ehnwgvwqopkbgtkqgqgbic,cmqznjktf,RYGALSMMEACAEKPIHIAIDHIVVOAEOMIQVKFLBPBAQBJYXNEP,57109.0,Wyghnvnnpcdqamcdmajjyeknkipvfcamwfckhjczvdjyvxdowkwphxngdddwe,5.0,O,1-756-188-0150
UT,0.0,ljcgfppgad,ljc11556,United States of America,F,3190554.0,W,92.0,550.0,Edmonton,Wyndham Worldwide,,2.0,Vobzztqjkevmifvql,Klhij,Mpiejlvmrntflsfl,,EWNIBPLGHMUMQKVDHYXRTJKHCRSSUNGFUXMLOJTLSXKSFTQIJE,0.0,O,1-326-886-3011
VT,6.0,Fxrvwebfanekd,Fxr11557,United States of America,,1293547.0,M,52.0,396.0,Seattle,Brunswick,,5.0,Igjbgcrohfjykr,dfhyhxh,Kuzofyrosjtkgduwxkikiwyvolwcgshcitzugdsfmmkjusino,43792.0,fvxmytpaudkexkhjdhitqyeaqjlwrcvlykujpdwcafcjewjdl,3.0,,1-997-853-8154
TN,7.0,Ioufiaavluroowevtfxofiwe,Iou11558,,F,2612244.0,D,93.0,589.0,Garland,Medco Health Solutions,K,5.0,dpyhcesjopa,NCNPHKUPFV,Hrnrqlafdapgslkancryztkigufdvbcdblepkz,196969.0,Ypikktyownuxrzdsfsfijhbnluhmeyfmjzidqdi,3.0,O,1-640-725-0120
VT,8.0,Nqnzlpxncqdd,Nqn11559,United States of America,M,2576027.0,S,23.0,487.0,Washington,Career Education,F,0.0,Xrgwzdwxrbnndnxxwpx,WZBYTUHZX,niiqfdtotkobazqoeh,30861.0,zwhmzefjljxikyexrtlrrsrvhaqececbqexwmuhuwghmfougfcfhwpjpxgyehplszuky,0.0,,
NH,,Actzyshgogdafarwwbxmrazovxfw,Act11560,United States of America,,2578386.0,M,82.0,778.0,Worcester,OM Group,X,3.0,JNQUMGEUU,NDCIXLVHKADR,Tsadfundshmsvmrcxsbriphjcnlpydxwcptgulzpntebnaxpghpjhoreglqp,185299.0,gewmcfv,0.0,,1-623-768-2392
NM,5.0,Rlgfvqtkwlx,Rlg11561,United States of America,,2493050.0,M,86.0,381.0,Madison,Helix Energy Solutions Group,N,2.0,Mnxirsuztqohsyrhdtzduip,OSOGY,VHHKCLZIKLEGWSOUCDNETYMXHGNESBUJTUEHPHKYGXOJEPDHZDOKJYMFYWPTNHPHJT,,ibixxldlrk,3.0,O,1-146-532-8204
MA,3.0,DYCUES,DYC11562,United States of America,,2917975.0,M,19.0,525.0,Garden Grove,Flowers Foods,,1.0,rduyxmjokbprrdzfoz,qtxmxuewn,dkauycyhtdqtvlvtxttnrpmpqizclnqnmvltuv,353880.0,qrgtgbzhemfhbrqpykcacernidshrokjjtgifqxfmnsyawmdfrgdaqvwufljb,5.0,R,1-743-496-6434
CO,0.0,Xjcjxuaxkvjueoxrudgh,Xjc11563,United States of America,,2906479.0,M,12.0,533.0,Rochester,Tiffany & Co,k,2.0,Bslaiokykqtvjbjmipnubjorvfbliv,Xandhegbrsbn,Ekjvxd,154696.0,Olubkujgbpkwguignwdcqnhsunkobjkglsrpdrkxblbqm,2.0,O,1-187-323-0258
OH,10.0,eiwwfqletksmexlkpopxbpq,eiw11564,United States of America,M,3587993.0,M,43.0,441.0,Denver,Service Corp. International,,,Ifpaj,uypfozng,RLSLPADPGDPJIDHJPILUAVGVRRCDHQTVBDKOOCMJGRNRKSZRNYCOHJXSAJWX,440722.0,IERCSXL,1.0,O,1-371-152-0530
HI,10.0,vgpahfbaecyxgybqrqvcpmbnmqq,vgp11565,United States of America,M,2923570.0,U,,654.0,Cedar Rapids,Capital One Financial,,2.0,NHVEFSWZEICVUIDO,pidalps,Zfrwdqtpqqqqunafiagsktflkmerxeinsxbxafbhpbljins,95796.0,NRHSBAWWADPWHWFZPFJASZWBQSUFGCOXMJ,1.0,O,1-884-899-1189
WV,10.0,Nmogqxaryetfwifegntqrxshmiaujg,Nmo11566,United States of America,,1166317.0,,18.0,831.0,Quebec,Enterprise GP Holdings,k,1.0,Cgvwxlwpyixjgoxbusvjrhqoij,ANAPSK,Dhggnsupj,142024.0,Qacjqrsaavqkuznnjviyywabqhluxwafymzcqfrznccouxwngagnbjnsvuoxzyvbmpofdpww,,O,1-540-617-3307
SD,8.0,UWGWTXGVPZVFOHAJWKDLZCEEZFQPU,UWG11567,Canada,,3809341.0,M,76.0,499.0,Scottsdale,McDonald's,,2.0,VGAVEZLMBPJAZHYWEG,yhbrsda,Xgqjfuhekdrbslxyvtvzeqmpsrughxfkxumdau,325256.0,Tpjvzihuslnavbdjzdwnfwdql,2.0,O,1-894-818-0552
SC,10.0,VRHGWFHOWSMONFKMHQJBZEYTSTR,VRH11568,United States of America,,1993802.0,M,82.0,790.0,McAllen,Dresser-Rand Group,,4.0,Zuezphltchhjc,,Qedoeurhkjcultxubroiiwmbnvovoiwpydoqjke,412470.0,Efhghlmkvwnpqewewewtcqcnwjbeadsxdajtkfges,1.0,U,1-266-555-5621
ME,7.0,STWVFCJSHOKFAQEIIDDRLMDOJSJM,STW11569,Canada,,2832224.0,S,31.0,320.0,Minneapolis,Kinetic Concepts,,2.0,asbrgvvcjm,Dvarnhlxbd,Yhmwcsijkpbjceoflrcqztjyfaiqclwwsbme,428497.0,Ilaxjmkjtp,4.0,O,1-252-297-7634
NJ,0.0,ecdfihklvirkffxgwkkbqjgbtd,ecd11570,United States of America,f,3143638.0,M,86.0,477.0,Sandy,United States Steel,e,,Rpqfuhglmytscqjeovsandc,Mytwpycdbj,anhlrx,252531.0,Pcuzxbpvmbrpoxufdnmpngkzwyxscsjecol,2.0,O,1-912-592-2039
NY,7.0,Udfqzghimsxsrgzuqqfr,Udf11571,,f,1115736.0,W,92.0,389.0,Victoria,FMC,q,4.0,Aselltrgtpltxsnrdivsxhezt,Gmnxunh,Jwcqjjiisbbcaccxdphaipowerxyqclwjsfbjm,458603.0,DHDFDQIYTGPQHBKHURPFFMTWHZRJWKGWMLVPVYFWVEOZMOLFYTBDRVXZ,3.0,U,1-253-031-2004
FL,2.0,FVYOTIMDDQQSCEMGTIOQI,FVY11572,United States of America,,3991069.0,S,78.0,668.0,El Monte,Whirlpool,,2.0,Odxnam,Kqtfruxjxs,HFTWCIUBJPXQQITSIJGBKVVISKTJXVIUDXXPAEEHCDQHVLII,351558.0,xcocllpcnk,4.0,O,1-185-457-2535
MI,6.0,Cjuojjtdjqx,Cju11573,United States of America,,2320948.0,S,85.0,618.0,Montpelier,Publix Super Markets,d,5.0,Afuswreqvmwdgngv,Wcwyxjxnzfk,pccpqsbmmgazitf,311263.0,Tlycnlyegtwidwnelzd,4.0,U,1-210-485-9754
MA,9.0,qomjvuiluq,qom11574,Canada,f,3216669.0,M,42.0,536.0,Warren,Visa,,4.0,Bnkqzfdkpvhpihioosgwgdklu,Rfqevimkzd,Mbqkzvrypxdafjgrozchyatbhvfpurokxaqohxxjhfmn,376089.0,UOPKWYLHYSFKBYCGRBCT,0.0,O,1-429-367-8419
AK,7.0,RXKALDF,RXK11575,United States of America,,234280.0,M,72.0,821.0,Thousand Oaks,Comcast,,5.0,IJKENUMOWUZYX,ydspsato,GTAYGEOAHSWWUEMRLKQKAJMLCBJPRNCJSXHGZIOCXPPOFKVBPKNBEJIOMTUNIYHMSFI,186687.0,zspkwrndeyoklhj,,R,1-291-762-2339
Quebec,4.0,Ivlciclqqkimmoiawxng,Ivl11576,United States of America,,2356309.0,M,10.0,595.0,Costa Mesa,CB Richard Ellis Group,,1.0,Xvoxaxegqcixxsjkjjdmuurnlw,Pojjohfc,vwbaktdfxouna,,SSUWRSWETSFGBMNKXGKHDDMFTMEFRYPOQKRCGDRCUSJSFSZEFAAUXNMRVDJZJQQRSJZAMFDZISBJILVO,0.0,R,1-705-650-1719
NV,7.0,VUMVWLBQNIGFQDYXFJMGL,VUM11577,United States of America,m,3116901.0,M,52.0,848.0,Lubbock,Weis Markets,,0.0,SLHUSTMNVMARUDMMQIPUWEDULTN,ltlavcbkfew,Ievlelamcshlsgiusnhttbmbjcbnlylzmufkquljjosexlyxqynl,387940.0,Penuwautwhdozgjmfookfrvmytwmqaysnbb,0.0,U,1-317-972-8376
CT,7.0,gumxfhdohimxcvqsupkgxxegcwpol,gum11578,Canada,F,3860310.0,M,35.0,649.0,Phoenix,Boyd Gaming,,4.0,awjtwo,,rjmptdedzarkoalgbxmykbrschpnhfuixoxvu,272661.0,CTTPVUHDUYTBGQAAXEKHXFPMESVUYFZAZCDRUNAKUHVPBRBJVPOPXUNHSXCUGAJNDNENPEPGEIQNGVHY,0.0,R,1-169-322-6167
TX,10.0,Vtnakfedqralmsqcjunhliqy,Vtn11579,United States of America,,1414386.0,M,14.0,471.0,Corpus Christi,Analog Devices,N,0.0,TEANUA,qydawcck,bhlmo,463572.0,Zmntiyqtndqfcvobtbjdcosaiyflqxvfmuniddcogzlrlfqbbwxahkgqgazmzglwgxkf,3.0,O,1-493-228-4403
WI,8.0,dpuahnzatt,dpu11580,United States of America,F,2050421.0,M,40.0,343.0,Mesa,Coca-Cola Enterprises,,,ksgoszhldybbtbfdemvsijzp,Qhwqkbdyuoh,ncbuqtcxvgglyrjvqirprjbspkczfmujugyyvptuneotqtjutg,153465.0,SQVMDA,4.0,O,1-728-016-5625
SD,7.0,JIXFDKKVMRGVZSGVGMZEC,JIX11581,Canada,,140650.0,S,38.0,754.0,Chandler,Unitrin,C,5.0,Cekdovxjduiair,mapprhsxxrsm,bpohtbgokjmzgfyodusxemgggwbveodwsxwvltpuowzdicopxibyl,496975.0,Lskcoreaekzoeiohowobwyhcikkgpdfpxirtzeorieyhcffvvutlzwdgpfm,0.0,R,1-074-869-5600
NM,1.0,xsoqqnfmkbxjamfdndeaesimcf,xso11582,United States of America,,492927.0,M,100.0,789.0,Lancaster,Ameriprise Financial,,2.0,xehcdxctuovot,KDRDGL,VPUMBUWQQBMGIZXSB,13374.0,,2.0,O,
UT,7.0,UVJYBKYGLDI,UVJ11583,Canada,F,3840409.0,S,26.0,719.0,Hollywood,Perini,g,4.0,HDMYKBM,Umthsen,mtubwvftlrgzztwkrglsirbwthtceycxkodducbkdcgluhbywtqtofbtbtdrmgvugibbvhfqxa,190604.0,Edyiaixgxeeviunniinekeupzejvfwcwssmmdesesrskqxptvngsizadmsfoeyai,2.0,O,1-268-106-6566
