MiddleInitial,Employer,NetWorth,Phone,State,City,LastName,MaritalStatus,FirstName,Gender,AgencyID,CreditRating,AddressLine1,NumberCars,OwnOrRentFlag,NumberChildren,NumberCreditCards,Age,AddressLine2,Country,Income,PostalCode
Q,Parker Hannifin,1774676.0,1-546-624-5037,WV,Philadelphia,KENSINGER,M,laurianne,,KEN4082,570.0,14791 bluff east,1.0,R,1.0,4.0,,,Canada,91277.0,99640
,Fidelity National Information,,1-008-475-6493,DE,Mobile,barham,M,KIRBIE,,bar4083,693.0,5810 sinclair park,2.0,O,0.0,3.0,14.0,,Canada,466590.0,90336
,Ameriprise Financial,2993913.0,1-546-501-1179,NH,Las Vegas,MASLEN,M,daffi,,MAS4084,536.0,8825 amherst drive,3.0,O,5.0,3.0,13.0,,Canada,1720.0,V6u 1w5
,LSI,1030016.0,1-740-612-9335,Ontario,Chesapeake,LAMBREGTS,M,Petar,,LAM4085,699.0,21476 bannister west,3.0,O,4.0,4.0,87.0,,United States of America,264450.0,T6A 1E4
,Pitney Bowes,1152514.0,1-528-186-4538,DC,Fullerton,bedford,M,parminder,,bed4086,318.0,13588 DAVIE EAST,1.0,O,3.0,8.0,90.0,Apt. 568,United States of America,295553.0,10005
Q,Valspar,1678577.0,1-442-555-8416,WA,Burlington,Delzer,W,claresta,F,Del4087,774.0,2500 park hill west,,R,0.0,10.0,55.0,,United States of America,420630.0,93329
,PPG Industries,3810059.0,1-617-028-5718,CA,Amarillo,rafferty,S,MADGE,,raf4088,596.0,16124 weyland park,2.0,O,4.0,7.0,87.0,,United States of America,98201.0,32206
,Neiman Marcus,1705624.0,1-084-089-3712,NM,Manchester,MARTURANO,S,shelagh,F,MAR4089,640.0,23664 summer crest drive,5.0,O,1.0,5.0,76.0,,United States of America,294620.0,93773
,,956183.0,1-835-389-8330,LA,Abilene,Orr,W,jimmy,M,Orr4090,398.0,24185 shallowford lane,5.0,R,4.0,8.0,25.0,,United States of America,97606.0,T5c 1w5
,Cablevision Systems,361209.0,,CO,Dayton,Id,M,TANHYA,,Id4091,456.0,2604 curry boulevard,2.0,O,1.0,1.0,87.0,,United States of America,355125.0,h5l 1o2
,ConAgra Foods,3747082.0,1-828-306-6075,CO,Chicago,Chien,M,natividad,m,Chi4092,529.0,1677 ALABAMA CRESCENT,2.0,O,2.0,10.0,36.0,,United States of America,490465.0,X7j 1q3
F,Coach,3167044.0,,Alberta,Indianapolis,pyron,M,charmine,f,pyr4093,479.0,19131 lullwood park,1.0,O,1.0,3.0,15.0,,United States of America,386131.0,H5l 1q7
,Celgene,2946519.0,1-702-379-8533,FL,Jersey City,Campeau,M,Beth,,Cam4094,712.0,14553 ROUND LAKE BOULEVARD,2.0,O,3.0,8.0,74.0,,United States of America,322716.0,H2b 1x7
K,WABCO Holdings,1890351.0,1-301-261-3694,CO,Buffalo,GOLKA,,DAVEEN,m,GOL4095,814.0,22461 morton east,1.0,O,0.0,0.0,2.0,,United States of America,242986.0,B8b 1y1
W,Micron Technology,1377011.0,1-837-156-7580,OK,Peoria,EDMONDS,M,Maciej,,EDM4096,427.0,6741 HARDY LANE,3.0,O,5.0,0.0,2.0,,United States of America,37155.0,37222
,Avon Products,1981931.0,1-342-935-6256,MO,San Jose,Dowling,S,Zulfikar,f,Dow4097,623.0,15065 bellaire crescent,1.0,R,5.0,7.0,35.0,,Canada,191965.0,85034
,Piedmont Natural Gas,3091217.0,1-126-139-5416,IA,Toronto,Hnidek,W,Denna,,Hni4098,841.0,11237 balmoral way,,R,5.0,3.0,27.0,,United States of America,158296.0,14626
,Cytec Industries,1468251.0,1-284-485-4611,WY,Jersey City,Nunez,U,eddi,M,Nun4099,335.0,9212 mesa drive,1.0,R,1.0,4.0,22.0,,United States of America,122963.0,97227
X,CarMax,2853044.0,1-129-301-2363,NM,Fremont,KELEMEN,U,sheri-lynn,,KEL4100,433.0,21082 cliffbrook west,1.0,O,2.0,5.0,56.0,,United States of America,70711.0,63150
,First Data,2783674.0,1-497-552-1858,ND,Montreal,Durant,D,RIZWAN,,Dur4101,479.0,24731 flores south,2.0,O,1.0,9.0,48.0,,United States of America,233605.0,73112
H,Wesco International,3745151.0,1-577-669-4598,VA,Phoenix,Witt,M,Mariaelena,,Wit4102,749.0,22849 lacornia rue,3.0,O,5.0,4.0,80.0,,Canada,410143.0,78426
,Arrow Electronics,2031944.0,1-204-636-6690,Saskatchewan,Riverside,CLARY,M,FLOR,F,CLA4103,827.0,14004 PELAN WAY,2.0,O,0.0,0.0,60.0,,United States of America,330347.0,v6b 1s6
,Amerco,1751930.0,1-351-172-4950,SD,Lansing,Kelland,M,Jann,m,Kel4104,788.0,1968 lemming lower,0.0,O,4.0,,18.0,APT. 763,United States of America,17137.0,25310
,Radian Group,447127.0,1-475-017-3927,GA,Warren,Portelance,S,Papagena,,Por4105,447.0,482 matlock east,4.0,R,1.0,1.0,73.0,,United States of America,252546.0,90283
,Cisco Systems,188862.0,1-253-850-9876,CT,Carrollton,Kannemann,,LAURIE,,Kan4106,318.0,24870 beverly court,4.0,O,0.0,0.0,45.0,,United States of America,208035.0,M2q 1e4
P,Asbury Automotive Group,2894863.0,1-234-346-8698,OH,Chula Vista,cowart,S,CHARIN,F,cow4107,588.0,20823 WEST CHAPEL AVENUE,5.0,O,0.0,3.0,49.0,,United States of America,253491.0,60712
X,Inergy Holdings,3932277.0,1-160-080-2456,KY,Rochester,Warburton,M,whitfield,,War4108,576.0,10352 marathon drive,2.0,O,,10.0,78.0,,United States of America,4590.0,99670
,First American Corp.,1050183.0,1-349-432-6586,SD,Sherbrooke,Kirkby,M,Donielle,,Kir4109,847.0,23534 MORNINGSIDE NORTH,0.0,O,1.0,6.0,94.0,,Canada,45281.0,30394
J,FPL Group,2338246.0,1-131-420-5710,CT,Springfield,marketing,S,cherice,,mar4110,593.0,13143 goodwin lane,5.0,R,3.0,3.0,15.0,,United States of America,497411.0,M5g 1z3
,Harris,1207954.0,1-791-193-2909,CT,Shreveport,JAGO,M,Gokul,,JAG4111,455.0,6464 bonnie brae street,4.0,U,0.0,4.0,48.0,,United States of America,375350.0,90759
,Allegheny Energy,1911664.0,1-778-408-6797,KS,Portland,borozny,M,DARDA,M,bor4112,532.0,8899 starling lane,1.0,O,0.0,6.0,25.0,,Canada,255039.0,99723
Q,Macy's,3841622.0,1-985-897-9080,TX,Sterling Heights,Iversen,M,tomi,f,Ive4113,812.0,16308 MARINE CRESCENT,4.0,R,0.0,1.0,76.0,apt. 703,United States of America,436358.0,64142
F,Comerica,3081542.0,1-734-817-9602,UT,St. Catharines,Atkinson,M,Alexandrina,,Atk4114,733.0,1540 CRESTMERE NORTH,4.0,O,0.0,9.0,28.0,,Canada,347468.0,23294
,Centene,1190647.0,1-469-421-7717,DE,Boise,stokes,M,Berthe,m,sto4115,549.0,5895 strand upper,5.0,O,3.0,3.0,0.0,,United States of America,247341.0,90007
,TJX,2477548.0,1-231-569-1705,WV,Manchester,Willis,W,Perla,M,Wil4116,307.0,828 PAINT ROCK UPPER,0.0,O,1.0,7.0,25.0,Apt. 350,United States of America,221311.0,53222
,SPX,1944781.0,1-663-576-3780,WY,Tucson,perez,M,Cornel,f,per4117,770.0,15465 beach upper,5.0,R,2.0,6.0,17.0,,Canada,487332.0,10088
,General Motors,2863230.0,1-777-674-5794,IA,Fayetteville,surber,,ALEXANDRU,,sur4118,820.0,22024 darlington north,,O,0.0,6.0,51.0,,United States of America,342333.0,43637
,Genworth Financial,1605110.0,1-008-849-1954,LA,Fremont,Sokyrko,U,Marika,F,Sok4119,602.0,1971 PRAIRIE DRIVE,0.0,U,2.0,8.0,80.0,,United States of America,208103.0,H5j 1q4
,Southern Union,1663223.0,1-747-448-2102,IA,Fort Lauderdale,COMMUNICATIONS,M,JANELA,M,COM4120,830.0,7377 COVENTRY EAST,3.0,O,2.0,2.0,97.0,,United States of America,488334.0,99757
,Norfolk Southern,1286989.0,1-096-048-9676,PA,Washington,minck,M,Fotini,M,min4121,829.0,20064 oakmont east,2.0,O,2.0,6.0,31.0,,United States of America,362640.0,25338
T,,2407494.0,1-962-707-1718,Newfoundland,Halifax,Ponthieux,,Babbette,,Pon4122,811.0,20627 candlelight avenue,3.0,O,5.0,0.0,37.0,,United States of America,499808.0,33158
,American National Insurance,1521749.0,1-659-521-2608,Manitoba,Billings,savadkouhi,D,Blakelee,f,sav4123,628.0,20706 lyle north,5.0,O,2.0,5.0,6.0,,United States of America,,t5a 1m9
K,Brunswick,10629.0,,OH,Halifax,Skiclub,W,marce,,Ski4124,664.0,15176 PURDUE EAST,5.0,O,1.0,6.0,30.0,APT. 668,United States of America,229573.0,10186
N,Brunswick,118555.0,1-242-636-1078,MD,Evansville,kohler,M,delisle,,koh4125,526.0,15306 pike park,3.0,R,1.0,5.0,53.0,Apt. 334,United States of America,460604.0,s7d 1m6
,Spectra Energy,3406711.0,1-346-952-1205,KY,Tulsa,labfive,U,WADE,F,lab4126,504.0,23271 buckroe park,0.0,R,3.0,5.0,64.0,,United States of America,453184.0,94440
,Pinnacle West Capital,48368.0,1-769-421-4523,MT,Sunnyvale,Revah,W,PRINT,,Rev4127,452.0,17440 pinesap rue,0.0,O,3.0,4.0,66.0,,United States of America,173233.0,43233
,Autodesk,2324375.0,1-758-492-2237,Prince Edward Island,Virginia Beach,Burke,M,christine,M,Bur4128,519.0,14754 WOODVIEW EAST,2.0,O,1.0,8.0,82.0,,United States of America,13997.0,07310
G,Principal Financial,2414301.0,1-518-137-0725,WI,Hilo,bertrand,S,Netta,f,ber4129,480.0,13590 westover east,3.0,R,0.0,10.0,82.0,,United States of America,279682.0,10156
N,Merck,966380.0,1-700-802-2423,GA,Jackson,Frink,S,Peg,D,Fri4130,622.0,24896 wright east,1.0,O,5.0,1.0,45.0,,United States of America,95134.0,37242
,XTO Energy,1546865.0,1-730-258-8182,MS,Wichita,Seliske,M,Albrecht,,Sel4131,645.0,14398 graves way,,O,4.0,1.0,27.0,,United States of America,112412.0,23285
O,Wal-Mart Stores,1339073.0,1-137-968-5660,Manitoba,Riverside,alexson,U,Minetta,,ale4132,573.0,13892 JENNINGS ROAD,2.0,R,4.0,8.0,89.0,,Canada,333172.0,V6X 1S8
X,Mosaic,496474.0,1-152-024-3382,Quebec,Fontana,Sheldon,U,Notley,,She4133,794.0,885 crosby lane,2.0,R,3.0,3.0,96.0,,United States of America,185162.0,99653
M,Unisys,2311455.0,1-946-932-1530,NH,Yonkers,SHERK,M,Lark,f,SHE4134,608.0,10915 CHARLEVILLE LANE,0.0,O,3.0,5.0,60.0,,United States of America,477663.0,V6E 1W1
,Procter & Gamble,3866148.0,1-660-625-5085,Prince Edward Island,Oklahoma City,VERMETTE,D,Flory,f,VER4135,485.0,8617 woodcrest north,5.0,O,1.0,9.0,75.0,,United States of America,373117.0,94257
,AFLAC,2583727.0,1-142-036-8132,KY,Springfield,elgie,D,haleigh,,elg4136,311.0,24083 sherwood way,2.0,O,0.0,8.0,17.0,,United States of America,188626.0,95201
,FMC Technologies,1320030.0,1-849-522-2992,AK,Fort Wayne,CAMERON,M,MEGEN,f,CAM4137,464.0,22986 norfolk lane,2.0,O,0.0,4.0,15.0,,United States of America,298734.0,87509
T,American Electric Power,3779415.0,1-063-096-5852,CA,Coral Springs,decker,,Bhupendra,m,dec4138,502.0,23361 stonehill way,4.0,O,3.0,4.0,13.0,,United States of America,39601.0,80907
,Genzyme,3643181.0,1-243-090-2609,WA,Brownsville,Ben-ishai,S,Okey,,Ben4139,,23058 colonial crescent,0.0,O,5.0,0.0,44.0,,United States of America,360509.0,15211
,Juniper Networks,2006767.0,1-727-835-3306,NV,Orange,Kimbrell,U,Reeva,m,Kim4140,544.0,19015 chennault lane,3.0,O,2.0,4.0,82.0,,United States of America,149710.0,47717
A,Brookdale Senior Living,673728.0,1-307-735-2708,AR,Miami,Maduri,,Hulst,M,Mad4141,725.0,5148 GEMINI EAST,1.0,O,2.0,7.0,7.0,,United States of America,118663.0,75046
O,BB&T Corp.,,1-794-123-4781,NV,Garden Grove,Deyoung,D,Ramonda,f,Dey4142,833.0,17088 collinwood road,3.0,O,0.0,2.0,73.0,,United States of America,149085.0,30907
J,International Assets Holding,2630185.0,1-307-999-1595,HI,Huntington,schwantes,M,pamela,f,sch4143,778.0,19284 mitchell east,,O,1.0,5.0,8.0,,United States of America,,33170
,Crown Holdings,3187497.0,1-820-153-3586,Prince Edward Island,Fullerton,Townsel,,Rozamond,,Tow4144,387.0,11141 waverly south,0.0,O,4.0,8.0,40.0,,Canada,113947.0,M3X 1K8
,Arrow Electronics,1156747.0,1-185-897-7570,British Columbia,Cleveland,PERENYI,M,korry,,PER4145,789.0,12818 strand park,3.0,O,1.0,9.0,97.0,,United States of America,305339.0,V6N 1S8
,Jack in the Box,3454307.0,1-061-969-9109,TX,Sydney,shea,U,Olympe,,she4146,689.0,12918 elle lee boulevard,5.0,U,1.0,7.0,51.0,,United States of America,366061.0,38193
M,Flowserve,,1-026-319-0548,WI,Amarillo,messer,M,MIKHAIL,m,mes4147,620.0,18710 queen lower,,O,3.0,2.0,25.0,,United States of America,396166.0,T5D 1Q4
,Harman International Ind.,186294.0,1-437-411-4193,Nova Scotia,Baltimore,blacklock,U,Annabela,M,bla4148,368.0,2929 bryant irvin road,2.0,R,1.0,8.0,36.0,,United States of America,459016.0,M1i 1r8
D,Home Depot,1422417.0,1-868-232-9225,WY,Corona,Gerald,W,KELLINA,m,Ger4149,583.0,17286 harvard park,0.0,O,3.0,9.0,13.0,,Canada,44483.0,13209
,Hewlett-Packard,2169131.0,1-257-582-1522,SD,Stamford,Scovill,M,Mitchell,,Sco4150,832.0,17213 towerwood east,3.0,R,2.0,1.0,33.0,,Canada,23935.0,M8c 1x2
K,Reliant Energy,1582785.0,1-811-371-4298,IA,Thousand Oaks,Reda,M,ginette,,Red4151,421.0,12194 julian lower,0.0,O,0.0,4.0,23.0,,United States of America,477378.0,S7d 1m6
,RBS Global,2277479.0,1-253-350-7450,MN,Hilo,Frobel,S,SKIPPY,,Fro4152,381.0,8951 vista street,5.0,,4.0,6.0,96.0,,United States of America,179376.0,19101
X,eBay,3650977.0,1-838-670-1277,MS,Amarillo,raymond,,Eliza,F,ray4153,705.0,380 TRAVIS COURT,4.0,R,3.0,1.0,36.0,,United States of America,,92137
B,,551845.0,1-090-104-8491,Nova Scotia,Salem,Kromer,S,Mallory,M,Kro4154,448.0,287 woodland park court,1.0,O,3.0,10.0,57.0,,United States of America,358220.0,30354
,National Oilwell Varco,874201.0,1-005-290-5019,Nova Scotia,Providence,CHAMBERS,,Kania,M,CHA4155,574.0,14406 lumber court,4.0,O,4.0,4.0,65.0,,United States of America,210168.0,H2d 1z6
,Lear,1212973.0,1-807-624-4499,VA,West Covina,datta,D,Mukund,,dat4156,832.0,18956 GAYLORD STREET,1.0,O,,9.0,40.0,,United States of America,151105.0,99723
,Regions Financial,,1-816-661-9614,Prince Edward Island,Lakewood,DASD,W,EMORY,,DAS4157,540.0,16325 RICHMOND COURT,2.0,O,2.0,5.0,48.0,,United States of America,440629.0,78782
,Juniper Networks,323352.0,1-114-915-5072,FL,Lafayette,frobisher,D,nashville,,fro4158,528.0,16716 CONGRESS WEST,5.0,O,5.0,0.0,21.0,,United States of America,164724.0,55407
,American National Insurance,3380281.0,1-294-536-5050,Saskatchewan,Hialeah,CHEVAL,U,rhody,f,CHE4159,301.0,11635 sun tree west,5.0,O,2.0,6.0,38.0,,United States of America,445763.0,h2c 1z6
Z,Pactiv,1781083.0,1-036-109-8074,British Columbia,Fort Smith,Houde,S,edwina,,Hou4160,824.0,17404 gale court,4.0,R,5.0,10.0,10.0,,Canada,,85058
L,News Corp.,310619.0,1-055-398-5091,MD,McAllen,donkers,S,Quinta,M,don4161,822.0,2108 buckroe way,,O,4.0,5.0,2.0,,United States of America,367592.0,94243
,DynCorp International,1839170.0,1-140-648-2242,IL,Burlington,Poyer,U,ethel,f,Poy4162,786.0,20026 richmond lane,1.0,O,5.0,5.0,51.0,,United States of America,321441.0,92111
J,Community Health Systems,1054100.0,1-406-338-7979,KY,Fayetteville,locken,U,mellisa,F,loc4163,427.0,4221 LAKE PARK ROAD,0.0,O,3.0,5.0,22.0,Apt. 549,United States of America,173648.0,H2b 1v4
,Avery Dennison,955966.0,1-971-170-5966,VT,Manchester,KAO,M,COSTAS,F,KAO4164,596.0,21835 cedar canyon rue,1.0,U,0.0,8.0,95.0,,United States of America,,T5d 1t2
,Casey's General Stores,3838074.0,1-057-063-7004,TN,Ontario,mellor,M,Sylva,M,mel4165,384.0,14266 lemming south,0.0,R,0.0,2.0,17.0,,United States of America,181557.0,70137
,,1974701.0,1-317-129-5773,AL,Halifax,bakhach,U,TERRI-JO,m,bak4166,712.0,5466 CARRINGTON WEST,4.0,O,1.0,4.0,99.0,,United States of America,19799.0,07104
,Nationwide,790230.0,1-105-806-3256,MT,Oshawa,tarrant,M,annarbor,,tar4167,322.0,22507 gaines south,3.0,O,5.0,6.0,25.0,,United States of America,22837.0,90748
,DynCorp International,1697357.0,1-559-198-3580,Manitoba,Worcester,Fenati,S,ESTA,m,Fen4168,640.0,15205 moody east,1.0,O,5.0,8.0,17.0,,United States of America,134982.0,94540
M,American Financial Group,1951955.0,1-677-707-5587,OK,Cincinnati,COULMAN,S,Aline,,COU4169,492.0,19663 reina street,3.0,O,3.0,9.0,13.0,,Canada,314526.0,h7h 1s5
,Idearc,3570643.0,1-387-954-2982,OR,Halifax,Blostein,S,Tdr,,Blo4170,399.0,21671 IRENE ROAD,5.0,O,0.0,3.0,64.0,,Canada,181160.0,60675
,Hershey,157725.0,1-325-992-4818,MI,Lubbock,Skeuse,S,Harriett,,Ske4171,332.0,24731 flores south,1.0,O,4.0,7.0,6.0,,United States of America,492377.0,t6b 1i7
,Rowan Cos.,1864852.0,1-585-292-3464,CO,St. Louis,Abello,S,Renie,,Abe4172,613.0,9907 UPTON SOUTH,0.0,O,5.0,,56.0,,United States of America,312532.0,V6V 1W6
Q,Tenneco,2011593.0,1-130-677-5988,DE,Ontario,devreeze,D,REGGIE,,dev4173,809.0,11469 fairmount boulevard,5.0,O,0.0,10.0,41.0,,United States of America,,47732
,Polo Ralph Lauren,73713.0,1-338-738-1315,WY,Tempe,balderston,D,Mansum,,bal4174,,12349 outervale rue,1.0,O,2.0,8.0,72.0,,United States of America,183355.0,55134
,Catalyst Health Solutions,2780878.0,1-415-898-5164,WI,Knoxville,Gaftea,S,Corissa,m,Gaf4175,529.0,6119 BURGOYNE SOUTH,1.0,O,3.0,,9.0,,Canada,239636.0,r5g 1m3
,Exxon Mobil,1275794.0,1-667-149-9017,MS,Kitchener,Gu,,norikazu,,Gu4176,842.0,5653 worth drive,0.0,,2.0,,31.0,,United States of America,379389.0,M5d 1z7
E,Penske Automotive Group,1421194.0,1-010-278-8037,NH,Salem,Naugle,S,dita,,Nau4177,712.0,755 maywind south,3.0,O,2.0,8.0,100.0,,United States of America,310436.0,M7n 1b2
,Coach,1277873.0,1-818-453-3270,IL,Iqaluit,KRIVOSSIDIS,U,Tammi,f,KRI4178,823.0,8282 wills street,1.0,O,4.0,7.0,48.0,,United States of America,32314.0,32242
,Thrivent Financial,3511382.0,1-407-800-5378,WI,West Valley,mcconney,M,mikhail,,mcc4179,699.0,13075 vinson road,2.0,U,2.0,1.0,78.0,,United States of America,210813.0,35234
F,Country Financial Services,165262.0,1-638-357-5222,LA,Phoenix,Swanson,S,jaclyn,,Swa4180,757.0,10093 mckinnon north,1.0,O,2.0,3.0,67.0,,United States of America,89403.0,95251
,Nasdaq OMX Group,762349.0,1-144-150-4379,MN,Warwick,Sepko,S,Chabert,,Sep4181,350.0,18175 walnut east,4.0,R,0.0,2.0,41.0,,United States of America,357243.0,94281
P,Zimmer Holdings,1924400.0,1-525-884-5884,MD,Burlington,Minard,M,Raz,,Min4182,824.0,18207 conley south,2.0,R,5.0,0.0,100.0,,United States of America,98356.0,92507
O,Regions Financial,2623954.0,1-932-301-8554,NE,Coral Springs,Harty,M,gabriellia,,Har4183,383.0,2103 campbell boulevard,0.0,O,3.0,2.0,,,United States of America,404530.0,60674
,Harman International Ind.,2927395.0,,IN,Rapid City,Camirand,S,clive,m,Cam4184,431.0,493 day lane,1.0,O,4.0,3.0,21.0,,United States of America,446338.0,85282
R,Regions Financial,1714903.0,1-879-548-2192,AZ,Garden Grove,sizto,U,homayoon,M,siz4185,641.0,336 knipp boulevard,1.0,R,2.0,4.0,1.0,,United States of America,38905.0,94659
L,3M,2902954.0,1-634-943-2957,Prince Edward Island,Torrance,nicolle,M,Karry,,nic4186,418.0,2682 LUMBER PARK,1.0,O,5.0,0.0,71.0,,Canada,97019.0,M6s 1i7
X,Micron Technology,,1-156-508-4421,PA,Idaho Falls,MCKNIGHT,U,Matelda,,MCK4187,398.0,23607 idlewild way,4.0,O,1.0,9.0,13.0,,United States of America,471410.0,25328
,Inergy Holdings,3229864.0,1-414-057-8647,Prince Edward Island,Livonia,Potesta,S,EMPDB,m,Pot4188,438.0,20166 presido park,2.0,O,5.0,2.0,13.0,,United States of America,468961.0,60633
,Iron Mountain,2419611.0,,NY,Livonia,Nagy,U,Jan,,Nag4189,668.0,16660 kelvin park,2.0,O,5.0,0.0,91.0,APT. 597,Canada,,V6z 1r7
D,Advanced Micro Devices,134899.0,1-051-302-4253,KS,El Paso,Noye,M,Yaser,m,Noy4190,400.0,4824 ross boulevard,4.0,O,0.0,4.0,24.0,APT. 117,Canada,282653.0,80055
,Rock-Tenn,3431186.0,1-300-542-1343,AZ,Wichita,Artspssa,M,Charangit,,Art4191,517.0,21006 stanford park,0.0,O,2.0,,48.0,,United States of America,32796.0,v6s 1s2
I,Unified Grocers,711283.0,1-595-443-5838,MA,Montreal,london,U,GABE,m,lon4192,749.0,4068 BEAUREGARD DRIVE,4.0,O,3.0,4.0,49.0,,United States of America,461606.0,t6b 1h2
,Solo Cup,3720095.0,,WI,Sacramento,Cozyn,S,Stone,,Coz4193,392.0,6726 englewood upper,4.0,O,,4.0,4.0,,United States of America,43453.0,M4l 1n9
,Smithfield Foods,1366779.0,1-873-719-4579,MT,Chesapeake,SWINSON,D,Anver,,SWI4194,716.0,9375 wood south,2.0,O,3.0,10.0,57.0,,United States of America,,92706
,Men's Wearhouse,1840904.0,1-374-638-4742,Alberta,Evansville,Zubans,M,ALKARIM,f,Zub4195,417.0,19059 ginger avenue,2.0,R,3.0,10.0,78.0,,United States of America,297324.0,M8a 1w3
C,Valassis Communications,2846166.0,1-925-137-7885,ME,West Valley,Partello,S,Harm,f,Par4196,527.0,7897 charleville avenue,2.0,O,3.0,4.0,18.0,,Canada,367.0,94266
S,Men's Wearhouse,3378736.0,1-660-322-4001,TN,London,MCCALLUM,W,CARMELITA,,MCC4197,390.0,8503 pecos drive,5.0,R,2.0,5.0,47.0,SUITE 225,United States of America,322674.0,90850
,NV Energy,21105.0,1-040-398-0528,VA,Mesa,MCFADDEN,D,bela,,MCF4198,823.0,4801 spaulding park,4.0,O,1.0,,37.0,,United States of America,349419.0,48202
E,Southern,3152590.0,1-882-114-5301,MI,Macon,TELEX,,Joyce,,TEL4199,707.0,15416 windsor rue,1.0,O,,1.0,92.0,,Canada,393118.0,H2f 1x9
,Retail Ventures,2778946.0,1-095-622-0874,OK,Topeka,novak,W,Air,,nov4200,543.0,22313 wedgewood west,5.0,O,2.0,1.0,55.0,,United States of America,172272.0,V6E 1Q8
,Domtar,1492326.0,1-409-776-8624,MN,Mesa,DODSON,M,KACY,,DOD4201,743.0,23171 marathon park,3.0,R,4.0,9.0,26.0,,United States of America,433359.0,78505
N,NCR,2161693.0,1-338-069-1973,ID,Sudbury,ermarkaryan,U,Mirabella,,erm4202,437.0,24007 minot south,4.0,O,4.0,0.0,87.0,,United States of America,453223.0,V6e 1q7
,Bank of New York Mellon Corp.,2897769.0,1-606-956-3694,KY,Henderson,Phifer,D,ashla,,Phi4203,300.0,21013 KERRY WAY,4.0,R,2.0,5.0,48.0,,United States of America,373307.0,94245
U,NewPage Holding,3842016.0,1-187-578-8649,MO,Sydney,Braunstien,U,anver,,Bra4204,,458 cormorant road,4.0,O,4.0,,78.0,,United States of America,267967.0,93315
,Helix Energy Solutions Group,1735312.0,1-333-338-9330,DE,Escondido,Ricker,M,Nico,F,Ric4205,348.0,14753 ankara north,4.0,O,4.0,0.0,35.0,,United States of America,49787.0,90155
,Lockheed Martin,3248717.0,1-014-162-8990,WV,Sydney,AVERILL,M,Arlana,m,AVE4206,830.0,9099 east south,2.0,O,3.0,6.0,70.0,,United States of America,300331.0,x5e 1u5
,Rent A Center,2723684.0,1-230-993-8620,ME,Brownsville,Pfifferling,S,Vmchange,,Pfi4207,425.0,2755 RODEO COURT,2.0,O,1.0,5.0,48.0,Suite 474,United States of America,416677.0,23513
,Nucor,2721196.0,1-476-950-5337,FL,Nashua,CRAYCRAFT,M,Torrie,M,CRA4208,740.0,19168 cleburne drive,0.0,R,5.0,5.0,39.0,,Canada,134459.0,90879
,Buckeye GP Holdings,1769035.0,1-851-669-5093,MN,Tallahassee,kotyk,M,Koray,,kot4209,432.0,12974 pharr lane,1.0,U,3.0,0.0,1.0,,Canada,211890.0,38149
,Hasbro,97102.0,1-371-549-3553,ME,Cheyenne,Aud,U,Stephi,M,Aud4210,366.0,22326 COLONIAL LOWER,1.0,O,2.0,5.0,73.0,,Canada,178080.0,H5i 1q8
,AnnTaylor Stores,1988772.0,1-746-514-7035,AK,Rockford,gregory,M,Kataryna,m,gre4211,568.0,16308 marine crescent,5.0,R,3.0,3.0,,,United States of America,47868.0,27101
,Hospira,434975.0,1-946-230-8800,Nova Scotia,Shreveport,Tedrick,M,Kalinda,,Ted4212,409.0,21891 DEWEY STREET,2.0,R,3.0,3.0,8.0,,United States of America,307207.0,v5a 1n6
,Lincoln National,1563149.0,1-927-541-0502,NY,Overland Park,Colterman,D,EBBA,M,Col4213,334.0,7485 ARTHUR PARK,2.0,O,0.0,3.0,75.0,,United States of America,240244.0,90225
K,Hub Group,3784991.0,1-340-769-1780,VT,Bellevue,Dowser,M,SARETTE,F,Dow4214,793.0,7421 sandpoint east,0.0,O,4.0,0.0,44.0,,United States of America,397748.0,38120
,Hayes Lemmerz,3158669.0,1-690-613-3188,VA,Richmond,Stetner,S,Avis,x,Ste4215,581.0,22422 inman way,4.0,R,1.0,1.0,7.0,,United States of America,335277.0,V6B 1U3
G,Dell,,1-405-876-1966,WV,Warwick,Boorse,M,Sharee,,Boo4216,679.0,16051 tangle brush lower,5.0,O,1.0,8.0,72.0,,Canada,281499.0,T6a 1e2
,Int. Business Machines,569028.0,1-374-488-5101,FL,Laredo,Tracey,W,DOLLIE,f,Tra4217,436.0,21414 nealy way,5.0,R,5.0,0.0,97.0,,Canada,185503.0,02104
B,Lithia Motors,535249.0,1-199-058-6518,TN,Winston-Salem,Umphres,M,SUNNING,,Ump4218,542.0,15868 dewdrop park,5.0,R,0.0,4.0,11.0,,United States of America,111494.0,87113
S,Jones Lang LaSalle,1041228.0,1-992-159-9557,WA,Santa Fe,Bartoszewicz,M,Odelle,,Bar4219,602.0,9513 lancaster east,1.0,R,4.0,1.0,71.0,,United States of America,72941.0,58507
N,Sunrise Senior Living,592576.0,1-246-944-1794,ME,Washington,CLAVEAU,D,oralie,,CLA4220,782.0,10253 oak grove avenue,,O,2.0,3.0,74.0,Suite 44,United States of America,,38151
,Ryder System,1189086.0,1-310-639-8858,NV,Sydney,Waucheul,U,Jr,F,Wau4221,367.0,9625 allen boulevard,4.0,O,3.0,3.0,82.0,,United States of America,309003.0,85748
