gndr,frstnm,pstlcd,nmbrchldrn,nmbrcrs,wnrrntflg,phn,mddlntl,ncm,ddrssln1,ct,ntwrth,mplr,stt,gncd,crdtrtng,cntr,lstnm,nmbrcrdtcrds,mrtlstts,g,ddrssln2
m,ELGZIRW,pdbdgkvii,5.0,1.0,O,1-416-154-8007,,118303.0,Styyiudyqitldbsvihgeqtoepfzgcbcnbwkavabqwj,Huntington Beach,1302714.0,Schering-Plough,VT,bqo12222,685.0,United States of America,bqoovaipsgsdhtuopesdcgvqlrlawv,4.0,M,78.0,
,Zadbfnijltnxscltrrsllrd,Rdvfopdhhv,1.0,3.0,R,1-571-624-5476,Y,164382.0,Htwpfhubc,Warren,2084749.0,Alliance Data Systems,MA,isg12223,499.0,Canada,isgejynhv,7.0,D,88.0,Zzeacanjlylkqcgyihxwtlqcefcxfbycrdfvltggknkpblgonfumjiftwtbn
,qkjimnwokakcgeoszhcx,MNEXMWSSPSO,5.0,4.0,R,1-686-563-1927,,248149.0,Uabwejacqzsvsiwnxblgdqtpuosuifjfzfamcimupzrwcyaaruycbpiamdmnvobnkrcjcnfojfhp,North Las Vegas,923312.0,Polo Ralph Lauren,IL,Sii12224,417.0,United States of America,Siitbcjnm,8.0,D,91.0,jptxqaspeftjmvhjnjznoajnxscnaazsudsnpoahcofkuaguohhfiytfrkgevvvfnyuwmgxsworcgc
,Vgdixkoawacfg,Tcwzfqvon,5.0,1.0,O,1-725-337-9751,F,45831.0,Jdlvbnsokoacpwrqekciiddvupaxnknsjumqg,Sandy,2432430.0,Best Buy,MI,Jca12225,714.0,Canada,Jcaulatortabrovmsvlrmhuixd,6.0,,50.0,Shtttjfyzshsqtkzgfctzwkdxckzuqhvigdhaqbvyvvefxvcmegmlpswppnbccuhuufb
F,IUOEVNLOZCBPIDKCOECFBNPVWOZTD,Btljvsrgvpg,2.0,4.0,R,1-944-556-7766,g,317525.0,Rltiksskkaehaitlkzzjhnvliyntj,Laredo,507864.0,BlackRock,AR,joa12226,336.0,United States of America,joawhooyicwafxdtxrk,4.0,S,4.0,uvcqxmuuttkblgrkotbqfgaftdnzcaplq
,IBBOAPI,Opsouzs,5.0,1.0,,1-637-305-5361,S,422793.0,Djhox,Augusta,3519269.0,Jones Financial,NM,Mvh12227,,United States of America,Mvhxxharnkntwxxkacutr,10.0,D,39.0,UWVWRYOHJRSAQBMUCXLTYQZRZWTLNEJPQUPIVOVJSXCJUIEFDSOFF
F,KYSQVPSPAVFWUEMCJEQDBNL,Amrxjhpfozic,0.0,4.0,O,1-790-693-7865,A,244919.0,JCOHVUIMYJIYTDXQFEJSKLXNPGNYPHASBQXNQHJGVRHQEQGWGQ,Santa Ana,1883644.0,Regis,MN,Hcg12228,784.0,,Hcgrvn,3.0,S,40.0,gglxxaisxweywvemqedadltadwywbifndxndxokwp
,Dycnthikqdjxqtbwg,wmzeuo,5.0,0.0,O,1-085-597-7614,,175758.0,WUCCYYJIJGTTCLWLAAXPFDWPPUJ,Berkeley,3071518.0,DST Systems,MD,Chx12229,475.0,United States of America,Chxnylopw,9.0,M,50.0,Lezcabu
F,Vpumeba,WVOTPWVTAC,3.0,2.0,R,1-735-425-1545,,158835.0,Qdsvmzqscxaxhlqjwxrscigounhzjpoghavcwxclctyzqdblsgyhiemeymfcrwoabstwunmqgwkqewnt,Seattle,1416770.0,Radian Group,HI,XCN12230,847.0,Canada,XCNNFJNBSYCEVPCUDGWHGHGS,0.0,M,42.0,
,Umqoetmup,rjegpgkppvek,0.0,,O,,V,111717.0,Anljuglptbvmfowuickluhsxgkf,Rancho Cucamonga,2552930.0,Simon Property Group,DC,Mly12231,634.0,United States of America,Mlyasqdtlxsqnxowtxekvezmzi,6.0,U,86.0,Kkwdwlhjzzsgqywiiqopbxmizazzihjgwvkxxnmqubrwymglinqdriedjrjibiughjchimlxqnvb
,Nonfcxrwebytwxqdhwfek,Rqlwowunqxww,0.0,3.0,R,1-321-399-0166,,,Viuinaunavhvstswnlwbgstjoesooubwqgxkqeepomjyhgwglplj,Reno,2734980.0,Constellation Brands,AR,ZIC12232,759.0,United States of America,ZICAULELSXWFUZVTSPRXMJ,7.0,S,27.0,LBRBOFPIXORTBOCPFMVUWRIRGQXPBIMN
F,Zjsmnkh,ghjsmmjmmmnp,0.0,5.0,O,1-332-456-2627,H,156323.0,zvunpcyfkhcnroxjiibawfyczmwiwfovueuytflrqzdhydecmxjsaeazl,Omaha,3392989.0,Express Scripts,NC,Tsr12233,573.0,United States of America,Tsruzliwtpoqwnjouscrjiegn,1.0,D,57.0,Mvjeoxixdtljqexaatgccnzsczrombpzibsgwvcgvqiyqvsycewgcvlgjb
F,RCNDQVKLRTX,Pwbdpxngcboo,,4.0,O,1-376-495-5558,J,470202.0,Rioycenoairrrvi,Colorado Springs,618606.0,Auto-Owners Insurance,NC,IXD12234,669.0,United States of America,IXDLEGGSX,7.0,M,14.0,hsnnnmr
f,Urwvnwtwmzsapohlhysvxw,Xrjbdbtkcjg,2.0,2.0,,1-840-836-8511,,69973.0,Pvbomhfktwoaddavflbfufagommppwbjjlwwbyitmtnoxhglxdqewvihfqdjnpzfczhqrxgw,Amarillo,2543097.0,Brown Shoe,CA,GUY12235,515.0,United States of America,GUYJSROEQIYSZXPLJBLPT,3.0,U,83.0,Iqltkvajrnvwbgmbcoceezjhxwcypnojxpldplvbxoozmhel
,Yvpztajfquftnosyouqhibjf,Ujiescuki,,1.0,O,1-840-301-1739,,48247.0,BGTCDJDEIONTGQUQGUDTIKOPNWLVKKEYAYQWBWOQBBBGUYSE,Las Cruces,3687736.0,Hayes Lemmerz,IN,KVS12236,332.0,United States of America,KVSSGR,6.0,W,3.0,YTDWIJMWLKUYAX
M,UYVKGLGDTYAKXEEBPQKB,GQAJUS,2.0,0.0,R,1-699-267-0354,u,117817.0,Neibaijistjpmeexwtcrmpqtlrhyjgdjalouqsxvjal,Regina,,Walgreen,British Columbia,LWQ12237,762.0,United States of America,LWQHL,7.0,S,61.0,DHUOZTEOBYHKYLQLQIRUAGDZPTPUTGQUKMYQ
F,Chalpkggqxvairvj,HIQRCAMXOTW,1.0,1.0,O,1-614-704-6730,,297746.0,ycjldkiqdegmmyioqhuqvlgbusodlolyuebuvmscphnmpwr,Gary,1434088.0,MSC Industrial Direct,British Columbia,Lqf12238,,United States of America,Lqfov,1.0,U,6.0,Pikgobccoerotmzptfdrnekqskiidiqblhshtdnnquqjmiehupwiynocyiepiymadulseljomtrtfr
M,Dxwoqvyp,Spkuucn,2.0,4.0,U,1-762-816-9121,,489458.0,Knvfdpmgtgfvtvqscmtlpuvxztwsnbexvmi,Abilene,3615499.0,Avnet,KS,Rpt12239,398.0,United States of America,Rptwgjjzjwmqjcypkihsedbf,2.0,M,12.0,Fixkfqfmoex
,Ngwusqdv,ZVBYJWL,3.0,4.0,O,1-460-072-2169,,463947.0,Ylwdmifqjrcjbgdeshbsvxiihavndukvqzsnsjnqfkosfwpeoggjdxxjnpiychlcmyhdgmanpxuilqsv,Stamford,3583755.0,PNM Resources,UT,coj12240,539.0,United States of America,cojkjfrufibfwcnkh,7.0,M,52.0,Zvxsbmasgn
,ENWSGVXBOUHXERZNFDSLIBK,Umbmhhlmohtw,5.0,5.0,O,1-172-236-5042,,305738.0,Asdpkzzjdevskyvkmjgbkitgmvlfndcdpkircgnlxmqymdwwajaxwlreyleh,Little Rock,2805623.0,Corn Products International,AR,Czh12241,708.0,United States of America,Czhuwuwjv,10.0,M,18.0,KKKPQREENDUSSAIDZTFVUFGBPAVRBFSUMVCERLRGBEBDSVWXLXQGIPUZDWPMATOZMCLOPZ
M,Pmfmnhszhgo,Bpalltakzs,4.0,5.0,O,1-976-748-9268,,394713.0,Uscsjcquyiyeqstmemunwuydvtugbi,Providence,2125833.0,Guardian Life Ins. Co.,PA,Jbs12242,564.0,United States of America,Jbsmwpypiwwdxhconcupxogynnk,0.0,U,23.0,CTHAAFEUAWVMFUNHURQGZDMSTPQVYF
m,uoentejuzzjmjpb,AOQPUJRZBW,0.0,5.0,O,,A,,Cfkzajouyfarjfuaqyyivqjsp,Santa Fe,717520.0,Radian Group,New Brunswick,Igf12243,837.0,United States of America,Igffthiofacpkdowzpvxplx,8.0,M,24.0,Fmxwnunictspflalomuqqmezihupkjkftlviyrzqugkligwzxxagrncoquzy
,EKJSPPTZNHTNNEYZYGXFMZBZMCJDVO,Wnhvwxhbjwm,2.0,1.0,O,1-918-403-1338,i,257468.0,Pmukcddlmurkzepemcloncmk,Indianapolis,2051903.0,Annaly Capital Management,MN,fqj12244,,United States of America,fqjplsmokuqssk,6.0,D,1.0,zthrvlouveqolkauuyvxopch
m,Elvzaunxyjmhfidbzpiqocimitdzd,vwhxwfatcswl,0.0,3.0,O,1-118-224-3667,,295961.0,Vuqqruunkjxevykvoeoikamhycfgqqnndkyhymyrzctqecyfbnlcwhsiubwwlkunnwxn,North Las Vegas,1970370.0,,NH,Qhr12245,544.0,United States of America,Qhrknmeoa,1.0,M,68.0,MHJVFNJK
,Lgquptcvskormkmeaaievkzvdea,Ibinopmik,4.0,2.0,O,1-784-800-4442,N,102029.0,KFJGQZQYXCAPSYDXAONUZFPQHQNHJFFNWFMUFPBHTTVYQTWZOYXKCXRMQADFRSCGROB,Sherbrooke,1668674.0,Staples,DC,FAA12246,601.0,United States of America,FAAMEOFBOVYRLMVSHEETEP,9.0,U,65.0,ESZDJVVOEDRFMUOOYIMVERDFVUSJIELWTPMBPWYWGSWATJZTMZMURQNGDMFNRJWV
f,aeuosyvrlwlqtwguumsfa,CDCSUULE,4.0,5.0,O,1-344-096-2698,A,247652.0,Dyjcaieneredkgksniitquexesjhkncvpjchmccbtqlrqqafqoo,Naperville,2393174.0,Unisys,TN,Nef12247,622.0,United States of America,Nefvcaobfa,3.0,M,55.0,Biuhukjqgnbamhgkegesvmytr
m,menksknkxjawmoofealguhhqz,stssuzl,2.0,2.0,,1-904-085-4794,,186555.0,Wllqtrgyysmqfbuhmigvatrluskvmsxrvkqiesyzmlxyzbrkfmmwbubvbpvczibbhaqhv,Moncton,3148089.0,Wyeth,MT,meb12248,795.0,United States of America,mebafwrfe,10.0,S,19.0,SULYAMRCLYIERZLT
,Gpcjjkpsinpixjv,Ovrtpelmsrwl,0.0,0.0,O,1-911-754-0827,,151602.0,wpfwzfthzykbmoqunrjlbxuqiafcvipksdfubufccvcxmbmkzplvbcxnqtew,San Bernardino,880419.0,Mutual Life Insurance,IL,rkm12249,484.0,Canada,rkmlw,0.0,M,70.0,Sgzyqwaidgwifvbzfxqbjzwvgvgcohxgyovbigtnmystivfhx
,TCBFCOYZYRITNTNRSBGKP,WCBAWVULBQET,3.0,2.0,O,1-130-181-5617,,260323.0,Odsdtserggoegndvemdxweegxmctsjpxjkximulmbtfgjfy,Elizabeth,2027217.0,Assurant,WY,ypd12250,,United States of America,ypdxa,6.0,M,96.0,
,Ytayazsocgxipvgzrnbrhxh,Nraddpsfkov,1.0,1.0,O,1-367-300-4355,,46789.0,mfqrezpstyaqifimfqzfsowezikkmbiombeeszeuuikgyvkdtjartskupjnx,Colorado Springs,2989768.0,Ingram Micro,AL,Gcr12251,791.0,United States of America,Gcrkayxcwznojhnig,1.0,U,,uzzwifdfikhfyhxalpmoecxrbkcgfesoextwncsqrjm
,Znxprouemhtv,Kadbewtmg,0.0,1.0,O,1-160-772-9584,c,360248.0,Omlfigduxktzpzcuavrdltjfpyvepvlujl,Irvine,1643977.0,Lexmark International,OH,Ham12252,303.0,United States of America,Hamjuk,6.0,W,56.0,UCWCXRBKFPWVGWHLOSMNHNMAUHBJWFZJYXKZHAOHRAQHANAVOFEBZPYRDVXE
F,Lwubgzeqwbiehgaht,NENIOFQK,0.0,1.0,O,1-830-350-0801,,361464.0,,Hollywood,2081414.0,Dentsply International,AK,Fpv12253,395.0,United States of America,Fpvwvlhsenseweimgmvsiaudbq,7.0,S,79.0,gopzcc
F,EYZKNXEZPCTNJZKEQIUXWVTCWJSKB,DZNPER,0.0,3.0,O,1-172-219-9219,,131165.0,WQETAABBJGFBTHNDLSHMGML,Mobile,2582386.0,Country Financial Services,OK,qgd12254,686.0,United States of America,qgdxlokeudkmqetauhonx,10.0,S,45.0,Kcavlwvtrseaqrmiqdxrnyvcsyjzlcrp
m,Ipucdnpjzxpinkskkuujhqa,Tdmzrwqrw,0.0,0.0,O,1-863-514-4059,u,468222.0,Rsdzuuhfzutworeskdcqzmgmgcdkmlkxzrzvtlpqwjvbtbbukqukvnbfkktysbraxslbqlojofrl,West Covina,745540.0,Humana,Ontario,Mmf12255,611.0,United States of America,Mmfelestsrwkbpoaorpwc,8.0,S,34.0,Nrjkffkaysphzemhwstdebvpa
,srsvttriphhusfwi,gsrnogwtayr,4.0,0.0,R,1-294-746-4175,P,69986.0,Qixezehwymwmpoxjwbvxfodjdhopchxsmheifxotzljmhkscaxcndsmxlgopsiapa,Savannah,1556754.0,General Motors,GA,cch12256,605.0,United States of America,cchfcocrcelhes,3.0,D,63.0,yujiykbkzeecjlgdcctxjwubdiqlnyovmpgxvjzxhujkhwzleqnurszflruy
,Theupsokjmtfbalixemfxe,OXCNZSVORJMG,2.0,2.0,R,1-660-731-4243,,133905.0,Jnibuzpzincqexkplgbjivdqvanaaxocxipzarwboshuauoenxtbrxwzldxrfxox,Thousand Oaks,3619771.0,Express Scripts,MA,Mkl12257,446.0,United States of America,Mklpeqcffvzospfvabepqoicfvou,1.0,U,11.0,QPTATPOWDUXSREDIKWWKVMSIFFNJSNTUMJORIRUBLVCSMVKL
O,Jpibxvfbwyhtx,Wlxanqiqfl,5.0,4.0,O,1-737-028-3170,,125591.0,Loxjhephcidtqqmkowfsrnruevuizrhutxr,Buffalo,2476699.0,ON Semiconductor,NH,Cuu12258,521.0,,Cuuqofdxlkxcxbetiaovvkdgot,10.0,S,28.0,fszztqvrpxubxiewhwpbwqchwzmacokjxpfglcfxfbttppitdysxmbrtoaqjfv
,Wulkxrerjncgwjhnb,Dzcaosu,2.0,0.0,O,1-032-901-2864,D,329007.0,Wxslnqsepbjds,Mount Pearl,384979.0,Interactive Brokers Group,ND,SGI12259,561.0,Canada,SGISB,7.0,M,80.0,DEHOGFLEVENBOCVPVOCOFAIPCTRKJPSAQEUZQVYLXKWJRJIDGCQHLNDTTU
f,Hjhelx,huuqds,1.0,0.0,,1-711-729-3213,,72809.0,ylfgykmbzgwdficdhvivfhdknugejfbxfhkbscbjqbaumsz,Simi Valley,3355184.0,Phoenix,VA,Dji12260,348.0,United States of America,Djirjxhojhhatxgt,2.0,,64.0,Ntidizvjibpjhuomtzxeidfuxrgar
,Fhiptxsukxb,,,0.0,O,1-942-080-0051,,157097.0,Ryvdjtzumvrbvirisjqypsmdjuwrdfp,Louisville,921503.0,Cephalon,NH,Zfm12261,743.0,United States of America,Zfmvukwvhoh,5.0,S,8.0,Cczgfjrdxkmxhggskcavhrawdoedllvbxapifjzismfzlhkmklseosaobxvsphptowrsnnelne
M,jbsjzf,Xivabp,2.0,0.0,O,1-447-426-0512,T,306932.0,Dricktksnneexehkgfxqntimhfwhxszvwnoynwhwlrxtlmfzdhzqhmdifzsmljpvwi,Santa Clara,517122.0,Laclede Group,OK,HHH12262,524.0,United States of America,HHHCPUTRAFKVRYQKBBTGGO,8.0,M,,Ucsyvxcevquvsbkbxuuebljbtqtgyjmgwaaqlhgmvmrpqhgcwkkctmhftogmuebecddmkjm
f,Dnaoisntnzimrkjhnhcffmiutsws,Hcpqxxazwlk,4.0,4.0,,1-458-424-3020,,146058.0,aduxfpmmnfefkilavgwstjrwe,New Haven,3961463.0,General Growth Properties,MD,Vns12263,761.0,United States of America,Vnsfncs,8.0,M,45.0,Woyfyifinlgishjqstoonucetiebyovckbiqjrqzrrehww
,plpglinchhjmgcprn,Sqixebddwws,0.0,3.0,O,,,129028.0,Amllretponzoijorbqdblwplehydz,Santa Fe,2804105.0,Monsanto,PA,Dno12264,382.0,United States of America,Dnosusenygfhvntfczmwnedo,0.0,U,,Xqbnewlsqchkohqlupahbwmekf
,SWPLPVWXYAZZJMWURWIBCOVDFQLX,Ybkwyrqqylc,0.0,0.0,U,1-790-473-6022,,48169.0,fbvtuvxkdjrqmyehy,Fort Lauderdale,3277048.0,Solo Cup,IA,SJR12265,435.0,United States of America,SJRMMXRXJUQLPE,6.0,U,46.0,Rrwiliwjbcobvosgmhaseuubamc
,MMKOFNVYPCZYB,Ukqlswgvpi,3.0,2.0,O,1-505-924-5709,,491094.0,RKREBLQKJFHPACVZWDQWBXYIVVOGAXVSFKAHADGBMRTQUOIUGC,Mobile,2971203.0,MEMC Electronic Materials,WI,VTJ12266,402.0,United States of America,VTJEGMQISJTL,4.0,M,68.0,jazxsfeoo
F,Jehrprtswwctufkbyit,Wtpaszitc,1.0,3.0,O,1-551-149-8734,g,156190.0,QGTLJRMZVRRCQXRIAVYPCQQQTKQBAGDE,Boston,923080.0,Gannett,AK,Gsr12267,669.0,United States of America,Gsrugdz,7.0,U,30.0,Oldcakeijsdtunrslrrabglbookbatrnoidjlwbvorioorzkuzlkfngeqqianfskbfswiskbclrqrs
f,ELFPFILXHNKACPYXBG,Zoyhxqdwj,4.0,,,1-829-531-2121,,210500.0,oxtjqjikrgqobcsgnhadlmjjprftepefqreqodcxxkak,El Monte,1005552.0,,RI,Uyk12268,438.0,,Uykrwwxekne,4.0,D,92.0,Dteeelfmasxlietzkianqtxiwqutlnsgfzjv
f,Tclaovmtpraof,mjuol,2.0,5.0,O,1-621-209-7389,m,253563.0,mgxjewmpsjgkpiobgkcscupi,Fargo,1851067.0,Ball,AL,SXM12269,826.0,United States of America,SXMCBHDQNLGRMUVTYUCHFFEBND,5.0,U,16.0,Qtnntsnmoxfobzugqmwrkzfitlemyhadcw
,Xdwkkzxmv,yssexxqks,3.0,1.0,O,1-150-322-9590,D,38683.0,DCEJFSRPSHDLJRFCGOR,Iqaluit,3168123.0,Charles Schwab,WV,ZQD12270,556.0,United States of America,ZQDNLQCUSKIZDO,10.0,W,22.0,WIXCWKMPNTHGFXIWSSOXGMHDSNWKGFUZJRVQFTEKYOF
,Kczopdfsrvey,Ujppw,4.0,3.0,O,1-629-868-1988,B,398600.0,uyeuoumlb,Pembroke Pines,475083.0,Int. Business Machines,CO,ELB12271,440.0,,ELBTIKLFNWUROCWAMCQCWOFZWMD,3.0,S,24.0,jftomtiinxztofkoaytwqtoamggpdvcafmaxkfvfantnsxrnwrbgxe
,Bfqqdgx,jagfgcgv,3.0,4.0,R,,F,33993.0,Ehptbbnknophslkedfowxevjkiwbazxmsjx,Philadelphia,1610658.0,Lennar,AZ,MQH12272,365.0,,MQHRMPHIQM,1.0,W,38.0,iqmkeoueimpgptvmghswbwtnibavnopicgbhjgfmgfoiyhnsxqcgruacydzd
,QGHMNRNALUXWRJ,Mknkcfdxtvxx,1.0,1.0,R,,J,50976.0,wqubwqncdgpynrjqdawudkxvdpnyxsiagzci,Las Cruces,359942.0,Iasis Healthcare,IN,wdu12273,446.0,United States of America,wduqelrzmerd,7.0,S,29.0,rawlpmhteibajpjrvbdqegnlmeomxlrkngdehpwfduqwhatxwns
,RKWAAZOIBMRLMJXHXR,Zkkdjcrrfv,2.0,3.0,O,1-708-876-4578,X,187595.0,Kjjxjnhgjqszceadnbbasfvqphamohnnetkqh,Springfield,1436315.0,Embarq,VA,Vmo12274,369.0,United States of America,Vmouirxzvcytoqh,4.0,M,97.0,FSWPEEUPCMAUJOGDSXMBPIYGABCCSXOCZDVVO
,iicobahpngbmvigg,Npvabn,0.0,1.0,O,,,237527.0,Ivlnpkijthfmvhjudntkuxzbhwplizvmigzbknqfewxfehvwdswihqaeft,Edmonton,3850672.0,Cigna,IL,Vue12275,436.0,United States of America,Vueihgieakfhsgsyszmfevt,6.0,U,64.0,cbhwmcmqlorbkzlg
,QFASLQDLVIUKZWT,AMAZPV,5.0,4.0,O,,S,408665.0,Qhasvarxjhvwqfktvfeqhuzmhyerinxuulafrcbjwyfehtcqocipuqvzmqox,Bridgeport,93264.0,PepsiAmericas,NJ,aql12276,358.0,Canada,aqloptzxvpzvvmpjsp,4.0,M,40.0,xpvemqugekunrtkvabxdlojorjrjqskbdpf
F,Iqraukkvbivlawfb,TVIEXI,4.0,2.0,,1-558-144-1963,V,496385.0,pluwlqzeoaslmxpotxhssrcqqcecqrfdvxldpag,Moreno Valley,3972112.0,Tellabs,TN,Oyt12277,778.0,United States of America,Oytoqmadzkkxptbgeebajh,9.0,S,2.0,
f,XMVJQUVMMVGCFLYFRS,hdxwbvjb,0.0,2.0,O,1-852-976-8737,r,450003.0,Bndrbpbycsimspxdvulbdlehqpeitiyqwotpdzptucvoejdeldkrisvfjchrvqoaxxfgatth,Peoria,1783132.0,PolyOne,Ontario,oot12278,456.0,United States of America,oothnsvbyjz,2.0,U,86.0,abynfubhlpepxpywqpnjbthmhbzslpfjiegadcuazvh
 ,Krtbsgv,Mcikfpfjzj,5.0,4.0,O,1-409-332-6355,,467959.0,Moaqycsrfernzbudodqrekqzsntivsksgofpexqthcapjobuogtamiy,Riverside,2990001.0,General Cable,WA,gqp12279,588.0,United States of America,gqplc,4.0,M,43.0,Drgttcpe
M,frmuslfvamijwhfnfpzapmsycq,cjjvfezoq,1.0,1.0,O,1-622-439-0390,,320766.0,Qaneoiwfbqzzfowmgzunmrseglselwhjzohn,Charleston,730252.0,Google,NC,SGD12280,542.0,United States of America,SGDFJTQM,8.0,M,80.0,BECGOSESQNQJMZALGBCCCDPPDNCJJFECRXERIPMILGFDRMWTCTE
,VHDBHTMRWPUXHQZQJOH,FJVIFFQL,1.0,3.0,U,1-069-057-9363,A,311474.0,Kpvpckdjhidatjxpflkklnrmnppqct,Newark,,Fidelity National Financial,GA,Amp12281,806.0,United States of America,Ampdspwvellifloogifomqimjppepe,2.0,M,85.0,Bbvxmozjslugttqkmjhqkrje
,kfsmwwcmuapugsrqfvid,Qpkbaphf,3.0,1.0,O,1-226-605-4270,U,244212.0,jyiclpugyliccevegmhktdfnmyb,Bismarck,3371755.0,,CT,CFY12282,394.0,United States of America,CFYWBT,5.0,M,73.0,Chrulrqumemqmwynomexbtbbbl
,Vtgsjn,zuntqfeswz,5.0,,O,1-257-713-9986,,,Icahrxsyhvhqfdfuymhkpioqstpjwzzjeeqsa,Chula Vista,488022.0,United Refining,WY,ERL12283,550.0,,ERLNHRJZZPDDMFWWAQKTLNK,3.0,S,84.0,Kfuuaotg
f,cyhbwndslrqwfeogugi,Frnmausbvb,4.0,0.0,,1-934-487-7602,v,115930.0,sjrhpfazmletcgschmacnrsnuftha,Lansing,1188396.0,Crane,WI,ucr12284,592.0,United States of America,ucrfqcdntxgdyqnezipmitdtgv,3.0,,76.0,Craqhpgxxqeivezqdafrlunawdxnhcjoxphaaoeblaopsvqvqgkrepiuuixkh
f,ONVEC,FBZXMGP,2.0,5.0,R,1-513-685-0381,,328375.0,Eiinbyitmahosndncarklciojyzjqkukypcwglexebeggtpmvdsxehhnfodubyqkjymqigxshy,Hartford,,Verizon Communications,MA,Fkp12285,537.0,United States of America,Fkpbeqvmmstzejo,9.0,S,25.0,Ilqotpmdogouxwvpoeoskucuhluqwpig
f,itplaccxdlutoogkvok,bkoohxjfbcs,,5.0,O,1-961-222-9395,I,253711.0,qkauphakyasfmesoixxifubsnqyvpbdlwbjjuaaxajs,Fayetteville,2185517.0,Public Storage,SD,Bkp12286,707.0,United States of America,Bkphyqoxaqwyxudpjhqcnk,3.0,M,60.0,Tijdrfhgxstnopalibwllgunpxhltzcwkrnjaoaunnbdzqmdqxructbjrtftbbknsjdt
,Djzainbfyxesjs,JZQFHUOJER,1.0,4.0,R,1-619-448-5673,,92046.0,DAERGDISBRQKPQOSOOHLOVFL,Great Falls,1883164.0,U.S. Bancorp,IA,Ntq12287,579.0,United States of America,Ntqltzzmvbhruhobbhqvuajjwi,10.0,U,65.0,LNBJJRDTSSNPRIMQQVYAZDHHTOBWCQCAZOPLOWPGGBBVUXKHUZTIHXBMFFEZKCDIMMIFSE
M,HBWOFOMYEOPGTAVKR,LEEHJSHVM,0.0,4.0,R,1-533-282-8485,,454454.0,Pnmohabvzvxirgiooabe,Casper,3082174.0,ON Semiconductor,AK,hlh12288,589.0,United States of America,hlhyvevncm,4.0,W,5.0,ugbavzilpkkziglzqkiimmmompsdkmoqakvk
f,Orsfdpftdvhxzeyx,Qcswmcg,3.0,5.0,O,1-584-689-8226,j,166188.0,SPZRIKAIURJUNAROARXJWKOTXBAXJPAEGGAMADTFFLZSTKGQWSDVPLXANTZOWAHMCOWOZKLATWOBMF,Toronto,2084740.0,URS,DC,Cwm12289,845.0,United States of America,Cwmfpmgkzjmegqpdbtap,8.0,S,43.0,hjedwsbk
,Rfepwfcpvsdjxwjitzctstt,mypleijbkcwk,0.0,5.0,O,1-393-407-2621,,282983.0,nwakgyabgjqbprjrmrjicowsweyrerquqgnomvyoohxxltuzxexevaqukpydrr,Fremont,305790.0,CC Media Holdings,OK,Pgv12290,314.0,United States of America,Pgvkvvrgeshoc,3.0,M,42.0,zyvgeocpikwaiwoqpdrzqxqcwmrkobbtmrl
,DRCPTQWLVKEOOMSZ,sfmcw,,3.0,R,1-564-152-2837,,140876.0,Xmgnuyjocrxbmmzcl,Bridgeport,2251427.0,Avnet,WA,Ijl12291,456.0,United States of America,Ijlobglutlxy,5.0,M,6.0,alipsqtakftbiqaiuuscphsxqfwefahvoompeogsnywgspuicqnndqh
,enmunefhqoqq,JQPDPC,0.0,4.0,O,1-261-694-5138,,241059.0,BWDBVOQ,San Diego,842057.0,Kimberly-Clark,MI,FSX12292,661.0,United States of America,FSXZRUBYZBCK,3.0,M,4.0,Siokjrrtjrwhxdkusneezqystiatfwvcertroz
,Aexqopkhzhbvanvnutstjmhczzw,knqqlcty,4.0,5.0,O,1-919-832-5314,,,eabmxkoqfdvw,Tampa,,Precision Castparts,NY,QHJ12293,507.0,United States of America,QHJDP,5.0,M,96.0,Drjmwkcmmegrudwatipxsgrffdkhnwzxail
F,Flebqcdiimoymzb,DONNGJG,3.0,,O,1-151-045-9104,S,194589.0,Iqixqelgxmoucckxplodyjdkfcosfwkvqlvhw,Jersey City,2348382.0,LKQ,KY,KEU12294,758.0,,KEUQMPKJDYZDCQHECHIVD,5.0,S,6.0,bttpjlbpmhv
,Ktbaxnxggq,Ykzao,3.0,4.0,O,1-718-904-3454,,55077.0,Btmcmjubb,Gary,303969.0,,AL,Yiw12295,849.0,Canada,Yiwacybfpkioj,4.0,M,90.0,Tgqno
,Jxocswvadrlshpskdhgv,Mfkpy,3.0,0.0,R,1-444-549-7034,,162651.0,GNXNOYDNPJAMXAVBKJHLSBDBSADPLAWZQNSOAPAFARIOQWBGPVFHZYARSGTWYNXXH,El Monte,426121.0,J.C. Penney,MO,Lur12296,454.0,United States of America,Lurnducft,9.0,M,82.0,UYKMMTLQHRWQLJA
m,RJUXBWWBWSKJMUWYFESYSYPLYAJVDW,Xfyszm,4.0,0.0,R,1-940-403-4707,,162804.0,JGTPPEAPCUZWKHZZHWKVUUQXGVHICNLKWMITIZUAYKTPJXTNFYCMYBYPQMIXSMPLRIZUR,Sunnyvale,739970.0,Airgas,CO,ocg12297,465.0,Canada,ocgvatakucum,6.0,M,58.0,Teykigblekjpsaqljsejncdjqbvlincjlfzlmiskzifgxnkimwdnvjifvgpaln
,Vshzpqzer,Ppigbuaky,1.0,3.0,O,1-888-022-5606,k,179308.0,krlfprmpdosddpaiiktrculfvowm,Spokane,944292.0,Host Hotels & Resorts,KY,Mis12298,640.0,,Misccgsqmoqsj,,U,75.0,Dfqddqgqitvfxbdqwy
